"town","address","tower_type","owner","height","comments","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"Essex","** Grandview Terrace","watertank",,,,"T-Mobile @ 100'","Nextel @ 103'",,,,,,,
"Wilton","** Cannon Road","power mount","CL&P","100","p0501","Cingular/AT&T 2 105'",,,,,,,,
"Windsor Locks","Murphy Bldg Airport (Troop W)","building mount","DPS","60","total 13 antennas on 20' mast on top of building","dps @ 58'",,,,,,,,
"Wolcott","** North Street","self-supporting lattice","Town of Wolcott","120",,,,,,,,,,
"Branford","*** Pine Orchard Road","utility pole","Verizon","36","small cell","Verizon @ 36.4'",,,,,,,,
"Waterford","** Industrial Drive","self-supporting lattice","Kobyluck Bros/Wirelss Solutions","190",,"town @ var. hts.",,,,,,,,
"Meriden","Yale Avenue","utility pole","Verizon","38","small cell; adjacent to 152 Yale Avenue","Verizon @ 38'",,,,,,,,
"Southington","*** Queen Street","in-building IP access",,,"Wal-Mart","T-Mobile",,,,,,,,
"Stafford","** Old Country Rd.","monopole","SBA","180",,"Verizon @ 178'","Cingular/AT&T @ 167'","Cingular @ 157'",,,,,,
"Groton","*** Sandy Hollow Road","monopole","SBA","130","d0343","T-Mobile @ 127'","MetroPCS @ 117'","Verizon @ 117'","Dish @ 107'",,,,,
"Stonington","*** North Anguilla Road","utility pole","Verizon","24","small cell","Verizon @ 24.75'",,,,,,,,
"Waterbury","*** Highland Avenue","church steeple",,,,"Verizon @ 25'",,,,,,,,
"Vernon","Harlow Street","utility pole","Verizon","32","small cell; adjacent to 140 Union Street","Verizon @ 32'",,,,,,,,
"Salem","*** Witch Meadow Rd","monopole","SBA","197",,"Cingular @ 186'","Cingular/AT&T @ 175'","Sprint @ 195'","T-Mobile @ 175'",,,,,
"Meriden","*** Lewis Avenue","rooftop",,,,"Cingular @ 50'","T-Mobile @ 51'","Sprint @ 55'",,,,,,
"Southington","*** West Main Street","rooftop",,"151'","carriers AT&T, Southwestern Bell Mobile","Cingular @ 77'",,,,,,,,
"Hampton","*** Main Street","steeple","Congregational Church",,,"Cingular @ 55'",,,,,,,,
"Meriden","**-** S. Vine Street","smokestack/rooftop",,,,"Sprint @ 60'",,,,,,,,
"Naugatuck","*** Elm St","monopole","Crown Castle","150","add 2 equipment cabinets on new 6x10 pad","Nextel @ 130'","Verizon @ 110'","T-Mobile @ 120'","Sprint @ 150'",,,,,
"New Haven","*** Ferry Street","rooftop",,"100'","t-mobile Communications, Inc. antenna","Sprint @ 105'","T-Mobile @ 112'",,,,,,,
"Danbury","*** South Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Windsor","*** Bloomfield Avenue","monopole","Crown Castle","148",,"T-Mobile @ 143'","Verizon @ 128'","Sprint @ ?","Cingular/AT&T @ ?","town @ ?","clearwire @ 130'","DISH @ 99'",,
"North Branford","*** Foxon Road","monopole","SBA","180",,"Nextel @ 166'","T-Mobile @ 147'","Sprint @ 176'","Cingular/AT&T @ 156'",,,,,
"Stratford","*** Chapel Street","power mount","CL&P (Structure #1321)","101","p0405 - t-mobile @ 107'; p0411 - SCLP (now AT&T) @ 123'","T-Mobile @ 107'","Cingular @123'",,,,,,,
"Southbury","*** Russian Village Road","monopole","Crown Castle","120",,"Nextel @ 110'","T-Mobile @ 100'","Cingular/AT&T @ 132'9""","Dish @ 110'",,,,,
"Killingly","*** Main Street","rooftop small cell","Town of Killingly","57","p1132 - install 1 small cell antenna on top of Killingly town hall","Verizon @ 64'",,,,,,,,
"Lyme","** Gungy Road/*** Beaver Brook Road","monopole","AT&T(Cingular)","180","d0381","AT&T @ 177'",,,,,,,,
"New Hartford","*** West Hill Road","monopole","Message Center Mngmt","125",,"Arch Wireless","American Messaging Service",,,,,,,
"Harwinton","*** Clearview Avenue","monopole","SBA","195","add 2 Nortel S8000 cabinets","Verizon @ 183'","Nextel @ 173'","T-Mobile @ 195'",,,,,,
"Haddam","*** Morris Hubbard Rd (*** Killingworth Road)","monopole","American Tower","150","d0084","Cingular @ 153'","Verizon @ 144'","Sprint @ 150'","Nextel @ 131'","MetroPCS @ 140'",,,,
"Middletown","**** Saybrook Road","monopole","Sprint","150",,"T-Mobile @ 110'","Cingular @ 130'","Nextel @ 102'","Verizon @ 142'","Dish @ 121'",,,,
"Hartford","** Church Street","rooftop",,,"satellite receive antenna on south side of building, mezzanine level",,,,,,,,,
"New Milford","*** Housatonic Avenue","rooftop","Nextel","61'",,,,,,,,,,
"Windham","*** Mansfield Avenue","utility pole","Verizon","33","small cell","Verizon @ 33'",,,,,,,,
"Mansfield","Mansfield City Road","utility pole","Verizon","35","small cell ; at The Villages At Freedom Green","Verizon @ 37'",,,,,,,,
"Hamden","**** State Street","self-supporting lattice","Global Signal","120",,"Cingular @ 110'","Sprint @ 120'",,,,,,,
"Meriden","** Elm St.","rooftop","Ashley Harriman","70",,"Verizon @ 68'",,,,,,,,
"Litchfield","*** Torrington Road","monopole","TowerCo","140","d0299","Sprint @ 127.5'","Cingular @ 115'","Verizon @ 138'","T-Mobile @ 108'",,,,,
"Old Saybrook","*** Maple Avenue","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Newington","**** Willard Avenue","utility pole","Verizon","35","small cell","Verizon @ 35.8'",,,,,,,,
"Prospect","** (**) Peach Orchard Road (see *** East Side Boulevard, Naugatuck)",,,,,,,,,,,,,
"Windsor","*** Rainbow Road","monopole","AT&T/Town of Windsor","101'","carrier AT&T","Cingular @ 93'","Dish @ 65",,,,,,,
"New Haven","*** Derby Avenue","rooftop","City of New Haven",,"City of New Haven School",,,,,,,,,
"Coventry","*** Riley Mountain Road","monopole","Crown Castle","150",,"Cingular @ 117'","T-Mobile @ 137'","Verizon @ 127'","MetroPCS @ 107'","Eversource @ 152'",,,,
"Cheshire","*** Highland Avenue","monopole","Town of Cheshire","160",,"T-Mobile @ 147'","Sprint @ 157'","Cingular/AT&T @ 137'","Cingular @ 127'","Nextel @ 107'","Verizon @ 117'",,,
"Milford","***-*** Wheelers Farms Rd","monopole","Crown Castle","120","(p0656)expand compound 530 sq. ft. to accommodate equipment shelter","T-Mobile @ 110'","Verizon @ 110'","Cingular @ 95'","xm @ 112'","DISH @ 96'",,,,
"Hartford","** Farmington Avenue","rooftop",,,,"Cingular @ 181'",,,,,,,,
"Danbury","** Mill Plain Road","rooftop",,"47",,"Verizon @ 47'",,,,,,,,
"Portland","*** Bartlett Street","utility pole","Verizon","24","small cell","Verizon @ 24'",,,,,,,,
"New Britain","* Grove Street (*th floor)(*** Myrtle Street)","rooftop",,,"(p0283)Replace Antennas","Verizon @ 92.8'","Sprint @ 146'","T-Mobile @ 65'",,,,,,
"Avon","*** West Main Street","Flagpole","T-Mobile","48.5'","Avon Marketplace","T-Mobile @ 20'",,,,,,,,
"Shelton","Mohegan Road","power mount","UI","79","(p0504)replace 40' wood utility pole with 79' wood utility pole","ui @ 79'",,,,,,,,
"West Hartford","*** South Main Street","rooftop",,"40'","carrier AT&T",,,,,,,,,
"Beacon Falls","*** Lopus Road","monopole","Beacon Falls","150","Town Garage","Cingular @ 145'","T-Mobile @ 135'","MetroPCS @ 125'","Verizon @ 115'",,,,,
"New Fairfield","** Bogus Hill Road","monopole","SBA","130'","d0315","Cingular @ 130'","Verizon @ 120'","T-Mobile @ 150'","cl&p @ 92' and 93'",,,,,
"Farmington","Hyde Road/Executive Drive","monopole","New Cingular","150","(d0274) transfer of certificate","Cingular @ 150'","Verizon @ 140'",,,,,,,
"West Haven","** Gilbert Street","smokestack","T-Mobile","53","(p0660) equipment on pads inside adjacent building","T-Mobile @ 42'",,,,,,,,
"Bridgeport","*** Newfield Ave.","billboard",,,,"Sprint @ 69.2'",,,,,,,,
"Old Lyme","** Hatchetts Hill Rd","monopole","t-mobile","190",,"Verizon @ 175'","Cingular @ 165'","DISH @ 155",,,,,,
"Southington","** Shuttle Meadow Rd","monopole","American Tower","154","(d040.5)up to 4 equipment cabinets on concrete pad","Cingular @ 150'","Cingular/AT&T @ 140'","Verizon @ 143'",,,,,,
"Hartford","**** Main Street (** New Donald St)","rooftop",,,,"Sprint @ 114'","T-Mobile @ 98'",,,,,,,
"Fairfield","*** Post Road","utility pole","Verizon","34","small cell; near inter. Of Kings Hwy and Post Rd","Verizon @ 34.8",,,,,,,,
"Shelton","*** River Road","stealth-flagpole","t-mobile","120","equipment cabinets on concrete pad","Cingular/AT&T @ 93.5/85.5'","Verizon @ 99'","T-Mobile @ 120'","Sprint @ 105'",,,,,
"Darien","Noroton Heights Railroad Station/Hollow Tree Road","power mount","CL&P (Structure #1180)","90","p0529 and p0529A","Cingular/AT&T @ 110'",,,,,,,,
"Norwich","*** Plain Hill Road","monopole","State of Connecticut DOT",,,,,,,,,,,
"Coventry","*** Olsen Farm Road","self-supporting lattice","Town of Coventry","100",,,,,,,,,,
"Bloomfield","*** Filley Street","monopole",,"95'","carrier: T-Mobile","T-Mobile @ 95'",,,,,,,,
"East Haddam","** Haywardville Road","monopole","AT&T","180","d0395A","AT&T @ 177'","T-Mobile @ 160'",,,,,,,
"Bristol","*** Stevens Street","water tank",,,"City of Bristol, North East School","Sprint @ 97'",,,,,,,,
"Durham","***R Creamery Road","monopole","SBA","110","d0254; P1092 raises tower 10' for Verizon","Sprint @ 100'","Verizon @ 110'","Dish @ 34'",,,,,,
"Greenwich","Byram Road","utility pole","Verizon","25","small cell; intersection of Byram Road and West Putnam Ave","Verizon @ 25'",,,,,,,,
"Glastonbury","*** Main Street","utility pole","Verizon","29","small cell","Verizon @ 29.75'",,,,,,,,
"East Hampton","* Public Works Drive","monopole","Crown Castle","180","d0229","Sprint @ 180'","Cingular @ 167'","Nextel @ 157'","Verizon @ 160'",,,,,
"Stamford","*** High Ridge Road","utility pole",,"38","small cell","Verizon @ 38'",,,,,,,,
"Clinton","Cedar Island Avenue","utility pole","Verizon","41","small cell; adjacent to 37 Riverside Drive","Verizon @ 41'",,,,,,,,
"Hamden","***-*** Mix Avenue","rooftop","Chestnut Hill South LLC",,,"Sprint @ 57'","T-Mobile @ 60'","Nextel @ 54'","MetroPCS @ 57'",,,,,
"Rocky Hill","**** Trout Brook Crossing","in-building DAS",,,,"T-Mobile @ 0'",,,,,,,,
"West Haven","*** Burwell Road","self-supporting lattice","Crown Castle","180",,"Verizon @ 160'","DISH @ 150",,,,,,,
"Newtown","** Dinglebrook Lane","monopole","Cingular (AT&T)","150","d0376","Cingular (AT&T) @ 150'","T-Mobile @ 128'","DISH @ 119'",,,,,,
"Bridgeport","*** Grant Street","rooftop","Bridgeport Hospital",,,"Verizon @ 144'","Sprint @ 140'",,,,,,,
"Waterbury","** Wolcott Road","church steeple",,,,"Cingular @ 69'",,,,,,,,
"Bridgeport","*** Granfield Avenue","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Hartford","*** Newton Street","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"West Hartford","*** North Main Street","rooftop",,"73'","Bishop's Corner; carriers Nextel, AT&T, Sprint, T-Mobile, Teligent (3 dish antennas)","Cingular @ 78'","Sprint @ 100'","T-Mobile @ 102'",,"Nextel @ 80'",,,,
"Guilford","** Tanner Marsh Rd","self-supporting lattice","American Tower","190","d044.2; p1021 - replace 150' monopole with 190' ssl","Cingular @ 160'","wmnr @ 125'","T-Mobile @ 170'","MetroPCS @ 180'","town of guilford @ var.","usa mobility @ 130'","Dish @ 105",,
"Avon","West Main Street","utility pole","Verizon","37","small cell; adjacent to 328 West Main Street","Verizon @ 36.8'",,,,,,,,
"New Haven","*** Dwight Street","rooftop",,,,"Sprint @ 79'",,,,,,,,
"Wallingford","** North Main Street","rooftop","Sprint","65'",,"Sprint @ 75'","Nextel @ 77'","T-Mobile @ 61'","Verizon @ 67'",,,,,
"Stratford","**** Huntington Road","small cell","Hill Top Market LLC","14","p1188","Verizon @ 21.3'",,,,,,,,
"Plymouth","*** (***) Mt. Tobe Road","monopole","SBA","160","also 6 dual-band amps and up to 3 combiners","T-Mobile @ 160'","Nextel @ 127'","Verizon @ 137'","Cingular @ 108'",,,,,
"Bozrah","*** Gifford Lane","self-supporting lattice","SBA Towers","193","assoc. equipment: 6 TTAs, 3 CSS combiners","Verizon @ 165'","T-Mobile @ 193'","Cingular @ 182'",,,,,,
"Norwalk","** Norden Place","smokestack",,,,"Sprint @ 100'",,,,,,,,
"Killingly","*** Bailey Hill Road","monopole","Verizon","150","D469","verizon @ 150'",,,,,,,,
"East Haven","** Frank Messina Drive","rooftop",,,,"Cingular @ 95'","Sprint @ 103'","T-Mobile @ 107'","Verizon @ 100'","Nextel @ 91'","MetroPCS @ 101'",,,
"Tolland","*** Gehring Road","lattice","Town of Tolland","60","Used for emergency dispatch",,,,,,,,,
"Brooklyn","** Tiffany Street","water tank",,"140'","carrier: Southwestern Bell","Cingular @ 131'","T-Mobile @ 130'","Nextel @ 125'",,,,,,
"Hartford","*** Market Street","small cell","Communinity Renewal Team","40'","P1242 faux chimney on roof of office building","Verizon @ 38'",,,,,,,,
"Fairfield","** Walls Drive","rooftop",,,"p0343","T-Mobile @ 59'","Cingular @ 20'",,,,,,,
"East Lyme","** Grand Street","utility pole","Verizon","31","small cell","Verizon @ 31'",,,,,,,,
"Meriden","** West Peak Dr","self-supporting lattice","Mark Gilmore","150","power mount to 195'","Verizon @ 98'6""","Sprint @ 60'","T-Mobile @ 130'","Nextel @ 115'",,,,,
"Chaplin","*** Davis Road","monopole","Sprint","162' 6""",,"Nextel @ 173'","Sprint @ 165'","Verizon @ 155'",,,,,,
"Stamford","** Willowbrook Avenue","utility pole","Verizon","24","small cell; across from intersection with Hale Street","Verizon @ 24.6'",,,,,,,,
"Redding","** Wayside Lane","other (flagpole)","AT&T","120","d0284","Cingular/AT&T @ 117/109'","T-Mobile @ 84'",,,,,,,
"Bristol","*** Burlington Avenue","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"Danbury","** Newtown Road","utility pole",,"36","PURA","AT&T @ 36'",,,,,,,,
"Newington","*** Costello Road","monopole","Costello Industries","115",,"Verizon @ ?","Cingular @ 105'","T-Mobile @ 95'",,,,,,
"Bethel","* Sky Edge","power mount","CL&P","150","p0515","Sprint @ 157'",,,,,,,,
"Thomaston","*** Chapel Street","monopole","Crown Castle","175",,"Sprint @ 162'","Verizon @ 152'","Cingular @ 142'","T-Mobile @ 172'","town @ 125'","state police @ 125'","Dish @ 130",,
"Glastonbury","*** Bell Street","self-supporting lattice","InSite Wireless","90","d0016; p0990 - raise height of tower to 104', add Verizon antennas @ 100'","greater Hftd cable @ 85'","town @ 75'","Cingular @ 88'","Verizon @ 100'","MetroPCS/T-Mobile @ 65'","Dish @ 55'",,,
"Trumbull","*** Hawley Lane","rooftop","Trumbull Marriott Hotel",,,"Cingular @ 56'","Sprint @ 54'","T-Mobile @ 56'","Verizon @ 55.1'",,,,,
"Hartford","*** Maple Avenue","rooftop",,,,"T-Mobile @ 52'",,,,,,,,
"Hartford","*** Capitol Ave","building mount","Message Center Mgmt","90",,"American Messaging Service",,,,,,,,
"Plainville","*** Woodford Avenue","rooftop",,,,"T-Mobile @ 70'",,,,,,,,
"Woodstock","** Sherman Road","monopole","Verizon","140","d0369","Verizon @ 137'","T-Mobile @ 105'",,,,,,,
"East Hampton","North Maple Street","utility pole","Verizon","28","small cell; adjacent to 15 North Maple Street","Verizon @ 28'",,,,,,,,
"Branford","*** Short Beach Road","monopole","American Towers LLC","120","d0427","AT&T @ 120'","Verizon @ 110'",,,,,,,
"Danbury","** Lake Avenue Extension","rooftop",,,,"Verizon @ 48'",,,,,,,,
"New Britain","**** Stanley Street (Vance Hall - CCSU)","guyed lattice","CCSU","80","(p0366)CCSU - Vance Dormitory","Cingular @ 62'","Sprint @ 80'",,,,,,,
"Torrington","**** Highland Avenue","guyed lattice","SBA","260",,"Nextel @ 200'","lac @ 205'","marcus @ 60/100'","Cingular @ 245'",,,,,
"Stratford","*** Oronoque Road/Fire Station #*","self-supporting lattice","Town of Stratford","120","UI @100' on Town pole","ui",,,,,,,,
"New Haven","*** Washington Avenue","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Greenwich","*** Round Hill Road-tower A","monopole/stick","Verizon","115","d0309","Verizon PCS @ 110'","Verizon cellular @ 100'","Cingular/AT&T @ 90'","Verizon @ 94' - 114'",,,,,
"Simsbury","** Albany Turnpike","rooftop","Verizon","32","small cell","Verizon @ 32'",,,,,,,,
"Stamford","** Strawberry Hill Avenue","rooftop","Verizon","136",,"Verizon @ 136'",,,,,,,,
"Rocky Hill","* (R***) West Street","monopole","property owner is CL&P/tower owner is SCLP","100","d0151","Cingular @ 100'","Verizon @ 90'",,,,,,,
"Farmington","*** Farmington Avenue","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Westport","** Hales Road","utility pole","Verizon","25","small cell","Verizon @ 25'",,,,,,,,
"Enfield","Town Farm Rd","monopole","American Tower","150","d0051.1","Cingular @ 150'","T-Mobile @ 140'","enertrac @ 144'",,,,,,
"Hartford","*** New Park Avenue","monopole","Crown Castle","100'","p0889 adds 10' extension; P1001 - MetroPCS expands compound slightly","Sprint @ 100'","Verizon @ 108'","MetroPCS @ 80'",,,,,,
"Hartland","** Welsh Road","lattice","Town of Hartland","180'","elevation 1074.96","Verizon @ 180'","town @ 180'",,,,,,,
"Weston","Weston Road","power mount","CL&P","83","(p0386) CL&P Structure 924; pwithdrawn 6/14/2000","Sprint @ 98'",,,,,,,,
"Naugatuck","**** New Haven Road","in-building IP access",,,"Wal-Mart","T-Mobile",,,,,,,,
"East Haven","*** Commerce Street","monopole","Stephen Viglione","57","(p0634)replace existing 48' lattice tower/p0775","Cingular/AT&T @ 57'","T-Mobile @ 47'",,,,,,,
"Stamford","** Guinea Road (* Old Route **)","monopole","Crown Atlantic","160","d0180","metricom @ 98'","xm @ 88'(whip)/73'(dish)","Verizon @ 140'","Sprint @ 160'","Cingular @ 150'","Nextel @ 130'","T-Mobile @ 120'",,
"Stamford","*** Lakeside Drive","self-supporting lattice","Aquarion Water company",,"site provided by City of Stamford",,,,,,,,,
"Westport","**** Post Road East","flagpole on bldg.","AT&T Wireless","45'",,"T-Mobile @ 45'",,,,,,,,
"East Windsor","*** Prospect Hill Road","tower","Town of East Windsor","150'",,,,,,,,,,
"New Canaan","** Pine Street","utility pole","Verizon","37","small cell","Verizon @ 37'",,,,,,,,
"Shelton","* Corporate Drive","rooftop",,,"carrier: T-Mobile","Nextel @ 131'","T-Mobile",,,,,,,
"Middlefield","Kikapoo Road, Mount Beseck","lattice pole","SBC","40",,,,,,,,,,
"Meriden","* Undercliff Road","rooftop",,,,"Sprint @ 85'",,,,,,,,
"Woodbury","*** Great Hollow Road","monopole","Crown Castle","140","(d0236/p0677) change ground equipment to convert AT&T antennas to Alltel","Sprint @ 110'","Cingular @ 140'","Verizon @ 130'","Nextel @ 120'","T-Mobile @ 88'","Dish @ 144'",,,
"Wethersfield","*** Silas Deane Hwy","monopole","Wethersfield PD","120",,"Verizon @ 90'","MetroPCS @ 105'",,,,,,,
"Hamden","**** Wintergreen Ave (West Rock Park)(**** Wintergreen)","self-supporting lattice","Eric Zachs (West Rocks LLC)","250","d0056.2","Verizon @ 180'","marcus @ 250'/180'","Nextel @ 158'","Cingular/AT&T @ 108'","Sprint-Nextel @ 150'",,,,
"Greenwich","Shore Road","utility pole","Verizon","35","small cell; adjacent to 495 Field Point Road","Verizon @ 35'",,,,,,,,
"New Britain","** Columbus Boulevard","rooftop","La Quinta hotel",,,"T-Mobile @ 70'",,,,,,,,
"Wethersfield","*** Prospect Street","rooftop",,,,"Verizon @ 45'",,,,,,,,
"North Haven","** Church St.","church steeple","Nextel","77","Town added in 2007 list","Nextel @ 77'",,,,,,,,
"Woodbridge","** Meetinghouse Lane","tower","Town of Woodbridge","91",,"AT&T @ 64'",,,,,,,,
"Fairfield","**** Bronson Road","windmill rooftop",,,,"Sprint @ 70'",,,,,,,,
"Milford","Broad Street","utility pole","Verizon","37","small cell; across from 21 Broad Street","Verizon @ 37'",,,,,,,,
"New Haven","*** Chapel Street (*** East Street)","rooftop",,,,"T-Mobile @ 71'","AT&T @ 67'",,,,,,,
"Roxbury","off Route ** (Southbury Road)","monopole","AT&T","170","d0428","AT&T @ 166'","Dish @ 136'",,,,,,,
"North Branford","*** Clintonville road","Verizon",,"110","install generator","Verizon @ 110'",,,,,,,,
"Wilton","** Old Danbury Rd (Wilton RR Stn)","power mount","CL&P","124","P395A","T-Mobile @ 119'",,,,,,,,
"West Hartford","**** Farmington Avenue","small cell","Verizon","35","p1316; small cell on building roof w/in faux chimney","Verizon @ 32'",,,,,,,,
"New Haven","*** Whitney Avenue","steeple",,"90'","t-mobile Communications, Inc. antenna","Sprint @ 100'","T-Mobile @ 90'","MetroPCS @ 75'","AT&T @ 76'",,,,,
"Groton","*** Brandegee Avenue","water tower","City of Groton",,,"Sprint @ 84'","T-Mobile @ 65'","Verizon @ 73'",,,,,,
"East Hartford","** East River Drive - Riverview","rooftop",,,,"AT&T @ 117'","Verizon @ 150'","T-Mobile @ 90'","Sprint @ 109'",,,,,
"Southington","*** and *** Mount Vernon Road","small cell","Verizon","32","small cell on existing lightpole/utility pole","Verizon 30'",,,,,,,,
"Stratford","Warner Hill Road","utility pole","Verizon","37","small cell; across from Coe Avenue","Verizon @ 37'",,,,,,,,
"Hartford","***-*** Barbour Street","rooftop",,,,"T-Mobile @ 42'",,,,,,,,
"Danbury","* Padanaram Road","utility pole","Verizon","34","small cell","Verizon @ 34'",,,,,,,,
"Portland","*** Marlborough Street","utility pole","Verizon","23","small cell","Verizon @ 23'",,,,,,,,
"Manchester","*** Olcott Street","power mount","CL&P (structure #20003)","155","(p0693)AT&T antennas on mast added to 155' tower; P1044 MetroPCS antennas added to tower","Cingular @ 165'","MetroPCS @ 144'",,,,,,,
"Mansfield","* North Eagleville Road","church steeple","Mansfield Congregational Church",,,"Verizon @ 85'","AT&T @ 66'",,,,,,,
"Colchester","*** Middletown Road (Lot **)","monopole","Cellco","180","(d0218)also add tower top amps and dual-band combiners","Verizon @ 180'","Cingular @ 160'",,,,,,,
"Brookfield","Sand Cut Road","utility pole","Verizon","36","small cell; adjacent to 1 Sand Cut Road","Verizon @ 36'",,,,,,,,
"Milford","**** Boston Post Road","s-flagpole","Verizon (on Howard Johnson Hotel)","88","(p0680)40' flagpole on top of Howard Johnson hotel; Cingular antennas also on hotel; P1357 C-RAN installation","Cingular @ 47'","Verizon @ 82.5/76.5'","T-Mobile @ 72'",,,,,,
"North Haven","*** Washington Ave","rooftop","Candid Communications",,"carrier: T-Mobile","T-Mobile @ 65'",,,,,,,,
"Newington","****-**** Berlin Turnpike","small cell","Verizon","32'8""","P1244; small cell on roof of Dick's Sporting Goods","Verizon @ 31'6""",,,,,,,,
"Winchester","Norfolk Road (Route **)","monopole","Verizon","150","d0361","Verizon @ 150'","AT&T @ 137'",,,,,,,
"New Milford","* Old Town Park Road","power mount","CL&P (pole # 10185)","160","(p0723) pipe mast extension on existing transmission line pole","Cingular @ 175'",,,,,,,,
"Tolland","*** Kozley Road","guyed lattice","Robert Cohen","35",,,,,,,,,,
"Enfield","* Oliver Rd","monopole","Crown Media","150","d0139.2","Verizon @ 150'/110'","Nextel @ 125'","T-Mobile @ 115'","pagenet @ 105'","Cingular/AT&T @ 160'","xm sat @ 95'",,,
"Putnam","** Front Street","rooftop",,,,"T-Mobile @ 57'","Verizon @ 58'",,,,,,,
"Guilford","*** Boston Post Road","small cell","Sachem Square, LLC","23","p1172","Verizon @ 30'",,,,,,,,
"Wolcott","**** Wolcott Road","self-supporting lattice","American Tower","180",,"Verizon @ 135'",,,,,,,,
"Farmington","**** New Britain Avenue","rooftop",,,,"T-Mobile @ 53'",,,,,,,,
"Griswold","*** Bishop Crossing (** Polinsky Drive)","monopole","SBA Inc","150",,"Cingular @ 147'","Verizon @ 107'","Dish @ 132'",,,,,,
"Middletown","**** South Main St","monopole","SBA","158",,"Verizon @ 156'","Sprint/clearwire @ 147'","T-Mobile 137'","Nextel @ 125'","MetroPCS @ 116'","Cingular @ 157'",,,
"New Haven","*** Peat Meadow Road","Billboard mounted monopole","Verizon","70'","Petition No. 1440","Verizon @62' & 67'",,,,,,,,
"Oxford","*** Oxford Road","monopole","Crown Castle","150",,"Cingular @ 137'","Verizon @ 147'",,,,,,,
"Trumbull","Rocky Hill Road","power mount","CL&P (#845)","150","p0400; p0915 - add 8' pipe mast; P1133 Verizon EFR subpetition","T-Mobile @ 165'","Verizon @ 90'",,,,,,,
"Hartford","*** Windsor Street","rooftop",,"80'",,"Cingular @ 80'","MetroPCS/T-Mobile @ 55'","Sprint @ 65'",,,,,,
"West Haven","*** Elm Street","utility pole","Verizon","39","small cell","Verizon @ 39.5'",,,,,,,,
"Montville","*** Route **","rooftop","Town of Montville","65'",,,,,,,,,,
"West Hartford","**** New Britain Ave (* Berkshire Rd)","monopole","Crown Castle","125",,"Verizon @ 110'","Nextel @ 128'","T-Mobile @ 105'","Dish @ 86",,,,,
"Stafford","*** Hampden Road","guyed lattice","Cordless Data Transfer","180'; 60'","2 towers, antenna owners: Sprint, Nextel, Three Way Communications","Nextel @ 150'",,,,,,,,
"Watertown","*** Georgetown Drive/Straits Turnpike","water tank","Town of Watertown","97","Antennas on top of tank; carriers Sprint, T-Mobile, Verizon","Cingular @ 110'","T-Mobile @ 95'","Sprint @ 93'",,,,,,
"New Haven","*** Orange St.","building mount","AT&T/SCLP","100","100' rooftop lattice tower, 306' agl to top of tower","AT&T/pers. @ 90'","sirius @ 143'","Cingular @ 106/87'/82'","marcus @ 289'",,,,,
"Stamford","*** Hope Street","rooftop",,,,"Sprint @ 64' & 68'",,,,,,,,
"Stamford","* Strawberry Hill Avenue","building mount","Message Center Mngmt","180",,"Arch Wireless",,,,,,,,
"New Haven","*** Church Street","rooftop",,,"AT&T Diversified Group, Inc.",,,,,,,,,
"Cromwell","Christian Hill Rd./*** Berlin Road","other (billboard)","Shaner Hotel Group","111'",,"Cingular/AT&T @ 102'","Verizon @ 78'/88'","T-Mobile @ 108'",,,,,,
"Greenwich","** Greenwich Avenue","rooftop",,,,"T-Mobile @ 52'",,,,,,,,
"Lisbon","** Mell Rd","monopole","American Tower","187",,"Cingular @ 180'","DISH @ 173",,,,,,,
"Orange","Hunting Hill Place","power mount","CL&P","100","(p0486)3 Nortel S8000 cabinets","T-Mobile @ 112'",,,,,,,,
"Stamford","*** Roxbury Road","utility pole","Verizon","34","small cell","Verizon @ 34'",,,,,,,,
"Mansfield","*** Bolton Road (Nathan Hale Inn)","rooftop",,,,"Cingular @ 60'","Verizon @ 47'",,,,,,,
"Torrington","**** Highland Avenue","self-supporting lattice","CL&P/NU","195","(d0178)Increase tower from 140 ft to 195 ft","dps @ 192'",,,,,,,,
"Stamford","*** Wardwell Street","utility pole","Verizon","36","small cell","Verizon @ 36'",,,,,,,,
"Bridgeport","*** Newfield Avenue","billboard",,,,"T-Mobile @ 10'",,,,,,,,
"Glastonbury","**** Main Street","self-supporting lattice","SBA","130","3 Nortel S8000 cabinets on concrete pad","Nextel @ 128'","Sprint @ 118'","Cingular/AT&T @ 108'","T-Mobile @ 93'","Verizon @ 80'",,,,
"New London","*** Huntington Street","small cell","Verizon","60","P1254 - Verizon small cell on rooftop sign structure","Verizon @ 59'",,,,,,,,
"Newtown","* Primrose Street","small cell","Verizon","27","p1211","Verizon @ 40'",,,,,,,,
"Milford","*** Boston Post Rd","self-supporting lattice","Crown Castle","150",,"xm @ 90'","T-Mobile @ 110'","town @ 125'","Cingular/AT&T @ 140'",,,,,
