"agency","housing_type","address","city","phone_number","clientele","population_served","additional_information","website","location"
"Poinsettia Station Apts.","Affordable Housing","6811 Embarcadero Lane","Carlsbad","(760) 438-8839","Low Income",,"Units: 92
Bedrooms: 1-3",,"6811 Embarcadero Lane
Carlsbad, CA 92011
(33.108756, -117.317027)"
"Posadas de los Granados 
by Casa Familiar","Affordable Housing","121 W. Hall Avenue","San Ysidro","(619) 428-1115","Elderly","Seniors 62+","Units: 2
Bedrooms: 3","www.casafamiliar.org","121 W. Hall Avenue
San Ysidro, CA 92173
(32.554617, -117.045518)"
"Poway Villas","Affordable Housing","13001 Bowron Road","Poway","(858) 748-6513","Low Income",,"Units: 60
Bedrooms: 1-3",,"13001 Bowron Road
Poway, CA 92064
(32.954257, -117.045187)"
"Presbyterian Crisis Center
Home Run","Transitional Shelter","2459 Market Street","San Diego","(619) 232-2753","Families","Homeless","Beds: 
Max Stay: Unlimited",,"2459 Market Street
San Diego, CA 92102
(32.711577, -117.141135)"
"President John Adams Manor","Affordable Housing","5471 Bayview Heights Place","San Diego","(619) 262-0722","Low Income",,"Units: 300
Bedrooms: 1-3","www.maacproject.org","5471 Bayview Heights Place
San Diego, CA 92105
(32.724489, -117.078782)"
"Presioca Villa Apts.","Affordable Housing","9211 Amy's Street","Spring Valley","(619) 463-4667","Families",,"Units: 94
Bedrooms: 2",,"9211 Amy's Street
Spring Valley, CA 91977
(32.720486, -117.000775)"
"Promenade at Creekside","Affordable Housing","2 Creekside Drive","San Marcos","(800) 801-8440
ext. 7151","Families",,"Units: 104
Bedrooms: 1-3","www.solari-ent.com","2 Creekside Drive
San Marcos, CA 92078
(33.134524, -117.180639)"
"Rancho Buena Vista Apts.","Affordable Housing","2155 Corte Vista","Chula Vista","(619) 207-0368","Low Income",,"Units: 150
Bedrooms: 2-4 ",,"2155 Corte Vista
Chula Vista, CA 91915
(32.634808, -116.966377)"
"Rancho Carrillo Apts.","Affordable Housing","6053 Paseo Acampo","Carlsbad","(760) 603-8063","Low Income",,"Units: 116
Bedrooms: 1-3 ",,"6053 Paseo Acampo
Carlsbad, CA 92009
(33.128307, -117.243221)"
"Rancho del Norte","Affordable Housing","1675 Saintbury Glen","San Diego","(858) 832-1385","Low Income",,"Units: 119
Bedrooms: 1-3",,"1675 Saintbury Glen
San Diego, CA 92127"
"Rancho Santa Fe Village","Affordable Housing","500 S. Rancho Santa Fe Road","San Marcos","(760) 727-0055","Elderly","Seniors 55+","Units: 120
Bedrooms: 1-2","www.rfsvillage.com","500 S. Rancho Santa Fe Road
San Marcos, CA 92078
(33.136659, -117.205187)"
"Redwood Villas","Affordable Housing","3060 53rd Street","San Diego",,"Elderly","Seniors","Units: 90
Bedrooms: Studio-2",,"3060 53rd Street
San Diego, CA 92105
(32.737101, -117.081433)"
"Reese Village","Affordable Housing","4809 70th Street","San Diego","(858) 277-3757","Low Income","Disabled","Units: 18
Bedrooms: 1",,"4809 70th Street
San Diego, CA 92115
(32.766276, -117.046798)"
"Regency Centre Apts.","Affordable Housing","4765 Home Avenue","San Diego","(619) 266-1661","Families",,"Units: 100
Bedrooms: Studio-2",,"4765 Home Avenue
San Diego, CA 92105
(32.736284, -117.092365)"
"Reiss Hotel","Single Room Occupancy
Hotels","1432 1st Avenue","San Diego","(619) 238-9618","Low Income",,,,"1432 1st Avenue
San Diego, CA 92101
(32.720335, -117.163858)"
"Renaissance at North Park","Affordable Housing","4330 30th Street","San Diego","(619) 668-1532","Low Income",,"Units: 96
Bedrooms: 1-2","www.sdihf.org","4330 30th Street
San Diego, CA 92104
(32.755865, -117.130194)"
"Ridgeview Apts.","Affordable Housing","212 E. Fallbrook Street","Fallbrook","(760) 728-7015","Elderly","Seniors 62+ ;
Disabled","Units: 27
Bedrooms: Studio-2",,"212 E. Fallbrook Street
Fallbrook, CA 92028
(33.376594, -117.250309)"
"Riverview Springs Apts.","Affordable Housing","4398 Rainier Way","Oceanside","(760) 754-1616","Low Income",,"Units: 72
Bedrooms: 1-3",,"4398 Rainier Way
Oceanside, CA 92058
(33.24183, -117.32565)"
"Rodeway Inn","Single Room Occupancy
Hotels","643 E. San Ysidro Blvd","San Diego","(619) 428-2800","Low Income",,,,"643 E. San Ysidro Blvd
San Diego, CA 92173
(32.547356, -117.033606)"
"Rolling Hills Gardens Apts.","Affordable Housing","2290 Mackenzie Creek Road","Chula Vista","(619) 482-7583","Elderly","Seniors 55+","Units: 116
Bedrooms: 1-2",,"2290 Mackenzie Creek Road
Chula Vista, CA 91914
(32.659008, -116.968314)"
"Royal Apts.","Affordable Housing","1616 Guy Street","San Diego","(619) 298-6242","Low Income",,"Units: 121
Bedrooms: Studio","www.royalapartments.com","1616 Guy Street
San Diego, CA 92103
(32.743788, -117.178406)"
"Royal Apts.","Affordable Housing","5101 Towle Court","San Diego","(619) 281-9451","Low Income",,"Units: 48
Bedrooms: Studio",,"5101 Towle Court
San Diego, CA 92105
(32.747009, -117.084291)"
"Royal Heights Apartments","Affordable Housing","12135 Royal Road","San Diego","(619) 938-1856","Low Income",,"Units: 119
Bedrooms: ",,"12135 Royal Road
San Diego, CA 92021
(32.824105, -116.930738)"
"Royal Oaks Apts.","Affordable Housing","650 Woodward Street","San Marcos","(760) 471-0110","Elderly","Seniors 55+","Units: 12
Bedrooms: 1-2","www.royaloakseniorliving.com","650 Woodward Street
San Marcos, CA 92069
(33.149484, -117.15949)"
"Sage Canyon Apts.","Affordable Housing","1030 Stephanie Court","San Marcos","(760) 798-9113","Families",,"Units: 71
Bedrooms: 1-3","www.bridgehousing.com/properties/family/san-diego/san-marcos/sage-canyon ","1030 Stephanie Court
San Marcos, CA 92078
(33.102658, -117.192853)"
"Sage Pointe","Affordable Housing","225 Autumn Drive","San Marcos","(760) 591-7937","Families",,"Units: 32
Bedrooms: 1-2","www.affirmedhousing.org/proje cts/sage_pointe","225 Autumn Drive
San Marcos, CA 92069
(33.14309, -117.166525)"
"Sagewood at Stonebridge","Affordable Housing","16217 Stonebridge Pkwy","San Diego","(858) 397-1060","Low Income",,"Units: 106
Bedrooms: 1-3",,"16217 Stonebridge Pkwy
San Diego, CA 92131
(32.92655, -117.016788)"
"Sanctuary Bridges","Transitional Shelter","Confidential","San Diego","(619) 523-6060","Women and Children","Victims of 
Domestic Violence","Beds: 33
Max Stay: 18 Months",,"3989 Ruffin Road
San Diego, CA 92123
(32.814941, -117.122214)"
"San Diego Apts.","Affordable Housing","4085 44th Street","San Diego","(619) 584-1535","Elderly","Seniors 62+ ;
Disabled","Units: 16
Bedrooms: Studio-1 ",,"4085 44th Street
San Diego, CA 92105
(32.751172, -117.099802)"
"San Diego Leisure Life Village","Affordable Housing","10955 Carmel Mtn. Road","San Diego","(858) 672-0300","Low Income",,"Units: 248
Bedrooms: 1-2",,"10955 Carmel Mtn. Road
San Diego, CA 92129
(32.973394, -117.092603)"
"San Diego Rescue Mission
2nd Ave. Transitional Housing","Transitional Shelter","120 Elm Street","San Diego","(619) 687-3720","Adult Men/ Women","Women with Children ;
Homeless","Beds: 68
Max Stay: 24 Months",,"120 Elm Street
San Diego, CA 92101
(32.724044, -117.163427)"
"San Diego Rescue Mission
Men's Center","Transitional Shelter","120 Elm Street","San Diego","(619) 687-3720","Adult Men",,"Beds: 200
Max Stay: 1 Year",,"120 Elm Street
San Diego, CA 92101
(32.724044, -117.163427)"
"San Diego Rescue Mission
Nueva Vida Haven","Emergency Shelter","120 Elm Street","San Diego","(619) 687-3720","Women and Children","Victims of 
Domestic Violence","Beds: 60
Max Stay: 30 Days",,"120 Elm Street
San Diego, CA 92101
(32.724044, -117.163427)"
"San Diego Rescue Mission
Women and Children's Center","Transitional Shelter","120 Elm Street","San Diego","(619) 687-3720","Women and Children",,"Beds: 75
Max Stay: 18 Months",,"120 Elm Street
San Diego, CA 92101
(32.724044, -117.163427)"
"San Diego Square","Affordable Housing","1055 9th Avenue","San Diego","(619) 239-2073","Elderly","Seniors 62+","Units: 154
Bedrooms: 1",,"1055 9th Avenue
San Diego, CA 92101
(32.716242, -117.156536)"
"San Diego Youth Services
Take  Wing","Transitional Shelter","Confidential","San Diego","(619) 221-8610
ext. 2254","Youth","Homeless Youth 
(Ages 16-24)","Beds: 30
Max Stay: 18 Months",,"3989 Ruffin Road
San Diego, CA 92123
(32.814941, -117.122214)"
"San Diego Youth Services
The Storefront","Emergency Shelter","Confidential","San Diego","(866) 752-2327","Youth","Homeless Youth","Beds: 20
Max Stay: Unlimited",,"3989 Ruffin Road
San Diego, CA 92123
(32.814941, -117.122214)"
"San Diego Youth Services
The Storefront","Transitional Shelter","Confidential","San Diego","(619) 325-3527","Youth","Homeless Youth","Beds: 20
Max Stay: 21",,"3989 Ruffin Road
San Diego, CA 92123
(32.814941, -117.122214)"
"Santa Fe Ranch Apts.","Affordable Housing","3402 Calle Odessa","Carlsbad","(760) 943-1146","Low Income",,"Units: 64
Bedrooms: 1-2","www.santaferanchapthomes.com ","3402 Calle Odessa
Carlsbad, CA 92009
(33.077989, -117.234484)"
"Sara Frances Hotel","Single Room Occupancy
Hotels","943 10th Avenue","San Diego","(619) 239-7272","Low Income",,,,"943 10th Avenue
San Diego, CA 92101
(32.715218, -117.155616)"
"Scripps Lofts","Affordable Housing","525 C Street","San Diego","(619) 235-5601","Low Income",,"Units: 10
Bedrooms: Studio",,"525 C Street
San Diego, CA 92101
(32.716737, -117.159807)"
"Seabreeze Farms","Affordable Housing","12759 Seabreeze Farms Drive","San Diego","(858) 523-1328","Low Income",,"Units: 37
Bedrooms: 2-3",,"12759 Seabreeze Farms Drive
San Diego, CA 92130
(32.950851, -117.203721)"
"Sea Breeze Gardens Apts.","Affordable Housing","4888 Logan Avenue","San Diego","(619) 527-0741","Families",,"Units: 268
Bedrooms: 2-3","www.loganpm.com","4888 Logan Avenue
San Diego, CA 92113
(32.696799, -117.089901)"
"Second Street Apartments","Affordable Housing","850 Second Street","Encinitas","tosuek@gmail.com","Low Income",,"Units: 4
Bedrooms: 1-2",,"850 Second Street
Encinitas, CA 92024
(33.041285, -117.294161)"
"Senior Community Center
City Height Square","Permanent Supportive Housing","4065 43rd Street","San Diego","(619) 281-0483","Elderly","Seniors 62+","Beds:
Max Stay: ",,"4065 43rd Street
San Diego, CA 92105
(32.751031, -117.102008)"
"Senior Community Center
The Potiker Family Senior Residence","Permanent Supportive Housing","525 14th Street","San Diego","(619) 237-8004","Adult Men/ Women","Homeless","Beds: 200
Max Stay: Unlimited",,"525 14th Street
San Diego, CA 92101
(32.7109, -117.151925)"
"Senior Community Center 
Transitional Housing Program","Transitional Shelter","1525 4th Avenue","San Diego","(619) 235-6538
ext. 319","Elderly","Seniors 60+","Beds: 40
Max Stay: 90 days",,"1525 4th Avenue
San Diego, CA 92101
(32.721649, -117.161103)"
"Seniors on Broadway ","Affordable Housing","845 Broadway","Chula Vista","(619)591-0060","Elderly","Seniors 62+","Units: 41
Bedrooms: 1",,"845 Broadway
Chula Vista, CA 91911
(32.619262, -117.084896)"
"Set Free Baptist Fellowship
East County Transitional Living Center","Transitional Shelter","1527 E. Main Street","El Cajon","(619) 442-0457","Adult Men/ Women","All needs","Beds: 60
Max Stay: 1 Year",,"1527 E. Main Street
El Cajon, CA 92021
(32.805306, -116.925179)"
"Shadow Hills","Affordable Housing","11085 Woodside Avenue","Santee","(619) 449-9091","Low Income",,"Units: 82
Bedrooms: 2-3","www.liveatshadowhills.com","11085 Woodside Avenue
Santee, CA 92071
(32.846257, -116.956669)"
"Shadow Way Apts.","Affordable Housing","4779 Yuma Ave","Oceanside","(760) 940-0563","Low Income",,"Units: 144
Bedrooms: 2",,"4779 Yuma Ave
Oceanside, CA 92057
(33.243164, -117.295124)"
"Shirley Heights Homes","Affordable Housing","5605 Amanda Street","San Diego","(619) 564-7668","Low Income",,"Units: 34
Bedrooms: 4",,"5605 Amanda Street
San Diego, CA 92114
(32.707091, -117.074577)"
"Sierra Heights Senior Apts.","Affordable Housing","230 E. Fallbrook Street , #27","Fallbrook","(760) 723-4606","Elderly","Seniors 62+ ;
Disabled ;
Section 8","Units: 62
Bedrooms: Studio-2",,"230 E. Fallbrook Street
Fallbrook, CA 92028
(33.376588, -117.249896)"
"Sierra Vista","Affordable Housing","422 Los Vallecitos Blvd","San Marcos","(760) 471-1776","Low Income","Special Needs","Units: 190
Bedrooms: 2-3","www.nationalcore.org/communities/sierra-vista","422 Los Vallecitos Blvd
San Marcos, CA 92069
(33.140312, -117.175724)"
"Silvercrest Apts.","Affordable Housing","3839 Lake Blvd","Oceanside","(760) 940-0166","Elderly","Seniors 62+","Units: 67
Bedrooms: Studio-1",,"3839 Lake Blvd
Oceanside, CA 92056
(33.179906, -117.290477)"
"Silvercrest Chula Vista Apts.","Affordable Housing","636 Third Avenue","Chula Vista","(619) 427-4991","Elderly","Seniors 62+","Units: 72
Bedrooms: Studio-1",,"636 Third Avenue
Chula Vista, CA 91910
(32.629939, -117.075467)"
"Silvercrest El Cajon Apts.","Affordable Housing","175 S. Anza Street","El Cajon","(619) 593-1077","Elderly","Seniors 62+ ;
 Disabled","Units: 73
Bedrooms: Studio-1",,"175 S. Anza Street
El Cajon, CA 92020
(32.793501, -116.948203)"
"Silvercrest Escondido Apts.","Affordable Housing","1303 Las Villas Way","Escondido","(760) 741-4106","Elderly","Seniors 62+","Units: 74
Bedrooms: 1",,"1303 Las Villas Way
Escondido, CA 92026
(33.140294, -117.094543)"
"Silvercrest San Diego","Affordable Housing","727 E Street","San Diego","(619) 699-7272","Elderly","Seniors 62+ ","Units: 125
Bedrooms: 1",,"727 E Street
San Diego, CA 92101
(32.714662, -117.158108)"
"Silversage Apts.","Affordable Housing","11487 Woodside Avenue","Lakeside","(619) 938-1012","Low Income",,"Units: 80 
Bedrooms: 2-3",,"11487 Woodside Avenue
Lakeside, CA 92040
(32.852097, -116.949355)"
"Solara Apts.","Affordable Housing","13414 Community Road","Poway","(858) 748-0200","Families",,"Units: 56
Bedrooms: 1-3",,"13414 Community Road
Poway, CA 92064
(32.9596, -117.040658)"
"Sonoma Court Apts.","Affordable Housing","508 E. Mission Avenue","Escondido","(760) 745-9314","Low Income","Special Needs","Units: 61
Bedrooms: 2-3",,"508 E. Mission Avenue
Escondido, CA 92025
(33.132172, -117.079532)"
"Sorrento Tower","Affordable Housing","2875 Cowley Way, #102","San Diego","(619) 276-1775","Elderly","Seniors 62+ ;
Disabled","Units: 198
Bedrooms: Studio-1","www.sorrentotower.com","2875 Cowley Way
San Diego, CA 92110
(32.794049, -117.191466)"
"South Bay Community Services
Casa Nuestra Shelter","Emergency Shelter","1124 Bay Blvd., Suite D","Chula Vista","(619) 498-0555","Youth","Homeless Youth","Beds: 8
Max Stay: 4 Months",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"South Bay Community Services
Casa Nuestra Vida I","Emergency Shelter","1124 Bay Blvd., Suite D","Chula Vista","(619) 426-2350","Families","Homeless","Beds: 54
Max Stay: 4 Months",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"South Bay Community Services
Casas de Transition","Transitional Shelter","430 F Street, Suite D","Chula Vista","(619) 498-0555","Families","Homeless ;
Victims of Domestic Violence","Beds: 73
Max Stay: 12 Months",,"430 F Street
Chula Vista, CA 91911
(32.639893, -117.084944)"
"South Bay Community Services
Casa Seguras","Emergency Shelter","1124 Bay Blvd., Suite D","Chula Vista","(619) 426-2350","Families","Victims of 
Domestic Violence","Beds: 45
Max Stay: 4 Months",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"South Bay Community Services
Hotel Voucher","Hotel / Motel
Voucher Program","430 F Street","Chula Vista","(619) 420-3620","Families ","Homeless ;
Disabled ",,,"430 F Street
Chula Vista, CA 91910
(32.639893, -117.084944)"
"South Bay Community Services
La Nueva Aurora","Emergency Shelter","1124 Bay Blvd., Suite D","Chula Vista","(619) 420-3620","Families","Victims of
Domestic Violence","Beds: 32
Max Stay: 4 Months",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"South Bay Community Services
La Posada","Permanent Supportive Housing","1124 Bay Blvd., Suite D","Chula Vista","(619) 420-3620","Families","HIV/AIDS","Beds: 28
Max Stay: Unlimited",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"South Bay Community Services
La Posada- Shelter Plus Care","Permanent Supportive Housing","1124 Bay Blvd., Suite D","Chula Vista","(619) 420-3620","Families","HIV/AIDS","Beds: 36
Max Stay: Unlimited",,"1124 Bay Blvd
Chula Vista, CA 91911
(32.606343, -117.092257)"
"South Bay Community Services
Trolley Trestle","Transitional Shelter","430 F Street, Suite D","Chula Vista","(619) 420-8722","Youth","Homeless ; 
Parenting Youth","Beds: 10
Max Stay: 18 Months",,"430 F Street
Chula Vista, CA 91911
(32.639893, -117.084944)"
"South Bay Community Services
Victorian Heights","Transitional Shelter","430 F Street, Suite D","Chula Vista","(619) 420-3620","Women and Children","Victims of 
Domestic Violence ; 
Substance Abuse","Beds: 38
Max Stay: 24 Months",,"430 F Street
Chula Vista, CA 91911
(32.639893, -117.084944)"
"Southern Hotel","Single Room Occupancy
Hotels","1159 6th Avenue","San Diego","(619) 239-3808","Low Income",,,,"1159 6th Avenue
San Diego, CA 92101
(32.717583, -117.15928)"
"Springbrook Grove Apts.","Affordable Housing","435 Alturas Road","Fallbrook","(760) 731-2889","Low Income",,"Units: 44
Bedrooms: 2-3",,"435 Alturas Road
Fallbrook, CA 92028
(33.378565, -117.257938)"
"Spring Valley Apts.","Affordable Housing","8885 Orville Street","Spring Valley","(619) 741-1032","Low Income",,"Units: 60
Bedrooms: Studio-1","www.liveatspringvalley.com","8885 Orville Street
Spring Valley, CA 91977
(32.709217, -117.007918)"
"Spring Villas Apts.","Affordable Housing","8768 Jamacha Road","Spring Valley","(619) 589-9966","Low Income",,"Units: 136
Bedrooms: 1-2",,"8768 Jamacha Road
Spring Valley, CA 91977
(32.714784, -117.010639)"
"Star Motel","Single Room Occupancy
Hotels","1060 Outer Road ","San Diego","(619) 423-2402","Low Income",,,,"1060 Outer Road
San Diego, CA 92154
(32.577411, -117.081956)"
"St. Clare's Home
Transitional Shelter","Transitional Shelter","2201 East Valley Pkwy., Suite B","Escondido","(760) 741-0122","Women and Children",,"Beds: 10
Max Stay: 90 Days",,"2201 East Valley Pkwy
Escondido, CA 92025
(33.139314, -117.047872)"
"Stepping Stone
Enya House","Transitional Shelter","3767 Central Avenue","San Diego","(619) 584-4010","Adult Men/ Women","HIV/AIDS ;
Substance Abuse Treatment","Beds: 29
Max Stay: 6 Months",,"3767 Central Avenue
San Diego, CA 92105
(32.74711, -117.108167)"
"St. James Plaza","Affordable Housing","1052 Ninth Street","Imperial Beach","(619) 575-3232","Elderly","Seniors 62+","Units: 99
Bedrooms: 1",,"1052 Ninth Street
Imperial Beach, CA 91932
(32.578049, -117.11433)"
"St. John's Plaza","Affordable Housing","8150 Broadway","Lemon Grove","(619) 466-5354","Elderly","Seniors 62+ ;
Disabled","Units: 98
Bedrooms: Studio-1",,"8150 Broadway
Lemon Grove, CA 91945
(32.743904, -117.021784)"
"St. Martin De Porres","Affordable Housing","9119 Jamacha Road","Spring Valley","(619) 589-5431","Low Income",,"Units: 115
Bedrooms: 2-4","www.maacproject.org","9119 Jamacha Road
Spring Valley, CA 91977
(32.714854, -117.002226)"
"Stonewood Gardens","Affordable Housing","3889 Midway Drive","San Diego","(619) 752-3625","Low Income",,"Units: 51
Bedrooms: Studio-2","www.stonewood.mgproperties.com","3889 Midway Drive
San Diego, CA 92110
(32.754742, -117.219483)"
"St. Paul's Manor","Affordable Housing","2635 Second Avenue","San Diego","(619) 239-2097","Elderly","Seniors 62+ ","Units: 147
Bedrooms: 1",,"2635 Second Avenue
San Diego, CA 92103
(32.733087, -117.163029)"
"Stratton Apts.","Affordable Housing","5765 Mt. Alifan Drive","San Diego","(619) 235-2296","Low Income",,"Units: 166
Bedrooms: 2-3","www.stratton-apts.com","5765 Mt. Alifan Drive
San Diego, CA 92111
(32.817969, -117.177846)"
"St. Regis Park Apts.","Affordable Housing","1025 Broadway","Chula Vista","(619) 425-8411","Low Income",,"Units: 119
Bedrooms: 1-3",,"1025 Broadway
Chula Vista, CA 91911
(32.612413, -117.082152)"
"St. Stephen's Apts.","Affordable Housing","5641 Imperial Avenue","San Diego","(619) 266-0285","Elderly","Seniors 55+ ","Units: 50
Bedrooms: 1",,"5641 Imperial Avenue
San Diego, CA 92114
(32.708152, -117.074452)"
"St. Stephen's Retirement Center","Affordable Housing","5625 Imperial Avenue","San Diego","(619) 264-1997","Elderly","Seniors 62+ ","Units: 60
Bedrooms: Studio-1",,"5625 Imperial Avenue
San Diego, CA 92114
(32.707933, -117.075395)"
"Studio 15","Affordable Housing","1475 Imperial Avenue","San Diego","(619) 795-0695","Low Income",,"Units: 274
Bedrooms: Studio",,"1475 Imperial Avenue
San Diego, CA 92101
(32.706277, -117.150797)"
"Studio 819","Single Room Occupancy
Hotels","819 University Avenue","San Diego","(619) 542-0819","Low Income",,,,"819 University Avenue
San Diego, CA 92103
(32.748391, -117.156674)"
"St. Vincent De Paul Village, Inc.
Project 25","Winter Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500
ext. 1070","Adult Men/ Women","Homeless","Beds: 200
Max Stay: 3 Months",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent De Paul Village, Inc.
Seasonal Family Overflow","Winter Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Adult Men/ Women","Homeless","Beds: 260
Max Stay: 4 Months",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent De Paul Village, Inc.
Seasonal PMC Overflow","Winter Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500
ext. 4447","Adult Men/ Women","Homeless","Beds: 190
Max Stay: 3 Months",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Joan Kroc Center-Families Program","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Families","Homeless","Beds: 136
Max Stay: 120 Days",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Joan Kroc Center-Family Living Center","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Families","Homeless","Beds:112
Max Stay: 4 Months",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Joan Kroc Center-Men's Program","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Adult Men","Homeless","Beds: 
Max Stay: 120 Days",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Joan Kroc Center-Women's Program","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Adult Women","Homeless","Beds: 68
Max Stay: 24 Months",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Josue Homes","Transitional Shelter","5120 70th Street","San Diego","(619) 667-2610","Adult Men/ Women","HIV/AIDS","Beds: 38
Max Stay: 1-18 Months",,"5120 70th Street
San Diego, CA 92115
(32.771608, -117.047007)"
"St. Vincent de Paul Village
Paul Mirabile Center- Men's Program","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Adult Men","Homeless","Beds: 270
Max Stay: 120 Days ",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Paul Mirabile Center- Women's Program","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Adult Women","Homeless","Beds: 80
Max Stay: 120 Days",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
S.T.E.P for Single Women","Transitional Shelter","1501 Imperial Avenue","San Diego","(619) 233-8500","Adult Women","Homeless","Beds: 35
Max Stay: 24 Months",,"1501 Imperial Avenue
San Diego, CA 92101
(32.706275, -117.149875)"
"St. Vincent de Paul Village
Toussaint Teen Center","Transitional Shelter","1404 5th Avenue","San Diego","(619) 687-1080","Youth","Homeless Youth","Beds: 30
Max Stay: 4 Years",,"1404 5th Avenue
San Diego, CA 92101
(32.720167, -117.160202)"
"St. Vincent de Paul Village
Village Place Project- Shelter Plus Care","Permanent Supportive Housing","32 17th Street, Suite 111","San Diego","(619) 687-1074","Adult Men/ Women","Homeless","Beds: 25
Max Stay: Unlimited",,"32 17th Street
San Diego, CA 92101
(32.705759, -117.148554)"
"St. Vincent de Paul Village
Villa Harvey Mandel","Permanent Supportive Housing","72 17th Street","San Diego","(619) 233-8500","Adult Men/ Women","Severely Mentally Ill","Beds: 25
Max Stay: Unlimited",,"72 17th Street
San Diego, CA 92101
(32.705783, -117.148554)"
"St. Vincent de Paul Village
Villa Harvey Mandel-Shelter Plus Care","Permanent Supportive Housing","72 17th Street","San Diego","(619) 233-8500","Adult Men/ Women","Severely Mentally Ill ","Beds: 8
Max Stay: Limited",,"72 17th Street
San Diego, CA 92101
(32.705783, -117.148554)"
"Su Casa Por Cortez Apts.","Affordable Housing","620 Melba Road, #24","Encinitas","(760) 436-3209","Low Income",,"Units: 28
Bedrooms: 2-3",,"620 Melba Road
Encinitas, CA 92024
(33.039853, -117.278707)"
"Summercrest Apts.","Affordable Housing","2615 E. Plaza Blvd","National City","(619) 475-2125","Elderly","Seniors 62+","Units: 372
Bedrooms: Studio-3",,"2615 E. Plaza Blvd
National City, CA 91950
(32.6801, -117.079486)"
"Summeridge/Village West Apts.","Affordable Housing","818 E. Alvarado Street","Fallbrook","(760) 728-4409","Low Income",,"Units: 96
Bedrooms: Studio-2",,"818 E. Alvarado Street
Fallbrook, CA 92028
(33.382005, -117.241767)"
"Summit Rose Apts.","Affordable Housing","460 E. Washington Avenue","Escondido","(760) 747-5760","Low Income",,"Units: 91
Bedrooms: 1-2",,"460 E. Washington Avenue
Escondido, CA 92025
(33.12833, -117.079408)"
"Sunny Creek Apts.","Affordable Housing","5410 Sunny Creek Road","Carlsbad","(760) 602-4242","Low Income",,"Units: 50
Bedrooms: Studio-3",,"5410 Sunny Creek Road
Carlsbad, CA 92009
(33.144866, -117.28062)"
"Sunrose Apts.","Affordable Housing","1325 Santa Rita Avenue","Chula Vista","(619) 397-2861","Low Income",,"Units: 178
Bedrooms: 2-4",,"1325 Santa Rita Avenue
Chula Vista, CA 91913
(32.6218, -116.998445)"
"Sycamore Court Apts.","Affordable Housing","4048 48th Street","San Diego","(619) 584-1535","Low Income",,"Units: 17
Bedrooms: 1-2",,"4048 48th Street
San Diego, CA 92105
(32.750511, -117.091217)"
"Talmadge Senior Village","Affordable Housing","5252 El Cajon Blvd","San Diego","(619) 265-1600","Elderly","Seniors 55+","Units: 91
Bedrooms: 1-2","www.liveattalmadgeseniorvillage.com","5252 El Cajon Blvd
San Diego, CA 92115
(32.757537, -117.081935)"
"T.E.L.A.C.U. Southbay Manor Apts.","Affordable Housing","650 E. 14th Street","National City","(619) 477-0711","Elderly","Seniors 62+","Units: 75
Bedrooms: 1",,"650 E. 14th Street
National City, CA 91950
(32.672588, -117.097941)"
"Teralta Court Apts.","Affordable Housing","4165 Highland Avenue","San Diego","(619) 584-1535","Low Income",,"Units: 13
Bedrooms: 1-3"," ","4165 Highland Avenue
San Diego, CA 92105
(32.752578, -117.098699)"
"Teresina Apts.","Affordable Housing","1250 Santa Cora Avenue","Chula Vista","(619) 216-8884","Low Income",,"Units: 88
Bedrooms: 1-3",,"1250 Santa Cora Avenue
Chula Vista, CA 91911
(32.630796, -116.985584)"
