"title","address","location_description","classification","marker_condition","year","marker_size","marker_text","geocoded_column"
"Darnell, Nicholas Henry","Pioneer Cemetery","Pioneer Cemetery, N side of Dallas Convention Center on Ceremonial Dr., Dallas","Grave",,"1986.0","grave marker","Nicholas Henry Darnell(April 20, 1807 - June 7, 1885)Soon after arriving in Texas in 1838, Nicholas Darnell was elected to the Republic of Texas Congress, where he served as Speaker of the House. A delegate to the 1845 Statehood Convention, he later represented Dallas and Tarrant counties in the State Legislature, again serving as speaker. He resigned in 1863 to lead the 18th Texas Cavalry. After the Civil War, Darnell was again elected to the Texas Legislature and was a delegate to the 1875 Constitutional Convention.1986",
"Marcus House","10 Nonesuch Rd.",,"Home",,"2001.0","Medallion & Plate","After dismissing Frank Lloyd Wright for his failure to produce a suitable design, Stanley Marcus commissioned Dallas architect Roscoe Dewitt to design this International style residence.  Recognized worldwide for his innovations in fashion retailing and a significant patron of modern architecture, Marcus hosted hundreds of dignitaries here, including President Lyndon B. Johnson, Princess Grace of Monaco and global leaders in politics, fashion and the arts.  Completed in 1938 and home to the Marcus family until 1994, the house is a notable example of its style in Texas.Recorded Texas Historic Landmark - 2001","POINT (-96.74708600000001 32.82347)"
"City of Dallas","City Hall Plaza","City Hall Plaza, Young and ErvaySts. (on wall facing Young St.in front of City Hall), Dallas","City","None","1986.0","27 x 42","City of DallasPioneer John Neely Bryan (1810 - 1877) settled on the banks of the Trinity River just west of this site in 1841. A town he called Dallas grew up around his cabin. Chosen as county seat four years after the creation of Dallas County in 1846, the City of Dallas was incorporated in 1856, with Dr. Sam B. Pryor serving as first Mayor.Although John Neely Bryan had anticipated that river navigation would lead to growth for the city, it was the arrival of the Houston and Texas Central Railroad in 1872 and the Texas and Pacific Rail Line the following year that helped to establish Dallas as a major commercial center.By 1890, Dallas was the state's most populous city. Wheat and cotton production provided impetus for continued growth. Insurance and banking also contributed to the city's prosperity, and its selection as the site for a regional Federal Reserve Bank in 1914 was an economic milestone. Following the discovery of oil in East Texas in 1930, Dallas banks concentrated on providing financial services for that industry.Noted throughout its history for aggressive civic leaders, Dallas won the right to host the Texas Centennial Exposition in 1936.Texas Sesquicentennial 1836 - 1986",
"McNab Grocery","2701 McKinney Ave.",,"Commmercial Building",,"1979.0","18 x 28","After the Civil War Ahab Bowen acquired this land, then an area of grape vineyards and small farms. In 1891 he sold the lot to J. B. Franklin, who erected this brick structure. James McNab (d. 1924) operated a neighborhood grocery here in partnership with William A. Boren and Thomas M. Cullum, who later founded the Cullum and Boren Sporting Goods business. A livery stable in the rear housed a horse and delivery wagon. Civic leader Frederick Appell retained part ownership in the building until his death in 1943. Other grocers occupied the structure until the 1950s.","POINT (-96.801366 32.797726)"
"First Baptist Church of Renner","17463 Davenport",,"Church",,"1982.0","18 x 28","Renner Baptists organized in 1890 and met in the school building for eight years. Charter members were: B. F. and Kate E. Binkley; Elizabeth H., J. J., Mary A., and R. F. Butler; Mary E. and P. W. Collier; Mary L. Dickerson; George B., J. P. and Nancy E. Jennings; Mary A. McLary; Mary E. Meason; Rob C. and Margaret A. Reynolds. In 1897, the congregation bought this lot and erected a church. The present structure was built in 1925. The only surviving church in Renner, this pioneer fellowship remains a focal point in the community.Marker Sponsor: Ada Dickerson Craig","POINT (-96.793795 32.985941)"
"White Rock Pump Station","2900 White Rock Rd.",,"Pump Station",,"1989.0","Medallion & Plate","In response to increased population and extended droughts in the early 1900s, this facility was built to provide an additional water supply for the city of Dallas. Designed and built in 1911 by the city engineering department, the Renaissance Revival structure features corbelled brick and terra cotta details. Although its use has varied and much of its original mechanical equipment is no longer intact, it remains an important water utility structure.RTHL - 1989","POINT (-96.73174600000002 32.819896)"
"John Shelby Wisdom",,"6400 W. Red Bird Lane, at entrance to Camp Wisdom","Unclassified",,"2000.0","27 x 42","(October 1855 - March 7, 1931)   Born into a large family in Tennessee, John Shelby Wisdom moved with his family to a farm near Mulberry, Arkansas, when he was very young. He moved to Texas as a teenager and found work in ranching and cattle driving. Years later, he met a 12-year-old fiddler named Madison Pinkney ""Pink"" Wright and his widowed mother, Hattie Wright. Wisdom married Mrs. Wright in 1880, and the three of them lived in various parts of Texas before coming to reside in this area in 1897. In 1901 they purchased 148 acres for $100. Hattie Wisdom died in 1918. Wisdom and Pink Wright began to observe the Boy Scouts who camped on the property just west of their own. In 1920, John Shelby Wisdom was so moved by a troop of Scouts holding an Easter Sunday service in the woods that the older man was inspired to invite the Boy Scouts to camp on his land whenever they liked. In 1922, Wisdom and Pink Wright deeded 185 acres of land to the Dallas Council of the Boy Scouts (now Circle Ten Council), retaining a life estate in 130 acres. Known by this time as ""Daddy"" Wisdom, John Shelby Wisdom spent much of his time with the Scouts. In December 1924, the house shared by ""Daddy"" Wisdom and Pink Wright burned. The Boy Scouts immediately set to work building them a new home. Pink Wright died in 1925 of a cerebral hemorrhage. One month later his neighbors arranged for a grieving John Shelby Wisdom to reunite with his oldest brother, who had come to Dallas for a Confederate reunion. Wisdom, accompanied by several Eagle Scouts, later traveled to Arkansas to visit long-lost relatives. When Wisdom died in 1931, he was mourned by his family and thousands of Boy Scouts. (2000)","POINT (-96.796215 32.777977)"
"Millermore","1717 Gano St.","in Old City Park","Unclassified",,"1962.0","Medallion & Plate","William Brown Miller (1807 - 1899) moved from Missouri to Texas in 1847 with his family. In 1855-62 he built this house on his farm east of Dallas. His twelfth child, Minera (1865 - 1960), inherited the house and named it Millermore. Her husband, Barry Miller (1864 - 1933), was a Lieutenant Governor of Texas. Herein lived also their daughter, Evelyn Miller crowell, author of ""A Texas Childhood."" The house was dismantled in 1966 and reconstructed here in the 1970s.RTHL 1962","POINT (-96.788645 32.77186)"
"First Baptist Church","Ervay and Patterson Sts.",,"Church",,"1968.0","Plate and Medallion","(The First Baptist Church in Dallas)Organized 1868; first building (1871) on this site was one-room frame structure, which members fiananced by weaving rugs, making hominy, preserves, and cheese to sell at fairs near Dallas, then a frontier town of 2,500.Section of Victorian-style, red brick building was erected 1890; is only downtown Dallas Church still on original site. George W. Truett, noted minister, was pastor here 47 years and was succeeded by W. A. Criswell, 1944.RTHL - 1968",
"Near Homesite of Belle Boyd","City Park","History Center, in City Park at S. Ervay and Pocahontas, dallas","Unclassified","letter in file indicates marker was never placed","1969.0","27 x 42","(1844 - 1900)Famous as a Confederate spy during the Civil War, Marie Isabella Boyd resided at a stately colonial mansion near this site in the 1880s.One of the most effective of spies, the slender, blonde girl was only 17 when the Civil War began in 1861. Her passionate devotion to the South and to chivalry indirectly started her career when, in a fit of rage, she shot and killed a Union soldier who threatened her mother. While briefly confined at her Georgia estate, Belle was kept under watch by Federal officers, but so charming and friendly was she that they unwittingly divulged many secrets-- which soon found their way into Confederate hands.Her activities led to several prison sentences and finally exile from the United States. In England Belle married S. W. Hardinge, a Union naval officer of southern sympathies. They had one daughter.After Hardinge's untimely death, she returned to this country to become famous again, as a lecturer and a dramatic reader. In New Orleans in 1869, she married noted businessman J. S. Hammond. With their three children they later moved to Dallas, where they lived for some time. In 1884 they were divorced and in 1887, Belle sold this house. She died in 1900.",
"Governor W. Lee O'Daniel","Oaklawn","at Cedar Springs Triangle","Unclassified","Stolen","1978.0","27 x 42","A native of Ohio, Wilbert Lee ""Pappy"" O'Daniel grew up in Kansas. He moved to Ft. Worth in 1925 as sales manager of a flour-milling company. There he became a radio personality and promoter of a western band, the Light Crust Doughboys. In 1938, after a show of support from his radio listeners, O'Daniel entered the Democratic race for governor, despite his lack of political experience. Campaigning with another band, The Hillbilly Boys, he advocated industrial growth, old-age assistance, and abolition of the Poll Tax. He amazed political experts by defeating 12 Democratic opponents without a runoff. His vast inaugural picnic on Jan. 17, 1939, was the first of many colorful public events which marked his administration.Although he failed to achieve many of his campaign goals, O'Daniel was re-elected in 1940 but served only part of his second term. In the summer of 1941, he won a special election to the U.S. Senate over future U.S. President Lyndon B. Johnson and other candidates. The next year, O'Daniel defeated two former Texas governors to win a full six-year Senate term. After leaving the Senate in 1949, he moved to Dallas and opened an insurance company near this site.Married to Merle Estella Butcher, he had 3 children.",
"A. H. Belo Corporation","400 S. Record St.","400 S. Record St. in Dallas","Publication","good","1982.0","18 x 28","A.H. Belo Corporation traces its roots to a small company that founded the  Galveston ""Daily News"" on April 11, 1842.  The company began publishing the ""Texas Almanac"" in 1857.  Alfred Horatio Belo (1839-1901) bought the company in 1876 and founded the ""Dallas Morning News"" in 1885, entrusting it to G.B. Dealey (1859-1946).  In 1923, the company sold the Galveston paper and mover its headquarters to Dallas.  The company later diversified into radio and television, including WFAA-TV.  Since its founding, the A.H. Belo Corporation has played a major role in Texas communications.","POINT (-96.806183 32.776367)"
"Preston Road","6000 Preston Rd.","(in front of YMCA)","Roadway","Faded; Redo","1968.0","20 x 20","Named for Ft. Preston, built 1841at best ford on upper Red River (N. of here). Followed pre-Columbian Indian trail.Republic of Texas staked out road to fort from Austin. ""Preston Road"" later served as cattle trail from ford of Trinity River at Dallas to Oklahoma Border.","POINT (-96.804312 32.839998)"
"Frank Reagh","122 E. 5th Street","122 E. 5th Street","Unclassified",,"1976.0","18 x 28","Artist Frank Reagh (1860-1945), who immortalized the Texas longhorn, began sketching and studying his favorite subject in 1876 when he and his parents, George W. and Clarinda Reaugh, moved from Illinois to Kaufman County.  He studied art in St. Louis and Europe but returned to the Texas prairie for inspiration.  The Family came (1890) to Dallas where Reaugh became influential through his teaching and interest in the arts.  He built ""El Sibil"" as studio and home in 1928.  His pastels of frontier Texas cattle, lauded by historians, can be seen in many Texas cities.","POINT (-96.822061 32.75481)"
"Flippen Homestead and the Founding of Highland Park","4800 Preston Rd.",,"Home",,"1990.0","27 x 42","To fulfill his dream for an exclusive residential neighborhood north of Dallas, Col. John S. Armstrong in 1906 purchased 1,350 acres of land in this area, including the ""Lomo Alto"" Horse Farm, and secured the services of Beverly Hills landscape architect Wilbur David Cook to lay out the suburb. Upon Armstron's death in 1908, the Flippen-Prather Realty Co. continued plans for development of the neighborhood, which was named Highland Park (an erroneous English translation of ""Lomo Alto"").In 1909, this horse farm was deeded to Armstrong's daughters, Minnie May Flippen and Johnetta Prather, each of whom was the spouse of a principal in the Flippen-Prather Realty Co. A coin was flipped to determine first choice for a homesite, and the Flippens won the toss. Dallas architect C. D. Hill designed a house for them based on George Washington's Mount Vernon.Completed in 1910, the house served as an example for attracting Dallas' elite to Highland Park. Although radically altered externally over the years, the basic Flippen homestead retains significance for its association with the founders of Highland Park and as a reflection of Dallas' early 20th-century growth.1990","POINT (-96.804401 32.829285)"
"Dallas Baptist University (Decatur Baptist College)","3000 Mountain Creek Pkwy.",,"School",,"1998.0","27 x 42","Closely linked to Northwest Baptist College, which operated from 1891 to 1897, Decatur Baptist College opened its doors in 1898. The college was the result of an effort by Texas Baptist leaders to consolidate all Texas Baptist Schools under the direction of Baylor University and the Baptist General Convention of Texas. The college, which initially served primary and secondary school students in addition to the junior college program, had an enrollment of 105 in the fall of 1898. J. L. Ward, president of the college from 1900 to 1907 and 1914 to 1950, was most influential in the development and expansion of the college. By 1959 the school offered courses in religion, fine arts, business, languages, and vocational training.   Increasing financial challenges and decreasing enrollment led the college to accept an invitation to move to Dallas. The school's name was changed to Dallas Baptist College in February 1965; its first classes were held that fall, with an enrollment of 941.   The college became a four-year institution in 1968. Renamed Dallas Baptist University in 1985, the school began awarding graduate degrees in religion, education, and business administration. The school grew steadily under the leadership of a new president beginning in 1988 and paid its outstanding financial debts. By the 1990s, the population of the college community exceeded 3,500 as the school affirmed in its mission statement its commitment ""to provide Christ-centered quality higher education."" (1998)","POINT (-96.951511 32.711523)"
"Mount Calvary Cemetery","7200 blk. of Valley View Rd.","1/4 mile west of Coit Road","Cemetery","slightly faded; repair (local effort)","1978.0","18 x 28","Pioneer settlers used this site for burials as early as the 1840s. The oldest known grave is that of Amanda L. Houx (1829 - 1847). In 1868 William Huffhines donated a two-acre tract, which included the early graves, to Mount Calvary Baptist Church. A frame church building stood here until 1885, when the congregation moved to Richardson and later became the First Baptist Church. More land was added to the burial ground by C. C. Huffhines in 1896 and C. B. Chick in 1925 and 1935. A cemetery association, formed in 1924, cares for the almost 800 graves here.",
"Higginbotham - Pearlstone Building","1701 Market St.",,"Commmercial Building",,"1986.0","Medallion and Plate","Constructed in 1909, this building was first occupied in 1910 by the Hobson Electric company. The warehouse was next leased to the Maroney Hardware Company, which was bought in 1926 by Rufus W. Higginbotham and Hyman Pearlstone, owners of the Higginbotham - Pearlstone Wholesale Hardware Company, which was located here until 1977. The four-story brick industrial building, featuring corbelled cornices, remains as a focal point of the city's historic west end.RTHL 1986",
"Wilson Block","2922 Swiss Ave.",,"Neighborhood","Faded; Redo - locally","1983.0","18 x 28","This historic neighborhood is located on land patented in 1838 to Illinois native John Grigsby. Dallas businessman Frederick P. Wilson and his wife Henrietta Frichot Wilson acquired the site in 1898 and built their residence (2922 Swiss avenue) and six other houses. Owned by the Wilsons for almost eighty years, the houses became the nucleus of the Wilson Block. Several early Dallas leaders rented homes here. Similar in composition, the houses in the neighborhood are representative of the city's lifestyle at the turn of the century.2nd:Swiss native Jacob Nussbaumer, a colonist in the pioneer La Reunion settlement of the Dallas area, purchased this land prior to the Civil War. In 1898 his wife Dorothea and children sold it to her niece Henrietta Frichot Wilson (1864- 1953), the daughter of La Reunion settlers.Henriett and her husband Frederick P. Wilson (1863 - 1923) built their residence at this site in 1899 and later constructed six additional homes as rental property. Together the houses were the center of a residential area known as the Wilson Block of Swiss Avenue. The neighborhood was the home of many early Dallas leaders, including Charles D. Hill, who became one of the area's prominent architects, and Dr. Theodore L. E. Arnold, an early Dallas ophthalmologist whose son Charles pioneered in microphotography.The various architectural styles represented in the historic Wilson Block reflect Victorian and Queen Anne influences. The homes feature similarities in composition, including frame construction, clapboard siding, decorative shingle patterns, gabled roofs and intricate ornamentation.Today the Wilson Block serves as a reminder of Dallas' rich heritage and early development.","POINT (-96.785431 32.788804)"
"Temple Emanu-el Cemetery","3430 Howell Street","about 20 yards from street to marker","Cemetery",,"1989.0","27 x 42","Established by Temple Emanu-el congregation in 1884, this was the second Jewish cemetery in Dallas. The first burials which occurred here were those of Russian immigrants Aaron L. Levy and Jacob Rosenthal. Both men were born in Russia on June 2, 1856, and died in Dallas on October 7, 1884.Gravestones exhibiting death dates prior to 1884 mark burials which were moved here in 1956 from Dallas' first Jewish cemetery. Established by the Hebrew Benevolent Society in 1872, that graveyard was originally located downtown on Akard Street.Among those interred here are many of Dallas' early business , civic, religious, political, and social leaders. The cemetery contains thousands of graves, marked by a diversity of tombstones and monuments, including two private family mausoleums.Also buried here are veterans of World War I and World War II, as well as several survivors of the Nazi holocaust in World War II. A memorial to Jewish veterans of the two world wars was dedicated in 1948.Maintenance of this historic cemetery, which serves as a tangible reminder of the area's Jewish heritage, is overseen by Temple Emanu-el Congregation.","POINT (-96.796104 32.803754)"
"Central National Road","Munger & Market Sts.","corner of Munger St. and Market Street; West End Historic District, Dallas","Roadway","None","1986.0","27 x 42","During the early days of the Republic of Texas, settlers and pioneers coming from the United States entered Texas by crossing the Red River in northwest Red River County. On the north side of that crossing was the terminum of a U.S. Military Highway. In 1844, the Congress of the Republic of Texas appointed a commission to lay out a road connecting the crossing on the Red River to the Trinity River in central Dallas County. Surveyed by George W. Stell (1793-1870), the 130-mile road was to be thirty feet wide, with bridges at least fifteen feet wide, and all tree stumps cut within twelve inches of the ground. Congress named the new route the Central National Road.Passing through Lamar,Fannin, Hunt, Collin, and Rockwall counties, the road's terminus in Dallas intersected with the Preston Road (1,000 NNW), which had been opened in 1840 by a group of Texas soldiers under Col. William G. Cooke (1808-1847) to connect the Red River and Austin.The Central National Road, via its intersection in Dallas with the Preston-Austin Road, connected north and south Texas, creating greater access for pioneers to settle in all areas of the Republic.Texas Sesquicentennial 1836-1986Incise on base: Sponsored by Thomas J. Rusk Chapter of the Sons of the Republic of Texas",
"Site of Peacock Military Academy","6901 Military Pkwy.","at Urban Park Elementary School","School","Faded; Redo (locally)","1984.0","18 x 28","The original Peacock Military Academy was founded in 1894 in San Antonio by Wesley Peacock. A well-known educator and child psychologist. In 1930 Peacock opened a north Texas branch of the school at this site to provide military, academic, and physical education for young men in the first grade through junior college. Although the Dallas branch of the Peacock Military Academy went bankrupt and closed in 1934, its central administration building has been used as an educational facility since 1938.","POINT (-96.701896 32.773248)"
"Eagle Ford Community","5300 Singleton","5300 Singleton at 2800 clymer, Dallas","Unclassified",,"1989.0","27 x 42","The Eagle Ford Community developed just east of an important early crossing on the west fork of the Trinity River. Among the early settlers of the area was the family of Enoch Horton (1777 - 1851). Arriving in November 1844, they established several large farms.James Horton (1818 - 1876) built the Eagle Ford Grist Mill and donated land in 1857 for the nearby Horton Cemetery. He also gave land for the Texas and Pacific Railroad right-of-way and depot. The village saw immediate growth from the 1870s until the rail line was completed westward to Fort Worth, when the Eagle Ford Community began to decline.In 1907 William Foster Cowham and Associates come to the area from Michigan and began buying property, including some of James Horton's original holdings. They established the Southwestern States Portland Cement Company and built two villages to house their employees. Immigrants from Mexico found employment with the company, and their descendants have contributed to the diverse cultural heritage of the community. Eladio R. Martinez (1921 - 1945) was a distinguished soldier in World War II, earning the Combat Infantry Badge and a Purple Heart in action in the Phillipines.1989","POINT (-96.908201 32.778467)"
"Buckner Baptist Children's Home","5200 S. Buckner Blvd.","5200 S. Buckner Blvd., Dallas","Unclassified","OK","1983.0","18 x 28","Founded out of concern for dependent, orphaned children, this institution opened in 1879 under the guidance of the Rev. Robert Cooke Buckner (d. 1919). Originally known as Buckner Orphan's Home, the first structure on this site was built in 1880 and housed six children. By 1910 the orphanage was caring for 600 children. Supported by the Baptist General Convention of Texas since 1914 and later renamed Buckner Baptist Children's Home, the facility now primarily cares for children from broken homes. For more than 100 years the Buckner home has been a leader in Texas child care.1983","POINT (-96.684985 32.789779)"
"Oath of Office of President Johnson","Dallas Love Field Airport","in Main Terminal near ticket counters","Unclassified",,"1966.0","27 x 42","Near this point on November 22, 1963, Vice-President Lyndon Baines Johnson took the oath of office as 36th President of the United States. He is the first Texan to hold the office of President.The ceremony was held in the central compartment of ""Air Force One,"" the military aircraft assigned to the President. The plane was parked on the concrete ramp at Gate 28, east concourse of this terminal.United States District Judge Sarah T. Hughes, of Dallas, a friend of long standing, was summoned to administer the oath. (Judge Hughes thus became the first woman in history to give the oath of office to a president of the United States.The new Chief Executive, with Mrs. Johnson on his right and Mrs. John F. Kennedy on the left, was sworn into office at 2:38 p.m.In the stresses of the day President Johnson had executive duties thrust upon him immediately during the flight to the Capitol.For over 30 years he had been in public service. Like some of his ancestors (including a university president) he had taught school, as a young man.He had served with distinction in Congress, 1937 to 1949; and in the U.S. Senate, 1949 - 1960, with an unsurpassed record as Senate Majority Leader.",
"General Richard M. Gano (C.S.A.)","Oakland Cemetery","S. Oakland St.(take main road, turn left at circle, marker is on left)","Unclassified","marker never placed","1963.0","Civil War Centennial","Organized Tarrant County Grapevine Volunteers known as Gano's Squadron. Entered 2nd Kentucky Cavalry, C.S.A. in Tennessee. In Morgan's 1st and 2nd Kentucky raids. Made Colonel in command of 7th Kentucky Cavalry. Fought in Tullahoma, Tenn. Campaign 1863. Brigadier General of Gano's Brigade of Texas Frontier Cavalry fighting in Arkansas, campaign 1864. Captured $1,500,000 worth of Union supplies at Cabin Creek, Indian Territory.Erected by the State of Texas 1963(back side Richard M. Gano)Richard Montgomery Gano (1830 - 1913)Born Kentucky; came to Texas 1839. Frontier Indian fighter, State Legislator 1860-1861, Brigadier General C.S.A., entered the ministry, and active in United Confederate Veterans**************************************************************************Star & Wreath (actual placed marker)Richard M. Gano, C.S.A.In Morgan's raids, KY, Tenn. Commanded Gano's Brigade Texas Cavalry, in ARK. Captured Union train with $1,500,000 stores.Erected by the State of Texas 1965",
"Cumberland Hill School (Old)","1901 N. Akard",,"School","Faded","1971.0","18 x 28","Old Cumberland Hill SchoolOne of the first brick schools in Dallas system, this Victorian building was constructed in 1888 on the site of a pre-Civil War school organized by Cumberland Presbyterian Church of Dallas.In early decades this school drew pupils from several areas. Many students arrived each day in handsome carriages.In later times the student body came from many different nationalities, giving rise to nickname ""Melting Pot School.""From 1963 to 1969 the building housed a progressive vocational center, teaching construction trades to citizens of area.1971","POINT (-96.802723 32.787225)"
"Grace United Methodist Church","4105 Junius",,"Church","Faded; redo locally","1979.0","18 x 28","This congregation has grown from two earlier fellowships. In 1868 Joshua Addington started a Sunday School, the beginning of the Dallas City Mission. Later the Mission formed Floyd Street Church and in 1880 Haskell Avenue Church was organized. At the North Texas Annual Conference in 1902, the two congregations merged to form Grace Methodist Church. A temporary tabernacle was erected on the back of this lot. In 1903 the first portion of this structure was completed. After remodeling in 1925, the educational unit was added.","POINT (-96.775481 32.793283)"
"Ahab Bowen Home","2614 Boll St.","2614 Boll St., Dallas","Home","Good","1982.0","Plate & Medallion","In 1861, Tennessee-born Ahab Bowen (1807 - 1900) moved to Dallas, where he was a farmer and feed dealer. He owned and cultivated the surrounding area, including this site which was located outside the Dallas city limits at the time of purchase in 1867. This house was built for the Bowen family about 1874. It is one of the few remaining examples of the simple, wood frame, vernacular farmhouse prevalent in Dallas County during the latter part of the 19th century.RTHL 1982","POINT (-96.802008 32.797811)"
"Kennedy Memorial Area","Dealey Plaza","on S. Houston between Main and Elm","Unclassified","Good",,"other","John Fitzgerald Kennedy35th President of the United Stateswas mortally wounded on November 22, 1963, __ feet to the right of this marker as the Presidential car was headed toward the underpass to the west on Dallas' Elm Street. Firing from the window on the extreme right of the sixth floor of the building immediately northeast of this spot, the assassin also wounded critically, but not fatally, Governor John Connally of Texas, riding with the President. From this spot, the President was rushed to Parkland Hospital where he died.  This marker commemorates the tragic loss of a great American, mourned by the Nation he served.(Erected by the Dallas Committee of the Texas Historical Survey Committee)",
"Trinity Methodist Church","Pearl & McKinney",,"Church",,"1977.0","27 x 42","Founded in 1884, the Trinity Methodist congregation acquired this site in 1895 and in 1903-04 erected this structure in what was then a neighborhood of fashionable residences. This was one of 125 churches in Texas designed by James Edward Flanders (1849 - 1928), who was familiar with the Chicago School of Architecture. The contractor was J. W. Slaughter, a leading builder and developer of the Oak Lawn area.The structure is dominated by the entrance tower and gabled cruciform roof of fish scale shakes. The interior has a spacious auditorium with elevated choir and pulpit and an organ chamber framed with rich cast stone ornamentation. Brilliant stained glass windows in Gothic shapes give counterpoint to the severity of the walls. Very fine materials and workmanship characterize the building. As a rare example of prairie style architecture, this edifice has enhanced the religious and cultural life of the city for several generations.No longer in use as a church, this structure has a new role as a cultural element in the city. It was bought in 1975 by the American Institute of Musical Studies, as headquarters for its activities.",
"Pleasant Mound Cemetery","3151 S. Buckner Blvd.",,"Cemetery",,"1992.0","18 x 28","At the intersection of two well-traveled pioneer roads, now Buckner Blvd. and Scyene Rd., this cemetery serves as a reflection of the heritage of this area. Burials took place on the property as early as 1869, but the first marked grave, that of William L. Knox, dates to 1881. In that year, Newton and Catherine (Beeman) Hustead formally donated the land to the Pleasant Mound Methodist church for use as a cemetery. Over the years, additional acreage was added to the cemetery, which has been maintained by the Pleasant Mound Cemetery Association since 1906.","POINT (-96.682688 32.764196)"
"DeGolyer House","8525 Garland Road","at Dallas Arboretum, Dallas","Unclassified",,"1992.0","27 x 42","DeGolyer HouseA native of Greensboro, Kansas, Everette Lee DeGolyer (1886 -1956) participated in major oil exploration successes in Mexico while still a student at the University of Oklahoma. Returning to complete his degree, he married Nell Virginia Goodrich (1886 - 1972) of Norman, Oklahoma. DeGolyer became a world renowned petroleum geologist and rare book collector. In 1936 Everette and Nell DeGolyer and their four children moved to Dallas. They hired California architects Denman Scott and Burton Schutt to design their new home overlooking White Rock Lake. Exhibiting outstanding features of the Spanish Colonial Revival style, the house was begun in 1938 and completed in 1940. Noted landscape architect Arthur Berger planned the grounds of the estate to complement its natural surroundings. An important addition to Texas' architectural history, the rambling one-story house is evocative of a Mexican hacienda and noted for its picturesque massing and fine craftsmanship.Following the DeGolyers' deaths, the DeGolyer Foundation donated the house, grounds, and library to Southern Methodist University. The library was retained by the University, and the house and grounds were purchased by the City of Dallas in 1975.RTHL 1992","POINT (-96.715445 32.822553)"
"Pioneer Cemetery","Ceremonial Dr.","north side of Dallas Convention Center","Cemetery","Faded; Redo","1986.0","27 x 42","The area now known as Pioneer Cemetery is composed of the remnants of four early graveyards, The Graves, dating from the 1850s, include many of Dallas' early settlers and civic leaders.Two of the graveyards that now make up Pioneer Cemetery were associated with early Dallas fraternal organizations. The earliest marked gave in the section once known as the Tannehill Lodge No. 52 Masonic Cemetery is that of Elizabeth McPherson, who died in 1853. R. P. Rogers (d. 1852) is the oldest known interment in the section once belonging to Dallas Lodge No. 44 of the Independent Order of Odd Fellows.Some of the land nearby was once used as a cemetery by the Hebrew Benevolent Association. The property was deeded to Congregation Emanuel in 1912, and in 1956, the graves were moved to the Emanuel Cemetery. The fourth section, known as Old City Cemetery, was formally deeded to the city of Dallas in 1871. Its oldest marked grave, that of John Henry Long, is dated 1870.The last burials in what is now called Pioneer Cemetery took place in the latter part of the 1920s. The monuments that have remained over time are significant reminders of the history of the city of Dallas.Texas Sesquicentennial 1836 - 1986",
"Cristler - Rodgers House","5750 Swiss Avenue",,"Home",,"1989.0","Plate and Medallion","Constructed in 1923, this was originally the home of Dr. J. H. Cristler, who came to Dallas in 1911 after assisting in the organization of Childress County. Beginning in 1938, the home was occupied by Dr. Cristler's daughter, Edna, and her husband, J. Woodall Rodgers, Mayor of Dallas from 1939 to 1947. Exhibiting influences of the Prairie School and Mediterranean styles of architecture, the house remained in the Cristler - Rodgers family until 1959.RTHL 1989","POINT (-96.760255 32.809945)"
"Bilbo Jitney Line, Headquarters Site","Slyvan Avenue & Seale","Sylvan Avenue & Seale, in triangle, Dallas","Railroad","Stolen 1974, 1989","1974.0","18 x 28","In 1915, when public transportation was non-existent in the western part of Dallas, Victor Clifford Bilbo (1894 - 1968) began operating a jitney (small bus) line from downtown to Cement City, Gates, Sowers, Irving, and other outlying communities. Paying five cents per ride, passengers often sat three deep and hung on running boards of Bilbo's Model T Ford touring cars. He often took people to hospitals and funerals free of charge. In August 1927, because of new state franchise laws, the Bilbo jitneys were replaced by buses.1974, 1989",
"Abraham Carver Cemetery","10200 block of Sand Springs Ave. (in park)",,"Cemetery","Good","1985.0","18 x 28","Twenty-one graves have been located in the Abraham Carver Cemetery which covers one-half acre of land and contains six generations of Carver family members. The earliest marked grave is that of Abraham Carver (1806-1883), who came to Texas in 1844 with his brothers Solomon and Daniel. This family cemetery is located on a small portion of his original 320-acre land grant. Carver's second wife, Elizabeth (d. 1885), and two of their children are also interred here. The last burial, that of Chris Carver (b. 1866), took place in 1946.",
"Reichenstein Home","4810 Cedar Springs Rd.","corner of Kings St. and Cedar Springs St. (at apartment complex office)","Home",,"1984.0","Medallion & Plate","Dallas native Jacob Reichenstein (1881 - 1950) became a leader in the city's retail lumber trade. Beginning as a clerk with Cowser and Company in 1902, he was made a partner and general manager in 1915 and president of the company three years later. This home, built for his family in 1931, was designed by Dallas architects Marion Fooshee and James Cheek. The Reichenstein home features decorative brickwork, Palladian transoms, and a steeply-pitched hip roof.RTHL - 1984","POINT (-96.821083 32.819291)"
"Alexander Mansion","4607 Ross Ave.","4607 Ross Ave.","Home","good","1968.0","Medallion and Plate","Setting for glittering social life in early 20th century.  Built 1906 on most remote edge of Dallas by a businessman, C.H. Alexander, at a cost of $125,000.  Acquired 1930 by the Dallas Woman's Forum; Restored and redecorated in 1967.Recorded Texas Historical Landmark, 1968.","POINT (-96.778762 32.804063)"
