"treatment_number","animal_id","condition_type","treatment_date","treatment_time","treatment_by","treatment_type","treatment_subtype","number_of_days","weight","temperature","visit_number","visit_type","visit_reason","month","year"
"T18-862458","A1052654","TREATABLE REHABILITABLE NON-CONTAGIOUS","2018-12-21T00:00:00.000","11:02:00","NG",,,,"56.8",,"T18-862458","EXAM - ADOPTION",,"DEC.2018","FY2019"
"T19-985627","A1066280",,"2019-05-02T00:00:00.000","13:38:08.880000",,,,"1",,,"T19-985623",,,"MAY.2019","FY2019"
"T19-978533","A1064923","UNKNOWN","2019-04-26T00:00:00.000","14:38:00",,,,,,,"T19-978533","VET CHECK",,"APR.2019","FY2019"
"T19-293947","A1076323",,"2019-07-24T00:00:00.000","16:45:51.713000",,,,"1",,,"T19-293941",,,"JUL.2019","FY2019"
"T19-976964","A1064923",,"2019-04-24T00:00:00.000","19:04:09.790000",,,,"21",,,"T19-976961",,,"APR.2019","FY2019"
"T19-316456","A1079079",,"2019-08-12T00:00:00.000","18:54:32.617000",,,,"1",,,"T19-316454",,,"AUG.2019","FY2019"
"T19-308438","A1076329",,"2019-08-06T00:00:00.000","10:03:02.180000",,,,"1",,,"T19-308437",,,"AUG.2019","FY2019"
"T19-958352","A1063176",,"2019-04-05T00:00:00.000","19:25:34.577000",,,,"1",,,"T19-958349",,,"APR.2019","FY2019"
"T19-986878","A1066280","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-03T00:00:00.000","13:47:00","LV",,,,"70",,"T19-986878","EXAM-VISUAL",,"MAY.2019","FY2019"
"T19-958357","A1063176","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-05T00:00:00.000","19:24:00","LV",,,,"41.2",,"T19-958357","VET CHECK","OBESE","APR.2019","FY2019"
"T19-954717","A1062858",,"2019-04-01T00:00:00.000","17:00:10.653000",,,,"1",,,"T19-954713",,,"APR.2019","FY2019"
"T19-319541","A1072193","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-15T00:00:00.000","12:47:00","SR",,,,"45.6",,"T19-319541","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-309428","A1073415",,"2019-08-06T00:00:00.000","14:43:10.550000",,,,"1",,,"T19-309427",,,"AUG.2019","FY2019"
"T19-936989","A1060825",,"2019-03-13T00:00:00.000","16:32:44.077000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-936982",,,"MAR.2019","FY2019"
"T18-862460","A1052654",,"2018-12-21T00:00:00.000","11:03:54.363000",,"HEARTWORM TEST","NEGATIVE",,,,"T18-862458",,,"DEC.2018","FY2019"
"T19-984552","A1066280",,"2019-05-01T00:00:00.000","18:31:28.010000",,,,"1",,,"T19-984549",,,"MAY.2019","FY2019"
"T19-345576","A1081635","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-07T00:00:00.000","18:13:00","CBM",,,,"0.35",,"T19-345576","EXAM - ADOPTION",,"SEP.2019","FY2019"
"T19-996178","A1067348",,"2019-05-11T00:00:00.000","11:30:47.287000",,,,"1",,,"T19-996166",,,"MAY.2019","FY2019"
"T19-958356","A1063176",,"2019-04-05T00:00:00.000","19:26:10.673000",,,,"1",,,"T19-958349",,,"APR.2019","FY2019"
"T19-335275","A1080725",,"2019-08-29T00:00:00.000","12:41:13.910000",,,,"1",,,"T19-335270",,,"AUG.2019","FY2019"
"T19-247410","A1072193",,"2019-06-19T00:00:00.000","09:56:57.243000",,,,"1",,,"T19-247409",,,"JUN.2019","FY2019"
"T19-982742","A1064923","UNKNOWN","2019-04-30T00:00:00.000","13:31:00","NG",,,,,,"T19-982742","VET CHECK",,"APR.2019","FY2019"
"T19-304236","A1077173",,"2019-08-02T00:00:00.000","11:49:53.073000",,,,"1",,,"T19-304233",,,"AUG.2019","FY2019"
"T19-955978","A1062859",,"2019-04-03T00:00:00.000","10:14:57.833000",,"POSTPARTUM",,,,,"T19-955971",,,"APR.2019","FY2019"
"T19-936984","A1060825",,"2019-03-13T00:00:00.000","16:32:22.097000",,,,"1",,,"T19-936982",,,"MAR.2019","FY2019"
"T19-316470","A1079079",,"2019-08-12T00:00:00.000","18:56:32.087000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-316454",,,"AUG.2019","FY2019"
"T19-885604","A1052654",,"2019-01-16T00:00:00.000","10:03:42.013000",,,,"1",,,"T19-885603",,,"JAN.2019","FY2019"
"T19-260694","A1073415","UNKNOWN","2019-06-27T00:00:00.000","20:31:00","RK1765",,,,,,"T19-260694","INTAKE EXAM",,"JUN.2019","FY2019"
"T19-975587","A1065048",,"2019-04-23T00:00:00.000","16:41:29.037000",,,,"1",,,"T19-975582",,,"APR.2019","FY2019"
"T19-327722","A1076329",,"2019-08-23T00:00:00.000","10:25:14.957000",,,,"1",,,"T19-327721",,,"AUG.2019","FY2019"
"T19-973432","A1064923",,"2019-04-21T00:00:00.000","16:35:56.153000",,,,"1",,,"T19-973428",,,"APR.2019","FY2019"
"T19-212634","A1067348",,"2019-05-25T00:00:00.000","11:08:14.050000",,,,"1",,,"T19-212633",,,"MAY.2019","FY2019"
"T19-203733","A1067348",,"2019-05-18T00:00:00.000","08:15:33.510000",,,,"1",,,"T19-203730",,,"MAY.2019","FY2019"
"T19-955975","A1062859",,"2019-04-03T00:00:00.000","10:11:18.710000",,,,"1",,,"T19-955971",,,"APR.2019","FY2019"
"T19-267464","A1070190",,"2019-07-03T00:00:00.000","05:49:32.890000",,,,"1",,,"T19-267462",,,"JUL.2019","FY2019"
"T19-283939","A0938907",,"2019-07-15T00:00:00.000","08:55:10.120000",,,,"1",,,"T19-283934",,,"JUL.2019","FY2019"
"T19-975589","A1065048",,"2019-04-23T00:00:00.000","16:41:37.127000",,,,"1",,,"T19-975582",,,"APR.2019","FY2019"
"T19-984405","A1064923",,"2019-04-30T00:00:00.000","17:15:39.650000",,,,"15",,,"T19-982742",,,"APR.2019","FY2019"
"T19-316783","A1076329",,"2019-08-13T00:00:00.000","11:17:30.120000",,,,"1",,,"T19-316782",,,"AUG.2019","FY2019"
"T19-285619","A1075270","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-17T00:00:00.000","12:43:00","VL/PA",,,,"18",,"T19-285619","SURGERY-",,"JUL.2019","FY2019"
"T19-985631","A1066280",,"2019-05-02T00:00:00.000","13:38:27.350000",,,,"3",,,"T19-985623",,,"MAY.2019","FY2019"
"T19-275170","A1070190",,"2019-07-09T00:00:00.000","11:48:42.897000",,,,"1",,,"T19-275167",,,"JUL.2019","FY2019"
"T19-293948","A1076323",,"2019-07-24T00:00:00.000","16:45:56.500000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-293941",,,"JUL.2019","FY2019"
"T19-319542","A1072193",,"2019-08-15T00:00:00.000","12:48:05.870000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-319541",,,"AUG.2019","FY2019"
"T19-275169","A1070190",,"2019-07-09T00:00:00.000","11:48:37.413000",,,,"1",,,"T19-275167",,,"JUL.2019","FY2019"
"T19-954715","A1062858",,"2019-04-01T00:00:00.000","16:59:59.173000",,,,"1",,,"T19-954713",,,"APR.2019","FY2019"
"T19-316460","A1079079",,"2019-08-12T00:00:00.000","18:54:44.143000",,,,"1",,,"T19-316454",,,"AUG.2019","FY2019"
"T19-958353","A1063176",,"2019-04-05T00:00:00.000","19:25:38.650000",,,,"1",,,"T19-958349",,,"APR.2019","FY2019"
"T19-980931","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-29T00:00:00.000","11:19:00","LV/DT",,,,,,"T19-980931","EXAM-VISUAL",,"APR.2019","FY2019"
"T19-269980","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-03T00:00:00.000","16:54:00","SR",,,,,,"T19-269980","EXAM-VISUAL",,"JUL.2019","FY2019"
"T19-343873","A1076323",,"2019-09-06T00:00:00.000","12:25:43.817000",,,,"14",,,"T19-342049",,,"SEP.2019","FY2019"
"T19-201959","A1064923","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-16T00:00:00.000","15:48:00",,,,,,,"T19-201959","EXAM-VET","SKIN","MAY.2019","FY2019"
"T18-862683","A1052654",,"2018-12-21T00:00:00.000","13:44:14.287000",,,,"1",,,"T18-862680",,,"DEC.2018","FY2019"
"T19-319839","A1073415",,"2019-08-15T00:00:00.000","14:47:46.267000",,,,"7",,,"T19-319730",,,"AUG.2019","FY2019"
"T19-230356","A1067348","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-06-07T00:00:00.000","08:31:00","AG",,,,,,"T19-230356","EXAM",,"JUN.2019","FY2019"
"T19-974761","A1064923",,"2019-04-23T00:00:00.000","10:43:58.090000",,,,"1",,,"T19-974757",,,"APR.2019","FY2019"
"T19-293976","A1076329",,"2019-07-24T00:00:00.000","16:48:12.130000",,,,"1",,,"T19-293973",,,"JUL.2019","FY2019"
"T19-343879","A1076329",,"2019-09-06T00:00:00.000","12:26:37.650000",,,,"14",,,"T19-342050",,,"SEP.2019","FY2019"
"T19-281957","A1075270",,"2019-07-13T00:00:00.000","18:17:04.243000",,,,"1",,,"T19-281954",,,"JUL.2019","FY2019"
"T19-958354","A1063176",,"2019-04-05T00:00:00.000","19:25:46.383000",,"HEARTWORM TEST","NEGATIVE",,,,"T19-958349",,,"APR.2019","FY2019"
"T19-267650","A1073891",,"2019-07-03T00:00:00.000","09:40:29.287000",,,,"1",,,"T19-267642",,,"JUL.2019","FY2019"
"T19-283936","A0938907",,"2019-07-16T00:00:00.000","08:54:47.730000",,,,"1",,,"T19-283934",,,"JUL.2019","FY2019"
"T19-954718","A1062858",,"2019-04-01T00:00:00.000","17:00:19.667000",,,,"1",,,"T19-954713",,,"APR.2019","FY2019"
"T19-310706","A1076329",,"2019-08-06T00:00:00.000","16:36:59.893000",,,,"1",,,"T19-308437",,,"AUG.2019","FY2019"
"T19-343877","A1076329",,"2019-09-04T00:00:00.000","12:26:20.073000",,"WOODS LIGHT","POSITIVE",,,,"T19-342050",,,"SEP.2019","FY2019"
"T19-293998","A1076329","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-24T00:00:00.000","16:56:00","CBM",,,,,,"T19-293998","M-EVAL REQ",,"JUL.2019","FY2019"
"T18-862461","A1052654",,"2018-12-21T00:00:00.000","11:04:01.733000",,,,"1",,,"T18-862458",,,"DEC.2018","FY2019"
"T19-996166","A1067348","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-05-11T00:00:00.000","11:29:00","LS",,,,"50.6",,"T19-996166","EXAM - ADOPTION",,"MAY.2019","FY2019"
"T19-303289","A1076323",,"2019-08-01T00:00:00.000","13:06:43.683000",,,,"1",,,"T19-303288",,,"AUG.2019","FY2019"
"T19-260696","A1073415",,"2019-06-27T00:00:00.000","20:31:49.207000",,,,"1",,,"T19-260694",,,"JUN.2019","FY2019"
"T19-954803","A1062859",,"2019-04-01T00:00:00.000","18:34:53.373000",,,,"1",,,"T19-954799",,,"APR.2019","FY2019"
"T19-321415","A1079079",,"2019-08-17T00:00:00.000","07:47:48.097000",,,,"3",,,"T19-321410",,,"AUG.2019","FY2019"
"T19-267642","A1073891","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-03T00:00:00.000","09:39:00","DT",,,,"68",,"T19-267642","EXAM - ADOPTION",,"JUL.2019","FY2019"
"T19-321413","A1079079",,"2019-08-17T00:00:00.000","07:47:34.493000",,,,"1",,,"T19-321410",,,"AUG.2019","FY2019"
"T19-293977","A1076329",,"2019-07-24T00:00:00.000","16:48:17.190000",,,,"1",,,"T19-293973",,,"JUL.2019","FY2019"
"T19-316457","A1079079",,"2019-08-12T00:00:00.000","18:54:35.817000",,,,"1",,,"T19-316454",,,"AUG.2019","FY2019"
"T19-201151","A1064923",,"2019-05-15T00:00:00.000","10:30:04.387000",,,,"14",,,"T19-201148",,,"MAY.2019","FY2019"
"T19-336171","A1073415","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-30T00:00:00.000","10:51:00","NG",,,,,,"T19-336171","EXAM",,"AUG.2019","FY2019"
"T19-275167","A1070190","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-09T00:00:00.000","11:47:00","AR/PA",,,,"51.4",,"T19-275167","SURGERY-",,"JUL.2019","FY2019"
"T19-285622","A1075270",,"2019-07-17T00:00:00.000","12:45:43.440000",,,,"1",,,"T19-285619",,,"JUL.2019","FY2019"
"T19-203732","A1067348",,"2019-05-18T00:00:00.000","08:15:27.283000",,,,"1",,,"T19-203730",,,"MAY.2019","FY2019"
"T18-793118","A1043486","UNKNOWN","2018-10-13T00:00:00.000","10:55:00",,,,,,,"T18-793118","VET CHECK",,"OCT.2018","FY2019"
"T19-282303","A1075270",,"2019-07-14T00:00:00.000","13:56:10.800000",,,,"1",,,"T19-282302",,,"JUL.2019","FY2019"
"T19-940169","A1060825",,"2019-03-18T00:00:00.000","08:10:09.710000",,,,"1",,,"T19-940164",,,"MAR.2019","FY2019"
"T19-959848","A1063176","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-05T00:00:00.000","19:24:00","LS",,,,"77",,"T19-959848","MEDICAL REVIEW","OBESE","APR.2019","FY2019"
"T19-289293","A1074457",,"2019-07-20T00:00:00.000","12:23:19.087000",,,,"1",,,"T19-289288",,,"JUL.2019","FY2019"
"T19-305268","A1077088",,"2019-08-03T00:00:00.000","10:31:20.673000",,,,"3",,,"T19-305261",,,"AUG.2019","FY2019"
"T19-974758","A1064923",,"2019-04-23T00:00:00.000","10:43:32.713000",,"HYDROMETRA",,,,,"T19-974757",,,"APR.2019","FY2019"
"T19-304237","A1077173",,"2019-08-02T00:00:00.000","11:49:55.690000",,,,"1",,,"T19-304233",,,"AUG.2019","FY2019"
"T19-955973","A1062859",,"2019-04-03T00:00:00.000","10:10:58.023000",,,,"1",,,"T19-955971",,,"APR.2019","FY2019"
"T19-302479","A1077088",,"2019-07-31T00:00:00.000","18:50:23.190000",,,,"1",,,"T19-302478",,,"JUL.2019","FY2019"
"T19-261058","A1073415",,"2019-06-28T00:00:00.000","11:00:01.980000",,,,"1",,,"T19-261056",,,"JUN.2019","FY2019"
"T19-275171","A1070190",,"2019-07-09T00:00:00.000","11:48:53.273000",,,,"1",,,"T19-275167",,,"JUL.2019","FY2019"
"T19-293942","A1076323",,"2019-07-24T00:00:00.000","16:45:27.107000",,"WOODS LIGHT","POSITIVE",,,,"T19-293941",,,"JUL.2019","FY2019"
"T18-861384","A1052654",,"2018-12-19T00:00:00.000","23:51:44.443000",,,,"1",,,"T18-861380",,,"DEC.2018","FY2019"
"T19-345591","A1081639",,"2019-09-07T00:00:00.000","18:15:49.630000",,,,"3",,,"T19-345589",,,"SEP.2019","FY2019"
"T19-327715","A1076323","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-23T00:00:00.000","10:22:00","AG",,,,"2.2",,"T19-327715","EXAM-VET",,"AUG.2019","FY2019"
"T19-975586","A1065048",,"2019-04-23T00:00:00.000","16:39:53.647000",,,,"1",,,"T19-975582",,,"APR.2019","FY2019"
"T19-305261","A1077088","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-03T00:00:00.000","10:29:00","SR/PA",,,,"48",,"T19-305261","SURGERY-CANINE NEUTER",,"AUG.2019","FY2019"
"T19-247104","A1060825",,"2019-06-18T00:00:00.000","18:42:46.687000",,,,"1",,,"T19-247103",,,"JUN.2019","FY2019"
"T19-974763","A1064923",,"2019-04-23T00:00:00.000","10:51:44.783000",,,,"1",,,"T19-974757",,,"APR.2019","FY2019"
"T19-958350","A1063176",,"2019-04-05T00:00:00.000","19:25:18.610000",,,,"1",,,"T19-958349",,,"APR.2019","FY2019"
"T19-304233","A1077173","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-02T00:00:00.000","11:40:00","NG",,,,"27.4",,"T19-304233","EXAM - ADOPTION",,"AUG.2019","FY2019"
"T19-327718","A1076323",,"2019-08-23T00:00:00.000","10:24:45.367000",,,,"1",,,"T19-327715",,,"AUG.2019","FY2019"
"T19-955971","A1062859","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-04-03T00:00:00.000","10:10:00","VL",,,,"68",,"T19-955971","SURGERY-",,"APR.2019","FY2019"
"T19-345008","A1081639","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-09-07T00:00:00.000","14:45:00",,,,,,,"T19-345008","NURSERY",,"SEP.2019","FY2019"
"T19-246062","A1072193",,"2019-06-18T00:00:00.000","11:15:36.813000",,,,"1",,,"T19-246036",,,"JUN.2019","FY2019"
"T18-862459","A1052654",,"2018-12-21T00:00:00.000","11:03:51.570000",,"MICROCHIP (24HR PET WATCH)",,,,,"T18-862458",,,"DEC.2018","FY2019"
"T19-302484","A1077088",,"2019-07-31T00:00:00.000","18:50:36.677000",,,,"1",,,"T19-302478",,,"JUL.2019","FY2019"
"T19-954714","A1062858",,"2019-04-01T00:00:00.000","16:59:53.733000",,,,"1",,,"T19-954713",,,"APR.2019","FY2019"
"T19-876916","A1052654","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-01-08T00:00:00.000","10:30:00","AG",,,,,,"T19-876916","EXAM-VISUAL",,"JAN.2019","FY2019"
"T19-330100","A1076754","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-25T00:00:00.000","07:58:00","NG",,,,,,"T19-330100","EXAM",,"AUG.2019","FY2019"
"T19-308539","A1076754",,"2019-08-06T00:00:00.000","10:41:59.060000",,,,"3",,,"T19-308529",,,"AUG.2019","FY2019"
"T19-314532","A1076754","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-11T00:00:00.000","10:41:00","IT/LS",,,,,,"T19-314532","EXAM",,"AUG.2019","FY2019"
"T19-301432","A1076754",,"2019-07-31T00:00:00.000","11:11:13.450000",,,,"1",,,"T19-301431",,,"JUL.2019","FY2019"
"T19-334105","A1076754",,"2019-08-28T00:00:00.000","14:22:55.520000",,,,"1",,,"T19-334104",,,"AUG.2019","FY2019"
"T19-298079","A1076754",,"2019-07-28T00:00:00.000","16:00:37.617000",,,,"1",,,"T19-298072",,,"JUL.2019","FY2019"
"T19-317438","A1076754",,"2019-08-13T00:00:00.000","15:33:04.510000",,,,"14",,,"T19-317278",,,"AUG.2019","FY2019"
"T19-308533","A1076754",,"2019-08-06T00:00:00.000","10:41:44.477000",,,,"1",,,"T19-308529",,,"AUG.2019","FY2019"
"T19-330101","A1076754",,"2019-08-25T00:00:00.000","08:03:55.777000",,,,"1",,,"T19-330100",,,"AUG.2019","FY2019"
"T19-334104","A1076754","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-28T00:00:00.000","14:19:00","AG",,,,,,"T19-334104","EXAM",,"AUG.2019","FY2019"
"T19-308529","A1076754","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-08-06T00:00:00.000","10:40:00","CP",,,,"43",,"T19-308529","SURGERY-CANINE SPAY",,"AUG.2019","FY2019"
"T19-301431","A1076754","TREATABLE REHABILITABLE CONTAGIOUS","2019-07-31T00:00:00.000","10:45:00","AG",,,,,,"T19-301431","EXAM",,"JUL.2019","FY2019"
"T19-298076","A1076754",,"2019-07-28T00:00:00.000","16:00:09.213000",,,,"1",,,"T19-298072",,,"JUL.2019","FY2019"
"T19-317437","A1076754",,"2019-08-13T00:00:00.000","15:32:34.027000",,,,"14",,,"T19-317278",,,"AUG.2019","FY2019"
"T19-298074","A1076754",,"2019-07-28T00:00:00.000","16:00:00.620000",,"MICROCHIP (24HR PET WATCH)",,,,,"T19-298072",,,"JUL.2019","FY2019"
"T19-317278","A1076754","UNKNOWN","2019-08-13T00:00:00.000","14:03:00",,,,,,,"T19-317278","M-EVAL REQ",,"AUG.2019","FY2019"
"T19-298075","A1076754",,"2019-07-28T00:00:00.000","16:00:04.873000",,,,"1",,,"T19-298072",,,"JUL.2019","FY2019"
"T19-314533","A1076754",,"2019-08-11T00:00:00.000","10:41:34.740000",,,,"1",,,"T19-314532",,,"AUG.2019","FY2019"
"T19-298073","A1076754",,"2019-07-28T00:00:00.000","15:59:55.377000",,"HEARTWORM TEST","HIGH POSITIVE",,,,"T19-298072",,,"JUL.2019","FY2019"
"T19-298077","A1076754",,"2019-07-28T00:00:00.000","16:00:13.200000",,,,"1",,,"T19-298072",,,"JUL.2019","FY2019"
"T19-298072","A1076754","TREATABLE REHABILITABLE NON-CONTAGIOUS","2019-07-28T00:00:00.000","15:57:00","BP",,,,"41.6",,"T19-298072","EXAM - ADOPTION",,"JUL.2019","FY2019"
"T19-298078","A1076754",,"2019-07-28T00:00:00.000","16:00:20.823000",,,,"1",,,"T19-298072",,,"JUL.2019","FY2019"
"T19-308532","A1076754",,"2019-08-06T00:00:00.000","10:41:36.570000",,,,"1",,,"T19-308529",,,"AUG.2019","FY2019"
"T19-308536","A1076754",,"2019-08-06T00:00:00.000","10:41:52.460000",,,,"1",,,"T19-308529",,,"AUG.2019","FY2019"
