Organization Name,Location,Category,Tax Identification Number,City Kc Area,Zip Codes,2017 Census Tracts WA State
Keep A Child Alive,"17 State St Ste 2100
New York, NY 10004
(40.702703, -74.014173)","Disease, Disorders, & Medical Research",73-1682844,,11725,
National Down Syndrome Society,"8 E 41st St 8th Fl
New York, NY 10017
(40.752558, -73.980746)",Human & Civil Rights,13-2992567,,12079,
Kennedy Catholic High School,"140 S 140th St
Burien, WA 98168
(47.477752, -122.330864)",Education & Literacy,91-0815228,8,18227,458
Community Roots Housing Foundation (formerly Capitol Hill Housing Foundation),"1620 12th Ave Ste 205
Seattle, WA 98122
(47.61572, -122.316865)",Housing & Employment,27-1682190,101,19578,781
Seattle Indian Health Board,"611 12th Ave S
Seattle, WA 98144
(47.59708, -122.317229)",Health (General),91-0869056,101,18379,13
American Heart Association,"7272 Greenville Ave
Dallas, TX 75231
(32.878439, -96.760239)","Disease, Disorders, & Medical Research",13-5613797,,19377,
Autism Society of America,"6110 Executive Blvd Ste 305
Rockville, MD 20852
(39.048556, -77.124973)","Disease, Disorders, & Medical Research",52-1020149,,32430,
UMR (United Mission for Relief and Development),"1990 K St NW
Washington, DC 20006
(38.902425, -77.044541)",International Relief & Development,27-3175543,,25079,
Communities In Schools of Seattle,"2445 3rd Ave S
Seattle, WA 98134
(47.581585, -122.329998)",Education & Literacy,91-1910330,101,19584,401
Cascade Bicycle Club,"7787 62nd Ave NE
Seattle, WA 98115
(47.682132, -122.262185)","Recreation, Sports, Leisure, & Athletics",91-2165219,101,18792,276
Y-WE,"1143 Martin Luther King Jr Way Box #136
Seattle, WA 98122
(47.612694, -122.296218)",Youth Development,47-2230647,101,19578,428
Women United,"12214 75th Ave S
Seattle, WA 98178
(47.493006, -122.239625)",Community Development,30-0750143,57,18230,451
International Community Health Services,"720 8th Ave S
Seattle, WA 98104
(47.596498, -122.322481)",Health (General),91-0947084,101,18379,15
Christmas House,,Youth Development,91-1177244,,,
All Aboard Washington,,Environment,91-1638048,,,
Feral Cat Spay/Neuter Project,"4001 198th St SW Ste #3
Lynnwood, WA 98036
(47.819393, -122.287865)",Animals,91-1827152,,17787,449
"Look, Listen & Learn TV","100 Andover Park W Ste 150-121
Tukwila, WA 98188
(47.460011, -122.254341)",Education & Literacy,91-1410450,93,18231,453
American Parkinson Disease Association,"135 Parkinson Ave
Staten Island, NY 10305
(40.5981, -74.083718)",Education & Literacy,13-1962771,,10692,
Episcopal Relief & Development,"815 Second Ave 7th Fl
New York, NY 10017
(40.750726, -73.971539)",International Relief & Development,73-1635264,,12079,
University District Food Bank,"5017 Roosevelt Way NE
Seattle, WA 98105
(47.66594, -122.317397)",Food & Hunger,91-1224834,101,18383,298
Tacoma Urban Performing Arts Center,"1326 Tacoma Ave S Ste 101
Tacoma, WA 98402
(47.24985, -122.443774)",Youth Development,82-0972418,,12600,940
Action Against Hunger,,International Relief & Development,13-3327220,,,
Friends of Youth,"13116 NE 132nd St
Kirkland, WA 98034
(47.718657, -122.165001)","Mental Health, Disabilities, & Substance Abuse",91-0672501,77,17376,817
SeaShare,"600 Ericksen Ave NE Ste 310
Bainbridge Island, WA 98110
(47.629361, -122.517)",Food & Hunger,91-1641242,,18788,558
Endometriosis Association,"8585 N 76th Pl
Milwaukee, WI 53223
(43.173758, -88.004473)","Disease, Disorders, & Medical Research",39-1414754,,20910,
"American Diabetes Association, Washington","180 Nickerson St Ste 309
Seattle, WA 98109
(47.648001, -122.353887)",Health (General),13-1623888,101,18390,1263
Juma Ventures,"900 1st Ave S Ste 307
Seattle, WA 98134
(47.594822, -122.334164)",Housing & Employment,94-3203203,101,19584,401
Cure Alzheimer's Fund,"34 Washington St Ste 310
Wellesley, MA 2481
(42.324895, -71.260854)","Disease, Disorders, & Medical Research",52-2396428,,171,
Lakeside School,"14050 1st Ave NE
Seattle, WA 98125
(47.732388, -122.328885)",Education & Literacy,91-0564971,101,19579,758
Old Friends Club,,Health (General),47-4792158,,,
Bike Works,"3715 S Hudson St Ste 101
Seattle, WA 98118
(47.557049, -122.28525)","Recreation, Sports, Leisure, & Athletics",91-1753062,101,18800,124
National Forest Foundation,,Environment,52-1786332,,,
Helping Hand House,"4321 2nd St SW
Puyallup, WA 98373
(47.150451, -122.294283)",Housing & Employment,91-1275046,,12219,973
Thurgood Marshall College Fund,"901 F St NW Ste 300
Washington, DC 20004
(38.897341, -77.024365)",Education & Literacy,41-1750692,,25076,
World Without Hate,"140 Lakeside Ave Ste A-31
Seattle, WA 98122
(47.602176, -122.285125)",Social & Economic Justice,45-4437828,101,19578,1402
American Center for Law and Justice,"1000 Regent University Dr
Virginia Beach, VA 23464
(36.804775, -76.193719)",Human & Civil Rights,54-1586817,,3562,
Global to Local,"2800 S 192nd St Ste 104
SeaTac, WA 98188
(47.430986, -122.29759)",Health (General),27-3133200,92,18231,844
the Service Board,"5290 Rainier Ave S
Seattle, WA 98118
(47.553924, -122.280814)",Youth Development,20-0661802,101,18800,124
Disabled American Veterans (DAV) Charitable Service Trust,"3725 Alexandria Pike
Cold Spring, KY 41076
(39.02597, -84.447248)",Health (General),52-1521276,,17193,
The Salvation Army,"111 Queen Anne Ave N Ste 300
Seattle, WA 98109
(47.618868, -122.356747)",Food & Hunger,94-1156347,101,18390,1450
ChildFund International,"2821 Emerywood Pkwy
Richmond, VA 23294
(37.60876, -77.525291)",International Relief & Development,54-0536100,,10939,
Safe Crossings Foundation,"4210 SW Oregon St Unit H
Seattle, WA 98116
(47.562881, -122.386124)","Mental Health, Disabilities, & Substance Abuse",75-2992774,101,18795,1071
Ovarian Cancer Research Alliance,,"Disease, Disorders, & Medical Research",13-3806788,,,
Camelot Society,"6912 220th St SW Ste 301
Mountlake Terrace, WA 98043
(47.799562, -122.326349)",Housing & Employment,91-0866842,,17796,207
Zero Waste Washington,"911 Western Ave Ste 588
Seattle, WA 98104
(47.603874, -122.337039)",Environment,91-1178790,101,18379,399
NAMI (National Alliance on Mental Illness),"4301 Wilson Blvd Ste 300
Arlington, VA 22203
(38.880124, -77.112762)","Mental Health, Disabilities, & Substance Abuse",43-1201653,,23405,
Seattle Children's Hospital and Research Foundation,"6901 Sand Point Way NE
Seattle, WA 98115
(47.678544, -122.263605)",Health (General),91-1156519,101,18792,276
Wolf Haven International,"3111 Offut Lake Rd SE
Tenino, WA 98589
(46.903771, -122.854161)",Animals,91-1185727,,5275,1089
Earshot Jazz,"3417 Fremont Ave N #221
Seattle, WA 98103
(47.649706, -122.349763)","Arts, Culture, & Humanities",94-3051610,101,18377,1110
Ingersoll Gender Center,"911 E Pike St 333
Seattle, WA 98122
(47.614084, -122.320028)",Social & Economic Justice,91-1262502,101,19578,781
Arbor Day Foundation,"211 N 12th St
Lincoln, NE 68508
(40.815075, -96.704036)",Environment,23-7169265,,17856,
Boys & Girls Clubs of Snohomish County,"8223 Broadway Ste 100
Everett, WA 98203
(47.923079, -122.206498)",Youth Development,91-0549511,,18239,501
Mexican American Legal Defense and Educational Fund,"634 S Spring St 11th Fl
Los Angeles, CA 90014
(34.045137, -118.251726)",Education & Literacy,74-1563270,,23075,
Northwest Harvest,"2225 4th Ave #100
Seattle, WA 98121
(47.615195, -122.343654)",Food & Hunger,91-0826037,101,19576,779
Kubota Garden (Foundation),"9817 55th Ave S
Seattle, WA 98118
(47.512742, -122.26469)",Environment,91-1451825,101,18800,417
West African Community Council (WACC),"6322 44th Ave S
Seattle, WA 98118
(47.545315, -122.278155)","Arts, Culture, & Humanities",46-2838797,101,18800,407
Refugee and Immigrant Center for Education and Legal Services,"1305 N Flores St
San Antonio, TX 78212
(29.438179, -98.502818)",Human & Civil Rights,74-2436920,,11602,
Family Law CASA of King County,"16300 Christensen Rd Ste 306
Tukwila, WA 98188
(47.457368, -122.248522)",Legal Advocacy,14-1840620,93,18231,453
Buddhist Tzu Chi Foundation,"1100 S Valley Center Ave
San Dimas, CA 91773
(34.091117, -117.834065)",Poverty Relief,94-2952782,,10134,
Peer Seattle,"1520 Bellevue Ave Ste 100
Seattle, WA 98122
(47.614795, -122.326835)","Mental Health, Disabilities, & Substance Abuse",91-1327257,101,19578,784
Auburn Valley Humane Society,"4910 A St SE
Auburn, WA 98092
(47.264193, -122.229599)",Animals,45-0638467,2,18080,263
Mother Africa,"1209 Central Ave S Ste 120
Kent, WA 98032
(47.368621, -122.229948)",Social & Economic Justice,46-1793603,76,17362,479
Center on Contemporary Art (CoCA),"114 3rd Ave S
Seattle, WA 98104
(47.601173, -122.330276)","Arts, Culture, & Humanities",91-1222655,101,18379,786
Coast Guard Holiday Stockings for Homeless Children,,Education & Literacy,20-2464993,,,
Octava Chamber Orchestra,"5721 178th St SW
Lynnwood, WA 98037
(47.837722, -122.311126)","Arts, Culture, & Humanities",26-3486146,,17788,82
Treehouse,"2100 24th Ave S Ste 200
Seattle, WA 98144
(47.58408, -122.301654)",Youth Development,91-1425676,101,17919,771
Somali Health Board,"545 Andover Park W Ste 105
Tukwila, WA 98188
(47.451277, -122.254364)",Health (General),46-5114580,93,18231,453
Five Talents USA,"2789 Hartland Rd
Falls Church, VA 22043
(38.877532, -77.222586)",Community Development,54-1940918,,18875,
ANEW,"550 SW 7th St Ste B303
Renton, WA 98057
(47.473748, -122.224002)",Community Development,91-1122763,100,17811,453
Stewardship Partners,"80 Yesler Way Ste 315
Seattle, WA 98104
(47.601742, -122.334918)",Environment,91-1939506,101,18379,399
New Discovery School,"7219 Roosevelt Way NE
Seattle, WA 98115
(47.681211, -122.317467)",Education & Literacy,91-1296084,101,18792,352
Empowering Strides,"13525 Lost Lake Rd
Snohomish, WA 98296
(47.797769, -122.046929)","Mental Health, Disabilities, & Substance Abuse",47-5182998,,20735,1017
Shriners Hospitals for Children,"2900 Rocky Point Dr
Tampa, FL 33607
(27.966651, -82.568246)","Disease, Disorders, & Medical Research",36-2193608,,6353,
Skagit Domestic Violence and Sexual Assault Services,"1521 B Leigh Way
Mount Vernon, WA 98273
(48.43468, -122.32818)",Health (General),91-1092350,,19893,984
"Chesapeake Bay Foundation, Inc.","6 Herndon Ave
Annapolis, MD 21403
(38.935122, -76.463439)",Environment,52-6065757,,31232,
Eastside Baby Corner,,Food & Hunger,91-1617032,,,
Gage Academy of Art,"1501 10th Ave E Ste 101
Seattle, WA 98102
(47.632441, -122.320199)","Arts, Culture, & Humanities",91-1992593,101,18376,778
America's Charities,"14150 Newbrook Dr Ste 110
Chantilly, VA 20151
(38.87406, -77.436136)",Youth Development,54-1517707,,29438,
Jefferson Land Trust,"1033 Lawrence St
Port Townsend, WA 98368
(48.117103, -122.76138)",Environment,91-1465078,,12209,757
Abused Deaf Women's Advocacy Services (ADWAS),"8623 Roosevelt Way NE
Seattle, WA 98115
(47.691937, -122.317609)",Social & Economic Justice,91-1339173,101,18792,42
Urban Impact Seattle,"7728 Rainier Ave S
Seattle, WA 98118
(47.532562, -122.269995)",Community Development,91-1368333,101,18800,798
Children's Heart Foundation,"5 Revere Dr Ste 200
Northbrook, IL 60062
(42.150967, -87.805367)","Disease, Disorders, & Medical Research",36-4077528,,18090,
New Horizon School,"1111 S Carr Rd
Renton, WA 98055
(47.442488, -122.204438)",Education & Literacy,91-1673487,100,17808,1428
DAWN - Domestic Abuse Women's Network,,Social & Economic Justice,91-1176122,,,
Historic Seattle Preservation Foundation,"1117 Minor Ave
Seattle, WA 98101
(47.611019, -122.325175)",Community Development,91-1729777,101,18081,1113
Purrfect Pals,"230 McRae Rd NE
Arlington, WA 98223
(48.143261, -122.227964)",Animals,94-3127448,,18642,1022
"Alzheimer's Association, Washington State Chapter","19031 33rd Ave W Ste 301
Lynnwood, WA 98036
(47.82561, -122.277741)",Health (General),13-3039601,,17787,1155
Make-A-Wish Foundation of America,"1702 E Highland Ave Ste 400
Phoenix, AZ 85016
(33.50565, -112.044807)",Health (General),86-0481941,,31447,
St. Jude Children's Research Hospital,"262 Danny Thomas Pl
Memphis, TN 38105
(35.15456, -90.04253)","Disease, Disorders, & Medical Research",62-0646012,,30577,
Freedom Project,"227 Wells Ave S
Renton, WA 98057
(47.480172, -122.20547)",Social & Economic Justice,91-2129474,100,17811,437
ArtsWest,"4711 California Ave SW
Seattle, WA 98116
(47.560704, -122.386791)","Arts, Culture, & Humanities",91-1440032,101,18795,1071
L'Arche Noah Sealth of Seattle,,Community Development,51-0150721,,,
Correctional Peace Officers Foundation,,Youth Development,68-0023302,,,
UHeights,"5031 University Way NE
Seattle, WA 98105
(47.665668, -122.313076)",Community Development,91-1474131,101,18383,1426
Clinton Foundation,"1200 President Clinton Ave
Little Rock, AR 72201
(34.7471, -92.2624)",International Relief & Development,31-1580204,,16364,
Catholic Medical Mission Board (CMMB),"100 Wall St 9th Fl
New York, NY 10005
(40.704952, -74.007151)",International Relief & Development,13-5602319,,11726,
Kirkland Police Explorer Post #2084,"11750 NE 118th St
Kirkland, WA 98034
(47.706357, -122.184984)",Youth Development,91-6001255,77,17376,132
Prison Scholar Fund,"1752 NW Market St #953
Seattle, WA 98107
(47.66866, -122.381145)",Education & Literacy,41-2175677,101,18386,344
Washington Association of Child Advocate Programs,"19550 International Blvd Ste 308
SeaTac, WA 98188
(47.427325, -122.295686)",Human & Civil Rights,91-1535083,92,18231,474
Rainforest Trust,"7078 Airlie Rd
Warrenton, VA 20187
(38.762088, -77.795597)",Environment,13-3500609,,1854,
"Green Corps, Inc.","44 Winter St 4th Fl
Boston, MA 02108
(42.356067, -71.061857)",Environment,23-2687791,,9660,
Pan Eros Foundation,"309 First Ave S
Seattle, WA 98104
(47.599732, -122.334269)",Education & Literacy,20-5824097,101,18379,786
Environmental Science Center,"126 SW 148th St Ste C100-90
Burien, WA 98166
(47.470453, -122.335949)",Environment,91-2010658,8,18226,29
"Hearing, Speech & Deaf Center (HSDC)","1625 19th Ave
Seattle, WA 98122
(47.615617, -122.307456)","Mental Health, Disabilities, & Substance Abuse",91-0681207,101,19578,12
The Healing Center,"6409 1/2 Roosevelt Way NE
Seattle, WA 98115
(47.675046, -122.317366)","Mental Health, Disabilities, & Substance Abuse",91-2054526,101,18792,352
Lifelong,"210 S Lucile St
Seattle, WA 98108
(47.553401, -122.331759)",Health (General),91-1215715,101,18388,406
Northwest Center,"1119 SW 7th St
Renton, WA 98057
(47.473785, -122.232649)","Mental Health, Disabilities, & Substance Abuse",91-0786790,100,17811,453
Domestic Violence Services of Snohomish County,,Housing & Employment,91-0982722,,,
Prevent Child Abuse America,"228 S Wabash Ave 10th Fl
Chicago, IL 60604
(41.879162, -87.626095)",Health (General),23-7235671,,14912,
ECOSS,"1011 SW Klickitat Way Ste 201
Seattle, WA 98134
(47.570685, -122.348422)",Environment,91-1613460,101,19584,772
"Iraq and Afghanistan Veterans of America, Inc.","114 W 41 St 19th Fl
New York, NY 10036
(40.754414, -73.985197)","Mental Health, Disabilities, & Substance Abuse",20-1664531,,12080,
Huntington’s Disease Society of America,"505 Eighth Ave Ste 902
New York, NY 10018
(40.753009, -73.992878)",Education & Literacy,13-3349872,,12080,
MustLuvBoxers Rescue,"11931 44th St NE
Lake Stevens, WA 98258
(48.035968, -122.069192)",Animals,46-4391597,,19455,209
Assistance League of Seattle,"1415 N 45th St
Seattle, WA 98103
(47.661375, -122.339909)",Education & Literacy,91-6055119,101,18377,43
Lake Sawyer Park Foundation,,Community Development,27-0243022,,,
Delridge Neighborhoods Development Association (DNDA),"4408 Delridge Way SW
Seattle, WA 98106
(47.55348, -122.362975)","Arts, Culture, & Humanities",91-1741016,101,18385,1404
King County Police Activity League,,"Recreation, Sports, Leisure, & Athletics",81-0606836,,,
Best Friends Animal Society,"5001 Angel Canyon Rd
Kanab, UT 84741
(37.125896, -112.54332)",Animals,23-7147797,,17463,
Center for Biological Diversity,,Environment,27-3943866,,,
Vietnamese Friendship Association,"3829B S Edmunds St
Seattle, WA 98118
(47.558665, -122.284163)",Education & Literacy,91-1122532,101,18800,124
Nature Conservancy,"4245 N Fairfax Dr Ste 100
Arlington, VA 22203
(38.88223, -77.11226)",Environment,53-0242652,,23405,
League of Women Voters of Washington Education Fund,"1511 Third Ave Ste 900
Seattle, WA 98101
(47.609954, -122.338026)",Education & Literacy,91-1849890,101,18081,399
Arthritis Foundation,"1355 Peachtree St 6th Fl
Atlanta, GA 30309
(33.7915, -84.385701)",Health (General),58-1341679,,5425,
"Guide Dogs for the Blind, Inc.",,Animals,94-1196195,,,
Plateau Outreach Ministries,"1806 Cole St
Enumclaw, WA 98022
(47.205111, -121.988195)",Poverty Relief,91-1965830,16,17348,1201
Hope for Haiti,"1021 5th Ave N
Naples, FL 34012
(26.153108, -81.794142)",International Relief & Development,59-3564329,,4427,
American Kidney Fund,"11921 Rockville Pike Ste 300
Rockville, MD 20852
(39.051419, -77.1154)",Health (General),23-7124261,,32430,
Children's Therapy Center,"10811 SE Kent-Kangley Rd
Kent, WA 98030
(47.370031, -122.195419)","Mental Health, Disabilities, & Substance Abuse",91-1078809,76,17362,274
Southern Poverty Law Center,"400 Washington Ave
Montgomery, AL 36104
(32.376407, -86.303235)",Human & Civil Rights,63-0598743,,22255,
Reach Out and Read Washington,"2400 NW 80th St #315
Seattle, WA 98117
(47.686794, -122.387936)",Education & Literacy,04-3481253,101,18798,1109
"UW Medicine (Harborview Medical Center, UW Medical Center - Montlake and Northwest, Valley Medical Center, UW Neighborhood Clinics, UW Physicians, UW School of Medicine, Airlift Northwest)","850 Republican St C-5
Seattle, WA 98109
(47.62321, -122.340276)",Health (General),94-3079432,101,18390,779
Seattle Neighborhood Greenways,,Community Development,46-4559223,,,
Leukemia Research Foundation,"191 Waukegan Ste 105
Northfield, IL 60093
(42.096769, -87.798211)","Disease, Disorders, & Medical Research",36-6102182,,9859,
ROOTS Young Adult Shelter,"4541 19th Ave NE
Seattle, WA 98105
(47.662425, -122.307268)",Housing & Employment,91-2110379,101,18383,1193
Northwest Mothers Milk Bank,"15875 SW 74th Ave
Portland, OR 97224
(45.405319, -122.752031)",Health (General),26-3458029,,29646,
Seattle Asian American Film Festival,"815 Seattle Blvd S Ste 215
Seattle, WA 98134
(47.595526, -122.327289)","Arts, Culture, & Humanities",91-2138554,101,19584,401
Ronald McDonald House Charities of Western Washington & Alaska,"5130 40th Ave NE
Seattle, WA 98105
(47.666977, -122.284814)",Housing & Employment,91-1061043,101,18383,370
South King Health Foundation,,Health (General),91-1514257,,,
Mental Health Housing Foundation,,Housing & Employment,91-1497560,,,
Boyer Children's Clinic,"1850 Boyer Ave E
Seattle, WA 98112
(47.635835, -122.302818)","Mental Health, Disabilities, & Substance Abuse",91-1316838,101,18789,776
CARE,"151 Ellis St NE
Atlanta, GA 30303
(33.758361, -84.382001)",International Relief & Development,13-1685039,,5420,
Washington Bus Education Fund,"1801 12th Ave Ste A
Seattle, WA 98122
(47.617788, -122.316902)",Social & Economic Justice,26-1453582,101,19578,781
Atlas Assistance Dogs,,"Mental Health, Disabilities, & Substance Abuse",81-1852987,,,
DESC,"515 3rd Ave
Seattle, WA 98104
(47.602248, -122.330976)",Housing & Employment,91-1275815,101,18379,399
Glaucoma Research Foundation,"251 Post St Ste 600
San Francisco, CA 94108
(37.788585, -122.406092)","Disease, Disorders, & Medical Research",94-2495035,,28857,
School of Acrobatics & New Circus Arts,"674 S Orcas St
Seattle, WA 98108
(47.551466, -122.325159)","Arts, Culture, & Humanities",20-0300045,101,18388,406
Take a Warrior Fishing,"297 SW 41st St
Renton, WA 98057
(47.443843, -122.220566)","Recreation, Sports, Leisure, & Athletics",91-1582848,100,17811,453
Town Hall Seattle,"1119 8th Ave
Seattle, WA 98101
(47.609149, -122.329589)","Arts, Culture, & Humanities",91-1910904,101,18081,118
Volunteers of America Western Washington,"2802 Broadway
Everett, WA 98201
(47.980152, -122.201555)",Food & Hunger,91-0577129,,18238,1152
SENIORS VOLUNTEER CORPS,,"Arts, Culture, & Humanities",81-3791489,,,
Beacon Food Forest,,Food & Hunger,82-2990802,,,
Evergreen Treatment Services,"4634 E Marginal Way S Ste C110
Seattle, WA 98134
(47.561448, -122.339272)","Mental Health, Disabilities, & Substance Abuse",91-0903529,101,19584,401
Seattle Jobs Initiative,"1200 12th Ave S Ste 160
Seattle, WA 98144
(47.593092, -122.317306)",Housing & Employment,47-0900181,101,17919,1229
WestSide Baby,"10002 14th Ave SW
Seattle, WA 98146
(47.513401, -122.352666)",Youth Development,91-2124405,40,17920,21
Northwest Kidney Centers,"700 Broadway
Seattle, WA 98122
(47.608402, -122.320765)","Disease, Disorders, & Medical Research",91-6057438,101,19578,785
PCAF,"3009 S 40th St
Tacoma, WA 98409
(47.220594, -122.475903)","Disease, Disorders, & Medical Research",91-1385245,,13241,1210
Literacy Source,"3200 NE 125th St
Seattle, WA 98125
(47.719269, -122.293777)",Education & Literacy,91-2101208,101,19579,172
"St. Jude Children's Research Hospital (serving AK, ID, MT & WA)","425 Pontius Ave N Ste 410
Seattle, WA 98109
(47.622709, -122.331744)","Disease, Disorders, & Medical Research",35-1044585,101,18390,397
"Muscular Dystrophy Association, Washington","21905 64th Ave W Ste 301B
Mountlake Terrace, WA 98043
(47.800677, -122.319027)","Disease, Disorders, & Medical Research",13-1665552,,17796,207
Y.E.T.I.,"226 SW 171st St
Normandy Park, WA 98166
(47.449781, -122.337979)",Environment,27-3193281,89,17922,473
Technology and Information for all - TINFA,"333 18th Ave E
Seattle, WA 98112
(47.621474, -122.308734)",Education & Literacy,91-2073142,101,18789,117
College Success Foundation,"15500 SE 30th Pl Ste 200
Bellevue, WA 98007
(47.582298, -122.13444)",Education & Literacy,91-2036088,6,31853,827
Project SeaWolf Coastal Protection,,Animals,91-1877519,,,
NW Children's Foundation,"2100 24th Ave S Ste 320
Seattle, WA 98144
(47.58408, -122.301654)",Legal Advocacy,91-1314318,101,17919,771
Gay City: Seattle's LGBTQ Center,"517 E Pike St
Seattle, WA 98122
(47.614089, -122.324782)",Health (General),91-1685822,101,19578,784
Queen Anne Helpline,"311 W McGraw St
Seattle, WA 98119
(47.6396, -122.361432)",Housing & Employment,91-1187354,101,19575,1112
Sound Child Care Solutions,"1225 S Weller St Ste 200
Seattle, WA 98144
(47.597502, -122.315994)",Education & Literacy,02-0551791,101,17919,13
Washington Association of Land Trusts,"901 Fifth Ave Ste 1520
Seattle, WA 98164
(47.606191, -122.33147)",Environment,26-3186170,101,18379,399
5th Avenue Theatre,"1308 5th Ave
Seattle, WA 98101
(47.608759, -122.333806)","Arts, Culture, & Humanities",91-1087612,101,18081,399
Central Washington University Foundation,"400 E University Way
Ellensburg, WA 98926
(46.999738, -120.544292)",Education & Literacy,23-7017467,,29925,597
Lake Forest Park Stewardship Foundation,,Environment,91-1924333,,,
Eritrean Association in Greater Seattle,"1954 S Massachusetts St
Seattle, WA 98144
(47.588425, -122.307015)","Arts, Culture, & Humanities",91-1703201,101,17919,1229
SHARE/WHEEL,"1902 Second Ave
Seattle, WA 98101
(47.611144, -122.340784)",Emergency & Disaster Services,91-1577965,101,18081,783
Coyote Central,"2300 E Cherry St
Seattle, WA 98122
(47.608012, -122.302785)",Education & Literacy,91-1444797,101,19578,306
Bellevue Youth Symphony Orchestra (BYSO),"12310 NE 8th St Ste 201
Bellevue, WA 98005
(47.617331, -122.176089)","Arts, Culture, & Humanities",91-1630589,6,31850,432
Toxic-Free Future,"4649 Sunnyside Ave N Ste 540
Seattle, WA 98103
(47.663831, -122.330171)",Environment,91-1214158,101,18377,379
JazzClubsNW,"228 W North Bend Way Ste A
North Bend, WA 98045
(47.495741, -121.787468)","Arts, Culture, & Humanities",27-3580808,87,17798,1381
SMASH,"1200 5th Ave Ste 625
Seattle, WA 98101
(47.608286, -122.333389)","Arts, Culture, & Humanities",81-1717061,101,18081,399
Conservation Northwest,"1829 10th Ave W Ste B
Seattle, WA 98119
(47.635581, -122.370387)",Environment,94-3091547,101,19575,116
Chad's Legacy Project,,"Mental Health, Disabilities, & Substance Abuse",81-3696910,,,
Circle Faith Future,"16544 191st Pl NE
Woodinville, WA 98072
(47.749384, -122.08246)",Education & Literacy,84-3867300,61,18071,881
Classical KING FM 98.1,"363 Mercer St Ste #200
Seattle, WA 98109
(47.624573, -122.349878)","Arts, Culture, & Humanities",27-3067797,101,18390,779
Plymouth Housing,"2113 3rd Ave
Seattle, WA 98121
(47.613468, -122.342708)",Housing & Employment,91-1122621,101,19576,783
The WAVE Foundation,"1700 Westlake Ave N Ste 200
Seattle, WA 98109
(47.633993, -122.34042)",Legal Advocacy,45-1288621,101,18390,1401
HIAS,"1300 Spring St Ste 500
Silver Spring, MD 20910
(38.998982, -77.032488)",International Relief & Development,13-5633307,,2324,
Friends of Fisher House Puget Sound,,Health (General),86-1175590,,,
Free the Slaves,"1320 19th St NW Ste 600
Washington, DC 20036
(38.908052, -77.043466)",International Relief & Development,56-2189635,,4499,
Children's Alliance,"718 6th Ave S
Seattle, WA 98104
(47.596255, -122.326407)",Youth Development,91-0982879,101,18379,15
Anera (American Near East Refugee Aid),"1111 14th St NW Ste 400
Washington, DC 20005
(38.904238, -77.031938)",International Relief & Development,52-0882226,,25078,
March of Dimes,"1550 Crystal Dr Ste 1300
Arlington, VA 22202
(38.859501, -77.049145)",Health (General),13-1846366,,23403,
Samaritan's Purse,,Emergency & Disaster Services,58-1437002,,,
Brian Fisher Memorial,"15802 SE 264th St
Covington, WA 98042
(47.36529, -122.130664)",Emergency & Disaster Services,45-0584574,24,17794,874
"ALS Association, Evergreen Chapter","19226 66th Ave S Ste L105
Kent, WA 98032
(47.428484, -122.251283)","Disease, Disorders, & Medical Research",91-1950869,76,17370,842
Marine Science Afloat,,Environment,91-1271685,,,
Goodwin Connections,"1631 15th Ave W Ste 116
Seattle, WA 98119
(47.634851, -122.376194)",Education & Literacy,91-0619698,101,19575,383
The Elephant Sanctuary in Tennessee,,Animals,62-1587327,,,
National Parks Conservation Association,"777 6th St NW Ste 700
Washington, DC 20001
(38.899372, -77.019912)",Environment,53-0225165,,24704,
Special Olympics Washington,"2815 2nd Ave Ste 370
Seattle, WA 98121
(47.617479, -122.351509)",Youth Development,91-0962383,101,19576,782
Hagar USA Inc.,"1609 E 5th St
Charlotte, NC 28204
(35.214352, -80.824672)","Mental Health, Disabilities, & Substance Abuse",20-1507669,,14245,
"Millionair Club, Inc.","2515 Western Ave
Seattle, WA 98121
(47.614101, -122.349735)",Housing & Employment,91-0607513,101,19576,783
Food Resource Network,,Food & Hunger,94-3076806,,,
Virginia Mason Foundation,"1218 Terry Ave D1-MF
Seattle, WA 98101
(47.610809, -122.327978)",Health (General),91-0565539,101,18081,1113
Water Access Now,"2121 N 61 St
Seattle, WA 98103
(47.672919, -122.332629)",Health (General),45-3246965,101,18377,352
Wellspring Family Services,"1900 Rainier Ave S
Seattle, WA 98144
(47.586327, -122.304234)",Housing & Employment,91-0567261,101,17919,1229
Kindred Souls Foundation,,Animals,38-3707806,,,
United Way of King County,"720 2nd Ave
Seattle, WA 98104
(47.603499, -122.33364)",Community Development,91-0565555,101,18379,399
Bread of Life Mission,"97 S Main St
Seattle, WA 98104
(47.600041, -122.334295)",Housing & Employment,91-6057907,101,18379,786
Humane Society International,"1255 23rd St NW Ste 450
Washington, DC 20037
(38.906272, -77.050108)",Animals,52-1769464,,4500,
Seattle Audubon Society,"8050 35th Ave NE
Seattle, WA 98115
(47.688222, -122.290643)",Environment,91-6009716,101,18792,369
Open Doors for Multicultural Families,"24437 Russell Rd Ste #110
Kent, WA 98032
(47.382684, -122.261519)",Social & Economic Justice,27-1206272,76,17370,476
Mona Foundation,"14150 NE 20th St F1-527
Bellevue, WA 98007
(47.627992, -122.151459)",Education & Literacy,91-1968512,6,31853,433
Meaningful Movies Project,,Education & Literacy,80-0782680,,,
