"organization_name","location","tax_identification_number","kcegp_code","website","short_description","category","category_3","category_2","link_1","link_2","link_3","link_4","status","community_of_opportunity","current_pledges","link_1_description","link_2_description","link_3_description","link_4_description","communities_served_1","communities_served_2","communities_served_3"
"Washington Bus Education Fund","1801 12th Ave Ste A
Seattle, WA 98122
(47.617788, -122.316902)","26-1453582","10833","https://www.wabuseducationfund.org/","We increase civic participation for people ages 15-35, primarily young people of color, LGBTQIA+ people, womxn, low-income people, and first-generation students in Washington.","Social & Economic Justice",,"Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=261453582","https://www.guidestar.org/profile/26-1453582","https://www.bbb.org/charity-reviews/northwest-pacific/the-washington-bus-education-fund-in-seattle-wa-1000095657",,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=261453582","https://www.guidestar.org/profile/26-1453582","https://www.bbb.org/charity-reviews/northwest-pacific/the-washington-bus-education-fund-in-seattle-wa-1000095657",,"Children & Youth",,
"Atlas Assistance Dogs",,"81-1852987","9847","https://www.atlasdog.org","We help people with disabilities overcome obstacles to obtaining a service dog by helping them train their own service dog and providing the support to ensure they succeed.","Mental Health, Disabilities, & Substance Abuse","Social & Economic Justice","Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=811852987","https://www.guidestar.org/profile/81-1852987",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=811852987","https://www.guidestar.org/profile/81-1852987",,,,,
"DESC","515 3rd Ave
Seattle, WA 98104
(47.602248, -122.330976)","91-1275815","9300","https://www.desc.org","We serve over 3,000 homeless adults daily, offering supportive housing, clinical care, emergency shelter, street outreach, meals, and job placement.","Housing & Employment",,"Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911275815","https://www.guidestar.org/profile/91-1275815","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/desc-in-seattle-wa-22212774",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911275815","https://www.guidestar.org/profile/91-1275815","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/desc-in-seattle-wa-22212774",,"Economically Disadvantaged People","People With Disabilities","Incarcerated People"
"Glaucoma Research Foundation","251 Post St Ste 600
San Francisco, CA 94108
(37.788585, -122.406092)","94-2495035","4157","https://www.glaucoma.org","Cure glaucoma and restore vision through innovative research.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/94-2495035",,,"Returning","No",,,"https://www.guidestar.org/profile/94-2495035",,,"Seniors","Women & Girls",
"School of Acrobatics & New Circus Arts","674 S Orcas St
Seattle, WA 98108
(47.551466, -122.325159)","20-0300045","9816","https://sancaseattle.org/","To improve the mental, emotional, and physical health of children of all ages, backgrounds, and abilities by engaging them in the joyous creativity of acrobatics and circus arts.","Arts, Culture, & Humanities",,"Health (General)","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=200300045","https://www.guidestar.org/profile/20-0300045",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=200300045","https://www.guidestar.org/profile/20-0300045",,,"Children & Youth","Economically Disadvantaged People",
"Take a Warrior Fishing","297 SW 41st St
Renton, WA 98057
(47.443843, -122.220566)","91-1582848","2775","https://www.castforkids.org","Wounded warriors, veterans, military personnel and their families enjoy adaptive and therapeutic recreational fishing adventures.","Recreation, Sports, Leisure, & Athletics",,,,,,,"Returning","No",,,,,,,,
"Town Hall Seattle","1119 8th Ave
Seattle, WA 98101
(47.609149, -122.329589)","91-1910904","9833","https://townhallseattle.org/","We are a nationally unique artistic and civic hub located in the heart of Seattle, providing a broad program of music, humanities, civic discourse, and world culture events.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14848","https://www.guidestar.org/profile/91-1910904",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14848","https://www.guidestar.org/profile/91-1910904",,,,,
"Volunteers of America Western Washington","2802 Broadway
Everett, WA 98201
(47.980152, -122.201555)","91-0577129","9524","https://www.voaww.org","We create safe, stable, healthy communities by helping the most vulnerable - the hungry & homeless, children in poverty, adults with disabilities, and people in conflict.","Food & Hunger",,"Mental Health, Disabilities, & Substance Abuse","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910577129","https://www.guidestar.org/profile/91-0577129","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/volunteers-of-america-western-washington-in-everett-wa-26025344",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910577129","https://www.guidestar.org/profile/91-0577129","https://www.bbb.org/western-washington/Charity-Reviews/charity-human-services-ie-assistance-to-individuals-and-families/volunteers-of-america-western-washington-in-everett-wa-26025344",,"Children & Youth",,
"SENIORS VOLUNTEER CORPS",,"81-3791489","10822","https://www.no-web","We foster the senior citizens' well being and dignity, by providing them with educational, recreational, social and volunteering events and programs for them to participate.","Arts, Culture, & Humanities",,"Community Development",,,,,"Number Change","No",,,,,,"Seniors","Asian, Asian American","Immigrants, Migrants, Refugees"
"Beacon Food Forest",,"82-2990802","10013","https://www.beaconfoodforest.org","A community-driven permaculture woodland ecosystem using edible trees, shrubs, perennials, and annuals, providing food and horticulture education for all.","Food & Hunger","Community Development","Environment",,"https://www.guidestar.org/profile/82-2990802",,,"New","Yes",,,"https://www.guidestar.org/profile/82-2990802",,,,,
"Evergreen Treatment Services","4634 E Marginal Way S Ste C110
Seattle, WA 98134
(47.561448, -122.339272)","91-0903529","9350","https://www.evergreentreatment.org","We offer medication-assisted treatment for opioid dependence & addiction to 3,000 patients daily and street-based outreach services to 3,500 homeless adults with addiction.","Mental Health, Disabilities, & Substance Abuse","Health (General)","Housing & Employment","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910903529","https://www.guidestar.org/profile/91-0903529",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=910903529","https://www.guidestar.org/profile/91-0903529",,,"Economically Disadvantaged People","Incarcerated People","Black, African American, African"
"Seattle Jobs Initiative","1200 12th Ave S Ste 160
Seattle, WA 98144
(47.593092, -122.317306)","47-0900181","9751","https://www.seattlejobsinitiative.com/","SJI provides job-skills training and wraparound services to connect low-income individuals to living-wage jobs. We work to remove barriers including structural racism.","Housing & Employment","Education & Literacy","Community Development","https://www.charitynavigator.org/ein/470900181","https://www.guidestar.org/profile/47-0900181",,,"Returning","Yes",,"https://www.charitynavigator.org/ein/470900181","https://www.guidestar.org/profile/47-0900181",,,"Black, African American, African","Latino/Latina/Latinx, Hispanic","Asian, Asian American"
"WestSide Baby","10002 14th Ave SW
Seattle, WA 98146
(47.513401, -122.352666)","91-2124405","9431","https://www.westsidebaby.org","WestSide Baby, in partnership with our community, provides essential items to local children in need by collecting and distributing diapers, clothing and equipment.","Youth Development","Health (General)","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13855#.Vwwgi5wrIdU","https://www.guidestar.org/profile/91-2124405","https://www.bbb.org/western-washington/Charity-Reviews/charity-children-and-youth/westside-baby-in-seattle-wa-90006301",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13855#.Vwwgi5wrIdU","https://www.guidestar.org/profile/91-2124405","https://www.bbb.org/western-washington/Charity-Reviews/charity-children-and-youth/westside-baby-in-seattle-wa-90006301",,"Children & Youth",,
"Northwest Kidney Centers","700 Broadway
Seattle, WA 98122
(47.608402, -122.320765)","91-6057438","9121","https://www.nwkidney.org","We keep people in King, Clallam and Pierce counties alive with dialysis care, educate the public about kidney health, and fund kidney research.","Disease, Disorders, & Medical Research",,"Health (General)",,"https://www.guidestar.org/profile/91-6057438",,,"Returning","No",,,"https://www.guidestar.org/profile/91-6057438",,,"Black, African American, African","Economically Disadvantaged People","Seniors"
"PCAF","3009 S 40th St
Tacoma, WA 98409
(47.220594, -122.475903)","91-1385245","10816","https://www.pcaf-wa.org","Through education and service, PCAF prevents HIV infection, assists persons affected by HIV/AIDS, addresses related health problems, & combats associated stigma and discrimination.","Disease, Disorders, & Medical Research",,"Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911385245","https://www.guidestar.org/profile/91-1385245","https://www.bbb.org/western-washington/charity-reviews/charity-health/pierce-county-aids-foundation-in-tacoma-wa-87000931",,"Number Change","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911385245","https://www.guidestar.org/profile/91-1385245","https://www.bbb.org/western-washington/charity-reviews/charity-health/pierce-county-aids-foundation-in-tacoma-wa-87000931",,"People With Disabilities",,
"Literacy Source","3200 NE 125th St
Seattle, WA 98125
(47.719269, -122.293777)","91-2101208","9298","https://www.literacysource.org","We provide free classes and one-on-one tutoring in basic skills - reading, math, English, citizenship and computers - to over 1,200 low-income adults in King County each year.","Education & Literacy",,"Social & Economic Justice","https://www.charitynavigator.org/ein/912101208","https://www.guidestar.org/profile/91-2101208",,,"Returning","No",,"https://www.charitynavigator.org/ein/912101208","https://www.guidestar.org/profile/91-2101208",,,,,
"St. Jude Children's Research Hospital (serving AK, ID, MT & WA)","425 Pontius Ave N Ste 410
Seattle, WA 98109
(47.622709, -122.331744)","35-1044585","4015","https://www.stjude.org","Researches/treats childhood cancer and life-threatening diseases. Families never billed for treatment, travel, housing, or food. Discoveries freely shared worldwide.","Disease, Disorders, & Medical Research","Youth Development","Health (General)",,"https://www.guidestar.org/profile/35-1044585",,,"Returning","No",,,"https://www.guidestar.org/profile/35-1044585",,,"Children & Youth","Economically Disadvantaged People","People With Disabilities"
"Muscular Dystrophy Association, Washington","21905 64th Ave W Ste 301B
Mountlake Terrace, WA 98043
(47.800677, -122.319027)","13-1665552","4022","https://www.mda.org","Fighting neuromuscular diseases through research; providing healthcare services and support to MDA families; rallying communities through advocacy and local engagement.","Disease, Disorders, & Medical Research","Community Development","Health (General)",,"https://www.guidestar.org/profile/13-1665552",,,"Returning","No",,,"https://www.guidestar.org/profile/13-1665552",,,"People With Disabilities","Children & Youth","Women & Girls"
"Y.E.T.I.","226 SW 171st St
Normandy Park, WA 98166
(47.449781, -122.337979)","27-3193281","9856","https://www.goyeti.org","Y.E.T.I. hosts year-round outdoor adventures for young people in King County. We actively break down financial, cultural, and gender barriers to make sure all can participate.","Environment",,"Recreation, Sports, Leisure, & Athletics",,,,,"Returning","No",,,,,,"Children & Youth",,
"Technology and Information for all - TINFA","333 18th Ave E
Seattle, WA 98112
(47.621474, -122.308734)","91-2073142","9690","https://www.tinfa.org","TINFA empowers teachers to bring 21st century skills to kids in underserved areas of developing countries.","Education & Literacy","Youth Development","International Relief & Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912073142","https://www.guidestar.org/profile/91-2073142",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912073142","https://www.guidestar.org/profile/91-2073142",,,"Economically Disadvantaged People","Latino/Latina/Latinx, Hispanic","Children & Youth"
"College Success Foundation","15500 SE 30th Pl Ste 200
Bellevue, WA 98007
(47.582298, -122.13444)","91-2036088","9781","https://www.collegesuccessfoundation.org/","College Success Foundation provides supports and services to students who face financial barriers to finish high school college-ready, graduate from college and succeed in life.","Education & Literacy",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912036088","https://www.guidestar.org/profile/91-2036088","https://www.bbb.org/western-washington/Charity-Reviews/charity-education-and-literacy/college-success-foundation-in-bellevue-wa-22213751",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=912036088","https://www.guidestar.org/profile/91-2036088","https://www.bbb.org/western-washington/Charity-Reviews/charity-education-and-literacy/college-success-foundation-in-bellevue-wa-22213751",,"Children & Youth",,
"Project SeaWolf Coastal Protection",,"91-1877519","9476","https://www.projectseawolf.org","A 100% volunteer-run environmental and marine wildlife protection group, our educational, youth programs, and wildlife advocacy programs protect orca whale ecosystems in the PNW.","Animals","Education & Literacy","Environment",,"https://www.guidestar.org/profile/91-1877519",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1877519",,,"Children & Youth","Economically Disadvantaged People","People With Disabilities"
"NW Children's Foundation","2100 24th Ave S Ste 320
Seattle, WA 98144
(47.58408, -122.301654)","91-1314318","9011","https://nwcf.org/","Breaking the intergenerational cycle of child abuse, trauma and neglect by investing in high-impact programs and providing critical education to improve services.","Legal Advocacy",,"Youth Development","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11743","https://www.guidestar.org/profile/91-1314318",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11743","https://www.guidestar.org/profile/91-1314318",,,"Children & Youth","Economically Disadvantaged People","Women & Girls"
"Gay City: Seattle's LGBTQ Center","517 E Pike St
Seattle, WA 98122
(47.614089, -122.324782)","91-1685822","9216","https://www.gaycity.org","As the leading provider of HIV/STI testing in King County, our mission is to cultivate access and connections to promote self-determination, liberation, and joy in our communities.","Health (General)","Arts, Culture, & Humanities","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911685822","https://www.guidestar.org/profile/91-1685822","https://www.bbb.org/western-washington/charity-reviews/charity-health/gay-city-seattle-s-lgbtq-center-in-seattle-wa-22460696",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911685822","https://www.guidestar.org/profile/91-1685822","https://www.bbb.org/western-washington/charity-reviews/charity-health/gay-city-seattle-s-lgbtq-center-in-seattle-wa-22460696",,"LGBTQIA",,
"Queen Anne Helpline","311 W McGraw St
Seattle, WA 98119
(47.6396, -122.361432)","91-1187354","9565","https://www.QueenAnneHelpline.org","Our mission is to prevent homelessness and stabilize the lives of neighbors in need through financial and supportive services.","Housing & Employment",,"Food & Hunger","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911187354","https://www.guidestar.org/profile/91-1187354","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/queen-anne-helpline-in-seattle-wa-22391563",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911187354","https://www.guidestar.org/profile/91-1187354","https://www.bbb.org/western-washington/charity-reviews/charity-human-services-ie-assistance-to-individuals-and-families/queen-anne-helpline-in-seattle-wa-22391563",,"Economically Disadvantaged People","Seniors","People With Disabilities"
"Sound Child Care Solutions","1225 S Weller St Ste 200
Seattle, WA 98144
(47.597502, -122.315994)","02-0551791","10049","https://www.soundchild.org","We create high-quality, culturally relevant education for all children through the collaboration of early learning centers to alleviate the opportunity and achievement gaps.","Education & Literacy","Social & Economic Justice","Youth Development","https://www.charitynavigator.org/ein/020551791","https://www.guidestar.org/profile/02-0551791","https://www.bbb.org/charity-reviews/greatwestpacific/sound-child-care-solutions-in-seattle-wa-22379554",,"New","Yes",,"https://www.charitynavigator.org/ein/020551791","https://www.guidestar.org/profile/02-0551791","https://www.bbb.org/charity-reviews/greatwestpacific/sound-child-care-solutions-in-seattle-wa-22379554",,"Children & Youth","Economically Disadvantaged People","Immigrants, Migrants, Refugees"
"Washington Association of Land Trusts","901 Fifth Ave Ste 1520
Seattle, WA 98164
(47.606191, -122.33147)","26-3186170","9984","https://walandtrusts.org/","The Washington Association of Land Trusts unites the land conservation community, to accelerate work to protect and steward the special lands and waters of Washington state.","Environment","Legal Advocacy","Community Development","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=263186170","https://www.guidestar.org/profile/26-3186170",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=263186170","https://www.guidestar.org/profile/26-3186170",,,,,
"5th Avenue Theatre","1308 5th Ave
Seattle, WA 98101
(47.608759, -122.333806)","91-1087612","9631","https://www.5thavenue.org","We develop, produce and present live musical theater for the cultural enrichment of the Northwest community; preserve, maintain, and operate the historic 5th Avenue Theatre.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911087612","https://www.guidestar.org/profile/91-1087612",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911087612","https://www.guidestar.org/profile/91-1087612",,,"Children & Youth",,
"Central Washington University Foundation","400 E University Way
Ellensburg, WA 98926
(46.999738, -120.544292)","23-7017467","9344","https://www.cwu.edu","A partnership of committed staff working in concert with donors, alumni, friends, and the university community to raise funds to support the students, faculty, and programs at CWU.","Education & Literacy",,"Arts, Culture, & Humanities","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=237017467","https://www.guidestar.org/profile/23-7017467","https://www.bbb.org/snakeriver/Charity-Reviews/charity-education-and-literacy/cwu-foundation-in-ellensburg-wa-1000011846",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=237017467","https://www.guidestar.org/profile/23-7017467","https://www.bbb.org/snakeriver/Charity-Reviews/charity-education-and-literacy/cwu-foundation-in-ellensburg-wa-1000011846",,,,
"Lake Forest Park Stewardship Foundation",,"91-1924333","9884","https://www.lfpsf.org","Our Mission: To contribute to the well-being of our community by fostering awareness, understanding, appreciation, and stewardship of our natural environment; preserve open space.","Environment",,"Community Development",,"https://www.guidestar.org/profile/91-1924333",,,"Returning","No",,,"https://www.guidestar.org/profile/91-1924333",,,"Children & Youth",,
"Eritrean Association in Greater Seattle","1954 S Massachusetts St
Seattle, WA 98144
(47.588425, -122.307015)","91-1703201","9723","https://www.eritreanassociation.org","As the primary service/support organization for over 3,000 Eritreans in King Co., we address basic needs and maintain cultural values for Eritreans and other refugees/immigrants.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911703201","https://www.guidestar.org/profile/91-1703201","https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/eritrean-association-in-greater-seattle-in-seattle-wa-22563870",,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911703201","https://www.guidestar.org/profile/91-1703201","https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/eritrean-association-in-greater-seattle-in-seattle-wa-22563870",,"Immigrants, Migrants, Refugees","Black, African American, African","Economically Disadvantaged People"
"SHARE/WHEEL","1902 Second Ave
Seattle, WA 98101
(47.611144, -122.340784)","91-1577965","9708","https://SHAREWHEEL.org","Educate homeless & community on problems of homelessness, engage in activities designed to prevent & eliminate homelessness, & facilitate self-managed shelters & projects.","Emergency & Disaster Services","Social & Economic Justice","Community Development",,,,,"Returning","No",,,,,,,,
"Coyote Central","2300 E Cherry St
Seattle, WA 98122
(47.608012, -122.302785)","91-1444797","9541","https://www.coyotecentral.org","Youth ages 10-15 of all backgrounds work with professional artists in a wide range of fields tackling hands-on projects to build critical thinking, creativity, and self-awareness.","Education & Literacy",,"Arts, Culture, & Humanities","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911444797","https://www.guidestar.org/profile/91-1444797",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911444797","https://www.guidestar.org/profile/91-1444797",,,"Children & Youth",,
"Bellevue Youth Symphony Orchestra (BYSO)","12310 NE 8th St Ste 201
Bellevue, WA 98005
(47.617331, -122.176089)","91-1630589","9535","https://www.byso.org","BYSO's 6 orchestras, 3 ensembles and 3 summer day camps allow youth ages 6-21 to discover the joy of making music, experience performance opportunities and develop life skills.","Arts, Culture, & Humanities",,"Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911630589","https://www.guidestar.org/profile/91-1630589","https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/bellevue-youth-symphony-orchestra-in-bellevue-wa-1000095920",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.profile&ein=911630589","https://www.guidestar.org/profile/91-1630589","https://www.bbb.org/western-washington/charity-reviews/charity-arts-and-culture/bellevue-youth-symphony-orchestra-in-bellevue-wa-1000095920",,"Children & Youth",,
"Toxic-Free Future","4649 Sunnyside Ave N Ste 540
Seattle, WA 98103
(47.663831, -122.330171)","91-1214158","9498","https://toxicfreefuture.org/","We’re fighting for a toxic-free future for you, your family, and your community.","Environment","Social & Economic Justice","Health (General)",,,,,"New","No",,,,,,,,
"JazzClubsNW","228 W North Bend Way Ste A
North Bend, WA 98045
(47.495741, -121.787468)","27-3580808","10890","https://http;//www.jazzclubsnw.org","JazzClubsNW is dedicated to supporting live jazz performance and education in the communities in which we live.","Arts, Culture, & Humanities",,"Youth Development","https://www.charitynavigator.org/ein/273580808","https://www.guidestar.org/profile/27-3580808",,,"New","No",,"https://www.charitynavigator.org/ein/273580808","https://www.guidestar.org/profile/27-3580808",,,"Children & Youth",,
"SMASH","1200 5th Ave Ste 625
Seattle, WA 98101
(47.608286, -122.333389)","81-1717061","10045","https://www.smashseattle.org","We support limited-income musicians in our region by prioritizing their health and their lives. We provide access to free and low-cost medical, dental, and mental health services.","Arts, Culture, & Humanities","Poverty Relief","Health (General)",,,,,"New","No",,,,,,"Economically Disadvantaged People",,
"Conservation Northwest","1829 10th Ave W Ste B
Seattle, WA 98119
(47.635581, -122.370387)","94-3091547","9445","https://conservationnw.org","Conservation Northwest protects, connects and restores wildlife and wildlands from the Washington Coast to the British Columbia Rockies.","Environment","Health (General)","Animals","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4245","https://www.guidestar.org/profile/94-3091547","https://www.bbb.org/western-washington/Charity-Reviews/charity-environment/conservation-northwest-in-seattle-wa-87001113",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4245","https://www.guidestar.org/profile/94-3091547","https://www.bbb.org/western-washington/Charity-Reviews/charity-environment/conservation-northwest-in-seattle-wa-87001113",,,,
"Chad's Legacy Project",,"81-3696910","10899","https://www.chadslegacy.org","Dedicated to the advancement of mental health education and innovations in the evaluation and treatment of mental illness.","Mental Health, Disabilities, & Substance Abuse",,"Health (General)",,"https://www.guidestar.org/profile/81-3696910",,,"New","No",,,"https://www.guidestar.org/profile/81-3696910",,,,,
"Circle Faith Future","16544 191st Pl NE
Woodinville, WA 98072
(47.749384, -122.08246)","84-3867300","10900","https://circlefaithfuture.org/youth-chaplaincy/","Our vision is to reach out to people and communities to address the systemic nature of our human missed connection. We especially focus on chaplaincy with incarcerated youth.","Education & Literacy","Social & Economic Justice","Community Development",,,,,"New","No",,,,,,"Children & Youth","Incarcerated People","LGBTQIA"
"Classical KING FM 98.1","363 Mercer St Ste #200
Seattle, WA 98109
(47.624573, -122.349878)","27-3067797","9403","https://www.king.org","Classical 98.1 will actively grow, diversify, and enrich the love of classical music in our community.","Arts, Culture, & Humanities",,,"https://www.charitynavigator.org/ein/273067797","https://www.guidestar.org/PartnerReport.aspx?ein=27-3067797&Partner=Amex",,,"Returning","No",,"https://www.charitynavigator.org/ein/273067797","https://www.guidestar.org/PartnerReport.aspx?ein=27-3067797&Partner=Amex",,,,,
"Plymouth Housing","2113 3rd Ave
Seattle, WA 98121
(47.613468, -122.342708)","91-1122621","5712","https://www.plymouthhousing.org/","Develops and manages permanent, supportive housing for formerly homeless people in downtown. Provides on-site services to help residents maintain housing.","Housing & Employment","Community Development","Disease, Disorders, & Medical Research","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10188",,"https://www.bbb.org/western-washington/charity-reviews/charity-community-development-and-civic-organizations/plymouth-housing-group-in-seattle-wa-22212785",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10188",,"https://www.bbb.org/western-washington/charity-reviews/charity-community-development-and-civic-organizations/plymouth-housing-group-in-seattle-wa-22212785",,,,
"The WAVE Foundation","1700 Westlake Ave N Ste 200
Seattle, WA 98109
(47.633993, -122.34042)","45-1288621","9697","https://thewavefoundation.org","To end domestic violence, sexual assault, and sex trafficking, we must come together as a community.","Legal Advocacy",,"Social & Economic Justice","https://www.charitynavigator.org/ein/451288621","https://www.guidestar.org/profile/45-1288621",,,"Returning","No",,"https://www.charitynavigator.org/ein/451288621","https://www.guidestar.org/profile/45-1288621",,,"Women & Girls",,
"HIAS","1300 Spring St Ste 500
Silver Spring, MD 20910
(38.998982, -77.032488)","13-5633307","3580","https://www.hias.org","For almost 140 years, this organization has been helping refugees rebuild their lives in safety and freedom.","International Relief & Development","Community Development","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3820","https://www.guidestar.org/profile/13-5633307",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3820","https://www.guidestar.org/profile/13-5633307",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
"Friends of Fisher House Puget Sound",,"86-1175590","9504","https://www.fisherhousevaps.org","To ease the burden of military and Veteran families when their loved ones are receiving care by providing free lodging and food during this difficult time.","Health (General)",,"Housing & Employment","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=86-1175590","https://www.guidestar.org/profile/86-1175590",,,"Returning","Yes",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=86-1175590","https://www.guidestar.org/profile/86-1175590",,,"Veterans & Military",,
"Free the Slaves","1320 19th St NW Ste 600
Washington, DC 20036
(38.908052, -77.043466)","56-2189635","3589","https://www.freetheslaves.net","Works to free people from slavery, help them build new lives, and dismantle the systems that allow slavery to flourish.","International Relief & Development","Legal Advocacy","Social & Economic Justice","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11051","https://www.guidestar.org/profile/56-2189635",,,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11051","https://www.guidestar.org/profile/56-2189635",,,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Asian, Asian American"
"Children's Alliance","718 6th Ave S
Seattle, WA 98104
(47.596255, -122.326407)","91-0982879","2749","https://www.childrensalliance.org","Championing public policies and practices that deliver the essentials kids need to thrive - confidence, stability, health, safety.","Youth Development",,,,,,,"Returning","No",,,,,,,,
"Anera (American Near East Refugee Aid)","1111 14th St NW Ste 400
Washington, DC 20005
(38.904238, -77.031938)","52-0882226","3508","https://www.anera.org","Humanitarian assistance and sustainable development to advance the well-being of refugees and other vulnerable communities in the Middle East.","International Relief & Development","Health (General)","Education & Literacy","https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3278","https://www.guidestar.org/profile/52-0882226","https://www.give.org/charity-reviews/national/relief-and-development/american-near-east-refugee-aid-in-washington-dc-991",,"Returning","No",,"https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3278","https://www.guidestar.org/profile/52-0882226","https://www.give.org/charity-reviews/national/relief-and-development/american-near-east-refugee-aid-in-washington-dc-991",,"Economically Disadvantaged People","Immigrants, Migrants, Refugees","Women & Girls"
"March of Dimes","1550 Crystal Dr Ste 1300
Arlington, VA 22202
(38.859501, -77.049145)","13-1846366","4110","https://www.marchofdimes.org","March of Dimes fights for the health of all moms and babies. We support research, lead programs and provide education and advocacy to support every baby.","Health (General)","Community Development","Education & Literacy",,"https://www.guidestar.org/profile/13-1846366",,,"Returning","No",,,"https://www.guidestar.org/profile/13-1846366",,,"Children & Youth","Economically Disadvantaged People","Women & Girls"
"Samaritan's Purse",,"58-1437002","4188","https://www.samaritanspurse.org","Christian relief agency providing food, medicine, clothing, shelter, and other emergency assistance to victims of war, poverty, disease, and natural disasters.","Emergency & Disaster Services","Spiritual Development","Food & Hunger",,"https://www.guidestar.org/profile/58-1437002",,,"Number change","No",,,"https://www.guidestar.org/profile/58-1437002",,,"Children & Youth","Economically Disadvantaged People","Immigrants, Migrants, Refugees"
