Organization Name,Location,Category,Tax Identification Number,Short Description,Category 2,Category 3,City Kc Area,Zip Codes,2017 Census Tracts WA State
New Walk Christian Church,"14006 1st Ave S #B
Burien, WA 98178
(47.477635, -122.333856)",Food & Hunger,30-0301432,"We seek to create healthy communities by providing basic needs, resources and spiritual counseling that lead to restoration and skills for life.",Community Development,Education & Literacy,8,18227,459
NFFTY (National Film Festival for Talented Youth),"815 Seattle Blvd S #124
Seattle, WA 98134
(47.595526, -122.327289)","Arts, Culture, & Humanities",20-8536377,"Founded in 2007, NFFTY has grown into the world's largest film festival for young filmmakers age 24 and younger. NFFTY is committed to being an inclusive and equitable festival.",,,101,19584,401
Ninos Tres Rios,"1221 148th Ave NE
Bellevue, WA 98007
(47.621307, -122.14328)",Education & Literacy,26-3873890,Provides education and disability assistance to children in El Salvador.,"Disease, Disorders, & Medical Research",Poverty Relief,6,31853,148
Northaven Senior Housing,"11045 8th Ave NE
Seattle, WA 98125
(47.709941, -122.320596)",Housing & Employment,91-1264261,"Provides not-for-profit low-income housing, compassionate care, and community services to improve the quality of life for older adults.",Health (General),,101,19579,762
North Beach Progressive Animal Welfare Society,"2222 SR 109
Hoquiam, WA 98550
(47.044435, -124.147523)",Animals,33-1019474,"We are a 100% no-kill, nonprofit, all volunteer animal shelter devoted to finding unwanted or homeless animals a loving forever home.",,,,25682,736
North Cascades Institute,"810 State Route 20
Sedro-Woolley, WA 98284
(48.510451, -122.22718)",Environment,91-1327775,Inspires environmental stewardship through transformative learning experiences in nature.,Education & Literacy,,,19909,481
North Helpline,"12736 33rd Ave NE
Seattle, WA 98125
(47.721987, -122.2922)",Food & Hunger,91-1475182,We ensure our neighbors have a roof overhead and food on the table. We operate two food banks and provide financial assistance to those facing eviction and utility shutoff.,Housing & Employment,Community Development,101,19579,172
North Olympic Land Trust,"602 E Front St
Port Angeles, WA 98362
(48.116019, -123.42319)",Environment,91-1500378,An accredited land trust conserving economically and ecologically vital lands that sustain the communities of the Olympic Peninsula in Washington State.,,,,11833,688
Northshore Schools Foundation,"13110 NE 177th Pl B101-103
Woodinville, WA 98072
(47.755747, -122.164581)",Education & Literacy,91-1680139,"We enhance and inspire learning potential, remove barriers, and build skills for life for students and teachers in the Northshore School District.",Community Development,,94,18071,1278
Northstar Connections,,"Mental Health, Disabilities, & Substance Abuse",82-3374424,"Nonprofit guiding & advocates for our disabled, aging and vulnerable population by providing Guardianship. Clients then gain access to life planning tools, care, services & more.",Legal Advocacy,Health (General),,,
Northwest Abortion Access Fund,"4325 Commerce St Ste 111-433
Eugene, OR 97402
(44.049026, -123.1685)",Health (General),72-1553703,Provide funding and resources for clients seeking financial assistance for procedures and travel to appointments.,Social & Economic Justice,,,30850,
Northwest Access Fund,"1437 S Jackson St Ste 302
Seattle, WA 98144
(47.599224, -122.312018)","Mental Health, Disabilities, & Substance Abuse",91-2094889,"We offer people with disabilities customized loans, financial coaching, and other resources to promote access to AT, independence, financial resilience, and life opportunities.",Education & Literacy,Social & Economic Justice,101,17919,13
Northwest Adoption Exchange,"701 5th Ave Ste 1230
Seattle, WA 98104
(47.604906, -122.330278)",Youth Development,91-1117250,Finding adoptive families for the children in foster care; supporting the families who come forward; and advocating for excellence in child welfare.,"Mental Health, Disabilities, & Substance Abuse",,101,18379,785
Northwest African American Museum,"2300 S Massachusetts St
Seattle, WA 98144
(47.588359, -122.301888)","Arts, Culture, & Humanities",76-0835379,"We celebrate and explore the histories, arts, and cultures of people of African descent through exhibitions, programs and events.",Education & Literacy,,101,17919,771
Northwest Animal Rights Network,,Animals,91-1341059,An animal advocacy group dedicated to ending the exploitation of all animals.,Environment,Social & Economic Justice,,,
Northwest Association for Blind Athletes,,Education & Literacy,26-0244283,"Our mission is to provide life-changing opportunities through sports and physical activity to individuals who are blind. We serve children, youth, adults and veterans.",Health (General),,,,
Northwest Battle Buddies,,Animals,45-4159178,We empower combat veterans with PTSD to regain their freedom and independence with professionally trained and specifically matched service dogs at no charge.,"Mental Health, Disabilities, & Substance Abuse",,,,
Northwest Boxer Rescue,"15718 173rd Ave NE
Woodinville, WA 98072
(47.742114, -122.109956)",Animals,45-3852074,"NWBR believes every dog deserves to live a happy life, in a loving home. Our mission is to find perfect homes for each Boxer through rescue, rehabilitation and education.",,,61,18071,881
Northwest Boychoir & Vocalpoint! Seattle,"5031 University Way NE Ste NB2
Seattle, WA 98105
(47.665668, -122.313076)","Arts, Culture, & Humanities",23-7409990,"The premier youth choirs in the Pacific Northwest are an integral part of the region's cultural life, offering the highest level of music education & performance opportunities.",,,101,18383,1426
Northwest Center,"1119 SW 7th St
Renton, WA 98057
(47.473785, -122.232649)","Mental Health, Disabilities, & Substance Abuse",91-0786790,"Serves people with disabilities from birth to retirement, providing early learning and therapy for children and employment opportunities for adults.",Education & Literacy,,100,17811,453
Northwest Chapter Paralyzed Veterans of America,"616 SW 152nd St
Burien, WA 98166
(47.466801, -122.342657)",Health (General),91-1017716,Service to paralyzed veterans in acquiring benefits from the Veterans Administration. Advocacy - speaking out & lobbying on behalf of disabled veterans & the disabled community.,,,8,18226,29
Northwest Community Bail Fund,,Social & Economic Justice,83-1096468,"We post bail for indigent individuals who are held on inaccessible bail amounts, resulting in damaged work and social connections, and an increased pressure to plead guilty.",,,,,
Northwest Education Access,"6920 Roosevelt Way NE #355
Seattle, WA 98115
(47.67925, -122.317426)",Education & Literacy,04-3602577,"NWEA provides comprehensive and individualized support to help low-income young people, ages 16-29, build their own path to higher education and beyond.",Community Development,,101,18792,352
Northwest Folklife,"305 Harrison St
Seattle, WA 98109
(47.622051, -122.348453)","Arts, Culture, & Humanities",91-1311548,"Northwest Folklife creates opportunities for all to celebrate, share, and participate in the evolving cultural traditions of the Pacific Northwest.",Community Development,,101,18390,1450
Northwest Girlchoir,"2150 N 122nd St
Seattle, WA 98133
(47.717106, -122.332213)","Arts, Culture, & Humanities",91-1108275,"We transform the lives of girls and young women through outstanding music education, dynamic choral performances, and an enduring community. We focus on equity and inclusion.",,,101,19582,366
Northwest Harvest,"2225 4th Ave #100
Seattle, WA 98121
(47.615195, -122.343654)",Food & Hunger,91-0826037,"We are Washington's leading hunger relief and food justice agency - supporting a statewide network of 375 food banks, meal programs, and high-need schools.",Social & Economic Justice,,101,19576,779
Northwest Hope and Healing,"600 Stewart St Ste 400
Seattle, WA 98101
(47.613823, -122.336772)",Health (General),20-0799737,Our mission is to provide financial assistance to women in need who are battling breast or gynecological cancer at the Swedish Cancer Institute.,Emergency & Disaster Services,,101,18081,397
Northwest Immigrant Rights Project,"615 Second Ave Ste 400
Seattle, WA 98104
(47.602437, -122.332636)",Legal Advocacy,91-1393082,"Northwest Immigrant Rights Project promotes justice by defending and advancing the rights of immigrants through direct legal services, systemic advocacy, and community education.",Human & Civil Rights,Social & Economic Justice,101,18379,399
Northwest Justice Project,"401 2nd Ave S Ste 407
Seattle, WA 98104
(47.59855, -122.33159)",Human & Civil Rights,91-1687791,"Free civil legal services ensure that low-income persons in WA can pursue justice when faced with eviction, foreclosure, domestic violence, loss of income, consumer fraud and more.",Social & Economic Justice,Housing & Employment,101,18379,401
Northwest Kidney Centers,"700 Broadway
Seattle, WA 98122
(47.608402, -122.320765)","Disease, Disorders, & Medical Research",91-6057438,"We keep people in King, Clallam and Pierce counties alive with dialysis care, educate the public about kidney health, and fund kidney research.",Health (General),,101,19578,785
Northwest Mothers Milk Bank,"15875 SW 74th Ave
Portland, OR 97224
(45.405319, -122.752031)",Health (General),26-3458029,"Our mission is to improve the health and survival of the Pacific Northwest's most vulnerable infants. We provide safe, pasteurized human donor milk to hospitals and outpatients.",Food & Hunger,,,29646,
Northwest Natural Resource Group (NNRG),"2701 1st Ave Ste 240
Seattle, WA 98121
(47.615964, -122.350905)",Environment,94-3172720,"We strengthen the ecological and economic vitality of Northwest forests and communities by connecting people with the knowledge, skills, & markets they need to steward their lands.",Community Development,"Science and Technology Research, Institutions, & Services",101,19576,782
Northwest Neighbors Network,,Health (General),81-2916517,Helps seniors age well in their own homes by providing volunteer services and events.,Community Development,,,,
Northwest Organization for Animal Help (NOAH),,Animals,91-1362069,"NOAH is dedicated to stopping euthanasia of healthy, adoptable and treatable cats and dogs in shelters across Washington State by Transferring, Spay, Neuter and Adoptions.",,,,,
Northwest Parkinson's Foundation,"3010 77th Ave SE #101
Mercer Island, WA 98040
(47.583281, -122.235048)",Health (General),91-1923159,"Local, independent organization providing education, advocacy & services for people with Parkinson's in the NW. Serving the whole family so no one walks their journey alone.","Disease, Disorders, & Medical Research",Social & Economic Justice,84,17793,1342
Northwest Sarcoma Foundation,"117 E Louisa St #443
Seattle, WA 98102
(47.642035, -122.326281)",Health (General),91-1717600,"We provide hope, education, and support to sarcoma patients and their families in the Pacific Northwest, while investing in research to improve cure rates for sarcomas.","Disease, Disorders, & Medical Research",,101,18376,115
Northwest's Child Inc.,"1823 N 85th
Seattle, WA 98103
(47.690503, -122.335399)","Mental Health, Disabilities, & Substance Abuse",91-1453752,"Serving the day-to-day, year-round needs of children, teens & young adults with moderate/severe developmental/physical disabilities in a community-based, integrated, day program.",Community Development,,101,18377,1432
Northwest Tortoise,"6726 W 9th Pl
Kennewick, WA 99336
(46.199866, -119.210977)",Animals,47-2160609,Dedication to rescue and education of tortoises from the entire northwest.,Environment,"Science and Technology Research, Institutions, & Services",,31818,1312
Northwest Vipassana Association,"445 Gore Rd
Onalaska, WA 98570
(46.546611, -122.684411)",Spiritual Development,91-1245370,One of over 120 international centers where the technique of Vipassana meditation is taught and practiced.,,,,25683,821
Nourish Pierce County (formerly FISH Food Banks of Pierce County),"1702 S 72nd St Ste E
Tacoma, WA 98408
(47.191939, -122.458414)",Food & Hunger,91-1198391,"The largest, oldest food bank network in Pierce County, Nourish provided nutritious food to 66,000 people in 2019. Our network includes seven food banks and two mobile food banks.",,,,13239,245
Nutrition First,,Food & Hunger,91-1387596,Ensuring that young children of families with limited resources have opportunities for better nutrition to improve overall health.,Health (General),,,,
NW Children's Foundation,"2100 24th Ave S Ste 320
Seattle, WA 98144
(47.58408, -122.301654)",Legal Advocacy,91-1314318,"Breaking the intergenerational cycle of child abuse, trauma and neglect by investing in high-impact programs and providing critical education to improve services.",Youth Development,,101,17919,771
NW Energy Coalition,"811 First Ave Ste 305
Seattle, WA 98104
(47.603628, -122.33529)",Environment,91-1144122,"An alliance of more than 115 environmental, civic, and human service organizations, progressive utilities, and businesses in OR, WA, ID, MT and BC.",,,101,18379,399
Oceana,"1350 Connecticut Ave NW 5th Fl
Washington, DC 20036
(38.90838, -77.042845)",Environment,51-0401308,"Works internationally to protect marine wildlife and human health through programs to end pollution and destructive fishing practices, and to ensure vibrant, healthy oceans.",,,,4499,
Ocean Conservancy,"1300 19th St NW Ste 800
Washington, DC 20036
(38.907511, -77.043457)",Environment,23-7245152,"Through research, education, and science-based advocacy, Ocean Conservancy informs, inspires, and empowers people to speak and act on behalf of the oceans.",,,,4499,
Octava Chamber Orchestra,"5721 178th St SW
Lynnwood, WA 98037
(47.837722, -122.311126)","Arts, Culture, & Humanities",26-3486146,An ensemble of the Northwest's finest professional and freelance musicians who have come together solely to provide first-rate performances of great music.,Education & Literacy,Spiritual Development,,17788,82
O'Dea High School Foundation,"802 Terry Ave
Seattle, WA 98104
(47.607806, -122.325267)",Education & Literacy,91-1307532,"The O’Dea High School Foundation supports O'Dea, a Catholic high school whose mission is to educate young men and prepare them to be men of character, faith and service.",Spiritual Development,,101,18379,785
Officers' Christian Fellowship,"3784 S Inca St
Englewood, CO 80110
(39.647876, -104.998229)",Spiritual Development,38-1415401,"OCF engages military leaders in Biblical fellowship and growth to equip them for Christ-like service at the intersection of faith, family, and profession.",Youth Development,,,20298,
Old Friends Club,,Health (General),47-4792158,"Friendship and belonging around social activities for people living with Alzheimer's or other dementia, while offering family caregivers respite and support.",,,,,
Olympic Mountain Rescue,,Emergency & Disaster Services,91-1000954,A volunteer organization dedicated to saving lives through rescue and mountain safety education.,Education & Literacy,Health (General),,,
OneAmerica,"1225 S Weller St Ste 430
Seattle, WA 98144
(47.597502, -122.315994)",Social & Economic Justice,20-0384893,Washington's largest immigrant advocacy organization. Advances the principles of democracy and justice by building power in immigrant communities.,Education & Literacy,,101,17919,13
One Day's Wages,,International Relief & Development,26-2566653,"A grassroots movement of people, stories, and actions to alleviate extreme global poverty. ODW promotes awareness, invites simple giving, and supports sustainable development.",,,,,
One Equal Heart Foundation,"1919 E Prospect St
Seattle, WA 98112
(47.628668, -122.306381)",International Relief & Development,20-3917811,"We collaborate with Indigenous Communities in Chiapas, Mexico, to honor and nurture sustainable agriculture, equitable communities, and traditional knowledge.",Community Development,Food & Hunger,101,18789,777
OneWorld Now!,"610 Maynard Ave S
Seattle, WA 98104
(47.59712, -122.325079)",Youth Development,75-2981831,"Develops the next generation of global leaders through programs that combine world language study, leadership development, and study abroad for low-income students of color.",Education & Literacy,Social & Economic Justice,101,18379,15
On the Boards,"100 W Roy St
Seattle, WA 98109
(47.625709, -122.358388)","Arts, Culture, & Humanities",91-1081983,"We invest in leading contemporary performing artists near and far, and connect them to a diverse range of communities interested in forward-thinking art and ideas.",,,101,19575,236
Open Arms Perinatal Services,"2524 16th Ave S #207
Seattle, WA 98144
(47.580229, -122.312129)",Health (General),91-1868021,"We provide community-based support to low-income parents during pregnancy, birth, and early parenting to nurture strong foundations that last a lifetime.",,,101,17919,1412
Open Doors for Multicultural Families,"24437 Russell Rd Ste #110
Kent, WA 98032
(47.382684, -122.261519)",Social & Economic Justice,27-1206272,"We are dedicated to ensuring that diverse families with loved ones with disabilities have equal access to culturally appropriate information, resources, and services.","Mental Health, Disabilities, & Substance Abuse",,76,17370,476
Operation Homefront,"1355 Central Parkway S
San Antonio, TX 78232
(29.569215, -98.475653)",Emergency & Disaster Services,32-0033325,Be a caring Patriot! Support our military families - help us provide emergency financial assistance and morale programs to military families and Wounded Warriors.,,,,11972,
Operation Nightwatch,"302 14th Ave S
Seattle, WA 98144
(47.600002, -122.314136)",Housing & Employment,91-0964027,"Provides food and shelter every night for homeless men and women, housing for 24 formerly homeless seniors, and outreach to the unsheltered on the streets and in encampments.",Food & Hunger,,101,17919,13
Operation Smile,"3641 Faculty Blvd
Virginia Beach, VA 23453
(36.785562, -76.095226)",International Relief & Development,54-1460147,"Through our expertise in treating cleft lip and cleft palate, we create solutions that deliver safe surgery to people where it’s needed most.",Housing & Employment,"Disease, Disorders, & Medical Research",,3184,
Operation Ward 57,,Health (General),61-1521946,"Support wounded & ill warriors & their families by providing items that assist in recovery, maintenance & morale & through advocacy, education & promotion of their circumstances.","Mental Health, Disabilities, & Substance Abuse",,,,
ORW Operation Restored Warrior,"5550 Tech Center Dr Ste 303
Colorado Springs, CO 80919
(38.912074, -104.828154)","Mental Health, Disabilities, & Substance Abuse",84-1123082,Healing veterans of PTSD through a life-changing five-day program at no cost to the veteran. Led by combat veterans. 100% effective!,Health (General),,,10471,
OSL,,Food & Hunger,91-1658187,We are on a mission to bring food to all who struggle with hunger in our community! In 2019: 3300 meals/day everyday = 1 million meals/year from 1.7 million lbs. of rescued food.,Community Development,Health (General),,,
Outdoors for All Foundation,"6344 NE 74th St Ste 102
Seattle, WA 98115
(47.683338, -122.257899)","Recreation, Sports, Leisure, & Athletics",91-1085999,To enrich the quality of life for children and adults with disabilities through outdoor recreation.,"Mental Health, Disabilities, & Substance Abuse",Health (General),101,18792,276
Outdoor Youth Connections,,"Recreation, Sports, Leisure, & Athletics",26-1522928,"Connects youth with the opportunities and means to explore, study, and preserve the natural outdoors promoting personal growth and environmental consciousness.",Environment,,,,
Ovarian Cancer Research Alliance,,"Disease, Disorders, & Medical Research",13-3806788,"Advancing research to prevent, treat and defeat ovarian cancer; supporting women & their families after diagnosis; working to ensure ovarian cancer is a government priority.",Human & Civil Rights,,,,
Oxfam America,"226 Causeway St 5th Fl
Boston, MA 2114
(42.366521, -71.059302)",International Relief & Development,23-7069110,Global organization working to end the injustice of poverty.,Food & Hunger,Youth Development,,9662,
Pacific Crest Trail Association,"1331 Garden Highway Ste 230
Sacramento, CA 95833
(38.604063, -121.515338)",Environment,33-0051202,"We protect, preserve and promote the Pacific Crest National Scenic Trail as a world-class experience for hikers and equestrians, and for all the values wild lands provide.",Health (General),,,103,
Pacific Northwest Ballet,"301 Mercer St
Seattle, WA 98109
(47.624576, -122.349396)","Arts, Culture, & Humanities",91-0897129,"Offering performances ranging from classic favorites to new works, a professional school for dance students and community education initiatives, PNB connects the region to dance.",,,101,18390,779
Pacific Northwest Research Institute,"720 Broadway
Seattle, WA 98122
(47.608786, -122.320766)","Disease, Disorders, & Medical Research",91-0667886,"An independent institute founded in 1956, we are using state-of-the-art genetic research to study our genes' natural ability to keep us healthy.",Health (General),,101,19578,785
Pacific Science Center Foundation,"200 Second Ave N
Seattle, WA 98109
(47.619343, -122.352836)",Education & Literacy,91-0750867,"We bring science to life. We ignite curiosity in all ages and inspire creative thinking to fuel tomorrow's innovations, on our campus and in classrooms.",,,101,18390,1450
Pacific Treatment Alternatives,"1721 Hewitt Ave Ste 200
Everett, WA 98201
(47.979286, -122.206068)","Mental Health, Disabilities, & Substance Abuse",91-0851917,Providing wraparound social services to at-risk individuals addicted to drugs/alcohol with a focus to reduce harm and create safe pathways for healthy solutions to their problems.,Housing & Employment,Legal Advocacy,,18238,1395
Pancreatic Cancer Action Network,"1500 Rosecrans Ave Ste 200
Manhattan Beach, CA 90266
(33.90183, -118.387462)","Disease, Disorders, & Medical Research",33-0841281,"In our urgent mission to save lives, we attack pancreatic cancer on all fronts: research, clinical initiatives, patient services and advocacy.",Health (General),Community Development,,25064,
Pan Eros Foundation,"309 First Ave S
Seattle, WA 98104
(47.599732, -122.334269)",Education & Literacy,20-5824097,We celebrate and cultivate consent and sexuality in all its forms. Our programs include the Consent Academy and Seattle Erotic Art Festival.,"Arts, Culture, & Humanities",,101,18379,786
Para Los Niños de Highline,"15220 6th Ave SW
Burien, WA 98166
(47.46663, -122.341864)",Education & Literacy,20-0502368,Organizing Latinx families to transform communities and create academic and life success for every Latinx student.,Social & Economic Justice,,8,18226,29
Parent Trust for Washington Children,"2200 Rainier Ave S
Seattle, WA 98144
(47.583655, -122.302193)",Health (General),91-1036940,We are a statewide nonprofit dedicated to preventing child abuse and neglect. We’re creating a world where families are strong – and no child ever needs to enter foster care.,"Mental Health, Disabilities, & Substance Abuse",Community Development,101,17919,771
Parkinson's Foundation,"200 SE 1st St Ste 800
Miami, FL 33131
(25.773424, -80.189956)","Disease, Disorders, & Medical Research",13-1866796,The Parkinson’s Foundation makes life better for people with Parkinson’s by improving care and advancing research toward a cure.,Health (General),Community Development,,24163,
Parkinson's Research - The Michael J. Fox Foundation for Parkinson's Research,,"Disease, Disorders, & Medical Research",13-4141945,"One urgent goal: Eliminate Parkinson's disease in our lifetime. 89 cents of every dollar spent goes to research, leading to $450 million granted since 2000.",,,,,
Parkview Services,"17544 Midvale Ave N Ste LL
Shoreline, WA 98133
(47.756951, -122.344579)",Housing & Employment,91-0828809,We are a nonprofit affordable housing agency serving low-income people with intellectual and developmental disabilities for over fifty years.,Community Development,"Mental Health, Disabilities, & Substance Abuse",102,19582,418
Partner In Employment (PIE),"21400 International Blvd S Ste 302
SeaTac, WA 98148
(47.4104, -122.297844)",Housing & Employment,47-4274369,Working to guarantee the long-term economical stability of newly arrived refugees and immigrants in King County.,Education & Literacy,Community Development,92,18234,474
Partnership to End Addiction,"711 Third Ave 5th Fl Ste 500
New York, NY 10017
(40.752387, -73.973271)","Mental Health, Disabilities, & Substance Abuse",52-1736502,"Our mission is to transform how our nation addresses addiction by empowering families, advancing effective care, shaping public policy and changing culture.","Disease, Disorders, & Medical Research",Community Development,,12079,
Partners In Health,"800 Boylston St Ste 300
Boston, MA 2199
(42.348899, -71.081821)",International Relief & Development,04-3567502,Our mission is to provide a preferential option for the poor in health care.,Health (General),Community Development,,17236,
Pasado's Safe Haven,,Animals,91-1843707,We are fighting to end animal cruelty through comprehensive programs and inspired action. You can read all about our varied programs on our website.,Human & Civil Rights,,,,
Path with Art,"312 2nd Ave S
Seattle, WA 98104
(47.59954, -122.331591)","Arts, Culture, & Humanities",26-0599518,We transform the lives of no- to low-income adults in active recovery from homelessness & other traumas by using creative engagement as a bridge to community & path to stability.,Community Development,"Mental Health, Disabilities, & Substance Abuse",101,18379,786
PAWS,"15305 44th Ave W
Lynnwood, WA 98046
(47.859217, -122.292736)",Animals,91-6073154,"Since 1967, PAWS rehabilitates injured and orphaned wildlife, shelters and adopts homeless cats and dogs, and educates people to make a better world for animals and people.",Environment,,,18079,206
Paws4Vets,,Animals,54-1948479,"Assistance Dogs for Veterans and their dependents living with disabilities, Training clients to Control, Regulate and Mitigate symptoms and reintegrate into society.","Mental Health, Disabilities, & Substance Abuse",,,,
Pawsitive Alliance,,Animals,84-1679356,"We focus on increasing adoptions, spay/neuter and education to eliminate euthanasia of healthy dogs and cats in Washington.",,,,,
PAWS of Bainbridge Island and North Kitsap,,Animals,91-0952064,"Helping local pets and their people build lasting, loving relationships through adoption, vet assistance, and other pet retention and education programs.",Environment,Community Development,,,
PCAF,"3009 S 40th St
Tacoma, WA 98409
(47.220594, -122.475903)","Disease, Disorders, & Medical Research",91-1385245,"Through education and service, PCAF prevents HIV infection, assists persons affected by HIV/AIDS, addresses related health problems, & combats associated stigma and discrimination.",Social & Economic Justice,,,13241,1210
PeaceTrees Vietnam,"509 Olive Way Ste 1226
Seattle, WA 98101
(47.613134, -122.336281)",International Relief & Development,20-1051471,Strives to remove remnants of war in central Vietnam to work towards land and community restoration.,,,101,18081,397
"Pediatric Brain Tumor Foundation of the United States, Inc.","302 Ridgefield Ct
Ashville, NC 28806
(35.523723, -82.598834)","Disease, Disorders, & Medical Research",58-1966822,"Funds medical research for childhood brain tumors. Offers free patient family support services, funds scholarships for survivors, provides advocacy for cause.",,,,18192,
"Pediatric Interim Care Center, The Newborn Nursery","328 4th Ave S
Kent, WA 98032
(47.378874, -122.237468)",Health (General),91-1485176,"To provide safe transitional medical care for prenatally drug-exposed infants, to provide educational services to the community, and to always be a voice for the child.","Mental Health, Disabilities, & Substance Abuse",,76,17370,479
Peer Seattle,"1520 Bellevue Ave Ste 100
Seattle, WA 98122
(47.614795, -122.326835)","Mental Health, Disabilities, & Substance Abuse",91-1327257,"We cultivate powerful, healthy lives by providing peer emotional support and development services to the LGBTQ community & their allies with issues of mental health and addiction.",Housing & Employment,Health (General),101,19578,784
People's Memorial Association,"2011 1st Ave N
Seattle, WA 98109
(47.636882, -122.355629)",Education & Literacy,68-0621888,Funeral consumer education & advocacy since 1939. We want everyone to have end-of-life plans that reflect their values & resources. Membership provides discounts on arrangements.,Social & Economic Justice,,101,18390,45
Peregrine Fund,"5668 W Flying Hawk Ln
Boise, ID 83709
(43.518825, -116.266737)",Environment,23-1969973,"Saves eagles, condors, falcons, and other endangered birds through research, breeding, and conservation programs. Helps preserve rainforests.",Animals,,,26258,
Perinatal Support Washington,,"Mental Health, Disabilities, & Substance Abuse",91-1448669,A statewide nonprofit committed to shining a light on perinatal mental health to support all families and communities.,Education & Literacy,Community Development,,,
Perry Technical Foundation,"2011 W Washington
Yakima, WA 98903
(46.570868, -120.535219)",Education & Literacy,94-3188041,"Enhances the student learning experience through funds for student scholarships, loans, instructional equipment, and capital improvements at Perry Technical Institute.",,,,29513,652
Pet Partners,"345 118th Ave SE Ste 200
Bellevue, WA 98005
(47.607113, -122.182784)",Animals,91-1158281,"Therapy animals bring comfort and mental health support to hospitalized children, veterans, seniors, and those experiencing their toughest times in life.",Health (General),Community Development,6,31850,432
"PetSmart Charities, Inc.","19601 N 27th Ave
Phoenix, AZ 85027
(33.663385, -112.117223)",Animals,93-1140967,"We help find forever homes and families for more than 500,000 pets each year and provide grant funding to nonprofits aligned with our mission.",Emergency & Disaster Services,,,2214,
PFLAG Seattle,"1122 E Pike St PMB 620
Seattle, WA 98122
(47.6141, -122.317243)",Health (General),94-3035972,"Promotes the health and well-being of lesbian, gay, bisexual and transgender persons, their families and friends through monthly support meetings, education and advocacy.",Community Development,Social & Economic Justice,101,19578,781
Phinney Neighborhood Association,"6532 Phinney Ave N
Seattle, WA 98103
(47.677327, -122.354354)",Community Development,91-1112780,"We build, engage and support our diverse community through programs, services and activities that connect neighbors and foster civic engagement.",,,101,18377,766
Photographic Center Northwest,"900 12th Ave
Seattle, WA 98122
(47.610565, -122.316798)","Arts, Culture, & Humanities",91-1561025,"An education institution dedicated to photography. We offer a Certificate Program, classes and workshops, exhibitions and public programs, and publicly accessible facilities.",Education & Literacy,Community Development,101,19578,400
Pickford Film Center,,"Arts, Culture, & Humanities",91-1891456,"Pickford Film Center provides a forum and resource for independent cinema, strengthening community through education, dialogue and the celebration of film.",Community Development,Social & Economic Justice,,,
Pike Market Senior Center     Pike Market Food Bank,"85 Pike St Ste 200
Seattle, WA 98101
(47.608774, -122.340668)",Food & Hunger,91-1034838,"In downtown Seattle, the Pike Market Senior Center strives to make each day better and safer for older adults; the Pike Market Food Bank serves people of all ages who face hunger.",Housing & Employment,,101,18081,399
Pike Place Market Foundation,"93 Pike St Rm 310
Seattle, WA 98101
(47.608736, -122.340698)",Community Development,91-1197625,"The Foundation helps our low-income neighbors who work, learn, and live in and around the Market thrive. We help the Market you love remain a vibrant, caring community.",Food & Hunger,,101,18081,399
Pioneer Human Services,"7440 West Marginal Way S
Seattle, WA 98108
(47.535724, -122.33333)",Housing & Employment,91-0791552,"We are a nonprofit social enterprise that serves individuals released from prison or jail, and those in recovery, who are in need of treatment, housing, and job skills.","Mental Health, Disabilities, & Substance Abuse",,101,18388,416
Plan International USA,"155 Plan Way
Warwick, RI 2886
(41.732671, -71.446394)",International Relief & Development,13-5661832,We are a global girls’ rights organization working to end gender inequality around the world.,Youth Development,Community Development,,5388,
Planned Parenthood Federation of America,"123 William St 10th Fl
New York, NY 10038
(40.709154, -74.006844)",Health (General),13-1644147,"Affordable reproductive health care, reproductive rights, and access to comprehensive medically accurate sexuality education, domestically and internationally.",,,,13096,
"Planned Parenthood Great Northwest, Hawai'i, Alaska, Indiana, Kentucky","2001 E Madison St
Seattle, WA 98122
(47.617703, -122.305083)",Health (General),91-0686012,"Reproductive health agency that provides high-quality, affordable reproductive health care for everyone. Health centers located across Western Washington.",Social & Economic Justice,,101,19578,12
Plateau Outreach Ministries,"1806 Cole St
Enumclaw, WA 98022
(47.205111, -121.988195)",Poverty Relief,91-1965830,"We aim to help the community’s most vulnerable meet their basic needs. This includes food, utilities, rent, medical prescriptions, emergency shelter, and referrals.",Food & Hunger,Housing & Employment,16,17348,1201
PLUMBERS WITHOUT BORDERS,,Community Development,45-0611453,We connect volunteer plumbers and industry resources with projects and organizations dedicated to improving health and lives by increasing access to safe water and sanitation.,International Relief & Development,Health (General),,,
Plymouth Healing Communities,"1217 Sixth Ave Room 323
Seattle, WA 98101
(47.608811, -122.332321)",Housing & Employment,91-2031385,"Breaking the cycle of hospitalization, homelessness, and isolation through companionship, housing and advocacy for individuals living with mental illness.","Mental Health, Disabilities, & Substance Abuse",,101,18081,118
Plymouth Housing,"2113 3rd Ave
Seattle, WA 98121
(47.613468, -122.342708)",Housing & Employment,91-1122621,"Develops and manages permanent, supportive housing for formerly homeless people in downtown. Provides on-site services to help residents maintain housing.","Disease, Disorders, & Medical Research",Community Development,101,19576,783
Pongo Poetry Project,"153 14th Ave #5
Seattle, WA 98122
(47.60293, -122.314167)",Youth Development,91-2114772,"Our mission is to engage youth in writing poetry to inspire healing and growth. We have served over 3,250 King County juvenile detention youth since 1995.","Arts, Culture, & Humanities","Mental Health, Disabilities, & Substance Abuse",101,19578,400
