"funding_program","eligible_funding_recipients","eligible_projects","website","administrative_organization","current_status","primary_contact","alternate_contact","grant_or_loan","program_description","eligible_projects_description","administrative_sub_organization","percent_match","match_requirement_description","funding_limitation","funding_limitation_description","application_open","application_closed","additional_application_dates","supplemental_information","last_updated"
"Aquatic Invasive Plant (AIP) Management Grant Program","Tribes","Education and Outreach","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Fish Barrier Removal Board","Tribes","Barrier Removal","http://wdfw.wa.gov/about/advisory/fbrb/","The grant program is administered jointly by the Washington Department of Fish and Wildlife (WDFW) and the Recreation and Conservation Office (RCO).","Active","Tom Jameson; 360-902-2612; Thomas.Jameson@dfw.wa.gov","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov or Stacy Polkowske; 360-902-2223; stacy.polkowske@dfw.wa.gov","Grant","The Legislature established the grant program of the Brian Abbott Fish Passage Barrier Removal Board, called the Fish Barrier Removal Board (FBRB), in 2014 to assist in identifying and removing impediments to salmonid fish passage.  All FBRB-funded grant projects shall match the principles provided in Revised Code of Washington 77.95.180 and are reviewed and approved by the FBRB. ","All projects must correct a fish passage barrier on a salmon bearing (anadromous) stream and be a barrier to fish as defined by WDFW’s 2013 Fish Passage Barrier and Surface Water Diversion Screening Assessment and Prioritization Manual.  Partial or complete fish passage barriers are both eligible.  Grants are available for design & construction projects and design only. ","n/a","15","A minimum of 15 percent match of the grant request is required unless an eligible match certification credit is approved by the Board.","$0","The Board may set upper and lower funding limits for future grant  rounds. ","2018-02-01T00:00:00.000","2018-07-01T00:00:00.000","Estimated opening = Feb 2018; Estimated closing = July 2018.  Both subject to change depending on passage of 2017-19 state capital budget. 
","n/a","2017-10-10T00:00:00.000"
"Fish Barrier Removal Board","Nonprofit Organizations","Barrier Removal","http://wdfw.wa.gov/about/advisory/fbrb/","The grant program is administered jointly by the Washington Department of Fish and Wildlife (WDFW) and the Recreation and Conservation Office (RCO).","Active","Tom Jameson; 360-902-2612; Thomas.Jameson@dfw.wa.gov","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov or Stacy Polkowske; 360-902-2223; stacy.polkowske@dfw.wa.gov","Grant","The Legislature established the grant program of the Brian Abbott Fish Passage Barrier Removal Board, called the Fish Barrier Removal Board (FBRB), in 2014 to assist in identifying and removing impediments to salmonid fish passage.  All FBRB-funded grant projects shall match the principles provided in Revised Code of Washington 77.95.180 and are reviewed and approved by the FBRB. ","All projects must correct a fish passage barrier on a salmon bearing (anadromous) stream and be a barrier to fish as defined by WDFW’s 2013 Fish Passage Barrier and Surface Water Diversion Screening Assessment and Prioritization Manual.  Partial or complete fish passage barriers are both eligible.  Grants are available for design & construction projects and design only. ","n/a","15","A minimum of 15 percent match of the grant request is required unless an eligible match certification credit is approved by the Board.","$0","The Board may set upper and lower funding limits for future grant  rounds. ","2018-02-01T00:00:00.000","2018-07-01T00:00:00.000","Estimated opening = Feb 2018; Estimated closing = July 2018.  Both subject to change depending on passage of 2017-19 state capital budget. 
","n/a","2017-10-10T00:00:00.000"
"Fish Barrier Removal Board","Regional Fisheries Enhancement Groups (RCW 77.95)","Barrier Removal","http://wdfw.wa.gov/about/advisory/fbrb/","The grant program is administered jointly by the Washington Department of Fish and Wildlife (WDFW) and the Recreation and Conservation Office (RCO).","Active","Tom Jameson; 360-902-2612; Thomas.Jameson@dfw.wa.gov","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov or Stacy Polkowske; 360-902-2223; stacy.polkowske@dfw.wa.gov","Grant","The Legislature established the grant program of the Brian Abbott Fish Passage Barrier Removal Board, called the Fish Barrier Removal Board (FBRB), in 2014 to assist in identifying and removing impediments to salmonid fish passage.  All FBRB-funded grant projects shall match the principles provided in Revised Code of Washington 77.95.180 and are reviewed and approved by the FBRB. ","All projects must correct a fish passage barrier on a salmon bearing (anadromous) stream and be a barrier to fish as defined by WDFW’s 2013 Fish Passage Barrier and Surface Water Diversion Screening Assessment and Prioritization Manual.  Partial or complete fish passage barriers are both eligible.  Grants are available for design & construction projects and design only. ","n/a","15","A minimum of 15 percent match of the grant request is required unless an eligible match certification credit is approved by the Board.","$0","The Board may set upper and lower funding limits for future grant  rounds. ","2018-02-01T00:00:00.000","2018-07-01T00:00:00.000","Estimated opening = Feb 2018; Estimated closing = July 2018.  Both subject to change depending on passage of 2017-19 state capital budget. 
","n/a","2017-10-10T00:00:00.000"
"Fish Barrier Removal Board","Special Purpose Districts","Barrier Removal","http://wdfw.wa.gov/about/advisory/fbrb/","The grant program is administered jointly by the Washington Department of Fish and Wildlife (WDFW) and the Recreation and Conservation Office (RCO).","Active","Tom Jameson; 360-902-2612; Thomas.Jameson@dfw.wa.gov","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov or Stacy Polkowske; 360-902-2223; stacy.polkowske@dfw.wa.gov","Grant","The Legislature established the grant program of the Brian Abbott Fish Passage Barrier Removal Board, called the Fish Barrier Removal Board (FBRB), in 2014 to assist in identifying and removing impediments to salmonid fish passage.  All FBRB-funded grant projects shall match the principles provided in Revised Code of Washington 77.95.180 and are reviewed and approved by the FBRB. ","All projects must correct a fish passage barrier on a salmon bearing (anadromous) stream and be a barrier to fish as defined by WDFW’s 2013 Fish Passage Barrier and Surface Water Diversion Screening Assessment and Prioritization Manual.  Partial or complete fish passage barriers are both eligible.  Grants are available for design & construction projects and design only. ","n/a","15","A minimum of 15 percent match of the grant request is required unless an eligible match certification credit is approved by the Board.","$0","The Board may set upper and lower funding limits for future grant  rounds. ","2018-02-01T00:00:00.000","2018-07-01T00:00:00.000","Estimated opening = Feb 2018; Estimated closing = July 2018.  Both subject to change depending on passage of 2017-19 state capital budget. 
","n/a","2017-10-10T00:00:00.000"
"Aquatic Invasive Plant (AIP) Management Grant Program","Counties, Cities, Towns","Education and Outreach","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Fish Barrier Removal Board","Governmental Agencies (Federal and State)","Barrier Removal","http://wdfw.wa.gov/about/advisory/fbrb/","The grant program is administered jointly by the Washington Department of Fish and Wildlife (WDFW) and the Recreation and Conservation Office (RCO).","Active","Tom Jameson; 360-902-2612; Thomas.Jameson@dfw.wa.gov","Tara Galuska; 360-902-2953; tara.galuska@rco.wa.gov or Stacy Polkowske; 360-902-2223; stacy.polkowske@dfw.wa.gov","Grant","The Legislature established the grant program of the Brian Abbott Fish Passage Barrier Removal Board, called the Fish Barrier Removal Board (FBRB), in 2014 to assist in identifying and removing impediments to salmonid fish passage.  All FBRB-funded grant projects shall match the principles provided in Revised Code of Washington 77.95.180 and are reviewed and approved by the FBRB. ","All projects must correct a fish passage barrier on a salmon bearing (anadromous) stream and be a barrier to fish as defined by WDFW’s 2013 Fish Passage Barrier and Surface Water Diversion Screening Assessment and Prioritization Manual.  Partial or complete fish passage barriers are both eligible.  Grants are available for design & construction projects and design only. ","n/a","15","A minimum of 15 percent match of the grant request is required unless an eligible match certification credit is approved by the Board.","$0","The Board may set upper and lower funding limits for future grant  rounds. ","2018-02-01T00:00:00.000","2018-07-01T00:00:00.000","Estimated opening = Feb 2018; Estimated closing = July 2018.  Both subject to change depending on passage of 2017-19 state capital budget. 
","n/a","2017-10-10T00:00:00.000"
"Stormwater Financial Assistance Program (SFAP) grants (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Construction","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Jessica Schwing; 360-407-6216; jessica.schwing@ecy.wa.gov
"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","Water Quality Program",,"25% - Non-Hardship communities
15% - Hardship communities","$5,000,000","$5 Million per funding cycle per community.","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Stormwater Financial Assistance Program (SFAP) grants (Water Quality Combined Financial Assistance Program)","Port Districts","Construction","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Jessica Schwing; 360-407-6216; jessica.schwing@ecy.wa.gov
"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","Water Quality Program",,"25% - Non-Hardship communities
15% - Hardship communities","$5,000,000","$5 Million per funding cycle per community.","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Stormwater Financial Assistance Program (SFAP) grants (Water Quality Combined Financial Assistance Program)","Counties, Cities, Towns","Design","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Jessica Schwing; 360-407-6216; jessica.schwing@ecy.wa.gov
"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","Water Quality Program",,"25% - Non-Hardship communities
15% - Hardship communities","$250,000","0","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Stormwater Financial Assistance Program (SFAP) grants (Water Quality Combined Financial Assistance Program)","Port Districts","Design","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Jessica Schwing; 360-407-6216; jessica.schwing@ecy.wa.gov
"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Loan","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","The Stormwater Financial Assistance Program (SFAP) provides grants for stormwater projects that address existing pollution problems and meet the definition of retrofit or source control activities that enhance existing stormwater programs.","Water Quality Program",,"25% - Non-Hardship communities
15% - Hardship communities","$250,000","0","2017-08-14T00:00:00.000","2017-10-16T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Aquatic Invasive Plant (AIP) Management Grant Program","Counties, Cities, Towns","Planning","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov"," Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Aquatic Invasive Plant Management Grants (AIP) provide financial and technical support for the eradication and control of invasive, non-native aquatic plants that threaten the health of lakes, rivers, and streams throughout the state.","n/a","Water Quality Program","25","n/a","$30,000 or $75,000","$30,000 for planning grants; $75,000 for implementation grants; Each applicant is limited to $75,000 per annual grant cycle; Early infestation projects are limited to $50,000 per project.","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Freshwater Algae Program","Special Purpose Districts","Education and Outreach","http://www.ecy.wa.gov/programs/wq/funding/funding.html","Washington State Department of Ecology","Active","Lizbeth Seebacher; 360-407-6938; lizbeth.seebacher@ecy.wa.gov","Pat Brommer; 360-407-6566; patricia.brommer@ecy.wa.gov","Grant","The Freshwater Algae Program provides funding for groups working to manage or control algae in water bodies that have had toxic algae blooms within the last three years. This program was established in 2005 by the Washington State Legislature.","n/a","Water Quality Program","25","n/a","$50,000","n/a","2017-10-01T00:00:00.000","2017-11-15T00:00:00.000","n/a","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Design","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Technical Studies/Reports","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Construction","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Acquisition","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Education and Outreach","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Restoration","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Counties, Cities, Towns","Monitoring","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Design","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Technical Studies/Reports","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Construction","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Acquisition","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Education and Outreach","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Restoration","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Flood Control Districts","Monitoring","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Conservation Districts","Design","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
"Floodplains by Design (FBD)","Conservation Districts","Technical Studies/Reports","http://www.ecy.wa.gov/programs/sea/floods/planning_grants.html","Washington State Department of Ecology","Active","Scott McKinney; 360 407 6131; scott.mckinney@ecy.wa.gov","Adam Sant; 360 407 7675; adam.sant@ecy.wa.gov","Grant","FBD is a multi-benefit program that addresses flood hazards to communities while also improving floodplain and ecosystem functions.  The program is intended to address large-scale actions and include multiple benefits.","Project vary widely and are custom fit to the needs of a community or watershed.","Shorelands and Environmental Assistance Program","20","Previous investments in the project or related elements such as designs, land acquisitions, feasibility studies may be used as match.  Standard cash match and in-kind are also eligible match.","$0","Grants are not limited by dollar value, but work must be completed in 2-3 years","2017-10-01T00:00:00.000","2018-07-01T00:00:00.000","Project proposal period opens in the fall of odd numbered years and closes in July of even numbered years.  Funding awards are made in the summer of even numbered years and are based on the state capital budget.","n/a","2017-10-10T00:00:00.000"
