"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","businesstypecode","businesstypecodedesc","ubi","authorizedsigner","signerrole"
"Alltronics","ALLTR**831OE","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604159050","Wagner, Randal","Permits"
"ALL VALLEY ELECTRIC","ALLVAE*034D5","EC","ELECTRICAL CONTRACTOR","I","Individual","601778938","Ruiz, Celina","Permits"
"ALL VALLEY SHEETMETAL INC","ALLVAVS975N8","EC","ELECTRICAL CONTRACTOR","C","Corporation","602085580",,
"ALL WATER PLUMBING LLC","ALLWAWP785DA","PC","PLUMBING CONTRACTOR","I","Individual","604044957",,
"ALL-WAYS","ALLWA**020DF","EC","ELECTRICAL CONTRACTOR","I","Individual","601847614",,
"ALL WAYS AIR CONTROL INC","ALLWAAC004JQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601444551","Chapman, Kodie","Permits"
"ALL WAYS AIR CONTROL INC","ALLWAAC004JQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601444551","Lyon, Chelsi","Permits"
"ALL WAYS AIR CONTROL INC","ALLWAAC004JQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601444551","Chapman, Blair","Permits"
"ALL WEATHER HTG A/C/REFRIG LLC","ALLWEWH945WD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602569621",,
"ALL WEATHER HTG & COOLING INC","ALLWEWH934MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","600485640","Halverson, Dustin J","Affidavits and Permits"
"ALL WEATHER HTG & COOLING INC","ALLWEWH934MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","600485640","SPARKS, JEANNE M","Affidavits and Permits"
"ALL WEATHER HTG & COOLING INC","ALLWEWH934MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","600485640","MCKEOWN, IDA L","Affidavits and Permits"
"ALL WEATHER HTG & COOLING INC","ALLWEWH934MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","600485640","MCKEOWN, THOMAS J JR","Affidavits and Permits"
"ALL WEATHER HTG & COOLING INC","ALLWEWH934MU","EC","ELECTRICAL CONTRACTOR","C","Corporation","600485640","McKeown, Karen","Permits"
"All West Electric LLC","ALLWEWE921Q5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602880015",,
"ALL WIRE ELECTRIC INC","ALLWIWE961CK","EC","ELECTRICAL CONTRACTOR","C","Corporation","602363933","Moon, Julie","Affidavits and Permits"
"Ally Electric, LLC","ALLYEEL817C7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604408362",,
"ALLY PLUMBING INC","ALLYPPI793RH","PC","PLUMBING CONTRACTOR","C","Corporation","603545554",,
"ALMI LLC","ALMILL*794OP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604723456",,
"ALMOTA FIBER LLC","ALMOTFL857CL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603459491",,
"Aloha Electric LLC","ALOHAEL791DO","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604712782","Cullen, Amber Rae K","Permits"
"ALOISIO PLUMBING INC","ALOISPI792MA","PC","PLUMBING CONTRACTOR","C","Corporation","602033131",,
"ALPHA AND OMEGA ELECTRIC LLC","ALPHAOE962K6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602372810",,
"ALPHA ELECTRIC II","ALPHAEI877K8","EC","ELECTRICAL CONTRACTOR","C","Corporation","603300294","Grigoryan, Olga","Permits"
"ALPHA ELECTRIC INC","ALPHAEI972C4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602273862",,
"ALPHA HEATING & A/C INC","ALPHAHA976PS","EC","ELECTRICAL CONTRACTOR","C","Corporation","602325185",,
"ALPHA OMEGA MECHANICAL","ALPHAOM797RD","PC","PLUMBING CONTRACTOR","I","Individual","601027574",,
"ALPHA PLUMBING LLC","ALPHAPL782DG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604559708",,
"ALPHA Y OMEGA PLUMBING LLC","ALPHAYO797RM","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603411113",,
"Alpine Aire LLC","ALPINAL797M6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604759561","Lange, Tim","Permits"
"Alpine Aire LLC","ALPINAL797M6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604759561","McCrystal, Carmen","Permits"
"Alpine Aire LLC","ALPINAL797M6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604759561","Ross, Tom","Permits"
"ALPINE ALM COMM & CNSTR LLC","ALPINAC813OP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604476843","Minarich, Robert","Permits"
"ALPINE ALM COMM & CNSTR LLC","ALPINAC813OP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604476843","Hammond, Addie","Permits"
"ALPINE COMMUNICATIONS LLC","ALPINCL843J7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603600600",,
"ALPINE COMMUNICATIONS SYS LLC","ALPINCS882KU","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603170199",,
"ALPINE DUCTLESS LLC","ALPINDL781NC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603268154",,
"ALPINE ELEC LGHTG & MAINT LLC","ALPINEL820P4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604332717",,
"ALPINE ELECTRIC","ALPINE*003CS","EC","ELECTRICAL CONTRACTOR","C","Corporation","601950031",,
"ALPINE ELECTRIC CONST/DSGN LLC","ALPINEC806C6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604587724",,
"ALPINE HEATING AND COOLING INC","ALPINHC855DO","EC","ELECTRICAL CONTRACTOR","C","Corporation","603481104",,
"ALPINE PLUMBING SERVICES INC","ALPINPS785D2","PC","PLUMBING CONTRACTOR","C","Corporation","602710440",,
"Alpine Power & Light Inc","ALPINPL854RJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","603560583",,
"ALPINE WATER HEATERS","ALPINWH789B7","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604847833",,
"Alpine West Systems Electrical","ALPINWS783CB","EC","ELECTRICAL CONTRACTOR","C","Corporation","604665000",,
"A L PLUMBING LLC","LPLUMLP790O1","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602505993",,
"Al's Custom Fabrication LLC","ALSCUCF8057F","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604544693",,
"ALS ELECTRIC","ALSEL**097J2","EC","ELECTRICAL CONTRACTOR","I","Individual","601220176",,
"AL'S ELECTRIC & PLUMBING INC","ALSELPI003BK","EC","ELECTRICAL CONTRACTOR","C","Corporation","601998936","VanKooten, Jolene","Permits"
"AL'S ELECTRIC & PLUMBING INC","ALSELPI003BK","EC","ELECTRICAL CONTRACTOR","C","Corporation","601998936","Haak, Keenan","Permits"
"AL'S ELECTRIC & PLUMBING INC","ALSELEP785M8","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","601998936",,
"ALT ELECTRIC LLC","ALTELEL845BD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603569532",,
"ALTERNATIVE HEATING & COOLING","ALTERHC001DB","EC","ELECTRICAL CONTRACTOR","I","Individual","601496208",,
"Altura Comm Solutions, LLC","ALTURCS832CA","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602175336",,
"ALWAYS CURRENT ELECTRIC INC","ALWAYCE843QB","EC","ELECTRICAL CONTRACTOR","C","Corporation","604045264",,
"ALWAYS SAFE & LOCK INC","ALWAYSL996PB","EC","ELECTRICAL CONTRACTOR","C","Corporation","601048286",,
"ALWAYS TESTING INC","ALWAYTI782L7","PC","PLUMBING CONTRACTOR","C","Corporation","602459666",,
"AMA REPIPING LLC","AMARERL798MF","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604476144",,
"AMATAK ELECTRIC LLC","AMATAEL836J6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604112359",,
"AMAYA ELECTRIC","AMAYAE*274B3","EC","ELECTRICAL CONTRACTOR","C","Corporation","600089108",,
"AMAZING ELECTRIC","AMAZIE*947QL","EC","ELECTRICAL CONTRACTOR","I","Individual","602663593",,
"Amazon Corporate LLC","AMAZOCL844L8","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601983993",,
"Amazon Electric LLC","AMAZOEL820JD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603606253","Somerville, Stephanie","Permits"
"Amber Pro Electric","AMBERPE791PN","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604507060",,
"AMBIENT CONTROL CO INC","AMBIECC003CJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601081069","Hook, Jodi","Permits"
"A M B TOOLS AND EQUIPMENT","AMBTOE*963M2","EC","ELECTRICAL CONTRACTOR","C","Corporation","600109013",,
"AMC ELECTRIC","AMCELE*965LQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602087395",,
"AMERICAN AIR HEATING/CLNG LLC","AMERIAH824KC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603540547","Trump, Marci","Permits"
"AMERICAN ALARM SYSTEMS","AMERIAS001QG","EC","ELECTRICAL CONTRACTOR","C","Corporation","602078916","Palacios, Eduardo","Permits"
"AMERICAN CRAFTSMAN P & H LLC","AMERICP786L2","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602473352",,
"AMERICAN DEFENSE SYSTEMS","AMERIDS841BG","EC","ELECTRICAL CONTRACTOR","C","Corporation","603569242",,
"AMERICAN EAGLE SYSTEMS INC","AMERIES821OK","EC","ELECTRICAL CONTRACTOR","C","Corporation","604321887",,
"AMERICAN ELECT & BLDG CO LLC","AMERIEB794RM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604798641",,
"AMERICAN ELECTRICAL CONST LLC","AMERIEC808N5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604637763",,
"AMERICAN ELECTRICAL SVCS INC","AMERIES941MS","EC","ELECTRICAL CONTRACTOR","C","Corporation","602404144",,
"AMERICAN ELECTRIC INC","AMERIEI055OF","EC","ELECTRICAL CONTRACTOR","C","Corporation","601634684",,
"AMERICAN ELECTRIC WA LLC","AMERIEW824CB","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604204435",,
"AMERICAN FIRE & SECURITY LLC","AMERIFS826B4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604206698",,
"AMERICAN HEATING INC","AMERIHI123RO","EC","ELECTRICAL CONTRACTOR","C","Corporation","600320155","Manchester, Brad","Permits"
"AMERICAN MECHANICAL CORP","AMERIMC796MG","PC","PLUMBING CONTRACTOR","C","Corporation","601433818",,
"AMERICAN MKTG & CABLE SVCS INC","AMERIMC931RC","EC","ELECTRICAL CONTRACTOR","C","Corporation","602049426",,
"AMERICAN PLUMBING CONTRACTORS","AMERIPC795O1","PC","PLUMBING CONTRACTOR","C","Corporation","602566412",,
"American Power Systems, LLC","AMERIPS835O9","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604163057","Minsch, Ahren","Permits"
"AMERICAN POWER SYSTEMS LLC","AMERIPS001LH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601784675",,
"AMERICAN POWER SYSTEMS LLC","AMERIPS993RR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","601784675",,
"AMERICAN PRIDE ELECTRIC","AMERIPE906OZ","EC","ELECTRICAL CONTRACTOR","I","Individual","602690164","Theis, Dana","Permits"
"AMERICAN PUMP & ELECTRIC","AMERIPE948RF","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602273793",,
"AMERICAN PUMP & ELECTRIC LLC","AMERIPE794MO","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602273793",,
"AMERICAN SECURITY PRO","AMERISP823KM","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604274475",,
"AMERICAN TECH CORP","AMERITC951KC","EC","ELECTRICAL CONTRACTOR","C","Corporation","601499237",,
"AMERICA'S PHONE GUYS","AMERIPG944MC","EC","ELECTRICAL CONTRACTOR","C","Corporation","602412869","Anderson, Rebecca","Permits"
"AmeriCom Inc","AMERII*872QM","EC","ELECTRICAL CONTRACTOR","C","Corporation","603315420","Weber, Jacob","Permits"
"AmeriCom Inc","AMERII*872QM","EC","ELECTRICAL CONTRACTOR","C","Corporation","603315420","Harstad, Jennifer","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Richmond, Patrick","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Simms, Meika","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Frazier, Larry","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","VINYARD, JUNE","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Allen, Robert","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Upson, Norm","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Ivy, Paul","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHC833KP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Richmond, Patrick","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Little, Lisa","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","URENO, HANNAH","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHA945B7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Freeburg, Marilyn","Permits"
"AMERICOOL HEATING AND A/C LLC","AMERIHC833KP","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602548865","Dragt, Jeannie","Permits"
"AMERITECH ELECTRIC CO","AMERIEC951CW","EC","ELECTRICAL CONTRACTOR","C","Corporation","602465807",,
"AMERIWEST ELECTRIC CORP","AMERIEC870LD","EC","ELECTRICAL CONTRACTOR","C","Corporation","603306268","Zupkus, Jim","Affidavits and Permits"
"A & M Heating","MHEATMH912R8","EC","ELECTRICAL CONTRACTOR","I","Individual","602961900","Peay, Nakeisha","Permits"
"AMO'S ABOVE AVERAGE PLMBNG IN","AMOSAAA797NQ","PC","PLUMBING CONTRACTOR","C","Corporation","603319766",,
"AMPAC ELECTRIC LLC","AMPACEL938PJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602767489",,
"AMP'D ELECTRIC LLC","AMPDEEL817RW","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604547552",,
"Amped Electrical Services LLC","AMPEDES831LG","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604129643","Neel, Miranda","Permits"
"Amped Electric LLC","AMPEDEL872DF","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603280426",,
"Amped Electric & Mech LLC","AMPEDEM907D4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602996614","Anderson, Katherine","Affidavits"
"Amped Electric & Mech LLC","AMPEDEM907D4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602996614","Barton, Tracie","Permits"
"Amped Electric & Mech LLC","AMPEDEM907D4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602996614","Stipech, Thomas","Permits"
"Amped Electric & Mech LLC","AMPEDEM907D4","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602996614","Barton, Travic","Permits"
"Amped Up Electric LLC","AMPEDUE908D1","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602995231",,
"AMP Electric Construction LLC","AMPELEC794D6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604678116",,
"AMP ELECTRIC LLC","AMPELEL814OR","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604508049",,
"AMPERE ELECTRIC","AMPERE*805OW","EC","ELECTRICAL CONTRACTOR","I","Individual","604658105",,
"AMPLE ELECTRIC & CONSTUCTN INC","AMPLEEC791D9","EC","ELECTRICAL CONTRACTOR","C","Corporation","604683616",,
"AMPLE ELECTRIC SERVICE INC","AMPLEES815OE","EC","ELECTRICAL CONTRACTOR","C","Corporation","604508022",,
"AMPLIFIED SOUND CO","AMPLISC302P1","EC","ELECTRICAL CONTRACTOR","C","Corporation","600310749",,
"AM-PM PLUMBING & SEWER LLC","AMPMPPS783JJ","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603005011",,
"Amp Security LLC","AMPSESL855RZ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603524608",,
"AMS CUSTOM ELECTRIC INC","AMSCUCE957Q3","EC","ELECTRICAL CONTRACTOR","C","Corporation","602510349",,
"AMS ELECTRIC INC","AMSELEI956M1","EC","ELECTRICAL CONTRACTOR","C","Corporation","602513479","Chase, Shannon","Permits"
"AMS ELECTRIC INC","AMSELEI956M1","EC","ELECTRICAL CONTRACTOR","C","Corporation","602513479","Federspiel, Jake","Permits"
"Am-Tel Communications LLC","AMTELCL900CD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602980471",,
"ANACORTES ELECTRIC","ANACOE*084OP","EC","ELECTRICAL CONTRACTOR","I","Individual","600578331",,
"ANAPA LLC","ANAPAL*838L2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604121254",,
"ANCHOR ELECTRIC LLC","ANCHOEL839BT","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604081203",,
"ANDERSON DRILLING LLC","ANDERDL789CQ","PC","PLUMBING CONTRACTOR","P","Partnership","602269044",,
"ANDERSON DRILLING LLC","ANDERDL789TQ","EC","ELECTRICAL CONTRACTOR","P","Partnership","602269044",,
"ANDERSON DRILLING LLC","ANDERDL934CS","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602269044","Maze, Gary","Permits"
"ANDERSON ELECTRIC","ANDERE*955DU","EC","ELECTRICAL CONTRACTOR","C","Corporation","602431540","WILLIAMS, ADELE","Permits"
"ANDERSON ELECTRIC","ANDERE*955DU","EC","ELECTRICAL CONTRACTOR","C","Corporation","602431540","ANDERSON, DEVENNIE","Affidavits and Permits"
"ANDERSON ELECTRIC","ANDERE*955DU","EC","ELECTRICAL CONTRACTOR","C","Corporation","602431540","ANDERSON, SHANE","Affidavits and Permits"
"ANDERSON ELECTRIC","ANDERE*942BO","EC","ELECTRICAL CONTRACTOR","I","Individual","602570303",,
"ANDERSON ELECTRIC 211 LLC","ANDERE2834CC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604073543",,
"ANDERSON ELECTRIC CONST LLC","ANDEREC852P6","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603550117",,
"ANDERSON ELECTRIC INC","ANDEREI077PJ","EC","ELECTRICAL CONTRACTOR","C","Corporation","601488912",,
"ANDERSON NESLER COMPANY INC","ANDERNC9211P","EC","ELECTRICAL CONTRACTOR","C","Corporation","602821353","NESLER, CURTIS","Permits"
"ANDERSON'S HTG & PLUMBING INC","ANDERHP940B4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602569590","Wentz, Jason","Permits"
"ANDERSON'S HTG & PLUMBING INC","ANDERHP940B4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602569590","Anderson, Eric R","Affidavits and Permits"
"ANDERSON'S HTG & PLUMBING INC","ANDERHP940B4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602569590","Anderson, Mary","Affidavits and Permits"
"ANDERSON'S HTG & PLUMBING INC","ANDERHP940B4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602569590","Anderson, Mike","Permits"
"ANDERSON'S HTG & PLUMBING INC","ANDERHP940B4","EC","ELECTRICAL CONTRACTOR","C","Corporation","602569590","Sayler, Michael","Affidavits and Permits"
"ANDGAR MECHANICAL LLC","ANDGAML825OD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604255353","Raske, Marla","Permits"
"ANDGAR MECHANICAL LLC","ANDGAML825OD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604255353","Brink, Chad","Permits"
"ANDGAR MECHANICAL LLC","ANDGAML825OD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604255353","Arroyo, Jeff","Affidavits and Permits"
"ANDGAR MECHANICAL LLC","ANDGAML825OD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604255353","Peart, Andrew","Permits"
"ANDGAR MECHANICAL LLC","ANDGAML825OD","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604255353","Van Rooyen, Dale","Permits"
"ANDGAR MECHANICAL LLC","ANDGAML796MT","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604255353",,
"ANDRATHON ELECTRICAL LLC","ANDRAEL816DN","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604416279","Kukosh, Marius","Permits"
"ANDREWS MECHANICAL INC","ANDREMI000C5","EC","ELECTRICAL CONTRACTOR","C","Corporation","601846238",,
"ANDREWS MECHANICAL INC","ANDREMI963M8","EC","ELECTRICAL CONTRACTOR","C","Corporation","601846238",,
"ANDREWS MECHANICAL INC","ANDREMI795MW","PC","PLUMBING CONTRACTOR","C","Corporation","601846238",,
"ANDREWS PLUMBING INC","ANDREPI792MK","PC","PLUMBING CONTRACTOR","C","Corporation","601856874",,
"ANDRITZ HYDRO CORP","ANDRIHC918KG","EC","ELECTRICAL CONTRACTOR","C","Corporation","602047737",,
"ANENSEN ENTERPRISES INC","ANENSEI883QL","EC","ELECTRICAL CONTRACTOR","C","Corporation","603162673",,
"ANGEL ELECTRIC LLC","ANGELEL926RJ","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602883414",,
"ANGELES COMMUNICATIONS INC","ANGELCI005LH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601386512","LIDSTER, CHRIS","Permits"
"ANGELES COMMUNICATIONS INC","ANGELCI005LH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601386512","JENSEN, SCOTT","Affidavits and Permits"
"ANGELES COMMUNICATIONS INC","ANGELCI005LH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601386512","SIMPSON, DON","Permits"
"ANGELES COMMUNICATIONS INC","ANGELCI005LH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601386512","JENSEN, BOB","Affidavits and Permits"
"ANGELES COMMUNICATIONS INC","ANGELCI005LH","EC","ELECTRICAL CONTRACTOR","C","Corporation","601386512","JENSEN, KATHI","Affidavits and Permits"
"ANGELES ELECTRIC INC","ANGELEI460RS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600066346","SIMPSON, KENNETH E","Affidavits and Permits"
"ANGELES ELECTRIC INC","ANGELEI460RS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600066346","SIMPSON, HUGH (TED) E","Affidavits and Permits"
"ANGELES ELECTRIC INC","ANGELEI460RS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600066346","SIMPSON, ROBERTA","Affidavits and Permits"
"ANGELES ELECTRIC INC","ANGELEI460RS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600066346","NAPIONTEK, SUZANNE","Permits"
"ANGELES ELECTRIC INC","ANGELEI460RS","EC","ELECTRICAL CONTRACTOR","C","Corporation","600066346","SIMPSON, HEIDI","Affidavits and Permits"
"ANGELES PLUMBING","ANGELP*781MH","PC","PLUMBING CONTRACTOR","C","Corporation","603090157",,
"ANGEL INFRASTRUCTURE & DEVELOP","ANGELID817M8","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603328499",,
"ANGELOS, PERRY T","ANGELPT870C7","EC","ELECTRICAL CONTRACTOR","I","Individual","602107672",,
"Angus Cntrls & Electr Inst Inc","ANGUSCE814K2","EC","ELECTRICAL CONTRACTOR","C","Corporation","604462836",,
"ANM ELECTRIC INC","ANMELI*055LT","EC","ELECTRICAL CONTRACTOR","C","Corporation","601640372",,
"A&N PLUMBING & MORE LLC","NPLUMPM795RM","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603485638",,
"A N S ELECTRIC LLC","NSELENS787D3","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604869808",,
"ANTENNA & SATELLITE TECHNOLOGY","ANTENST991L6","EC","ELECTRICAL CONTRACTOR","C","Corporation","601843565",,
"ANTHONY'S PLUMBING COMPANY","ANTHOPC791NR","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","604785361",,
"ANTHONY THE PLUMBER LLC","ANTHOPL782LG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603298794",,
"AN X-STREAM ELECTRIC LLC","XSTREEL961R9","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","602451455","Friel, Marlene","Permits"
"ANYTHING ELECTRICAL","ANYTHE*793O3","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604784480",,
"ANYTHING ELECTRIC LLC","ANYTHEL855KL","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603424978",,
"ANZAC AUDIO VIDEO INC","ANZACAV940MQ","EC","ELECTRICAL CONTRACTOR","C","Corporation","602624553",,
"ANZAC Electric LLC","ANZACEL866LW","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603410504",,
"A-ONE REFRIGERATION & HTG INC","ONERERH870OF","EC","ELECTRICAL CONTRACTOR","C","Corporation","601002159","Hagen, Carly","Permits"
"A-ONE REFRIGERATION & HTG INC","ONERERH870OF","EC","ELECTRICAL CONTRACTOR","C","Corporation","601002159","Hagen, Calley","Affidavits and Permits"
"AP ELECTRIC LLC","APELEEL906Q2","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603061523",,
"APERTURE ELECTRICAL LLC","APERTEL869JC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603323166","Simpson, Ian","Permits"
"APEX AIR LLC","APEXAAL867P7","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603386548","Hay, Stacy","Permits"
"APEX APPLIANCE SERVICE INC","APEXASI995R6","EC","ELECTRICAL CONTRACTOR","C","Corporation","601872026",,
"Apex Electric Group LLC","APEXEEG791CC","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","604675723",,
"APEX ELECTRIC INC","APEXEEI977RT","EC","ELECTRICAL CONTRACTOR","C","Corporation","603051338",,
"Apex Enterprises 2019 INC","APEXEE2815P5","EC","ELECTRICAL CONTRACTOR","C","Corporation","604471345",,
"APEX FINANCIAL EQUIPMENT INC","APEXFEI000PF","EC","ELECTRICAL CONTRACTOR","C","Corporation","602064739",,
"APEX MECHANICAL LLC","APEXMML790MG","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","603599605",,
"APEX MECHANICAL LLC","APEXMML780J5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603599605","Granger, Samantha","Permits"
"APEX MECHANICAL LLC","APEXMML780J5","EC","ELECTRICAL CONTRACTOR","L","Limited Liability Company","603599605","Tervo, Audrey","Permits"
"APEX PLBG & MECH PIPING LLC","APEXPPM795MA","PC","PLUMBING CONTRACTOR","L","Limited Liability Company","602020427",,
"APEX RADIANT HEATING","APEXRH*984K3","EC","ELECTRICAL CONTRACTOR","I","Individual","602089813",,
