"uuid","region","country","proj_nm","st_date","end_date","awd_amount","awd_value","implementer","sector","intervention","intervention_type","proj_desc","proj_res","rfp_rftop","final_res","mind_eval","final_eval","audit","interim_rep","addl_docs","addl_info","corruption","stability"
"10","South and Central Asia (SCA)","Afghanistan","Regional Afghan Municipalities Program for Urban Populations (RAMP UP)- East","2010","2014","g) >$100 M","147011369","Development Alternatives Incorporated","Local Government","Service Delivery, Internal Controls, Citizen Participation, Fiscal Management","Transparency, Accountability","The Regional Afghan Municipalities Program for Urban Populations, Regional Command East (RAMP UP East) program supported 14 provincial capitals. Its primary customers were municipal officials, such as mayors, revenue officers, and engineers, as well as the citizens who benefit from municipal services. RAMP UP East aimed to help municipalities implement projects through which local officials improve their capacity to deliver services and build satisfaction, trust, and support among citizens. All programming puts municipal officials in front and demonstrably in charge as they lead participatory planning processes and oversee implementation.","260 officials from 13 municipalities were trained in finance, public administration, revenue, business registration, public relations and outreach, construction management, public works maintenance, and anticorruption. 30 key infrastructure and service delivery projects were implemented, including construction of sidewalks, rehabilitation of roads and drainage ditches, building of car parking lots, and collection of solid waste. Line ministry budget preparation was automated, and standard operating procedures for Independent Directorate of Local Governance were implemented and focused on improved service delivery. Business licensing and fee-for-service was implemented for services to the private sector. Monthly citizen forums, municipal newsletters, infrastructure project opening and closing ceremonies, media interviews, and public awareness activities were all introduced.  21 female engineers were trained in quality assurance, while 80 municipal officials were trained in gender sensitivity and mainstreaming, which looked critically at gender and social relations, stereotypes, integration of gender analysis, and gender-responsive leadership and governance.",,,"http://pdf.usaid.gov/pdf_docs/PDACY089.pdf",,,,"http://icma.org/en/international/projects/directory/Project/1002/Regional_Afghan_Municipalities_Program_for_Urban_Populations",,"Very High Corruption","Very Unstable"
"11","South and Central Asia (SCA)","Afghanistan","Regional Afghan Municipalities Program for Urban Populations (RAMP UP)- North","2010","2014","f) $50 M-$100 M","50200936","Development Alternatives Incorporated","Local Government","Service Delivery, Internal Controls, Citizen Participation, Fiscal Management","Transparency, Accountability","The Regional Afghan Municipalities Program for Urban Populations (RAMP UP) - North project addressed challenges and helped the Government of the Islamic Republic of Afghanistan (GIRoA) establish capable, legitimate governance at the municipal level in nine provincial capitals. Its primary customers were municipal officials (mayors, revenue officers, engineers, etc.), as well as the citizens who benefit from municipal services. The small-scale and sustainable service delivery improvement projects that the municipalities implemented aimed to improve their capacity to deliver services and increase citizen satisfaction with, trust in, and support for the municipal government.","Five municipalities began the business registration and licensing process, to eventually generate additional revenues to these municipalities.  All nine municipalities formed Service Delivery Advisory Groups that served as the key interface between citizens and municipal officials.",,,"http://pdf.usaid.gov/pdf_docs/PDACY089.pdf",,,,"http://dai.com/our-work/projects/afghanistan%E2%80%94regional-afghan-municipalities-program-urban-populations-regional-0",,"Very High Corruption","Very Unstable"
"12","South and Central Asia (SCA)","Afghanistan","Trade and Accession Facilitation for Afghanistan (TAFA)","2009","2013","f) $50 M-$100 M","63000000","Chemonics","Economic Governance, Public Finance","Trade Reforms, Customs","Transparency, Accountability","The Trade and Accession Facilitation for Afghanistan (TAFA) goal was to improve the trade environment of Afghanistan, with a specific focus on cross-border trade and transit in order to foster increased investment, exports, and market-based employment opportunities. To accomplish this, TAFA supported the Government of the Islamic Republic of Afghanistan (GIRoA) and the private sector in four main areas: 1) Trade-policy liberalization; 2) customs reform; 3) trade facilitation; and 4) public outreach on trade-related issues.","TAFA facilitated ratification of the Afghanistan-Pakistan Transit Trade Agreement in January 2011, and the agreement became operational in June 2011. The agreement allowed Afghan trucks to drive directly to huge markets of India, China, and seaports at Karachi, Gwadar, and Port Qasem in Pakistan. Additionally, the project facilitated ratification of the South Asian Free Trade Area agreement and supported its implementation. That agreement guaranteed 0 to 5 % tariffs to India, Pakistan, and five other countries for all Afghan exports not on sensitive lists. As of 2011, the project streamlined customs procedures in Kabul and in Hairatan, bordering Uzbekistan, resulting in elimination of unnecessary import and export steps, yielding a savings of up to $120 per transaction and reducing opportunities for corruption. Moreover, TAFA-supported trade policy liberalization would make consumer goods more affordable, raising living standards for all Afghan families and making the products they need more accessible and easier to purchase. Increased customs revenue would allow the GIRoA to offer its citizens additional services, and improved customs procedures would protect consumers from dangerous or inferior products.  Finally, the economic growth generated by the World Trade Organization (WTO), SAFTA and APTTA would create broad-based political support for Afghanistan's carefully managed entry into the global marketplace. The trade and customs reforms facilitated by TAFA would build the necessary momentum for the Government to reach the levels of transparency and efficiency that are required to join the WTO.",,,"http://pdf.usaid.gov/pdf_docs/PDACU292.pdf",,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Trade-and-Accession-Facilitation-for-Afghanistan.aspx",,"Very High Corruption","Very Unstable"
"13","South and Central Asia (SCA)","Afghanistan","Transition Initiative: Afghanistan","2009","2012","f) $50 M-$100 M","85600000","Chemonics","Local Government, Civil Society","Legal/Institutional Strengthening/Reform, Service Delivery, Citizen Participation, Public Awareness, Advocacy","Transparency, Accountability, Participation","In July 2009, the Office of Transition Initiatives (OTI) launched the first phase of its current program in Afghanistan to support stabilization and reconstruction initiatives. The objective of the Afghanistan Stabilization Initiative (ASI) was to address instability by fostering and strengthening conditions that build links between the Government of the Islamic Republic of Afghanistan (GIRoA) and local Afghan communities. In close coordination with the International Security Assistance Force (ISAF), the OTI program has increasingly supported communities in violence-prone areas where stabilization projects are needed most. In March 2012, OTI began the second phase of its current engagement in Afghanistan. Through the Community Cohesion Initiative (CCI), OTI seeks to improve stability in areas vulnerable to insurgent exploitation in order to create an enabling environment for sustainable peace and traditional development programs by (1) strengthening ties between local actors, customary governance structures, and the GIRoA and (2) empowering community-based resiliencies to mitigate sources of instability.","Grounded in the principle that durable stability is a result of local will, empowerment, initiative, and leadership, OTI designs and implements clusters of small grants through a process-oriented, community-driven approach. In OTI programming, the project processes are as important as project outputs in contributing to the program's strategic goal of stabilization. OTI utilizes both ""soft"" (community-leadership shuras, District Governor outreach visits) and ""hard"" (small scale infrastructure) activities to strengthen linkages between communities vulnerable to insurgent exploitation and positive GIRoA influencers. Community resiliencies are strengthened by improving their ability to resolve issues, promote viable economic activity, and communicate effectively within the community and with various government entities.",,,,,,,"http://www.usaid.gov/who-we-are/organization/bureaus/bureau-democracy-conflict-and-humanitarian-assistance/office-1",,"Very High Corruption","Very Unstable"
"14","South and Central Asia (SCA)","Afghanistan","Afghanistan: Alternative Development Project Southwest (ADP/SW)","2008","2011","f) $50 M-$100 M","75133597","TetraTech ARD","Economic Governance, Public Finance","Business Environment, Trade Reforms, Procurement, Internal Controls, Public Information","Awareness, Participation","The Alternative Development Program-South/West (ADP/SW) aim was to reduce the economic dependence of Farah, Nimroz, Uruzgan, and Helmand provinces on opium production, processing, and trade by helping communities to identify and seize meaningful opportunities to reduce vulnerabilities, improve incomes, and create lasting jobs through the licit economy while reinforcing the economic and institutional infrastructure on which these opportunities depended. Because of the increased poppy cultivation in Farah Province relative to the other three provinces that the United Nations Office on Drugs and Crime (UNODC) recorded in 2007, first-year project activities were focused there.  By the end of the program, it was hoped that two key transformations would result: 1) Farmers and rural men and women in poppy-growing provinces and districts of Afghanistan would benefit from increased and sustainable incomes from licit crops and village-based products; and 2) Afghans engaged in supplying inputs to those rural communities, or in purchasing, shipping, processing, or marketing their products would also profit from improved techniques, technologies, or infrastructure put into place with help from the ADP/SW Program.","The ADP/SW team completed 33 major canal, road, farmer training and women's enterprise projects for Farah province, in collaboration with the Farah Governor, Farah governmental officials, Farah Shuras, the Field Program Officers, and the Farah-based Provincial Reconstruction Team.
Three well-known Afghan NGO partners carried out women's poultry raising and commercialization projects across the province. Meanwhile, widows and disadvantaged women in the Farah city region assembled over 30,000 wire gabions that other repair and construction projects of ADP/SW would purchase. Moreover, as a key element of the strategic alliance with the Provincial Governor, ADP/SW supported a series of farmer's alternative agriculture conferences in various district centers across Farah, and developed a television and radio social messaging campaign, also spearheaded by the Governor. Finally, value chain and business development work under ADP/SW leveraged the resources and talent of the USAID-funded Afghanistan Small/Medium Enterprise Development Program (ASMED), Agricultural Sector Advancement Program (ASAP), and Alternative Development Program/South (ADP/S), in addition to directly collaborating and jointly funding activities with Habitat For Humanity.",,,,,,,"http://www.tetratechintdev.com/index.php?option=com_k2&view=item&id=560:afghanistan-alternative-development-project-south-west-adp/sw&Itemid=222&lang=us","http://www.usaid.gov/sites/default/files/documents/1871/Fact_Sheet_ADP-SW_FINAL_Dec_2010.pdf","Very High Corruption","Very Unstable"
"130","East Asia and Pacific (EAP)","Indonesia","Aceh Technical Assistance Recovery Project (A-TARP)","2005","2008","d) $10 M-$25 M","17085185","Chemonics","Disaster Recovery, Local Government, Economic Growth, Independent Agencies","Fiscal Management","Transparency, Accountability","The project's anticorruption component focused on ensuring that the billions of dollars in aid sent to help Indonesia recover from the effects of the Tsunami were fully accountable to ensure that all reconstruction projects could proceed in the future. The project's anticorruption component focused on ensuring that the billions of dollars in aid sent to help Indonesia recover from the effects of the Tsunami were fully accountable to ensure that all reconstruction projects could succeed in the future. The project provided support to the Satuan Anti Korupsi (Anti-Corruption Unit or SAK) BRR created by the Badan Rehabilitasi dan Rekonstruksi (Agency for the Rehabilitation and Reconstruction or BRR).","A-TARP took a lead role in helping design the SAK including mapping out the scope, role, and responsibilities. It trained the SAK staff to effectively establish and manage an anti-corruption program, including how to handle complaints, how to maintain a complaints database, and how to coordinate with other key government agencies. A-TARP also advised SAK staff during the implementation of its anti-corruption plan and assisted to develop a complaints management system to track and analyze complaint data. 
With the support of the project SAK received 1,372 complaints, investigated and resolved 1,348 of them, and earned a reputation for countering and deterring corruption. Through the capacity building program, the 15 local governments - kecamatan - strengthened their abilities to provide better services to their constituents. For example, with new equipment and data collection systems, the local government became better equipped to issue birth certificates and other government documents. With A-TARP's support kecamatan learned to plan for longer-term needs, such as infrastructure development that will help economic development and expanded their ability to include a broader spectrum of citizens in determining the goals of the community.
In the economic growth area, A-TARP provided technical advice to the Ministry of Finance and key departments, including the Directorate General for Taxation (DGT). It worked with ministry leadership and directorate staff to improve the government's economic policies and increase revenue generation including strengthening investment services; harmonizing central and regional regulations; improving customs, excise, and taxation services; creating jobs; and supporting small and medium enterprises. A-TARP also assisted with the establishment of the first department in Indonesia devoted to criminal tax investigations, the Directorate of Intelligence and Investigation.",,"http://www.chemonics.com/OurWork/OurProjects/Documents/INDONESIA.ATARP.FINAL.REPORT.pdf",,,,,"http://www.chemonics.com/OurWork/OurProjects/Pages/Aceh-Technical-Assistance-Recovery-Project.aspx",,"High Corruption","Unstable"
"15","South and Central Asia (SCA)","Afghanistan","Afghanistan: Alternative Development Project South (ADP/S)","2005","2009","g) >$100 M","166143244","Chemonics","Economic Growth, Public Finance","Business Environment, Trade Reforms, Procurement, Internal Controls, Public Information","Awareness, Participation","The Alternative Development Program/Southern Region (ADP/S) was a Counter-Narcotics Strategy for the Helmand, Kandahar, and Uruzgan provinces.  In 2007, ALP/S planned to rehabilitate 300 kilometers of gravel compacted farm-to-market roads, build 40 kilometers of cobblestone roads, complete a 250 kilometer irrigation canal improvement for 65,000 hectares of farmland, rebuild the Lashkar Gah electrical sub-station to improve electrical access for 8,000 families and businesses, establish 14 veterinary field units and a commercial feed mill, distribute animal feed to over 20,000 farmers and improved vegetable seeds to over 30,000 farmers, and provide technical training for extension workers, para-vets, and farmer co-ops and associations.","Through ongoing activities to improve access to productive infrastructure, develop livestock and horticulture clusters, accelerate business development, and improve GoA capacity and outreach, ADP/S would improve the licit income opportunities and well-being of thousands of rural families by integrating them into the regional economy.",,,,"http://pdf.usaid.gov/pdf_docs/PDACS236.pdf",,,,,"Very High Corruption","Very Unstable"
"16","South and Central Asia (SCA)","Afghanistan","Afghanistan Media Development and Empowerment Project (AMDEP)","2010","2011","d) $10 M-$25 M","22000000","Internews","Media","Advocacy, Public Awareness","Awareness, Participation","The Afghanistan Media Development and Empowerment Project (AMDEP) continued a strategic focus on improving news and development-related radio information for underserved groups, such as rural families, women, and young people. AMDEP supported a comprehensive value chain approach to strengthening the media sector, dealing with training of journalists, establishing and operating a network of rural radio stations, introducing new media to enable amateur voices to communicate about social, economic, and development issues, encouraging advocacy to protect journalistic freedoms, helping citizens understand and value the importance of media information and news, training media lawyers, and supporting new media laws and policies that would support the development of a dynamic, independent media industry.","AMDEP had to function in a context of administrative delays and funding uncertainties, security threats, an environment of many different media projects and an unpredictable economy. While not all stations were a result of AMDEP funding, the Salam Watandar radio network and its 47 rural radio stations were up and running well. Overall, AMDEP equipment was functional, training of staff was effective, technical assistance to set up the stations was on target, support for administrative systems was effective and initial subsidies got the stations on the air. AMDEP's legal training for lawyers and legal advocacy for journalists also produced a number of outcomes, where a new cadre of media-savvy lawyers became active in the Bar Association and in law schools. The project's work with Afghan ministries helped improve the implementation of telecommunications laws and policies that promoted the  evolution of an independent and constructive commercial media industry. An effort to promote joint lobbying and advocacy on the part of media professional associations was marginally successful. A number of conferences and workshops were held with productive exchanges of information among journalists and media industry leaders. AMDEP also supported development of new radio content for women listeners - much of it dealing with women's issues - across the country. Many female journalists were trained and found employment in media outlets.",,,,"http://pdf.usaid.gov/pdf_docs/PDACT895.pdf",,,,,"Very High Corruption","Very Unstable"
"17","South and Central Asia (SCA)","Afghanistan","Economic Governance and Growth Initiative (EGGI)","2007","2013","c) $5 M-$10 M","9000000","Deloitte Consulting LLP","Economic Growth, Local Government, Public Finance","Service Delivery, Management Systems, Budget, Taxation, Financial Management Systems, Internal Controls","Transparency, Accountability","The Economic Growth and Governance Initiative (EGGI) in Afghanistan supported public fiscal and financial management areas through economic and fiscal policy support, revenue and tax policy, program budgeting reform, provincial budgeting reform, provincial tax administration, a revenue reconciliation database, and women in government.","To date, EGGI has facilitated the implementation of driver's license practical exam fees, which could result in increase revenue collection of 10-15 Afghanis (AFN) annually for the Kabul Traffic Department.  It supported the Ministry of Finance with tax, finance, and debt-related decision making and reporting. It supported 20 key budgetary units as they prepared and delivered briefings on program budgets and completed and submitted their annual budgets to the Budget Committee.  It also supported the Ministry's roll-out of a comprehensive provincial budgeting training program in all 34 provinces.  The development of Medium Tax Offices in Herat, Mazar, Jalalabad, and Kandahar were supported, enabling these provinces to surpass revenue collection targets ahead of schedule, as well as remain on course to meet targets.  As a result of these efforts, tax return filing compliance was improved.  Finally, 162 interns graduated from the Women in Government program, with 81% finding full-time jobs.",,,,,,,"http://www.usaid.gov/news-information/fact-sheets/economic-growth-and-governance-initiative-eggi",,"Very High Corruption","Very Unstable"
"18","South and Central Asia (SCA)","Afghanistan","District Delivery Program (DDP)","2010","2013","e) $25 M-$50 M","40000000","Independent Directorate of Local Governance","Local Government, Public Finance","Service Delivery, Management Systems, Internal Controls, Budget, Taxation, Financial Management Systems","Transparency, Accountability","The District Development Program (DDP) represented an umbrella approach to ensuring that the reach of the Afghan central government extended to the districts in the country. In partnership with the Independent Directorate of Local Governance and the Ministry of Finance, DDP provided support for budget planning and execution at the district level, with the aim of improved delivery of key services. Funding Stream 1 provided on-budget partial salary support, hazard pay, and operational and maintenance funds for district officials and offices in key sectors (administration, health, justice, agriculture, and education) via the Afghan budgetary system. Funding Stream 2 aligned traditional development and Afghan government programs to provide services as prioritized by district officials and community representatives. Funding Stream 3 was used to finance small-scale district government infrastructure related to service delivery.","DDP improved subnational governance and contributed to security in the districts.  It strengthened district level administration and coordination of line ministry activity at the subnational level, and it established communication and coordination among three levels of government (districts, provinces, and the center).  As a result of DDP, most districts' Tashkeels were almost full, absenteeism was significantly reduced, and staff were reported to be working harder.  Being able to manage the budget made district administrators feel for the first time that they were actually governing their districts, and a greater volume of visitors to the district centers meant much more activity.",,,"http://pdf.usaid.gov/pdf_docs/PDACT900.pdf",,,,,,"Very High Corruption","Very Unstable"
