"event_name","event_description","fee_required","type_of_event","subject_matter","age_groupings","event_by_service_area","event_sponsor","event_date_time_start","event_date_time_ends","location_common_name","location_address","contact_name","contact_number","contact_email","information_website","council_district","elected_officials","neighborhood_council","city_reference_id"
"	Palms NC Representative Assembly Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/palmsnc/ensncpalmsnc2410105135_08032016.pdf",,,,"105135"
"Encino NC Outreach Committee Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/encinocc/ensncencinocc818105039_08032016.pdf",,,,"105039"
"	DLANC Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/downtownla/ensncdowntownla793105019_08032016.pdf",,,,"105019"
"Chatsworth NC August 3,2016 Board Meeting Cancelled",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/chatsworthnc/ensncchatsworthnc838104928_08032016.pdf",,,,"104928"
"	NENC Planning and Land Use Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/northridgeastnc/ensncnorthridgeastnc2413105089_08032016.pdf",,,,"105089"
"Lake Balboa NC Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:25:00.000",,,,,,,"http://ens.lacity.org/ensnc/wvannuysnc/ensncwvannuysnc2411105091_08032016.pdf",,,,"105091"
"MPNC Agenda de Reunión Especial del Comité del Retiro. Special Meeting Agenda of Retreat Committee",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:25:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105141_08032016.pdf",,,,"105141"
"	Northwest San Pedro NC Public Safety Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773105070_08032016.pdf",,,,"105070"
"LA32 August Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800105092_08032016.pdf",,,,"105092"
"	LA 32 NC GeneralBoardMeeting ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/lathirtytwonc/ensnclathirtytwonc800105113_08032016.pdf",,,,"105113"
"	Northwest San Pedro NC SPECIAL Community Vision Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773105080_08032016.pdf",,,,"105080"
"	HSDNC Special_Exe_Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodstudio/ensnchollywoodstudio3138105167_08032016.pdf",,,,"105167"
"	Studio City NC Special Government Affairs Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824105114_08032016.pdf",,,,"105114"
"	Del Rey NC Special Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/delreync/ensncdelreync849105116_08032016.pdf",,,,"105116"
"	UNNC Planning and Zoning Comte",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/unitedneighbor/ensncunitedneighbor798105064_08032016.pdf",,,,"105064"
"STNC Executive Committee Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-03T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunlandtujunga/ensncsunlandtujunga840105017_08032016.pdf",,,,"105017"
"West Los Angeles Area Planning Commission Special Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-03T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/westlaagenda/plnwestlaagenda303105067_08032016.pdf",,,,"105067"
"West Los Angeles Area Planning Commission Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-03T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/westlaagenda/plnwestlaagenda303105082_08032016.pdf",,,,"105082"
"Energy and the Environment Committee Meeting - CANCELLED",,"No ","Meeting - Council","Government",,,"ITA","2016-08-03T15:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend2562105008_08032016.html",,,,"105008"
"Police Permit Review Panel Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-03T14:30:00.000",,,,,,,"http://ens.lacity.org/lapd/permitagenda/lapdpermitagenda263105055_08302016.pdf",,,,"105055"
"Housing Committee, Meeting Cancelled",,"No ","Meeting - Council","Government",,,"ITA","2016-08-03T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend23105023_08032016.html",,,,"105023"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-03T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86105052_08032016.html",,,,"105052"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-03T10:00:00.000","2016-08-03T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201608/20160803/08032016_bpwcal.htm",,,,
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-03T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105054_08032016.html",,,,"105054"
"Personnel & Animal Welfare Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-03T09:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend25105047_08032016.html",,,,"105047"
"Board of Los Angeles Convention and Tourism Development Cancellation Notice - August 3, 2016",,"No ","Meeting - Board","Government",,,"ITA","2016-08-03T09:00:00.000",,,,,,,"http://ens.lacity.org/lacc/laccdcagendas/lacclaccdcagendas250105013_08032016.pdf",,,,"105013"
"	West Los Angeles Sawtelle NC PLUM",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T19:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/westlosangeles/ensncwestlosangeles847105075_08022016.pdf",,,,"105075"
"ERNCBoardMeeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/eaglerocknc/ensnceaglerocknc789105015_08022016.pdf",,,,"105015"
"STNC Arts, Recreation and Culture Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunlandtujunga/ensncsunlandtujunga840105022_08022016.pdf",,,,"105022"
"Foothill Trails District NC Land Use Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/foothilltrails/ensncfoothilltrails836105087_08022016.pdf",,,,"105087"
"West Hills NC Joint Board and Bylaws Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/westhillsnc/ensncwesthillsnc770105016_08022016.pdf",,,,"105016"
"	Central San Pedro NC Executive Comte and Agenda Setting Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105072_08022016.pdf",,,,"105072"
"SNC Joint Special Exec Comm and Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839105124_08022016.pdf",,,,"105124"
"GHNNC Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/granadahillsnor/ensncgranadahillsnor812105093_08022016.pdf",,,,"105093"
"South Robertson NC LUED Committee Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809105084_08022016.pdf",,,,"105084"
"	NCWP Board Meeting ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/westchesternc/ensncwestchesternc2415105086_08022016.pdf",,,,"105086"
"Venice NC JOINT Board and LUPC Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:25:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141105094_08022016.pdf",,,,"105094"
"Cancelled Board of Neighborhood Commissioners Regular Meeting 8-2-16",,"No ","Meeting - Board","Government",,,"ITA","2016-08-02T18:00:00.000",,,,,,,"http://ens.lacity.org/done/agendas/doneagendas197105057_07292016.pdf",,,,"105057"
"Northwest San Pedro NC Youth & Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773105030_08022016.pdf",,,,"105030"
"South Los Angeles Area Planning Commission Meeting Agenda - Canceled ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-02T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/southlaagenda/plnsouthlaagenda297104964_08022016.pdf",,,,"104964"
"Harbor Area Planning Commission Agenda - Canceled",,"No ","Meeting - Board","Government",,,"ITA","2016-08-02T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/harboragenda/plnharboragenda291105037_08022016.pdf",,,,"105037"
"Planning and Land Use Management Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-02T14:30:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend26105050_08022016.html",,,,"105050"
"Innovation, Grants, Technology, Commerce and Trade Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-02T13:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend2563105051_08022016.html",,,,"105051"
"Los Angeles City Council Agenda",,"No ","Meeting - Council","Government",,,"ITA","2016-08-02T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3105009_08022016.html",,,,"105009"
" Board of Water and Power Commissioners Agenda ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-02T10:00:00.000",,,,,,,"http://ens.lacity.org/dwp/agendas/dwpagendas202105046_08022016.pdf",,,,"105046"
"Board of Police Commissioners Meeting Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-02T09:30:00.000",,,,,,,"http://ens.lacity.org/lapd/agendas/lapdagendas261105045_08022016.pdf",,,,"105045"
"Board of Fire Commissioners Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-02T09:00:00.000",,,,,,,"http://ens.lacity.org/lafd/agendas/lafdagendas258104998_08022016.pdf",,,,"104998"
"Public Safety Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-02T08:30:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend27105053_08022016.html",,,,"105053"
"	Venice NC Budget and Finance Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-02T08:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/venice/ensncvenice3141105027_08022016.pdf",,,,"105027"
"	East Hollywood NC Public Safety Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:15:00.000",,,,,,,"http://ens.lacity.org/ensnc/easthollywood/ensnceasthollywood3137105079_08012016.pdf",,,,"105079"
"	Reseda NC General Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/resedanc/ensncresedanc820105038_08012016.pdf",,,,"105038"
"	OPNC Board Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/olympicpark/ensncolympicpark1023105014_08012016.pdf",,,,"105014"
"GTLNC Public Safety",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/tolucalakenc/ensnctolucalakenc813105024_08012016.pdf",,,,"105024"
"	Greater Valley Glen Council Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/valleyglencc/ensncvalleyglencc811105068_08012016.pdf",,,,"105068"
"Greater Wilshire NC Transportation Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/gwilshire/ensncgwilshire1024105020_08012016.pdf",,,,"105020"
"Bicycle Advisory Committee Agenda - Special Meeting",,"No ","Meeting - Board","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ladot/bacommagendas/ladotbacommagendas3317105012_08012016.pdf",,,,"105012"
"	MPNC Agenda de Reunión Regular.Regular Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/macarthurnc/ensncmacarthurnc841105032_08012016.pdf",,,,"105032"
"SORO NC Public Safety Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809105041_08012016.pdf",,,,"105041"
"MINC Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/midcitync/ensncmidcitync775105026_08012016.pdf",,,,"105026"
"	STNC Land Use Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunlandtujunga/ensncsunlandtujunga840105063_08012016.pdf",,,,"105063"
"	SNC_PLUC_MTG",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839105169_08012016.pdf",,,,"105169"
"Arroyo Seco NC Special Joint Board and Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/arroyoseconc/ensncarroyoseconc817105029_08012016.pdf",,,,"105029"
"HUNC Outreach Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodunited/ensnchollywoodunited822105025_08012016.pdf",,,,"105025"
"VNNC Executive Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/vannuysnc/ensncvannuysnc808105036_08012016.pdf",,,,"105036"
"NHENC-Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/n_hills_east_nc/ensncn_hills_east_nc3325105034_08012016.pdf",,,,"105034"
"August Joint Board and Bylaws Committee Meeting Agenda",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/glassellparknc/ensncglassellparknc769105095_08012016.pdf",,,,"105095"
"SVANC_JOINT_Board_Finance_Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunvalleyarea/ensncsunvalleyarea797105083_08012016.pdf",,,,"105083"
"	Sun Valley NC Joint Mtg Exec Board and Finance Comite",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunvalleyarea/ensncsunvalleyarea797105076_08012016.pdf",,,,"105076"
"	Central San Pedro NC REVISED Rules and Bylaws Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851105073_08012016.pdf",,,,"105073"
"	Northwest San Pedro NC Executive-Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773105081_08012016.pdf",,,,"105081"
"Central San Pedro RESCHEDULED Rules and Bylaws Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-08-01T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851104954_08012016.pdf",,,,"104954"
"Budget & Finance Committee Meeting",,"No ","Meeting - Council","Government",,,"ITA","2016-08-01T14:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend18105044_08012016.html",,,,"105044"
"Claims Board Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-01T13:00:00.000",,,,,,,"http://ens.lacity.org/atty/claims_board/attyclaims_board3307104999_08012016.pdf",,,,"104999"
"Joint meeting CCFS & CCFS Strategic Planning Sub-Committee ",,"No ","Meeting - Board","Government",,,"ITA","2016-08-01T11:00:00.000",,,,,,,"http://ens.lacity.org/hcid/ccfsagenda/hcidccfsagenda3329104979_08012016.pdf",,,,"104979"
"Arts, Parks, and River Committee",,"No ","Meeting - Council","Government",,,"ITA","2016-08-01T11:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend16105004_07282016.html",,,,"105004"
"Arts, Parks, and River Committee",,"No ","Meeting - Council","Government",,,"ITA","2016-08-01T11:00:00.000",,,,,,,"http://ens.lacity.org/clk/committeeagend/clkcommitteeagend16105004_07282016.html",,,,"105004"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-08-01T10:00:00.000","2016-08-01T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://clkrep.lacity.org/bpwgranicus/granicus/2016/08012016_bpwcal.htm",,,,
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-08-01T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86104994_08012016.html",,,,"104994"
"CCFS CANCELED",,"No ","Meeting - Board","Government",,,"ITA","2016-08-01T10:00:00.000",,,,,,,"http://ens.lacity.org/hcid/ccfsagenda/hcidccfsagenda3329104978_08012016.pdf",,,,"104978"
"KCON",,"Yes","Convention",,,,"Convention Center","2016-07-31T10:00:00.000","2016-07-31T18:00:00.000","Los Angeles Convention Center, South Hall GH & K, Concourse EF, 300s Meeting Rooms","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.kconusa.com/",,,,
"Office of Community Beautification ~ Office of Councilman Jose Huizar ~ Eagle Rock Neighborhood Council","Eagle Rock Tree Care","No","Volunteerism",,,,"BPW OCB","2016-07-31T08:00:00.000","2016-07-31T11:00:00.000","Eagle Rock City Hall","2035 Colorado Boulevard
Los Angeles, California 90041
(34.139216, -118.212431)","Thomas Corrales","2139780230","thomas.corrales@lacity.org","http://www.laocb.org",,,,
"KCON",,"Yes","Convention",,,,"Convention Center","2016-07-30T10:00:00.000","2016-07-30T18:00:00.000","Los Angeles Convention Center, South Hall GH & K, Concourse EF, 300s Meeting Rooms","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.kconusa.com/",,,,
"Sylmar NC SPECIAL Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-30T10:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839104857_07302016.pdf",,,,"104857"
"EC Southwest Area PLUM ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-30T09:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/congressswest/ensnccongressswest784105021_07302016.pdf",,,,"105021"
"Greater Wilshire NC Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-30T09:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/gwilshire/ensncgwilshire1024105003_07302016.pdf",,,,"105003"
"Office of Community Beautification Mission Hills Community Cleanup","Cleanup",,"Volunteerism",,,,"BPW OCB","2016-07-30T09:00:00.000","2016-07-30T12:00:00.000","Devonwood Park","Devonshire & Woodman
,  ","Jason Valencia",,"jason.valencia@lacity.org",,"Council District 7","Councilmember Fuentes",,
"United Neighborhoods NC Board Retrea",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-30T08:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/unitedneighbor/ensncunitedneighbor798105011_07302016.pdf",,,,"105011"
"HHPNC Special Joint Outreach and Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-29T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/highlandpark/ensnchighlandpark801105002_07292016.pdf",,,,"105002"
"Cancelled Board of Neighborhood Commissioners Regular Meeting 8-2-16",,"No ","Meeting - Board","Government",,,"ITA","2016-07-29T18:00:00.000",,,,,,,"http://ens.lacity.org/done/agendas/doneagendas197105057_07292016.pdf",,,,"105057"
"Board of Public Works Special Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-07-29T11:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86104988_07292016.htm",,,,"104988"
"Board of Public Works Agenda",,"No ","Meeting - Board","Government",,,"ITA","2016-07-29T10:00:00.000",,,,,,,"http://ens.lacity.org/bpw/agendas/bpwagendas86104949_07292016.htm",,,,"104949"
"KCON",,"Yes","Convention",,,,"Convention Center","2016-07-29T10:00:00.000","2016-07-29T18:00:00.000","Los Angeles Convention Center, South Hall GH & K, Concourse EF, 300s Meeting Rooms","1201 S. Figueroa St.
Los Angeles, CA 90015
(34.040286, -118.268245)",,"2137411151","info@lacclink.com","http://www.kconusa.com/",,,,
"Los Angeles City Council Agenda, Cancelled",,"No ","Meeting - Council","Government",,,"ITA","2016-07-29T10:00:00.000",,,,,,,"http://ens.lacity.org/clk/councilagendas/clkcouncilagendas3104670_07292016.html",,,,"104670"
"Board of Public Works Meeting ","Regular BPW Meeting",,"Meeting - Board",,,,"BPW","2016-07-29T10:00:00.000","2016-07-29T13:30:00.000","City Hall Room 350","200 N. Spring St.
Los Angeles, CA 90012
(34.054094, -118.243388)",,,,"http://boe.lacity.org/docs/dpw/agendas/2016/201607/20160729/07292016_bpwcal.htm",,,,
"	VNNC-Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/vannuysnc/ensncvannuysnc808104946_07282016.pdf",,,,"104946"
"Studio City NC Public Safety Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824104930_07282016.pdf",,,,"104930"
"Olympic Park NC Executive Board Special Board Meeting July 28, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/olympicpark/ensncolympicpark1023104908_07282016.pdf",,,,"104908"
"Studio City NC Public Safety REVISED ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/studiocitync/ensncstudiocitync824104938_07282016.pdf",,,,"104938"
"GPNC Joint Board and Economic Development and Land Use Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/glassellparknc/ensncglassellparknc769104944_07282016.pdf",,,,"104944"
"Mar Vista CC Safety and Security Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/marvistanc/ensncmarvistanc810104923_07282016.pdf",,,,"104923"
"PICO NC Land Use Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T19:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/pico_nc/ensncpico_nc781104948_07282016.pdf",,,,"104948"
"LBNC Exec. Board Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/wvannuysnc/ensncwvannuysnc2411104942_07282016.pdf",,,,"104942"
"Sun Valley Area NC Beautification Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sunvalleyarea/ensncsunvalleyarea797104822_07282016.pdf",,,,"104822"
"Panorama City NC Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/panoramacity/ensncpanoramacity3139104943_07282016.pdf",,,,"104943"
"	SNC Special Board Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/sylmarnc/ensncsylmarnc839105010_07282016.pdf",,,,"105010"
"SORONC Transportation Comte Mtg ",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/southrobertson/ensncsouthrobertson809104939_07282016.pdf",,,,"104939"
"Pacoima NC Land Use Committee Meeting July 28, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/pacoimanc/ensncpacoimanc777104895_07282016.pdf",,,,"104895"
"GHSNC Joint Board and Outreach Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/granadahillssou/ensncgranadahillssou2763104803_07282016.pdf",,,,"104803"
"	HUNC Business Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/hollywoodunited/ensnchollywoodunited822104842_07282016.pdf",,,,"104842"
"Atwater Village NC Community Greening Comte Mtg",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/atwatervillage/ensncatwatervillage1021104936_07282016.pdf",,,,"104936"
"CANNDU NC Community Meeting - 07-28-2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T18:00:00.000",,,,,,,"http://ens.lacity.org/ensnc/canndu/ensnccanndu835104911_07282016.pdf",,,,"104911"
"Northwest San Pedro NC Budget Committee Meeting",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T17:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/nwsanpedronc/ensncnwsanpedronc773104894_07282016.pdf",,,,"104894"
"South Valley Area Planning Commission Meeting Agenda - Canceled",,"No ","Meeting - Board","Government",,,"ITA","2016-07-28T16:30:00.000",,,,,,,"http://ens.lacity.org/pln/southvagenda/plnsouthvagenda300104869_07282016.pdf",,,,"104869"
"Central San Pedro NC Land Use committee meeting Jul 28, 2016",,"No ","Neighborhood Council","Government",,,"ITA","2016-07-28T16:30:00.000",,,,,,,"http://ens.lacity.org/ensnc/censanperdro/ensnccensanperdro851104912_07282016.pdf",,,,"104912"
