"fiscal_year","service","department","project","project_id","fund_type","fund","thru_fy_actuals","fy_approved"
"2021","Economic and Community Development","Economic and Community Development","Public Art Artists' Work Program","FY21-94","City Funds","Economic Development",,"150000"
"2021","Transportation","Transportation","ADA Bus Stop Connections","FY21-5","City Funds","Economic Development",,"7536"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Lupton Drive Chronic SSO Elimination Project","FY21-70","City Funds","Reserves",,"1000000"
"2021","Transportation","Transportation","Pavement and Traffic Infrastructure Debris Damage - FEMA","FY21-86","External","TEMA",,"250000"
"2021","Public Works - Enterprise Funds","Water Quality","S Germantown Rd/Brainerd Rd - FEMA","FY21-104","City Funds","Operations",,"23368"
"2021","Public Works","Public Works","Batter's Place Tennis Courts - FEMA","FY21-9","External","TEMA",,"6250"
"2021","Public Works","Public Works","Parks Cap - TN Riverpark-CB Robinson Bridge","FY21-83","City Funds","Reserves",,"37990"
"2021","Public Works - Enterprise Funds","Solid Waste","Summit Landfill Storage Building - FEMA","FY21-114","External","TEMA",,"3125"
"2021","Transportation","Transportation","Pavement Flood Damage - FEMA","FY21-87","External","TEMA",,"50000"
"2021","Police Department","Police Department","Law Enforcement Training Center","FY21-66","City Funds","Bonds",,"500000"
"2021","Public Works - Enterprise Funds","Water Quality","Davidson Road","FY21-37","City Funds","Operations",,"750000"
"2021","General Government","General Government","CARTA Technology Projects (A.O.)","FY21-16","City Funds","Economic Development",,"18965"
"2021","Youth & Family","Youth & Family Development","YFD Center Improvements","FY21-129","City Funds","Bonds",,"750000"
"2021","Police Department","Police Department","Law Enforcement Training Center","FY21-66","External","Other External",,"500000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Pump Station Generator 1","FY21-96","City Funds","Operations",,"750000"
"2021","Economic and Community Development","Economic and Community Development","Environment Protection Agency (EPA) Brownfield Cleanup Grant Cost Share","FY21-42","City Funds","Reserves",,"100000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Citico PS Reliability Improvements","FY21-23","City Funds","Reserves",,"1500000"
"2021","TVRCS","TVRCS","Tennessee Valley Regional Communications System (TVRCS) - Microwave Radio and Multiprotocol Label Switching (MPLS) Replacement and upgrade.","FY21-116","City Funds","TVRCS",,"800000"
"2021","Transportation","Transportation","Street Improvements (paving) (P20201)","FY21-112","City Funds","Economic Development",,"218383"
"2021","Transportation","Transportation","3rd / 4th Street (REQ)","FY21-2","External","TIP",,"6800000"
"2021","Transportation","Transportation","Patten Parkway","FY21-85","City Funds","Economic Development",,"350000"
"2021","Public Works - Enterprise Funds","Water Quality","Dartmouth/Five Points Watershed SIP","FY21-36","City Funds","Operations",,"900000"
"2021","Economic and Community Development","Economic and Community Development","Lynnbrook Park","FY21-71","City Funds","Economic Development",,"500000"
"2021","Public Works","Public Works","Brainerd Golf Course - FEMA","FY21-10","City Funds","Economic Development",,"625"
"2021","Public Works","Public Works","Batter's Place Tennis Courts - FEMA","FY21-9","External","FEMA",,"37500"
"2021","Public Works - Enterprise Funds","Water Quality","Stream Buffer Conservation","FY21-111","City Funds","Operations",,"250000"
"2021","Transportation","Transportation","Transit Signal Prioritization","FY21-122","External","FHWA",,"2650000"
"2021","Economic and Community Development","Economic and Community Development","Environment Protection Agency (EPA) Brownfield Cleanup Grant Cost Share","FY21-42","External","Other External",,"500000"
"2021","Transportation","Transportation","TIP Paving CHATT3R1720 (P20214)","FY21-118","External","TIP",,"800000"
"2021","Transportation","Transportation","Pavement Flood Damage - FEMA","FY21-87","External","FEMA",,"300000"
"2021","Transportation","Transportation","TIP Paving CHATT3R1720 (P20214)","FY21-118","City Funds","Economic Development",,"400000"
"2021","Transportation","Transportation","Lake Resort Drive","FY21-64","City Funds","Economic Development",,"225000"
"2021","Public Works","Public Works","Lakeside Ballfields - FEMA","FY21-65","City Funds","Economic Development",,"738"
"2021","General Government","General Government","Chattanooga Zoo: African Expansion (A.O.)","FY21-21","City Funds","Economic Development",,"500000"
"2021","Public Works","Public Works","Brainerd Golf Course - FEMA","FY21-10","External","FEMA",,"3750"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","MBWWTP Oxygen Plant Upgrades","FY21-72","City Funds","Reserves",,"250000"
"2021","Fire Department","Fire Department","Station 15 Replacement","FY21-109","City Funds","Bonds",,"2050000"
"2021","Transportation","Transportation","Elder Mountain Road","FY21-41","City Funds","Other City Sources",,"937926"
"2021","Public Works","Public Works","Site Improvement Requirements for YFD Centers","FY21-107","City Funds","Reserves",,"100000"
"2021","Transportation","Transportation","8th Street and Broad Street Streetscape","FY21-3","City Funds","Economic Development",,"1600000"
"2021","Public Works","Public Works","Chattanooga Heritage House - FEMA","FY21-19","External","TEMA",,"17750"
"2021","Public Works","Public Works","Fleet Capital Infusion","FY21-45","City Funds","Economic Development",,"331269"
"2021","Public Works - Enterprise Funds","Water Quality","S Germantown Rd/Brainerd Rd - FEMA","FY21-104","External","TEMA",,"23368"
"2021","General Government","General Government","Tivoli Foundation Appropriation (A.O.)","FY21-119","City Funds","Economic Development",,"500000"
"2021","Transportation","Transportation","Hwy 58 Bicycle and Pedestrian Facilities Phase 2 (REQ)","FY21-58","External","TIP",,"80000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","CSOTF Equipment Replacement Program","FY21-34","City Funds","Operations",,"300000"
"2021","Public Works","Public Works","Lakeside Ballfields - FEMA","FY21-65","External","FEMA",,"4425"
"2021","Public Works - Enterprise Funds","Water Quality","USACE/FEMA Floodplain Culvert Replacement Projects","FY21-124","City Funds","Operations",,"100000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","Pump Station Improvements","FY21-97","City Funds","Reserves",,"2000000"
"2021","Public Works - Enterprise Funds","Interceptor Sewer System","West Tiftonia Sewer Connector Rehabilitation","FY21-126","City Funds","Operations",,"350000"
"2021","Public Works","Public Works","Parks, Playgrounds, Field Maintenance","FY21-84","City Funds","Economic Development",,"300000"
"2021","Police Department","Police Department","POWER to PROTECT: A Resilient Public Safety Microgrid Project, In Partnership with EPB","FY21-91","City Funds","Bonds",,"1300000"
"2021","Public Works","Public Works","Summit of Softball Complex - FEMA","FY21-115","External","FEMA",,"538613"
"2021","General Government","Information Technology","Business Continuity Assessment & Plan","FY21-14","City Funds","Economic Development",,"220000"
"2021","General Government","Information Technology","Citywide Security Cameras","FY21-29","City Funds","Economic Development",,"55493"
"2021","General Government","Information Technology","Citywide Security Cameras","FY21-29","City Funds","Reserves",,"100000"
"2021","East Chattanooga Rising","East Chattanooga Rising","East Chattanooga Rising Planning and Design","FY21-133","City Funds","Other City Sources",,"100000"
"2021","East Chattanooga Rising","East Chattanooga Rising","Hardy St. Extension","FY21-55","City Funds","Other City Sources",,"350000"
"2021","Fire Department","Fire Department","Station Capital Maintenance","FY21-110","City Funds","Economic Development",,"250000"
"2021","Transportation","Transportation","Traffic Signal Infrastructure Maintenance","FY21-120","City Funds","Economic Development",,"250000"
"2021","Economic and Community Development","Economic and Community Development","Neighborhood Reinvestment Fund (NRF)","FY21-79","City Funds","Economic Development",,"47000"
"2021","Public Works","Public Works","Golf Course Maintenance Equipment Replacement","FY21-51","City Funds","Economic Development",,"200000"
"2021","General Government","Information Technology","City Network Rebuild","FY21-26","City Funds","Economic Development",,"350000"
"2021","General Government","General Government","Erlanger Children's Hospital (A.O.)","FY-21-132","City Funds","Reserves",,"250000"
"2021","Economic and Community Development","Economic and Community Development","McKamey - Facility Repairs and Upgrades (A.O.)","FY21-76","City Funds","Economic Development",,"75000"
"2020","Public Works","Public Works","StringerÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢s Ridge Park Landslide (FEMA)","FY20-63","External","TEMA",,"275000"
"2020","Public Works","Public Works","StringerÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢s Ridge Park Landslide (FEMA)","FY20-63","City Funds","Economic Development",,"275000"
"2021","Economic and Community Development","Economic and Community Development","Alton Park Connector","FY21-7","City Funds","Bonds",,"500000"
"2021","Economic and Community Development","Economic and Community Development","Health, Education and Housing Facilities Board (Affordable Housing Fund) (A.O.)","FY21-6","City Funds","Economic Development",,"1000000"
"2020","Public Works","Public Works","StringerÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢s Ridge Park Landslide (FEMA)","FY20-63","External","FEMA",,"1650000"
"2021","Public Works","Public Works","1st Street Steps","FY21-1","External","Other External",,"379599"
