"zta_no","title","zta_file","ordinance_no","ordinance_file","analyst","sponsor_s","co_sponsor_s_","introduction_date","public_hearing_date","public_hearing_time","committee","worksession_date","worksession_date_2","worksession_date_3","worksession_date_4","worksession_date_5","worksession_date_6","worksession_date_7","worksession_date_8","action","adopted_date","disapproved_date","effective_date","amended_sections","comments"
"18-08","Site Plan Amendment - Solar Collection Systems","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-08.pdf","18-08","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20181002_18-48.pdf","Jeff Zyontz","Hucker",,"07/17/2018","09/11/2018","1:30","PHED","09/13/2018",,,,,,,,"Adopted as introduced","10/02/2018",,"10/22/2018",,
"18-09","Landscape Contractors - Rural Cluster Zone","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-09.pdf","18-49","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20181002_18-49.pdf","Jeff Zyontz","Hucker, Floreen",,"07/17/2018","09/11/2018","1:30","PHED","09/13/2018",,,,,,,,"Adopted as introduced","10/02/2018",,"10/22/2018",,
"18-10","Townhouse Living - Accessibility Tax Credit","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-10.pdf","18-50","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/20181002_18-50.pdf","Jeff Zyontz","Rice",,"07/24/2018","09/18/2018","1:30","PHED","09/20/2018",,,,,,,,"Adopted as introduced","10/02/2018",,"10/22/2018",,
"18-11","Telecommunications Towers - Limited Use","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2018/ZTA_18-11.pdf",,,"Jeff Zyontz","CP at request of CE",,"07/24/2018","09/11/2018","7:30",,,,,,,,,,"Expired",,,,,
"18-12","Setback Exemptions - Fences","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2018/ZTA_18-12.pdf","19-01","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190205_19-01.pdf","Jeff Zyontz","Riemer",,"12/11/2018","01/15/2019","1:30","PHED","01/28/2019",,,,,,,,"Adopted as introduced","02/05/2019",,"02/25/2019",,
"18-13","Regional Shopping Center Overlay Zone - Standards","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2018/ZTA_18-13.pdf","19-02","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190205_19-02.pdf","Jeff Zyontz","Riemer",,"12/11/2018","01/15/2019","1:30","PHED","01/28/2019",,,,,,,,"Adopted as introduced","02/05/2019",,"02/25/2019",,
"18-14","Farm Alcohol Production - Residential Zones","https://www.montgomerycountymd.gov//COUNCIL/Resources/Files/zta/2018/ZTA_18-14.pdf","19-03","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190212_19-03.pdf","Jeff Zyontz","Riemer, Rice",,"12/11/2018","01/15/2019","1:30","PHED","02/05/2019",,,,,,,,"Adopted","02/12/2019",,"03/04/2019",,
"19-01","Accessory Residential Uses - Accessory Apartments","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-01.pdf","19-06","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190723_19-06.pdf","Jeff Zyontz","Riemer",,"01/15/2019","02/26/2019","7:30","PHED","03/18/2019","03/25/2019","04/04/2019","06/18/0019","07/09/0019",,,,"Adopted as amended","07/23/2019",,"12/31/2019",,
"19-02","Clinics - Limited Use","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-02.pdf","19-04","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190312_19-04.pdf","Jeff Zyontz","Navarro, Rice",,"01/15/2019","02/26/2019","1:30","PHED","03/04/2019",,,,,,,,"Adopted as amended","03/12/2019",,"03/12/2019",,
"19-03","Commercial/Residential Zones - Animal Boarding and Care","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-03.pdf","19-05","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190408_19-05.pdf","Jeff Zyontz","CP at request of CE",,"02/05/2019","03/19/2019","1:30","PHED","04/01/2019",,,,,,,,"Adopted","04/08/2019",,"04/08/2019",,
"19-04","Animal Boarding and Care ? Residential Zones","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-04.pdf",,,"Jeff Zyontz","Navarro, Katz",,"05/14/2019","06/18/2019","1:30",,,,,,,,,,,,,,,
"19-05","Industrial Zones � Landscape Contractors","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-05.pdf","19-07","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/20190723_19-07.pdf","Jeff Zyontz","Hucker, Katz, Jawando, Navarro",,"05/23/2019","06/25/2019","1:30","PHED","07/15/2019",,,,,,,,"Adopted as amended","07/23/2019",,"07/23/2019",,
"19-06","Vape Shops",,"19-10",,"Amanda Mihill","Albornoz, Rice, Jawando, Navarro, Hucker, Riemer, Friedson, Katz, Glass",,"09/17/2019","11/05/2019","7:30","PHED","03/04/2020",,,,,,,,"Adopted as amended","03/31/2020",,"06/29/2020",,
"19-07","Telecommunications Towers � Limited Use","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-07.pdf","19-17",,"Livhu Ndou","Riemer, Albornoz, Rice",,"10/01/2019","11/19/2019","7:30","PHED","03/10/2021","06/19/2021","07/13/0021","07/20/0021",,,,,,"07/27/2021",,"08/16/2021",,
"19-08","Bicycle Parking- Requirements & Design Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-08.pdf","19-11",,"Jeff Zyontz","Council President Navarro at the Request of Planning Board",,"10/22/2019","12/03/2019","1:30","PHED","07/13/2020",,,,,,,,"Adopted as amended","07/21/2020",,"08/10/2020",,
"19-09","Prohibited Roof Signs - Exemptions","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2019/ZTA_19-09.pdf","19-09","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2020/20200204_19-09.pdf","Jeff Zyontz","Friedson",,"11/26/2019","01/14/2020","1:30","PHED","01/23/2020",,,,,,,,"Adopted as introduced with technical correction","02/04/2020",,"02/04/2020",,
"20-01","Solar Collection System � AR Zone Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2020/ZTA_20-01.pdf","19-14",,"Jeff Zyontz","Riemer, Hucker, Rice",,"01/21/2020","03/03/2020","1:30","PHED","01/14/2021","01/26/2021",,,,,,,"Adopted","02/23/2021",,"03/15/2021",,
"20-02","Accessory Structures - Standards","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2020/ZTA_20-02.pdf",,,,"Friedson, Jawando",,"01/28/2020","03/03/2020","1:30","PHED",,,,,,,,,,,,,,
"20-03","Townhouse Living - Conditional Use Standards",,,,"Livhu Ndou","Riemer",,"09/29/2020","11/10/2020","1:30","PHED",,,,,,,,,,,,,,"Waiting on stakeholders to coordinate review of the ZTA"
"20-04","Farming Defined � Accessory Mulching and Composting",,"19-13","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2021/20210209_19-13.pdf","Livhu Ndou","Glass, Friedson, Navarro, Rice, Riemer, Albornoz, Jawando, Katz, Hucker",,"10/27/2020","12/01/2020","1:30","PHED","01/25/2021",,,,,,,,"Adopted","02/09/2021",,"02/09/2021",,
"20-05","Commercial/Residential Zones � Additional Height",,,,"Livhu Ndou","Hucker, Riemer",,"11/10/2020","01/19/2021","1:30","PHED","11/01/2021","11/09/2021",,,,,,,,,,,,"Waiting for additional Planning analysis � schedule meeting with Ben Berbert, Lisa Govoni, Jason Sartori, and Elza Hisel-McCoy"
"20-06","Surface Parking � Residential Zones",,"19-15","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2020/20210316_19-15.pdf","Livhu Ndou","Hucker, Riemer, Friedson",,"11/10/2020","01/19/2021","1:30","PHED","03/10/2021",,,,,,,,"Adopted as amended","03/16/2021",,"03/16/2021",,
"20-07","R-60 Zone � Use and Standards",,,,"Livhu Ndou","Jawando",,"12/08/2020","02/11/2021","1:30","PHED",,,,,,,,,,,,,,"Hans put out an alternative and request to move forward after Thrive 2050"
"20-08","Residential Care Facility ? Continuing Care Retirement Community",,"19-16","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2020/20210511_19-16.pdf","Livhu Ndou","Council President at Request of the Planning Board",,"12/08/2020","01/19/2021","1:30","PHED","04/05/2021","05/11/2021",,,,,,,"Adopted as amended","05/11/2021",,"05/31/2021",,
"21-01","Sign Ordinance - Bus Shelter Advertising",,"19-19","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2021/20210727_19-19.pdf","Livhu Ndou","Council President at the request of the County Executive",,"03/02/2021","04/06/2021","1:30","PHED","06/23/2021","07/20/2021",,,,,,,"Adopted as amended","07/27/2021",,"07/27/2021",,
"21-02","Independent Living",,"19-20","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2021/20210921_19-20.pdf","Livhu Ndou","Friedson, Katz, Hucker",,"06/15/2021","07/20/2021","1:30","PHED","07/28/2021","09/21/2021",,,,,,,"Adopted as amended","09/21/2021",,"10/11/2021",,
"21-03","Charity Kitchen",,"19-21","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2021/20210921_19-21.pdf","Livhu Ndou","Friedson",,"06/15/2021","07/20/2021","1:30","PHED","07/28/2021","09/21/2021",,,,,,,"Adopted as amended","09/21/2021",,"10/11/2021",,
"21-04","Germantown Churchill Village Overlay Zone",,"19-23","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2021/20211019_19-23.pdf","Livhu Ndou","Council President at Request of the Planning Board",,"07/20/2021","09/14/2021","1:30","PHED","09/27/2021","10/19/2021",,,,,,,"Adopted","10/19/2021",,"11/09/2021",,
"21-05","RVC Overlay - Auto Repair",,"19-24","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2021/20211102_19-24.pdf","Livhu Ndou","Glass",,"07/27/2021","09/14/2021","1:30","PHED","10/25/2021","11/09/2021",,,,,,,"Adopted as amended","11/09/2021",,"11/09/2021",,
"21-06","Histoir Resources Density Transfer",,"19-25","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2022/20220118_19-25.pdf","Livhu Ndou","Council President at Request of the Planning Board",,"09/28/2021","11/02/2021","1:30","PHED","12/13/2021","01/18/2022",,,,,,,"Adopted as amended","01/18/2022",,"02/09/2022",,
"21-07","MPDU Density and Height",,"19-26","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2022/20220118_19-26.pdf","Livhu Ndou","Hucker, Riemer",,"10/05/2021","11/09/2021","1:30","PHED","12/13/2021","01/18/2022",,,,,,,"Adopted as amended","01/18/2022",,"02/09/2022",,
"21-08","Landscape Contractors",,,,"Livhu Ndou","Hucker",,"10/19/2021","11/30/2021","1:30","PHED",,,,,,,,,,,,,,"Withdrawn"
"21-09","Biotech",,"19-27","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2022/20220215_19-27.pdf","Livhu Ndou","Friedson",,"10/19/2021","11/30/2021","1:30","PHED","01/31/2022","02/15/2022",,,,,,,"Adopted as amended","02/25/2022",,"03/07/2022",,
"21-10","Accessory Structures",,"19-29","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2022/20220308_19-29.pdf","Livhu Ndou","Jawando, Friedson, DPS",,"11/16/2021","01/18/2022","1:30","PHED","02/07/2022","03/08/2022",,,,,,,"Adopted","03/08/2022",,"03/28/2022",,
"21-11","Sandy Spring Ashton Rural Village Overlay Zone",,"19-30","https://www.montgomerycountymd.gov/COUNCIL/Resources/Files/zta/2022/20220308_19-30.pdf","Livhu Ndou","Council President at Request of the Planning Board",,"12/14/2021","01/18/2022","1:30","PHED","02/07/2022","03/08/2022",,,,,,,"Adopted","03/08/2022",,"03/28/2022",,
"22-01","Antenna on Existing Structures",,,,,"Riemer",,"02/15/2022","07/12/2022",,,,,,,,,,,,,,,,"Hans would like to postpone PH to July"
"22-02","Density, Height, Parking for Biohealth",,,,,"Friendson",,"03/15/2022","05/10/2022",,,,,,,,,,,,,,,,
