"company","fund","cost_center","grant","program_hierarchy_level_2","program_hierarchy_level_3","program_hierarchy_level_4","program_hierarchy_level_5","program","project","business_unit","ledger_account","spend_category_as_worktag","supplier_as_worktag","accounting_date","fiscal_year","ledger_budget_debit_minus"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.42"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","12.31"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","36.40"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","17.55"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","52.82"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","4.10"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","283.08"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.34"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","172.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","33.15"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","7.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.18"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.78"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","100.34"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","362.18"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.82"
"Prosecuting Attorney","001-00 Current Expense Fund","Misdemeanor Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","68.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","11.05"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","195.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.02"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","100.44"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","585.80"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","1.15"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.69"
"Prosecuting Attorney","001-00 Current Expense Fund","Juvenile Prosecution",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","47.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","104.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","14.78"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.47"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.35"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","3.46"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","125.45"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","30.65"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","112.92"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.35"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","19.21"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","82.13"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","63.47"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.89"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","82.54"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","9.63"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","28.31"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","239.46"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.67"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.97"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","195.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","85.38"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","170.35"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","468.64"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","58.72"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-07 Maintain Homeless Supports and Shelter Capacity","56540P0 Homeless Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","1.94"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","41.16"
"Human Services","133-00 Housing and Homeless Fund","Homeless Admin",,"Pierce County Programs","CARES Act Programs","Community Response and Resilience",,"Housing Stability and Homelessness","CARES-09 Rental Assistance","56540P0 Homeless Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","6.62"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.74"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","64.59"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","125.55"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","376.70"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.54"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","72.64"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","30.86"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","7.22"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.96"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.56"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.52"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","5.19"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","162.70"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","46.03"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.59"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","22.19"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","195.24"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.13"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","24.31"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","1.09"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","75.27"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.36"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.11"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","9.68"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","4.67"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","48.12"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","2.75"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","1.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","100.44"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501200:Overtime, Special Pay",,,"2020-07-12T00:00:00.000","FY2020","585.80"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","11.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","1.15"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","128.06"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","195.25"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","0.94"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502180:Benefits - State Family Medical Leave",,,"2020-07-12T00:00:00.000","FY2020","0.10"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.11"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","26.22"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","501100:Salaries & Wages",,,"2020-07-12T00:00:00.000","FY2020","65.08"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502040:Benefits - Retirement",,,"2020-07-12T00:00:00.000","FY2020","8.37"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502010:Benefits - Workers Compensation",,,"2020-07-12T00:00:00.000","FY2020","0.29"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502030:Benefits - Fica",,,"2020-07-12T00:00:00.000","FY2020","4.04"
"Prosecuting Attorney","001-00 Current Expense Fund","Prosecutor Criminal",,"Pierce County Programs","CARES Act Programs","Essential Government Services",,"Support for COVID Response Activities of Pierce County Governments",,"51530P0 Legal Services","502190:Benefits - PEBB",,,"2020-07-12T00:00:00.000","FY2020","140.76"
