"the_geom","objectid","propertyid","name","parktype","parkclass","address","postalcity","zipcode","owner","manager","parkhours","acresimproved","acresunimproved","parkweblink","altweblink","ispublicaccessible","maplabel","gisacres","restroom","adacomply","parking","paved_trail","unpaved_trail","trailhead","community_center","picnic","playground","dog_park","baseball","basketball","multipurpose","golf","beach","fishing","boat_launch","skate","tennis","bmx","climbing","equestrian","disc_golf","ice_rink","qtr_midget_track","parksize","description","visibleinapp","camping"
"POINT (-122.549651440688 47.251310886016)","216","341","Titlow Park, Community Center and Lodge","Community Center","Special Use","8425 6th Ave","Tacoma","98465","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","76.1318","0","http://www.metroparkstacoma.org/titlow-park",,"1","Titlow Park, Community Center and Lodge","86.88118931",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.438349449997 47.176623499034)","93","174","Fern Hill","Park","Local","502 South 88TH Street","Tacoma","98444","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.02","0","http://www.metroparkstacoma.org/fern-hill-park",,"1","Fern Hill","2.00509598",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.480028875188 47.246320959882)","102","189","Franklin Park","Park","Local","1201 Puget Sound","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","23.08","0","http://www.metroparkstacoma.org/franklin-park","http://www.metroparkstacoma.org/page.php?id=660","1","Franklin Park","19.91144975",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.227172928028 47.115284656517)","340","2674","Foothills Trail- McMillin to Orting","Trail","Linear Park","401 Washington Av SE","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","19","0","https://www.piercecountywa.org/2340/McMillin-to-Orting",,"1","Foothills Trail- McMillin through Orting","19.46269151","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","0","The McMillin Trailhead is a popular starting spot for bikers, skaters and stroller pushers. Most of this 2.3 mile section is parallel to SR 162.","Yes",
"POINT (-122.470627046177 47.277599805743)","78","150","Dickman Mill Park","Park","Local","2423 Ruston Way","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","8.79","0","http://www.metroparkstacoma.org/dickman-mill-park",,"1","Dickman Mill Park","8.79915417",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.464405782896 47.276303643272)","171","280","Old Town Dock","Pier","Local","McCarver and Ruston Way","Tacoma","98402","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.96","0","http://www.metroparkstacoma.org/old-town-dock",,"1","Old Town Dock","2.74977574",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.13529572278 47.115142330875)","342","375","Foothills Trail- Orting to South Prairie","Trail","Linear","Washington Ave SE","Orting","98360","Pierce County","City of Orting","Dawn to Dusk (unless otherwise posted)","119.69","0","https://www.piercecountywa.org/2341/Orting-to-South-Prairie",,"1","Foothills Trail- Orting to South Prairie Section","125.78907556","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","0","This diverse section of trail, at almost 11 miles, is the longest section of the Foothills route. There are three rest stops and all of them have been acquired through private gifts. This section includes a cattle farm and a buffalo ranch, but the real f","Yes",
"POINT (-122.47135633282 47.178419348663)","227","359","Wards Lake Park","Park","Local","2716 84th St S","Lakewood","98499","City of Lakewood","City of Lakewood","7:30am - 9:00pm or sunset, whichever comes first","11.97","13.17","http://www.cityoflakewood.us/government/departments/parks-and-recreation/lakewood-parks#Wards Lake Park",,"1","Wards Lake Park","27.8026368",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.443894585676 47.2267886083)","146","249","Lincoln Park","Park","Local","S 37th St At S Thompson Ave","Tacoma","98418","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0","9.75","http://www.metroparkstacoma.org/lincoln-park",,"1","Lincoln Park","9.74695612",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.070343867981 47.136915051208)","343","373","Foothills Trail- South Prairie to Buckley","Trail","Linear",,"Orting","98360","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (unless otherwise posted)","68","0","https://www.piercecountywa.org/2342/South-Prairie-to-Buckley",,"1","Foothills Trail- Buckley to South Prairie Section","69.13506995","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0","This trail section extends from South Prairie Creek in the Town of South Prairie to Buckley. The main stem now stops at South Prairie, about three miles short of its planned end point on the edge of Buckley.","Yes",
"POINT (-122.666602740601 47.277294926034)","304","2767","Demolay Sandspit Nature Preserve","Park","Resource Conservancy","55 Bella Bella Dr","Fox Island","98333","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","Dawn to Dusk","0","5.5","https://penmetparks.org/parks/demolay-sandspit-nature-preserve/",,"1","Demolay Sandspit Nature Preserve","4.4","yes",,"yes",,"yes",,,"yes",,,,,,,"yes",,,,,,,,,,,"5.5",,"No",
"POINT (-122.603503964288 47.169906393197)","285","1897","Perkins Park","Park","Local","Union & Martin St","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0.5","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#perkins",,"1","Perkins Park","0.52867293",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.098081366593 47.135375339549)","280","1891","Third Street Park","Park","Local","3rd Street SW","South Prairie","98385","White River School District","Town of South Prairie","Dawn to Dusk","9.7","0","http://www.townofsouthprairie.com/parks.htm",,"1","Third Street Park","9.71962412",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.497792798502 47.237757431664)","32","86","Cheney Stadium","Stadium","Special Use","2502 S Tyler St","Tacoma","98405","City of Tacoma","City of Tacoma",,"25.6","0","http://www.cityoftacoma.org/Page.aspx?hid=3052",,"1","Cheney Stadium","20.42330651",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.455645744061 47.195983992231)","225","356","Wapato Park","Park","Regional","6500 S Sheridan Av","Tacoma","98408","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","85.0535","0","http://www.metroparkstacoma.org/wapato-park",,"1","Wapato Park","90.10284706",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.443435804859 47.305508722439)","21","74","Browns Point Lighthouse Park","Park","Local","201 Tulalip Street NE","Tacoma","98422","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","5","0","http://www.metroparkstacoma.org/browns-point-lighthouse-park",,"1","Browns Point Lighthouse Park","4.35627292",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.508914058294 47.17401254535)","1","28","Lakewood Community Center","Community Center","Special Use","9112 Lakewood Dr SW","Tacoma","98499","Pierce County","Pierce County Parks and Recreation Services","See website","3.63","0","https://www.co.pierce.wa.us/1305/Lakewood-Community-Center",,"1","Lakewood Community Center","3.63169297","Yes","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","3.71","The Lakewood Community Center is a multipurpose center, that includes a college-sized gymnasium, meeting rooms, and the Lakewood Senior Activity Center.","Yes",
"POINT (-122.453749770498 47.22914453061)","192","309","Sawyer Tot Lot","Park","Local","3315 S Sawyer St","Tacoma","98418","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","0.505","0","http://www.metroparkstacoma.org/sawyer-tot-lot",,"1","Sawyer Tot Lot","0.49783725",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.55890878832 47.278109580993)","359","803","Tubby's Trail Dog Park","Park","Special Use","2120 14th Ave NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","Dawn to dusk","9",,"https://penmetparks.org/parks/tubbys-trail-dog-park/",,"1","Tubby's Trail Dog Park","8.5","yes",,"yes",,,,,"yes",,"yes",,,,,,,,,,,,,,,,"8.5",,"no",
"POINT (-122.548382478614 47.224254675402)","60","119","Colegate Park","Park","Undeveloped Sites","35th St W & Crestview Drive West","University Place","98466","City of University Place","City of University Place","Dawn to Dusk","0","12","http://cityofup.com/Media/file/ParksAndRec/Park%20location_descript%202011.pdf",,"1","Colegate Park","11.84409573",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.650969647992 47.273934990305)","217","343","Towhead Island Boat Launch","Beach","Regional","3rd Avenue Fi & 3rd Court Fi (Fox Island Bridge)","Fox Island","98333","U.S. Federal Government","U.S. Federal Government","Dawn to Dusk","0.33","0",,"http://www.foxislandwa.net/boat_launch.htm","1","Towhead Island Boat Launch","0.32345282",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.292911279376 47.196062622071)","108","195","Grayland Park","Park","Local","601 North Meridian","Puyallup","98372","City of Puyallup","City of Puyallup","8 am to Dusk","2.3383","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/grayland-park/",,"1","Grayland Park","2.35927162",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.579392023955 47.346174137817)","272","1870","BMX Park","Park","Local","9702 Crescent Valley Road","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","1.488","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","BMX Park","1.48830566",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.511963589286 47.234540396145)","96","179","Fircrest Park","Park","Local","471 Electron Way","Tacoma","98466","City of Fircrest","City of Fircrest","Dawn to Dusk (unless otherwise posted)","7.35","0",,,"1","Fircrest Park","7.64503054",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.617329945059 47.298296798625)","237","369","Wollochet Bay Estuary","Wildlife Habitat","Resource Conservancy","4415 Wollochet Dr NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","0","20","https://penmetparks.org/parks/wollochet-bay-estuary/",,"1","Wollochet Bay Estuary","20",,,,,,,,"yes",,,,,,,"yes",,,,,,,,,,,"20",,"No",
"POINT (-122.316740505379 47.247189606812)","219","346","Milton Community Park","Park","Local","1101 MILTON WY","Milton","98354","City of Milton","City of Milton","Dawn to Dusk (unless otherwise posted)","7.0527","0","http://www.cityofmilton.net/page.php?id=97",,"1","Milton Community Park","9.09294626",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.500005753699 47.241139406219)","112","201","Heidelberg Davis Park","Park","Local","1902 S Tyler St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk | Special arrangement can be made for leagues.","22.28","0","http://www.metroparkstacoma.org/heidelberg-davis-athletic-complex",,"1","Heidelberg Davis Park","34.47449886",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.492101602917 47.257164836756)","122","214","Jefferson Park","Park","Local","801 N Mason Ave","Tacoma","98406","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","14.2","0","http://www.metroparkstacoma.org/jefferson-park",,"1","Jefferson Park","13.76316102",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.649239615699 47.098844590519)","266","1859","DuPont PowderWorks Park","Park","Local","1775 Bobs hollow Ln","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","24","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","DuPont PowderWorks Park","24.08902247",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.093448818634 47.13975972491)","281","1892","Veterans Park","Park","Local","354 162 Hwy E","South Prairie","98385","Town of South Prairie","Town of South Prairie","Dawn to Dusk","2.15","0","http://www.townofsouthprairie.com/parks.htm",,"1","Veterans Park","2.16100295",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.560215680927 47.222285014637)","291","2643","Brookside Park","Park","Undeveloped Sites","Brookside Wy W","University Place","98466","City of University Place","City of University Place","Dawn to Dusk","0","2.7",,,"1","Brookside Park","2.59019273",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.581564873154 47.330738293616)","123","215","Jerisich Dock & Skansie Brothers Park","Pier","Local","3207 HARBORVIEW DR","Gig Harbor","98335","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk (unless otherwise posted)","14.2","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Jerisich Dock & Skansie Brothers Park","2.1391134",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.296023739142 47.123877761959)","89","169","Meridian Habitat Park","Community Center","County","14422 Meridian East","Puyallup","98375","Pierce County","Pierce County Parks and Recreation Services","Hours vary call Cara at 253-841-8515","31.75","0","https://www.co.pierce.wa.us/1329/Meridian-Habitat-Park-Community-Center",,"1","Meridian Habitat Park","36.39038688","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","35.67","Known to locals as the Amphitheatre, Meridian Habitat Park is a 36-acre park that includes a community center, nature playground, dog park, amphitheater, walking paths, and a variety of wildlife habitat.","Yes",
"POINT (-122.434694658214 47.300315118063)","314","237","Meeker Memorial","Park","Local","Le Lou Wa Pl NE At East Side Dr NE","Tacoma","98422","Not Specified","Not Specified","Dawn to Dusk (unless otherwise posted)","0.1598","0",,,"1","Meeker Memorial","0.15983489",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.212114185722 47.245318403402)","287","1900","Sunset Park","Park","Local","1306 69th St E","Auburn","98092","City of Auburn","City of Auburn","Dawn to Dusk","15","0","http://www.auburnwa.gov/community/parks/sunset_park.asp",,"1","Sunset Park","14.779093",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.585724354981 47.322923076104)","258","1850","Civic Center Green","Park","Local","3510 Grandview Street","Gig Harbor","98335","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","3.344","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Civic Center Green","3.34417743",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.585994922634 47.322095419414)","259","1851","Skate Park","Skate Park","Special Use","3510 Grandview Street","Gig Harbor","98335","City of Gig Harbor","City of Gig Harbor","Dawn to Dusk","2.7","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Skate Park","7.12304519",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.532969321238 47.232384493243)","4","56","Adriana Hess Wetland Park","Park","Resource Conservancy","2917 Morrison Ave W","University Place","98466","City of University Place","City of University Place","Tuesday - Saturday 10 AM - 2:30 PM","0","2","http://www.tahomaaudubon.org/Default.aspx?pageId=30304",,"1","Adriana Hess Wetland Park","3.31693522",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.675662306766 47.309990562868)","276","1875","Kopachuck Heights","Park","Undeveloped Sites","5615 Kopachuck Dr Nw","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District",,"0","18.5","https://penmetparks.org/parks/kopachuck-heights/",,"1","Kopachuck Heights","18.42215125",,,,,"yes",,,,,,,,,,,,,,,,,,,,,"18.5",,"no",
"POINT (-122.206073021374 47.09828915898)","295","2676","North Park","Park","Linear Park","101 Washington Av N","Orting","98360","City of Orting","City of Orting","Dawn to Dusk (unless otherwise posted)","1.38","0","http://www.cityoforting.org/Parks___Recreation.php",,"1","North Park","1.3840954",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.462402799712 47.235710387888)","119","210","Irving Park","Park","Local","1902 S 25th St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","4.318","0","http://www.metroparkstacoma.org/irving-park",,"1","Irving Park","4.31746877",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.600655470443 47.339822704729)","67","131","Cushman Powerline Trail","Trail","Linear Park","Kimball Dr At Hunt St, Reed Rd & 28th St","Gig Harbor","98335","Tacoma Public Utilities","Peninsula Metropolitan Park District","Dawn to Dusk","31.91","0","https://penmetparks.org/parks/cushman-powerline-trail/",,"1","Cushman Powerline Trail","52.81122182","yes",,"yes","yes",,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-121.716286730689 46.878525641575)","315","263","Mt. Rainier National Park","Park","Regional","Tahoma Woods, Star Route","Ashford","98304","U.S. Federal Government","U.S. Federal Government","Varies with Season","0","199580","http://www.nps.gov/MORA/index.htm",,"1","Mt. Rainier National Park","199580.268938","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","0","Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the","Yes","Yes"
"POINT (-122.343505497166 47.227012147509)","18","71","Brookville Gardens Park","Park","Undeveloped Sites","6518 Valley Ave E","Fife","98424","City of Fife","City of Fife","Not yet accessible to the public; Tentatively Opening 2014","0","17",,,"1","Brookville Gardens Park","16.17052587",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.459334175503 47.243372686778)","207","328","Stanley Playfield","Playfield","Local","1712 S 19th St","Tacoma","98405","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","6.8066","0","http://www.metroparkstacoma.org/stanley-playfield",,"1","Stanley Playfield","6.80667282",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.527728244311 47.230924398851)","290","2642","Paradise Pond Park","Park","Undeveloped Sites","3124 67TH AV W","University Place",,"City of University Place","City of University Place","Dawn to Dusk (unless otherwise posted)","0","9.5","http://cityofup.com/Media/file/ParksAndRec/WHERE%20ARE%20OUR%20PARKS%202011.pdf",,"1","Paradise Pond Park","9.73570635",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.496631561039 47.196179079525)","152","257","Manitou Park","Park","Local","4421 American Lake Blvd","Tacoma","98409","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","6.846","0","http://www.metroparkstacoma.org/manitou-park",,"1","Manitou Park","6.8523719",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.642933762799 47.091265164095)","264","1857","Ross Park","Park","Local","1500 Wilmington Dr","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.83","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Ross Park","0.83821153",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.609174948188 47.30798341268)","362","806","Peninsula Gardens","Park","Special Use","5003 Wollochet Dr NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District",,"9",,"https://penmetparks.org/parks/peninsula-gardens/",,"1","Peninsula Gardens","8.89","yes",,"yes",,,,"yes","yes",,,,,,,,,,,,,,,,,,"9",,"no",
"POINT (-122.582098813059 47.18016574085)","320","1896","Manitoba Park","Park","Local","Queets St and Manitoba Av","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","0.293","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#manitoba",,"1","Manitoba Park","0.27592657",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.305663287425 47.209543217179)","180","293","Puyallup Valley Sports Complex","Rec Area","Regional","820 Valley Avenue NW","Puyallup","98371","City of Puyallup","City of Puyallup","8 am - 11:00 pm (seasonal)","24.94","0","http://www.cityofpuyallup.org/services/parks-recreation/city-puyallup-parks/puyallup-valley-sports-complex/",,"1","Puyallup Valley Sports Complex","25.14713044",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.611451460507 47.159074105292)","284","1895","Cormorant Park","Park","Local","Cormorant Dr and Chapman Lp","Steilacoom","98388","Town of Steilacoom","Town of Steilacoom","Dawn to Dusk","1.613","0","http://www.townofsteilacoom.com/activities/parks_recreation.htm#cormorant",,"1","Cormorant Park","1.61264276",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.579174601028 47.189044970589)","147","250","Chambers Creek Regional Park","Park","Regional","10311 Chambers Creek Rd W","University Place","98467","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk","0","41","http://www.co.pierce.wa.us/1363/Chambers-Creek-Regional-Park",,"1","Chambers Creek Regional Park","92.38204746","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","185","This is part of the Chambers Creek Regional Park complex, which includes 730-acres of park, golf course and canyon trails. The parks includes includes over two miles of saltwater shoreline and breathtaking mountain and Puget Sound views.","Yes",
"POINT (-122.689664731783 47.168657622691)","149","253","Lowell Johnson Park","Park","Local","9717 114TH AV AI","Anderson Island","98303","Anderson Island Park District","Anderson Island Park District","7 am to 10:30 pm","6.56","0","http://www.andersonislandparks.org/Lowell_Johnson_Park.html",,"1","Lowell Johnson Park","6.48124509",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.267061744897 46.868740708915)","307","2771","Town Square","Park","Local","132 Mashell Ave N","Eatonville","98328","Town of Eatonville","Town of Eatonville","No hours set","0","0",,,"1","Town Square","0.16766568",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.348721503798 47.227178014158)","270","1866","5 - Acre Park","Park","Local","6335 Radiance Blvd E","Fife","98424","City of Fife","City of Fife","Dawn to Dusk","5.16","0","http://www.cityoffife.org/?p=city_departments&a=parks_and_recreation&b=city_parks",,"1","5 - Acre Park","5.16965097",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.687777269533 47.320861080334)","68","132","Cutts Island State Park","Park","Resource Conservancy","N/A","Gig Harbor","98335","State of Washington","Washington State Parks","8 am to Dusk","0","5.5","http://www.parks.wa.gov/parks/?selectedpark=Cutts%20Island&subject=all",,"1","Cutts Island State Park","5.29886629",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.426552923583 47.319248762736)","70","136","Dash Point Park","Park","Local","1425 Beach Drive NE","Tacoma","98422","City of Tacoma","Metro Parks Tacoma","Dawn to Dusk","2.9234","0","http://www.metroparkstacoma.org/dash-point-park",,"1","Dash Point Park","2.89460295",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.673912696006 47.390848762575)","352","390","Gateway Park","Park","Local Park","10405 SR 302","Gig Harbor","98329","Key Pen Parks","Key Pen Parks","Daylight hours","39","34","https://www.keypenparks.com/gateway-park.html",,"1","Gateway Park","72","Yes",,"Yes",,,"Yes",,"Yes","Yes","Yes",,,,,,,,,,,,,,,,"72",,"no",
"POINT (-122.444591285116 47.115165701657)","28","82","Spanaway Park","Park","Regional","14905 Bresemann Blvd S (and Military Road S)","Spanaway","98387","Pierce County","Pierce County Parks and Recreation Services","Dawn to Dusk (unless otherwise posted)","68.13","0","https://www.co.pierce.wa.us/1336/Spanaway-Park",,"1","Spanaway Park","73.77275454","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","88.87","This 89-acre park is part of Spanaway Regional Park. The Park follows the east shoreline of Spanaway Lake and includes swimming beaches, boat launch, picnic shelters, playground, walking paths, and year-round activities.","Yes",
"POINT (-122.594218776873 47.337786837192)","273","1871","Donkey Creek Park","Park","Local","8714 North Harborview Dr","Gig Harbor","98332","City of Gig Harbor","City of Gig Harbor","http://www.cityofgigharbor.net/page.php?id=699#Cushman Trail","1.372","0","http://www.cityofgigharbor.net/page.php?id=699",,"1","Donkey Creek Park","1.3990155",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.038758436715 47.102086660411)","344","2760","Foothills Trail- Town of Wilkeson","Trail","Linear Park","Quinnon Ext Rd E","Wilkeson","98396","Town of Wilkeson","Town of Wilkeson","Dawn to Dusk (unless otherwise posted)","0","9.42",,,"1","Foothills Trail- Town of Wilkeson","9.7752299","No","No",,"Yes","No","No","No","No","No",,"No","No","No","No","No","No","No","No",,"No",,"No",,,,"0",,"No",
"POINT (-122.64406218591 47.107406585807)","327","3114","Creekside Neighborhood Park","Park","Local","1610 Sequalitchew Dr","DuPont","98327","City of DuPont","City of DuPont","Dawn to Dusk","0.53","0","http://www.ci.dupont.wa.us/public-works/parks-recreation/city-parks.html",,"1","Creekside Neighborhood Park","0.56165111",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.563229659498 47.343464041611)","64","124","Sunrise Beach / Doc Weathers Park","Park","TBD","10015 Sunrise Beach Drive NW","Gig Harbor","98332","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","Dawn to Dusk","89","80","http://www.co.pierce.wa.us/pc/abtus/ourorg/parks/Sunrise.htm",,"1","Sunrise Beach / Doc Weathers Park","88.72396672",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.166829458618 47.189942634901)","16","69","Allan Yorke Park","Park","Local","7203 West Tapps Hwy E","Bonney Lake","98391","City of Bonney Lake","City of Bonney Lake","Dawn to Dusk","22","0","http://www.ci.bonney-lake.wa.us/section_community/parks_recreation/city_parks.shtml#maps",,"1","Allan Yorke Park","21.5796705",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"No",
"POINT (-122.683985515971 47.309836822113)","128","220","Kopachuck State Park","Park","Resource Conservancy","11101 56TH ST NW","Gig Harbor","98335","State of Washington","Washington State Parks","Summer: 8 a.m. to dusk. | Winter: 8 a.m. to dusk; day use only.","0","109","http://www.parks.wa.gov/parks/?selectedpark=Kopachuck&subject=all",,"1","Kopachuck State Park","103.89755233","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","280","Snug in the curve of Carr Inlet a half-hour from Tacoma, Kopachuck State Park is an easy jaunt from South Puget Sound and the Kitsap Peninsula, and a lovely stop on an outing to Gig Harbor.","no","No"
"POINT (-122.565252681053 47.267527583355)","45","104","Narrows Park","Park","Local","1502 Lucille Parkway NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","35",,"https://penmetparks.org/parks/narrows-park/",,"1","Narrows Park","36.10843748","yes",,"yes","yes",,,,"yes",,,,,,,"yes","yes","yes",,,,,,,,,"35",,"No",
"POINT (-122.666884856532 47.289460492857)","53","112","Hales Pass Park","Park","Local","3507 Ray Nash Dr NW","Gig Harbor","98335","Peninsula Metropolitan Park District","Peninsula Metropolitan Park District","7 am to dusk","3.67","0","https://penmetparks.org/parks/hales-pass-park/",,"1","Hales Pass Park","4.0226101","yes",,,,,,"yes","yes",,,"yes",,,,,,,,"yes",,,,,,,"4",,"No",
"POINT (-122.566651494265 47.183440209476)","247","383","Fort Steilacoom Disc Golf Course","Park","Special Use","8202 87th Ave SW","Lakewood","98498","State of Washington","Washington State Department of Fish and Wildlife","Dawn to Dusk","105","0",,,"1","Fort Steilacoom Disc Golf Course","82.74256086","Yes",,"Yes","No","yes","No","No","No","No","No","no","No","No","no","No","No","No","No","No","No","No","No","yes","No","No","81.92",,"no",
