"fiscal_year","budget_unit","program","department","division","description","state_program","account","actual_amount","fund","project_id"
"2020","MAINT - MUNI PARKING LOTS","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","SEALCOAT PAVING-LOTS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","50000","PARKING FACILITY CONSTRUC",
"2020","N GRANDVIEW ESTATES ROAD","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N GRANDVIEW ESTATES ROAD","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","15000","STREET CONSTRUCTION",
"2020","AIRPORT MASTER PLAN","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT MASTER PLAN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","5559855","AIRPORT CONSTRUCTION",
"2021","HAM HOUSE - PAINT","CULTURE AND REC - CAP","PARK DIVISION","NONE","HAM HOUSE - PAINT","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","4318.81","SALES TAX CONSTRUCTION",
"2020","TWIN RIDGE LIFT ST ABANDO","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TWIN RIDGE LIFT ST ABANDO","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","14998.13","SANITARY SEWER CONSTRUCTI",
"2020","BEE BRANCH CREEK RESTORAT","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","BEE BRANCH ALIGNMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","407201.94","SALES TAX INCREMENT",
"2020","MAUS PARK CULVERT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","MAUS PARK CULVERT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","137960","STORM WATER CONSTRUCTION",
"2020","HOMEOWNERSHIP GRANTS-TARG","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOMEOWNERSHIP GRANTS-TARG","CAPITAL-GOV FUNDS","GRANTS","267544","GENERAL CONSTRUCTION",
"2020","STREET LIGHT REPLACEMENT","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET LIGHT REPLACEMENT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","31481","SALES TAX CONSTRUCTION",
"2020","AIRPORT JET CENTER DOORS","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT JET CENTER DOORS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","30000","AIRPORT CONSTRUCTION",
"2021","CATFISH CRK WATERSHED PRT","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATFISH CRK WATERSHED PRT","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","769.63","STORM WATER CONSTRUCTION",
"2020","HUD RESILIENCY","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HUD RESILIENCY","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","4411445","HUD DISASTER RELIEF",
"2020","EPWP TRANSFORMER SAFETY","BUSINESS TYPE - CAPITAL","WATER","WATER PLANT","EPWP TRANSFORMER SAFETY","CAPITAL-ENTERPRISE","CONST CONTRACT-BLDG","17770","WATER CONSTRUCTION",
"2021","CHAPLAIN SCHMITT VETS MEM","CULTURE AND REC - CAP","PARK DIVISION","NONE","CHAPLAIN SCHMITT VETS MEM","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","2423983.75","GENERAL",
"2020","CHI","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","CHI","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","15756","GENERAL CONSTRUCTION",
"2020","MIDTOWN TRANSFER RELOC","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","MIDTOWN TRANSFER RELOC","CAPITAL-ENTERPRISE","MISCELLANEOUS SERVICES","566","TRANSIT",
"2020","UNDISTRIBUTED","NONE","NONE","NONE","UNDISTRIBUTED","NO DESCRIPTION","TO SALES TAX CONSTRUCTION","51710","SALES TAX CONSTRUCTION",
"2021","WESTBROOK PARK DEVELOPMEN","CULTURE AND REC - CAP","PARK DIVISION","NONE","WESTBROOK PARK DEVELOPMEN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","194000","SALES TAX CONSTRUCTION",
"2022","IEDA CDBG-CV GRANT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","IEDA CDBG-CV GRANT","CAPITAL-GOV FUNDS","GRANTS","521469","STATE CDBG",
"2021","KERPER SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","KERPER SANITARY","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","1174.98","SANITARY SEWER CONSTRUCTI",
"2020","HUD RESILIENCY ENGINEER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","15401536.71","STORM WATER CONSTRUCTION",
"2020","PURINA DRIVE FLOODWALL","BUSINESS TYPE - CAPITAL","PUBLIC WORKS","STORM WATER","PURINA DRIVE FLOODWALL","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","5000","STORM WATER CONSTRUCTION",
"2020","CITY HALL ANNEX MAINT","GEN GOVERNMENT - CAP","BUILDING SAFETY","NONE","CITY HALL ANNEX MAINT","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","50717","SALES TAX CONSTRUCTION",
"2021","MURPHY PLAY EQUIPMENT","CULTURE AND REC - CAP","PARK DIVISION","NONE","MURPHY PLAY EQUIPMENT","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","94375","SALES TAX CONSTRUCTION",
"2021","SIDEWALK REPAIR/MAINTENAN","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","SIDEWALK REPAIR/MAINTENAN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","33866.85","GENERAL",
"2020","AIRPORT STORM DRAIN IMPRO","PUBLIC WORKS-CAPITAL","AIRPORT","OPERATING","AIRPORT STORM DRAIN IMPRO","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","29299","AIRPORT CONSTRUCTION",
"2020","WASH ST RECON 8TH TO 9TH","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","WASH ST RECON 8TH TO 9TH","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","341389","STREET CONSTRUCTION",
"2020","COMISKEY REPAIR SIDING","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY REPAIR SIDING","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","12043","DRA DISTRIBUTION",
"2020","GRANDVIEW AVE.LIGHT POLES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","GRANDVIEW AVE.LIGHT POLES","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","50000","ROAD USE TAX",
"2020","WATER METER REPL PROGRAM","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WATER METER REPL PROGRAM","CAPITAL-ENTERPRISE","EQUIP ACQUISITION","100795","WATER CONSTRUCTION",
"2020","STEPS, RAILINGS, FENCING","PUBLIC WORKS-CAPITAL","PUBLIC WORKS","OTHER","STEPS, RAILINGS, FENCING","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","27760","STREET CONSTRUCTION",
"2020","EAGLE VALLEY PARK DEV","CULTURE AND REC - CAP","PARK DIVISION","NONE","EAGLE VALLEY PARK DEV","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","90783","SALES TAX CONSTRUCTION",
"2020","WILBRICHT DETENTION BASIN","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","WILBRICHT DETENTION BASIN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","70406","STORM WATER CONSTRUCTION",
"2020","ARENA ROOF","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA ROOF","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","321268","SALES TAX CONSTRUCTION",
"2020","EAGLE VALLEY PARK DEV","CULTURE AND REC - CAP","PARK DIVISION","NONE","EAGLE VALLEY PARK DEV","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","10000","SALES TAX CONSTRUCTION",
"2021","STREET CONST-GENERAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","STREET CONST-GENERAL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","30000","STREET CONSTRUCTION",
"2020","ROOSEVELT RD MAIN EXT.","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","ROOSEVELT RD MAIN EXT.","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","4249254.9","WATER CONSTRUCTION",
"2020","FIBER OPTIC CONDUIT-MISC","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER OPTIC CONDUIT-MISC","CAPITAL-GOV FUNDS","TRAFFIC CONTROL EQUIPMENT","5397","STREET CONSTRUCTION",
"2020","SLATTERY CENTER REN ENTR","CULTURE AND REC - CAP","PARK DIVISION","NONE","SLATTERY CENTER REN ENTR","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","10495","SALES TAX CONSTRUCTION",
"2020","COMISKEY PK BLD - SC ALRM","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY PK BLD - SC ALRM","CAPITAL-GOV FUNDS","BURGLAR ALARM","10000","COMMUNITY DEVELOPMENT",
"2020","LIMESTONE OVERHANG E&R","CULTURE AND REC - CAP","LIBRARY","NONE","LIMESTONE OVERHANG E&R","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","11500","SALES TAX CONSTRUCTION",
"2020","GRC ENERGY EFFICIENCY IMP","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","GRC ENERGY EFFICIENCY IMP","CAPITAL-GOV FUNDS","SOFTWARE","91000","SALES TAX CONSTRUCTION",
"2021","VILLA WALL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","FEMA 2004-VILLA WALL","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","100000","ROAD USE TAX",
"2020","NEW TERM LANDSCAPING","PUBLIC WORKS-CAPITAL","AIRPORT","OTHER","NEW TERM LANDSCAPING","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","41155","AIRPORT CONSTRUCTION",
"2020","CHAVENELLE TRAIL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CHAVENELLE TRAIL","CAPITAL-GOV FUNDS","LAND ACQUISITION","115500","GENERAL CONSTRUCTION",
"2018","EXTERIOR DECORATIVE CONCR","GEN GOVERNMENT - CAP","CONF CENTER OPERATION","GRAND RIVER CENTER","EXTERIOR DECORATIVE CONCR","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","15000","STREET CONSTRUCTION",
"2020","REPLACE SIDEWALK & STEPS","CULTURE AND REC - CAP","LIBRARY","NONE","REPLACE SIDEWALK & STEPS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","25597","SALES TAX CONSTRUCTION",
"2020","HOME-RENTAL FIVE POINTS","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HOME-RENTAL FIVE POINTS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","707493","STATE RENTAL REHAB",
"2020","HWY 52 PHASE 4 CENTRAL","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","HWY 52 PHASE 4 CENTRAL","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","1673000","GENERAL CONSTRUCTION",
"2020","FLORA/SUTTON POOL HEATERS","CULTURE AND REC - CAP","RECREATION DIVISION","POOLS","FLORA/SUTTON POOL HEATERS","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","17913","SALES TAX CONSTRUCTION",
"2020","N CASCADE RD RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N CASCADE RD RECONSTRUCT","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","1575422","STREET CONSTRUCTION",
"2021","NORTHEND TRAIL LIGHTING","CULTURE AND REC - CAP","PARK DIVISION","NONE","NORTHEND TRAIL LIGHTING","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","31227","SALES TAX CONSTRUCTION",
"2020","POD IRRIGATION REPLACEMEN","PUBLIC WORKS-CAPITAL","ENGINEERING","NONE","POD IRRIGATION REPLACEMEN","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","14899","STREET CONSTRUCTION",
"2020","CHAPLAIN SCHMITT VETS MEM","CULTURE AND REC - CAP","PARK DIVISION","NONE","CHAPLAIN SCHMITT VETS MEM","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","3400414.96","GENERAL",
"2020","N CASCADE RD RECONSTRUCT","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N CASCADE RD RECONSTRUCT","CAPITAL-GOV FUNDS","LAND ACQUISITION","175069","STREET CONSTRUCTION",
"2020","PORT OF DBQ RAMP MAINT","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","PORT OF DBQ RAMP MAINT","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","485047","PARKING FACILITY CONSTRUC",
"2021","NETWORK SEC RISK ASSESS","GEN GOVERNMENT - CAP","INFORMATION SERVICES","NONE","NETWORK SEC RISK ASSESS","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","25000","DRA DISTRIBUTION",
"2020","N GRANDVIEW ESTATES ROAD","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","N GRANDVIEW ESTATES ROAD","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","279001","STREET CONSTRUCTION",
"2021","FIRE STATION EXHAUST SYS","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","FIRE STATION EXHAUST SYS","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","30000","DRA GAMING",
"2020","FEDERAL BUILDING RENOVTN","GEN GOVERNMENT - CAP","ENGINEERING","NONE","FEDERAL BUILDING RENOVTN","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","87316.85","SALES TAX CONSTRUCTION",
"2020","RESIDENTIAL REHAB PROGRAM","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","RESIDENTIAL REHAB PROGRAM","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","333699","STATE RENTAL REHAB",
"2020","TIMBERHYRST SANITARY","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","TIMBERHYRST SANITARY","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","170185.36","SANITARY SEWER CONSTRUCTI",
"2020","DICW CIP REPLACEMENT","CULTURE AND REC - CAP","PARK DIVISION","NONE","DICW CIP REPLACEMENT","CAPITAL-GOV FUNDS","PLAYGROUND EQUIPMENT","22433","DICW CIP REPLACEMENT FUND",
"2020","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","1356559","SALES TAX INCREMENT",
"2020","VAN BUREN STORM OUTLET","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","VAN BUREN STORM OUTLET","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","109065.5","STORM WATER CONSTRUCTION",
"2020","FLOOD CONTROL MAINT FACIL","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","FLOOD CONTROL MAINT FACIL","CAPITAL-ENTERPRISE","CONSULTANT SERVICES","406048.27","STORM WATER CONSTRUCTION",
"2020","PARKING RAMP OCC CERT","BUSINESS TYPE - CAPITAL","PARKING DIVISION","NONE","PARKING RAMP OCC CERT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","23500","PARKING FACILITY CONSTRUC",
"2020","CORRIDOR STUDY ALTERNATES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CORRIDOR STUDY-ALTERNATES","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","977780","GENERAL CONSTRUCTION",
"2020","WASH ST SAN 7TH TO 9TH","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","WASH ST SAN 7TH TO 9TH","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","33456","STORM WATER CONSTRUCTION",
"2020","HISTORIC PRES. REV. LOAN","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","HISTORIC PRES. REV. LOAN","CAPITAL-GOV FUNDS","LOANS","110005","UDAG REPAYMENTS",
"2020","ARENA ROOF A/C UNIT REPLC","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA ROOF A/C UNIT REPLC","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","150000","GENERAL CONSTRUCTION",
"2020","HUD RESILIENCY","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HUD RESILIENCY","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","4623283","HUD DISASTER RELIEF",
"2020","WEST RURAL WATER PURCHASE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","WEST RURAL WATER PURCHASE","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","72018","WATER CONSTRUCTION",
"2020","MCALEECE SIDEWALKS","CULTURE AND REC - CAP","PARK DIVISION","NONE","MCALEECE SIDEWALKS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","20439","GENERAL CONSTRUCTION",
"2020","STREET CAMERA INSTALL","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","STREET CAMERA INSTALL","CAPITAL-GOV FUNDS","EQUIP ACQUISITION","12509","GENERAL CONSTRUCTION",
"2020","ROOSEVELT RD MAIN EXT.","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","ROOSEVELT RD MAIN EXT.","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","235130","WATER CONSTRUCTION",
"2020","US 52 CENTRAL STORMWATER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","US 52 CENTRAL STORMWATER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","10000","STORM WATER CONSTRUCTION",
"2020","CEDAR CROSS RD STORM","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CEDAR CROSS RD STORM","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","11000","STORM WATER CONSTRUCTION",
"2020","COMISKEY LANDSCPE","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY LANDSCPE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","45000","GENERAL CONSTRUCTION",
"2020","FIRE STSTION STRCTRE RPR","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","FIRE STATION STRCTRE RPR","CAPITAL-GOV FUNDS","BOND PAYING AGENT FEE","196","SALES TAX CONSTRUCTION",
"2020","DOWNTOWN REHAB GRANT PROG","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DOWNTOWN REHAB GRANT PROG","CAPITAL-GOV FUNDS","GRANTS","367037","TIF-DOWNTOWN LOAN POOL",
"2020","EAGLE POINT PARK STONE","CULTURE AND REC - CAP","PARK DIVISION","NONE","EAGLE POINT PARK STONE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","6323","DRA DISTRIBUTION",
"2020","DOWNTOWN HOUSING INCENT","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","NONE","DOWNTOWN HOUSING INCENT","CAPITAL-GOV FUNDS","GRANTS","70889","GENERAL CONSTRUCTION",
"2020","CENTRAL STREETSCAPE PLAN","COM AND ECON DEV - CAP","ECONOMIC DEVELOPMENT","OTHER","CENTRAL STREETSCAPE PLAN","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","89907","GENERAL CONSTRUCTION",
"2020","JACKSON STREET STORM SEWE","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","JACKSON ST STORM SEWER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","27000","STORM WATER CONSTRUCTION",
"2021","CENTER PLACE ALLEY SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CENTER PLACE ALLEY SEWER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","38000","SANITARY SEWER CONSTRUCTI",
"2021","AUBURN & CUSTER SAN SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","AUBURN & CUSTER SAN SEWER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","41270","SANITARY SEWER CONSTRUCTI",
"2020","REPLACE FIXED ROUTE BUSES","BUSINESS TYPE - CAPITAL","TRANSIT DIVISION","NONE","REPLACE FIXED ROUTE BUSES","CAPITAL-ENTERPRISE","HEAVY EQUIP-REPLACEMENT","1839041","TRANSIT",
"2020","CORRIDOR STUDY ALTERNATES","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","CORRIDOR STUDY-ALTERNATES","CAPITAL-GOV FUNDS","LAND ACQUISITION","1647893","ROAD USE TAX",
"2020","THEATER-TUCKPOINT EXTERIO","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","THEATER-TUCKPOINT EXTERIO","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","12480","SALES TAX CONSTRUCTION",
"2020","HAM HOUSE MUSEUM","CULTURE AND REC - CAP","PARK DIVISION","NONE","HAM HOUSE MUSEUM-DRAINAGE","CAPITAL-GOV FUNDS","PAY TO OTHER AGENCY","136305","GENERAL",
"2020","ARENA CHAIR PLATFORM SEC3","CULTURE AND REC - CAP","CIVIC CENTER DIVISION","NONE","ARENA CHAIR PLATFORM SEC3","CAPITAL-GOV FUNDS","BOND PAYING AGENT FEE","138","SALES TAX CONSTRUCTION",
"2020","COMISKEY SIDEWALK LIGHT","CULTURE AND REC - CAP","PARK DIVISION","NONE","COMISKEY SIDEWALK LIGHT","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","10000","GENERAL CONSTRUCTION",
"2021","BROADBAND ACC UNIV ACCESS","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","BROADBAND ACC UNIV ACCESS","CAPITAL-GOV FUNDS","ENG. DIVISION SERVICES","10000","STREET CONSTRUCTION",
"2021","TRAFFIC SIGNAL MASTARM RE","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","TRAFFIC SIGNAL MASTARM RE","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","60000","STREET CONSTRUCTION",
"2021","HUD RESILIENCY ENGINEER","PUBLIC WORKS-CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-GOV FUNDS","JANITORIAL SUPPLIES","1900","SALES TAX INCREMENT",
"2020","CATCH BASIN/WESTSIDE STOR","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","CATCH BASIN/WESTSIDE STOR","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","20000","STORM WATER CONSTRUCTION",
"2021","CENTER PLACE ALLEY SEWER","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","CENTER PLACE ALLEY SEWER","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","372000","SANITARY SEWER CONSTRUCTI",
"2021","WATER PLANT IMPROVEMENTS","BUSINESS TYPE - CAPITAL","WATER","WATER PLANT","WATER PLANT IMPROVEMENTS","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","20000","WATER CONSTRUCTION",
"2021","SAN SEWER INTERNAL MAIN","BUSINESS TYPE - CAPITAL","ENGINEERING","SANITARY SEWER","SAN SEWER INTERNAL MAIN","CAPITAL-ENTERPRISE","EASEMENT ACQUISITION","3000","SANITARY SEWER CONSTRUCTI",
"2021","BRIDGE REPAIRS/MAINT.","PUBLIC WORKS-CAPITAL","ENGINEERING","STREETS","BRIDGE REPAIRS/MAINT.","CAPITAL-GOV FUNDS","CONSULTING ENGINEERS","29","STREET CONSTRUCTION",
"2022","HENRY STOUT APARTMENTS","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HENRY STOUT APARTMENTS","CAPITAL-GOV FUNDS","CONST.CONTR-NOT BLDG","350000","COMMUNITY DEVELOPMENT",
"2021","SCADA SYSTEM UPGRADE","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","SCADA SYSTEM UPGRADE","CAPITAL-ENTERPRISE","HARDWARE","85000","WATER CONSTRUCTION",
"2021","HUD RESILIENCY ENGINEER","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","HUD RESILIENCY ENGINEER","CAPITAL-ENTERPRISE","ENG. DIVISION SERVICES","1810000","STORM WATER CONSTRUCTION",
"2021","HUD RESILIENCY","COM AND ECON DEV - CAP","HOUSING & COMMUNITY DEV","NONE","HUD RESILIENCY","CAPITAL-GOV FUNDS","POSTAGE AND SHIPPING","14.67","HUD DISASTER RELIEF",
"2021","INTERNET,MICROS & PRINTER","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","INTERNET,MICROS & PRINTER","CAPITAL-ENTERPRISE","COMPUTER","1102.46","PARKING FACILITY CONSTRUC",
"2021","CITY WIDE MULTIFUNC RPL","BUSINESS TYPE - CAPITAL","INFORMATION SERVICES","NONE","CITY WIDE MULTIFUNC RPL","CAPITAL-ENTERPRISE","COPIER MACHINE","4280","GARAGE SERVICE",
"2021","FBO RESTROOM UPDATE","PUBLIC WORKS-CAPITAL","AIRPORT","OPERATING","FBO RESTROOM UPDATE","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","496.78","AIRPORT CONSTRUCTION",
"2021","FIBER OPTIC CONDUIT-MISC","PUBLIC WORKS-CAPITAL","ENGINEERING","TRAFFIC","FIBER OPTIC CONDUIT-MISC","CAPITAL-GOV FUNDS","MILEAGE/LOCAL TRANSP","563.12","STREET CONSTRUCTION",
"2022","WILBRICHT DETENTION BASIN","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","WILBRICHT DETENTION BASIN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","517589","STORM WATER CONSTRUCTION",
"2021","IMPROVEMENTS TO STATION 4","PUBLIC SAFETY-CAPITAL","FIRE DEPARTMENT","NONE","IMPROVEMENTS TO STATION 4","CAPITAL-GOV FUNDS","CONST CONTRACT-BLDG","14280","DRA GAMING",
"2021","GATE REPLC FLOOD MITIGATI","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","GATE REPLC FLOOD MITIGATI","STORMWATER UTILITY","ENG. DIVISION SERVICES","78973","STORM WATER CONSTRUCTION",
"2021","SW ART/MENARD UTLTY RELOC","BUSINESS TYPE - CAPITAL","ENGINEERING","STORM WATER","SW ART/MENARD UTLTY RELOC","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","563180","STORM WATER CONSTRUCTION",
"2022","N CASCADE WATER MAIN","BUSINESS TYPE - CAPITAL","WATER","WATER DIST","N CASCADE WATER MAIN","CAPITAL-ENTERPRISE","CONST.CONTR-NOT BLDG","-53498.44","WATER CONSTRUCTION",
"2021","LEVEL 4 AGREEMENT","BUSINESS TYPE - CAPITAL","WATER & RESOURCE RECOVERY","SANITARY SEWER","LEVEL 4 AGREEMENT","CAPITAL-ENTERPRISE","CONSULTING ENGINEERS","3813.55","SANITARY SEWER CONSTRUCTI",
"2021","AIRPORT MASTER PLAN","PUBLIC WORKS-CAPITAL","AIRPORT","NONE","AIRPORT MASTER PLAN","CAPITAL-GOV FUNDS","CONSULTANT SERVICES","228084.86","AIRPORT CONSTRUCTION",
