"year","region","category","topic","indicator","age","sex","result","unit","_95_ci_l","_95_ci_u","se","rse_25","notes","sex_indicator","year_sex","sex_year"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Male","52","Per cent","46.7","57.2","2.7",,,"Male _ Meets 2013 guideline - fruit","2015/16 Male","Male 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Male","42.7","Per cent","37.7","48","2.6",,,"Male _ Meets 2013 guideline - fruit","2018 Male","Male 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Male","37.1","Per cent","31.9","42.7","2.8",,,"Male _ Meets 2013 guideline - fruit","2020 Male","Male 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - fruit","18+","Female","52.1","Per cent","47.9","56.2","2.1",,,"Female _ Meets 2003 guideline - fruit","2011/12 Female","Female 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Female","58.4","Per cent","54","62.8","2.2",,,"Female _ Meets 2013 guideline - fruit","2013/14 Female","Female 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Female","57.9","Per cent","53.2","62.5","2.4",,,"Female _ Meets 2013 guideline - fruit","2015/16 Female","Female 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Female","43.2","Per cent","38.7","47.8","2.3",,,"Female _ Meets 2013 guideline - fruit","2018 Female","Female 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18+","Female","40.2","Per cent","35.2","45.5","2.6",,,"Female _ Meets 2013 guideline - fruit","2020 Female","Female 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - fruit","18 to 24","Person","38.2","Per cent","29.7","47.5","4.6",,,"18 to 24 _ Meets 2003 guideline - fruit","2011/12 Person","Person 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18 to 24","Person","56.8","Per cent","45.8","67.2","5.5",,,"18 to 24 _ Meets 2013 guideline - fruit","2013/14 Person","Person 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18 to 24","Person","50.8","Per cent","39","62.6","6.1",,,"18 to 24 _ Meets 2013 guideline - fruit","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18 to 24","Person","50.8","Per cent","37.2","64.3","7",,,"18 to 24 _ Meets 2013 guideline - fruit","2018 Person","Person 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","18 to 24","Person","42","Per cent","27.9","57.7","7.8",,,"18 to 24 _ Meets 2013 guideline - fruit","2020 Person","Person 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - fruit","25 to 44","Person","47.2","Per cent","41.7","52.7","2.8",,,"25 to 44 _ Meets 2003 guideline - fruit","2011/12 Person","Person 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","25 to 44","Person","46.7","Per cent","40.3","53.1","3.3",,,"25 to 44 _ Meets 2013 guideline - fruit","2013/14 Person","Person 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","25 to 44","Person","52.2","Per cent","45","59.2","3.6",,,"25 to 44 _ Meets 2013 guideline - fruit","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","25 to 44","Person","35.8","Per cent","30.7","41.1","2.7",,,"25 to 44 _ Meets 2013 guideline - fruit","2018 Person","Person 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","25 to 44","Person","35.5","Per cent","30.1","41.3","2.9",,,"25 to 44 _ Meets 2013 guideline - fruit","2020 Person","Person 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - fruit","45 to 64","Person","52.2","Per cent","47.5","56.8","2.4",,,"45 to 64 _ Meets 2003 guideline - fruit","2011/12 Person","Person 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","45 to 64","Person","53","Per cent","48.1","57.8","2.5",,,"45 to 64 _ Meets 2013 guideline - fruit","2013/14 Person","Person 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","45 to 64","Person","56","Per cent","50.7","61.2","2.7",,,"45 to 64 _ Meets 2013 guideline - fruit","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","45 to 64","Person","45.5","Per cent","40.2","50.9","2.7",,,"45 to 64 _ Meets 2013 guideline - fruit","2018 Person","Person 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","45 to 64","Person","35.9","Per cent","30.6","41.6","2.8",,,"45 to 64 _ Meets 2013 guideline - fruit","2020 Person","Person 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - fruit","65+","Person","59.9","Per cent","54.6","65","2.7",,,"65+ _ Meets 2003 guideline - fruit","2011/12 Person","Person 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","65+","Person","62","Per cent","57.3","66.5","2.4",,,"65+ _ Meets 2013 guideline - fruit","2013/14 Person","Person 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","65+","Person","62.2","Per cent","57.6","66.5","2.3",,,"65+ _ Meets 2013 guideline - fruit","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","65+","Person","50.1","Per cent","43.6","56.7","3.4",,,"65+ _ Meets 2013 guideline - fruit","2018 Person","Person 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - fruit","65+","Person","48.3","Per cent","38.1","58.5","5.3",,,"65+ _ Meets 2013 guideline - fruit","2020 Person","Person 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - vegetables","18+","Person","11.4","Per cent","9.5","13.5","1",,,"Person _ Meets 2003 guideline - vegetables","2011/12 Person","Person 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Person","8.1","Per cent","6.6","9.8","0.8",,,"Person _ Meets 2013 guideline - vegetables","2013/14 Person","Person 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Person","8.3","Per cent","6.6","10.3","0.9",,,"Person _ Meets 2013 guideline - vegetables","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Person","5.7","Per cent","4.5","7.2","0.7",,,"Person _ Meets 2013 guideline - vegetables","2018 Person","Person 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Person","5.7","Per cent","4.3","7.6","0.8",,,"Person _ Meets 2013 guideline - vegetables","2020 Person","Person 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - vegetables","18+","Male","8.2","Per cent","5.9","11.3","1.4",,,"Male _ Meets 2003 guideline - vegetables","2011/12 Male","Male 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Male","3.2","Per cent","2","5.2","0.8",,,"Male _ Meets 2013 guideline - vegetables","2013/14 Male","Male 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Male","3.5","Per cent","2.2","5.4","0.8",,,"Male _ Meets 2013 guideline - vegetables","2015/16 Male","Male 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Male","2.1","Per cent","1.2","3.6","0.6","27.4",,"Male _ Meets 2013 guideline - vegetables","2018 Male","Male 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Male","2.5","Per cent","1.1","5.3","1","39.9",,"Male _ Meets 2013 guideline - vegetables","2020 Male","Male 2020"
"2011/12","ACT","Nutrition","Meets dietary guideline","Meets 2003 guideline - vegetables","18+","Female","14.4","Per cent","11.7","17.4","1.5",,,"Female _ Meets 2003 guideline - vegetables","2011/12 Female","Female 2011/12"
"2013/14","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Female","12.3","Per cent","9.9","15.1","1.3",,,"Female _ Meets 2013 guideline - vegetables","2013/14 Female","Female 2013/14"
"2015/16","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Female","12.6","Per cent","9.8","16","1.6",,,"Female _ Meets 2013 guideline - vegetables","2015/16 Female","Female 2015/16"
"2018","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Female","9.2","Per cent","7.1","11.8","1.2",,,"Female _ Meets 2013 guideline - vegetables","2018 Female","Female 2018"
"2020","ACT","Nutrition","Meets dietary guideline","Meets 2013 guideline - vegetables","18+","Female","9.3","Per cent","6.9","12.4","1.4",,,"Female _ Meets 2013 guideline - vegetables","2020 Female","Female 2020"
"2014","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Person","16.1","Per cent","12.8","20","1.8",,,"Person _ Consumes SSD daily","2014 Person","Person 2014"
"2015/16","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Person","13.8","Per cent","11.5","16.5","1.3",,,"Person _ Consumes SSD daily","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Person","18.3","Per cent","15.6","21.4","1.5",,,"Person _ Consumes SSD daily","2018 Person","Person 2018"
"2020","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Person","16.3","Per cent","13.6","19.4","1.5",,,"Person _ Consumes SSD daily","2020 Person","Person 2020"
"2014","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Male","23","Per cent","17.3","29.8","3.2",,,"Male _ Consumes SSD daily","2014 Male","Male 2014"
"2015/16","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Male","17.9","Per cent","14.1","22.5","2.1",,,"Male _ Consumes SSD daily","2015/16 Male","Male 2015/16"
"2018","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Male","21.5","Per cent","17.5","26.2","2.2",,,"Male _ Consumes SSD daily","2018 Male","Male 2018"
"2020","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Male","20.4","Per cent","16.2","25.2","2.3",,,"Male _ Consumes SSD daily","2020 Male","Male 2020"
"2014","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Female","10.2","Per cent","7","14.5","1.9",,,"Female _ Consumes SSD daily","2014 Female","Female 2014"
"2015/16","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Female","10.2","Per cent","7.7","13.4","1.5",,,"Female _ Consumes SSD daily","2015/16 Female","Female 2015/16"
"2018","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Female","15.2","Per cent","11.8","19.3","1.9",,,"Female _ Consumes SSD daily","2018 Female","Female 2018"
"2020","ACT","Nutrition","Sugar sweetened drinks","Consumes SSD daily","18+","Female","12.4","Per cent","9.2","16.5","1.8",,,"Female _ Consumes SSD daily","2020 Female","Female 2020"
"2014","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Person","1","Number","0.8","1.3","0.1",,,"Person _ Average SSD cups/day","2014 Person","Person 2014"
"2015/16","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Person","1.1","Number","0.9","1.2","0.1",,,"Person _ Average SSD cups/day","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Person","1","Number","0.9","1.2","0.1",,,"Person _ Average SSD cups/day","2018 Person","Person 2018"
"2020","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Person","0.9","Number","0.8","1.1","0.1",,,"Person _ Average SSD cups/day","2020 Person","Person 2020"
"2014","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Male","1.2","Number","0.9","1.6","0.2",,,"Male _ Average SSD cups/day","2014 Male","Male 2014"
"2015/16","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Male","1.3","Number","1","1.5","0.1",,,"Male _ Average SSD cups/day","2015/16 Male","Male 2015/16"
"2018","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Male","1","Number","0.8","1.2","0.1",,,"Male _ Average SSD cups/day","2018 Male","Male 2018"
"2020","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Male","1","Number","0.8","1.2","0.1",,,"Male _ Average SSD cups/day","2020 Male","Male 2020"
"2014","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Female","0.8","Number","0.5","1.1","0.2",,,"Female _ Average SSD cups/day","2014 Female","Female 2014"
"2015/16","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Female","0.8","Number","0.6","1","0.1",,,"Female _ Average SSD cups/day","2015/16 Female","Female 2015/16"
"2018","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Female","1.1","Number","0.8","1.4","0.1",,,"Female _ Average SSD cups/day","2018 Female","Female 2018"
"2020","ACT","Nutrition","Sugar sweetened drinks","Average SSD cups/day","18+","Female","0.9","Number","0.7","1.1","0.1",,,"Female _ Average SSD cups/day","2020 Female","Female 2020"
"2014","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Person","42.4","Per cent","37.8","47.2","2.4",,,"Person _ Consumes fast food monthly","2014 Person","Person 2014"
"2015/16","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Person","38.4","Per cent","35.2","41.7","1.7",,,"Person _ Consumes fast food monthly","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Person","32.3","Per cent","29.1","35.7","1.7",,,"Person _ Consumes fast food monthly","2018 Person","Person 2018"
"2019","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Person","30.5","Per cent","27.9","33.3","1.4",,,"Person _ Consumes fast food monthly","2019 Person","Person 2019"
"2020","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Person","32.1","Per cent","28.7","35.8","1.8",,,"Person _ Consumes fast food monthly","2020 Person","Person 2020"
"2014","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Male","30.6","Per cent","25.1","36.9","3",,,"Male _ Consumes fast food monthly","2014 Male","Male 2014"
"2015/16","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Male","33.1","Per cent","28.6","38","2.4",,,"Male _ Consumes fast food monthly","2015/16 Male","Male 2015/16"
"2018","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Male","30.5","Per cent","26","35.4","2.4",,,"Male _ Consumes fast food monthly","2018 Male","Male 2018"
"2019","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Male","29.3","Per cent","25.4","33.4","2",,,"Male _ Consumes fast food monthly","2019 Male","Male 2019"
"2020","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Male","30.1","Per cent","25.4","35.3","2.5",,,"Male _ Consumes fast food monthly","2020 Male","Male 2020"
"2014","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Female","52.5","Per cent","45.9","59.1","3.4",,,"Female _ Consumes fast food monthly","2014 Female","Female 2014"
"2015/16","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Female","43.1","Per cent","38.7","47.7","2.3",,,"Female _ Consumes fast food monthly","2015/16 Female","Female 2015/16"
"2018","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Female","34.1","Per cent","29.7","38.8","2.3",,,"Female _ Consumes fast food monthly","2018 Female","Female 2018"
"2019","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Female","31.9","Per cent","28.3","35.8","1.9",,,"Female _ Consumes fast food monthly","2019 Female","Female 2019"
"2020","ACT","Nutrition","Fast food","Consumes fast food monthly","18+","Female","33.5","Per cent","28.8","38.6","2.5",,,"Female _ Consumes fast food monthly","2020 Female","Female 2020"
"2014","ACT","Nutrition","Fast food","Average fast food/month","18+","Person","3.5","Number","3","4","0.2",,,"Person _ Average fast food/month","2014 Person","Person 2014"
"2015/16","ACT","Nutrition","Fast food","Average fast food/month","18+","Person","4.2","Number","3.7","4.7","0.3",,,"Person _ Average fast food/month","2015/16 Person","Person 2015/16"
"2018","ACT","Nutrition","Fast food","Average fast food/month","18+","Person","4.9","Number","4.3","5.5","0.3",,,"Person _ Average fast food/month","2018 Person","Person 2018"
"2019","ACT","Nutrition","Fast food","Average fast food/month","18+","Person","5.9","Number","4.7","7.2","0.6",,,"Person _ Average fast food/month","2019 Person","Person 2019"
"2020","ACT","Nutrition","Fast food","Average fast food/month","18+","Person","4.9","Number","4.3","5.6","0.3",,,"Person _ Average fast food/month","2020 Person","Person 2020"
"2014","ACT","Nutrition","Fast food","Average fast food/month","18+","Male","4.1","Number","3.4","4.7","0.3",,,"Male _ Average fast food/month","2014 Male","Male 2014"
"2015/16","ACT","Nutrition","Fast food","Average fast food/month","18+","Male","5.2","Number","4.2","3.1","0.5",,,"Male _ Average fast food/month","2015/16 Male","Male 2015/16"
"2018","ACT","Nutrition","Fast food","Average fast food/month","18+","Male","5.4","Number","4.5","6.4","0.5",,,"Male _ Average fast food/month","2018 Male","Male 2018"
"2019","ACT","Nutrition","Fast food","Average fast food/month","18+","Male","7.4","Number","5.2","9.7","1.1",,,"Male _ Average fast food/month","2019 Male","Male 2019"
"2020","ACT","Nutrition","Fast food","Average fast food/month","18+","Male","5.8","Number","4.7","6.9","0.5",,,"Male _ Average fast food/month","2020 Male","Male 2020"
"2014","ACT","Nutrition","Fast food","Average fast food/month","18+","Female","2.8","Number","2.2","3.3","0.3",,,"Female _ Average fast food/month","2014 Female","Female 2014"
"2015/16","ACT","Nutrition","Fast food","Average fast food/month","18+","Female","3.2","Number","2.9","3.5","0.2",,,"Female _ Average fast food/month","2015/16 Female","Female 2015/16"
"2018","ACT","Nutrition","Fast food","Average fast food/month","18+","Female","4.3","Number","3.6","5.1","0.4",,,"Female _ Average fast food/month","2018 Female","Female 2018"
"2019","ACT","Nutrition","Fast food","Average fast food/month","18+","Female","4.2","Number","3.6","4.7","0.3",,,"Female _ Average fast food/month","2019 Female","Female 2019"
"2020","ACT","Nutrition","Fast food","Average fast food/month","18+","Female","3.9","Number","3.4","4.4","0.3",,,"Female _ Average fast food/month","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","0 times in the last 7 days","05 to 17","Person","2.5","Per cent","1.5","3.9","0.6",,,"Person _ 0 times in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","1-3 times in the last 7 days","05 to 17","Person","11.3","Per cent","8.9","14.4","1.4",,,"Person _ 1-3 times in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","4-6 times in the last 7 days","05 to 17","Person","25.9","Per cent","22.7","29.4","1.7",,,"Person _ 4-6 times in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","7. Every day, in the last 7 days","05 to 17","Person","60.3","Per cent","56.3","64.2","2",,,"Person _ 7. Every day, in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","0 times in the last 7 days","05 to 17","Male","3.1","Per cent","1.7","5.6","0.9","30.2",,"Male _ 0 times in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","1-3 times in the last 7 days","05 to 17","Male","12.8","Per cent","8.9","18","2.3",,,"Male _ 1-3 times in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","4-6 times in the last 7 days","05 to 17","Male","23.1","Per cent","18.9","28","2.3",,,"Male _ 4-6 times in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","7. Every day, in the last 7 days","05 to 17","Male","61","Per cent","55.1","66.7","3",,,"Male _ 7. Every day, in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","0 times in the last 7 days","05 to 17","Female",,"Per cent",,,,,"Not published","Female _ 0 times in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","1-3 times in the last 7 days","05 to 17","Female",,"Per cent",,,,,"Not published","Female _ 1-3 times in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","4-6 times in the last 7 days","05 to 17","Female","28.4","Per cent","23.8","33.5","2.5",,,"Female _ 4-6 times in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","7. Every day, in the last 7 days","05 to 17","Female","59.8","Per cent","54.3","65","2.7",,,"Female _ 7. Every day, in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","0 times in the last 7 days","18+","Person","9.3","Per cent","6.3","10.9","1.2",,,"Person _ 0 times in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","1-3 times in the last 7 days","18+","Person","12","Per cent","9.7","14.8","1.3",,,"Person _ 1-3 times in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","4-6 times in the last 7 days","18+","Person","19.6","Per cent","16.8","22.9","1.6",,,"Person _ 4-6 times in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","7. Every day, in the last 7 days","18+","Person","49.2","Per cent","45.3","53","2",,,"Person _ 7. Every day, in the last 7 days","2020 Person","Person 2020"
"2020","ACT","Wellbeing","Meals together as a family","0 times in the last 7 days","18+","Male","7.1","Per cent","4.7","10.5","1.4",,,"Male _ 0 times in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","1-3 times in the last 7 days","18+","Male","17","Per cent","13","21.9","2.3",,,"Male _ 1-3 times in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","4-6 times in the last 7 days","18+","Male","22.8","Per cent","18.3","28.2","2.5",,,"Male _ 4-6 times in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","7. Every day, in the last 7 days","18+","Male","53.1","Per cent","47.2","59","3",,,"Male _ 7. Every day, in the last 7 days","2020 Male","Male 2020"
"2020","ACT","Wellbeing","Meals together as a family","0 times in the last 7 days","18+","Female","10","Per cent","7","14.2","1.8",,,"Female _ 0 times in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","1-3 times in the last 7 days","18+","Female","10.1","Per cent","7.2","14.1","1.7",,,"Female _ 1-3 times in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","4-6 times in the last 7 days","18+","Female","21.8","Per cent","17.5","26.9","2.4",,,"Female _ 4-6 times in the last 7 days","2020 Female","Female 2020"
"2020","ACT","Wellbeing","Meals together as a family","7. Every day, in the last 7 days","18+","Female","58","Per cent","52.3","63.5","2.9",,,"Female _ 7. Every day, in the last 7 days","2020 Female","Female 2020"
"2018","ACT","Physical activity","Self-rated physical activity","1. Very active","05 to 17","Person","49.2","Per cent","43","55.5","3.2",,,"Person _ 1. Very active","2018 Person","Person 2018"
"2020","ACT","Physical activity","Self-rated physical activity","1. Very active","05 to 17","Person","36.8","Per cent","33.1","40.7","1.9",,,"Person _ 1. Very active","2020 Person","Person 2020"
"2018","ACT","Physical activity","Self-rated physical activity","2. Active","05 to 17","Person","30.3","Per cent","24.8","36.4","3",,,"Person _ 2. Active","2018 Person","Person 2018"
"2020","ACT","Physical activity","Self-rated physical activity","2. Active","05 to 17","Person","32.9","Per cent","28.9","37.1","2.1",,,"Person _ 2. Active","2020 Person","Person 2020"
"2018","ACT","Physical activity","Self-rated physical activity","3. Moderately active","05 to 17","Person","16.2","Per cent","12.1","21.4","2.4",,,"Person _ 3. Moderately active","2018 Person","Person 2018"
"2020","ACT","Physical activity","Self-rated physical activity","3. Moderately active","05 to 17","Person","23.6","Per cent","20.5","27.1","1.7",,,"Person _ 3. Moderately active","2020 Person","Person 2020"
"2018","ACT","Physical activity","Self-rated physical activity","4. Not very active","05 to 17","Person",,"Per cent",,,,,"Not published","Person _ 4. Not very active","2018 Person","Person 2018"
"2020","ACT","Physical activity","Self-rated physical activity","4. Not very active","05 to 17","Person",,"Per cent",,,,,"Not published","Person _ 4. Not very active","2020 Person","Person 2020"
"2018","ACT","Physical activity","Self-rated physical activity","5. Not at all active","05 to 17","Person",,"Per cent",,,,,"Not published","Person _ 5. Not at all active","2018 Person","Person 2018"
"2020","ACT","Physical activity","Self-rated physical activity","5. Not at all active","05 to 17","Person",,"Per cent",,,,,"Not published","Person _ 5. Not at all active","2020 Person","Person 2020"
"2018","ACT","Physical activity","Self-rated physical activity","1. Very active","05 to 17","Male","56.1","Per cent","47.5","64.4","4.4",,,"Male _ 1. Very active","2018 Male","Male 2018"
"2020","ACT","Physical activity","Self-rated physical activity","1. Very active","05 to 17","Male","40","Per cent","34.5","45.8","2.9",,,"Male _ 1. Very active","2020 Male","Male 2020"
"2018","ACT","Physical activity","Self-rated physical activity","2. Active","05 to 17","Male","29.6","Per cent","22.1","38.4","4.2",,,"Male _ 2. Active","2018 Male","Male 2018"
"2020","ACT","Physical activity","Self-rated physical activity","2. Active","05 to 17","Male","30.8","Per cent","24.8","37.5","3.2",,,"Male _ 2. Active","2020 Male","Male 2020"
"2018","ACT","Physical activity","Self-rated physical activity","3. Moderately active","05 to 17","Male","11.1","Per cent","7.4","16.3","2.2",,,"Male _ 3. Moderately active","2018 Male","Male 2018"
"2020","ACT","Physical activity","Self-rated physical activity","3. Moderately active","05 to 17","Male","21.8","Per cent","17.8","26.5","2.2",,,"Male _ 3. Moderately active","2020 Male","Male 2020"
"2018","ACT","Physical activity","Self-rated physical activity","4. Not very active","05 to 17","Male",,"Per cent",,,,,"Not published","Male _ 4. Not very active","2018 Male","Male 2018"
"2020","ACT","Physical activity","Self-rated physical activity","4. Not very active","05 to 17","Male",,"Per cent",,,,,"Not published","Male _ 4. Not very active","2020 Male","Male 2020"
"2018","ACT","Physical activity","Self-rated physical activity","5. Not at all active","05 to 17","Male",,"Per cent",,,,,"Not published","Male _ 5. Not at all active","2018 Male","Male 2018"
"2020","ACT","Physical activity","Self-rated physical activity","5. Not at all active","05 to 17","Male",,"Per cent",,,,,"Not published","Male _ 5. Not at all active","2020 Male","Male 2020"
"2018","ACT","Physical activity","Self-rated physical activity","1. Very active","05 to 17","Female","41.7","Per cent","33.1","50.8","4.6",,,"Female _ 1. Very active","2018 Female","Female 2018"
"2020","ACT","Physical activity","Self-rated physical activity","1. Very active","05 to 17","Female","33.7","Per cent","28.7","39","2.6",,,"Female _ 1. Very active","2020 Female","Female 2020"
"2018","ACT","Physical activity","Self-rated physical activity","2. Active","05 to 17","Female","31","Per cent","23.3","39.9","4.2",,,"Female _ 2. Active","2018 Female","Female 2018"
"2020","ACT","Physical activity","Self-rated physical activity","2. Active","05 to 17","Female","35.1","Per cent","30.1","40.5","2.7",,,"Female _ 2. Active","2020 Female","Female 2020"
"2018","ACT","Physical activity","Self-rated physical activity","3. Moderately active","05 to 17","Female","21.9","Per cent","14.9","31.1","4.1",,,"Female _ 3. Moderately active","2018 Female","Female 2018"
"2020","ACT","Physical activity","Self-rated physical activity","3. Moderately active","05 to 17","Female","25.4","Per cent","20.8","30.6","2.5",,,"Female _ 3. Moderately active","2020 Female","Female 2020"
