"title","date_venue","venue","attendance_est","speakers","partners_sponsors","overview"
"W11 Tram Overheard Series","Karachi' Tram Friday 5 January 2007",,"200","LINDA BRISKMAN + DAVID CORLETT + ASYLUM, DETENTION & HUMAN RIGHTS
Linda Briskman is head of the Centre for Human Rights at Curtin University and convener of a citizen's inquiry into Australia's immigration detention. David Corlett is the author of ""Following Them Home: The Fate of the Returned Asylum Seekers"" – the story of his travel to Afghanistan, Pakistan, Iran and Thailand to speak with asylum seekers who Australia sent away.
","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"W11 Tram Overheard Series","Karachi' Tram Friday 22 December 2006",,"200","LES TWENTYMAN + SAMAR MOUGHARBEL
Les Twentyman is a youth worker with not-for-profit organisation Open Family Australia and commentator on youth issues and homelessness, named 2006 Victorian of the Year. Samar Mougharbel is a community worker with migrant and refugee women in Melbourne's south-east and a member of the Victorian Multicultural Commission.","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"W11 Tram Overheard Series","Karachi' Tram Friday 15 December 2006",,"200","ASHIS NANDY & DON MILLER
Ashish Nandu is a political psychologist and social theorist, Center for the Study of Developing Societies, Delhi. Don Miller, formerly of the Politics Department at University of Melbourne, is the Director of Melbourne Centre for Ideas whose interdisciplinary scholarship has explored metaphor, thought, time & art.","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"W11 Tram Overheard Series","Karachi' Tram Friday 8 December 2006",,"200","FAZAL RIZVI & GWENDA TAVAN
Fazal Rizvi is Professor in Educational Policy Studies at the University of Illinois currently researching issues of identity,
culture and transnational education. Gwenda Tavan is a political historian at Latrobe University and author of 'The Long, Slow Death of White Australia'.","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"W11 Tram Overheard Series","Karachi' Tram Friday 1 December 2006",,"200","NEIL THOMAS & DAVID WELLS
Performance artists Neil Thomas and David Wells have lived many weeks of their lives enclosed together behind glass shop windows in 'Urban Dream Capsule', and recently performed 'Mantalk'.
","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"W11 Tram Overheard Series","Karachi' Tram Friday 24 November 2006",,"200","GRAEME DAVISON, Melbourne historian & author of 'Car Wars: How The Car Won Our Hearts and Conquered our Cities', &
WIM HAFKAMP, environmental economist from University of Rotterdam currently researching transport, environment, infrastructure and urban development.","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"What Difference is Australian Writing Making ?","BMW Edge Fed Square 22nd Nov 2006",,"600","MC - Helen Sykes Alex Miller, Hannie Rayson, The Hon Barry Jones AO, Dorothy Porter.","Future Leaders ","The ability to understand, analyse and express opinions about societal issues of concern and interest are valuable attributes. The capacity, desire and commitment to write about such issues can truly make a difference."
"W11 Tram Overheard Series","Karachi' Tram Friday 17 November 2006",,"200","ROD QUANTOCK, Melbourne comic, AZHAR USMAN, comic from 'Allah Made Me Funny – the Official Muslim Comedy Tour","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"Al Gore - A Time for Action","Hamer Hall the Arts Centre 16 November 2006 ",,"2600","The Hon Al Gore","Vic Super, EPA","A presentation on climate change by former USA Vice-President Al Gore. He was introduced by then LM John So."
"W11 Tram Overheard Series","Karachi' Tram Friday 10 November 2006",,"200","WALEED ALY, writer, lawyer & executive member of Islamic Council of Victoria, & TONY BIRCH, writer and lecturer, Department of English & Cultural","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"50 years of Moomba: Reflections and Future Directions ","9 March 2005 Melbourne Town Hall",,"300","Introduced by David Jones AO OBE KSJ, MC Denise Drysdale Chris Reidy, Alan Wu, Jo Pearson",,"Enjoyed by Melburnians since 1955, Moomba has seen many changes and is still a popular people’s festival.  Hear about the journey from the streets to the riverside, celebrate its history and achievements and join in the discussion about the role of community festivals and Moomba's future. Historic film footage will be a highlight of the evening."
"W11 Tram Overheard Series","Karachi' Tram Friday 3 November 2006",,"200","Lord Mayor John So and Wurrundjeri Elder Joy Murphy-Wandin talk about Melbourne and hospitality","tramtactics and Mick Douglas","Two special strangers meet on a tram. They talk, feeling their way, whilst their conversation makes a tram-load of passengers all ears. Each week two guests come aboard to discuss personal journeys, mobility, transportation, hospitality and the urban public realm. With conversationalists including known voices and people less heard, each conversation unfolds a unique encounter with civic Melbourne here and now. The program aims to create conditions for conversation that are non-threatening and highly personal – as might be normally undertaken by two people on a tram – yet of public interest, hence worthy of overhearing."
"Fashion is more Melbourne than footy - the MMSFW Debate","Melbourne Town Hall 8 September 2006",,"100","Annette Alison - Fashion Commentator; Dermot Brereton - Media Personality, Melissa Jackson - Milliner, Ron Barassi - Media Personality, Lee Lin Chin","Melbourne Spring Fashion Week '06","Famous fashionistas and tragic footy fans will flood the stage as they debate and struggle for possession of Melbourne's  hearts and minds.  Bring your lunch and support the celebrity panel as they take a light-hearted look at what makes Melbourne great in Spring."
"Outside Voices 1: History - Stranger than Fiction  - a Eureka 150 event ","22 November 2004 RMIT Capitol Theatre",,"250","Virginia Trioli (Moderator), Professor Geoffrey Blainey, Dr. Anne Beggs Sunter, Dr Weston Bate, Dr Clare Wright","Eureka150","A discussion on the differing historical views of Eureka and the role of historians in creating and maintaining history. Was Eureka an inspired revolution or just a complaint against taxation? You decide."
"Peak Oil, Permaculture and Sustainability: Future options for local communities.","BMW Edge Fed Square 6 September 2006",,"350","Richard Heinberg - Journalist, author and peak oil educator, David Holmgren – Author and co-orginator of Permaculture, MC - Peter Mares - Journalist and Broadcaster, ABC Radio National, Discussion Panel includes: Ken Davidson – Age Columnist, Dr Elizabeth Heij- Facilitator of ""CSIRO Sustainability Network"" and Philip Sutton founder and Director-Strategy for Green Innovations ","David Holmgren and Su Dennett and the Sustainable Living Foundation","Perspectives on the threats that we face from the depletion of conventional oil supplies, resource wars, terrorism and economic and social collapse and ideas on a framework for re-designing the way we think and act to resolve the energy crises."
"Free Speech in the age of terrorism - free MIWF event.","BMW Edge Fed Square 29 August 2006",,"250","Thane Rosenbaum - Professor of human rights, legal humanities, and law and literature, at Fordham Law School, New York Arnold Zable – Author and Storyteller Brian Walters SC – President Liberty Victoria Moderator - Terry Lane - Author and Broadcaster","Liberty Victoria and Melbourne Writers Festival","Democratic countries throughout the world are systematically paring down our liberty. Are governments using the fear of terrorism and illegal immigrants to control our lives? Are we being offered a trade off between freedom and security?"
"Melbourne Art Fair 2006 Lecture ","BMW Edge Fed Sq. 31 July 2006",,,"Andrew Mackenzie, Massimiliano Gioni - Trusardi Foundation Milan","Melbourne Art Fair Foundation, Monash University Art Museum","LIVE IN YOUR HEAD: Places of art. What is the location of art? Where does art happen? In white rooms that are exactly the same across the globe, in industrial ruins turned into secular cathedrals, or - more simply - in our heads, in that invisible and yet much more complex social space that tie us together with our beliefs, cultures, and emotions?"
"Working in Melbourne 1856-2056: Certainty and Uncertainty? ","RMIT Capitol Theatre 22 June 2006 ",,"100","MC Peter Mares – Presenter The National Interest ABC Radio National, Dr Phil Burgess – Group Managing Director, Public Policy and Communication, Telstra, Richard Marles – Assistant Secretary ACTU, Dr Jill Murray – Senior Lecturer, La Trobe Law, La Trobe University, Professor Barbara Pocock -  Director of the Centre for Work and Life,University of South Australia.","Eight Hour Day 150th Committee","Panellists will reflect on how, when and why we have worked over the past 150 years and a gaze into the work places and practices of the future. This event is being developed in partnership with the Eight Hour Day 150th Anniversary Project."
"Genetics, Mutations and You - A special event for the public in conjunction with the Human Variome Project Meeting","Melbourne Town Hall 21 June 2006",,"200","Professor Agnes Bankier - Director of Genetic Health Services, Victoria, Professor Charles Scriver - World Leader in Medical Genetics, Helen Travers- Genetic Alliance – USA & Niall Byrne – Science Journalist","Genomic Disorders Research Centre and the Genetic Support Network of Victoria. ","Genetic variation helped create humankind - through the process of evolution. It is also a factor in most human conditions. Geneticists from around the world are in Melbourne to plan a global database of human gene variation. Join the panel as they discuss the role of genetic variation in human conditions, the need to share information about genetic changes, and the implications for privacy and people with genetic disorders. "
"Talk Blak2: The politics of Australian Identity: Recent Stories","BMW Edge Fed Sq 1 June 2006",,"250","Ms Lisa Bellear, Poet, Writer and Performer,  Ms Cathy Craigie, Past Director of the Aboriginal and Torres Strait Islander Arts Board of the Australia Council, Ms Sherene Hassan, Executive Committee Member, Islamic Council of Victoria, Dr Maree Pardy, Gender Studies Program The University of Melbourne, Dr Di Sisely, Co-Chair Reconciliation Victoria.","N/A","Panellists will tell their stories and discuss the complexities of both Indigenous and non-Indigenous identity and reflect on what constitutes an “Australian identity” in the wake of the Cronulla and Maroubra beach race riots. "
"Thinking Games 2: Law & Justice: legal but just?","RMIT Capitol Theatre 6 April 2006 ",,"600","Julian Burnside QC – Barrister, Lex Lasry QC – Barrister, Ian Lowe - Emeritus Professor of Science, Technology and Society at Griffith University, Larissa Behrendt - Professor of Law and Indigenous Studies and Director of Jumbunna Indigenous House of Learning at UTS.","DIIRD & Future Leaders","Focused on issues concerning indigenous Australians, refugees, sustainability and capital punishment."
"Thinking Games1: Creating our own Future: will we be competitive?","RMIT Capitol Theatre 30 March 2006 ",,"500","Professor Graham Brown - Royal Melbourne Hospital/Western Hospital, University of Melbourne, Elleni Bereded-Samuel – Commissioner, Victorian Multicultural Commission, Stephen Mayne - Founder Crikey.com, Don Henry - Executive Director Australian Conservation Foundation","DIIRD & Future Leaders","Focused on issues concerning our environment, public health, multiculturalism, corporate governance and the media."
"CREATIVE CITIES CREATIVE TOURISM 4: Understanding Cities as Cultural Destinations","BMW Edge 21 February 2006",,"120","Stephen Feneley- Journalist, Dur-é Dara OAM - Restaurateur, Philanthropist and Businesswoman, Kristy Edmunds - Artistic Director of the Melbourne International Arts Festival, Professor Andrea Hull AO - Director of the Victorian College of the Arts, Christopher Wood - Director Australians Studying Abroad","Arts   Victoria","What are the emerging trends in cultural tourism? How does successful cultural tourism link to creative cities? What the expectations – international, national and local – of cultural tourists? How does cultural tourism relate to indigenous art and culture? How does cultural tourism fit within the Australian and Victorian context"
"CREATIVE CITIES CREATIVE TOURISM 3: What makes a city creative?","BMW Edge 21 February 2006",,"200","Professor Frederick Mendelsohn AO Director of the Howard Florey Institute, Mr Shane Maloney – Writer, Mr Joel Kotkin – USA Consultant, Mr Andrew Bleby - Executive Producer Festival M2006, Stephen Feneley - Journalist","Arts Victoria","An outstanding panel considers how cities can best address creativity. What works for cities around the world? What are the pre-conditions or new directions that can make a difference? Is it possible to manufacture a creative city? Is there a link between creativity and the proposed ‘national agenda for the arts’?"
"CREATIVE CITIES CREATIVE TOURISM 1: Design for Sustainable Cities & Communities","BMW Edge 20 February 2006",,"300","Stephen Feneley - Journalist, Ms Chris Gallagher - Chair of Heritage Council Victoria, Dr Kate Shaw- Research Fellow in Architecture and Planning at The University of Melbourne, Mr Marcus Spiller - Director of SGS Economics and Planning Pty Ltd, Professor Leon van Schaik – RMIT ","Arts Victoria","How does the design and building form a city impact upon its public life? What elements contribute to communities and promote cultural interactions. Is it possible to design for sustainability, in the broadest sense of sustainability, to support a creative city? What are the lessons from our heritage? What are the leading examples of innovation in architecture and design for modern cities?"
"Documentary is better than sex! – the AIDC Debate","14 February 2006 - Melbourne Town Hall",,"700","Brian Nankervis- RocKwiz; Rod Quantock, Courtney Gibson - ABC; Alan Hayling - BBC, Matt Price - The Australian, Robert Thirkell - Film Producer UK, Peter Wintonick - Doco. Producer Canada","Australian International Documentary Conference 2006","A Valentines Day debate that will deliver a night of hilarity filled with polarised opinion and questionable sweeping statements on both sides. "
"“You play good for a girl!” - Jazz and Gender ","7 December 2005 BMW Edge",,"250","MC Jane Clifton, Belinda Moody , Megan Evans, Bob Sedergreen, Lynette Irwin","Melbourne International Women's Jazz Festival","A panel discussion on the history, contribution and position of women in the Australian jazz scene. You can count on everyone to “tell it like it is” and offer a lively, frank and honest exchange of views. "
"Getting Physical in Melbourne - Obesity, fitness, health and well-being","11 October 2005 Melbourne Town Hall",,"100","MC Jo Salmon, Speakers Roald Bahr ,Kylie Ball, Shona Bass, Wendy Brown, Bilie Giles-Corti , Tim Olds, Willem van Mechelen","Sports Medicine Australia","Sports mad, obsessed with dieting and constantly seeking alternative Health answers, Australia is still one of the most obese societies in the world. How do affluent, western societies try to keep healthy, and to what extent are we succeeding? How do we move beyond fitness to well-being?"
"Two Cities Many Cultures: What are we Celebrating?","5 October 2005 Melbourne Town Hall",,"180","MC - Associate Professor Ruth Rentschler, Speakers Rudd Breteler, Kristy Edmunds","Australia Council, Kape Communications","Rotterdam and Melbourne are creative and culturally diverse cities with innovative arts programming and sophisticated infrastructure informed by enlightened cultural policies. Speakers will talk about their experiences and the ways celebration of cultural diversity impacts on the broader arts sector, local culture, the growth of new audiences and international relations."
"Alive and Kicking: New horizons for positive ageing in Melbourne","28 September 2005 BMW Edge",,"350","MC - Dr Gael Jennings  Speakers-Alan Hopgood AM , Dur-e Dara OAM, Prof. John McCallum, Prue Acton OBE, Joan Kirner AM ","Department for Victorian Communities ","What’s good about being older? Does wisdom come with age? Is there anything to fear from getting older? What are three things on your horizon that would make ageing in Melbourne a more positive experience?"
"Unravelling Melbourne Style: Peacocks or Basic Black? ","9 September 2005 Melbourne Town Hall",,"400","MC - Jill Singer Speakers- Christine Barro, Robert Buckingham, Sheila Scotter, Kevin Murphy, Robyn Healy  ","Melbourne Spring Fashion week '05","Fashion experts take a light-hearted lunch-time look at Melbourne style.  Who has it and where do you find it? Are we obsessed with black? What does our style say about Melbourne"
"Designing Melbourne’s Skyline","14 July 2005 BMW Edge",,"280","MC - Andrew Mackenzie, Speakers - John Gollings, Ché Wall, Davina Jackson, Hamish Lyon"," Melbourne Design Festival ","What does our skyline say about Melbourne's design culture? Are we getting what we need and are these designs sustainable?  What will our skyline look like in 2030?  "
"Talk Blak Series 3 : Remembering Batman – Treaties and Justice","15 June 2005 BMW Edge",,"175","Alexis Wright, Ian Hunter, Geoff Clark, Sean Brennan, Michael Mansell, Marji Thorpe","Australians for Native Title and Reconciliation","A timely discussion on treaties and justice to commemorate the 170th anniversary of the infamous Batman Treaty.  This is the third and final free talk of the Talk Blak series on human rights, reconciliation and justice."
"Urban Environments or Urban Disasters: Are Cities Sustainable? ","9 February 2005 BMW Edge Fed Sq",,"750","MC - Alan AtKisson, Speakers-David Engwicht, Enrique Penalosa, Dr Wendy Sarkissian, Professor David Yencken ","City Edge Conference, Hansen Yunken","As they sprawl across the face of the earth, cities are busy chewing up our raw materials and spitting out deadly emissions, taking their toll on our environment. Can cities ever be truly sustainable? Share your view with guests of the ECOEDGE conference, including leading writers, designers, planners and policy makers"
"Secret Life of Us - fifty glorious years of gay and lesbian Melbourne","3 February 2005 Melbourne Town Hall",,"300","MC Graham Willett, Noel Tovey, Laurie Bebbington, Tracey Wall, Mark Robinson",,"From camp to queer via gay liberation, a panel of speakers from different generations will recall and celebrate the secret and public life of gay and lesbian Melbourne since the 1950s. Tonight will be a free-wheeling exchange of stories and recollections (some even true!), celebrating the presence and perseverance of gay and lesbian life in Melbourne"
"Ivan Hutchinson’s Melbourne: 30 Years of Melbourne Filmmaking","1 August 2004 - Forum Theatre",,"300","Paul Harris, Alan Finney, Daniel Scharf , Aleksi Vellis, Melanie Coombes ","Melbourne Film Festival","Paul Harris (Triple R) recaps three decades of Melbourne filmmaking, beginning in the 70s with the work of the late Tim Burstall, through to the Oscar success of Harvie Krumpet.  Join Alan Finney (associate producer, Petersen) and currently Managing Director, Buena Vista International Australia; producer Daniel Scharf (producer Romper Stomper, Tom White) Aleksi Vellis (director The Wog Boy, Nirvana Street Murder) and Melanie Coombes (producer Harvie Krumpet).  Humorous and revealing anecdotes from the front line!"
"Genes, Race, Money and the Law:  The Genetic Future Shock?","15 July 2004 - RMIT Capitol Theatre",,"600","Facilitator/MC Professor C.A.J. (Tony) Coady, Associate Professor Philip Batterham, Professor Peter Singer Pofessor Loane Skene ","International Society Of Business Economics And Ethics 2004 World Congress  ","Rapid advances in the science of genetics and its applications present new and complex ethical and policy issues for individuals and society. Tonight this eminent group of experts will touch on the ethical, philosophical, legal, commercial, social and political issues arising from the new genetics"
"Melbourne’s Built Environment: A reason to celebrate or a cause for concern?","24 June 2004 - Melbourne Town Hall",,"450","MC - James Button, Roger Poole, Chris Gallagher, Jim Sinatra, Kerstin Thompson, Huston Eubank, Hamish Macdonald, Maria Sierra ","Year of the Built Environment 2004, Future leaders","Victorians are proud of many aspects of our built environment but damn others. How can environmental planning and sustainability policies and practices deliver a better future for our urban environment and increase the community’s quality of life?"
"Museums and Galleries Towards 2030: Entertainers and Collectors?  ","20 May 2004 - RMIT Capitol Theatre",,"400","MC Peter Clarke, Tony Ellwood, Margaret Anderson, Chris McAuliffe , Sara Selwood ","Museums Australia Conference – “Food For Thought","Should public museums and galleries, choose an even path between their main roles or favour one against the other?  Are the roles compatible and sustainable? How do public museums and galleries compete with a vast array of ever changing attractions, both real and virtual, for an increasingly diverse audience?  Many museum and galleries across the world have great buildings and sophisticated technology but where are they heading?   "
"World Health on the Edge: A conversation with three global leaders in health and habitat","29 April 2004 – BMW Edge",,"200","Professor Rob Moodie, Lynne Haultain,, Rev. Andrew Mawson, David Tipping, Sheela Patel ","18th World Conference on Health Promotion and Heath Education","A unique conversation with leaders in health and habitat"
"Celebrating Carlton’s History","1 April 2004 – BMW Edge",,"260","Dr Andrew Brown-May, Dr Peter Yule, Judy Watson, David Williamson A.O., Dr Celestina Sagazio,, Arnold Zable ","The Carlton Residents Association, Readings Books and Music, MUP","Anecdotes and stories about Carlton's history to celebrate the publishing of the History of Carlton"
"Discrimination: Causes, implications and solutions","18 March 2004 – Melb Town Hall",,"150","MC Mike Zafiropoulos, Jack Noble, Naomi Ngo, Lilian Holt, Mick Daniher",,"Melbourne is celebrated as one of the most culturally diverse and tolerant cities in the world, yet some still experience racial discrimination. As we move beyond tolerance to respect in our diverse society, it is important to continue to discuss the issues and explore solutions. Join this group of eminent speakers and be a part of Melbourne's week-long contribution to the International Day for the Elimination of Racial Discrimination"
"Sustaining what we value: The race against time","12 February 2004 – BMW Edge",,"310","MC Philip Sutton Ian Bruce Kiernan, Michael Krockenberger , Christine Milne.","Sustainable Living Foundation and sponsored by Woods Bagot","On the eve of the Sustainable Living Festival, three passionate contributors to the environmental health of Australia tell their personal stories about their race to sustain the things they love and value. Join a discussion on how they achieve results, what still needs to be done and whether we need an organised Global Race to Sustainability to accelerate the rate of change"
"To be Gay/Lesbian and Christian … and that’s a fact","30 January 2004 – Melbourne Town Hall",,"320","Rev Dorothy McRae-McMahon, 
Michael B. Kelly 
","Midsumma Festival 2004","Why is homosexuality such a big and divisive issue for the Church? Why do gay and lesbian people stay involved? How does the Church’s attitudes to gay and lesbian people relate to the wider society – families, communities, nations"
"A Conversation with Mario Bellini – NGV Architect","1 December 2003 – RMIT Capitol Theatre",,"600","Dr Gerard Vaughan, Mario Bellini ","Special event for RMIT Capitol Theatre ","NGV Director, Dr Gerard Vaughan will reflect on Mario Bellini’s distinguished career. Mario Bellini will discuss the redevelopment of NGV International, St Kilda Road and his opening exhibition, Mario Bellini: Architect & Designer"
"Planning Melbourne's growth and evolution: Who is it working for and who's making the decisions? ","17 November 2003 – BMW Edge",,"400","MC Royce Millar – Journalist, The Age, Barbara Norman - Program Director Environment and Planning RMIT University, Hon Justice Stuart Morris - President Victorian Civil Administrative Tribunal, John Gaffney - Executive Director Housing Industry Association , Nigel Kirby - President Save Our Suburbs",,"Melbourne's built environment is changing rapidly and more people are demanding a voice.  Councils and resident groups jockey with developers, consultants and lawyers. Who should have the final say and who are the winners and losers? Join a frank public discussion on the planning of Melbourne and its suburbs"
"Retail Therapy: A Discussion about Shopping, Business, Gratification and Desire","10 November 2003 – Melbourne Town Hall",,"200","MC Richard Topham, Gilbert Rochecouste, Lee Lin Chin, Dr Beryl Langer, Denise Scott","a Better Business Week public event","Most of us do it but we don’t admit to it!  Businesses need it, but don’t get enough of it!  With the silly season almost upon us and a lot more shops about to open, it’s time to take a light-hearted look at why we shop, what shopping contributes to business and our culture and whether we need health warnings in the fitting rooms"
"Cultural Capital – Capital Culture?  A conversation about Melbourne","30 October 2003 – Melbourne Town Hall",,"150","MC - Richard Topham, Robyn Archer AO, Charles Landry, Phil Cleary ",,"Cosmopolitan, multi-cultural, great food and wine, bars, shopping, sporting events, festivals, galleries - hallmarks of Melbourne's ""cultural capital"" reputation, but how do we develop a broader understanding of the city's identity? How do we genuinely recognise and celebrate the history and cultural diversity of our communities? How can citizens shape the culture of our city?  "
"Imagining new partnerships: Artists, Schools and Communities","15 October 2003 – Melbourne Town Hall",,"200","Anne Dunn (Chair) Jennifer Bott , Arnold Aprill , Jon Hawkes ","Cultural Development Network and the Australia Council for the Arts","Opening up schools to artist residencies stimulates children's imagination, knowledge and confidence and strengthens links between schools and their communities.  Imagination is the key to innovation.  Children are citizens and our link to the future. The discussion will explore creative partnerships among education institutions, councils, artists and communities where imagination is the building blo"
"Taking it to the Streets: Performance, People and Public Space ","8 October 2003 - Melbourne Town Hall",,"150","MC Ian Pidd, Dr. Andrew Brown-May, Jason Cross , Inge King , Margarita Windisch ",,"Performers, buskers, artists and protesters are increasing their claim to Melbourne's streets, lanes, parks and public spaces as sites for cultural or political activity. Many like it but some don't. Often hard to avoid and sometimes hard to find, what's the relevance, value and virtue of these activities? "
"Spaces of Exploration - What will our cities be like in the future?","29 September 2003  – BMW Edge",,"500","Philip Goad, Rob Adams, Paul Carter, Tom Heneghan, Mark O'Dwyer , Shelley Penn, Rob Pradolin, Dimity Reed, Sue Rowley, Alan Saunders ","A partnership between the City of Melbourne and the Second International Conference of the Association of Architecture Schools of Australasia with support from the Royal Australian Institute of Architects","Who is going to imagine, plan and build our cities in the future?  Are new models and additional decision-makers emerging? Is an active research culture necessary?  What are the key issues?  A lively ""hypothetical"" will examine the track record and vision of architects, educators and academic researchers as they envisage and debate the architectural future of our cities and suburbs"
"Writing Melbourne - Understanding our city as a character and inspiration","3 September 2003 - BMW Edge Fed Square",,"180","Julie Copeland (MC)   Jane Clifton , Alex Selenitsch , Roger Simpson , Shane Maloney ","Australian Writers' Guild","What do the TV series  HALIFAX f.p. and Stingers and the novels The Big Ask and Half Past Dead have in common? Answer:Melbourne - a city at the centre of stories about ourselves. How does Melbourne shape the nature of story and influence the storytellers? Is it the geography, urban landscape, architecture and history? What sort of character is Melbourne and how is she changing? Join together with our panel of experts to help unravel these questions."
"Ivan Hutchinson’s Melbourne- Happy Families? Marrying music and the moving image","31 July 2003 - Melbourne Town Hall",,"250","MC Lawrie Zion, Paul Grabowsky, Ernesto Corpus, Vincent Giarrusso","International Film Festival and the Melbourne Film Critics Forum","What is the relationship between music and film? Is it love at first sight?  What is the 'divorce rate' between composers and film-makers? What triggers musicians when they are improvising a live score? This special event is a tribute to much-loved Melbourne icon and accomplished pianist, Ivan Hutchinson.  A discussion about the process of marrying music and the moving image. "
"Jesse's Journey: Living with a genetic disorder DMD","10 July 2003 - Melbourne Town Hall",,"300","MC Graeme O'Neill , Dr Sue Forrest , John Davidson ","19th International Congress of Genetics.  ","Almost 20 years ago, Dr Sue Forrest, undertook research for her doctorate in Oxford on the genetic basis of DMD and published papers in the top scientific journals. In 1986, John and Sherene Davidson learnt that their middle son, Jesse, had DMD.  This evening's conversation is about DMD and a family's courage and determination to fight back"
"The Three Tenors of Genetic Research: Collins, Brenner and Wieschaus","7 July 2003 - Melbourne Town Hall",,"700","Dr Eric Wieschaus, Dr Francis S. Collins, Dr Sydney Brenner - all Nobel Laureates MC - Leigh Dayton","19th International Congress of Genetics.  ","Francis Collins, Director National Human Genome Research Institute, claims that mapping the human genome is perhaps more significant than splitting the atom or going to the moon. In conjunction with the XIX International Congress of Genetics being held in Melbourne this week, three of the Congress’s eminent guests talk about their science and how that affects everyday life"
"An Indigenous History for Contemporary Melbourne Forum 3 Repatriation: Retrieving Heritage","18 June 2003 - BMW Edge Fed Square",,"280","Tony Birch (MC) Gary Murray, Dr Jane Lydon , John Harding - Curator Dr Clare Wright","History Council of Victoria","Melbourne’s 21st century cultural institutions are world leaders in formulating strategies and policies for preserving indigenous heritage. What is the role of Indigenous historians in the controversial project of repatriating human remains? Do Indigenous artists and writers simply record or actively create culture? If material culture is the medium, what is the message?"
"An Indigenous History for Contemporary Melbourne  Forum 2 Occupation: Surviving Dispersal","4 June 2003 - BMW Edge Fed Square",,"320","Robert Manne, Gary Foley, Dr Aileen Moreton-Robinson, Dr Wayne Atkinson - Curator Dr Clare Wright ","History Council of Victoria","Over the past century, Melburnians have experienced a depression, world wars, suburban expansion and major cultural movements for change. Indigenous inhabitants have survived all of this and much else too.  How did the politicisation of Koori communities affect Melbourne’s social life?  What did black women think of white feminism?  Did the Mabo decision take away your backyard swimming pool"
