"deptname","strategicplangoal","title","plannedenddate","countyworkplan","status","updateasofdate","percentcomplete","progresscomments","owner","managementlead","sponsor","dataupdater","description","contributors","id","reasonforproject","sid","plannedstartdate"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Develop department work plans incorporating County priorities","2020-03-30T12:00:00.000","County Administration","In Progress",,,,"Phillips, Aubrey",,,,,,"395","This is an administrative directive.","395_Office of Management and Budget_12/27/2019 4:09 PM","2019-11-01T12:00:00.000"
"Office of Technology and Innovation",,"Unmanned Aerial Services (Drone) Contract`",,"County Administration","In Progress","2019-12-08T12:00:00.000",,,,,"Cozzie, Paul A",,,,"394",,"394_Office of Technology and Innovation_12/26/2019 9:14 AM",
"Solid Waste","3 - Practice Superior Environmental Stewardship","Evaluate Master Plan recommendations","2020-06-30T12:00:00.000","BCC","Completed","2020-05-13T12:00:00.000","100","Milestone 1- draft Master Plan has been presented via memo, staff to present to BCC in a work session on 2/6.Draft Master Plan Implementation Plan recieved 2/25/20 (DB)Based on Board direction, staff has incorporated recommendations into the Department's Work Plan and CIP budget.","Mills, Robert",,,,"Evaluate Master Plan recommendations, ex. organics, bio solids, treated medical waste, ash reuse, bulky waste","Office of Asset Management (OAM), Solid Waste","442","This is a discretionary project.","442_Solid Waste_5/13/2020 10:20 AM","2020-03-01T12:00:00.000"
"Building and Development Review Services","4 - Foster Continual Economic Growth and Vitality","Implement Land Development Code","2020-03-31T12:00:00.000","BCC","In Progress","2020-01-31T12:00:00.000","80","Staff has been reviewing the LDC chapters for suggested edits. The edits have been segmented into near-term responses (1-3 month), mid-term (3-6 months) and long-term (over 6 months).Staff is now compiling a list of the near-term items that can be vetted and then brought to the BCC for consideration.","Lyon, Blake G",,,,"Revisions      to the LDC were adopted in October 2018 and became effective in January      2019. Since that time staff has been going through extensive training so      that they are a proficient and efficient as possible when assisting our      customers. We continue to look for ways to effectively communicate the      zoning regulations to a customer base that does not utilize these      regulations on a routine basis.","Airport, Building and Development Review Services, Planning, Public Works","394","This is a discretionary project.","394_Building and Development Review Services_2/12/2020 1:03 PM","2019-01-01T12:00:00.000"
"Utilities","3 - Practice Superior Environmental Stewardship","WW Collection System Management Program","2026-03-10T12:00:00.000","BCC","In Progress","2021-03-31T12:00:00.000","5","Project was approved by BCC on 3/9/21. Kickoff meeting to be scheduled before end of March 2021. Project team working on slide presentation for 5/6/21 BCC meeting on private sewer lateral policy.","Glaser, Daniel","Menke, Tom","Kelsey, Joel",,"In order to enhance management of the wastewatercollection system, this comprehensive wastewater management program plan isbeing developed to incorporate elements including master planning, assetmanagement, septic to sewer program development, financial/funding program andprivate sewer lateral policy development. This project will began on March 11,2021 and is scheduled to be completed in five years by March 10, 2026. ​","Utilities","501","This is a discretionary project to improve processes.","501_Utilities_3/24/2021 1:59 PM","2021-03-11T12:00:00.000"
"County Administration","1 - Create a Quality Workforce in a Positive, Supportive Organization","Identify Opportunities to Enhance Employee Growth and Development","2019-12-31T12:00:00.000","BCC","In Progress","2019-12-23T12:00:00.000","80","Developed metrics for ongoing monitoring. Addressing career paths through Monitoring of Pay and Classification Study Implementation.Organization and Talent Development reports the following information regarding training opportunities Certified Public Manager Program Partnering with Florida State University, Florida Center for Public Management, 23 employees began the nationally recognized Certified Public Manager program in 2017, 24 in 2018 and 25 in 2019. This program consists of 32 days of classroom instruction, 8 four-day sessions over 30 months and is a professional designation not academic. Tuition Reimbursement There is an uptick in participation in tuition reimbursement of about 28% this fiscal year with a corresponding dollar increase of just under $24,000. The average reimbursement per participant for fiscal year 2018 is just about $1,200. BCC departments had 102 employees participate in the program, and reimbursed a total of $104, 362.50 in tuition payments.","Marion, Rodney",,,,"The intent of this initaitive is to increase utilization of training programs from HR, tuition reimbursement, and certification programs.","Business Technology Services, Human Resources, Office of Management and Budget","401","This is an administrative directive.","401_County Administration_5/26/2020 1:18 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Asset Onboarding, Decommissioning, Map Changes","2020-02-28T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"12/05/2019 Map change workflow has been developed. Map change process will be added after initial Cityworks go live. Training to use Cityworks​ for map changes will be 4-8weeks after go live.","Bollenbacher, Alan",,,,"​This is the process to keep our GIS records up to date. It is very important to  help locate and operate our ​​​buried assets. Map corrections and new installs are being developed.",,"408","This is as a result of an IG audit.","408_Utilities_1/13/2020 3:22 PM","2019-09-01T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Respond to and fulfill 45 leads for feature and independent films.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"409",,"409_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Asset Onboarding, Decommissioning, Map Changes","2020-02-28T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"12/05/2019 Map change workflow has been developed. Map change process will be added after initial Cityworks go live. Training to use Cityworks​​ for map changes will be 4-8weeks after go live.","Bollenbacher, Alan",,,,"​This is the process to keep our GIS records up to date. It is very important to  help locate and operate our ​​​buried assets. Map corrections and new installs are being developed.",,"408","This is as a result of an IG audit.","408_Utilities_1/24/2020 3:29 PM","2019-09-01T12:00:00.000"
"Office of Management and Budget","4 - Foster Continual Economic Growth and Vitality","Negotiate City of Clearwater TDT Capital Funding Request for Phillies","2020-04-30T12:00:00.000","BCC","In Progress","2020-02-29T12:00:00.000","60","All deliverables received from City and Phillies. Scheduled meeting for March 11 with City and Phillies executive leadership to discuss deliverables and establish clarifications needed to continue negotiation.","Berger, William M",,,"Berger, William M","Review City of Clearwater application (in accordance with the Capital Projects Funding Program Guidelines) and negotiate the funding and agreement terms related to Tourist Development Tax (TDT) funding for retained Spring Training Facility improvements for the Philadelphia Phillies. Key stakeholders include the Tourist Development Council (TDC), City of Clearwater, State of Florida, and the Phillies.","Administrative Services, Convention and Visitors Bureau, County Administrator, County Attorney","10","This is a discretionary project.","10_Office of Management and Budget_3/12/2020 5:33 PM","2018-12-31T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Develop and launch social media-first video strategy to showcase the four main pillars of the destination---beaches, art, local and culinary---leading to an increase in engagement and completed view rate.","2020-01-01T12:00:00.000","Department","In Progress","2020-01-31T12:00:00.000",,,,,,,,,"395",,"395_Convention and Visitors Bureau_1/31/2020 1:42 PM",
"Parks and Conservation Resources","1 - Create a Quality Workforce in a Positive, Supportive Organization","Standardize the Volunteer Program","2020-12-30T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,,"Curtis, Robert S",,,,"Reorganize and document the volunteer program to better define roles, establish consistent approach to volunteer coordination, and set the tone for the future of the department’s program including an annual appreciation event",,"403","This is a discretionary project to improve processes.","403_Parks and Conservation Resources_12/24/2019 10:54 AM",
"County Administration","1 - Create a Quality Workforce in a Positive, Supportive Organization","Implement Software to Simplify Job Application Process","2021-02-28T12:00:00.000","County Administration","In Progress",,"75","50% complete as of 7/1/19. HR has completed Phase 1 of the Taleo updates/upgrades. Phase 2 will include additional Taleo upgrades that HR can update us on. Interviewing vendors through RFI process in July.","Marion, Rodney",,,,,,"402",,"402_County Administration_5/26/2020 1:18 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Update Photo Procedures","2020-02-28T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Process is being uesd and document are being developed.","Bollenbacher, Alan",,,,"*COMBINE INTO ONE POLICY ITEM – DEVELOP DEPT WIDE – CAPTURE SUB ITEMS LIKE SUB LOCATES, BILLING, INSTALL DATES.* Update applicable policies and procedures to incorporate the use of photographs for Sunshine 811 line marking Maximo work orders.",,"459","This is as a result of an IG audit.","459_Utilities_1/21/2020 2:53 PM",
"Parks and Conservation Resources","2 - Ensure Public Health, Safety, and Welfare","Develop a Nuisance Wildlife Management Policy","2020-06-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","30","Working on draft document.","Harper, Steven J",,,,"Develop standard operating procedures for dealing with nuisance wildlife (alligators, feral cats, hogs, raccoons, etc.) inall land under PCR’s responsibility.",,"469","This is an administrative directive.","469_Parks and Conservation Resources_1/7/2020 9:00 AM","2020-06-01T12:00:00.000"
"County Administration","1 - Create a Quality Workforce in a Positive, Supportive Organization","Evaluate Market Competitiveness for Hard to Fill Positions","2020-06-15T12:00:00.000","County Administration","Not Started",,"90","to go out Survey","Marion, Rodney",,,,,,"408",,"408_County Administration_5/26/2020 1:37 PM",
"Solid Waste","5 - Deliver First Class Services to the Public and Our Customers","Implement internal site wayfinding signage","2019-10-28T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,,"Mills, Robert","Merrell, Mike",,,"Complete internal site signage plan implementation",,"526","This is a discretionary project.","526_Solid Waste_2/27/2020 9:22 AM",
"Solid Waste","3 - Practice Superior Environmental Stewardship","Renegotiate WTE operating agreement","2021-10-31T12:00:00.000","Department","On Hold","2020-11-20T12:00:00.000","0","Phase II of the metals modification will include business conditions which will likely require an amendment to the WTE service Agreement.  If this agreement requires a service extension then other agreement terms may be included.  This effort will remain on hold until completion of Phase 1 of metals modifications - Conceptual Development","Embree, William",,,,"Renegotiate WTE operating agreement","Solid Waste","496","This is an administrative directive.","496_Solid Waste_11/20/2020 10:50 AM","2020-08-03T12:00:00.000"
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Create a Trespass Procedures for Parks and Preserves","2019-10-01T12:00:00.000","County Administration","In Progress","2019-12-31T12:00:00.000","20","​1/9/2020- Department is currently reviewing draft document","Curtis, Robert S",,,,"Create and Implement Trespass Policy and Procedure Guidelines for parks and preserves in conjunction with PCSO",,"397","This is a discretionary project to improve processes.","397_Parks and Conservation Resources_1/14/2020 1:15 PM","2018-02-01T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Continue to support the growth of a signature film festival event as a major tourism draw and showcasing the area to out-of-town producers and filmmakers.","2020-05-04T12:00:00.000","Department","In Progress",,,,,,,,,,"410",,"410_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Establish LOS for Park Operations and Maintenance","2019-12-31T12:00:00.000","BCC","In Progress","2020-03-10T12:00:00.000","65","The draft level of service analysis​​ has been submitted to and reviewed with the Project Sponsors. Follow-up meetings are planned for January 2020 to develop an action plan based on sponsor feedback. Future milestone estimated completion dates are tentative pending this action plan.","Kunze, Shane",,,"Kunze, Shane","The project purpose is to evaluate current (FY19) levels of service for Pinellas County’s Parks and Conversation Resources department and provide recommendations for establishing formal levels of service. PCR is seeking to set realistic expectations so it may better understand resource need and allocation, better communicate its narrative, and prepare for future park development more efficiently.  PCR has not analyzed levels of service this intently in recent years and will objectively review its strengths and weaknesses. Levels of service are a key aspect to the success of a department because it communicates realistic expectations to staff, leadership, the public, and the Pinellas County Board of County Commissioners (BCC) and identifies gaps where additional focus or resources are needed. Understanding PCR’s levels of service and gaps will allow the department to better measure its success in the future and create a data driven narrative.​","Parks and Conservation Resources","24","This is a discretionary project.","24_Office of Management and Budget_3/10/2020 1:02 PM","2019-05-01T12:00:00.000"
"Contractor Licensing","2 - Ensure Public Health, Safety, and Welfare","Palm Harbor Pilot Project","2020-09-30T12:00:00.000","BCC","In Progress","2020-03-31T12:00:00.000","50","3/31/2020 MK Follow-up meeting with Project Field Team. Excellent feedback collected, all of which needs management review. Data summary and recommendations will be reviewed by the Project Management Team. Field inspections and investigations are currently impaired by COVID-19.  1/10/2020 MK Kick-off with Project Field Team.  12/10/2019 MK Meeting with Barry Burton, Project Mgmt Team and field staff on 12/9/2019.  Project Mgmt Team meeting on 12/20 to plan Training Session with field staff. Project slated to go live 1/1/2020 and run to 4/30/2020. The goal of Stage 1 is data collection.","Lancaster, Gay","Krickovic, Michelle","Burton, Barry","Krickovic, Michelle","​The goal of this initiative is to reduce costs and response times, as well as improve customer service and compliance with licensure, code enforcement and building inspections through​​ sharing expertise and resources from multiple departments serving similar customers in a common geographic area.","Building and Development Review Services","131","This is an administrative directive.","131_Contractor Licensing_4/3/2020 6:23 PM","2019-09-02T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","Develop an integrated performance management system","2020-05-30T12:00:00.000","County Administration","In Progress",,,"Capture DP outcomes and consolidated executive dashboard in milestones","Phillips, Aubrey",,,,,,"396","This is an administrative directive.","396_Office of Management and Budget_2/19/2020 5:46 PM","2019-11-01T12:00:00.000"
"Airport","2 - Ensure Public Health, Safety, and Welfare","Annual FAA Certification & Safety Inspection","2020-05-31T12:00:00.000","Department","Not Started","2020-01-31T12:00:00.000",,,,,,,,,"402",,"402_Airport_1/31/2020 1:36 PM",
"Solid Waste","3 - Practice Superior Environmental Stewardship","Increase WTE Facility Processing Capacity",,"Department","Not Started","2020-03-04T12:00:00.000",,,"Sacco, Paul S",,,,"​    The  Master Plan recommends adopting strategies to increase WTE Facility  processing capacity.  Increasing the  processing capacity involves efficiency increase for smaller improvements to  large construction projects to add new capacity by expanding the current WTE  or building a new facility although the larger construction projects were  deemed to be cost prohibitive in the vetting stage of the planning process.",,"549",,"549_Solid Waste_3/10/2020 3:47 PM",
"Solid Waste","1 - Create a Quality Workforce in a Positive, Supportive Organization","Establish a Mentor Program","2020-07-01T12:00:00.000","Department","Completed","2020-06-30T12:00:00.000","100","​Draft developed, provided to Team Members for review and feedback. After going through several drafts a final draft was presented to, studied by and approved by the managers.","Stillwaugh, Donald M","Eichner, Catherine","Ward, Carlee A",,"Establish a Mentor Program",,"413","This is a discretionary project to improve processes.","413_Solid Waste_7/8/2020 2:26 PM",
"Safety and Emergency Services","1 - Create a Quality Workforce in a Positive, Supportive Organization","Focus Recruitment and Retention efforts for R911 Center","2021-01-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","60","Several options have been identified to improve retention by providing better support and opportunities to employees through training (new hire and continuing education), mental health, scheduling, and in other areas.  Most have been implemented.  Currently these options are being monitored to determine impact on retention while others are in the process of being implemented. In addition, new options are being sought to consider for implementation.","Fogarty, Jim","Weshinskey-Price, Judith",,,,,"396",,"396_Safety and Emergency Services_1/3/2020 2:38 PM","2020-01-01T12:00:00.000"
"Solid Waste","3 - Practice Superior Environmental Stewardship","Complete LED Lighting overhaul","2020-09-30T12:00:00.000","Department","Not Started","2019-12-24T12:00:00.000",,,"Mills, Robert",,,,"Complete LED Lighting overhaul",,"528","This is a discretionary project.","528_Solid Waste_12/24/2019 11:55 AM",
"Economic Development","4 - Foster Continual Economic Growth and Vitality","Explore opportunities for Team Tampa Bay","2020-10-01T12:00:00.000","BCC","In Progress","2020-02-25T12:00:00.000","30","This will become an ongoing programby 10/01/20","Meidel, Mike",,,"Meidel, Mike","Explore the formation of a new regional economic development marketing organization to replace the services formerly provided by the Tampa Bay Partnership (TBP). TBP was Tampa Bay’s regional economic development marketing organization until they pivoted in 2017 to become an advocacy group only. This left a void for regional marketing and economic development.",,"395",,"395_Economic Development_2/27/2020 9:48 AM",
"Utilities","4 - Foster Continual Economic Growth and Vitality","Quantum and Unity Upgrades","2019-12-10T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"​BCC Meeting Date 12/10/2019. Reciept of proposals on 10/29/2019.","Menke, Tom",,,,,,"436",,"436_Utilities_12/24/2019 12:14 PM",
"Contractor Licensing","5 - Deliver First Class Services to the Public and Our Customers","Field investigators mobile offices","2020-01-31T12:00:00.000",,"In Progress","2019-12-23T12:00:00.000",,"​12/10/2019 MK Hardware received.  Test run scheduled for week of 12/9/2019. From the test run, the Department will document best practices, train investigators and roll out live. 65%","Krickovic, Michelle","Krickovic, Michelle","Lancaster, Gay","Krickovic, Michelle",,,"125","This is a discretionary project to improve processes.","125_Contractor Licensing_1/10/2020 11:03 AM","2019-04-01T12:00:00.000"
"Office of Asset Management","1 - Create a Quality Workforce in a Positive, Supportive Organization","Training Program - Onboarding Employees","2020-10-01T12:00:00.000","Department","In Progress","2020-02-05T12:00:00.000","5",,"Waugh, Jeremy",,,,"Create a training program for orientation and onboarding new employees into the asset management policies, methods, and software (EAM Strategy 1.8, 8.3)",,"398","This is an administrative directive.","398_Office of Asset Management_2/5/2020 9:34 AM","2020-01-01T12:00:00.000"
"Marketing and Communications","5 - Deliver First Class Services to the Public and Our Customers","Develop New County Website","2021-12-31T12:00:00.000","BCC","In Progress","2020-03-09T12:00:00.000","20",,"Schutzsmith, Daniel","Derr, Brian","Hernandez, Barbra","Schutzsmith, Daniel","The new County website initiative is a conversion of thousands of pages of content into a content management system.It will​1.Create a mobile-friendly site.2.Create consistent user experience across the site.3.Enable website visitors to find the information they need without having to understand the County's structure.4.Provide access to information that resides on other county websites such as the Property Appraiser, Clerk, and Sheriff's sites through a multisite search.5.Distribute content creation while centralizing content review and site structure decisions.6.Make the site 100% complaint with the Americans with Disabilities Act (ADA).7.Update the design to make it better reflect Pinellas County as a progressive, forward-thinking local government.​​","Office of Technology & Innovation (OTI)","395","This is a mandatory or statutory requirement.","395_Marketing and Communications_3/9/2020 4:39 PM","2019-01-02T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Generate and respond to 150 qualified leads from producers of network, cable television.","2020-09-30T12:00:00.000","Department","In Progress",,,,,,,,,,"412",,"412_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Contractor Licensing","5 - Deliver First Class Services to the Public and Our Customers","Partnership Agreements","2019-09-01T12:00:00.000",,"In Progress","2019-07-01T12:00:00.000",,"Discussions and meetings have been productive",,,,,,,"128",,"128_Contractor Licensing_12/23/2019 4:53 PM",
"Office of Technology and Innovation","2 - Ensure Public Health, Safety, and Welfare","Implement Accela; Animal Services","2021-06-01T12:00:00.000","BCC","In Progress","2020-02-28T12:00:00.000","10","​• The contract was approved by the Board on 10/8/2019• Soft Kickoff meeting scheduled for January 27th• Kickoff meeting occurred January 27th – OTI/BTS have assigned a project management/coordination on County side. The vendor has presented a resource plan and schedule. Gap analysis sessions are scheduled to begin in March.","Zordan, Dana M","Frank, Deb","Brightwell, Doug","Zordan, Dana M","​Pet Point Application Replacement Improve customer and citizen experience by replacing Animal Services Animal Services application with Accela Civic Platform, a Cloud/ SaaS application.","Administrative Services, Animal Services, Business Technology Services","407","This is a discretionary project to improve processes.","407_Office of Technology and Innovation_5/15/2020 2:16 PM","2019-10-08T12:00:00.000"
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Showcase the destination to high-profile media from our top key markets, niche outlets in focus areas (culinary, wedding/honeymoon, women’s interest), as well as print, online (blog, website, etc.) and broadcast. Generate 300 quality stories and/or 260 mi","2020-09-30T12:00:00.000","Department","In Progress","2020-01-31T12:00:00.000",,,,,,,,,"396",,"396_Convention and Visitors Bureau_1/31/2020 1:42 PM",
"Office of Technology and Innovation",,"Questica Implementation (Budget Software Solution)",,,"In Progress","2019-12-08T12:00:00.000",,,,,"Templeton, Doug B",,,,"395",,"395_Office of Technology and Innovation_1/10/2020 11:04 AM",
"Building and Development Review Services","5 - Deliver First Class Services to the Public and Our Customers","Evaluate Foreclosure Process Best Practices","2020-05-31T12:00:00.000","BCC","In Progress","2020-03-31T12:00:00.000","60","Two of the draft ordinance rewrites are completed, a third is being prepared.  Staff met to discuss and will be bringing this item to the County Administrator for consideration, before scheduling it to go the BCC.This item has been delayed because of the County's COVID 19 response efforts. This matter is not considered essential, so the scheduling of this item on the BCC calendar has been postponed.","Lyon, Blake G","Reazin, J","Burton, Barry",,"The      County is trying to determine how best to address the property standards      (or lack thereof) for properties that have fallen into disrepair and      foreclosure. The goal is to return these properties back into      contributing assets for the community. The County is looking at both      practical methods, as well as legal methods.","Building and Development Review Services, County Administrator, County Attorney","395","This is a discretionary project.","395_Building and Development Review Services_4/9/2020 11:20 AM","2017-10-01T12:00:00.000"
"Public Works","2 - Ensure Public Health, Safety, and Welfare","Develop Pinellas County Trails Visioning Document","2019-11-15T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","40","​Finalized Consultant selection.  Notice to proceed should occur in February 2020 with an anticipated completion of 12/31/2020​​","Jacobs, Kenneth A",,,,"Develop visioning plan for Pinellas County trail system including public input and future trail projects and priorities.",,"403","This is a discretionary project to improve processes.","403_Public Works_1/14/2020 3:04 PM","2018-10-01T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Records Management and Retention","2020-06-01T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"In progress,","Heiss, Patsy",,,,"***FLAG-Look at combining into one item for documentationrelated, or possibly delete?***This project will provide a standard way to handle records retention.",,"412","This is a mandatory or statutory requirement.","412_Utilities_1/21/2020 2:35 PM",
"Convention and Visitors Bureau","4 - Foster Continual Economic Growth and Vitality","Create branded digital media content and develop in-destination digital media content for YouTube, Vimeo, Amazon, etc.",,"Department","In Progress",,,,,,,,,,"413",,"413_Convention and Visitors Bureau_12/27/2019 2:01 PM",
"Utilities","1 - Create a Quality Workforce in a Positive, Supportive Organization","Innovation Committee",,"Department","In Progress","2019-12-24T12:00:00.000",,"The Innovation Committee had an article titled ""Pinellas County Utilities The Innovation Journey Begins"" published in the December issue of the Department Newsletter. Several IC team members have presented or are planning to present the IC program in their respective Divisions in the next few weeks to highlight the establishment of this Committee and make employees aware of the SharePoint site where they can submit ideas for consideration by the IC.","Nayak, Bina",,,,"The PCU Innovation Committee was created to seek, evaluate and facilitate implemention of innovative ideas captured from within our workforce related to technologies, process improvement, solutions to current and emerging challenges, enhancing customer service and business relations.",,"433","This is a discretionary project.","433_Utilities_12/24/2019 12:14 PM",
"Public Works","2 - Ensure Public Health, Safety, and Welfare","Develop a proactive sidewalk maintenance plan to reduce accidents and increase safety.","2020-12-01T12:00:00.000","BCC","In Progress","2019-12-31T12:00:00.000","30","On Track – The asset management plan is being finalized and the draft is being reviewed.  Next steps include detail data collection to evaluation to prioritize asset repair and replacement schedule. ​","Jacobs, Kenneth A",,,,"Enhance pedestrian and bike safety through proactively maintaining sidewalk infrastructure.  Complete Sidewalk Asset Management Plan (AMP) and develop a detailed long-term maintenance plan.",,"402","This is a discretionary project to improve processes.","402_Public Works_1/14/2020 5:01 PM","2019-10-30T12:00:00.000"
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Interlocal Agreements","2021-12-31T12:00:00.000","Department","In Progress","2020-02-29T12:00:00.000","20","Agreement for St Pete Beach reclaimed under review by County Atty.​   After approval agreement to be reviewed and approved by City of St.  Pete Beach, then to BoCC.  nExt ILA for approval will be Pinellas Park potable wholesale agreement.  Change in completion date due to merging of all ILA projects into one item.","Graham, Joseph R",,,,"Update and execution of new interlocal agreements for municipal wholesale users","Utilities","398",,"398_Utilities_2/5/2020 3:15 PM",
"Utilities","3 - Practice Superior Environmental Stewardship","Current legislation and hot topics","2020-03-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"​Overview and tracking of state and federal legislation, and any other hot topics that affects PCU.","Duggan, Michele",,,,"Currently following filed legislation ahead of the 2020 session which begins on January 13, 2020.",,"439","This is a regulatory requirement.","439_Utilities_12/24/2019 12:14 PM",
"Office of Technology and Innovation","2 - Ensure Public Health, Safety, and Welfare","Implement Accela; Consumer Protection",,"BCC","In Progress","2020-02-28T12:00:00.000","10","​The project timeline is still in progress.• The contract was approved by the Board on 10/8/2019• The kickoff meeting occurred January 27th – OTI has assigned a project management/ coordination on the County side. The vendor has presented a resource plan and schedule. Gap analysis sessions are scheduled to begin in March.","Zordan, Dana M","Frank, Deb","Templeton, Doug B","Zordan, Dana M","​Consumer Protection Application Replacement Improve customer and citizen experience by replacing Consumer Protection's obsolete application with Accela Civic Platform, a Cloud/ SaaS application. The current application was developed internally and written in an unsupported code/ framework.","Administrative Services, Human Resources","408","This is a discretionary project to improve processes.","408_Office of Technology and Innovation_5/15/2020 2:16 PM","2019-10-08T12:00:00.000"
"Parks and Conservation Resources","1 - Create a Quality Workforce in a Positive, Supportive Organization","Small Tool Inventory and replacement program","2020-01-30T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,,"Wurster, James G",,,,"Develop complete inventory of small tools in use by department and initiate tracking and replacement procedures",,"411","This is a discretionary project to improve processes.","411_Parks and Conservation Resources_12/24/2019 10:54 AM",
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Create a PCR/Utilities SLA agreement",,"BCC","On Hold","2019-12-31T12:00:00.000","0","​1/6/2020- SLA Agreement contingent on completion of Utilities/Parks Infrastructure Plan scheduled for completion by Utilities on 2/1/2020.","Wurster, James G",,,,"Prepare a service level agreement to address mtc. of lift stations, fire hydrants and water/sewer lines",,"475","This is a discretionary project to improve processes.","475_Parks and Conservation Resources_1/9/2020 11:07 AM","2019-04-01T12:00:00.000"
"Parks and Conservation Resources","5 - Deliver First Class Services to the Public and Our Customers","Park Memorial Program","2020-05-30T12:00:00.000","Department","Not Started","2019-12-24T12:00:00.000",,,"Curtis, Robert S",,,,"Prepare written procedures that will allow some type of recognition for citizens wishing to make a donation of park amenities in the name of another person",,"406","This is a discretionary project.","406_Parks and Conservation Resources_1/10/2020 10:44 AM",
"Office of Asset Management","2 - Ensure Public Health, Safety, and Welfare","Department Level of Service Agreements","2020-07-01T12:00:00.000","Department","In Progress","2020-02-05T12:00:00.000","5",,"Waugh, Jeremy",,,,"Working with Departments, coordinate, define, and document departmental  and inter-agency level of service agreements for the maintenance of common assets (EAM Strategy 2.2, 2.3, 5.1, 12.2)",,"404","This is an administrative directive.","404_Office of Asset Management_2/5/2020 9:40 AM","2020-02-01T12:00:00.000"
"Office of Management and Budget","5 - Deliver First Class Services to the Public and Our Customers","ADA Compliance","2020-05-30T12:00:00.000","Department","On Hold","2020-02-29T12:00:00.000","10","Policy presented by BTS to BTS Board at March meeting and will seek approval at subsequent meeting. No additional work or plan established for historical content.","Berger, William M",,,"Berger, William M",,"Office of Technology & Innovation (OTI)","1",,"1_Office of Management and Budget_3/12/2020 5:29 PM",
"Solid Waste","3 - Practice Superior Environmental Stewardship","Conduct a waste composition study","2020-06-15T12:00:00.000","BCC","Not Started","2019-12-31T12:00:00.000","0","Milestone 1- draft Master Plan has been presented via memo, staff to present to BCC in a work session on 2/6.","Bush, Deb B",,,,"Conduct a waste composition study (following Master Plan completion; staff to develop scope of work)",,"447","This is a discretionary project to improve processes.","447_Solid Waste_1/3/2020 11:35 AM","2020-02-15T12:00:00.000"
"Airport","5 - Deliver First Class Services to the Public and Our Customers","Veterans' Honor Flights (4)","2020-09-30T12:00:00.000","County Administration","Not Started","2020-01-31T12:00:00.000",,,,,,,,,"403",,"403_Airport_1/31/2020 1:36 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Prioritize and continue the implementation of the Asset Management Program. The Asset Management Program should include: Comprehensive assessment of all assets","2020-09-30T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"Updates are under way. Asset Lifecycle Engineer being recruited to complete this item.","Menke, Tom",,,,,,"441","This is as a result of an IG audit.","441_Utilities_12/24/2019 12:14 PM",
"Utilities","5 - Deliver First Class Services to the Public and Our Customers","Digitization of Personnel Records","2020-12-31T12:00:00.000","Department","In Progress","2019-12-24T12:00:00.000",,"PCU limited testing scheduled 10/31. Meeting Monday 10/21 with GMDS records personnel to discuss final set-up of personnel files with respect to medical and disciplinary documentation.","Heiss, Patsy",,,,"***FLAG-Look at combining into one item for documentation related items, or possibly delete?*** This project will provide a standard way to document all our processes and maintain them in a central location.",,"414","This is a discretionary project to improve processes.","414_Utilities_1/21/2020 2:35 PM",
