"agency","address","city","state","zip","phone","counties_served","program_type","funding_source","program_description","contract_dates","contract_number","funding_level","website","georeference"
"Steuben Churchpeople Against Poverty, Inc. (dba Arbor Housing & Development)","P. O. Box 31","Bath","NY","14810","(800) 286-3407","STEUBEN","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028770","59000.00","http://arbordevelopment.org",
"Partnership for Ontario County, Inc.","482 N. Main Street","Canandaigua","NY","14424","(585) 394-2573","ONTARIO","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/17-1/31/22","C027956","137531.00","http://partnershipforontariocounty.org/","POINT (-77.292175 42.902855)"
"Buffalo Prenatal-Perinatal Network","625 Delaware Avenue,  Suite 410","Buffalo","NY","14201","(716) 884-6711","ERIE","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three month of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services. 
Contractor also participates in the 7 years follow up random evaluation for Healthy Families.","10/1/21-9/30/22","C028300","547355.00","https://www.healthyfamiliesnewyork.org/","POINT (-78.873335 42.901313)"
"YWCA of the Niagara Frontier, Inc","32 Cottage Street","Lockport","NY","14094","(716) 433-6716","NIAGARA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029185","55121.00","http://www.ywcaniagara.org","POINT (-78.693972 43.16863)"
"Barrier Free Living Inc.","270 East Second Street","New York","NY","10009","(212) 677-6668","NEW YORK CITY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029156","16178.00","http://www.bflnyc.org","POINT (-73.980498 40.720785)"
"Urban Resource Institute","75 Broad Street, Suite 505","Brooklyn","NY","11201","(718) 260-2932","NEW YORK CITY","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029181","94027.00","http://urinyc.org","POINT (-74.014257 40.674402)"
"EnCompass Resources","275 Pinnacle Road","Rochester","NY","14623","(585) 210-4715","MONROE","Youth Development","Public Private Partnership","Propose to expand existing Reinvest in Youth model focused on 80 ""system involved"" youth (11-17) to engage in school and community. Trauma informed professional development for 100 teachers, professionals.","03/1/19-11/30/20","C028463","416259.00","http://www.encompassresources.org","POINT (-77.582959 43.078407)"
"Y.W.C.A. of the Mohawk Valley","284 W. Main Street","Ilion","NY","13357","(315) 895-0349","HERKIMER","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/19","C028048","162524.00","http://www.ywcamv.org","POINT (-75.045263 43.019534)"
"Family & Children's Association","377 Oak Street, Fifth Floor","Garden City","NY","11530","516.485.4289 x1223","Nassau","Prevention","Community Based Child Prevention Program-Federally Funded","Families Count will provide case management, family mediation, and deliver the Active Parenting Curriculum to 50 families a year; each family will receive services for 6 months.","8/1/21-7/31/24","C029054","150000.00","https://fcali.org/","POINT (-73.608059 40.725589)"
"Victims Assistance Center of Jefferson County, Inc.","418 Washington Street","Watertown","NY","13601","(315) 782-1855","JEFFERSON, LEWIS, ST LAWRENCE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV80","323250.00","http://www.vacjc.com","POINT (-75.911667 43.970447)"
"Family Help Center","60 Dingens Street","Buffalo","NY","14203","716-822-0919","ERIE","Child Abuse Prevention","Public Private Partnership","Provides the Helpful and Positive Interactions (HAPI) for Families program to families with children in their Children's Center for Success (CCS) and with partnering agencies. Target families with children at risk for child abuse and maltreatment and implements the evidence-based Parents Interacting with Infants (PIWI) and Positive Solutions for Familes (PSF) models.","03/1/19-11/30/20","C028464","58025.00","https://familyhelpcenter.net/","POINT (-78.812969 42.877871)"
"Brookdale Hospital Medical Center","One Brookdale Plaza","Brooklyn","NY","11212","(718) 240-8340","KINGS","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","3/1/19-6/30/19","C028476","132392.00","http://www.brookdalehospital.org",
"Pinnacle Community Services, Inc.","1522 Main Street","Niagara Falls","NY","14305","(716) 285-6984","NIAGARA","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029177","30290.00","https://pinnaclecs.org/","POINT (-79.052424 43.103416)"
"Institute for Family Health","279 Main Street Suite 201","New Paltz","NY","12561","845-499-8906","DUTCHESS","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services.","10/1/18-9/30/23","C028301","295058.00","https://www.healthyfamiliesnewyork.org/","POINT (-74.068689 41.742315)"
"Westchester County Office for Women","112 East Post Road, Room 110B","White Plains","NY","10601","(914) 995-2900","WESTCHESTER","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV84","53875.00","http://women.westchestergov.com","POINT (-73.766722 41.028237)"
"Nassau BOCES","Farber Administration Center            71 Clinton Road","Garden City","NY","11530","516-712-8897","Nassau","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","Parent Child Plus program. Engages families with children ages 16 mos. to 4 years in the core model and Family Child Care providers in another model.Provides the PC+ program for two years with twice-weekly home visits with a trained Early Learning Specialist who provides toys and books to build child's development or improve the FCC setting. Program provides socialization opportunities and a Parent Advisory Committee, building upon the home visiting program by deepening parent involvement and leadership skills building.","8/1/19-7/31/24","C028524","148919.00","https://www.nassauboces.org/domain/1357",
"Safe Horizon, Inc. (Queens)","112-25 Queens Boulevard","Forest Hills","NY","11375","(718) 575-1342","QUEENS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/20-9/30/25","C028983","346830.00","http://www.safehorizon.org","POINT (-73.836574 40.71834)"
"Mechanicville Area Community Services Center","PO Box 30, 6 Main Street, South","Mechanicville","NY","12118","(518) 664-8322         ext. 1004","SARATOGA","Child Abuse Prevention/Parenting Education","Community Based Child Prevention Program-Federally Funded","Partners in Parenting: Support & Education for Today’s Families:  Structure parenting education classes and parenting support with Pre-K classes for their children.","8/1/19-7/31/24","C028531","40589.00","https://www.mechanicvilleacsc.org/",
"Niagara Falls Memorial Medical Center","501 Tenth Street","Niagara Falls","NY","14302","(716) 278-4543","NIAGARA","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028053","135629.00","http://www.cacofniagara.org","POINT (-79.050316 43.091706)"
"Hillside Childrens Center","1183 Monroe Avenue","Rochester","NY","14620","(585) 435-8600","MONROE","Child Abuse Prevention","Public Private Partnership","To address gap in service, Hillside’s PAT will partner with EI to recruit families on the wait list as well as those receiving developmental monitoring and provide parent education and support services during this critical stage in child development.","03/1/19-11/30/20","C028453","269938.00","https://www.hillside.com/","POINT (-77.579253 43.138341)"
"Child and Family Services of Erie County","P.O. Box 451, Ellicott Station","Buffalo","NY","14205","(716) 884-6000","ERIE","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028811","59000.00","http://www.cfsbny.org",
"Adoptive and Foster Family Coalition of New York","950 Danby Road Suite 318","Ithaca","NY","14850","(607) 272-0034","BROOME, CHEMUNG, SCHUYLER, TOMPKINS","Permanency Resource Centers","State Aid to Localities","Programs which work to prevent post adoptive and post guardianship dissolutions/disruptions, provide assistance to families so that children may be care in their own homes with their adoptive parent (s) or legal guardian (s) and work to strengthen post adoptive and post guardianship families","12/1/16-3/30/23","C027935","300000.00","https://affcny.org/","POINT (-76.500669 42.422904)"
"Oswego County Opportunities, Inc.","239 Oneida Street","Fulton","NY","13069","(315) 598-6988","OSWEGO","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028802","62000.00","http://www.oco.org","POINT (-76.415094 43.325299)"
"Rising Ground","463 Hawthorne Avenue","Yonkers","NY","10705","914-375-8879","Bronx","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","Primarily serves the families of the Soundview, Castle Hill, and surrounding neighborhoods in the Bronx through its Family Resource Center. Provides parenting education via the Parenting Journey curriculum, workshops, peer support, family activities, structured playgroups, assist families with accessing medical/mental health/social services/etc. Provides opportunities for parent leadership and linkage to community supports.","8/1/19-7/31/24","C028536","150000.00","https://www.risingground.org/program/soundview-family-resource-center/","POINT (-73.905154 40.916659)"
"Advocacy Center of Tompkins County Inc., The","P. O. Box 164","Ithaca","NY","14851","(607) 277-3203","TOMPKINS","Sexual Assault","FVPSA  ARP SA","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA02","144670.00","http://www.theadvocacycenter.org",
"Victims Assistance Center of Jefferson County, Inc. Mobile Unit","418 Washington Street","Watertown","NY","13601","(315) 755-1573","JEFFERSON, LEWIS, ST LAWRENCE","Multidisciplinary/Children's Advocacy Center","VOCA (OVS)","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/21","C028465","400000.00","http://www.vacjc.com","POINT (-75.911667 43.970447)"
"Catholic Charities of Chemung/Schuyler","105 Ninth Street","Watkins Glen","NY","14891","(800) 942-6906","SCHUYLER","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028819","22000.00","http://www.cs-cc.org","POINT (-76.871133 42.377392)"
"Westchester Jewish Community Services","845 North Broadway","White Plains","NY","10603","(914) 761-0600","WESTCHESTER","Prevention","Community Based Child Prevention Program-Federally Funded","The national model, promoting parent-child interaction and early literacy using a school readiness curriculum. The program also conducts Family Child Care Model.                                     They conduct assessments and referrals to needed services are offered based on a family’s needs.  Primary services are: Home Visitors meets with a parent and child, introducing a book and toy as tools to teach literacy skills and encourage parent-child interaction which results in increased communication and bonding. The program’s goal is to support the parent as the child’s first and most important teacher.

The families are assessed, using the PACT (Parent and Child Together), measuring parent activities and the CBT (Child Behavior Traits), assessing cognitive, social and emotional child behaviors. Based on the baseline assessments, progress is documented over time.  

The Parent Child Center also provides resources for families and includes a drop-in center twice a week. During COVID there are regular virtual sessions for families.","8/1/19-7/31/24","C028532","190440.00","https://www.wjcs.com/","POINT (-73.766036 41.06119)"
"Safe Center LI, Inc., The","15 Grumman Road West, Suite 1000","Bethpage","NY","11714","(516) 465-4700","NASSAU","Sexual Assault","FVPSA  ARP DV","NYS DOH Certified Rape Crisis Center & Sexual Assault Program providing services to victims of rape/sexual assault","10/1/2021 - 9/30/2024","SA36","244670.00","http://www.cadvnc.org/cadv","POINT (-73.489163 40.743873)"
"Clinton County (District Attorney’s Office (Franklin Co.) Mobile Unit","131 Arizona Avenue","Plattsburgh","NY","12901","(518) 565-4486","CLINTON, FRANKLIN, ESSEX, and ST REGIS","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/18-9/30/21","C028321","400000.00",,"POINT (-73.459176 44.659877)"
"Cayuga Counseling Services, Inc.","17 East Genesee Street","Auburn","NY","13021","(315) 253-9795","CAYUGA","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/17-1/31/22","C027958","144136.00","http://www.cacofcayugacounty.org","POINT (-76.562344 42.933141)"
"Salvation Army - Empire State Division (Syracuse)","677 South Salina Street","Syracuse","NY","13202","(315) 479-3636","ONONDAGA","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV65","323250.00","http://www.use.salvationarmy.org/use/www_use_SyracuseNY.nsf","POINT (-76.150679 43.040632)"
"Mental Health Association of Fulton and Montgomery Counties (Hamilton Co.)","307-309 Meadow Street","Johnstown","NY","12095","(518) 736-2443","FULTON, MONTGOMERY AND HAMILTON","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","2/1/18-1/31/23","C028144","131787.00","http://www.mentalhealthassociation.org/","POINT (-74.377811 43.00205)"
"Clinton County (District Attorney) (expansion)","130 Arizona Avenue","Plattsburgh","NY","12901","(518) 565-4485","CLINTON, FRANKLIN, ESSEX, and ST REGIS","Multidisciplinary/Children's Advocacy Center","VOCA (OVS)","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/17-9/30/22","C028071","100000.00",,"POINT (-73.459691 44.660762)"
"Child and Family Resources Inc.","263 Lake St.","Penn Yan","NY","14527","(585) 919-2476","YATES","Healthy Families New York Home Visiting","Delinking","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","12/1/21-11/30/22","C029036","105721.00","https://www.healthyfamiliesnewyork.org/","POINT (-77.059938 42.652538)"
"Lewis County Opportunities, Inc.","8265 State Route 812","Lowville","NY","13367","(315) 376-8202","LEWIS","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV43","53875.00","http://www.lewiscountyopportunities.com","POINT (-75.438379 43.836709)"
"Catholic Charities of Herkimer County","61 West Street","Ilion","NY","13357","(315) 866-0458","HERKIMER","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV09","91588.00","http://www.ccherkimercounty.org","POINT (-75.039172 43.014093)"
"Westchester County District Attorneys Office","WIHD/Cedarwood Hall","Valhalla","NY","10595","(914) 493-5333","WESTCHESTER","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","02/01/2022 - 09/30/2025","C029321","159222.00","http://www.wihd.org",
"Proaction of Steuben and Yates, Inc.","117 East Steuben Street","Bath","NY","14810","(607) 776-2125 Ext 312","STEUBEN","Child Abuse Prevention","Community Based Child Prevention Program-Federally Funded","Family Resource Centers in Hornell, Addison, Bath and a Mobile Resource Center that visits several schools. Providing home visiting services, parent education, information and referral, and family activities for 220 families.","8/1/19-7/31/24","C028529","147668.00","http://www.proactioninc.org","POINT (-77.313655 42.333262)"
"Fearless! Hudson Valley Inc. (formerly known as Orange County Safe Homes Project, Inc.)","P. O. Box 649","Newburgh","NY","12551","(888) 503-4673","ORANGE, SULLIVAN","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029209","55121.00","http://www.safehomesorangecounty.org",
"Grace Smith House, Inc.","P. O. Box 5205","Poughkeepsie","NY","12602","(845) 471-3033","DUTCHESS","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028823","59000.00","http://www.gracesmithhouse.org",
"Schoharie County Department of Social Services","107 Prospect Street","Schoharie","NY","12157","(518) 702-4118","SCHOHARIE","Multidisciplinary/Children's Advocacy Center","State Aid to Localities","Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.","10/1/15-9/30/20","C027702","132737.00",,"POINT (-74.309225 42.665767)"
"Volunteers of America - Greater New York Inc.","135 W. 50th Street, 9th Floor","New York","NY","10020","(212)316-8244","NEW YORK CITY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV83","129300.00","https://www.voa-gny.org/dv","POINT (-73.982247 40.760684)"
"Erie County District Attorney's Office","25 Delaware Ave","Buffalo","NY","14202","(716) 858-2461","ERIE","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028798","32000.00","http://www2.erie.gov/da","POINT (-78.878754 42.884549)"
"New York Council On Adoptable Children","333 W. 39th St, Fl 2","New York","NY","10018","(212) 475-0222","ALL NYC","Post Adoption","Temporary Assistance For Needy Families","Providing services to keep pre- and post- adoptive families including information and referral, advocacy, counseling, case management, support groups, respite, mentor programs, crisis intervention, and youth development.","6/1/19-5/31/24","C028406",,"http://www.coac.org","POINT (-73.992749 40.755992)"
"Urban Justice Center","40 Rector Street, 10th Floor","New York","NY","10012","(646) 602-5601","NEW YORK CITY","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028772","32000.00","http://www.urbanjustice.org","POINT (-74.014801 40.708382)"
"Institute for Family Health (Dutchess) (MIECHV)","279 Main Street, Suite 201","Poughkeepsie","NY","12601","(845) 452-3387","DUTCHESS","Healthy Families New York Home Visiting","Federal MIECHV funds","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","10/1/18-9/30/23","C028301","259059.00","http://www.institute2000.org","POINT (-73.9278 41.703761)"
"Putnam/Northern Westchester Women's Resource Center, Inc.","935 South Lake Blvd., Suite 2","Mahopac","NY","10541","(845) 628-9284","PUTNAM","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV59","129300.00","http://pnwwrc.org","POINT (-73.735708 41.372242)"
"Opportunities for Otsego, Inc.","3 West Broadway","Oneonta","NY","13820","(607) 433-0444","OTSEGO","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027561","367456.00","http://www.ofoinc.org","POINT (-75.071301 42.448111)"
"Bronx-Lebanon Hospital Center","1650 Selwyn Avenue, Suite 5H","Bronx","NY","10457","(718) 960-1461","BRONX","Healthy Families New York Home Visiting","Federal MIECHV funds","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","10/1/21-9/30/22","C028299","217985.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.910406 40.84347)"
"YWCA of the Mohawk Valley","7 Rutger Park","Utica","NY","13502","(315) 732-2159","ONEIDA","Domestic Violence","FVPSA","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","4/1/2020 - 3/31/2025","C028836","65000.00","http://www.ywcamv.org","POINT (-75.229051 43.09573)"
"Allegany County Community Opportunities and Rural Development, Inc. (aka ACCORD)","84 Schuyler Street, PO Box 573","Belmont","NY","14813","(585) 268-7605","ALLEGANY","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV03","91588.00","http://www.accordcorp.org","POINT (-78.029996 42.225244)"
"Family Counseling Service of the Finger Lakes, Inc.","671 South Exchange Street","Geneva","NY","14456","(877) 298-9468","ONTARIO, SENECA, YATES","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029153","9608.00","http://www.fcsfl.org","POINT (-76.982521 42.864314)"
"Legal Services of the Hudson Valley","90 MAPLE AVENUE","White Plains","NY","10601","914-949-1305","WESTCHESTER","Legal Services for Kinship caregivers (Guardians)","Trust Fund","Focus on assisting kinships caregivers with securing housing and/or entitlements for custodial arrangements.","8/1/19-7/31/24","C028538","92400.00","https://lshv.org/","POINT (-73.766449 41.026773)"
"Chances and Changes, Inc.","P. O. Box 326","Genesee","NY","14454","(888) 252-9360","LIVINGSTON","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV16","91588.00","http://www.chancesandchanges.org",
"Lifespan of Greater Rochester, Inc.","1900 South Clinton Avenue","Rochester","NY","14618","(585) 244-8400","MONROE","Domestic Violence","FVPSA  ARP","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","8/1/2021 - 9/30/2025","C029224","30290.00","http://www.lifespan-roch.org","POINT (-77.594889 43.121047)"
"Schenectady County Public Health Services","107 Nott Terrace, Suite 304","Schenectady","NY","12308","(518) 386-2824 x. 9-927","Schenectady","Healthy Families New York Home Visiting","State Aid to Localities","HFNY targets expectant parents and parents with an infant less than three months of age who have characteristics that place them at high risk for child abuse or neglect and live in vulnerable communities marked by high rates of poverty, infant mortality, and teen pregnancy.  HFNY’s home visitors provide families with support, education, and linkages to community services","7/1/20-6/3025","C028894","629865.00","https://www.healthyfamiliesnewyork.org/","POINT (-73.933712 42.813973)"
"St. Lawrence Valley Renewal House for Victims of Family Violence, Inc.","3 Chapel Street","Canton","NY","13617","(315) 265-2422","ST. LAWRENCE","Domestic Violence","FVPSA  ARP DV","Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.","10/1/2021 - 9/30/2024","DV72","193950.00","http://www.slvrenewalhouse.org","POINT (-75.170149 44.597202)"
"Morris Heights Health Center, Inc.","85 West Burnside Avenue","Bronx","NY","10453","(718) 483-1255","BRONX","Healthy Families New York Home Visiting","State Aid to Localities","Evidence-based home visiting services for expectant and new parents beginning weekly and decreasing over time until the child enters school or Head Start. Services include educating families on parenting and child development, connecting families to medical providers, assessing children for developmental delays, and helping families access community resources.","7/1/15-6/30/20","C027587","615784.00","http://www.mhhc.org","POINT (-73.91029 40.854546)"
