"no","nombre_o_razon_social","direccion","sector_economico","vigencia_registro_actividad","codigo_de_la_actividad","descripcion_actividad"
"504","MAYORGA GUTIERREZ MARCELA","CL 5  8 15 ESQUINA","SECTOR SERVICIOS","2020","5210","Almacenamiento, parqueaderos y depósitos."
"505","DISEÑOS ARTEKTO SAS","CL 24 SUR 15 26","SECTOR INDUSTRIAL","2016","1630","Fabricación de partes y piezas de madera, de carpintería y ebanistería para la construcción"
"506","MEDIA COMMERCE PARTNERS SAS","CL 55 71 57","SECTOR SERVICIOS","2017","6110","Actividades de telecomunicaciones alámbricas."
"507","BONILLA MONTIEL ARGEMIRO","CL 25  37 136 LC 2","SECTOR COMERCIAL","2020","4520","Mantenimiento y reparación de vehículos automotores."
"508","CHAVEZ MORA GUILLERMO","CR 6 18A 48","SECTOR SERVICIOS","2016","9609","Otras actividades de servicios personales n.c.p."
"509","LOP EZ HERRERA ZOILA ISLANDA DEL ROSARIO","TV 57 108 31","SECTOR SERVICIOS","2016","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"510","MORENO BEJARANO JOEL ORLANDO","TV 12 19 A18","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"511","APARICIO  JOSE URIEL","CL 9 20 36 LC 10 BRR LA PEPITA BOGOTA","SECTOR SERVICIOS","2020","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"512","MORIMITSU MEJIA CRISTOBAL","CL 7  4 48","SECTOR COMERCIAL","2020","1410","Confección de prendas de vestir, excepto prendas de piel."
"513","VIVAS GARZON ALEXANDER","CL 25  2 03 B MACARENA","SECTOR COMERCIAL","2020","4530","Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores"
"514","DI`GALA","CL 9 6 21 LC 116 P 2","SECTOR COMERCIAL","2015","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"515","CARRILLO GALEANO LUIS HERNANDO","KM 67 VIA CHINAUTA","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"516","EL PUNTO DE LA CAMISETA","CARERA 7 NO. 7-16","SECTOR COMERCIAL","2012","201","COMERCIAL"
"517","RED  SPOT","CL 9 7 80 LC 104  FUSA","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"518","CHIGANGANA HORMIGA OSCAR ALIRIO","CARRERA 8 CALLE 9 ESQUINA","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"519","ACEVEDO MORENO EDWIN DUVAN","AV LAS PALMAS 10 15","SECTOR COMERCIAL","2020","4722","Comercio al por menor de leche, productos lácteos y huevos, en establecimientos especializados."
"520","VENTA DE AREPAS EL PORVENIR","INSPECCIONES LA AGUADITA","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"521","ARIAS ARRIETA SANDRA YANET","CALLE 7 NO. 7-46 LOCAL 1","SECTOR COMERCIAL","2020","4729","Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados"
"522","MELO RIAÑO JULIA JANETH","CL 5 7 71","SECTOR SERVICIOS","2018","9609","Otras actividades de servicios personales n.c.p."
"523","MARTINEZ CORTES LUZ MERY","CR 6 11 18","SECTOR INDUSTRIAL","2020","2395","Fabricación de artículos de hormigón, cemento y yeso."
"524","WISKERIA EL PALMAR","DIAGONAL 3 # 1A 07","SECTOR SERVICIOS","2019","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"525","ROMERO ROJAS FRANCIA PATRICIA","CR 10 6 14","SECTOR SERVICIOS","2016","9602","Peluquería y otros tratamientos de belleza."
"526","EXPENDIO DE  CARNES  EL MANJAR","CR 6 21 84","SECTOR COMERCIAL","2016","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"527","VIVERO JARDINES LA UVITA","CHINAUTA KM 65 FINCA VILLA YUDY","SECTOR INDUSTRIAL","2016","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"528","MINIMERCADO EBEN EZER (NO MATRICULADO EN CAM DE CIO.)","MZ K CS 97 CIUDAD EBEN EZER","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"529","MOLINEY","MZ C CS 98 CIUDAD EBEN EZER","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"530","MELO LOPEZ MARIA FERNANDA","CL 19 62 51 BRR LA VENTA","SECTOR COMERCIAL","2017","4759","Comercio al por menor de otros artículos domésticos en establecimientos especializados."
"531","VARGAS RINCON YASMIN ELISA","CL 7 6 65","SECTOR COMERCIAL","2020","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"532","LOZANO RODRIGUEZ GLORIA EDELMIRA","CR 11 7 A 58","SECTOR SERVICIOS","2017","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"533","JNEET","DG 16 4-32","SECTOR SERVICIOS","2015","52","Almacenamiento y actividades complementarias al transporte"
"534","MONTEJO DE MONTEJO SATURNINA","DG 21 63 87","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"535","PULIDO MARIA PASION","CR 8 4 64","SECTOR SERVICIOS","2016","7721","Alquiler y arrendamiento de equipo recreativo y deportivo."
"536","HOGAR GERIATRICO AÑOS MARAVILLOSOS FUSAGASUGA","CR 9 22 80","SECTOR SERVICIOS","2016","8710","Actividades de atención residencial medicalizada de tipo general."
"537","GONZALEZ GONZALEZ CAROLINA","CR 8 9 49","SECTOR COMERCIAL","2020","4631","Comercio al por mayor de productos alimenticios."
"538","INFANTE DUEÑAS CONSUELO","CR 6 9 13 LC 102","SECTOR SERVICIOS","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"539","RAIGOZO OCHOA ANA JUDITH","CHINAUTA K.M 70 VIA  MELGAR","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"540","TUNJANO MARIA BERLAMINA","CR 11 1 33","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"579","LEYDI PLAST","PLAZA DE MERCADO L. 09","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"541","TIENDA DOÑA FLOR","CALLE 2 No. 9-08","SECTOR COMERCIAL","2015","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"542","VESTIDOS MARIA C","CL 8 8 67","SECTOR COMERCIAL","2016","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"543","VARIEDADES Y DETALLES NICOL S","CARRERA 6 NO. 7-36","SECTOR COMERCIAL","2016","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"544","ALEXANDRA RIAÑO MARY","CR 6 21 15","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"545","PAPELERIA Y MISCELANEA JESSICA PAOLA","CL 17 6 40 BRR BALMORAL","SECTOR COMERCIAL","2016","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"546","HELADERIA Y CAFETERIA EL ÉXITO","CALLE 9 NO. 7-26","SECTOR SERVICIOS","2020","5613","Expendio de comidas preparadas en cafeterías."
"547","HERRERA DE RODRIGUEZ LUZ STELLA","DG 16 A 2 86","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"548","TORRES PAREJA LUZ MARINA","CR  11C  21  34","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"549","EYM GOURMET SAS","CL  5  8  18","SECTOR INDUSTRIAL","2020","1011","Procesamiento y conservación de carne y productos cárnicos."
"550","SANOAGRO AGROINSUMOS SAS","CR  6A  14  69","SECTOR INDUSTRIAL","2017","2012","Fabricación de abonos y compuestos inorgánicos nitrogenados."
"551","GUERRERO IBAÑEZ DIANA ANDREA","TV  12  22  42","SECTOR COMERCIAL","2020","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"552","GREEN OULET","CR  6  8  53","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"553","INTER ACTUA.NET","CL  20  11  42","SECTOR SERVICIOS","2015","9609","Otras actividades de servicios personales n.c.p."
"554","VEGA RAMIREZ OSCAR HERNAN","CR 7 10 62","SECTOR COMERCIAL","2016","4520","Mantenimiento y reparación de vehículos automotores."
"555","@NET.CAFEINTERNET","CR  6  20A  19","SECTOR SERVICIOS","2016","6110","Actividades de telecomunicaciones alámbricas."
"556","PELUQUERIA","CR  6  11  13","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"557","SURTIPOLLOS DE LA 22","CR  2  22  16","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"558","FELIZ AMANECER DEL ADULTO MAYOR","CL  7  2  35","SECTOR SERVICIOS","2014","8730","Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas."
"559","JARDIMOTOS","CL  11  6  36","SECTOR COMERCIAL","2017","4541","Comercio de motocicletas y de sus partes, piezas y accesorios."
"560","TIENDA DONDE NEFTA","VDA GUAVIO BAJO","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"561","NAOMINET","CR 6 22 32","SECTOR FINANCIERO","2017","6411","Banco Central."
"562","PEKO`S  IN","CR 6 7 36 LC  109-6","SECTOR COMERCIAL","2012","201","COMERCIAL"
"563","BARBOSA ROJAS CAROLINA","CR 12 21 13 B-  LC 3","SECTOR SERVICIOS","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"564","GALINDO GALINDO SONIA MILENA","CR 42 20 65","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"565","SUAREZ ALVAREZ LUZ MARINA","CL 8 9 50 LC 1","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"566","TRANSPORTE ASOTAXIS","VDA LA TRINIDAD LC T FCA  LA PALMA","SECTOR SERVICIOS","2016","4921","Transporte de pasajeros."
"567","ESTUPIÑAN CARRERO DIANA LORENA","CL 22 6 15","SECTOR COMERCIAL","2017","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"568","PACANCHIQUE FLOREZ YEIMMY STEFANNY","MZ K CS 60 EBEN EZER","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"569","SANCHEZ BEJARANO GINA PAOLA","CR 11 7 21","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"570","CENTRO DE ESTUDIOS TECNICOS DE CUNDINAMARCA","CL 10 6 20","SECTOR SERVICIOS","2016","8523","Educación media técnica y de formación laboral."
"571","CORTINAS PANAMERICANA","CL 10 9 17","SECTOR INDUSTRIAL","2017","1392","Confección de artículos con materiales textiles, excepto prendas de vestir."
"572","NINGUNO REPORTADO","CR 4 2 E 15 BRR PEKIN","SECTOR COMERCIAL","2019","4921","Transporte de pasajeros."
"573","TIENDA  LUZ  MARY","CL 1 5 A 41","SECTOR COMERCIAL","2019","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"574","MORA  DIAZ MARIA CRISTINA","CR 62 19 10","SECTOR COMERCIAL","2019","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"575","VARIEDADES KAREN PAOLA","AV LAS PLAMAS 9 22 LC 114","SECTOR COMERCIAL","2017","4754","Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico, muebles y equipos de iluminación"
"576","TIENDA LOS PICONEROS","CARRERA 11 No. 9 99","SECTOR COMERCIAL","2012","201","COMERCIAL"
"577","ZEUS PELUQUERIA","CL 7 7 28","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"578","LOZANO AMAYA BLANCA LILIA","AVENIDA LAS PALMAS No. 7-38","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"581","CANCHA SINTETICA F6 CHAMPIONS LEAGUE","CL 16A 12-44 AV EL CANEY","SECTOR SERVICIOS","2020","9311","Gestión de instalaciones deportivas."
"582","SALA DEBELLEZA ELIZABETH R.","CR 8 6 17","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"583","RESTAURANTE Y PIZZERIA EL ITALIANO CENTRO","CALLE 9 NO.. 8 19","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"584","PINTURAS EXPLENDOR","CR 9 10 A 49","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"585","URREA CARLOS JULIO","CARRERA 12 No. 7A 39","SECTOR COMERCIAL","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"586","EL RINCON DE LOS VIEJITOS PENSIONADOS","CL 12 1 33","SECTOR SERVICIOS","2020","8730","Actividades de atención en instituciones para el cuidado de personas mayores y/o discapacitadas."
"587","VIVERO VILLA LEONOR","KM 61 CHINAUTA","SECTOR INDUSTRIAL","2016","130","Propagación de plantas (actividades de los viveros, excepto viveros forestales)"
"588","EL MOLINO DE FUSA","CR 11 7 A 36","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"589","MORA URREA PEDRO HENRY","CL 7A 10 08","SECTOR COMERCIAL","2016","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"590","TIENDA CUARTERIA EL PAISA","DIAGONAL 8 N0. 7ESTE 79","SECTOR COMERCIAL","2012","201","COMERCIAL"
"591","PANADERIA EL TRIGAL","CALLE 17 N0. 6-50","SECTOR INDUSTRIAL","2012","101","INDUSTRIAL"
"592","RELOJERIA SEIKO J.R.","CALLE 8 No. 7 24","SECTOR COMERCIAL","2020","4774","Comercio al por menor de otros productos nuevos en establecimientos especializados."
"593","RELOJERIA SEIKO J.R.","AV LAS PALMAS  CON SEPTIMA LC 5","SECTOR COMERCIAL","2012","201","COMERCIAL"
"594","TOLIMA PRINCIPAL","CARRERA 11 No. 3 15","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"595","LOZANO DE LA TORRE OCTALIO","CR 9 20 A 6","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"596","VELASQUEZ ROJAS MARIA YOLANDA","AV  LAS PALMAS CON  CRA 7","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"597","MACHADO BOHORQUEZ LYDA YINETH","CR 8 4 53","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"598","YENITAS DELI","CR 2  24 A 04","SECTOR SERVICIOS","2017","5611","Expendio a la mesa de comidas preparadas."
"599","ELECTRONICA DIGITAL LA SEXTA","CARRERA 6 No. 4-73","SECTOR SERVICIOS","2012","301","SERVICIOS"
"600","ORTIZ GUERRERO MAGDALENA","CL 7 5 65","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"601","ULTRAMEDIOS CONCEPTOS CLAROS","CR 5 5 79","SECTOR SERVICIOS","2013","73","INVESTIGACION Y DESARROLLO"
"602","MASKO BOLPER","CL 22 8 02","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"603","FRUTALES MI PATILLA","TV 37 19 41","SECTOR SERVICIOS","2015","5611","Expendio a la mesa de comidas preparadas."
"604","INFANTILIBROS","CL 20 A 66 38 CASA  42","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"605","MENJURA MORENO CESAR ALIRIO","CL 25 38 B 05","SECTOR COMERCIAL","2020","4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores."
"606","GIRALDO GOMEZ WILLIAM ALONSO","CL 7 7 41","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"607","NUEVO RINCONCITO ARGENTINO","KM 49 VIA SILVANIA","SECTOR INDUSTRIAL","2015","1084","Elaboración de comidas y platos preparados."
"608","C Y C SPORT´S ONE","TV 12 22-42 LC 86","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"609","EXPENDIO DE CARNES LA NOVILLA DE ORO","CL 7A  10  00","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"610","ARIAS MAYORGA INVERSIONES SAS","CLL  8  4  11","SECTOR SERVICIOS","2015","5611","Expendio a la mesa de comidas preparadas."
"611","BRASAS PARRILLA DE FUSA","CLL  2  1  04","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"612","PATRIMONIOS AUTONOMOS FIDUCIARIA BANCOLOMBIA SA.","CL 31 6 87 P 19 BOGOTA","SECTOR ECONÓMICO NO DECLARADO","0","0","ACTIVIDAD NO REGISTRADA"
"613","FJ ALUMINIOS ARQUITECTONICOS SOCIEDAD POR ACCIONES",,"SECTOR SERVICIOS","2013","93","OTRAS ACTIVIDADES DE SERVICIOS"
"614","ZTE CORPORATION SUCURSAL COLOMBIA","CL 93 14 55 BOGOTA","SECTOR SERVICIOS","2017","6190","Otras actividades de telecomunicaciones."
"615","MARTINEZ CASTELLANOS ARAMINTA","CLL  25  2  22","SECTOR COMERCIAL","2020","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"616","WALKUP","CLL  20  11A  27","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"617","INVERSIONES PINZON ANGEL","CR  6  16BIS  55","SECTOR COMERCIAL","2015","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"618","DISEÑO MONTAJES Y SERVICIOS SAS","SIN LOCAL COMERCIAL","SECTOR SERVICIOS","2015","4321","Instalaciones eléctricas."
"656","TALLER DE MECANICA Y LUBRICANTES J.A.","CL 24 12-48","SECTOR COMERCIAL","2017","4520","Mantenimiento y reparación de vehículos automotores."
"619","PRODUC PAN VANESSA","CR 12 7 A 35/38","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"620","VARIEDADES J Y D","CALLE 8 No. 9-78","SECTOR COMERCIAL","2013","52","COMERCIO AL POR MENOR, EXCEPTO EL COMERCIO DE VEHICULOS AUTOMOTORES Y MOTOCICLETAS REPARACION DE EFECTOS"
"621","YANQUEN CARO LILI ESTHER","CL 9 3 73  CENTRO","SECTOR SERVICIOS","2020","6810","Actividades inmobiliarias realizadas con bienes propios o arrendados."
"622","GARZON RODRIGUEZ MARTHA YANETH","CL 10 8 15","SECTOR COMERCIAL","2017","4773","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados."
"623","DEPOSITO SAN CARLOS","CL 11 7 41","SECTOR COMERCIAL","2017","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"624","ELISA ROMERO MENDEZ","CR 5 19 A 13","SECTOR COMERCIAL","2020","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"625","RAMIREZ PEÑUELA OLIVA JANNETH","CR 6 10 11","SECTOR INDUSTRIAL","2017","1011","Procesamiento y conservación de carne y productos cárnicos."
"626","ESTACION DE SERVICIO SUMAPAZ","CR 5 1 21","SECTOR COMERCIAL","2020","4731","Comercio al por menor de combustible para automotores."
"627","CASTAÑO FLORES MARLENY","CL 19 1 13","SECTOR SERVICIOS","2019","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"628","CANDELA Y SABOR R.P.T.","CR 2 23 A 05","SECTOR SERVICIOS","2012","305","SERVICIOS"
"629","CRUZ RICO LUZ MARINA","CARRERA 12 # 4 21","SECTOR SERVICIOS","2017","9609","Otras actividades de servicios personales n.c.p."
"630","PAEZ GAMEZ YASMIN","DG 16 5 78","SECTOR COMERCIAL","2020","4761","Comercio al por menor de libros, periódicos, materiales y artículos de papelería y escritorio, en establecimientos especializados."
"631","MIRADOR  LOS COMANCHES","K.M. 75 VIA  MELGAR  CHINAUTA","SECTOR COMERCIAL","2015","47","Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores, motocicletas y lo indicado en el código CIIU 472"
"632","VARIEDADES MICKEY Y MINNIE","CR 10 3-26","SECTOR COMERCIAL","2020","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"633","DEPOSITO Y FERRETERIA CASA ROCA","CL 23 2 13","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"634","ELECTRIFUSA","CR 9 10 A 74","SECTOR COMERCIAL","2015","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"635","MYRIAN FLORINDA LEON GARCIA","CR 5 7 08","SECTOR COMERCIAL","2019","4775","Comercio al por menor de artículos de segunda mano."
"636","DISTRIBUIDORA LA ECONOMIA","CR 10 7 A 41","SECTOR COMERCIAL","2020","4723","Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados"
"637","TIENDA SAN MARCOS","CARRERA 12 No. 1 68","SECTOR COMERCIAL","2012","201","COMERCIAL"
"638","TIENDA VIVERES JOTA","DIAGONAL 16 No. 1A-80","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"639","VILLARRAGA MONTILLA ELVINIA","CARRERA 6 No. 14 41","SECTOR INDUSTRIAL","2020","1410","Confección de prendas de vestir, excepto prendas de piel."
"640","CHACON MONTOYA NIDIA","CALLE 22 No. 5-09","SECTOR SERVICIOS","2020","8511","Educación de la primera infancia."
"641","ALMACEN LAS TRES  BEES","CL 8 9 50 LC  101","SECTOR COMERCIAL","2017","4771","Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados."
"642","ARCANGEL MALDONADO","CR 7 7 64","SECTOR COMERCIAL","2020","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"643","VILLAMARIN PULIDO VICTOR RAUL","CALLE 7 No. 9   06","SECTOR SERVICIOS","2020","9602","Peluquería y otros tratamientos de belleza."
"644","VENTA DE FRUTAS","AVENIDA LAS PALMAS CON CARRERA7","SECTOR COMERCIAL","2020","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"645","TIENDA MILTIÑO","TRANSVERSAL 10 No. 1A 18","SECTOR COMERCIAL","2020","4724","Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados"
"646","VELANDIA PABLO HELADIO","CL 4 4 A 13  NORTE","SECTOR COMERCIAL","2019","4719","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por bebidas y tabaco"
"647","CIGARRERIA AULA MAXIMA","CALLE 19 NO. 11B 24","SECTOR COMERCIAL","2012","201","COMERCIAL"
"648","DORA PELUQUERIA","CR 4 E 5 D 19 BRR PEKIN","SECTOR SERVICIOS","2017","9602","Peluquería y otros tratamientos de belleza."
"649","INVERSIONES FRAL /LA BODEGA DEL ASEO","TV 12 23 27  / CR 12 8 56","SECTOR COMERCIAL","2020","2023","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador"
"650","RODRIGUEZ BELTRAN LUIS GERMAN","CL 17 A 18 36","SECTOR COMERCIAL","2020","4732","Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículos automotores."
"651","RIVERA MONTOYA MARIO","CR 4 17 75","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"652","JAIRO CARPAS","CL 17 A 12 60","SECTOR SERVICIOS","2017","5619","Otros tipos de expendio de comidas preparadas n.c.p."
"653","NUÑEZ CRUZ JORGE EDUARDO","CL 27 2 C 04","SECTOR SERVICIOS","2020","4921","Transporte de pasajeros."
"654","FLOREZ WILLIAM","PLAZA  DE MERCADO LC 134","SECTOR COMERCIAL","2020","4721","Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
"655","DECORACIONES ARCOIRIS 1 A","CR 6 14 76 B.COBURGO","SECTOR INDUSTRIAL","2015","2395","Fabricación de artículos de hormigón, cemento y yeso."
"657","AUSIQUE CABEZAS PABLO EMILIO","CR 11 B 20 25 BRR NUEVO BALMORAL","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
"658","GIMNASIO CLUB DEPORTIVO GYMSPORT","CALLE 17A No. 12 66","SECTOR SERVICIOS","2020","9319","Otras actividades deportivas."
"659","MORENO CAGUA JAIRO","CALLE 23 No. 1A 21","SECTOR COMERCIAL","2020","4752","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados."
"660","TRANSPORTE","CR 1 1 65  PASCA","SECTOR COMERCIAL","2017","4772","Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados"
"661","SIERRA LOZANO NELSON","CL 17A 11 52","SECTOR COMERCIAL","2017","4711","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos"
"662","TIENDA EL HUMOP","CR 9 3 32","SECTOR SERVICIOS","2016","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"663","FORJA VULCANO","DIAGONAL 16 No. 5-72","SECTOR SERVICIOS","2015","4921","Transporte de pasajeros."
"664","ROJAS ORDOÑEZ JAIME SAIR","CR 4 E 6 24","SECTOR SERVICIOS","2019","4921","Transporte de pasajeros."
"665","MAYORGA PARRADO LUIS FERNANDO","CR 6 22 13","SECTOR SERVICIOS","2020","5611","Expendio a la mesa de comidas preparadas."
"666","RICOPAN BOGOTÁ","CR 9 7 A 14","SECTOR INDUSTRIAL","2016","1081","Elaboración de productos de panadería."
"667","CLUB DEPORTIVO DE TEJO Y CAFE BAR EL GATO DUMAS","CL 22 69 59","SECTOR SERVICIOS","2017","5630","Expendio de bebidas alcohólicas para el consumo dentro del establecimiento."
"668","SUAREZ BELTRAN ALVARO","CL 7 9 44","SECTOR COMERCIAL","2020","1399","Fabricación de otros artículos textiles n.c.p."
"669","BY M EL SEGUNDAZO E","CR 12 2 45","SECTOR COMERCIAL","2012","206","COMERCIAL"
"670","TRANSPORTE PUBLICO VEHICULO DE PLACAS SLG 691","CL 7 3 29","SECTOR SERVICIOS","2017","4921","Transporte de pasajeros."
