"nombreestablecimiento","direccion","nit","telefono","telefax","municipio","departamento","fechaconcepto","conceptocapacidadproduccion"
"ELECTROQUIMICA WEST SA","KR 50 NO 76D SUR -52","890917780-2","3720303","3720317","MEDELLIN","ANTIOQUIA","2007-03-28T00:00:00.000","FAVORABLE POR CUANTO REUNE LAS CONDICIONES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL D CALIDAD PARA FABRICAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA LIMPIADORES DESINFECTANTES DE USO DOMESTICO BLANQUEADORES Y DESMANCHADORES JABONES Y DETERGENTES NO COSMETICOS PRODUCTOS LAVALOZA PRODUCTOS PARA PRE-LAVADO DE ROPA SHAMPOO PARA ALFOMBRAS LIMPIAVIDRIOS SHAMPOO PARA AUTOS Y AMBIENTADORES"
"EMPACADORA Y DISTRIBUIDORA GUSQUIRRO","KR 33 NO 51 B - 39","7476893-9","3518895","3793481","BARRANQUILLA","ATLANTICO","2008-11-24T00:00:00.000","FABRICACION Y COMERCIALIZACION DE PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO JABONES Y DETERGENTES NO COSMETICOS LIMPIADORES SUAVIZANTES Y PRODUCTOS PARA EL PRELAVADO Y PREPLANCHADO DESINFGECTANTES DE USO DOMESTICO AMBIENTADORES PRODUCTOS DE LAVALOZA BLANQUEADORES Y DESMANCHADORES"
"EMPAQUES DE COLOMBIA EMPACANDO SAS","KR 42 NO 20B-58","860530492-4","3377099","3680230","BOGOTA DC","CUNDINAMARCA","2018-09-17T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA REALIZAR LAS ACTIVIDADES DE ENVASADO ACONDICIONAMIENTO Y CODIFICADO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA Y SOLIDA JABONES Y DETERGENTE PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"EMPAQUES Y SERVICIOS SUPERIORES SAS SUPERPACK","CALLE 6 # 22-34","811016478-9","2890333-2899332","3095241","GIRARDOTA","ANTIOQUIA","2019-07-16T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMESTICA Y ABSORBENTES DE HIGIENE PERSONAL EN TODAS LAS FORMAS ETIQUETADO DESETIQUETADO CODIFICADO TERMOENCOGIDO EMPAQUE Y/O REEMPAQUE"
"EMPRENDIMIENTOS AMBIENTALES SAS - EMPREAM S A S","CL 31 A # 1 N -31 BARRIO FATIMA","900593328-9","4487606","NO REGISTRA","CALI","VALLE DEL CAUCA","2016-10-25T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS PRODUCTOS LAVAVAJILLAS Y SEMISOLIDOS PRODUCTOS LAVAVAJILLAS"
"EMPRESA DE COSMETICOS Y SERVICIOS S.A.","CL 73A NO 44-82","890923922-6","4480545","4480545","ITAGUI","ANTIOQUIA","2019-07-18T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA DETERGENTES LAVALOZA LIMPIADORES DE SUPERFICIES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y AMBIENTADORES Y EN EN FORMA SEMISOLIDA DETERGENTES SUAVIZANTES Y LIMPIADORES DE SUPERFICIES"
"EMVICOR SAS","CL 11 # 28-14 BARRIO SIETE DE AGOSTO","900934041-5","8643122","3134119537","NEIVA","HUILA","2016-04-05T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTO LAVAVAJILLAS Y PULIDORES DE COCINA BLANQUEADORES Y QUITAMANCHAS Y LIMPIADORES DE SUPERFICIE"
"ENUFAR LIMITADA","CL 68 B # 75-41","860536322-8","2233710","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2017-11-15T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"EQUIMARK S A S","KR 54 NO 17A-52","830012956-9","2604135   2612303","2618938","BOGOTA DC","CUNDINAMARCA","2012-09-26T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA DE FABRICACION DE PRODUCTOS DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS PULIDORES DE COCINA SUAVIZANTES PRODUCTOS PARA PRELAVADDO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHA PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIE DE ACUERDO A LA CLASIFICACION DADA EN LA DECISION 706 DE LA CAN"
"ESCOL MEDICAL ESTABLECIMIENTO DE COMERCIO PROPIEDAD DE ESCOL GROUP SAS","CALLE 15 #3 4- 40","900704325-5","7431071   7456585   3115213183","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2022-03-23T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES"
"ESTELAR DE JABONES SAS","CL 1 # 50G-28","901257458-1","3528273-3162654000","2793099","MEDELLIN","ANTIOQUIA","2016-03-31T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIÉNICAS TÉCNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA SOLIDA PRODUCTOS LAVAVAJILLAS Y EN FORMA LÍQUIDA PRODUCTOS LAVAVAJILLAS DETERGENTES AMBIENTADORES LIMPIADORES DE SUPERFICIES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE"
"ETERMAX","KR 25A # 17A - 16","7511391-3","7347295","NO REGISTRA","ARMENIA","QUINDIO","2015-06-10T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE BLANQUEADORES Y QUITAMANCHAS Y LIMPIADORES DE SUPERFICIES EN FORMA SOLIDA PRODUCTOS LAVAVAJILLA Y PULIDORES DE COCINA"
"ETERNA SA","KR 66 NO 13-43 PUENTE ARANDA","860002274-0","2601100","5705120","BOGOTA DC","CUNDINAMARCA","2019-06-13T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS LIMPIADORES DE SUPERFICIES Y PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y SEMISOLIDOS PRODUCTOS LAVAVAJILLAS Y AMPLIA SU CAPACIDAD INSTALADA EN UNA NUEVA LINEA AUTOMATIZADA PARA LA FABRICACION (INCLUYE 2 TANQUES PARA LA FABRICACION CON CAPACIDAD DE 1 TONELADA CADA UNO) ENVASADO (INCLUYE ENVASADORA CON 12 BOQUILLAS Y UNA TAPADORA) Y ACONDICIONAMIENTO (INCLUYE 1 BANDA TRANSPORTADORA) DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS BLANQUEADORES (HIPOCLORITO)"
"ETERNA SA","KR 62 NO 10-45","860002274-0","2602340","2602460","BOGOTA DC","CUNDINAMARCA","2009-02-17T00:00:00.000","REUNE LAS CONDICIONES HIGIENICO TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR Y ENVASAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA JABONES DETERGENTES NO COSMETICOS LIMPIADORES BLANQUEADORS Y DESMANCHAADORES DESINFECTANTES DE USO DOMESTICO LUSTRAMUEBLES CERAS LIMPIAVIDRIOS SHAMPOO PARA ALFOMBRAS SHAMPOO PARA AUTOS AMBIENTADORES PRODUCTOS PARA PRELAVADOP Y PREPLANCHADO DE ROPA SUAVIZANTE PARA ROPA JABON PARA ROPA LAVALOZA REUNE LAS CONDICIONES HIGIENICO TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA INICIAR LA FABRICACION DE PRODUCTOS DE HIGIENE PERSONAL EN FORMA SOLIDA CREMA LAVALOZA"
"ETERNALLY DE COLOMBIA S A S","CARRERA 8 138A - 46 ZONA INDISTRIAL EL SALADO","901293564-7","3013725753","NO REGISTRA","IBAGUE","TOLIMA","2019-10-01T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA PRODUCTOS LAVAVAJILLAS AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES"
"EVAL & BF SAS","KR 19 CL 1 SUR","900074406-9","2369709","3132070155","BUGA","VALLE DEL CAUCA","2012-05-18T00:00:00.000","CUMPLE CON LA DONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA INICIAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA AMBIENTADIRES EN AEROSOL"
"EVERSCENTS S.A.S.","CR 42 C NO 83 - 55","901183521-9","3854751   3008508585   3145410434","NO REGISTRA","BARRANQUILLA","ATLANTICO","2022-05-26T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE LIQUIDOS Y SOLIDOS: AMBIENTADORES (INCLUYENDO LAS CONDICIONES EN ÁREA ESPECIAL)"
"EXPERT CLEAN COLOMBIA S.A.S","CALLE 16 SUR NO. 24D - 59","901262348-1","3193656766","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2020-09-29T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"FABRIASEO SAS","CL 1 N° 25-46/48","826000099-5","7701784","NO REGISTRA","SOGAMOSO","BOYACA","2014-12-02T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTES Y LIMPIADORES DE SUPERFICIES"
"FABRICA DE JABONES EL RENDIDOR SOCIEDAD DE HECHO DE MUÑOZ RESTREPO ROSALBA Y MUÑOZ RESTREPO JHON JAIRO","CL 79 SUR # 59 - 86 INTERIOR 9901","811038521-2","2793414","2793414","LA ESTRELLA","ANTIOQUIA","2017-05-11T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE SOLIDOS PRODUCTOS LAVAVAJILLA DE ACUERDO A LO CONTEMPLADO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA"
"FABRICA DE JABONES Y DETERGENTES EL EXITO S.A.S.","KR 55 # 17 - 63","830085270-8","2906371","4052176","BOGOTA DC","CUNDINAMARCA","2015-06-24T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS DETERGENTES Y SOLIDOS JABONES Y PRODUCTOS LAVAVAJILLAS"
"FABRICA DE LICORES DE AMERICA S.A.S. (LICOAMERICA S.A.S.)","ZONA FRANCA DEL PACÍFICO – MANZANA B – BODEGA 22","900512321 - 1","(57-2) 6410341 3104026858","NO REGISTRA","PALMIRA","VALLE DEL CAUCA","2020-10-20T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA DE LÍQUIDOS: PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
"FABRICA DE VELAS DIVINO NIÑO S.A.S. ESTABLECIMIENTO DE COMERCIO PRODUCTOS BRILLAMAX","CARRERA 14 #27 B - 52","901143013-8","3745794 // 3752422","3740207","BARRANQUILLA","ATLANTICO","2006-09-21T00:00:00.000","FABRICAR Y ENVASAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA LIQUIDA TALES COMO JABONES Y DETERGENTES LIQUIDOS NO COSMETICOS BLANQUEADOES Y DESMANCHADORES DESINFECTANTES AMBIENTADORES LIMPIADROES Y PRODUCTOS PARA EL PRELAVADO Y P NIT 802009524-8"
"FABRICA INDUSTRIAL DEL ASEO Y ASOCIADOS SAS","CL 60 # 16 E -18 BARRIO LA ESMERALDA","900910377-0","3156532774","NO REGISTRA","GIRON","SANTANDER","2016-02-08T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION ENVASADO Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE"
"FABRIGRAY SAS","CALLE 46 # 22 - 28 BARRIO POBLADO GIRON","900229784-5","6533068   6467028   3012410967","NO REGISTRA","GIRON","SANTANDER","2020-05-11T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y EN FORMA SEMISÓLIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES,"
"FADEMINERALES S A","KR 69 B # 21 -20 SUR DIRECCION DE CORRESPONDENCIA Y KR 69 A # 20-69 SUR ENTRADA PERSONAL","830140363-1","3158601524","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2016-08-01T00:00:00.000","FAVORABLE POR CUANTO REUNE LAS CONDICIONES TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA FABRICAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA SOLIDA DETERGENTES EN POLVO AMPLIA LA CAPACIDAD INSTALADA PARA LA ADICION DE UN AREA DE DISPENSACION UN AREA DE DOSIFICACION DE FRAGANCIAS UN AREA DE REPROCESO Y UN SILO PARA EMPAQUE DE PRODUCTO TERMINADO PARA FABRICAR PRODUCTOS DE ASEO HIGIENE Y LIMPIEZA DE USO DOMESTICO EN FORMA SOLIDA DETERGENTES EN POLVO"
"FAMILIA DEL PACIFICO SAS","ZONA FRANCA PERMANENTE DEL CAUCA PARQUE INDUSTRIAL Y COMERCIAL DEL CAUCA KM 2 VI A GUACHENE","817000680-2","8259500","8259505","GUACHENE","CAUCA","2020-02-04T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA LA FABRICACION DE PRODUCTOS DE ASEO E HIGIENE DOMESTICA EN FORMA DE LIQUIDOS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIE PARA LA FABRICACION DE PAÑITOS HUMEDOS TOALLITAS HUMEDAS Y PRODUCTOS ABSORBENTES DE HIGIENE PERSONAL TAMPONES PAÑALES DESECHABLES PROTECTORES DE FLUJOS INTIMOS Y TOALLAS HIGIENICAS TAMPONES CON APLICADOR"
"FANTASIAS PLASTICAS DE COLOMBIA LTDA","AV 6 # 48 - 15 DIRECCION ANTIGUA -- DG 5 H # 47 - 93 ZONA INDUSTRIAL PUENTE ARANDA DIRECCION NUEVA","800217623-3","4143229/30","NO REGISTRA","BOGOTA DC","CUNDINAMARCA","2016-11-24T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA DESINFECTANTES JABONES Y DETERGENTES NO COSMETICOS LIMPIADORES DESMANCHADORES BLANQUEADORES CHAMPU PARA AUTOS CHAMPU PARA ALFOMBRAS LIMPIA VIDRIOS LAVA LOZA CERAS PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES"
"FEPROMEL SAS","AU MEDELLIN KM 2 BOGOTA SIBERIA COMPLEJO ICOLTRANS","830015813-8","7425407","7425406","COTA","CUNDINAMARCA","2018-09-19T00:00:00.000","CUMPLE LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE SEMISOLIDOS AMBIENTADORES Y PARA EL ACONDICIONAMIENTO SECUNDARIO DE PRODUCTOS DE HIGIENE DOMESTICA EN TODAS LAS FORMAS"
"FEPROMEL SAS","AU A MEDELLIN KILOMETRO 3 PUNTO 5 CENTRO EMPRESARIAL METROPOLITANO BODEGA 40 MODULO 4","830015813-8","7425401/07","7425406","COTA","CUNDINAMARCA","2012-05-22T00:00:00.000","CUMPLE CON LAS CONDICIONES TECNICAS LOCATIVAS HIGIENICAS SANITARIAS DE DOTACION Y RECURSOS HUMANOS PARA CONTINUAR LAS ACTIVIDADES DE FABRICACION DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA LIQUIDA Y SEMISOLIDA JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE LIMPIADORES DE SUPERFICIES SIEMPRE Y CUANDO NO DECLAREN PROPIEDADES COSMETICAS NI INDICACIONES TERAPEUTICAS"
"FEPROMEL SAS","KM 3.5 CENTRO EMPRESARIAL METROPOLITANO MODULO 4 BODEGAS 40, 46 Y 47","830015813-8","7425401 7425406","NO REGISTRA","COTA","CUNDINAMARCA","2018-04-03T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA LA FABRICACIÓN DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LÍQUIDOS: JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS Y PULIDORES DE COCINA,SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DESINFECTANTE Y LIMPIADORES DE SUPERFICIES Y SE AMPLIA SU CAPACIDAD INSTALADA EN FABRICACIÓN Y ALMACENAMIENTO BODEGAS 46 Y 47."
"FLORESA LLENA TU TARRO BAMBUSA ESTABLECIMIENTO DE COMERCIO DE PROPIEDAD GUZMAN HERNANDEZ ANDRES MAURICIO","CALLE 5 NORTE # 18A-124 LOCAL 14","1094911313-2","3207555167","NO REGISTRA","ARMENIA","QUINDIO","2019-11-28T00:00:00.000","CUMPLE CON LAS CONDICIONES SANITARIAS HIGIENICAS TECNICAS LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ENVASE Y ACONDICIONAMIENTO DE PRODUCTOS DE HIGIENE DOMESTICA EN FORMA DE LIQUIDOS JABONES Y DETERGENTES PRODUCTOS LAVAVAJILLAS SUAVIZANTES AMBIENTADORES BLANQUEADORES Y QUITAMANCHAS PRODUCTOS DE HIGIENE DOMESTICA CON PROPIEDAD DEINFECTANTE LIMPIADORES DE SUPERFICIE DE ACUERDO A LO CONTEMPALDO EN LA DECISION 706 DE 2008 Y 721 DE 2009 DE LA COMUNIDAD ANDINA DE NACIONES"
"FLORESA LLENA TU TARRO CENTRO PEREIRA","CALLE 1 9# 11 - 64","901372604 - 2","3122436315","NO REGISTRA","PEREIRA","RISARALDA","2020-06-02T00:00:00.000","MANTIENE Y CUMPLE CON LAS CONDICIONES SANITARIAS, HIGIÉNICAS, TÉCNICAS, LOCATIVAS Y DE CONTROL DE CALIDAD PARA EL ENVASADO DE PRODUCTOS DE HIGIENE DOMÉSTICA EN FORMA LÍQUIDA: JABONES Y DETERGENTES, PRODUCTOS LAVAVAJILLAS, SUAVIZANTES Y PRODUCTOS PARA PRELAVADO Y PREPLANCHADO DE ROPA, AMBIENTADORES, BLANQUEADORES Y QUITAMANCHAS, PRODUCTOS DE HIGIENE DOMÉSTICA CON PROPIEDAD DESINFECTANTE, LIMPIADORES DE SUPERFICIES, DE ACUERDO A LO CONTEMPLADO EN LA DECISIÓN 706 DE 2008 Y 721 DE 2009, DE LA COMUNIDAD ANDINA DE NACIONES; Y CONFORME A LOS ANTECEDENTES RELACIONADOS EN LA PRESENTE ACTA."
