"nombre_establecimiento","tipo_de_establecimiento","tipo_de_productos_que","direccion","barrio","telefono","correo_electronico","municipo","fecha_ltima_visita_ivc","concepto"
"DROGAS LA BOTICA No. 3","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 16 # 9-92","CENTRO","5801115","alfaresgerencia@gmail.com, botica91@unidrogas.net.com","VALLEDUPAR","26/02/2018","DESFAVORABLE CON 71,47%"
"DROGAS LA BOTICA NOVALITO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 9 # 12-07","NOVALITO","5706565","enino@unidrogas.net.co","VALLEDUPAR","05/04/2019","FAVORABLE"
"DROGAS LA BOTICA SICARARE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 19B # 5A-61","SICARARE","NT","alfaresgerencia@gmail.com","VALLEDUPAR","27/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA NEVADA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6 # 43-36","LA NEVADA","3014401885 / 3043775842","brittoandreacarolina@hotmail.com, girls2012@hotmail.com","VALLEDUPAR","26/07/2019","FAVORABLE"
"DROGAS LA PRADERA PLUS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","MANZANA 12 CASA 1","RAFAEL ESCALONA","5811845","hermesuribebrito@gmail.com","VALLEDUPAR","09/02/2018","DESFAVORABLE-60%"
"DROGAS LA REBAJA No.13","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 4 # 27-38","VILLA DEL ROSARIO","5828595","rebaja_13_valledupar@copservir.com","VALLEDUPAR","15/03/2018","FABORABLE CON 97%"
"DROGAS LA REBAJA No.14 VALLEDUPAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 21 # 4-07 ESQ","CANDELARIA SUR","5727085","rebaja_14_valledupar@copservir.com","VALLEDUPAR","16/03/2018","FAVORABLE CON 93%."
"DROGAS LA REBAJA No.15 VALLEDUPAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 9 # 8-20","NOVALITO","5800904-5742711","rebaja_15_valledupar@copservir.com","VALLEDUPAR","16/02/2018","FAVORABLE CON REQUERIMIENTOS."
"DROGAS LA REBAJA No.7 VALLEDUPAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 # 13-61","CAÑAHUATE","5808883","rebaja_7_valledupar@copservir.com-jairgerenciamqhotmail.com","VALLEDUPAR","13/02/2018","FAVORABLE."
"DROGAS LA REBAJA VALLEDUPAR No. 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 7 # 16A-145","CENTRO","5742116","rebaja_1_valledupar@copservir.com","VALLEDUPAR","19/02/2018","FAVORABLE CON 92%"
"DROGAS LA REBAJA VALLEDUPAR No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 7 # 16A-04","CENTRO","NT","rebaja_2_valledupar@copservir.com","VALLEDUPAR","20/02/2018","FAVORABLE CON REQUERIMIENTOS."
"DROGAS LA RECETA N° 10","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 6 # 45-62","LA NEVADA","3016871913","NT","VALLEDUPAR","04/12/2017","DESFAVORABLE"
"DROGUERIA H Y D","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 20 # 23-03 LOCAL 1","1 DE MAYO","NT","NT","VALLEDUPAR","22/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA RECETA N° 12","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 N° 13B 159","CAÑAGUATE","808888 / 5841142 / 3157723841","jhonisuribe@hotmail,com, mario2alvarez@hotmail.com","VALLEDUPAR","25/06/2019","FAVORABLE"
"DROGAS LA RECETA W.L (ANTES DROGAS LA RECETA No 14)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 59 # 24-149","MAREIGUA","3163807805","maripra1@hotmail.com","VALLEDUPAR","20/06/2019","FAVORABLE"
"DROGAS LA RECETA No. 1","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 9B No. 30-26/30-04","5 DE ENERO","NT","urieluribetriana@hotmail.com","VALLEDUPAR","23/05/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA RECETA No. 11","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 51 # 27-08","DON CARMELO","3205668158","jhonatanuriberamos@hotmail.com","VALLEDUPAR","20/06/2019","FAVORABLE"
"DROGAS LA RECETA No. 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","MZ 55 C 11 ETAPA II","GARUPAL","3014401885","hermesuribetriana@hotmail.com","VALLEDUPAR","22/02/2018","FAVORABLE CON 95%"
"DROGAS LA RECETA No. 3","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 16 # 18-124","SAN VICENTE","5746222","luisuribetriana@hotmail.com","VALLEDUPAR","13/03/2018","FAVORABLE CON 92%"
"DROGAS LA RECETA No. 4","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 21 #22 - 96","FUNDADORES","NT","NT","VALLEDUPAR","13/02/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA RECETA No. 5","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","MZ 20 CASA 10 CASIMIRO MAESTRE","CASIMIRO MAESTRE","NT","luisuribetriana@hotmail.com","VALLEDUPAR","18/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA RECETA No. 7","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAGONAL 17A -No 25A-44","LOS FUNDADORES","3215180442","luismasea1@hotmail.com","VALLEDUPAR","20/02/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGAS LA RECETA No. 9","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 1 # 25-37 LOCAL 21","VILLA LIGIA","5746222","luisuribetriana@hotmail.com","VALLEDUPAR","13/06/2019","FAVORABLE"
"DROGAS LA SALUD O.C","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 21 # 4C-07","CANDELARIA SUR","5878185","cristiancamilo0412@gmail.com","VALLEDUPAR","16/03/2018","FAVORABLE CON REQUERIMIENTO"
"DROGAS LA UNICA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","TRANSV 23 # 16D-57","FUNDADORES","NT","hernandocardenas03@hotmail.com","VALLEDUPAR","12/02/2018","FAVORABLE CON REQUERIMIENTOS."
"DROGAS MALECOM","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 44 # 6A-06","LA NEVADA","NT","gleinispagoma@hotmail.com","VALLEDUPAR","20/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS MAYALES","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 34A No.4A-104","LOS MAYALES","3004600501","juliopalacios.777@hotmail.com","VALLEDUPAR","12/07/2019","FAVORABLE"
"DROGAS NUEVA SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 19 # 40-08/ MZ 16 CASA 1","450 AÑOS","NT","NT","VALLEDUPAR","14/05/2013","N/A"
"DROGAS SIERRA MENDOZA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 16 # 17A-18","SAN VICENTE","5703785","edjosid118@outlook.com, drogueriasierramendoza@hotmail.com, clarasimenz18@hotmail.com","VALLEDUPAR","14/06/2019","FAVORABLE"
"DROGAS Y DETALLES BOYACA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 25A # 5C-33","5 DE NOVIEMBRE","NT","bernal1505@hotmail.com","VALLEDUPAR","22/05/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGAS Y PUNTOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18D # 29-59","SIMON BOLIVAR","NT","tulio-28@hotmail.com","VALLEDUPAR","16/03/2018","FAVORABLE CON REQUERIMIENTO"
"DROGUERIA  LA VICTORIA EN CRISTO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 18A2 # 43-65","URBANIZACION POPULANDIA","3218246735","sierraguerrero@hotmail.com","VALLEDUPAR","27/02/2018","FAVORABLE CON 93%."
"DROGUERIA 5 DE NOVIEMBRE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 25 # 6A-58","5 DE NOVIEMBRE","NT","clavijoloida@gmail.com","VALLEDUPAR","02/06/2017","FAVORABLE"
"DROGUERIA ANA LUCIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 14 # 17 A- 05","SAN VICENTE","3006738749","luisteobaldo60@hotmail.com","VALLEDUPAR","31/10/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA AV-BRASIL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","MANZANA B CASA 1 URBAN VILLA TAXI","VILLA TAXI","NT","jcrojasintra@hotmail.com","VALLEDUPAR","30/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA BIEN Y SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 7C # 19D 07","MIRADOR DE LA SIERRA NEVADA","NT","NT","VALLEDUPAR","30/06/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA BOTICA 83","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 6D-No 22-86","CANDELARIA NORTE","3186228740-3585172","alfaresgerencia@gmail.com","VALLEDUPAR","01/07/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA CAFAM CARRERA 7 EXITO VALLEDUPAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 7 # 16A-79","CENTRO","5802320","lospina@cafam.com.co,drvalledupar@cafan.com.co","VALLEDUPAR","15/02/2018","FAVORABLE.100%."
"DROGUERIA CAFAM LAS FLORES ÉXITO VALLEDUPAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 16-19-68","LAS FLORES","3053289737","lospina@cafam.com.co-drlasfloresvalled@cafan.com.co","VALLEDUPAR","15/05/2019","FAVORABLE"
"DROGUERIA CENTRAL 24/7","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 16 C # 19 D - 02","DANGOND","NT","distribuidoracentralsas@gmail.com","VALLEDUPAR","09/02/2018","DESFAVORABLE"
"DROGUERIA CENTRAL 24/7 N° 2","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 11 N° 16A 74LOCAL 6","LOPERENA","NT","distribuidoracentralsas@gmail.com","VALLEDUPAR","27/03/2018","DESFAVORABLE 81%"
"DROGUERIA CENTRAL DEL VALLE","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 14 # 18-54","SAN VICENTE","3126336681/5901257","yul-03@hotmail.com","VALLEDUPAR","14/06/2019","FAVORABLE"
"DROGUERIA COLSUBSIDIO CENTRO COMERCIAL MAYALES","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 30 # 6A 133 LOCAL 12D","MAYALES","3182920261 / 3184980261","drogueria.mayalesvalledupar@colsubsidio.com","VALLEDUPAR","16/07/2019","FAVORABLE"
"DROGUERIA COLSUBSIDIO CENTRO COMERCIAL UNICENTRO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAGONAL 6 # 9-41 LOCAL 2-04","PASADENA","NT","ssf@ssf.gov.co","VALLEDUPAR","22/09/2017","FAVORABLE"
"DROGUERIA COMFACESAR N° 812 (CONCESIONARIO No.4)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 # 15A-39","CENTRO","5846122-3124762462","recepcionvp@eticos.com, economia812@drogaslaeconomia.com","VALLEDUPAR","19/02/2018","FAVORABLE"
"DROGUERIA CRUZ FARMA (ANTES DROFAMI)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 4 # 20B-02","SAN ANTONIO","3154894777-5868487","rosirisa-1993@hotmail.com, huverclavijo@hotmail.com","VALLEDUPAR","16/03/2018","FAVORABLE"
"DROGUERIA CRUZ VERDE JUMBO V/PAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 10 # 6N-15","CC GUATAPURI","3164223092","administrador.jumbovalledupar@cruzverde.com.co, cvco.116@cruzverde.com.co","VALLEDUPAR","10/06/2019","FAVORABLE"
"DROGUERIA CRUZ VERDE ORBE PLAZA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 12 # 8-42 LC 133","CAÑAHUATE","3142144390","administrador.orbeplaza@cruzverde.com.co","VALLEDUPAR","31/05/2019","FAVORABLE"
"DROGUERIA CRUZ VERDE SAN MIGUEL","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 12  # 13C 78 LOCAL 103","OBRERO","3164223092","jschirmer@farmasanitas.com, cvco.370@cruzverde.com.co","VALLEDUPAR","30/05/2019","FAVORABLE"
"DROGUERIA DERMATOLOGICA SENS A DERM","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CENTRO COMERCIAL UNICENTRO LOCAL245","SAN CARLOS","5898400 / 3157414791","elvismaya123@hotmail.com","VALLEDUPAR","25/06/2019","FAVORABLE"
"DROGUERIA DONDE JULIO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 21 # 24-70","FUNDADORES","5807325","juliocesarcastrovillar@hotmail.com","VALLEDUPAR","13/02/2018","FAVORABLE CON REQUERIMIENTOS."
"DROGUERIA EFESIOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 20 # 43-45","SAN MARTIN","3173489846","jogrecaper@gmail.com","VALLEDUPAR","12/12/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA EL EXITO DEL SABER","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 8A # 38-04","DIVINO NIÑO","5830481","j123m456@hotmail.com","VALLEDUPAR","22/02/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA EL ÉXITO DEL SABER LA ESPERANZA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 7 B No 19 C1-74","LA ESPERANZA","3215878606","j123m456@hotmail.com","VALLEDUPAR","22/07/2019","FAVORABLE"
"DROGUERIA EL PRADO Y MAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 27 # 34-08","EL PRADO","NT","yudismarimonpabuena@gmail.com","VALLEDUPAR","27/03/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA EL REGENTE DE LA SALUD","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 15 #9a-05","SAN JOAQUIN","3135785459","diradamo@hotmail.com","VALLEDUPAR","29/08/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA EL TIGRE DE LA VICTORIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 29 # 29-34 Local 4","7 DE AGOSTO","3005480919","drogueriaeltigredelavictoria@hotmail.com","VALLEDUPAR","04/04/2019","DESFAVORABLE"
"DROGUERIA FARMA AP","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","MANZANA 4 CASA 4","TIERRA PROMETIDA","3006886940","armando10@yahoo.es","VALLEDUPAR","08/02/2018","DESFAVORABLE-69%"
"DROGUERIA FARMA M Y M","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 5 N #9-47","SANTA ROSALIA","NT","NT","VALLEDUPAR","02/10/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMASALUD LOS MAYALES","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 33A # 5C-104 LOCAL 104","LOS MAYALES","3012437828","sergiopaternina040@gmail.com","VALLEDUPAR","16/07/2019","FAVORABLE"
"DROGUERIA FARMACIA PASTEUR MAYALES","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 31 # 6A-133 Local 18","LOS MAYALES","5731763","sebasortega@une.net.co , mortega@pasteur.com.co","VALLEDUPAR","12/07/2019","FAVORABLE"
"DROGUERIA FARMACOR DEL CESAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAGONAL 16C N 22-70","FUNDADORES","3156824992 / 3153143268","ricardoperezsuarez77@hotmail.com","VALLEDUPAR","09/02/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA LOS ANGELES DE CORAZON (ANTES FARMATODO LOS ANGELES)","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 48 # 4-30","LA NEVADA","3147936379","edgargil2011@hotmail.com","VALLEDUPAR","10/02/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA FARMATODO NOVALITO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 # 8A 72","NOVALITO","7432100","CONTACTENOS@FARMATODO .COM, novalito.069@farmatodo.com, libethvillamizar@hotmail.com","VALLEDUPAR","30/08/2017","FAVORABLE"
"DROGUERIA FARMOMEDIC","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","TRANSV 18 No. 20-70 LC 1","LAS DELICIAS","5703290 / 5703764","farmomedicltda@yahoo.es, drogueria1farmomedic@gmail.com","VALLEDUPAR","23/05/2019","FAVORABLE"
"DROGUERIA FARMOMEDIC","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 7 # 18A-33","EL CENTRO","NT","drogueria4farmomedic@gmail.com","VALLEDUPAR","02/10/2018","DESFAVORABLE CON 75%"
"DROGUERIA FARMOMEDIC N 5","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 15 # 20B-08","LA GRANJA","NT","drogueria5farmomedic@gmail.com","VALLEDUPAR","02/10/2018","DESFAVORABLE CON 70%"
"DROGUERIA FENIX DEL CESAR","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","2N MANZANA 14 CASA 20 ESQUINA","CASIMIRO MAESTRE","5724645","drogueriafenix@hotmail.com, y.acosta13@gmail.com","VALLEDUPAR","22/09/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA GRANADOS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","KRA 15 N° 19 E 43 LOCAL 4","LA GRANJA","NT","ogh75@hotmail.com","VALLEDUPAR","30/12/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA HEALT KIT","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 11# 13-30 Piso 1 Local 101","OBRERO","NT","NT","VALLEDUPAR","23/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA HELMY","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAGONAL 25 # 61-41. URBANIZACION LEANDRO DIAZ. ETAPA 3","LA POPA","NT","hel_my17@hotmail.com","VALLEDUPAR","24/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA HOSPITALARIA","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 16 # 17A-02","SAN VICENTE","NT","economia489@drogaslaeconomia.com","VALLEDUPAR","02/10/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA HOSPITALITO","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 44 # 20-54","VILLA LEONOR","NT","osiveth1964@hotmail.com, iveth.yance@yahoo.es","VALLEDUPAR","27/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA IMPERIAL A.T.H.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 18 # 27A-26 Local 1","PUPO","5805434","aliriojuliom@yahoo.es, josemada7@hotmail.com, jhmadariagac@hotmail.com","VALLEDUPAR","16/04/2019","FAVORABLE"
"DROGUERIA IMPERIAL C.D.V.","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 18A # 30-85","SABANAS","NT","kellyrojasmer22@hotmail.com","VALLEDUPAR","04/12/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA 128","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CARRERA 19 # 14-97","SAN VICENTE","5725397","contabilidadmanga@unidrogas.net.co, inglesa128@unidrogas.net.com","VALLEDUPAR","27/06/2019","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA 134","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 # 12-57 ESQUINA","NO SE PUDO VER","3166228740","contabilidadbmanga@unidrogas.net.co","VALLEDUPAR","05/12/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA CINCO ESQUINAS","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CR 7A # 17-02","EL CENTRO","5742115","asistentecontable@unidrogas.com.co, dairoalonso.1970@hotmail.com","VALLEDUPAR","23/02/2018","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA No. 108","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 20 # 3-06","VILLALBA","5713024","asiscontabmanga@unidrogas.net.co","VALLEDUPAR","31/05/2019","FAVORABLE"
"DROGUERIA INGLESA No. 110","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 31 # 6 BIS-90","LOS MAYALES","NT","asistentecontable@unidrogas.com.co","VALLEDUPAR","27/11/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA No. 28","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CALLE 12 # 16-122","SAN JOAQUIN","5712964","asistentecontable@unidrogas.com.co, asiscontabmanga@unidrogas.net.co","VALLEDUPAR","20/05/2019","FAVORABLE"
"DROGUERIA INGLESA No. 30","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 9 # 13A-70","OBRERO","5849039","asistentecontable@unidrogas.com.co","VALLEDUPAR","01/04/2019","FAVORABLE"
"DROGUERIA INGLESA No. 51","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 6D # 18-126","PONTEVEDRA","5846505","asistentecontable@unidrogas.com.co","VALLEDUPAR","27/05/2019","FAVORABLE"
"DROGUERIA INGLESA No. 59","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CRA 18D # 22A-06","1 DE MAYO","NT","asistentecontable@unidrogas.com.co","VALLEDUPAR","18/05/2017","FAVORABLE CON REQUERIMIENTOS"
"DROGUERIA INGLESA No. 69","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","CLL 16 # 17A-32","SAN VICENTE","3175101839-5745463/5745616","asiscontabmanga@unidrogas.net.co","VALLEDUPAR","14/06/2019","DESFAVORABLE"
"DROGUERIA INGLESA No. 76","DROGUERIA","MEDICAMENTOS ALOPATICOS, DISPOSITIVOS MEDICOS, COSMETICOS Y SIMILARES","DIAG 21 # 20-79","1 DE MAYO","NT","asistentecontable@unidrogas.com.co","VALLEDUPAR","22/08/2013","N/A"
