"observationname","label","relatedsampleuri","otherid","sampledepth","measurementunits","sitelocationname","localityterms","county","latdegreewgs84","longdegreewgs84","srs","locationuncertaintystatement","samplecollectiondate","samplemeasurementdate","sampletype","sampleshape","sampledimensionsheight","sampledimensionswidth","sampledimensionslength","sampledimensionsunits","sampledensity","uncertaintydensity","sampledensityunits","laboratory","measurementdevice","measurementprocedure","measurementpressure","measurementpressureunits","sampletemperature","sampletemperatureunits","measurementduration","measurementdirection","measurementrun","bulkmixingformula","saturationfluid","saturatedsampleconductivity","drysampleconductivity","averagethermalconductivity","uncertaintytc","correctiontc","correctiondescription","unitstc","specificheat","uncertaintyspecificheat","specificheatunits","thermaldiffusivity","uncertaintythermaldiffusivity","unitsthermaldiffusivity","geologicformationname","geologicformationuri","geologicformationtype","datumelevation","elevation","permeability","unitspermeability","porosity","notes","metadatauri","source","location_1"
"PA-7A NP Depth Interval 0-10","PA-7A NP Depth Interval 0-10",,,"10","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1499999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 8480-8490","State of Utah E1 EXP DB Depth Interval 8480-8490",,,"8490","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.7270000000000001","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84213","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.5719049999999992","C","12.5",,"1",,"Tap Water","2.69",,"8.4700000000000006","±10%",,,"W/(m·K)",,,,,,,"Unknown",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 NP Depth Interval 180-190","PA-1 NP Depth Interval 180-190",,,"190","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.351","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 70-80","PA-7A NP Depth Interval 70-80",,,"80","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.069","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"ROZEL-1 NP Depth Interval 260-270","ROZEL-1 NP Depth Interval 260-270",,,"270","Feet","UGS/USGS Rozel-1 Thermal Gradient Well","North Great Salt Lake Area-Rozel Flat","Box Elder","41.529919999999997","-112.654","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:27:00.000","1970-01-01T04:28:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.248","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4343",,,,"Predominantly  Unconsolidated Sediments",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 5700-5710","State of Utah E1 EXP DB Depth Interval 5700-5710",,,"5710","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.742","3.988",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84197","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.4646030000000003","C","12.5",,"1",,"Tap Water","2.04",,"5.54","±10%",,,"W/(m·K)",,,,,,,"Unknown",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 230-240","PA-7A NP Depth Interval 230-240",,,"240","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.137","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"P-2A NP Depth Interval 640-650","P-2A NP Depth Interval 640-650",,,"650","Feet","UGS Pavant-2A Thermal Gradient Well","Black Rock Desert","Millard","39.034120000000001","-112.54900000000001","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:17:00.000","1970-01-01T04:19:00.000","Cuttings","Fine Material",,,,,,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"2",,,,,"1.39","±10% based on instrument specifications",,,"W/(m·K)","2.8820000000000001","±10% based on instrument specifications","MJ/(m³·K)","0.48249999999999998","±10% based on instrument specifications","mm²/s","Plio-Quaternary Sediments",,"Shale","MSL","4684",,,,"Predominantly Hydrated Clay | Average values for Specific Heat and Thermal Diffusivity",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 DB Depth Interval 350-360","PA-3 DB Depth Interval 350-360",,,"360","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.6480949999999996","C","12.5",,"1",,,"1.3608",,"1.3608","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 DB Depth Interval 480-490","PA-1 DB Depth Interval 480-490",,,"490","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.8029999999999999","3.9329999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.7088889999999992","C","12.5",,"1",,,"1.4033",,"1.4033","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 NP Depth Interval 410-420","PA-3 NP Depth Interval 410-420",,,"420","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.258","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-5A DB Depth Interval 270-280","PA-5A DB Depth Interval 270-280",,,"280","Feet","UGS Pavant Area-5A Thermal Gradient Well","Black Rock Desert","Millard","38.950310000000002","-112.596","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.6830000000000001","3.9950000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.6588890000000003","C","12.5",,"1",,,"1.321",,"1.321","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4681",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Gronning-1 EXP DB Depth Interval 1300-1400","Gronning-1 EXP DB Depth Interval 1300-1400",,,"1400","Feet","Gulf Oil Gronning-1 Oil Exploration Well","Black Rock Desert","Millard","39.416640000000001","-112.69199999999999","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1969-12-31T22:48:00.000","1970-01-01T04:24:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84225","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"2.5510000000000002","±10%",,,"W/(m·K)",,,,,,,"Pleistocene-Pliocene Alluvial and Lacustrine Sediments",,"Shale | Sandstone","MSL","4590",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Hole-in-Rock 1 EXP DB Depth Interval 10120-10130","Hole-in-Rock 1 EXP DB Depth Interval 10120-10130",,,"10130","Feet","Arco Hole-in-Rock Oil Exploration Well","Black Rock Desert","Millard","38.864690000000003","-112.684","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:15:00.000","1970-01-01T04:21:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84124","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"6.44","±10%",,,"W/(m·K)",,,,,,,"Upper and Middle Cambrian Carbonates",,"Dolostone","MSL","4479",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah N1 EXP DB Depth Interval 5200-5210","State of Utah N1 EXP DB Depth Interval 5200-5210",,,"5210","Feet","Amoco State of Utah N1 Oil Exploration Well","Great Salt Lake","Tooele","40.755220000000001","-112.306","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:09:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.7370000000000001","3.99",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84150","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.7198410000000006","C","12.5",,"1",,"Tap Water","1.79",,"4.37","±10%",,,"W/(m·K)",,,,,,,"Unknown",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 6060-6070","State of Utah E1 EXP DB Depth Interval 6060-6070",,,"6070","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:28:00.000","Cuttings","Cylinder","1.7430000000000001","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84199","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.4487299999999994","C","12.5",,"1",,"Tap Water","2.4300000000000002",,"5.21","±10%",,,"W/(m·K)",,,,,,,"Unknown",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah N1 EXP DB Depth Interval 570-660","State of Utah N1 EXP DB Depth Interval 570-660",,,"660","Feet","Amoco State of Utah N1 Oil Exploration Well","Great Salt Lake","Tooele","40.755220000000001","-112.306","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:09:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.83","3.9870000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84127","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.7460319999999996","C","12.5",,"1",,"Tap Water","1.25",,"3.39","±10%",,,"W/(m·K)",,,,,,,"Quaternary",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"State of Utah E1 EXP DB Depth Interval 2370-2380","State of Utah E1 EXP DB Depth Interval 2370-2380",,,"2380","Feet","Amoco State of Utah E1 Oil Exploration Well","Great Salt Lake","Davis","40.979170000000003","-112.349","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:06:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.883","3.9769999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84176","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.","9.6076189999999997","C","12.5",,"1",,"Tap Water","1.33",,"3.58","±10%",,,"W/(m·K)",,,,,,,"Unknown",,"Unknown","MSL","4201",,,,"Sample Collection Date Approximate",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-2 NP Depth Interval 40-50","PA-2 NP Depth Interval 40-50",,,"50","Feet","UGS Pavant Area-2 Thermal Gradient Well","Black Rock Desert","Millard","39.348289999999999","-112.69499999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"10",,"1",,,,,"1.3140000000000001","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4599",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 NP Depth Interval 30-40","PA-6 NP Depth Interval 30-40",,,"40","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:25:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.248","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Hydrated Clay/Pebbles",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-7A NP Depth Interval 550-560","PA-7A NP Depth Interval 550-560",,,"560","Feet","UGS Pavant Area-7A Thermal Gradient Well","Black Rock Desert","Millard","38.864069999999998","-112.70699999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.1719999999999999","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4779",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 DB Depth Interval 90-100","PA-3 DB Depth Interval 90-100",,,"100","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.633","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.3558730000000008","C","12.5",,"1",,,"1.2325999999999999",,"1.2325999999999999","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-5A DB Depth Interval 200-210","PA-5A DB Depth Interval 200-210",,,"210","Feet","UGS Pavant Area-5A Thermal Gradient Well","Black Rock Desert","Millard","38.950310000000002","-112.596","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:26:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.633","4.0019999999999998",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.6601590000000002","C","12.5",,"1",,,"1.1148",,"1.1148","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4681",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-3 DB Depth Interval 0-20","PA-3 DB Depth Interval 0-20",,,"20","Feet","UGS Pavant Area-3 Thermal Gradient Well","Black Rock Desert","Millard","39.271830000000001","-112.636","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:27:00.000","Cuttings","Cylinder","1.8","3.9620000000000002",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.4079370000000004","C","12.5",,"1",,,"1.0969",,"1.0969","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4588",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"Hole-in-Rock 1 EXP DB Depth Interval 9540-9560","Hole-in-Rock 1 EXP DB Depth Interval 9540-9560",,,"9560","Feet","Arco Hole-in-Rock Oil Exploration Well","Black Rock Desert","Millard","38.864690000000003","-112.684","EPSG:4326","Location obtained from Utah Division of Oil, Gas and Mining records","1970-01-01T01:15:00.000","1970-01-01T04:21:00.000","Cuttings","Cylinder","1.8","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84124","Divided Bar","Polycarbonate test cell was filled with cuttings, weighed, and placed under vacuum 3+ hours.  Cell was then saturated with water under vacuum for 3+ hours.  Cell was re-weighed and placed in divided bar equipment for measurement.","100","p.s.i.",,,"12.5",,"1",,"Tap Water",,,"5.84","±10%",,,"W/(m·K)",,,,,,,"Upper and Middle Cambrian Carbonates",,"Dolostone","MSL","4479",,,,"Sample Collection Date Approximate | Sample Measurement Date Approximate | Cell Dimensions Approximate | Sample Temperature Not Available | Saturated Sample Conductivity Not Available | Porosity Not Available",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-6 NP Depth Interval 380-390","PA-6 NP Depth Interval 380-390",,,"390","Feet","UGS Pavant Area-6 Thermal Gradient Well","Black Rock Desert","Millard","38.945270000000001","-112.77","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Fine Material",,,,,,,,"Utah Geological Survey, P.O. Box 146100, Salt Lake City, UT 84114","Needle Probe","Probe of Decagon Devices, Inc. KD2 Pro Thermal Properties Analyzer inserted into well-mixed cuttings through plastic sample bag.",,,,,"2",,"1",,,,,"1.238","±10% based on instrument specifications",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4687",,,,"Predominantly Hydrated Clay",,"Mark Gwynn, 2013, Utah Geological Survey","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 DB Depth Interval 340-350","PA-1 DB Depth Interval 340-350",,,"350","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.6830000000000001","3.9950000000000001",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","8.5620630000000002","C","12.5",,"2",,,"1.24125",,"1.24125","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
"PA-1 DB Depth Interval 220-230","PA-1 DB Depth Interval 220-230",,,"230","Feet","UGS Pavant Area-1 Thermal Gradient Well","Black Rock Desert","Millard","39.500050000000002","-112.68899999999999","EPSG:4326","Location obtained with hand-held GPS device","1970-01-01T04:25:00.000","1970-01-01T04:26:00.000","Cuttings","Cylinder","1.708","3.9969999999999999",,"Centimeters",,,,"University of Utah Thermal Studies Laboratory, Frederick Albert Sutton Building, 115 South 1460 East Room 383, Salt Lake City, UT 84112","Divided Bar","Polycarbonate test cell was filled with well-mixed unconsolidated cuttings and placed in divided bar equipment for measurement.","100","p.s.i.","9.7568249999999992","C","12.5",,"2",,,"1.1676",,"1.1676","±10%",,,"W/(m·K)",,,,,,,"Plio-Quaternary Sediments",,"Shale","MSL","4579",,,,"Predominantly Hydrated Clay",,"Mason Edwards, 2013, University of Utah, Department of Geology and Geophysics","
, Utah 
(39.36070123200005, -111.58712831499997)"
