"location_1","county","geoid","unemployment_rate","median_household_income","gini_index","below_poverty_level","below_poverty_level_male","below_poverty_level_male_under_5_years","below_poverty_level_male_5_years","below_poverty_level_male_6_to_11_years","below_poverty_level_male_12_to_14_years","below_poverty_level_male_15_years","below_poverty_level_male_16_and_17_years","below_poverty_level_male_18_to_24_years","below_poverty_level_male_25_to_34_years","below_poverty_level_male_35_to_44_years","below_poverty_level_male_45_to_54_years","below_poverty_level_male_55_to_64_years","below_poverty_level_male_65_to_74_years","below_poverty_level_male_75_years_and_over","below_poverty_level_female","below_poverty_level_female_under_5_years","below_poverty_level_female_5_years","below_poverty_level_female_6_to_11_years","below_poverty_level_female_12_to_14_years","below_poverty_level_female_15_years","below_poverty_level_female_16_and_17_years","below_poverty_level_female_18_to_24_years","below_poverty_level_female_25_to_34_years","below_poverty_level_female_35_to_44_years","below_poverty_level_female_45_to_54_years","below_poverty_level_female_55_to_64_years","below_poverty_level_female_65_to_74_years","below_poverty_level_female_75_years_and_over","at_or_above_poverty_level","at_or_above_poverty_level_male","at_or_above_poverty_level_male_under_5_years","at_or_above_poverty_level_male_5_years","at_or_above_poverty_level_male_6_to_11_years","at_or_above_poverty_level_male_12_to_14_years","at_or_above_poverty_level_male_15_years","at_or_above_poverty_level_male_16_and_17_years","at_or_above_poverty_level_male_18_to_24_years","at_or_above_poverty_level_male_25_to_34_years","at_or_above_poverty_level_male_35_to_44_years","at_or_above_poverty_level_male_45_to_54_years","at_or_above_poverty_level_male_55_to_64_years","at_or_above_poverty_level_male_65_to_74_years","at_or_above_poverty_level_male_75_years_and_over","at_or_above_poverty_level_female","at_or_above_poverty_level_female_under_5_years","at_or_above_poverty_level_female_5_years","at_or_above_poverty_level_female_6_to_11_years","at_or_above_poverty_level_female_12_to_14_years","at_or_above_poverty_level_female_15_years","at_or_above_poverty_level_female_16_and_17_years","at_or_above_poverty_level_female_18_to_24_years","at_or_above_poverty_level_female_25_to_34_years","at_or_above_poverty_level_female_35_to_44_years","at_or_above_poverty_level_female_45_to_54_years","at_or_above_poverty_level_female_55_to_64_years","at_or_above_poverty_level_female_65_to_74_years","at_or_above_poverty_level_female_75_years_and_over"
"
Big Water, Utah 
(37.06369, -111.644623)","Kane","16000US4905534",,"55069","0.37440000000000001","97","21","0","0","0","0","0","0","7","2","1","0","7","4","0","76","0","0","0","0","8","0","29","9","10","14","0","0","6","532","275","10","0","19","1","5","13","23","48","26","23","82","19","6","257","15","4","19","0","0","17","32","15","56","50","41","3","5"
"
Randlett, Utah 
(40.232941, -109.816621)","Uintah","16000US4962910",,"26012","0.41889999999999999","161","68","0","0","0","16","0","10","0","0","25","0","11","0","6","93","9","0","0","38","5","10","14","0","0","8","5","4","0","114","46","10","0","0","0","0","0","0","21","0","0","0","8","7","68","23","0","7","0","0","0","0","9","0","21","0","8","0"
"
Benson, Utah 
(41.787379, -111.930389)","Cache","16000US4905050",,"53958","0.38","112","50","0","0","9","9","0","0","0","8","0","0","24","0","0","62","18","0","0","0","0","0","0","7","0","0","37","0","0","1098","611","11","0","11","0","0","11","131","158","27","78","109","43","32","487","11","0","36","11","0","0","62","57","11","120","107","32","40"
"
Sandy, Utah 
(40.569705, -111.897282)","Salt Lake","16000US4967440","4","77719","0.4229","7089","2660","375","303","499","70","0","0","280","228","442","326","93","44","0","4429","194","49","785","350","307","483","641","498","428","284","208","138","64","82229","42319","2984","548","3892","1915","581","1278","4493","6093","5800","4279","5110","3806","1540","39910","2592","536","3564","1712","427","827","2861","5432","5644","5189","5371","3377","2378"
"
Pleasant View, Utah 
(41.321345, -112.000404)","Weber","16000US4961150",,"86130","0.39119999999999999","218","68","0","9","10","0","0","0","16","10","0","11","0","12","0","150","0","0","14","22","11","24","12","13","23","11","0","10","10","7936","4060","179","65","563","283","92","246","279","385","601","595","324","323","125","3876","421","47","450","194","90","126","154","459","525","560","417","269","164"
"
Myton, Utah 
(40.198027, -110.068638)","Duchesne","16000US4953340",,"40625","0.40939999999999999","115","63","2","0","4","15","0","0","17","6","0","12","7","0","0","52","7","6","2","0","0","6","4","5","8","10","2","2","0","464","249","17","16","7","2","4","2","36","67","9","45","34","8","2","215","25","5","21","0","4","2","19","50","20","36","27","4","2"
"
Palmyra, Utah 
(40.140341, -111.698977)","Utah","16000US4957630",,"57949","0.24840000000000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","563","297","34","0","18","10","0","0","14","72","18","58","30","35","8","266","16","6","22","17","0","0","7","67","18","44","42","20","7"
"
Joseph, Utah 
(38.624211, -112.218321)","Sevier","16000US4939370",,"42115","0.3332","58","26","9","0","3","0","0","0","0","3","0","4","0","7","0","32","5","0","0","0","0","0","0","12","4","6","5","0","0","242","130","7","0","11","6","0","3","2","12","18","25","22","16","8","112","3","1","10","5","1","1","12","6","9","18","30","13","3"
"
Wales, Utah 
(39.48691, -111.638839)","Sanpete","16000US4980860",,"49167","0.33229999999999998","48","21","9","0","8","0","0","2","2","0","0","0","0","0","0","27","11","0","0","2","1","0","1","10","2","0","0","0","0","284","141","7","0","30","12","0","0","3","8","19","9","16","14","23","143","10","9","6","0","3","2","15","16","14","17","12","12","27"
"
Mountain Green, Utah 
(41.143123, -111.793166)","Morgan","16000US4952460",,"115405","0.3357","90","24","0","0","0","0","0","0","0","0","0","0","24","0","0","66","0","0","0","0","0","18","0","0","0","0","48","0","0","2380","1128","61","0","167","73","0","52","115","120","90","273","98","62","17","1252","126","46","180","68","17","54","91","192","92","248","60","78","0"
"
Goshen, Utah 
(39.952862, -111.900257)","Utah","16000US4930130",,"49417","0.33950000000000002","110","53","3","7","22","1","0","0","2","6","7","2","3","0","0","57","2","0","12","0","2","0","18","11","9","0","3","0","0","801","429","43","6","58","32","5","12","42","33","65","42","46","34","11","372","35","0","47","25","0","9","18","55","47","49","41","25","21"
"
Henefer, Utah 
(41.018122, -111.499204)","Summit","16000US4934640",,"52708","0.38379999999999997","77","41","0","0","26","0","0","0","0","0","0","0","15","0","0","36","0","6","3","0","0","0","3","4","11","0","9","0","0","661","330","19","0","27","10","11","8","39","48","13","47","45","49","14","331","15","7","23","6","14","16","38","35","26","54","36","29","32"
"
St. George, Utah 
(37.108284, -113.583277)","Washington","16000US4965330","5","53524","0.43330000000000002","11956","6145","1019","171","967","217","223","543","1187","986","371","113","135","47","166","5811","33","109","975","120","0","351","1629","883","651","393","112","151","404","63830","30485","2180","667","2992","1360","470","519","1587","3665","3450","3392","2751","3771","3681","33345","2966","1072","3110","973","0","825","2671","3619","2644","3882","3878","4058","3647"
"
Thompson Springs, Utah 
(38.97106, -109.714768)","Grand","16000US4976180",,,"0.036799999999999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","105","36","0","0","0","0","14","0","0","0","0","0","22","0","0","69","0","0","34","0","0","0","0","0","0","24","0","11","0"
"
Coalville, Utah 
(40.916506, -111.398624)","Summit","16000US4914840",,"54971","0.31869999999999998","152","67","3","0","26","11","0","0","0","9","0","7","6","5","0","85","18","0","20","0","0","0","14","19","10","4","0","0","0","1387","742","26","0","76","58","30","34","59","61","154","122","51","36","35","645","37","8","83","32","15","35","60","109","85","64","58","30","29"
"
Holden, Utah 
(39.099361, -112.270958)","Millard","16000US4935960",,"56250","0.36399999999999999","15","8","2","0","0","0","0","0","0","0","0","0","3","3","0","7","0","0","2","0","0","0","0","0","1","0","0","4","0","370","165","17","7","14","6","3","2","3","19","15","14","28","24","13","205","10","8","23","12","1","1","13","26","20","17","37","17","20"
"
Elberta, Utah 
(39.960977, -111.956428)","Utah","16000US4922210",,"50823","0.25009999999999999","37","19","0","0","0","0","0","0","2","0","0","0","0","17","0","18","0","0","0","0","0","0","0","0","0","0","18","0","0","333","162","0","0","17","0","0","7","9","9","29","26","15","17","33","171","21","0","28","21","0","14","8","0","20","0","6","23","30"
"
Timber Lakes, Utah 
(40.471525, -111.24382)","Wasatch","16000US4976280",,"34083","0.31059999999999999","126","58","0","0","26","0","0","0","0","0","18","0","14","0","0","68","0","0","0","0","0","0","0","0","14","39","15","0","0","347","170","45","0","0","0","0","0","0","0","32","0","65","0","28","177","0","0","0","0","0","0","0","0","53","0","68","15","41"
"
Fountain Green, Utah 
(39.629795, -111.640066)","Sanpete","16000US4926720",,"47734","0.3856","88","35","0","0","0","3","0","0","12","0","8","3","6","0","3","53","0","0","0","0","0","0","3","14","0","3","12","3","18","866","405","40","0","45","26","5","13","41","47","41","27","63","41","16","461","57","15","28","10","11","2","46","66","69","50","65","19","23"
"
Laketown, Utah 
(41.82551, -111.32277)","Rich","16000US4942560",,"87750","0.32269999999999999","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","3","0","0","356","178","10","0","18","27","0","1","0","34","12","24","19","19","14","178","4","2","26","5","2","9","21","15","13","18","32","11","20"
"
Plain City, Utah 
(41.298007, -112.086324)","Weber","16000US4960710",,"83448","0.25559999999999999","63","25","0","0","5","5","0","0","7","8","0","0","0","0","0","38","0","0","0","0","14","14","0","0","4","0","6","0","0","5624","2868","288","96","333","183","40","60","249","298","411","444","184","176","106","2756","223","74","316","169","34","109","268","394","382","288","244","142","113"
"
Wallsburg, Utah 
(40.385025, -111.421006)","Wasatch","16000US4980970",,"66875","0.30149999999999999","8","6","0","0","0","0","0","0","0","0","0","4","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","189","92","0","2","7","0","0","2","2","17","7","17","18","10","10","97","3","0","5","4","2","2","0","21","6","16","18","6","14"
"
Richmond, Utah 
(41.922718, -111.814326)","Cache","16000US4963680",,"53964","0.33229999999999998","232","140","20","15","28","13","2","4","0","11","26","6","4","7","4","92","6","0","12","10","0","0","3","17","17","6","4","10","7","2262","1116","96","36","131","31","9","46","105","151","122","149","129","80","31","1146","136","27","146","64","21","18","84","159","89","156","127","58","61"
"
Enoch, Utah 
(37.758074, -113.055319)","Iron","16000US4923200",,"53060","0.33579999999999999","1001","420","82","16","114","45","14","14","0","44","76","7","8","0","0","581","130","0","109","6","17","28","0","101","37","15","17","30","91","4892","2634","184","26","409","226","36","104","366","330","369","198","207","162","17","2258","233","20","307","115","20","123","110","360","332","173","274","111","80"
"
Randolph, Utah 
(41.663397, -111.18489)","Rich","16000US4963020",,"51875","0.38190000000000002","48","26","8","7","6","0","1","0","0","1","2","0","0","1","0","22","4","0","0","1","0","0","0","7","0","0","7","0","3","537","267","9","0","23","7","2","4","24","41","43","38","34","14","28","270","12","4","40","20","7","3","19","41","16","40","31","8","29"
"
Syracuse, Utah 
(41.094116, -112.06462)","Davis","16000US4974810","3.7","83963","0.33850000000000002","810","229","50","0","18","74","0","56","0","0","31","0","0","0","0","581","49","0","144","48","0","14","112","54","131","16","0","0","13","24310","12671","1138","603","1911","1045","184","683","938","1186","1849","1562","845","541","186","11639","1009","146","1797","848","469","472","814","1254","1950","1424","756","380","320"
"
Flaming Gorge, Utah 
(40.882421, -109.468344)","Daggett","16000US4925910",,"68542","0.1048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62","25","4","0","3","0","0","2","0","2","6","2","4","0","2","37","11","0","4","3","0","0","1","3","8","0","4","0","3"
"
Copperton, Utah 
(40.566148, -112.095136)","Salt Lake","16000US4915720",,"44844","0.27639999999999998","44","22","11","0","11","0","0","0","0","0","0","0","0","0","0","22","0","0","11","0","0","0","0","11","0","0","0","0","0","658","341","18","0","104","26","0","25","0","22","77","39","23","7","0","317","66","0","40","0","0","0","2","16","106","15","25","11","36"
"
Beaver, Utah 
(38.279582, -112.641291)","Beaver","16000US4904060",,"43011","0.42070000000000002","492","286","42","11","51","0","0","0","20","63","43","19","4","30","3","206","28","7","9","0","0","0","0","72","0","0","22","21","47","2367","1147","175","0","163","73","14","6","35","110","175","138","104","106","48","1220","124","13","126","74","12","114","82","145","148","95","153","75","59"
"
Leeds, Utah 
(37.235878, -113.362966)","Washington","16000US4944100",,"54276","0.41820000000000002","10","10","0","0","0","0","0","0","0","0","0","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","974","456","9","9","50","24","0","13","26","64","53","40","50","35","83","518","24","0","89","16","11","34","10","43","42","41","85","42","81"
"
Elwood, Utah 
(41.681733, -112.141238)","Box Elder","16000US4922760",,"75417","0.35920000000000002","21","12","0","0","2","0","2","0","4","0","4","0","0","0","0","9","0","0","2","0","0","0","3","0","4","0","0","0","0","1224","670","65","6","68","30","32","24","91","63","72","91","51","30","47","554","44","8","48","24","19","20","43","52","61","93","71","13","58"
"
South Weber, Utah 
(41.13254, -111.935566)","Weber","16000US4971180",,"81250","0.4042","284","119","21","0","9","9","12","11","19","10","10","9","0","9","0","165","0","9","30","10","18","19","0","19","30","20","0","0","10","5931","3012","231","49","480","234","51","68","200","343","449","392","268","156","91","2919","296","46","300","162","24","130","252","395","415","355","308","180","56"
"
East Carbon, Utah 
(39.54778, -110.414843)","Carbon","16000US4920890",,"28688","0.4073","277","153","11","0","12","0","0","10","0","38","15","3","42","9","13","124","4","4","28","11","0","3","13","10","4","22","15","0","10","995","447","57","14","19","0","0","0","51","14","36","61","67","91","37","548","10","3","35","50","11","10","25","57","61","36","98","61","91"
"
Spring Lake, Utah 
(39.999623, -111.748505)","Utah","16000US4972170",,"38264","0.4022","186","94","60","15","0","0","0","0","19","0","0","0","0","0","0","92","4","0","36","0","0","0","20","28","4","0","0","0","0","369","178","46","0","30","0","12","0","0","18","31","27","8","4","2","191","19","0","34","13","0","0","28","23","41","11","11","4","7"
"
Magna, Utah 
(40.696496, -112.085992)","Salt Lake","16000US4947290",,"54471","0.3427","4743","1918","101","32","430","72","91","150","291","22","466","114","125","24","0","2825","263","78","311","138","85","199","377","285","586","188","183","70","62","23446","11860","933","86","1161","787","163","472","1050","2439","1980","1046","1063","414","266","11586","1217","262","1051","597","254","242","1174","2060","1415","1448","947","549","370"
"
Bear River City, Utah 
(41.614499, -112.127043)","Box Elder","16000US4903950",,"63125","0.3175","85","28","6","6","4","0","0","7","0","0","0","0","5","0","0","57","19","0","0","5","0","2","0","4","12","6","0","9","0","770","428","34","2","39","25","6","9","52","45","46","58","52","35","25","342","20","8","35","7","4","4","30","27","52","45","49","25","36"
"
Elk Ridge, Utah 
(40.01468, -111.679785)","Utah","16000US4922370",,"79474","0.3241","179","78","0","0","24","19","3","7","0","7","8","6","4","0","0","101","6","3","17","12","6","9","13","4","21","10","0","0","0","2398","1219","117","34","187","111","35","58","59","103","143","138","117","90","27","1179","80","57","215","75","23","40","89","108","168","97","125","83","19"
"
Carbonville, Utah 
(39.619687, -110.834742)","Carbon","16000US4910440",,"45086","0.36259999999999998","265","96","0","0","0","0","0","0","52","0","0","11","22","0","11","169","0","0","0","32","37","29","3","0","36","32","0","0","0","1510","855","142","25","62","0","0","40","49","156","76","121","81","93","10","655","100","0","59","31","0","25","72","74","36","124","42","81","11"
"
Richfield, Utah 
(38.765286, -112.084755)","Sevier","16000US4963570",,"43179","0.42949999999999999","1278","491","83","13","86","35","0","0","64","47","66","46","11","0","40","787","60","16","145","48","7","0","147","95","62","11","86","57","53","5704","2954","289","91","387","107","32","129","296","462","304","290","192","227","148","2750","298","17","317","100","97","79","190","420","248","310","318","175","181"
"
Bluffdale, Utah 
(40.489629, -111.940017)","Salt Lake","16000US4906810",,"88657","0.38550000000000001","688","372","50","0","21","72","21","34","71","55","12","22","14","0","0","316","37","34","47","41","0","15","39","34","33","23","13","0","0","7053","3503","313","74","398","200","13","141","422","525","393","533","278","142","71","3550","425","45","327","298","50","183","336","518","369","570","236","70","123"
"
Nephi, Utah 
(39.71002, -111.828546)","Juab","16000US4954220",,"53844","0.3261","702","393","50","37","88","19","0","11","61","28","34","27","33","5","0","309","20","0","7","23","0","14","25","82","49","20","40","0","29","4625","2339","234","34","251","217","55","82","143","319","243","254","235","130","142","2286","246","15","194","174","50","123","138","274","335","284","169","160","124"
"
Fielding, Utah 
(41.814487, -112.116103)","Box Elder","16000US4925290",,"51250","0.3543","40","19","1","0","10","0","0","0","2","1","5","0","0","0","0","21","4","0","0","4","0","4","2","1","5","0","0","0","1","451","230","32","2","25","13","3","0","33","29","12","25","24","12","20","221","12","7","14","10","2","4","35","24","24","28","25","23","13"
"
Junction, Utah 
(38.236874, -112.223724)","Piute","16000US4939590",,"37500","0.33810000000000001","74","43","7","2","23","4","0","0","0","0","5","2","0","0","0","31","3","0","8","1","0","2","7","4","2","2","0","0","2","172","95","0","0","12","0","0","14","1","2","2","18","0","38","8","77","2","0","4","2","0","5","3","3","13","18","5","14","8"
"
Mayfield, Utah 
(39.119257, -111.712275)","Sanpete","16000US4948720",,"55000","0.4194","67","37","12","0","0","0","0","0","16","0","5","0","2","2","0","30","0","0","0","0","0","4","9","0","8","4","0","4","1","426","205","23","1","9","1","0","0","12","20","24","23","44","29","19","221","23","8","16","6","2","4","12","24","6","36","37","25","22"
"
Clawson, Utah 
(39.132198, -111.100347)","Emery","16000US4913300",,"43571","0.36780000000000002","27","13","5","0","0","4","0","0","0","0","4","0","0","0","0","14","0","4","0","4","0","0","0","4","0","0","2","0","0","141","84","5","0","23","4","6","0","9","3","10","5","2","11","6","57","0","0","0","4","0","3","0","9","11","5","4","13","8"
"
Layton, Utah 
(41.060161, -111.966274)","Davis","16000US4943660","4.4000000000000004","65700","0.37880000000000003","5415","2025","302","182","383","106","0","0","4","389","318","247","0","0","94","3390","103","38","723","79","0","300","801","573","411","198","164","0","0","65346","33097","2521","1024","3919","1204","321","801","3643","5492","4762","3236","3867","1682","625","32249","3326","782","2841","1969","332","981","3347","4641","4536","3840","3570","957","1127"
"
Escalante, Utah 
(37.770375, -111.604177)","Garfield","16000US4923750",,"38625","0.42580000000000001","125","63","0","0","13","0","0","7","0","4","0","15","20","2","2","62","7","0","0","7","3","0","0","8","0","4","9","11","13","653","335","11","0","22","24","5","0","7","32","16","92","59","30","37","318","9","0","12","22","8","2","35","18","25","66","35","53","33"
"
American Fork, Utah 
(40.376761, -111.795867)","Utah","16000US4901310","4.9000000000000004","63611","0.38179999999999997","3515","1716","275","27","275","126","93","80","327","78","189","74","84","28","60","1799","69","9","239","76","0","13","397","242","209","222","161","37","125","23638","11893","997","253","1448","885","229","403","1492","1363","1797","1250","748","582","446","11745","981","248","1513","894","158","341","867","1399","1575","1189","1052","798","730"
"
Garden, Utah 
(41.890789, -111.385201)","Rich","16000US4927902",,"37375","0.30309999999999998","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103","50","0","0","0","0","0","0","0","0","16","0","18","0","16","53","16","0","0","0","0","0","0","11","0","0","10","16","0"
"
Gunnison, Utah 
(39.153664, -111.818295)","Sanpete","16000US4932660",,"48352","0.39700000000000002","77","22","0","0","0","0","0","0","10","3","3","0","0","0","6","55","0","0","4","0","0","2","20","0","0","11","8","3","7","1341","586","19","3","83","27","19","13","48","83","77","59","68","34","53","755","72","0","95","51","21","50","67","73","68","103","65","45","45"
"
Liberty, Utah 
(41.333374, -111.863839)","Weber","16000US4944870",,"88977","0.26619999999999999","35","27","0","0","8","8","0","0","0","0","0","9","2","0","0","8","0","0","0","0","0","0","0","8","0","0","0","0","0","1756","755","26","0","120","50","0","21","49","39","175","85","115","60","15","1001","102","39","81","91","27","92","40","99","173","91","115","35","16"
"
Howell, Utah 
(41.795857, -112.444626)","Box Elder","16000US4936620",,"48125","0.33160000000000001","29","22","3","0","11","0","0","0","0","4","0","0","0","4","0","7","0","0","0","0","0","0","0","3","0","0","0","4","0","184","95","7","0","8","2","0","6","4","17","1","14","16","12","8","89","9","0","10","0","2","2","1","9","12","13","11","14","6"
"
West Jordan, Utah 
(40.610919, -111.938765)","Salt Lake","16000US4982950","4","66264","0.3276","10524","4339","639","519","668","271","0","104","844","284","591","260","51","0","108","6185","695","148","411","363","44","722","815","404","1608","395","487","41","52","98544","50886","5601","662","4591","2707","767","1908","4999","9019","8069","5924","3722","1960","957","47658","4313","652","5247","2076","796","1698","4104","7888","7349","6245","3311","2885","1094"
"
Mount Pleasant, Utah 
(39.540958, -111.455293)","Sanpete","16000US4953010",,"44517","0.39300000000000002","583","260","21","0","24","0","0","16","132","12","0","26","9","20","0","323","28","5","53","20","15","20","90","32","6","31","0","10","13","2636","1240","99","0","119","64","18","82","46","114","132","189","114","208","55","1396","89","6","143","117","22","83","94","122","174","143","146","174","83"
"
Alton, Utah 
(37.439719, -112.482631)","Kane","16000US4900870",,"38393","0.30449999999999999","71","44","21","3","11","2","0","0","0","0","7","0","0","0","0","27","2","0","7","10","1","1","0","0","6","0","0","0","0","96","31","0","0","0","1","2","1","0","8","1","1","9","0","8","65","7","0","13","1","0","3","0","8","3","0","10","13","7"
"
Alta, Utah 
(40.588549, -111.644829)","Salt Lake","16000US4900650",,"67500","0.59460000000000002","197","116","0","0","0","0","0","0","0","15","51","30","20","0","0","81","0","0","0","0","0","38","25","0","18","0","0","0","0","169","116","0","0","5","0","0","1","2","42","32","15","14","5","0","53","0","0","5","0","0","0","20","6","0","16","4","2","0"
"
Taylorsville, Utah 
(40.653066, -111.955295)","Salt Lake","16000US4975360","4.4000000000000004","56601","0.38169999999999998","7132","3774","857","65","493","121","62","104","502","753","360","164","181","51","61","3358","375","71","516","215","0","42","441","744","351","290","127","163","23","52589","25357","1795","383","1922","1219","423","502","2318","5004","3425","2862","3076","1563","865","27232","2439","285","2218","1092","449","884","2477","4108","3284","3389","3378","1895","1334"
"
Deweyville, Utah 
(41.71013, -112.090249)","Box Elder","16000US4919680",,"53750","0.36849999999999999","77","47","13","5","2","0","0","2","0","11","5","9","0","0","0","30","8","0","0","2","0","0","0","8","4","4","4","0","0","256","132","0","7","12","2","2","4","2","13","12","32","16","18","12","124","5","0","6","10","0","5","11","12","17","21","13","18","6"
"
South Willard, Utah 
(41.340478, -112.031381)","Box Elder","16000US4971255",,"48750","0.37559999999999999","238","100","43","0","11","0","0","10","0","25","0","0","11","0","0","138","45","8","23","0","0","10","8","31","9","4","0","0","0","1509","809","83","73","110","89","0","12","63","64","69","99","74","24","49","700","83","0","84","47","7","9","15","115","131","72","45","44","48"
"
Washington Terrace, Utah 
(41.172489, -111.976635)","Weber","16000US4982070",,"47566","0.42609999999999998","1124","487","49","0","24","90","18","14","203","7","28","0","54","0","0","637","24","7","15","18","64","16","117","100","58","100","13","67","38","7847","3689","336","44","310","160","36","133","352","644","417","321","465","250","221","4158","245","47","339","174","43","100","367","766","369","475","514","317","402"
"
White Mesa, Utah 
(37.460128, -109.467005)","San Juan","16000US4984095",,"33636","0.54869999999999997","74","48","0","0","9","12","5","0","13","6","0","3","0","0","0","26","0","0","0","0","0","0","0","4","0","10","0","8","4","324","92","14","0","23","0","20","13","10","0","6","0","6","0","0","232","0","0","46","15","13","0","53","0","44","31","18","3","9"
"
Neola, Utah 
(40.436592, -110.030061)","Duchesne","16000US4954110",,"86071","0.38719999999999999","31","14","0","0","14","0","0","0","0","0","0","0","0","0","0","17","0","0","9","0","0","0","0","8","0","0","0","0","0","412","194","23","3","5","14","12","0","15","29","20","17","44","6","6","218","35","6","44","12","8","0","3","29","24","23","23","11","0"
"
Cedar City, Utah 
(37.677344, -113.061742)","Iron","16000US4911320","5.4","41757","0.44529999999999997","5751","2596","373","32","323","120","0","50","695","434","169","310","78","12","0","3155","136","42","172","53","0","41","1362","412","361","300","225","31","20","22470","11107","1145","155","951","456","279","221","1586","1958","1131","840","1138","695","552","11363","1223","352","798","481","289","242","1992","1631","1079","1131","795","754","596"
"
Plymouth, Utah 
(41.872212, -112.148288)","Box Elder","16000US4961260",,"60500","0.42170000000000002","54","35","2","2","16","2","2","0","0","6","0","5","0","0","0","19","4","0","0","0","0","0","0","5","5","0","5","0","0","346","169","10","1","20","8","0","11","2","19","17","35","26","10","10","177","8","1","14","4","0","8","20","18","10","42","33","12","7"
"
North Logan, Utah 
(41.772027, -111.813436)","Cache","16000US4954990",,"67005","0.41320000000000001","741","426","21","21","46","20","11","0","135","101","42","29","0","0","0","315","54","0","22","13","0","21","118","44","30","8","0","5","0","7865","4123","352","63","523","310","107","158","344","492","501","534","380","221","138","3742","344","37","374","177","37","240","284","543","396","444","398","220","248"
"
Farr West, Utah 
(41.297055, -112.027719)","Davis","16000US4924850",,"72466","0.3488","226","125","8","0","19","58","0","0","0","22","0","0","9","0","9","101","0","0","7","0","0","8","41","29","8","0","8","0","0","5747","2895","199","63","262","152","103","98","287","415","409","364","243","188","112","2852","112","35","362","199","55","79","273","326","291","374","309","262","175"
"
Santa Clara, Utah 
(37.132986, -113.652976)","Washington","16000US4967660",,"62143","0.34399999999999997","322","155","0","0","0","0","49","0","22","55","0","0","0","29","0","167","0","0","53","11","0","7","0","0","54","15","0","15","12","5961","2958","252","55","322","230","70","126","368","288","341","340","252","204","110","3003","284","67","372","230","76","105","278","281","326","454","251","175","104"
"
Loa, Utah 
(40.387876, -111.849167)","Wayne","16000US4945530",,"37656","0.40820000000000001","102","46","6","7","8","4","0","0","0","5","4","5","0","0","7","56","4","0","7","4","0","3","6","12","0","0","0","6","14","556","249","28","10","32","13","6","0","12","28","31","18","52","6","13","307","40","1","59","28","3","7","8","27","36","23","41","10","24"
"
Annabella, Utah 
(38.708348, -112.060888)","Sevier","16000US4901750",,"63456","0.29570000000000002","38","15","4","0","0","4","0","0","0","0","3","4","0","0","0","23","6","3","3","0","0","0","0","3","3","0","5","0","0","863","436","48","15","65","41","0","8","30","58","48","49","24","29","21","427","31","4","108","25","8","10","18","61","59","34","35","28","6"
"
Altamont, Utah 
(40.359347, -110.286172)","Duchesne","16000US4900760",,"67813","0.36509999999999998","22","2","2","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","6","0","0","0","9","3","2","258","124","18","1","13","4","0","5","10","24","11","15","8","6","9","134","11","0","22","3","6","6","13","16","14","14","6","7","16"
"
Helper, Utah 
(39.682607, -110.854737)","Carbon","16000US4934530",,"45132","0.3871","283","157","12","0","12","0","0","0","5","17","30","29","29","15","8","126","13","7","5","0","0","17","36","8","16","7","6","0","11","2007","964","33","35","105","53","0","15","55","185","96","104","151","87","45","1043","58","0","202","70","12","17","32","165","74","94","168","67","84"
"
Ivins, Utah 
(37.16828, -113.681869)","Washington","16000US4938710",,"54537","0.43969999999999998","850","397","0","0","96","0","0","15","0","29","79","75","87","16","0","453","60","0","0","107","0","4","12","25","112","36","34","31","32","6140","3242","346","0","419","56","3","59","180","338","361","262","411","550","257","2898","193","38","180","131","21","37","125","418","225","264","407","579","280"
"
Honeyville, Utah 
(41.638854, -112.079577)","Box Elder","16000US4936290",,"47917","0.50070000000000003","144","56","4","0","6","6","0","8","0","8","7","3","14","0","0","88","19","0","19","14","0","0","0","8","10","9","3","0","6","1020","528","34","0","64","28","13","26","41","26","69","74","93","18","42","492","12","11","51","11","6","10","24","16","77","82","77","65","50"
"
North Salt Lake, Utah 
(40.841841, -111.9102)","Davis","16000US4955210",,"69762","0.437","2019","932","167","43","60","41","0","0","169","358","0","57","26","11","0","1087","262","87","85","4","0","43","209","211","53","0","68","0","65","14474","7428","814","164","702","430","88","190","539","1407","1100","823","668","359","144","7046","751","121","892","306","38","82","616","1684","861","505","673","365","152"
"
Snyderville, Utah 
(40.694058, -111.542101)","Summit","16000US4970190",,"99658","0.39910000000000001","167","52","0","0","11","4","0","14","0","16","0","0","7","0","0","115","0","0","5","10","0","0","0","70","0","24","0","6","0","5807","3159","192","4","302","186","55","64","172","399","465","668","416","158","78","2648","104","0","251","45","39","39","214","251","549","536","371","182","67"
