"reference_period","type_of_service","aggregation_level","county","state_fips","county_fips","number_of_fee_for_service_beneficiaries","number_of_providers","average_number_of_users_per_provider","percentage_of_users_out_of_ffs_beneficiaries","average_number_of_providers_per_county","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_0_to_2_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_3_to_4_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_5_to_9_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_10_to_19_providers","percentage_of_ffs_beneficiaries_by_number_of_providers_serving_county_20_or_more_providers","location_1"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Tooele","49","45","5533","2","216","7.80","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Salt Lake","49","35","83658","42","53.19","2.67","42","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Cache","49","5","7561","10","64.2","8.50","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Washington","49","53","24950","12","139.30000000000001","6.70","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Wasatch","49","51","2281","3","9.6999999999999993","1.30","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Wayne","49","55","593","1","36","6.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Sevier","49","41","3664","2","41.5","2.27","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Garfield","49","17","1092","2","37","6.80","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Millard","49","27","2247","11","49","24","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Iron","49","21","5729","8","47.8","6.70","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Sevier","49","41","3856","3","26","2.02","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Tooele","49","45","5619","3","43.67","2.33","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Millard","49","27","2244","1","49","2.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Utah","49","49","32366","32","92.9","9.20","32","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Utah","49","49","32462","15","127.53","5.89","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Tooele","49","45","5533","14","190.8","48.30","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Wasatch","49","51","2329","4","20.25","3.48","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Summit","49","43","3753","4","57","6.10","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Beaver","49","1","1089","1","69","6.30","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Millard","49","27","2247","1","56","2.49","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Box Elder","49","3","5279","5","6.6","0.60","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","STATE","--ALL--","49",,"252248","78","80.56","2.49","23.05","11.78","7.56","5.15","20.12","55.39","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Box Elder","49","3","5326","5","25","2.35","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Cache","49","5","7561","4","16.5","0.90","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Millard","49","27","2244","3","35.299999999999997","4.70","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","San Juan","49","37","1980","9","53.3","24.20","9","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","San Juan","49","37","1980","0",,"0.76","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Kane","49","25","1791","2","6","0.70","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Uintah","49","47","3162","1","69","2.18","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Utah","49","49","32462","15","144.07","6.66","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Box Elder","49","3","5279","5","29","2.75","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Kane","49","25","1791","2","20.5","2.29","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Davis","49","11","25822","19","37.68","2.77","19","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Weber","49","57","23685","15","65.930000000000007","4.18","15","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Carbon","49","7","3989","3","30.33","2.28","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Carbon","49","7","3922","10","252.3","64.30","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Sanpete","49","39","4128","4","67","6.49","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Emery","49","15","1890","2","16","1.70","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Morgan","49","29","1028","1","52","5.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Cache","49","5","7657","2","268.5","7.01","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Carbon","49","7","3922","3","26.67","2.04","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Garfield","49","17","1082","4","20.3","7.50","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Weber","49","57","23685","13","53.85","2.96","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Tooele","49","45","5619","2","107.5","3.83","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Sevier","49","41","3664","10","232.5","63.46","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Duchesne","49","13","2422","10","132.5","54.70","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Weber","49","57","23541","17","60.2","4.30","17","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Carbon","49","7","3965","3","28.7","2.20","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Weber","49","57","23541","12","16.8","0.90","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Millard","49","27","2247","3","34.700000000000003","4.60","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","Tooele","49","45","5533","2","51","1.80","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Salt Lake","49","35","82580","45","55.56","3.03","45","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Sevier","49","41","3640","5","30","4.10","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Carbon","49","7","3922","3","26.7","2","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Uintah","49","47","3162","2","57.5","3.64","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Salt Lake","49","35","82580","64","112","8.70","64","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Sevier","49","41","3640","4","77","8.50","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Iron","49","21","5729","2","196","6.80","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Sanpete","49","39","4270","2","41","1.92","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Washington","49","53","25523","14","46.79","2.57","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Morgan","49","29","1015","1","51","5","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","COUNTY","San Juan","49","37","1991","4","12","2.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Sevier","49","41","3856","2","104","5.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Cache","49","5","7657","10","62.3","8.14","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Davis","49","11","25822","13","125.7","6.30","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Hospice","COUNTY","Duchesne","49","13","2482","1","35","1.41","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Uintah","49","47","3041","8","237.4","62.40","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Wasatch","49","51","2308","1","138","6","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Weber","49","57","23685","30","67.87","8.60","30","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Millard","49","27","2268","1","53","2.34","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Salt Lake","49","35","83658","21","129.19999999999999","3.20","21","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","San Juan","49","37","1980","4","23.3","4.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Grand","49","19","1906","3","33.33","5.25","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Grand","49","19","1888","5","76.8","20.30","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Cache","49","5","7561","3","181.3","7.20","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Davis","49","11","25822","24","503.3","46.80","24","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Weber","49","57","23541","12","166.4","8.50","12","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Daggett","49","9","192","0",,"6.80","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Cache","49","5","7561","8","27.25","2.88","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Summit","49","43","3760","3","48","3.80","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Garfield","49","17","1082","1","66","6.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Emery","49","15","1890","2","70","7.40","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Rich","49","33","320","1","22","6.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Duchesne","49","13","2422","0",,"1.60","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Millard","49","27","2244","1","108","4.80","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Sanpete","49","39","4109","3","82.3","6","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Box Elder","49","3","5279","8","50.9","7.70","8","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Juab","49","23","1510","1","40","2.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Carbon","49","7","3965","4","87.5","8.80","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Davis","49","11","25990","14","116.79","6.29","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Sanpete","49","39","4128","2","53.5","2.59","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Iron","49","21","5847","2","37.5","1.28","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Tooele","49","45","5533","2","191","6.90","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Non-Emergency)","STATE","--ALL--","49",,"246655","74","43.8","1.30","12.9","11.70","7.90","3.80","43.10","33.50","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","San Juan","49","37","1991","4","23.8","4.80","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Emery","49","15","1890","11","105.4","61.30","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Washington","49","53","25523","9","115.56","4.07","9","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Uintah","49","47","3162","2","15","0.95","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Iron","49","21","5719","1","182","3.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","STATE","--ALL--","49",,"255149","76","244.11","7.27","12.76","12.89","8.52","3.71","42.19","32.69","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","San Juan","49","37","1991","1","72","3.60","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Wasatch","49","51","2329","4","41.75","7.17","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Beaver","49","1","1089","3","25","6.89","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Tooele","49","45","5619","6","72.17","7.71","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Non-Emergency)","COUNTY","Davis","49","11","25822","13","21.5","1.10","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Grand","49","19","1888","3","41","6.50","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Washington","49","53","25523","14","140.36000000000001","7.70","14","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Home Health","COUNTY","Juab","49","23","1557","2","63","8.09","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Duchesne","49","13","2415","1","38","1.57","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Wayne","49","55","580","1","33","5.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency)","COUNTY","Wayne","49","55","593","1","28","4.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Washington","49","53","24937","10","164.6","6.60","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Kane","49","25","1791","0",,"2","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Carbon","49","7","3922","4","85.8","8.70","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Skilled Nursing Facility","COUNTY","Grand","49","19","1888","0",,"1","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Emery","49","15","1916","11","105.9","60.80","11","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Salt Lake","49","35","82580","21","126.3","3.20","21","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Cache","49","5","7657","4","54.75","2.86","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Non-Emergency)","COUNTY","Grand","49","19","1906","1","25","1.31","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Kane","49","25","1766","1","38","2.20","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Morgan","49","29","1028","0",,"2.82","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Grand","49","19","1906","1","69","3.62","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Carbon","49","7","3989","10","261.8","65.63","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Washington","49","53","24950","13","50.46","2.63","13","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Piute","49","31","412","0",,"5.10","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Iron","49","21","5847","2","201.5","6.89","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Washington","49","53","25523","31","551.19000000000005","66.95","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Box Elder","49","3","5279","6","33.200000000000003","3.80","6","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt A","COUNTY","Utah","49","49","32366","31","452.5","43.30","31","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Wasatch","49","51","2308","1","45","1.90","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Millard","49","27","2244","1","150","6.70","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Skilled Nursing Facility","COUNTY","Salt Lake","49","35","83412","38","90.71","4.13","38","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Sanpete","49","39","4270","4","75","7","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Cache","49","5","7561","4","139.80000000000001","7.40","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Home Health","COUNTY","Rich","49","33","327","1","26","8","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Skilled Nursing Facility","COUNTY","Beaver","49","1","1096","0",,"2.50","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Tooele","49","45","5533","7","63.4","8","7","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Salt Lake","49","35","82580","46","835","46.50","46","0","0","0","0","100","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Sevier","49","41","3856","1","272","7.10","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Piute","49","31","412","1","18","4.40","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency)","COUNTY","Kane","49","25","1766","0",,"1.80","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Independent Diagnostic Testing Facility Pt B","COUNTY","Summit","49","43","3753","3","45","3.60","3","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency)","COUNTY","Salt Lake","49","35","83412","19","313.58","7.14","19","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Duchesne","49","13","2422","1","34","1.40","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Home Health","COUNTY","Daggett","49","9","192","0",,"6.80","0","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Morgan","49","29","1049","1","55","5.24","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt B","COUNTY","Sevier","49","41","3664","5","31.2","4.26","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Ambulance (Emergency & Non-Emergency)","COUNTY","Washington","49","53","24950","10","170","6.80","10","0","0","0","100","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Hospice","COUNTY","Wayne","49","55","580","1","23","3.97","1","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2015-01-01 to 2015-12-31","Hospice","COUNTY","Emery","49","15","1916","2","20","2.09","2","100","0","0","0","0","
, UT 
(39.359772, -111.584173)"
"2014-10-01 to 2015-09-30","Ambulance (Emergency & Non-Emergency)","COUNTY","Sanpete","49","39","4270","5","51.8","6.10","5","0","0","100","0","0","
, UT 
(39.359772, -111.584173)"
"2015-04-01 to 2016-03-31","Independent Diagnostic Testing Facility Pt A","COUNTY","Morgan","49","29","1049","4","127.5","48.62","4","0","100","0","0","0","
, UT 
(39.359772, -111.584173)"
