"hospital_name","provider_number","period","claim_type","avg_spending_per_episode_hospital","avg_spending_per_episode_state","avg_spending_per_episode_nation","percent_of_spending_hospital","percent_of_spending_state","percent_of_spending_nation","measure_start_date","measure_end_date","location_1"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","2985","3520","3087","12.15","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 through 30 days After Discharge from Index Hospital Admission","Hospice","56","115","119","0.25","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 through 30 days After Discharge from Index Hospital Admission","Hospice","94","115","119","0.52","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","1 to 3 days Prior to Index Hospital Admission","Carrier","460","432","488","3.06","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 to 3 days Prior to Index Hospital Admission","Carrier","286","432","488","2.14","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","During Index Hospital Admission","Inpatient","7321","10176","8997","48.72","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","100","126","107","0.45","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","1654","3520","3087","15.15","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","During Index Hospital Admission","Inpatient","5676","10176","8997","51.99","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","Complete Episode","Total","22743","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 through 30 days After Discharge from Index Hospital Admission","Hospice","130","115","119","0.61","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","265","644","664","1.50","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","During Index Hospital Admission","Carrier","2057","1464","1511","8.37","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 to 3 days Prior to Index Hospital Admission","Outpatient","1","192","113","0.01","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","5","12","9","0.03","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 to 3 days Prior to Index Hospital Admission","Carrier","395","432","488","3.30","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","During Index Hospital Admission","Carrier","1392","1464","1511","6.89","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","During Index Hospital Admission","Durable Medical Equipment","42","28","23","0.22","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CASTLEVIEW HOSPITAL","460011","Complete Episode","Total","15026","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","1 to 3 days Prior to Index Hospital Admission","Outpatient","67","192","113","0.30","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","22","16","13","0.11","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","During Index Hospital Admission","Durable Medical Equipment","8","28","23","0.08","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","During Index Hospital Admission","Inpatient","8453","10176","8997","52.94","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 to 3 days Prior to Index Hospital Admission","Carrier","431","432","488","1.75","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MCKAY DEE HOSPITAL","460004","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","11","12","9","0.06","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","995","939","759","5.87","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 to 3 days Prior to Index Hospital Admission","Inpatient","1","4","5","0.01","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","0","12","9","0","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","Complete Episode","Total","19893","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","During Index Hospital Admission","Carrier","1949","1464","1511","8.57","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1469","2068","2602","9.92","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","337","644","664","1.48","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","During Index Hospital Admission","Carrier","320","1464","1511","3.55","7.14","7.72","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","1 to 3 days Prior to Index Hospital Admission","Inpatient","5","4","5","0.03","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1834","2068","2602","8.26","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","913","644","664","7.96","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","Complete Episode","Total","24579","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","345","644","664","2.03","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 to 3 days Prior to Index Hospital Admission","Outpatient","41","192","113","0.28","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAVER VALLEY HOSPITAL","460035","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","101","126","107","1.12","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 through 30 days After Discharge from Index Hospital Admission","Outpatient","388","644","664","3.24","3.14","3.39","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","401","939","759","3.35","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","Complete Episode","Total","11465","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","Complete Episode","Total","19584","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","1 through 30 days After Discharge from Index Hospital Admission","Carrier","523","760","1078","2.23","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","2162","2068","2602","11.04","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 to 3 days Prior to Index Hospital Admission","Inpatient","4","4","5","0.02","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 through 30 days After Discharge from Index Hospital Admission","Hospice","105","115","119","0.50","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"CACHE VALLEY HOSPITAL","460054","During Index Hospital Admission","Outpatient","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","During Index Hospital Admission","Durable Medical Equipment","71","28","23","0.30","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"OGDEN REGIONAL MEDICAL CENTER","460005","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1502","2068","2602","7.29","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN WEST MEDICAL CENTER","460014","1 to 3 days Prior to Index Hospital Admission","Carrier","494","432","488","3.34","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","962","939","759","4.99","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ALTA VIEW HOSPITAL","460044","1 through 30 days After Discharge from Index Hospital Admission","Durable Medical Equipment","65","126","107","0.36","0.61","0.55","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"GARFIELD MEMORIAL HOSPITAL","460033","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","668","939","759","6.12","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","Complete Episode","Total","18246","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","During Index Hospital Admission","Durable Medical Equipment","30","28","23","0.19","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"JORDAN VALLEY MEDICAL CENTER","460051","1 to 3 days Prior to Index Hospital Admission","Hospice","5","1","1","0.03","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","Complete Episode","Total","20195","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1183","2068","2602","6.94","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 through 30 days After Discharge from Index Hospital Admission","Carrier","424","760","1078","3.55","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UINTAH BASIN MEDICAL CENTER","460019","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","517","939","759","4.51","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LOGAN REGIONAL HOSPITAL","460015","1 to 3 days Prior to Index Hospital Admission","Outpatient","57","192","113","0.33","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DAVIS HOSPITAL AND MEDICAL CENTER","460041","1 to 3 days Prior to Index Hospital Admission","Outpatient","30","192","113","0.15","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","1 through 30 days After Discharge from Index Hospital Admission","Carrier","838","760","1078","3.66","3.71","5.51","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","During Index Hospital Admission","Home Health Agency","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UTAH VALLEY REGIONAL MEDICAL CENTER","460001","During Index Hospital Admission","Inpatient","11073","10176","8997","48.42","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","12","12","9","0.07","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"INTERMOUNTAIN MEDICAL CENTER","460010","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","2","1","2","0.01","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ST MARKS HOSPITAL","460047","1 to 3 days Prior to Index Hospital Admission","Hospice","2","1","1","0.01","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SALT LAKE REGIONAL MEDICAL CENTER","460003","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"DIXIE REGIONAL MEDICAL CENTER","460021","During Index Hospital Admission","Durable Medical Equipment","28","28","23","0.14","0.14","0.12","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","During Index Hospital Admission","Inpatient","6152","10176","8997","51.43","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","Complete Episode","Total","19248","20499","19578","100","100","100","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","13","1","2","0.09","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS","460009","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LAKEVIEW HOSPITAL","460042","1 to 3 days Prior to Index Hospital Admission","Hospice","0","1","1","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"TIMPANOGOS REGIONAL HOSPITAL","460052","During Index Hospital Admission","Skilled Nursing Facility","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","3","12","9","0.01","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","During Index Hospital Admission","Hospice","0","0","0","0","0","0","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"PARK CITY MEDICAL CENTER","460057","1 to 3 days Prior to Index Hospital Admission","Outpatient","26","192","113","0.14","0.94","0.58","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"VALLEY VIEW MEDICAL CENTER","460007","1 to 3 days Prior to Index Hospital Admission","Skilled Nursing Facility","0","1","2","0","0.01","0.01","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"THE ORTHOPEDIC SPECIALTY HOSPITAL","460049","1 through 30 days After Discharge from Index Hospital Admission","Inpatient","1222","2068","2602","5.15","10.09","13.29","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 through 30 days After Discharge from Index Hospital Admission","Home Health Agency","912","939","759","4.66","4.58","3.88","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"RIVERTON HOSPITAL","460058","1 to 3 days Prior to Index Hospital Admission","Home Health Agency","0","16","13","0","0.08","0.07","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"AMERICAN FORK HOSPITAL","460023","During Index Hospital Admission","Inpatient","8132","10176","8997","47.95","49.64","45.96","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3638","3520","3087","19.94","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"SEVIER VALLEY MEDICAL CENTER","460026","1 to 3 days Prior to Index Hospital Admission","Carrier","262","432","488","1.48","2.11","2.49","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"LDS HOSPITAL","460006","1 through 30 days After Discharge from Index Hospital Admission","Skilled Nursing Facility","3704","3520","3087","18.91","17.17","15.77","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BEAR RIVER VALLEY HOSPITAL","460039","1 to 3 days Prior to Index Hospital Admission","Durable Medical Equipment","6","12","9","0.04","0.06","0.05","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"ASHLEY REGIONAL MEDICAL CENTER","460030","1 to 3 days Prior to Index Hospital Admission","Inpatient","0","4","5","0","0.02","0.02","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"MOUNTAIN VIEW HOSPITAL","460013","1 through 30 days After Discharge from Index Hospital Admission","Hospice","67","115","119","0.37","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
"BRIGHAM CITY COMMUNITY HOSPITAL","460017","1 through 30 days After Discharge from Index Hospital Admission","Hospice","113","115","119","0.66","0.56","0.61","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000","
, UT 
(39.36070123200005, -111.58712831499997)"
