"term","definition","language"
"Délégués à la convention","Participants à une convention","français"
"Entreprises créatives","Une entité à but lucratif dont la mission principale est de produire, présenter ou promouvoir les arts et la culture, comme les studios d'art, les studios de musique, les galeries et les organisations similaires","français"
"Collaboration créative","Un projet artistique dans lequel deux collaborateurs ou plus, individus, organisations ou groupes, partagent à la fois la direction créative et les responsabilités de mise en œuvre","français"
"Économie créative","L'économie créative consiste en une activité économique qui dépend des individus et des organisations utilisant leur créativité pour générer des emplois, des revenus, des ressources communautaires et un engagement culturel. Source : Américain pour les arts, activité économique","français"
"Appropriation culturelle","L'adoption non reconnue ou inappropriée des coutumes, pratiques, idées, etc., d'un peuple ou d'une société par les membres d'un autre peuple ou d'une autre société, généralement plus dominante","français"
"Arts culturels","L'utilisation consciente de l'habileté et de l'imagination créatrice, notamment dans la production d'objets et d'expériences esthétiques (musique, danse, théâtre, art populaire, littérature, art de la performance, art visuel, média, etc.)","français"
"Équité culturelle","L'équité culturelle incarne les valeurs, les politiques et les pratiques qui garantissent que toutes les personnes, y compris, mais sans s'y limiter, celles qui ont été historiquement sous-représentées en raison de leur race/appartenance ethnique, de leur âge, de leur handicap, de leur orientation sexuelle, de leur genre, de leur identité sexuelle, de leur statut socio-économique, de leur géographie, de leur statut de citoyen ou de leur religion, sont représentées dans l'élaboration de la politique artistique, le soutien aux artistes, le développement de lieux d'expression accessibles et prospères ; et la distribution équitable des ressources programmatiques, financières et informationnelles. Source : Américain pour les arts, déclaration sur l'équité culturelle","français"
"Production culturelle","Un événement ou une expérience planifié et géré qui relève d'une catégorie artistique et culturelle","français"
"Tourisme culturel","Un type d'activité touristique dans lequel la motivation essentielle du visiteur est d'apprendre, de découvrir, d'expérimenter et de consommer les attractions/produits culturels tangibles et intangibles d'une destination touristique. Ces attractions/produits sont liés à un ensemble de caractéristiques matérielles, intellectuelles, spirituelles et émotionnelles distinctives d'une société qui englobe les arts et l'architecture, le patrimoine historique et culturel, le patrimoine culinaire, la littérature, la musique, les industries créatives et les cultures vivantes avec leurs modes de vie, leurs systèmes de valeurs, leurs croyances et leurs traditions. Source : Organisation mondiale du tourisme des Nations unies","français"
"Organisation culturellement spécifique","Une organisation culturellement spécifique sert une communauté culturelle particulière et est principalement composée et dirigée par des membres de cette communauté. Ces organisations démontrent une connaissance intime de l'expérience vécue de la communauté, y compris, mais sans s'y limiter, de l'impact du racisme ou de la discrimination structurelle et individuelle sur la communauté ; une connaissance des disparités spécifiques documentées dans la communauté et de la manière dont cela influence la structure de leur programme ou service ; une capacité à décrire les pratiques culturelles de la communauté, les croyances/pratiques en matière de santé et de sécurité, l'identité/la fierté/la résilience culturelle positive, la dynamique de l'immigration, les croyances religieuses, etc., et la manière dont leurs services ont été adaptés à ces normes culturelles.

Une organisation culturellement spécifique peut également être une organisation artistique dont les efforts artistiques reflètent la gestion d'un patrimoine culturel profondément enraciné, tel que reflété dans les coutumes, les traditions, la langue, l'histoire, l'art et les institutions du groupe représenté.","français"
"Statut de délinquant","Un demandeur qui n'a pas respecté ou rempli toutes les exigences d'un autre programme de financement du Département du développement économique.","français"
"Diversité","La somme collective des différences individuelles, y compris, mais sans s'y limiter, l'âge, l'appartenance ethnique, l'identité et l'expression sexuelles, les capacités, la race, la religion, l'orientation sexuelle, le statut socio-économique et l'éducation","français"
"Désavantage économique","Les personnes économiquement défavorisées sont des personnes socialement défavorisées dont la capacité à être compétitives dans le système de libre entreprise a été réduite en raison de la diminution des possibilités de capital et de crédit par rapport à d'autres personnes du même secteur d'activité ou d'un secteur similaire qui ne sont pas socialement défavorisées. Source : Code des règlements fédéraux","français"
"Économiquement vulnérable","Les personnes et les organisations qui courent un risque plus élevé de faillite financière en cas de perturbation économique causée par des facteurs externes","français"
"Institutions d'enseignement","Écoles, collèges et/ou universités publics ou privés","français"
"Musicien professionnel émergeant","Les artistes qui commencent leur carrière professionnelle et qui ne sont pas encore établis en tant que « musicien professionnel » tel que défini dans cette section.","français"
"Équité","La qualité ou le processus d'être juste et impartial ; de remédier activement aux déséquilibres de pouvoir créés par et découlant de l'injustice systémique, du colonialisme et de l'oppression ; voir aussi Équité culturelle","français"
"소매업(44-45)","소매업 섹터에는 일반적으로 변형 없이 상품을 소매 판매하고 상품 판매에 부수적인 서비스를 제공하는 업체들로 구성됩니다","한국어"
"Juridiction extraterritoriale (ETJ)","La juridiction extraterritoriale, qui comprend les terrains non constitués en société situés à moins de 8 km (5 mi) de la limite de la ville d'Austin et qui ne se trouvent pas dans les limites de la ville ou de l'ETJ d'une autre ville. L'ETJ d'Austin s'étend actuellement sur 4 comtés, à savoir Travis, Williamson, Hays et Bastrop.","français"
"Commanditaire fiscal","Une société à but non lucratif ayant le statut 501 (c) qui demande un soutien financier au nom d'une autre organisation ou d'un individu afin de permettre à ce dernier de bénéficier des avantages du statut d'exonération fiscale.","français"
"Année fiscale","Un exercice financier est une période d'un an que les entreprises et les gouvernements utilisent pour l'établissement de rapports financiers et de budgets. Un exercice financier est surtout utilisé à des fins comptables pour préparer les états financiers.","français"
"Inclusion","La pratique ou la politique consistant à offrir un accès égal aux opportunités et aux ressources aux personnes qui pourraient autrement être exclues ou marginalisées, telles que les personnes souffrant de handicaps physiques ou mentaux et les membres d'autres groupes minoritaires.","français"
"Groupe constitué","Un ensemble d'individus formellement organisés en tant que groupe et ayant déposé un certificat de constitution auprès de l'État du Texas, afin de créer ou d'effectuer un travail, des activités ou des services.","français"
"Promoteur indépendant","Le promoteur indépendant doit remplir toutes les conditions suivantes :  Pas plus de 3 employés, et au moins 2 ans de documentation montrant que le demandeur a organisé et promu des spectacles en direct avec des musiciens et des groupes et ne doit pas être lié par contrat à un seul lieu.","français"
"En nature","Services ou biens fournis à un artiste ou à une organisation pour lesquels on aurait autrement à payer. Les services ou les biens fournis par les artistes d'un projet financé, les employés d'une agence contractuelle ou les membres du conseil d'administration ne sont pas considérés comme des services en nature.","français"
"Intersectionnalité","La connectivité des diverses identités sociales d'un individu qui contribue au type spécifique d'oppression, de discrimination et/ou de privilège systémiques qu'il subit. Ces identités qui se chevauchent comprennent la race, le genre, l'orientation sexuelle et la classe sociale, entre autres. Source : Américains pour les arts","français"
"Homosexuels (LGBTQIA+)","Les personnes qui s'identifient comme lesbiennes, gays, bisexuels, transgenres, queers (ou celles qui s'interrogent sur leur identité de genre ou leur orientation sexuelle), intersexes et asexuelles (ou leurs alliés).","français"
"Marketing","Publicité, et/ou promotion spécifiquement identifiée à l'activité. Comprend les coûts des journaux, de la publicité à la radio et à la télévision, de l'impression et de l'envoi de brochures, de dépliants et d'affiches directement liés à la promotion, à la publicité ou aux annonces publicitaires.","français"
"Zone statistique métropolitaine (MSA)","La zone statistique métropolitaine, ou MSA, est la zone statistique métropolitaine d'Austin-Round Rock, qui comprend les comtés de Travis, Williamson, Hays, Bastrop et Caldwell.","français"
"Race ou appartenance ethnique multiples","Race ou appartenance ethnique multiples : doit inclure deux options différentes parmi les options ci-dessus de race/appartenance ethnique.","français"
"Travailleur du secteur de la musique","Défini comme un individu dont la profession actuelle ou principale est ou a été dans l'industrie de la musique, y compris le personnel et le personnel associé travaillant dans les disciplines et les secteurs de l'industrie de la musique (c'est-à-dire les exploitants et le personnel des salles de spectacle, des studios d'enregistrement et des maisons de disques, les ingénieurs du son, les techniciens d'éclairage, les éditeurs, les gérants, les agents, la radio, etc.)","français"
"Art dans les quartiers","Art dans les quartiers : art généré et basé dans un environnement spécifique à un quartier particulier","français"
"Non binaire","Un terme générique pour les personnes qui ne vivent pas le genre à l'intérieur du binaire du genre et qui transcendent les concepts communément admis du genre à travers leurs propres expressions et identités. D'autres termes peuvent être utilisés pour désigner cette situation, par exemple genre spécifique, genre créatif ou genre queer. Certaines personnes non binaires s'identifient également comme transgenres, et peuvent aussi avoir des expressions de genre différentes, comme le fait d'être non conforme au genre.  Source : Ville d'Austin (COA) Réseau des employés de Stonewall Equality (SEEN)","français"
"Organisation sans but lucratif","Une organisation sans but lucratif peut désigner une fondation, une société, une institution ou une association, organisée dans l'intérêt du public et non dans le but de générer des bénéfices pour les propriétaires, les investisseurs ou les particuliers.","français"
"Employé permanent","Personnes employées toute l'année et rémunérées selon un horaire régulier.","français"
"Entité localisée","Entité localisée : groupe constitué, groupe non constitué ou organisme sans but lucratif qui est représentatif d'une communauté géographique spécifique ou d'un segment important d'une communauté spécifique et qui s'engage à répondre aux besoins humains, éducatifs, environnementaux ou de sécurité publique de cette communauté.  Les entités localisées, basées sur le lieu, peuvent également être des collaborations informelles d'individus se réunissant dans un but commun pour identifier une zone ou un espace ayant une importance culturelle et/ou historique, et travailler à la protection et à l'activation de cet espace par le biais de l'autonomisation de la communauté et d'activités d'engagement créatif.","français"
"Institution/organisation à prédominance blanche","Institution/organisation à prédominance blanche : Institutions/organisations dont l'histoire, les politiques, les pratiques et les idéologies sont centrées sur la blancheur ou la majorité blanche. Les institutions à prédominance blanche, en raison de leur conception, ont tendance à marginaliser implicitement et/ou explicitement les identités, les perspectives et les pratiques des personnes de couleur. Source : Américains pour les arts","français"
"Profesional Creativo","El profesional creativo puede incluir, pero no está limitado a, artistas que trabajan en el sector creativo (es decir, músicos, actores, bailarines, escultores, artistas, diseñadores, etc.).","Spanish"
"Race ou appartenance ethnique primaire","La race désigne un groupe partageant des caractéristiques physiques extérieures et certains points communs en matière de culture et d'histoire. L'appartenance ethnique désigne les marqueurs acquis du groupe avec lequel on partage des liens culturels, traditionnels et familiaux. Source : Le dictionnaire Webster et le recensement des États-Unis","français"
"Musicien professionnel","Musicien professionnel : Au moins 2 ans de documentation attestant de performances régulières en tant que musicien professionnel, en solo ou au sein d'un groupe, dans le cadre de spectacles en direct devant un public, ou six enregistrements publiés (singles), ou six vidéos musicales diffusées à des fins promotionnelles.","français"
"Art public","L'art public est une installation permanente ou temporaire d'art dans un lieu visible et/ou accessible au public","français"
"Race ou appartenance ethnique non listée","Comprend les personnes dont la race n'est pas comprise dans les définitions de la race ou de l'appartenance ethnique ci-dessus.","français"
"Optique d'équité raciale","Une optique d'équité raciale est l'ensemble des questions que nous nous posons, ou le processus portant une attention disciplinée à la race et à l' appartenance ethnique, tout au long du processus décisionnel. Cette optique interrompt l'impact des conséquences involontaires en prenant en considération les expériences vécues et les perspectives des communautés raciales diverses que nous entendons servir. Source : Américains pour les arts et le département des droits civils du Michigan.","français"
"Représentation","La représentation consiste en les images, les mots, les textes et les idées qui façonnent la façon dont un groupe de personnes est perçu par les autres ; la représentation consiste à avoir ces histoires et la façon dont elles sont racontées entre les mains des personnes représentées.","français"
"Commission d'examen","Une commission d'examen est une sélection de conseillers, ayant une expérience avérée dans leur domaine d'expertise, qui sont invités à examiner et à noter les demandes de financement. Ce processus vise à garantir l'impartialité du processus d'examen des demandes, ainsi qu'une qualité constante de la programmation artistique et culturelle soutenue par la ville d'Austin.","français"
"Désavantage social","Les personnes socialement défavorisées sont celles qui ont fait l'objet de préjugés raciaux ou ethniques ou de biais culturels au sein de la société américaine en raison de leur identité en tant que membres de groupes et sans tenir compte de leurs qualités individuelles. Le désavantage social doit résulter de circonstances indépendantes de leur volonté. 
Les personnes qui ne sont pas membres de l'un des groupes désignés énumérés peuvent établir l'existence d'un désavantage social sur la base d'expériences personnelles de désavantage social substantiel et chronique dans la société américaine, et non dans d'autres pays, qui est le résultat d'un trait distinctif (c'est-à-dire la race, l'appartenance ethnique, le genre, le handicap physique) qui a contribué au désavantage social. Le désavantage social de l'individu doit avoir été affecté de manière négative sur son entrée ou sa progression dans le monde des affaires. Source : Code des règlements fédéraux définissant le désavantage social","français"
"Projet sponsorisé","Un projet sponsorisé est une activité financée par des fonds externes et dont la portée du travail ou les objectifs sont définis.  Les projets sponsorisés peuvent se présenter sous différentes formes, y compris, mais sans s'y limiter, les subventions, les contrats et les accords de coopération.","français"
"Orientation stratégique 23 (SD23)","L'orientation stratégique (Strategic Direction 2023) (SD23) : orientation stratégique adoptée par la ville d'Austin en 2018, pour guider la ville jusqu'en 2023 avec une vision partagée et des résultats prioritaires (opportunités économiques et accessibilité financière, mobilité, culture et apprentissage tout au long de la vie, sécurité, santé et environnement, et un gouvernement qui fonctionne pour tous)","français"
"Ils/elles/leurs","Pronoms de genre neutre. Utilisés pour désigner et fournir un espace inclusif pour toutes les identités de genre.","français"
"Touriste","Un touriste est une personne qui voyage ou visite un lieu pour le plaisir.","français"
"Sous-représenté","Un sous-ensemble d'une population qui détient un pourcentage plus petit au sein d'un sous-groupe significatif que celui que le sous-groupe détient dans la population générale.","français"
"Groupe non constitué","Un groupe non constitué en société dans l'État du Texas.  Les demandes au nom de groupes non constitués en société sont traitées comme des artistes-demandeurs individuels.","français"
"Identification en tant que femme","Les personnes qui s'identifient comme des femmes.","français"
"गतिविधि","एक गतिविधि कार्य का इवेंट, श्रृंखला, या मौसम हो सकती है।","हिन्दी"
"विकलांग अमेरिकी वासियों के लिए अधिनियम (एडीए)","विकलांग अमेरिकी वासियों के लिए अधिनियम (एडीए) संघीय नागरिक अधिकारों का एक कानून है जो दैनिक गतिविधियों में विकलांग लोगों के साथ होने वाले पक्षपात को रोकता है। एडीए गारंटी देता है कि विकलांग व्यक्तियों के पास अन्य व्यक्तियों की भांति रोजगार के अवसरों का आनंद लेने, सामान और सेवाओं को खरीदने और राज्य और स्थानीय सरकारी कार्यक्रमों में भाग लेने के समान अवसर होंगे।","हिन्दी"
"रचनात्मक व्यापार","एक लाभकारी संस्था जिसका प्राथमिक मिशन कला और संस्कृति का उत्पादन, प्रस्तुत करना या बढ़ावा देना है, जैसे कि कला स्टूडियो, संगीत स्टूडियो, गैलरियां और इसी तरह के संगठन।","हिन्दी"
"वार्षिक प्राप्तियां","यह ""कुल आय"" (या ""सकल आय"") के साथ ""बेची गई वस्तुओं की लागत"" है। ये संख्याएं आम तौर पर किसी व्यवसाय के आईआरएस टैक्स रिटर्न फॉर्म पर पाई जा सकती हैं। वार्षिक प्राप्तियों का औसत निर्धारित करने के लिए व्यवसाय के नवीनतम तीन पूर्ण वित्तीय वर्षों या (व्यवसाय ऋण और आपदा ऋण कार्यक्रमों को छोड़कर) पांच पूर्ण वित्तीय वर्षों में प्राप्तियों का औसत किया जाता है। यदि किसी व्यवसाय ने पाँच वर्षों से परिचालन नहीं किया है, तो उसकी औसत वार्षिक प्राप्तियों को निर्धारित करने के लिए उसकी औसत साप्ताहिक आय को 52 से गुणा करें। एसबीए 13 CFR 121.104 के अनुसार वार्षिक प्राप्तियों की गणना करता है।","हिन्दी"
"कलाकार","एक कलाकार वह व्यक्ति है जो किसी मूल चीज़ को स्पष्ट करने के लिए अपनी कल्पना और रचनात्मक प्रक्रिया का उपयोग करता है,  उस रचना के माध्यम, अभ्यास के प्रकार, उद्देश्य या परिणाम की परवाह किए बिना।","हिन्दी"
"कला और संस्कृति संगठन","एक संगठन जिसके पास या तो संघीय 501 (सी) स्थिति है या जो टेक्सास राज्य के भीतर शामिल है, जिसका प्राथमिक मिशन कला और संस्कृति का उत्पादन, प्रस्तुति या प्रचार करना है।","हिन्दी"
"कला सेवा संगठन","एक संगठन जो कला की प्रस्तुति, निष्पादन, प्रबंधन और प्रदर्शन से जुड़ी सेवाएं प्रदान करता है।","हिन्दी"
"ऑडियंस डेवलपमेंट (दर्शकों का विकास)","ऑडियंस डेवलपमेंट मौजूदा और संभावित दर्शकों की आवश्यकताओं को पूरा करने के लिए की जाने वाली एक गतिविधि है और संगठनों का नए दर्शकों के साथ संबंध विकसित करने में मदद करती है। इसमें मार्केटिंग, प्रोग्रामिंग, शिक्षा, ग्राहक सेवा और वितरण शामिल हो सकते हैं।","हिन्दी"
"काला, स्वदेशी, पीपल ऑफ कलर (बीआईपीओसी)","बीआईपीओसी का भाव काले, स्वदेशी, पीपल ऑफ कलर लोगों से हैं।","हिन्दी"
"पूंजी व्यय","किसी व्यवसाय या संगठन द्वारा भूमि, भवन और उपकरण जैसी अचल संपत्तियों को प्राप्त करने या बनाए रखने के लिए खर्च किया गया धन।","हिन्दी"
"शहर","ऑस्टिन शहर के लिए एक संदर्भ; अन्यथा, किसी कस्बे या गाँव की तुलना में अधिक बड़े आकार, जनसंख्या या महत्व वाला एक निवास स्थान।","हिन्दी"
"समूह","एक कार्यक्रम मॉडल जिसमें प्रतिभागियों का एक समूह सीखने और नेटवर्किंग के साझे अनुभव का अनुभव करता है","हिन्दी"
"सहयोगी","एक व्यक्ति या संस्था जो किसी गतिविधि या परियोजना पर मिलकर काम करती है। सहयोग तब होता है जब व्यक्ति या संस्थाएं कुछ उत्पादित करने या बनाने के लिए मिलकर काम करती हैं।","हिन्दी"
"व्यावसायिक","वस्तुओं और सेवाओं की खरीदारी और बिक्री से संबंधित या इसमें इस्तेमाल किया गया","हिन्दी"
"समुदाय-आधारित इकाई","निगमित समूह, अनिगमित समूह, या नॉन-प्रोफिट जो किसी विशिष्ट समुदाय या विशिष्ट समुदाय के एक महत्वपूर्ण खंड का प्रतिनिधित्व करता है; और उस समुदाय की मानवीय, शैक्षिक, पर्यावरण संबंधी, या सार्वजनिक सुरक्षा आवश्यकताओं को पूरा करने में शामिल है","हिन्दी"
"अनुबंध अवधि","वह अवधि जिसके दौरान समझौता प्रभावी होता है, जो इसकी शर्तों के अनुसार जल्द समाप्ति के अधीन है","हिन्दी"
"सम्मेलन प्रतिनिधि","सम्मेलन में उपस्थित व्यक्ति","हिन्दी"
"Architectural, Engineering, and Related Services (5413)","This industry group comprises establishments primarily engaged in architectural, engineering, and related services, such as drafting services, building inspection services, geophysical surveying and mapping services, surveying and mapping (except geophysical) services, and testing services.","English"
"रचनात्मक सहयोग","एक कला परियोजना जिसमें दो या दो से अधिक सहयोगी - व्यक्ति, संगठन या समूह -  रचनात्मक दिशा और कार्यान्वयन जिम्मेदारियों दोनों को साझा करते हैं।","हिन्दी"
"रचनात्मक अर्थव्यवस्था","रचनात्मक अर्थव्यवस्था में ऐसी आर्थिक गतिविधि शामिल होती है जो नौकरी, आय, सामुदायिक संसाधनों और सांस्कृतिक जुड़ाव को आगे लेजाने के लिए अपनी रचनात्मकता का उपयोग कर रहे व्यक्तियों और संगठनों पर निर्भर करती है। स्रोत: अमेरिकन फॉर द आर्ट्स, इकोनॉमिक एक्टिविटी।","हिन्दी"
"सांस्कृतिक विनियोजन","एक व्यक्ति या समाज की प्रथाओं, रीतियों, विचारों आदि को दूसरे और आमतौर पर अधिक प्रभावशाली लोगों या समाज के सदस्यों द्वारा अस्वीकार्य या अनुचित रूप से अपनाया जाना।","हिन्दी"
"सांस्कृतिक कला","विशेष रूप से सौंदर्य वस्तुओं और अनुभवों (संगीत, नृत्य, रंगमंच, लोक कला, साहित्य, कला प्रदर्शन, दृश्य कला, मीडिया, आदि) के उत्पादन में, कौशल और रचनात्मक कल्पना का सचेत उपयोग।","हिन्दी"
"सांस्कृतिक समानता","सांस्कृतिक समानता उन मूल्यों, नीतियों और प्रथाओं का प्रतीक है जो सुनिश्चित करते हैं कि सभी लोगों -- उन लोगों सहित जिनका जाति/नस्ल, आयु, विकलांगता, यौन अभिविन्यास, लिंग, लिंग पहचान, सामाजिक आर्थिक स्थिति, भूगोल, नागरिकता स्थिति, या धर्म के आधार पर ऐतिहासिक रूप से कम प्रतिनिधित्व किया गया है लेकिन इन्हीं तक सीमित नहीं है -- का कला नीति के विकास; कलाकारों के समर्थन; अभिव्यक्ति के लिए सुलभ, संपन्न स्थानों के पोषण; और कार्यक्रम संबंधी, वित्तीय और सूचनात्मक संसाधनों के उचित वितरण में प्रतिनिधित्व किया जाता है। स्रोत: अमेरिकन्स फॉर दि आर्टस कल्चरल इक्विटी स्टेटमेंट","हिन्दी"
"सांस्कृतिक उत्पादन","एक नियोजित और प्रबंधित इवेंट या अनुभव जो कला और संस्कृति श्रेणी के अंतर्गत आता है","हिन्दी"
"सांस्कृतिक पर्यटन","एक प्रकार की पर्यटन गतिविधि जिसमें पर्यटक की आवश्यक प्रेरणा पर्यटन स्थल में अस्पृश्य और अअस्पृश्य सांस्कृतिक आकर्षणों/ उत्पादों को जानना, खोजना, अनुभव करना और उपभोग करना है। ये आकर्षण/उत्पाद समाज की विशिष्ट सामग्री, बौद्धिक, आध्यात्मिक और भावनात्मक विशेषताओं के एक समूह से जुड़े हैं, जिसमें कला और वास्तुकला, ऐतिहासिक और सांस्कृतिक विरासत, पाक विरासत, साहित्य, संगीत, रचनात्मक उद्योग और जीवित संस्कृतियां, उनकी जीवन शैली,  मान्यता प्रणालियों, विश्वास और परंपराओं के साथ होती हैं। स्रोत: संयुक्त राष्ट्र विश्व पर्यटन संगठन","हिन्दी"
"सांस्कृतिक विशिष्ट संगठन","एक सांस्कृतिक रूप से विशिष्ट संगठन एक विशेष सांस्कृतिक समुदाय की आवश्यकता को पूरा करता है और मुख्य रूप से उस समुदाय के सदस्यों द्वारा संचालित और नेतृत्व किया जाता है। ये संगठन समुदाय के सजीव अनुभव का आंतरिक ज्ञान प्रदर्शित करते हैं, जिसमें समुदाय पर संरचनात्मक और व्यक्तिगत नस्लवाद या पक्षपात का प्रभाव; समुदाय में प्रलेखित विशिष्ट असमानताओं का ज्ञान और यह कैसे उनके कार्यक्रम या सेवा की संरचना को प्रभावित करता है; समुदाय की सांस्कृतिक प्रथाओं, स्वास्थ्य और सुरक्षा विश्वासों/प्रथाओं, सकारात्मक सांस्कृतिक पहचान/गौरव/लचीलापन, आप्रवास गतिशीलता, धार्मिक विश्वासों आदि का वर्णन करने की क्षमता और उनकी सेवाओं को उन सांस्कृतिक मानदंडों के लिए कैसे अनुकूलित किया गया है,  शामिल है, लेकिन इन्हीं तक सीमित नहीं हैं।                                                              एक सांस्कृतिक रूप से विशिष्ट संगठन एक कला संगठन भी हो सकता है, जिसके कलात्मक प्रयास गहरी जड़ वाली सांस्कृतिक विरासत के नेतृत्व को दर्शाते हैं, जैसा कि प्रतिनिधित्व समूह के रीति-रिवाजों, परंपराओं, भाषा, इतिहास, कला और संस्थानों में परिलक्षित होता है।","हिन्दी"
"दोषी की स्थिति","एक आवेदक जो किसी अन्य आर्थिक विकास विभाग के वित्त पोषण कार्यक्रम की सभी आवश्यकताओं का पालन करने या पूरा करने में विफल रहा है।","हिन्दी"
"विविधता","व्यक्तिगत मतभेदों का सामूहिक योग, जिसमें उम्र, जातीयता, लिंग पहचान और अभिव्यक्ति, क्षमताएं, नस्ल, धर्म, यौन अभिविन्यास, सामाजिक आर्थिक स्थिति और शिक्षा शामिल हैं, लेकिन इन्हीं तक सीमित नहीं है","हिन्दी"
"आर्थिक नुकसान","आर्थिक रूप से वंचित व्यक्ति सामाजिक रूप से वंचित व्यक्ति होते हैं जिनकी सामाजिक रूप से वंचित न होने वाले समान या समान व्यवसाय में अन्य लोगों की तुलना में, मुक्त उद्यम प्रणाली में प्रतिस्पर्धा करने की क्षमता कम पूंजी और ऋण के अवसरों के कारण प्रभावित हो गई है। स्रोत: संघीय विनियम संहिता","हिन्दी"
"आर्थिक रूप से कमजोर","बाहरी कारकों के कारण आर्थिक व्यवधान के दौरान वित्तीय विफलता के उच्च जोखिम पर होने वाले व्यक्ति और संगठन","हिन्दी"
"शिक्षण संस्थान","सार्वजनिक या निजी स्कूल, कॉलेज, और/या विश्वविद्यालय","हिन्दी"
"उभरते पेशेवर संगीतकार","अपने पेशेवर करियर की शुरुआत करने वाले कलाकार जो अभी तक इस खंड में परिभाषा के अनुसार ""पेशेवर संगीतकार"" के रूप में स्थापित नहीं हुए हैं।","हिन्दी"
"समानता","निष्पक्ष और न्यायपूर्ण होने; प्रणालीगत अन्याय, उपनिवेशवाद और उत्पीड़न से उत्पन्न और उसके कारण उत्पन्न शक्ति असंतुलन को सक्रिय रूप से दूर करने की गुणवत्ता या प्रक्रिया; सांस्कृतिक समानता भी देखें","हिन्दी"
"अपरदेशीय क्षेत्राधिकार (ईटीजे)","अपरदेशीय क्षेत्राधिकार, जिसमें ऑस्टिन की पूर्ण प्रयोजन शहर सीमा के 5 मील के भीतर अनिगमित भूमि शामिल है जो किसी अन्य शहर के ईटीजे या शहर सीमाओं के भीतर नहीं है। ऑस्टिन का ईटीजे वर्तमान में ट्रैविस, विलियमसन, हेज़ और बैस्ट्रॉप सहित 4 काउंटियों में फैला हुआ है।","हिन्दी"
"वित्तीय प्रायोजक","501 (सी) स्थिति वाला एक गैर-लाभकारी निगम जो किसी अन्य संगठन या व्यक्ति की ओर से वित्तीय सहायता के लिए आवेदन करता है ताकि बाद वाले को कर छूट स्थिति लाभ प्राप्त करने में सक्षम बनाया जा सके।","हिन्दी"
"वित्तीय वर्ष","एक वित्तीय वर्ष एक वर्ष की अवधि है जिसका उपयोग कंपनियां और सरकारें वित्तीय सूचना देने और बजट बनाने के लिए करती हैं। एक वित्तीय वर्ष का अधिकतर उपयोग वित्तीय विवरण तैयार करने के लिए लेखांकन प्रयोजनों हेतु किया जाता है।","हिन्दी"
"समावेश","वे लोग जिन्हें अन्यथा बाहर या अधिकारहीन किया जा सकता है, उनके लिए अवसरों और संसाधनों तक समान पहुंच प्रदान करने की प्रथा या नीति,  जैसे कि शारीरिक या मानसिक रूप से विकलांग लोग और अन्य अल्पसंख्यक समूहों के सदस्य।","हिन्दी"
"निगमित समूह","व्यक्तियों का एक संग्रह जिन्हें औपचारिक रूप से एक समूह के रूप में संगठित किया गया है जिन्होंने काम, गतिविधियों, या सेवाओं को उत्पादित या निष्पादित करने के लिए टेक्सास राज्य के साथ एक सर्टिफिकेट ऑफ फॉर्मेशन दायर किया है।","हिन्दी"
"स्वतंत्र प्रचारक","स्वतंत्र प्रमोटर के लिए निम्नलिखित सभी आवश्यकताओं को पूरा करना आवश्यक है: 3 से अधिक कर्मचारी नहीं, और कम से कम 2 साल के दस्तावेज जो यह दर्शा रहे हैं कि आवेदक ने संगीतकारों और बैंडों की विशेषता वाले लाइव शो का व्यवस्थित चयन और प्रचार किया है और वह एक ही स्थान से अनुबंधित नहीं होना चाहिए।","हिन्दी"
"वस्तुनिष्ठ (इन-काइंड)","किसी कलाकार या संगठन को दी गई सेवाएं या सामान जिसके लिए उसे अन्यथा भुगतान करना होगा। किसी वित्त पोषित परियोजना में कलाकारों, अनुबंध एजेंसी के कर्मचारियों, या बोर्ड के सदस्यों द्वारा प्रदान की जाने वाली सेवाओं या वस्तुओं को वस्तुनिष्ठ सेवाओं के रूप में नहीं माना जाता है।","हिन्दी"
"प्रतिच्छेदन","किसी व्यक्ति की विभिन्न सामाजिक पहचानों का संयोजन जो विशिष्ट प्रकार के प्रणालीगत उत्पीड़न, भेदभाव और/या उनके अनुभव किए गए विशेषाधिकार प्रदान करता है। इन अतिव्यापी पहचानों में अन्य सहित जाति, लिंग, यौन अभिविन्यास और वर्ग शामिल हैं। स्रोत: अमेरिकन्स फॉर दि आर्ट्स","हिन्दी"
"एलजीबीटीक्यूआईए+","वे लोग जो समलैंगिक स्त्री, समलैंगिक पुरुष, द्विलिंगी, ट्रांसजेंडर, समलैंगिक (या जो अपनी लिंग पहचान या यौन अभिविन्यास पर सवाल उठाते हैं), इंटरसेक्स और अलैंगिक (या उनके सहयोगी) के रूप में पहचाने जाते हैं।","हिन्दी"
"विपणन","विशेष रूप से गतिविधि के साथ पहचानी गई प्रख्याति, और/या प्रचार। इसमें समाचार पत्रों, रेडियो और टेलीविजन विज्ञापन, मुद्रण, और ब्रोशर, फ़्लायर्स, और पोस्टरों को डाक द्वारा भेजने की लागत शामिल है जो प्रचार, प्रख्याति, या विज्ञापन से सीधे तौर पर संबंधित है।","हिन्दी"
