"department","url","name","type","visits","last_update_date_data","frequency","category","keywords","owner","contact_email","license","data_provided_by","source_link","hasattachments","primary_priority","secondary_priority","primary_strategic_outcome","secondary_strategic_outcome","empty_fields"
"Other","https://data.austintexas.gov/d/mf9f-kvkk","Community Survey Open-ended Comments (2016 & 2017)","dataset","54","2018-09-05T00:00:00.000","Annually","Budget and Finance","community survey comments","Performance Office","performance@austintexas.gov","Public Domain","Office of Performance Management","https://www.austintexas.gov/financeonline/afo_content.cfm?s=12&p=98",,"N/A","N/A","Government that Works for All of Us","N/A","1"
"Austin Police","https://data.austintexas.gov/d/bx9w-y5sd","R2R 2012","dataset","53","2016-09-20T00:00:00.000","As Needed","Public Safety","police,r2r,response to resistance","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Public Health","https://data.austintexas.gov/d/wbwb-7crz","DSRIP Performance Data 2012- 2017","dataset","53","2019-03-19T00:00:00.000",,"Health and Community Services","dsrip,1115","Katherine Cantrell","katherine.cantrell@austintexas.gov","Public Domain","Austin Public Health","http://www.austintexas.gov/resident/public-health",,"Healthy Austin",,"Health",,"4"
"Development Services","https://data.austintexas.gov/d/4nsn-uea6","Land Database Data Only 2016","dataset","53","2018-02-08T00:00:00.000","Annually",,,"DSD Open Data",,"Public Domain",,,,"Compact & Connected","Healthy Austin","Economic Opportunity and Affordability","Mobility","6"
"Austin Police","https://data.austintexas.gov/d/6nct-c5x2","Hate Crimes Through February 2019","dataset","52","2019-03-21T00:00:00.000",,"Public Safety","apd,hate crime,police,hate","Ron MacKay",,,"Austin Police Department",,,,,,,"9"
"Austin Police","https://data.austintexas.gov/d/bmz9-cdnt","2016 RP Arrests","dataset","52","2018-07-30T00:00:00.000","As Needed","Public Safety","apd,racial profiling,arrest,police","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Development Services","https://data.austintexas.gov/d/yits-9nec","Tree Permits (2015-2016)","dataset","52","2017-04-06T00:00:00.000","As Needed","Building and Development","city arborist,urban forestry,tree permits,environmental,tree removals","Chris Dolph",,"Public Domain","Christopher Dolph, Research Analyst",,,,,,,"7"
"Economic Development","https://data.austintexas.gov/d/b94d-bymu","Number and Percentage of Creatives Who Report Having Access to Affordable Creative Space (Organizations & Businesses), CLL.B.6","dataset","52","2018-12-17T00:00:00.000",,"Recreation and Culture","culture,creative space,creative,arts","Shirley Rempe","casey.smith@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://austintexas.gov/creativespacesurvey",,"Creative Economy",,"Cultural and Learning Opportunities","Economic Opportunity and Affordability","3"
,"https://data.austintexas.gov/d/s9cr-5vnb","Austin's Score on the Creative Vitality Index 2017, CLL.B3","dataset","52","2018-12-13T00:00:00.000",,"Recreation and Culture","arts,culture,creative economy,strategic direction 2023","Shirley Rempe","shirley.rempe@austintexas.gov","Public Domain","CreativeVitality Suite","https://cvsuite.org/",,,,"Cultural and Learning Opportunities","Economic Opportunity and Affordability","5"
,"https://data.austintexas.gov/d/htr2-nhqn","Strategic Direction 2023 Metric EOA.D7: Austin's share of regional households whose income is less than $40,000 and the change since 2016","dataset","51","2019-01-29T00:00:00.000",,"City Government","economic opportunity and affordability","Sam Tedford","sam.tedford@austintexas.gov","Public Domain","American Community Survey","https://factfinder.census.gov/faces/nav/jsf/pages/index.xhtml",,"Household Affordability","Complete Communities (Imagine Austin vision)","Economic Opportunity and Affordability",,"4"
,"https://data.austintexas.gov/d/qfh8-gqkb","AFD Fire Incidents 2018 January - December","dataset","51","2019-01-04T00:00:00.000",,"Public Safety","fire,afd,fire incident,incident,rap,calls","Christine Thies","christine.thies@austintexas.gov","Public Domain","Austin Fire Department (Laura Everett)","http://www.austintexas.gov/fire",,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/4rp8-sdwe","Avoided Emissions in ERCOT Associated with FY 2016 Renewable Energy Purchases","dataset","50","2018-07-31T00:00:00.000","Annually","Utilities and City Services","ercot,avoided,emissions,fiscal year,austin energy","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com",,"Green Infrastructure",,"Government that Works for All of Us",,"4"
"Austin Public Health","https://data.austintexas.gov/d/mwda-nf2p","HIV Planning Council Service Priorities","dataset","50","2018-09-28T00:00:00.000","Annually","Health and Community Services","hiv,hiv/aids,fast track cities,getting to zero,hiv planning council,ryan white,allocations,priority setting","Laura Still","laura.still@austintexas.gov","Public Domain","Austin Public Health",,,"Healthy Austin","Healthy Austin","Health","Health","2"
"Emergency Medical Services","https://data.austintexas.gov/d/95xj-wt9t","EMS - Top Ten Dispatch Problems by Fiscal Year","dataset","49","2018-10-17T00:00:00.000","Annually","Public Safety","ems,atcems,incidents,operations,problem types,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","emsopendata@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.atcems.org",,"N/A","N/A","N/A","N/A","1"
"Emergency Medical Services","https://data.austintexas.gov/d/pws3-ij4t","EMS - FY2017 Annual Report Average Days to Close Clinical Reviews by Month","dataset","49","2018-02-06T00:00:00.000","As Needed","Public Safety","atcems,annual report,performance management","Austin-Travis County EMS",,"Public Domain",,,,,,,,"8"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/7n2z-9x43","NHCD Blueprint Goal: Tenant Income Certifications","dataset","48","2019-04-12T00:00:00.000",,"Housing and Real Estate",,"Josh Rudow","NHCD@austintexas.gov",,,,,"Household Affordability",,"Economic Opportunity and Affordability",,"8"
"Austin Police","https://data.austintexas.gov/d/b9rk-dixy","2018 RP Citations","dataset","47","2019-02-28T00:00:00.000",,"Public Safety","racial profiling,citations,apd,police","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"8"
"Austin Police","https://data.austintexas.gov/d/jipa-v8m5","R2R 2011","dataset","47","2016-09-20T00:00:00.000","As Needed","Public Safety","police,r2r,response to resistance","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
,"https://data.austintexas.gov/d/mbwg-yjpy","Creative Sector Industry Codes, 2016","dataset","47","2018-12-18T00:00:00.000",,"Recreation and Culture","creative sector,creative economy,arts and culture","Shirley Rempe","shirley.rempe@austintexas.gov","Public Domain","CreativeVitality Suite","http://www.cvsuite.org",,,,,,"7"
,"https://data.austintexas.gov/d/t3xu-kuvy","Captial Metro Service Area","gis map","47","2019-04-16T00:00:00.000",,,,"ArcGIS Connector",,"Public Domain",,,,,,,,"12"
"Austin Police","https://data.austintexas.gov/d/nbjz-52e4","2015 Racial Profiling Arrests","dataset","45","2018-07-30T00:00:00.000","As Needed","Public Safety","police,racial profiling,arrests","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
,"https://data.austintexas.gov/d/vpfh-h6ep","311 Calls Related to Homelessness","dataset","30","2018-12-18T00:00:00.000",,,,"SSRodriguez",,"Public Domain",,,,,,,,"12"
"Public Information Office","https://data.austintexas.gov/d/ybad-gaya","SEO Community Feedback- Stakeholder Meetings+ Digital Correspondence","dataset","45","2018-05-09T00:00:00.000","As Needed","City Government","special events","Marion Sanchez","marion.sanchez@austintexas.gov","Public Domain","CIty of Austin, Public Information Office, Community Engagement Division",,,"Creative Economy","Complete Communities (Imagine Austin vision)",,,"4"
,"https://data.austintexas.gov/d/2t57-kf3t","Wildfire Hazard Potential Treatment Areas","gis map","45","2019-04-17T00:00:00.000",,"Public Safety","afd,wildfire","Gus Delgado","Steven.Casebeer@austintexas.gov","Public Domain",,,,,,,,"9"
,"https://data.austintexas.gov/d/9e8e-ghwx","Downtown Austin Community Court (DACC) FY 2019 Caseload Information","dataset","45","2019-04-17T00:00:00.000",,"Public Safety","court,city ordinance,criminal,violation,ticket,citation,public safety,ordinance","James Loague","james.loague@austintexas.gov","Public Domain",,,,,,,,"9"
,"https://data.austintexas.gov/d/k2dd-rzgp","Strategic Direction 2023 Metric EOA.D2: Austin Housing Vacancy","dataset","45","2019-01-29T00:00:00.000",,"Housing and Real Estate","housing,vacancy,demand,occupancy","Sam Tedford",,"Public Domain","American Community Survey","https://factfinder.census.gov",,"Household Affordability","Land Development Regulations (CodeNEXT)","Economic Opportunity and Affordability",,"5"
,"https://data.austintexas.gov/d/czzw-4f5n","Number of individuals experiencing homelessness in 2017","dataset","43","2018-12-18T00:00:00.000",,,,"SSRodriguez",,"Public Domain",,,,,,,,"12"
"Austin Energy","https://data.austintexas.gov/d/i6q4-spfi","Single-Family Audits 2016","dataset","42","2018-08-02T00:00:00.000","As Needed","Utilities and City Services","austin energy,audits,single,family","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com",,"Complete Communities (Imagine Austin vision)",,"Government that Works for All of Us",,"4"
"Austin Police","https://data.austintexas.gov/d/vchc-c622","2018 RP Warnings + Field Observations","dataset","42","2019-02-28T00:00:00.000",,"Public Safety","police,apd,racial profiling,warning,field observation","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"8"
,"https://data.austintexas.gov/d/m78t-7ndk","EMS - Spring Festival Incident Summary","dataset","42","2019-04-04T00:00:00.000",,"Public Safety",,"Austin-Travis County EMS",,"Public Domain","Austin-Travis County EMS",,,,,,,"10"
"Austin Public Health","https://data.austintexas.gov/d/q7pb-dgav","Ryan White Grant Medical Transportation Expenditures","dataset","41","2018-07-24T00:00:00.000","Annually","Health and Community Services","health,ryan white,medical transportation,grant,transportation","Nancie Putnam","Nancie.putnam@Austintexas.gov","Public Domain","HIV Resources Administration Unit",,,"Healthy Austin",,"Health","Mobility","3"
,"https://data.austintexas.gov/d/h5rk-cvij","EMS-Opiate Overdoses by Drug Type FY 2018","dataset","41","2018-10-29T00:00:00.000",,"Health and Community Services","911,ambulance,atcems,austin,emergency medical services,ems,travis county,opiates","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Austin-Travis County EMS","https://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","3"
"Austin Police","https://data.austintexas.gov/d/urfd-wng9","2016 RP Citations","dataset","40","2018-09-25T00:00:00.000","As Needed","Public Safety","police,citations,racial profiling","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
,"https://data.austintexas.gov/d/5evd-3tba","2017 R2R Dataset","dataset","40","2019-01-08T00:00:00.000",,"Public Safety","r2r,response to resistance,police","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"9"
,"https://data.austintexas.gov/d/ndbh-67kz","Citywide Hexagon Grid (1000ft)","dataset","40","2018-12-12T00:00:00.000",,"Transportation and Mobility",,"Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department",,,,,,,"9"
,"https://data.austintexas.gov/d/snsz-ahbz","EMS Billing Payment Intake Type FY 2017","dataset","39","2018-10-11T00:00:00.000",,"Budget and Finance","911,ambulance,atcems,austin,emergency medical services,ems,fy2017,travis county,billing","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Billing Services","http://www.austintexas.gov/department/billing-info",,,"N/A","N/A","N/A","4"
"Development Services","https://data.austintexas.gov/d/ryu3-tuin","Sound Ordinance Permits","dataset","38","2019-03-15T00:00:00.000",,"Recreation and Culture","economy,gis,location,transit network,transportation,city of austin,development services department,sound ordinance permits","DSD Open Data","dsdhelp@austintexas.gov","Public Domain","City of Austin","http://www.austintexas.gov/",,"Creative Economy",,"Cultural and Learning Opportunities","Economic Opportunity and Affordability","3"
"Emergency Medical Services","https://data.austintexas.gov/d/3npz-rjst","EMS - Top 10 Primary Impressions by Fiscal Year","dataset","38","2018-10-17T00:00:00.000","Annually","Health and Community Services","ems,atcems,patient contacts,primary impressions,911,ambulance,austin,travis county,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS","http://www.atcems.org",,"N/A","N/A","N/A","N/A","1"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/hzbr-t5fg","Strategic Direction 2023: Number of Unsubsidized Affordable Market-Rate Units","dataset","38","2019-01-25T00:00:00.000",,"Housing and Real Estate",,"Josh Rudow","NHCD@austintexas.gov","Public Domain","CoStar",,,"Household Affordability",,"Economic Opportunity and Affordability",,"6"
"Telecom & Regulatory Affairs","https://data.austintexas.gov/d/kqyx-i5n8","Digital Skill Increase","dataset","38","2019-01-31T00:00:00.000",,,"skills and capability of community workforce,digital inclusion,digital literacy,digital equity","jesse.rodriguez","jesse.rodriguez@austintexas.gov","Public Domain",,,,,,"Economic Opportunity and Affordability","Cultural and Learning Opportunities","7"
,"https://data.austintexas.gov/d/r5j2-ynwq","Number and Percentage of Creatives who report having Access to Affordable Creative Space (Individual Artists), CLL.B.6","dataset","38","2018-12-18T00:00:00.000",,"Recreation and Culture","culture,creative space,artists","Shirley Rempe","shirley.rempe@austintexas.gov","Public Domain","City of Austin Economic Development Department","http://www.austintexas.gov/creativespacesurvey",,,,"Cultural and Learning Opportunities","Economic Opportunity and Affordability","5"
"Austin Public Health","https://data.austintexas.gov/d/udkb-jd5c","Medical Transportation Unit Types for Ryan White Grants","dataset","37","2018-07-24T00:00:00.000","Annually","Health and Community Services","health,hiv,aids,medical transportation,grant,ryan white,health demographics","Nancie Putnam",,"Public Domain",,,,"Healthy Austin",,"Health","Mobility","5"
"Austin Energy","https://data.austintexas.gov/d/49ss-cihr","Solar Incentives by Fiscal Year","dataset","29","2018-07-31T00:00:00.000","Annually","Utilities and City Services","austin energy,solar,incentive,solutions","Austin Energy",,"Public Domain","Austin Energy","http://austinenergy.com",,"Green Infrastructure",,"Government that Works for All of Us",,"4"
"Emergency Medical Services","https://data.austintexas.gov/d/gtky-m2xb","EMS - Child Passenger Safety","dataset","36","2018-05-07T00:00:00.000","Annually","Public Safety","emergency medical services,911,ambulance,atcems,austin,ems,travis county","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","ATCEMS Community Relations/Injury Prevention","http://www.austintexas.gov/department/ems-community-outreach",,"N/A","N/A","N/A","N/A","1"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/9gp2-dgnn","NHCD Blueprint Goal: Assist 600 low-income households per year with home repair programs with the objective to help preserve existing housing stock","dataset","36","2019-03-19T00:00:00.000",,"Housing and Real Estate",,"Josh Rudow","NHCD@austintexas.gov","Public Domain",,,,"Household Affordability",,"Economic Opportunity and Affordability",,"7"
"Office of Sustainability","https://data.austintexas.gov/d/9pey-pbm5","Bright Green Future Grant Data","dataset","36","2019-01-31T00:00:00.000",,"Environment","sustainability","Shannon Wisner","shannon.wisner@austintexas.gov","Public Domain","City of Austin Office of Sustainability",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/ws8z-i6pc","Austin Energy Solar Incentive Program","dataset","35","2018-08-03T00:00:00.000","Annually","Utilities and City Services","solar incentive,solar","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com/ae/about/reports-and-data-library/corporate-reports",,"Green Infrastructure","Healthy Austin","Health","Government that Works for All of Us","2"
"Austin Police","https://data.austintexas.gov/d/fk9e-2udt","2014 Racial Profiling Arrests","dataset","35","2018-07-30T00:00:00.000","As Needed","Public Safety","police,racial profiling,arrests","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Police","https://data.austintexas.gov/d/rx3x-btgd","Traffic Fatalities 2017 Working 500 Meters Without Formatting.xlsm","dataset","35","2018-06-29T00:00:00.000","As Needed",,,"Ted Lehr",,"Public Domain",,,,,,,,"10"
"Development Services","https://data.austintexas.gov/d/9y4j-4sik","PLANNINGCADASTRE_emerging_projects","gis map","35","2019-04-16T00:00:00.000",,"Locations and Maps","planning,projects,development review","DSD Open Data","DSDOpenData@austintexas.gov","Public Domain","City of Austin Development Services","http://www.austintexas.gov/department/development-services",,"Household Affordability","Healthy Austin","Economic Opportunity and Affordability","Cultural and Learning Opportunities","2"
,"https://data.austintexas.gov/d/5vya-ijmv","EMS - Response Interval Performance by Fiscal Year","dataset","35","2018-10-29T00:00:00.000",,"Public Safety","ems,atcems,response time performance,operations,city of austin,travis county,911,ambulance,emergency medical services","Austin-Travis County EMS","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County EMS Field Operations","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","3"
,"https://data.austintexas.gov/d/u6g9-szws","Number and percentage of people who successfully complete workforce development training, EOA.F.4","dataset","35","2019-01-11T00:00:00.000",,"Health and Community Services","workforce,workforce development,eoa.f.4,economic opportunity","Melissa Alvarado","preston.stewart@austintexas.gov","Public Domain","University of Texas Ray Marshall Center, Workforce Solutions Capital Area","http://www.wfscapitalarea.com/MasterCommunityWorkforcePlan",,"Workforce Development",,"Economic Opportunity and Affordability",,"5"
"Austin Fire","https://data.austintexas.gov/d/vi22-trrr","Wildfire_Mechanical_Fuel_Treatments","gis map","34","2019-04-16T00:00:00.000",,"Public Safety","afd,wildfire","Gus Delgado","Steven.Casebeer@austintexas.gov","Public Domain",,,,,,,,"8"
"Austin Public Health","https://data.austintexas.gov/d/m7cy-7djw","HIV Planning Council Resource Allocation Plan for Ryan White HIV/AIDS Program Part A","dataset","34","2018-09-28T00:00:00.000","Annually","Health and Community Services","ryan white,hrsa,hiv,hiv/aids,allocations,hiv planning council,planning council,resource allocations,priority setting resource allocation","Laura Still","laura.still@austintexas.gov","Public Domain","Austin Public Health",,,"Healthy Austin","Healthy Austin","Health","Health","2"
"Planning and Zoning","https://data.austintexas.gov/d/6hwi-pp6y","Draft 3 D10 Proposed Zoning","dataset","34","2018-04-04T00:00:00.000","As Needed","City Government","codenext,zoning,draft 3,d10,district 10,council,comments","mhart12","codenext@austintexas.gov","Public Domain","Planning and Zoning","https://www.austintexas.gov/codenext",,"Land Development Regulations (CodeNEXT)","Complete Communities (Imagine Austin vision)","Government that Works for All of Us",,"2"
"Neighborhood Housing and Community Development","https://data.austintexas.gov/d/nq2j-5nhd","Strategic Direction 2023: Number of Subsidized Rental Units Considered to be Affordable","dataset","32","2019-01-28T00:00:00.000",,"Housing and Real Estate","affordable housing","Josh Rudow","NHCD@austintexas.gov","Public Domain",,,,"Household Affordability",,"Economic Opportunity and Affordability",,"6"
"Austin Police","https://data.austintexas.gov/d/5asp-dw2k","2017 Racial Profiling Warnings + Field Observations","dataset","31","2018-07-30T00:00:00.000","As Needed","Public Safety","police,racial profiling,warning,field observation","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
,"https://data.austintexas.gov/d/33bu-eair","EMS-Opiate Overdoses by Race FY 2018","dataset","31","2018-11-02T00:00:00.000",,"Health and Community Services","911,ambulance,atcems,austin,emergency medical services,ems,travis county,opiates","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Austin-Travis County EMS","https://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","3"
,"https://data.austintexas.gov/d/3syx-vuaj","EMS-Opiate Overdoses by Age Group and Gender FY 2018","dataset","31","2018-11-02T00:00:00.000",,"Health and Community Services","911,ambulance,atcems,austin,emergency medical services,ems,travis county,opiates","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Austin-Travis County EMS","https://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","3"
,"https://data.austintexas.gov/d/c5cp-8gdp","2017 Arrest Bookings SD1b","dataset","31","2019-01-08T00:00:00.000",,"Public Safety","apd,police,arrests","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"9"
,"https://data.austintexas.gov/d/wtkz-rmxz","HOST Individuals Served","dataset","31","2018-12-18T00:00:00.000",,,"homelessness,homeless,homeless outreach street team,host","SSRodriguez",,"Public Domain",,,,,,,,"11"
"Economic Development","https://data.austintexas.gov/d/wf83-5fwx","Number and percentage of creative-sector professionals who indicated they benefited from a City-sponsored Professional Development Opportunity, CLL.B.4","dataset","30","2019-01-11T00:00:00.000",,"Recreation and Culture","creative,professional development,economic development,cll.b.4","Melissa Alvarado","jesus.pantel@austintexas.gov","Public Domain","City of Austin Economic Development Department, Cultural Arts Division",,,"Creative Economy",,"Cultural and Learning Opportunities",,"5"
"Austin Public Health","https://data.austintexas.gov/d/a5m3-3rf3","Tobacco- and Smoke-Free Worksite, Housing & Campus Policies in Travis County","dataset","29","2019-04-23T00:00:00.000",,"Health and Community Services","tobacco,tobacco-free,smoke-free,secondhand smoke,policy,campus,housing,worksite,smoking","seidels","ashley.lemaistre@austintexas.gov","Public Domain","Austin Public Health",,,"Healthy Austin","N/A","Health","N/A","3"
"Watershed Protection","https://data.austintexas.gov/d/ntj6-8h6q","FM973 WWL","gis map","28","2019-03-13T00:00:00.000","As Needed","Locations and Maps",,"Belinda Frye",,"Public Domain","Watershed Protection Department, Stream Restoration Program",,,,,,,"8"
,"https://data.austintexas.gov/d/yv8c-xn5q","EMS-Opiate Overdoses by Gender FY 2018","dataset","28","2018-10-29T00:00:00.000",,"Health and Community Services","911,ambulance,atcems,austin,emergency medical services,ems,travis county,opiates","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Austin-Travis County EMS","https://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","3"
"Austin Police","https://data.austintexas.gov/d/qhi8-a9bc","2016 RP Warnings + Field Observations","dataset","26","2018-07-30T00:00:00.000","As Needed","Public Safety","police,apd,racial profiling,warning,field observation","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Police","https://data.austintexas.gov/d/tud4-5x9v","GUIDE 2017 - RP","dataset","26","2018-07-30T00:00:00.000","As Needed","Public Safety","police,racial profiling,apd,austin police department","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Austin Energy","https://data.austintexas.gov/d/tk9p-m8c7","Austin Energy Single Family Audits","dataset","25","2018-07-13T00:00:00.000","Annually","Utilities and City Services","austin energy,energy,conservation,audit,disclosure,initiative,efficiency,resident,commercial","Austin Energy",,"Public Domain","Austin Energy","http://austinenergy.com",,"Complete Communities (Imagine Austin vision)",,"Government that Works for All of Us",,"4"
"Austin Public Health","https://data.austintexas.gov/d/tpa8-5hku","Preventable Hospitalizations in Travis County by ZIP Code 2016","dataset","25","2019-04-04T00:00:00.000",,"Health and Community Services","preventable,hospitalizations,discharge,diabetes,chronic disease","seidels","sarah.seidel@austintexas.gov","Public Domain","Austin Public Health",,,"Healthy Austin",,"Health",,"5"
,"https://data.austintexas.gov/d/27tg-e4dt","GUIDE 2017 - R2R","dataset","25","2019-01-08T00:00:00.000",,"Public Safety","r2r,response to resistance,guide","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"9"
,"https://data.austintexas.gov/d/gua9-mcyv","Urban Forestry Board Heritage Tree Report","dataset","25","2019-04-09T00:00:00.000",,"Environment",,"Chris Dolph",,,"Chris Dolph",,,"Land Development Regulations (CodeNEXT)","Green Infrastructure",,,"9"
,"https://data.austintexas.gov/d/y3ty-ev67","EMS-Opiate Overdoses by Age FY 2018","dataset","25","2018-10-29T00:00:00.000",,"Health and Community Services","911,ambulance,atcems,austin,emergency medical services,ems,travis county,opiates","Austin-Travis County EMS","emsdataanalysis@austintexas.gov","Public Domain","Austin-Travis County EMS","https://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","3"
"Austin Transportation","https://data.austintexas.gov/d/v6kq-45cf","School Zone Beacons","dataset","24","2017-04-17T00:00:00.000","Daily","Transportation and Mobility","transportation,signals,mobility,safety,pedestrians,school,learning,knowledge,bicycles","Austin Transportation","transportation.data@austintexas.gov","Public Domain","City of Austin Transportation Department - Arterial Management Division",,,,,,,"6"
"Communication and Technology Management","https://data.austintexas.gov/d/emth-z3dg","Retired Datasets","dataset","24","2019-02-21T00:00:00.000",,"City Government","city of austin,open data,deprecated datasets,retired datasets","Brad McCarty","OpenData@austintexas.gov","Public Domain","City of Austin",,,"N/A","N/A","N/A","N/A","3"
,"https://data.austintexas.gov/d/cpxf-2jga","GUIDE - Arrests","dataset","24","2019-01-08T00:00:00.000",,"Public Safety","police,arrests","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"9"
"Austin Energy","https://data.austintexas.gov/d/dnnr-hyi9","Power Supply Adjustment Costs by Percentage","dataset","23","2019-03-06T00:00:00.000",,"Utilities and City Services","power supply,cost,percentage","Austin Energy","aeopendataportal@austinenergy.com","Public Domain","Austin Energy","https://austinenergy.com",,"Green Infrastructure",,"Government that Works for All of Us",,"4"
"Communication and Technology Management","https://data.austintexas.gov/d/xfzx-vxqj","Pollen","gis map","23","2018-02-01T00:00:00.000","Monthly","Locations and Maps","land base,basepoly,lots,planning cadastre","Candace",,"Public Domain","Communications and Technology Management/9-1-1 Addressing",,,,,,,"7"
"Emergency Medical Services","https://data.austintexas.gov/d/3pvb-jvb7","EMS - FY2017 Annual Report Safety Concerns","dataset","23","2018-02-21T00:00:00.000","As Needed","Public Safety","atcems,fy2017,annual report,safety","Austin-Travis County EMS",,"Public Domain",,,,,,,,"8"
"Emergency Medical Services","https://data.austintexas.gov/d/g45v-pjvr","EMS - FY2016 Annual Safety Report Risk Levels","dataset","23","2017-06-23T00:00:00.000","As Needed","Public Safety","fy2016,annual report,safety,ems,atcems,911,ambulance,austin,travis county,emergency medical services","David Andersen","EMSOpenData@austintexas.gov","Public Domain","Austin-Travis County Emergency Medical Services Safety Office","http://www.austintexas.gov/department/ems",,"N/A","N/A","N/A","N/A","1"
,"https://data.austintexas.gov/d/dc6w-63nk","Needs met by HOST","dataset","23","2018-12-18T00:00:00.000",,,,"SSRodriguez",,"Public Domain",,,,,,,,"12"
"Austin Energy","https://data.austintexas.gov/d/6993-ykim","Peak Demand Reduction","dataset","22","2018-08-02T00:00:00.000","Annually","Utilities and City Services","austin energy,efficiency,programs,reduce,electric system","Austin Energy",,"Public Domain","Austin Energy","https://austinenergy.com",,"Green Infrastructure",,"Government that Works for All of Us",,"4"
"Emergency Medical Services","https://data.austintexas.gov/d/8ryn-q79x","EMS - Percent of Applicants Hired","dataset","22","2018-04-03T00:00:00.000","Annually","Public Safety","911,ambulance,atcems,austin,emergency medical service,travis county,applicants,recruiting,personnel","Austin-Travis County EMS","EMSDataAnalysis@austintexas.gov","Public Domain","EMS Recruiting","http://www.austintexas.gov/department/career-opportunities",,"N/A","N/A","N/A","N/A","1"
,"https://data.austintexas.gov/d/bmeh-xaea","2017 R2 R Subjects","dataset","22","2019-01-08T00:00:00.000",,"Public Safety","r2r,response to resistance,police","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"9"
"Austin Police","https://data.austintexas.gov/d/tqet-vty2","2014 Racial Profiling Warnings + Field Observations","dataset","18","2018-07-30T00:00:00.000","As Needed","City Government","police,racial profiling,warning,field observation","Ron MacKay",,"Public Domain","Austin Police Department",,,,,,,"7"
"Communication and Technology Management","https://data.austintexas.gov/d/5fxu-y3u5","WILLIAMSON CREEK","gis map","17","2017-09-21T00:00:00.000","As Needed","Locations and Maps","inland waters,lake polygons,water bodies,colorado river,lake travis,ladybird lake,decker lake","mike",,"Public Domain","Communications and Technology Management",,,,,,,"7"
"Economic Development","https://data.austintexas.gov/d/4jq3-nncf","Number of community members who attended performances/events arranged through cultural and music contracts, CLL.B.5","dataset","17","2019-01-12T00:00:00.000",,"Recreation and Culture","cultural funding program,arts,arts organizations,events,music,audience,performance,economic development,cll.b.5","Melissa Alvarado","frank.wick@austintexas.gov","Public Domain","City of Austin Economic Development Department, Cultural Arts Division",,,"Creative Economy",,"Cultural and Learning Opportunities",,"5"
,"https://data.austintexas.gov/d/5vj5-96q9","Municipal Court Caseload Information FY 2019","dataset","17","2019-04-18T00:00:00.000",,,,"Jim Warren",,,,,,,,,,"13"
,"https://data.austintexas.gov/d/pnh5-e6nf","S.D.4 Municipal Court","dataset","17","2019-01-18T00:00:00.000",,,"municipal,court","GAVLAM",,"Public Domain",,,,,,,,"11"
