"bill_number","title","sponsor","final_status"
"SB 0521","Landlord and Tenant - Access to Counsel in Evictions Special Fund - Mandatory Appropriation","Shelly Hettleman","Senate - Hearing 2/15 at 1:00 p.m."
"HB 0080","Home- and Community-Based Services Waiver - Participation and Applications","Bonnie Cullison","Senate - Referred Rules"
"HB 0485","Montgomery County - Deer Hunting - Sundays MC 25-22","Montgomery County Delegation","House - Returned Passed"
"HB 0837","Cannabis Reform","Luke Clippinger","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 26"
"HB 0002","Income Tax - Work Opportunity Tax Credit","Eric Luedtke","House - Approved by the Governor - Chapter 6"
"HB 1282","Property Tax - Agricultural Accessory Use Improvements - Study and Report","Kevin Hornberger","Senate - Referred Rules"
"HB 0419","State Government - Information Technology - Cybersecurity","Carl Anderton","House - Hearing 2/22 at 1:00 p.m."
"SB 0896","State Government - Attorney General - Independent Investigations Division","William Smith","House - Rereferred to Judiciary"
"SB 0208","Criminal Law - Assault of a Public Transportation Service Provider - Penalties","Judicial Proceedings","Senate - Hearing 1/13 at 1:30 p.m."
"SB 0942","Agriculture - Urban Agriculture Water and Power Infrastructure Grant Program and Fund - Establishment","Melony Griffith","Senate - Returned Passed"
"SB 0146","Vehicle Laws - Plug-In Electric Drive Vehicles - Reserved Parking Spaces","Ronald Young","Senate - Returned Passed"
"SB 1003","Legal Advertisement or Legal Notice - Publication in Newspaper or Newspaper in General Circulation - Online Newspapers","Adelaide Eckardt","Senate - Hearing 3/24 at 1:00 p.m."
"HB 0224","Property Tax Exemption - Disabled Veterans","Brian Crosby","House - Hearing 2/01 at 1:00 p.m."
"SB 0812","State Government - Cybersecurity - Coordination and Governance","Katie Hester","Senate - Passed Enrolled"
"HB 1010","Children - Substance Abuse Court-Ordered Evaluations and Treatment","Nicholaus Kipke","House - Withdrawn by Sponsor"
"HB 0296","Temporary Protective Orders - Electronic Filing and Video Conferencing Hearings","Charlotte Crutchfield","House - Returned Passed"
"SB 0522","State and Local Parks - Child Safe Zone Program - Establishment (Equitable Access to Safe Parks Act)","Shelly Hettleman","Senate - Hearing 3/01 at 1:00 p.m."
"HB 1388","Winery and Vineyard Economic Development Grant Program","Michele Guyton","Senate - Referred Rules"
"SB 0692","Cannabis - Legalization and Regulation (Cannabis Legalization and Reparations for the War on Drugs Act)","Jill Carter","Senate - Hearing 3/03 at 1:00 p.m. (Finance)"
"SB 0247","State Department of Assessments and Taxation - Real Property Assessments and Appeals","Antonio Hayes","Senate - Passed Enrolled"
"SB 0296","Land Use - Agritourism - Definition","Jason Gallion","Senate - Returned Passed"
"SB 0785","Department of Legislative Services - Collection of Information Related to Public Safety, Criminal Justice, Corrections, and Juvenile Services","President","Senate - Hearing 3/03 at 1:00 p.m."
"SB 0687","Department of the Environment - Zero-Emission Medium and Heavy Duty Vehicles - Regulations (Zero-Emission Truck Act of 2022)","Ronald Young","Senate - Hearing 2/24 at 1:00 p.m."
"HB 0099","Election Law - Absentee Ballots - Signature Requirements and Verification","Bob Long","House - Hearing 1/25 at 1:00 p.m."
"SB 0462","Public Schools - Expanded American History - Development of Content Standards and Implementation","Susan Lee","Senate - Hearing 2/16 at 1:00 p.m."
"HB 0130","Motor Vehicles - Required Stops - Secondary Enforcement","Anne Healey","House - Withdrawn by Sponsor"
"SB 0110","Electricity - Community Solar Energy Generating Systems - Generating Capacity","Benjamin Kramer","Senate - Hearing 2/01 at 1:00 p.m."
"HB 1080","Maryland Medical Assistance Program - Children and Pregnant Women (Healthy Babies Equity Act)","Joseline Pena-Melnyk","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 28"
"HB 0243","Montgomery County - Board of Education - Student Member Scholarship MC 05""22","Montgomery County Delegation","House - Returned Passed"
"HB 1328","Counties and Municipalities - Water Transfer Fee - Authorization","Kevin Hornberger","House - Hearing 3/08 at 1:00 p.m."
"HB 0725","Children - Therapeutic Child Care Program - Funding","Eric Luedtke","Senate - Third Reading Passed (43-0)"
"SB 0083","Criminal Law - Public Safety - Interference with a Public Safety Answering Point - Penalties","Cheryl Kagan","House - Hearing 3/29 at 1:00 p.m."
"HB 0301","Creation of a State Debt - Maryland Consolidated Capital Bond Loan of 2022, and the Maryland Consolidated Capital Bond Loans of 2014, 2015, 2016, 2017, 2018, 2019, 2020, and 2021","Speaker","House - First Reading Appropriations"
,,,
"HB 0352","Education - American Studies and Social Equity Standards Advisory Board - Academic Standards and Model Policy","Lily Qi","House - Hearing canceled"
"SB 0160","Natural Resources - Sunday Hunting - Migratory Game Birds","Mary Carozza","Senate - Withdrawn by Sponsor"
"SB 0066","Labor and Employment - Hiring - Education Requirements (Give Me A Chance - Job Opportunities Act of 2022)","Obie Patterson","Senate - Unfavorable Report by Finance"
"HB 0258","Employment Standards - Seating for Employees (Right to Sit Act of 2022)","Vaughn Stewart","House - Withdrawn by Sponsor"
"HB 0319","General Provisions - Commemorative Days - Overdose Awareness","Rachel Jones","House - Hearing 3/15 at 1:30 p.m."
"HB 1332","State and Local Parks - Playground Accessibility - Communication Boards","Wayne Hartman","House - Hearing 3/09 at 2:15 p.m."
"SB 0505","Department of Aging - Dementia Care Coordinator and Dementia Care Navigators","Nancy King","Senate - Hearing 2/24 at 1:00 p.m."
"SB 0603","Constitutional Amendment - Beer and Wine Licenses - Retail Grocery Establishments","Cory McCray","Senate - Unfavorable Report by Education, Health, and Environmental Affairs"
"HB 0526","Washington Suburban Sanitary Commission - Plumbing and Fuel Gas Services - Licenses and Penalties PG/MC 109-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"SB 0113","Environmental Health Specialists and On""Site Sewage Disposal Systems - Transfer of Responsibilities and Standards, Regulations, Applications, and Plans","Katie Hester","Senate - Hearing 2/02 at 1:00 p.m."
"HB 0133","Environment - Sealant Products - Prohibitions (Safer Sealant Act of 2022)","Vaughn Stewart","House - Passed Enrolled"
"HB 0806","Building Standards and Emissions Reductions - High Performance, State, and Local Government Buildings, State Operations, and Eligible Projects","Dana Stein","House - Hearing 3/01 at 1:00 p.m."
"HB 0056","Commission on Student Behavioral Health and Mental Health Treatment","Heather Bagnall","House - Hearing 1/20 at 1:00 p.m."
"HB 0083","Family Law - Marriage of Minors","Vanessa Atterbeary","House - Passed Enrolled"
"HB 0557","Drunk Driving Offenses - Ignition Interlock System Program","Vanessa Atterbeary","House - Hearing 2/23 at 1:00 p.m."
"HB 0811","Montgomery County - Speed Monitoring Systems - Maryland Route 200 (Intercounty Connector) MC 22-22","Montgomery County Delegation","House - Unfavorable Report by Environment and Transportation"
"HB 0571","Access to Counsel in Evictions Special Fund - Alteration","Samuel Rosenberg","House - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 20"
"HB 0016","Crimes - Unattended Dogs - Extreme Weather Conditions and Heat","Mary Lehman","House - Passed Enrolled"
"SB 0630","Maryland Department of Emergency Management - Office of Resilience","Katie Hester","Senate - Returned Passed"
"HB 0100","Sustainable Maryland Program Fund - Establishment","Jared Solomon","House - Hearing 1/25 at 1:00 p.m."
"HB 1205","State Government - Information Technology and Cybersecurity""Related Infrastructure (Modernize Maryland Act of 2022)","Pat Young","House - Passed Enrolled"
"HB 0453","Correctional Facilities - Transgender, Nonbinary, and Intersex Inmates (Transgender Respect, Agency, and Dignity Act)","Lesley Lopez","House - Hearing 2/08 at 1:00 p.m."
"SB 0268","Pesticide Regulation - Transfer to Department of the Environment","Cheryl Kagan","Senate - Unfavorable Report by Education, Health, and Environmental Affairs"
"HB 0952","Access to Abortion Care and Health Insurance Act","Ariana Kelly","House - Hearing 2/22 at 1:00 p.m."
"HB 1406","Alcoholic Beverages - Issuance of Class A Licenses","James Gilchrist","House - First Reading House Rules and Executive Nominations"
"HB 1061","Local Government - Condominium and Homeowners Associations - Repair and Rehabilitation Funds","Marvin Holmes","House - Withdrawn by Sponsor"
"HB 0664","Child Care Programs - Maryland Infants and Toddlers Program - Information and Assistance","Michele Guyton","House - Returned Passed"
"HB 0595","Department of the Environment - Supplemental Environmental Projects Database","Nino Mangione","Senate - Referred Rules"
"SB 0680","State and Local Parks - Playground Accessibility - Communication Boards","Jason Gallion","Senate - Hearing 3/01 at 1:00 p.m."
"HB 0275","Environment - PFAS Chemicals - Prohibitions and Requirements (George ""Walter"" Taylor Act)","Sara Love","House - Passed Enrolled"
"SB 0040","Interagency Commission on School Construction - Systemic Renovation Projects - Eligibility","Katie Hester","House - Hearing 3/22 at 1:40 p.m."
"HB 0163","Department of Transportation - Notice of Entry Onto Private Property","Alfred Carr","House - Passed Enrolled"
"SB 0795","Community Colleges and Private Nonprofit Institutions of Higher Education - Funding","Guy Guzzone","Senate - Hearing 3/10 at 1:00 p.m."
"HB 0239","Montgomery County - Alcoholic Beverages - Class D Beer and Wine License - Farm Breweries and Limited Wineries MC 21""22","Montgomery County Delegation","House - Hearing 2/21 at 1:00 p.m."
"SB 0150","Maryland Medical Assistance Program - Dental Coverage for Adults","Malcolm Augustine","Senate - Returned Passed"
"SB 0814","Public Safety - Resilient Maryland Revolving Loan Fund - Alterations","Katie Hester","Senate - Returned Passed"
"HB 1062","Criminal Law - Animal Cruelty - Petition for Costs for Care of Seized Animal","David Moon","House - Passed Enrolled"
"SB 0453","Economic Development - Maryland Makerspace Initiative Program","Cory McCray","Senate - Returned Passed"
"HB 0898","Maryland Department of Emergency Management - Office of Domestic Terrorism Response","Samuel Rosenberg","House - Hearing 3/10 at 1:00 p.m."
"HB 1425","Infrastructure Grants - Federal Infrastructure Investment and Coordination Unit - Established","Robbyn Lewis","House - Hearing 3/15 at 1:00 p.m."
"HB 1278","Public Safety - Interjurisdictional Policing Grant Program","Pat Young","House - Hearing 3/15 at 1:00 p.m."
"SB 0781","Public Safety and Behavioral Health Improvement Act","Katie Hester","Senate - Hearing 3/08 at 1:00 p.m. (Finance)"
"SB 0330","County Boards of Health and Baltimore City Health Department - Procedures and Appeals Process","Justin Ready","Senate - Hearing 2/08 at 1:00 p.m."
"HB 0122","Criminal Procedure - Expungement of Records - Expansion","Wanika Fisher","House - Hearing 2/01 at 1:00 p.m."
"SB 0013","Vehicle Theft Prevention Fund - Allocation of Grants","Cory McCray","House - Hearing canceled"
"HB 0844","Real Property Tax Rates - Notification to Real Property Taxpayers","Jason Buckel","House - Hearing 2/22 at 1:00 p.m."
"HB 0215","Personal Property Tax - Depreciation of Assessed Value","Neil Parrott","House - Hearing 2/01 at 1:00 p.m."
"SB 0394","Statewide Targeted Overdose Prevention (STOP) Act of 2022","Jack Bailey","Senate - Returned Passed"
"SB 0492","Environment - Discharge Permits - Inspections and Administrative Continuations","Paul Pinsky","House - Referred Environment and Transportation"
"SB 0003","Facilities - Disabilities, Juveniles, Behavioral Health, and Health Care - Plans","Jill Carter","Senate - Passed Enrolled"
"SB 0357","Adult Protective Services - Workgroup to Study Best Practices for a Vulnerable Adult Registry in Maryland","Joanne Benson","Senate - Passed Enrolled"
"HB 0487","Commercial Vehicles - Police-Initiated Towing - Requirements","Linda Foley","House - Passed Enrolled"
"HB 0925","Traffic Control Signal Modernization Fund - Establishment","Neil Parrott","House - Hearing 2/24 at 1:00 p.m."
"HB 0572","Places of Public Accommodation and Public Buildings - Gender-Inclusive Signage","Jared Solomon","House - Withdrawn by Sponsor"
"SB 0629","Landlord and Tenant - Eviction Data - Collection and Distribution","George Edwards","Senate - Third Reading Passed (47-0)"
"HB 0939","Elections - Absentee Ballots - Mailing of Unrequested Ballots","Haven Shoemaker","House - Hearing 2/22 at 1:00 p.m."
"HB 0598","Higher Education - Transfer Platform - Established (Transfer With Success Act 2.0)","Jared Solomon","Senate - Referred Education, Health, and Environmental Affairs"
"HB 0411","Public Safety - Local Law Enforcement Coordination Council and Coordinator and State Aid for Police Protection Fund","Carl Anderton","House - Hearing 2/08 at 1:00 p.m."
"HB 1013","Public Safety - Safer Communities Fund and Task Force - Establishment","Jheanelle Wilkins","House - Hearing 3/08 at 1:00 p.m."
"HB 0050","Public Health - Abortion, Artificial Insemination, and Sterilization - Requirement","Marlon Amprey","House - Hearing 3/11 at 1:00 p.m."
"SB 0257","Public Service Commission - Reporting Requirements","Pamela Beidle","Senate - Returned Passed"
"HB 0673","Land Use - Agritourism - Definition","Wayne Hartman","House - Hearing 2/16 at 1:00 p.m."
"SB 0494","Maryland Energy Administration - Energy and Water Efficiency Standards - Alterations","Paul Pinsky","House - Referred Environment and Transportation"
"SB 0526","Renewable Energy Portfolio Standard and Renewable Energy Credits - Offshore Wind","Brian Feldman","Senate - Returned Passed"
"HB 0400","Washington Suburban Sanitary Commission - Hiring and Promotion Preferences - Veterans and Their Spouses PG/MC 106-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"SB 0549","Administrative Services Organizations - Requirements for Retraction, Repayment, or Mitigation of Claims","Malcolm Augustine","Senate - Hearing 2/16 at 1:00 p.m."
"SB 0419","Opioid Restitution Fund - Appropriation of Settlement Funds and Grant Program","Brian Feldman","Senate - Returned Passed"
"SB 0556","Public Safety - Law Enforcement Agencies - Body""Worn Cameras","Charles Sydnor","Senate - Hearing 2/23 at 1:00 p.m."
"SB 0710","Criminal Procedure - Expungement of Records - Modifications","Obie Patterson","Senate - Hearing 3/08 at 1:00 p.m."
"HB 0212","Election Law - Signature Verification of Absentee Ballots and Absentee Ballot Applications and Ballot Canvassing","Neil Parrott","House - Unfavorable Report by Ways and Means"
"HB 0204","Homeowners"" Property Tax Credit - Application Filing Deadline - Extension","Dalya Attar","House - Approved by the Governor - Chapter 132"
"HB 0936","Blue Ribbon Community Solar Land Use Commission","Kumar Barve","Senate - Referred Finance"
"HJ 0001","Maryland Citizens' Legislative Districting Plan of 2022","Speaker","House - First Reading House Rules and Executive Nominations"
"HB 0267","Criminal Law - Threat Against Public Health Official or Hospital Staff Member","Karen Young","House - Hearing 1/25 at 1:00 p.m."
"HB 0189","Income Tax - Subtraction Modification - Retirement Income","Benjamin Brooks","House - Hearing 2/16 at 1:00 p.m."
"HB 0591","Public Safety - Law Enforcement Agencies - Body-Worn Cameras","David Moon","House - Hearing 3/01 at 1:00 p.m."
"HB 1023","Department of Legislative Services - Collection of Information Related to Public Safety, Criminal Justice, Corrections, and Juvenile Services","Speaker","House - Returned Passed"
"HB 0375","Open Meetings Act - Application and Enhanced Requirements (Maryland State Agency Transparency Act of 2022)","Marc Korman","House - Passed Enrolled"
"SB 0329","Election Law - Polling Sites - Firearms Prohibitions","Jeff Waldstreicher","Senate - Hearing 2/23 at 1:00 p.m."
"HB 0328","Elections - Polling Place Location Restrictions - Repeal","Dana Jones","Senate - Third Reading Passed (47-0)"
"SB 0391","Economic Development - More Jobs for Marylanders Program - Extension and Alterations","Jack Bailey","Senate - Passed Enrolled"
"SB 0279","Access to Counsel in Evictions Special Fund - Alteration","Shelly Hettleman","Senate - Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 21"
"HB 0399","Washington Suburban Sanitary Commission - Minority Business Enterprise Utilization Program - Termination Extension PG/MC 105-22","Prince George's County Delegation and Montgomery County Delegation","House - Returned Passed"
"SB 0274","Property Tax - Exemptions for Business Personal Property - Alterations","Antonio Hayes","House - Favorable Adopted Second Reading Passed"
"HB 1330","Partnership Rental Housing Program - Mixed-Income Housing Developments (More Homes for Marylanders Act)","Vaughn Stewart","House - Hearing 3/08 at 1:00 p.m."
"SB 0440","Commission to Study the Health Care Workforce Crisis in Maryland - Establishment","Pamela Beidle","Senate - Passed Enrolled"
"SB 0587","Division of Parole and Probation - Duties - Offenders Under Supervision (Parole and Probation Performance Act)","Cory McCray","Senate - Hearing 2/24 at 1:00 p.m."
"HB 0924","Alcoholic Beverages - Class 4 Limited Winery Licenses - Extension","Kriselda Valderrama","House - Returned Passed"
"SB 0656","Children - Residential Treatment Centers - Education Funding","Katherine Klausmeier","Senate - Hearing 2/22 at 1:00 p.m."
"HB 1243","Public Health - Rural Nonemergency Medical Transportation Program","Seth Howard","House - Hearing 3/07 at 2:00 p.m."
"SB 0460","Health - Insurance Coverage Information","Malcolm Augustine","House - Hearing 4/07 at 12:00 p.m."
"SB 0029","Family Law - Marriage - Age Requirements","Sarah Elfreth","Senate - House Conference Committee Appointed (Delegates Clippinger, Bartlett and Shetty)"
"HB 0422","Working Marylanders Tax Relief Act of 2022","Carl Anderton","House - Hearing 2/23 at 1:00 p.m."
"HB 0558","Land Use - Agritourism - Definition","Jerry Clark","House - Returned Passed"
"HB 1112","Electricity - Net Energy Metering - Generation Credits","Benjamin Brooks","House - Hearing 3/10 at 1:00 p.m."
"HB 1194","Condominiums - Assessment Late Fees and Liens - Notice and Timing","Sid Saab","House - Unfavorable Report by Environment and Transportation"
"HB 0971","Maryland Medical Assistance Program - Substance Abuse Treatment - Network Adequacy","Nicholaus Kipke","Senate - Third Reading Passed (47-0)"
"HB 0136","Education - Public and Nonpublic Schools - Seizure Action Plans (Brynleigh's Act)","Ken Kerr","House - Passed Enrolled"
"SB 0319","Public Safety - Maryland Swimming Pool and Spa Standards - Adoption","Cory McCray","House - Referred Rules and Executive Nominations"
"SB 0026","Automatic Expungement - Clarification","Jeff Waldstreicher","House - Third Reading Passed (109-21)"
"SB 0882","Correctional Services - Correctional Officers - Polygraph Testing","Fair Practices and State Personnel Oversight","Senate - Unfavorable Report by Judicial Proceedings"
"HJ 0002","Legislative Districting Plan of 2022","Speaker","House - First Reading House Rules and Executive Nominations"
"SB 0105","Vehicle Laws - Failure to Pay Video Toll - Penalties","Jeff Waldstreicher","Senate - Hearing 1/18 at 1:00 p.m."
"HB 1147","Real Property - Cooperative Housing Corporations, Condominiums, and Homeowners Associations - Virtual Meetings","Jen Terrasa","Senate - Hearing 3/31 at 1:00 p.m."
"SB 0287","Correctional Services - Division of Parole and Probation - Definition of Absconding","Michael Hough","Senate - Hearing 2/10 at 1:00 p.m."
"HB 1414","Property Tax - Homeowners' Property Tax Credit - Definition of Gross Income","Nicholaus Kipke","House - First Reading House Rules and Executive Nominations"
"HB 0178","Public Health - Cottage Food Businesses - Annual Revenues","Mark Chang","House - Returned Passed"
"HB 1393","Harassment and Sexual Harassment - Definitions - Employment Discrimination and Sexual Harassment Prevention Training","Pamela Queen","House - First Reading House Rules and Executive Nominations"
"SB 0229","Environment - On-Farm Composting Facilities - Permit Exemption","Jason Gallion","House - Hearing 3/30 at 1:00 p.m."
"SB 0672","Criminal Law - Animal Abuse or Neglect - Penalties","Benjamin Kramer","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0265","Probation Before Judgment - Probation Agreements - Probation Not Deportation","Susan Lee","Senate - Motion Laid Over (Senator Ready) Adopted"
"HB 0833","Criminal Law - Victims of Child Sex Trafficking and Human Trafficking - Safe Harbor and Service Response","Brooke Lierman","Senate - Motion Special Order until Later Today (Senator Hershey) Adopted"
"SB 0181","Homeowners"" Property Tax Credit - Application Filing Deadline - Extension","Budget and Taxation","Senate - Returned Passed"
"HB 0477","Cigarettes, Tobacco Products, and Electronic Smoking Devices - Local Law Authorization","Diana Fennell","House - Withdrawn by Sponsor"
"HB 0997","Criminal Procedure - Restorative Justice Program","Debra Davis","House - Withdrawn by Sponsor"
"SB 0087","Vehicle Laws - Intersections - Prohibited Acts","Ronald Young","Senate - Hearing 1/18 at 1:00 p.m."
"SB 0290","Budget Bill (Fiscal Year 2023)","President","Senate - Passed Enrolled"
"HB 1042","Public Information Act - Police Officers - Unfounded Complaints","Washington County Delegation","House - Hearing 3/01 at 1:00 p.m."
"SB 0464","Underground Facilities Damage Prevention - Enforcement","Brian Feldman","Senate - Approved by the Governor - Chapter 114"
"SB 0139","Public Health - Semipublic Pools - Lifeguards","Michael Jackson","Senate - Withdrawn by Sponsor"
"HB 1155","Foster Parents, Kinship Parents, Preadoptive Parents, and Caregivers - Right to Intervene","Susan McComas","House - Withdrawn by Sponsor"
"SB 0210","Tax Credits - Employer-Provided Commuter Benefits - Expansion and Administration","Budget and Taxation","Senate - Returned Passed"
"HB 1286","Social Networks - Next Generation 9-1-1 and Public Service Announcements","Kevin Hornberger","House - Hearing 3/08 at 1:30 p.m."
"HB 1351","Health Facilities - Delegation of Inspection Authority - Related Institutions and Nursing Homes","Kirill Reznik","House - Withdrawn by Sponsor"
"SB 0037","Health Occupations - State Board of Massage Therapy Examiners - Requiring License to Practice and Other Revisions","Malcolm Augustine","Senate - Passed Enrolled"
"HB 1011","Conditions of Pretrial Release - Home Detention Monitoring - Alterations and Extension","Stephanie Smith","Senate - Referred Rules"
"HB 0402","Department of the Environment - Enforcement Authority","Speaker","House - Hearing 2/25 at 1:00 p.m."
"HB 1233","Public Schools - Health and Vision Services - Required Screenings and Eye Examinations","Terri Hill","House - Hearing 3/08 at 1:00 p.m."
"SB 0450","Harassment and Sexual Harassment - Definitions - Employment Discrimination and Sexual Harassment Prevention Training","William Smith","Senate - Returned Passed"
"SB 0577","Public Schools - Self""Contained Special Education Classroom - Use of Video Recording Devices","Katherine Klausmeier","Senate - Hearing 2/16 at 1:00 p.m."
"HB 0231","Montgomery County - Automated Traffic Enforcement - Implementing Agency MC 18-22","Montgomery County Delegation","Senate - Hearing 3/23 at 1:00 p.m."
"SB 0397","Public Safety - Local Law Enforcement Coordination Council and Coordinator and State Aid for Police Protection Fund","Jack Bailey","Senate - Hearing 2/10 at 1:00 p.m. (Judicial Proceedings)"
"SB 0784","Criminal Law - Use or Possession of a Controlled Dangerous Substance - De Minimis Quantity","Jill Carter","Senate - Hearing 3/08 at 1:00 p.m."
"SB 0581","Public Safety - Law Enforcement Agencies - Positive Community Feedback","Jack Bailey","House - Hearing 4/05 at 1:00 p.m."
"HB 0253","Unemployment Insurance - Federal Extended Benefits for Long""Term Unemployment","Julie Palakovich Carr","House - Returned Passed"
"SB 0945","Wetlands and Waterways Program Division - Permitting for Ecological Restoration Projects - Required Study","Jason Gallion","Senate - Third Reading Passed (47-0)"
"SB 0025","Reckless and Negligent Driving - Death of Another - Must-Appear Violation (Sherry's and Christian's Law)","Bob Cassilly","House - Hearing 3/30 at 1:00 p.m."
"HB 0018","Maryland Paint Stewardship","Regina Boyce","Senate - Referred Education, Health, and Environmental Affairs"
"HB 1067","Natural Resources - Wildlife Management - Nighttime Hunting","Dana Stein","House - Hearing 3/02 at 1:00 p.m."
"HB 0047","Public Schools - Expanded American History - Development of Content Standards and Implementation","C.T. Wilson","House - Hearing 1/20 at 1:00 p.m."
"SB 0067","Animal Welfare - Declawing Cats - Prohibited Acts","Cheryl Kagan","Senate - Returned Passed"
"HB 0112","Health Occupations - Service Members, Veterans, and Military Spouses - Temporary Licensure, Certification, Registration, and Permitting","Brian Crosby","House - Hearing 1/20 at 4:30 p.m."
"SB 0400","Transportation - Highway User Revenue - Distribution","Jack Bailey","Senate - Hearing 2/09 at 1:00 p.m."
"SB 0966","Public Utilities - Energy Efficiency and Conservation Programs - Alterations","Brian Feldman","Senate - Rereferred to Finance"
"HB 1484","Maryland Strategic Energy Investment Program - Solar Electric Photovoltaic Property and Solar Batteries - Grant Amounts","Jay Jalisi","House - First Reading House Rules and Executive Nominations"
"HB 0932","Landlord and Tenant - Right to Redemption of Leased Premises - Form of Payment","Vaughn Stewart","House - Returned Passed"
"HB 1481","Charter and Code Home Rule Counties - County Property Leases - Notice Exemptions","Dorchester County Delegation","House - First Reading House Rules and Executive Nominations"
"HB 0116","Agriculture - Right to Engage in Equine Activities","Sara Love","House - Hearing 1/19 at 1:00 p.m."
"HB 0113","Elections - In-Person Voting - Proof of Identity","Bob Long","House - Hearing 1/25 at 1:00 p.m."
"SB 0376","County and Municipal Street Lighting Investment Act","Susan Lee","Senate - Hearing 2/15 at 1:00 p.m."
"SB 0531","Maryland Health Care Commission - Assisted Living Programs - Study","Pamela Beidle","Senate - Returned Passed"
"HB 1109","First Responders and Emergency Responders - Definition - 9-1-1 Dispatchers Included","Nicholaus Kipke","House - Hearing 3/04 at 1:00 p.m."
"HB 0538","Voters' Rights Protection Act of 2022","Samuel Rosenberg","House - Hearing 2/15 at 1:00 p.m."
"SB 0983","Property Tax Credit - Disabled Law Enforcement Officers and Rescue Workers - Definition and Eligibility","Katherine Klausmeier","House - Second Reading Passed with Amendments"
"HB 0135","Environment - Single""Use Plastics - Restrictions","Sara Love","House - Unfavorable Report by Economic Matters"
"HB 1341","Prince George's County - Other Tobacco Products and Electronic Smoking Devices - Requirements and Limitations","Prince George's County Delegation","House - Unfavorable Report by Economic Matters"
"HB 1285","Maryland Electricians Act - Revisions","Kevin Hornberger","Senate - Favorable with Amendments Report by Education, Health, and Environmental Affairs"
"SB 0057","Criminal Law - Public Safety - Communications With Public Safety Answering Points","Cheryl Kagan","Senate - Hearing 1/19 at 1:00 p.m."
"HB 1346","State Government - Cybersecurity - Coordination and Governance","Pat Young","House - Passed Enrolled"
"SB 0920","Early Childhood Development - Child Care Scholarship Program - Alterations and Study","Nancy King","Senate - Passed Enrolled"
"HB 0029","Vehicle Laws - Penalties for Failure to Pay Video Toll and Electronic Tolling Performance Audit","Alfred Carr","Senate - Hearing 3/30 at 1:00 p.m."
"HB 0554","Election Law - Petitions - Signatures","Samuel Rosenberg","House - Hearing 2/15 at 1:00 p.m."
"SB 0831","Education Support Professionals - Workgroup and Bonus","Craig Zucker","Senate - Passed Enrolled"
"SB 0933","Education - Accountability and Implementation Board - Membership","Stephen Hershey","Senate - First Reading Senate Rules"
"SB 0148","Property Tax Exemption - Disabled Veterans","Obie Patterson","Senate - Hearing 2/09 at 1:00 p.m."
"SB 0704","Conditions of Pretrial Release - Home Detention Monitoring - Alterations and Extension","Shelly Hettleman","Senate - Passed Enrolled"
"HB 1172","Election Law - Absentee Ballot Envelopes - Party Affiliation","William Wivell","House - Hearing 3/08 at 1:00 p.m."
"SB 0393","Economic Development - Project Restore Program and Fund","Jack Bailey","House - Hearing 3/30 at 1:00 p.m."
"HB 0331","Local Government - Regulation of Amateur Radio Station Antenna Structures","Joseph Boteler","House - Returned Passed"
"SB 0224","Labor and Employment - Employment Standards and Conditions - Definition of Employer","President","Senate - Hearing 2/10 at 1:00 p.m."
"HB 0159","Economic Justice and Racial Reconciliation Act","Marlon Amprey","House - Hearing 2/01 at 1:30 p.m."
"SB 0241","Behavioral Health Crisis Response Services - 9-8-8 Trust Fund","Malcolm Augustine","Senate - Returned Passed"
"SB 0168","Department of Health - ImmuNet and Statewide Advisory Commission on Immunizations","Education, Health, and Environmental Affairs","Senate - Returned Passed"
"SB 0017","Child Custody - Cases Involving Child Abuse or Domestic Violence - Training for Judges","Chris West","Senate - Passed Enrolled"
"HB 0418","Economic Development - More Jobs for Marylanders Program - Extension and Alterations","Carl Anderton","House - Hearing 3/02 at 1:00 p.m."
"HB 0532","Criminal Procedure - Search Warrants","Gabriel Acevero","House - Hearing 3/01 at 1:00 p.m."
"HB 0824","Landlord and Tenant - Eviction Data - Collection and Distribution","Nicole Williams","Senate - Third Reading Passed (47-0)"
"HB 1417","Recordation and Transfer Taxes - First-Time Maryland Home Buyer - Payment and Exemptions","Kevin Hornberger","House - First Reading House Rules and Executive Nominations"
"HB 0799","State and Local Government - COVID-19 - Vaccination by Choice Act","Matt Morgan","House - Hearing 3/14 at 2:00 p.m."
"HB 1241","Health Occupations - Nursing Home Administrator - Qualifications","Ariana Kelly","House - Withdrawn by Sponsor"
"SB 0356","Criminal Procedure - Expungement - Entitlement","Chris West","Senate - Hearing 2/10 at 1:00 p.m."
"HB 0171","Climate Crisis and Environmental Justice Act","David Fraser-hidalgo","House - Hearing 3/10 at 1:00 p.m. (Economic Matters)"
"SB 0212","Correctional Officer - Employment - Age Requirement","Judicial Proceedings","Senate - Hearing 1/13 at 1:30 p.m."
"SB 0517","Criminal Procedure - Location Information (Kelsey Smith Act for Maryland)","Jack Bailey","House - Hearing 4/05 at 1:00 p.m. (Judiciary)"
