"the_geom","id","description","facility_type","agency","owner","full_address","city","state","zip","phone_number","website","address_id"
"POINT (-91.221973104739 30.672361367261)","183","Ligon Road Park","BREC PARK","BREC","BREC","21600 LIGON RD","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/LigonRoad","54717"
"POINT (-91.008264618275 30.521396579857)","264","Greenwell Springs Park","BREC PARK","BREC","BREC","7550 SHADY PARK DR","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/GreenwellSprings","112105"
"POINT (-91.179335873841 30.450370735504)","24","Sports Academy","BREC PARK","BREC","BREC","1002 LAUREL ST","BATON ROUGE","LOUISIANA","70802","225-344-9688","http://www.brec.org/index.cfm/park/SportsAcademy","142368"
"POINT (-91.145231512943 30.422464292613)","372","Nairn Park","BREC PARK","BREC","BREC","2800 NAIRN DR","BATON ROUGE","LOUISIANA","70808","225-923-2720","http://www.brec.org/index.cfm/park/NairnDrive","65630"
"POINT (-91.188470030964 30.45020690843)","136","Visit Baton Rouge","MUNICIPAL OFFICES","VISIT BATON ROUGE","CITY/PARISH","359 3RD ST","BATON ROUGE","LOUISIANA","70801",,,"74683"
"POINT (-91.173501662969 30.52740341176)","354","Anna T. Jordan Community Park","BREC PARK","BREC","BREC","1750 STILT ST","BATON ROUGE","LOUISIANA","70807","225-775-1707","http://brec.org/index.cfm/park/AnnaTJordanCommunityPark","42306"
"POINT (-91.036014672792 30.468862255449)","387","BRFD Station 18","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","1993 N FLANNERY RD","BATON ROUGE","LOUISIANA","70815",,,"50990"
"POINT (-91.095785847857 30.345979095513)","51","Burbank Soccer Complex","BREC PARK","BREC","BREC","12400 BURBANK DR","BATON ROUGE","LOUISIANA","70810","225-272-9200","http://www.brec.org/index.cfm/park/BurbankSoccerComplex","17626"
"POINT (-91.117005380124 30.472735389286)","427","DHH EBR Medicaid Office","STATE OFFICES","STATE OF LOUISIANA","STATE","2521 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70805",,,"60854"
"POINT (-91.168677400792 30.560954317509)","356","J.S. Clark Park And Golf Course","BREC PARK","BREC","BREC","2301 THOMAS RD","BATON ROUGE","LOUISIANA","70807","225-775-9008","http://golf.brec.org/courses/dumas-memorial/","60123"
"POINT (-91.022335335961 30.587836812236)","316","Central FD Station 34","FIRE PROTECTION","CENTRAL VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","15341 E BEAVER DR","PRIDE","LOUISIANA","70770",,,"32277"
"POINT (-91.029391911685 30.45801741385)","255","Lafitte Street Park","BREC PARK","BREC","BREC","400 LAFITTE DR","BATON ROUGE","LOUISIANA","70819","225-272-9200","http://www.brec.org/index.cfm/park/LafitteStreet","78919"
"POINT (-91.152816023121 30.523343493724)","130","Emergency Medical Services HQ and EMS Station 5","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","3801 HARDING BLVD","BATON ROUGE","LOUISIANA","70807","225-389-5155",,"166620"
"POINT (-91.134818245192 30.452983108459)","56","Fairfax Park","BREC PARK","BREC","BREC","5300 S AFTON PKWY","BATON ROUGE","LOUISIANA","70806","225-272-9200","http://www.brec.org/index.cfm/park/Fairfax","143471"
"POINT (-91.070326503777 30.408903106384)","452","LA Clerk of Courts Retirement System","STATE OFFICES","STATE OF LOUISIANA","STATE","10202 JEFFERSON HWY","BATON ROUGE","LOUISIANA","70809",,,"1421"
"POINT (-91.18899016327 30.452870661186)","298","LaSalle Building","STATE OFFICES","STATE OF LOUISIANA","STATE","617 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"139120"
"POINT (-91.142848845165 30.59921521071)","193","Tristian Avenue Park","BREC PARK","BREC","BREC","5209 TRISTIAN AVE","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/TristianAvenue","161243"
"POINT (-91.058541779458 30.388180874205)","456","EBRSO Property Crimes Complex","PUBLIC SAFETY","EBR SHERIFFS OFFICE","CITY/PARISH","11130 INDUSTRIPLEX BLVD","BATON ROUGE","LOUISIANA","70809",,,"9204"
"POINT (-91.004711881942 30.520954490324)","265","Droze Road Park","BREC PARK","BREC","BREC","7700 DROZE RD","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/DrozeRoad","113029"
"POINT (-91.163355411579 30.535803522417)","363","Building Maintenance For Parish Prison","PUBLIC WORKS","DEPARTMENT OF BUILDINGS AND GROUNDS","CITY/PARISH","2859 LIEUTENANT GENERAL BENJAMIN DAVIS, JR. AVE","BATON ROUGE","LOUISIANA","70807",,,"163709"
"POINT (-91.173225098357 30.461415993643)","455","LADOTD Bridge Maintenance Unit","STATE OFFICES","STATE OF LOUISIANA","STATE","1375 N 17TH ST","BATON ROUGE","LOUISIANA","70802",,,"143484"
"POINT (-90.991217559184 30.356683039188)","123","St George FD Station 64","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","17575 HOO SHOO TOO RD","BATON ROUGE","LOUISIANA","70817",,,"138987"
"POINT (-91.15777357163 30.490815607957)","139","Human Development and Services","MUNICIPAL OFFICES","HUMAN DEVELOPMENT AND SERVICES","CITY/PARISH","4523 PLANK RD","BATON ROUGE","LOUISIANA","70805",,,"139434"
"POINT (-91.187900174299 30.445021476534)","96","River Center Performing Arts Theater","SPECIAL FACILITY",,"CITY/PARISH","240 SAINT LOUIS ST","BATON ROUGE","LOUISIANA","70802",,,"53004"
"POINT (-91.004423165388 30.517987491113)","315","Central FD Station 33","FIRE PROTECTION","CENTRAL VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","7019 DONNYBROOK AVE","GREENWELL SPRINGS","LOUISIANA","70739",,,"202916"
"POINT (-91.098726841873 30.421403768836)","448","Public Safety Retirement Systems","STATE OFFICES","STATE OF LOUISIANA","STATE","3100 BRENTWOOD DR","BATON ROUGE","LOUISIANA","70809",,,"143096"
"POINT (-91.118033380037 30.396094381525)","49","Perkins Road Community Park and Olympia Field","BREC PARK","BREC","BREC","7122 PERKINS RD","BATON ROUGE","LOUISIANA","70808","225-766-5209","http://www.brec.org/index.cfm/park/PerkinsRoadCommunityPark","108627"
"POINT (-91.157004602359 30.496914923569)","82","EBRP Library Delmont Gardens Branch","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","3351 LORRAINE ST","BATON ROUGE","LOUISIANA","70805","225-354-7080",,"136619"
"POINT (-91.136436679017 30.507973934738)","417","LSU Health System North BR Clinic","HEALTH CARE","STATE OF LOUISIANA","STATE","5439 AIRLINE HWY","BATON ROUGE","LOUISIANA","70811",,,"147793"
"POINT (-91.118393824532 30.54395606849)","190","James Watson Park","BREC PARK","BREC","BREC","10555 FOSTER RD","BATON ROUGE","LOUISIANA","70811","225-272-9200","http://www.brec.org/index.cfm/park/JamesWatson","6979"
"POINT (-91.058219614804 30.414447460858)","111","BRFD Station 19","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","11010 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,,"8280"
"POINT (-91.068422109544 30.37140011882)","203","Meadow Park","BREC PARK","BREC","BREC","6951 MEADOW PARK AVE","BATON ROUGE","LOUISIANA","70810","225-272-9200","http://www.brec.org/index.cfm/park/Meadow","116991"
"POINT (-91.110366879387 30.37612749987)","53","Mayfair Park","BREC PARK","BREC","BREC","650 S SABINE DR","BATON ROUGE","LOUISIANA","70810","225-767-0710","http://www.brec.org/index.cfm/park/Mayfair","104303"
"POINT (-91.175953634197 30.431004737817)","230","Leo S. Butler Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","950 E WASHINGTON ST","BATON ROUGE","LOUISIANA","70802",,"http://www.ebrcoa.org/","126114"
"POINT (-91.189346329487 30.455525173654)","294","Pentagon Barracks","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","959 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"139118"
"POINT (-91.124390771822 30.346352453783)","46","Ben Burge Park","BREC PARK","BREC","BREC","9350 ANTIGUA DR","BATON ROUGE","LOUISIANA","70810","225-766-8616","http://www.brec.org/index.cfm/park/BenBurge","124680"
"POINT (-91.0401802579 30.492840992889)","378","Sugarland Park","BREC PARK","BREC","BREC","4700 SUGAR LAND DR","BATON ROUGE","LOUISIANA","70814","225-272-9200","http://www.brec.org/index.cfm/park/Sugarland","85943"
"POINT (-91.172442467983 30.458768799835)","33","Memorial Sports Complex","BREC PARK","BREC","BREC","1702 FOSS ST","BATON ROUGE","LOUISIANA","70802","225-273-6400","http://www.brec.org/index.cfm/park/MemorialStadium","40007"
"POINT (-91.129283040723 30.517508040425)","368","Zion Terrace","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","5958 CADILLAC ST","BATON ROUGE","LOUISIANA","70811",,,"142294"
"POINT (-91.022144175665 30.365343951288)","95","EBRSO Kleinpeter Substation","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","14431 AIRLINE HWY","BATON ROUGE","LOUISIANA","70817","225-389-5114",,"28174"
"POINT (-90.981072545226 30.473485455395)","259","Frenchtown Road Conservation Area","BREC PARK","BREC","BREC","17819 FRENCHTOWN RD","GREENWELL SPRINGS","LOUISIANA","70739","225-272-9200","http://www.brec.org/index.cfm/park/FrenchtownRoadConservationArea","44188"
"POINT (-91.033131745239 30.399438786793)","243","Cedar Ridge Avenue Park","BREC PARK","BREC","BREC","13300 CEDAR RIDGE AVE","BATON ROUGE","LOUISIANA","70817","225-751-2563","http://brec.org/index.cfm/park/CedarRidge","22342"
"POINT (-91.133679836813 30.480913076367)","61","Howell Community Park","BREC PARK","BREC","BREC","5509 WINBOURNE AVE","BATON ROUGE","LOUISIANA","70805","225-357-7906","http://brec.org/index.cfm/park/HowellCommunityPark","94357"
"POINT (-91.170528308554 30.454341476576)","373","North 18th Street Park","BREC PARK","BREC","BREC","1801 GAYOSA ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/North18thStreet","44779"
"POINT (-91.147019050143 30.462933589262)","180","Gus Young Park","BREC PARK","BREC","BREC","4201 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802","225-926-5848","http://brec.org/index.cfm/park/GusYoung","81109"
"POINT (-91.128599691889 30.398848820612)","213","Department of Wildlife and Fisheries","STATE OFFICES","STATE OF LOUISIANA","STATE","2000 QUAIL DR","BATON ROUGE","LOUISIANA","70808",,,"51055"
"POINT (-91.187877810385 30.446095406515)","125","City Hall","MUNICIPAL OFFICES",,"CITY/PARISH","222 SAINT LOUIS ST","BATON ROUGE","LOUISIANA","70802",,,"55737"
"POINT (-91.123970404098 30.585806592689)","285","Brown Heights Park","BREC PARK","BREC","BREC","15206 PLANK RD","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/BrownHeights","143687"
"POINT (-91.164959416556 30.589346069909)","389","Baker Police Headquarters","POLICE PROTECTION","BAKER POLICE DEPARTMENT","BAKER","1320 ALABAMA AVE","BAKER","LOUISIANA","70714","225-775-6000","https://cityofbakerla.com/wp/police-department/","144556"
"POINT (-91.095144554689 30.413598155901)","428","Secretary of State","STATE OFFICES","STATE OF LOUISIANA","STATE","8585 ARCHIVES AVE","BATON ROUGE","LOUISIANA","70809",,,"147833"
"POINT (-91.161537992449 30.591790655894)","282","Jefferson Street Park","BREC PARK","BREC","BREC","3503 JEFFERSON ST","BAKER","LOUISIANA","70714","225-272-9200","http://www.brec.org/index.cfm/park/JeffersonStreet","161240"
"POINT (-91.125730052251 30.452492218657)","279","Milton J. Womack Park","BREC PARK","BREC","BREC","6201 FLORIDA BLVD","BATON ROUGE","LOUISIANA","70806","225-272-9200","http://www.brec.org/index.cfm/park/MiltonJWomack","137715"
"POINT (-91.184912774834 30.450642431622)","431","LA Lottery Corporation","STATE OFFICES","STATE OF LOUISIANA","STATE","555 LAUREL ST","BATON ROUGE","LOUISIANA","70801",,,"94976"
"POINT (-91.19162822832 30.420803046718)","335","Roosevelt Terrace","PUBLIC HOUSING","EBRP HOUSING AUTHORITY","CITY/PARISH","1255 W ROOSEVELT ST","BATON ROUGE","LOUISIANA","70802",,,"19090"
"POINT (-91.172333284387 30.574718312532)","416","National Guard Baker Armory","MILITARY","STATE OF LOUISIANA","STATE","2900 S MAGNOLIA DR","BAKER","LOUISIANA","70714",,,"175949"
"POINT (-91.107048544056 30.443843189552)","314","EBRP Main Library","LIBRARY","EBR PARISH LIBRARY","CITY/PARISH","7711 GOODWOOD BLVD","BATON ROUGE","LOUISIANA","70806","225-231-3750",,"113073"
"POINT (-91.03091083602 30.684573455797)","147","EBRSO Pride-Chaneyville Substation","POLICE PROTECTION","EBR SHERIFFS OFFICE","CITY/PARISH","12828 JACKSON RD","ZACHARY","LOUISIANA","70791","225-389-8985",,"20573"
"POINT (-91.150905859588 30.658644558217)","198","Avenue F Park","BREC PARK","BREC","BREC","4790 AVENUE F","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/AvenueF","161235"
"POINT (-91.021072064211 30.545120011971)","262","Kolby Park","BREC PARK","BREC","BREC","10620 CENTRAL PINE DR","CENTRAL","LOUISIANA","70818","225-272-9200","http://www.brec.org/index.cfm/park/Kolby","150839"
"POINT (-91.148389308314 30.461735527943)","233","Pearl George Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","4142 GUS YOUNG AVE","BATON ROUGE","LOUISIANA","70802",,"http://www.ebrcoa.org/","134594"
"POINT (-91.062874933635 30.539509818786)","179","Central Community Sports Park","BREC PARK","BREC","BREC","10501 LOVETT RD","CENTRAL","LOUISIANA","70818","225-272-9200","http://www.brec.org/index.cfm/park/CentralSportsPark","9851"
"POINT (-91.117951755261 30.478364547878)","437","Creative Head Start","HEAD START","HEAD START","CITY/PARISH","3165 VICTORIA DR","BATON ROUGE","LOUISIANA","70805",,,"142077"
"POINT (-91.121390559713 30.502601429344)","65","Rio Drive Park","BREC PARK","BREC","BREC","6900 RIO DR","BATON ROUGE","LOUISIANA","70812","225-272-9200","http://www.brec.org/index.cfm/park/RioDrive","107141"
"POINT (-91.024420546491 30.452119263481)","391","EMS Station 12","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","14523 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70819","225-389-5155",,"138964"
"POINT (-91.189125920466 30.456811963435)","292","Louisiana State Capitol Annex","SPECIAL FACILITY","STATE OF LOUISIANA","STATE","1051 N 3RD ST","BATON ROUGE","LOUISIANA","70802",,,"4489"
"POINT (-91.058261790626 30.41432170624)","412","EBR Registrar of Voters Coursey Branch","MUNICIPAL OFFICES","REGISTRAR OF VOTERS","CITY/PARISH","11010 COURSEY BLVD","BATON ROUGE","LOUISIANA","70816",,,"8280"
"POINT (-91.155845079691 30.659861141778)","186","Rollins Road Park","BREC PARK","BREC","BREC","5794 ROLLINS RD","ZACHARY","LOUISIANA","70791","225-272-9200","http://www.brec.org/index.cfm/park/RollinsRoad","161234"
"POINT (-91.168998316316 30.460735031635)","35","Goldsby Field Park","BREC PARK","BREC","BREC","1502 FOSS ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/GoldsbyField","30497"
"POINT (-91.068838183186 30.447413899459)","107","BRFD Station 13","FIRE PROTECTION","BATON ROUGE FIRE DEPARTMENT","CITY/PARISH","835 SHARP RD","BATON ROUGE","LOUISIANA","70815",,,"117359"
"POINT (-91.189197307206 30.444238377648)","127","Raising Cane's River Center","SPECIAL FACILITY",,"CITY/PARISH","275 S RIVER RD","BATON ROUGE","LOUISIANA","70802",,,"63902"
"POINT (-91.177542223061 30.423485740333)","19","Corporate Parkway","BREC PARK","BREC","BREC","333 E GRANT ST","BATON ROUGE","LOUISIANA","70802","225-272-9200","http://www.brec.org/index.cfm/park/CorporateParkway","71550"
"POINT (-91.018358548782 30.384512489837)","178","Baringer Road Park","BREC PARK","BREC","BREC","7401 BARINGER RD","BATON ROUGE","LOUISIANA","70817","225-751-3733","http://www.brec.org/index.cfm/park/baringer","110814"
"POINT (-91.143576032122 30.646790101637)","163","EMS Station 8","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","5650 CARPENTER RD","ZACHARY","LOUISIANA","70791","225-389-5155",,"197655"
"POINT (-91.130403696609 30.575362796601)","118","Baker FD Station 22","FIRE PROTECTION","BAKER FIRE DEPARTMENT","BAKER","6252 LAVEY LN","BAKER","LOUISIANA","70714",,,"175509"
"POINT (-91.183712849412 30.448761429454)","22","Convention Street Park","BREC PARK","BREC","BREC","717 CONVENTION ST","BATON ROUGE","LOUISIANA","70801","225-272-9200","http://www.brec.org/index.cfm/park/ConventionStreet","109085"
"POINT (-91.203249880188 30.533939502634)","148","North Wastewater Treatment Facility","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","50 WOODPECKER ST","BATON ROUGE","LOUISIANA","70807",,,"88389"
"POINT (-91.091506256749 30.445296019668)","401","BRPD CIB Annex","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","9000 AIRLINE HWY","BATON ROUGE","LOUISIANA","70815",,,"139586"
"POINT (-91.068290439396 30.365611090529)","320","St George FD Station 61","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","13686 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,,"24614"
"POINT (-91.179858081881 30.426097383121)","99","BRPD District 2 Station","POLICE PROTECTION","BATON ROUGE POLICE DEPARTMENT","CITY/PARISH","2265 HIGHLAND RD","BATON ROUGE","LOUISIANA","70802","225-389-3863","http://brgov.com/","56915"
"POINT (-91.108077205092 30.368194929805)","277","Bluebonnet Swamp Nature Center","BREC PARK","BREC","BREC","10503 N OAK HILLS PKWY","BATON ROUGE","LOUISIANA","70810","225-757-8905","http://brec.org/index.cfm/park/BluebonnetSwamp","4436"
"POINT (-91.032302487423 30.381399935263)","241","Pinehurst Park","BREC PARK","BREC","BREC","13888 PINEHURST AVE","BATON ROUGE","LOUISIANA","70817","225-272-9200","http://www.brec.org/index.cfm/park-map/pinehurst","130311"
"POINT (-91.040396188847 30.55394149834)","222","Central City Hall","MUNICIPAL OFFICES","CITY OF CENTRAL","CENTRAL","13421 HOOPER RD, STE 9","CENTRAL","LOUISIANA","70818",,,"201800"
"POINT (-91.042058095846 30.438541407382)","252","Jones Creek Park","BREC PARK","BREC","BREC","12300 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816","225-272-9200","http://www.brec.org/index.cfm/park/JonesCreek","142786"
"POINT (-91.103566299678 30.446567178563)","415","DPS Data Processing Center","STATE OFFICES","STATE OF LOUISIANA","STATE","8001 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806",,,"133313"
"POINT (-91.027050459191 30.685152577649)","388","Chaneyville VFD Station 40","FIRE PROTECTION","CHANEYVILLE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","22790 REAMES RD","ZACHARY","LOUISIANA","70791",,,"57157"
"POINT (-91.039144081153 30.469263847809)","253","Duchess Drive Park","BREC PARK","BREC","BREC","1701 DUCHESS DR","BATON ROUGE","LOUISIANA","70815","225-272-9200","http://www.brec.org/index.cfm/park/DuchessDrive","39959"
"POINT (-91.158429710959 30.492337874379)","168","EMS Station 15-10","EMS","EMERGENCY MEDICAL SERVICES","CITY/PARISH","3142 EVANGELINE ST","BATON ROUGE","LOUISIANA","70805","225-389-5155",,"69269"
"POINT (-91.091907554308 30.467633290361)","346","Cortana Place Park","BREC PARK","BREC","BREC","1901 CORTANA PL","BATON ROUGE","LOUISIANA","70815","225-272-9200","http://www.brec.org/index.cfm/park/map/42","124041"
"POINT (-91.165245483579 30.537185481932)","70","Animal Control Center","MUNICIPAL OFFICES",,"CITY/PARISH","2680 PROGRESS RD","BATON ROUGE","LOUISIANA","70807",,,"62957"
"POINT (-91.116661775815 30.474598523341)","454","DPS&C Probation and Parole District Office","STATE OFFICES","STATE OF LOUISIANA","STATE","2751 WOODDALE BLVD","BATON ROUGE","LOUISIANA","70805",,,"63939"
"POINT (-91.178902358885 30.414488686075)","466","Louisiana State University","UNIVERSITY","STATE OF LOUISIANA","STATE","3810 W LAKESHORE DR","BATON ROUGE","LOUISIANA","70808",,,"76829"
"POINT (-90.979981433934 30.693179808019)","514","US Post Office - Pride","POSTAL","US POSTAL SERVICE","FEDERAL","16524 PORT HUDSON-PRIDE RD","PRIDE","LOUISIANA","70770",,,"38061"
"POINT (-91.094025719737 30.376815480953)","507","US Post Office - Commerce Park","POSTAL","US POSTAL SERVICE","FEDERAL","10380 PERKINS RD","BATON ROUGE","LOUISIANA","70810",,,"3467"
"POINT (-90.993412932069 30.573048577911)","512","US Post Office - Greenwell Springs","POSTAL","US POSTAL SERVICE","FEDERAL","22801 GREENWELL SPRINGS RD","GREENWELL SPRINGS","LOUISIANA","70739",,,"202245"
"POINT (-91.242742637245 30.609130477115)","475","Irene Road Facility","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","801 W IRENE RD","ZACHARY","LOUISIANA","70791",,,"144838"
"POINT (-91.146140592931 30.421853126788)","457","Business Operations Warehouse","PUBLIC WORKS","OFFICE OF BUSINESS OPERATIONS","CITY/PARISH","2931 VALLEY ST","BATON ROUGE","LOUISIANA","70808",,,"66101"
"POINT (-91.104992149344 30.472715473376)","477","Wastewater Engineering and Technology","PUBLIC WORKS","DEPARTMENT OF ENVIRONMENTAL SERVICES","CITY/PARISH","8080 PARIS AVE","BATON ROUGE","LOUISIANA","70814",,,"174884"
"POINT (-91.143860464459 30.444108719643)","501","US Post Office - Audubon","POSTAL","US POSTAL SERVICE","FEDERAL","4500 GOVERNMENT ST","BATON ROUGE","LOUISIANA","70806",,,"84117"
"POINT (-91.139640111211 30.421043993968)","502","US Post Office - Southeast","POSTAL","US POSTAL SERVICE","FEDERAL","4535 BENNINGTON AVE","BATON ROUGE","LOUISIANA","70808",,,"84471"
"POINT (-91.076420658026 30.454357420842)","504","US Post Office - Broadview","POSTAL","US POSTAL SERVICE","FEDERAL","235 MARILYN DR","BATON ROUGE","LOUISIANA","70815",,,"58588"
"POINT (-91.156357339676 30.518441794052)","518","North Baton Rouge Behavioral Health","HEALTH CARE","CAPITAL AREA HUMAN SERVICES DISTRICT","STATE","7855 HOWELL BLVD","BATON ROUGE","LOUISIANA","70807","225-359-9315","http://www.cahsd.org","114054"
"POINT (-91.106879869943 30.408399044565)","495","LSU Burden Research Center","UNIVERSITY","STATE OF LOUISIANA","STATE","276 CONFERENCE CENTER LN","BATON ROUGE","LOUISIANA","70809",,,"232972"
"POINT (-91.026605026689 30.365766669595)","515","St George FD HQ","FIRE PROTECTION","ST GEORGE VOLUNTEER FIRE DEPARTMENT","CITY/PARISH","14100 AIRLINE HWY","BATON ROUGE","LOUISIANA","70809",,,"26272"
"POINT (-91.140233249153 30.447236811437)","486","Department of Veterans Affairs Outpatient Clinic","HEALTH CARE","US FEDERAL GOVERNMENT","FEDERAL","216 S FOSTER DR","BATON ROUGE","LOUISIANA","70806",,,"54694"
"POINT (-91.183032016294 30.449700501653)","483","Federal Building","COURTHOUSE","US FEDERAL GOVERNMENT","FEDERAL","707 FLORIDA ST","BATON ROUGE","LOUISIANA","70801",,,"108330"
"POINT (-91.169548281933 30.450200425933)","473","Baton Rouge Area Drug and Alcohol Center","HEALTH CARE",,"CITY/PARISH","1819 FLORIDA ST","BATON ROUGE","LOUISIANA","70802",,,"139124"
"POINT (-91.169819835674 30.586481799024)","510","US Post Office - Baker","POSTAL","US POSTAL SERVICE","FEDERAL","3009 RAY WEILAND DR","BAKER","LOUISIANA","70714",,,"188997"
"POINT (-91.136973718477 30.448683986744)","468","Baton Rouge Community College","UNIVERSITY","STATE OF LOUISIANA","STATE","201 COMMUNITY COLLEGE DR","BATON ROUGE","LOUISIANA","70806",,,"153378"
"POINT (-91.097702409452 30.375842776936)","508","US Post Office - General Mail Facility","POSTAL","US POSTAL SERVICE","FEDERAL","8101 BLUEBONNET BLVD","BATON ROUGE","LOUISIANA","70810",,,"115395"
"POINT (-91.001190348719 30.393719975947)","460","Antioch Rd Park Senior Center","SENIOR CENTER","COUNCIL ON AGING","CITY/PARISH","6229 ANTIOCH BLVD","BATON ROUGE","LOUISIANA","70817",,"http://www.ebrcoa.org/","101720"
"POINT (-91.182273593922 30.450037909805)","484","Russell B. Long Federal Building and Courthouse","COURTHOUSE","US FEDERAL GOVERNMENT","FEDERAL","777 FLORIDA ST","BATON ROUGE","LOUISIANA","70801",,,"140405"
"POINT (-91.167001526162 30.591594235117)","481","Baker Heritage Museum","SPECIAL FACILITY","CITY OF BAKER","BAKER","1606 MAIN ST","BAKER","LOUISIANA","70714",,,"189947"
"POINT (-91.030483296423 30.514566408953)","482","Central Municipal Services Center","MUNICIPAL OFFICES","CITY OF CENTRAL","CENTRAL","6703 SULLIVAN RD","GREENWELL SPRINGS","LOUISIANA","70739",,,"202761"
"POINT (-91.140348961032 30.650197489978)","513","US Post Office - Zachary","POSTAL","US POSTAL SERVICE","FEDERAL","6001 MAIN ST","ZACHARY","LOUISIANA","70791",,,"198717"
"POINT (-91.102618451034 30.402262157214)","471","Southeastern La. Univ. School Of Nursing","UNIVERSITY","STATE OF LOUISIANA","STATE","7900 MARGARET ANN AVE","BATON ROUGE","LOUISIANA","70809",,,"87347"
"POINT (-91.171731711987 30.369232234729)","492","LSU Central Agriculture Research Station","UNIVERSITY","STATE OF LOUISIANA","STATE","2310 BEN HUR RD","BATON ROUGE","LOUISIANA","70820",,,"135025"
"POINT (-91.189932857032 30.453435908167)","490","Capitol Complex Central Plant South","STATE OFFICES","STATE OF LOUISIANA","STATE","602 N RIVER RD","BATON ROUGE","LOUISIANA","70802",,,"142438"
"POINT (-91.155413252766 30.477320150152)","470","Baton Rouge Community College - Acadian Campus","UNIVERSITY","STATE OF LOUISIANA","STATE","3250 N ACADIAN THWY","BATON ROUGE","LOUISIANA","70805",,,"70772"
"POINT (-91.165385454216 30.449531934833)","474","Capital Area Transit System Transfer Terminal","SPECIAL FACILITY","CAPITAL AREA TRANSIT SYSTEM","CITY/PARISH","2222 FLORIDA ST","BATON ROUGE","LOUISIANA","70802",,,"154917"
"POINT (-91.168779094802 30.44834869325)","494","DCFS Office of Economic Stability","STATE OFFICES","STATE OF LOUISIANA","STATE","1919 NORTH BLVD","BATON ROUGE","LOUISIANA","70806",,,"48885"
"POINT (-91.185147766883 30.437641048401)","469","Baton Rouge Community College - Frazier Campus","UNIVERSITY","STATE OF LOUISIANA","STATE","555 JULIA ST","BATON ROUGE","LOUISIANA","70802",,,"94974"
"POINT (-91.106682327615 30.447953349606)","517","LSP Training Academy","PUBLIC SAFETY","STATE OF LOUISIANA","STATE","7901 INDEPENDENCE BLVD","BATON ROUGE","LOUISIANA","70806",,,"133308"
"POINT (-91.182539598627 30.449319756516)","500","US Post Office - BR Main","POSTAL","US POSTAL SERVICE","FEDERAL","750 FLORIDA ST","BATON ROUGE","LOUISIANA","70801",,,"111572"
"POINT (-91.063070757213 30.434900260424)","506","US Post Office - Old Hammond","POSTAL","US POSTAL SERVICE","FEDERAL","10936 OLD HAMMOND HWY","BATON ROUGE","LOUISIANA","70816",,,"142299"
"POINT (-91.106477516292 30.395025856889)","487","Department of Veterans Affairs Clinic","HEALTH CARE","US FEDERAL GOVERNMENT","FEDERAL","7850 ANSELMO LN","BATON ROUGE","LOUISIANA","70810",,,"114027"
