"casenumber","occurredfromdate","occurredthroughdate","reporteddate","disposition","dispositiondate","index_crime_category","statute","statutedescription","crimecode","crimecodedescription","nciccode","nciccodedescription","domestic","streetaddress","city","zip","location_point","patrol_division"
"2021-00084479","2021-05-14T12:05:00.000","2021-05-17T12:05:00.000","2021-05-18T12:09:59.000","Open","2021-05-18T00:00:00.000","Crimes Against Property","18-4-401(2)(e) M1 (01) 1","Theft - $750 to $1999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)",,"11900 ARTFUL WAY","COLORADO SPRINGS","80921",,
"2021-00006186","2021-02-08T09:50:00.000","2021-02-08T09:59:00.000","2021-02-08T10:00:04.000","Cleared by Arrest","2021-02-08T10:00:04.000","Crimes Against Society","18-18-428(1) DPO","Possession of Drug Paraphernalia","35B","Drug Equipment Violations","3550","Narcotic Equipment - Possess","No","1500 N NEWPORT RD","COLORADO SPRINGS","80916","POINT (-104.728371 38.809074)","Sand Creek"
"2022-00032100","2022-06-11T21:00:00.000","2022-06-11T23:59:00.000","2022-08-25T19:45:01.000","Open","2022-08-25T00:00:00.000","Crimes Against Society","18-3-405(2)(d) F3","Sexual Assault on a Child - Sexual Contact Offender 4 Years Older - Pattern of Abuse","90Z","All Other Offenses","3699","Sex Offense (Describe Offense)","No",,,,,
"2020-00031577","2020-09-10T17:30:00.000","2020-09-11T06:30:00.000","2020-09-11T06:44:31.000","Open","2020-09-11T06:44:31.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No",,"COLORADO SPRINGS",,,
"2021-00023142","2021-06-21T16:00:00.000","2021-06-22T06:00:00.000","2021-06-22T11:24:49.000","Open","2021-06-22T00:00:00.000","Crimes Against Property","18-4-409(4) F5","Aggravated MVT - 2nd Degree - Over $20,000","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS",,,
"2021-00010914","2021-03-17T13:06:00.000","2021-03-17T13:45:00.000","2021-03-17T13:06:26.000","Cleared by Arrest","2021-03-17T13:06:26.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","PARKSIDE & PRINTERS","COLORADO SPRINGS","80910","POINT (-104.7872956 38.828841774)","Sand Creek"
"2022-00012172","2019-08-01T00:00:00.000","2020-09-30T23:59:00.000","2022-03-28T23:03:57.000","Open","2022-03-29T00:00:00.000","Crimes Against Persons","18-3-405.3(2)(a) F3 (1)","Sexual Assault on a Child - Position of Trust, Victim under 15 - Forcible Fondling","11D","Forcible Fondling","3601","Sex Offense - Against Child-Fondling","No",,,,,
"2019-00043785","2019-11-16T00:00:00.000","2019-11-17T00:00:00.000","2019-11-22T16:17:30.000","Open","2020-05-01T00:00:00.000","Crimes Against Persons","18-3-203(1)(i) F4","2nd Degree Assault -strangulation causing BI","13A","Aggravated Assault","1306","Aggravated Assault-Nonfamily-Strong Arm","No",,,,,"Sand Creek"
"2019-00036816","2019-09-29T18:30:00.000","2019-09-30T06:30:00.000","2019-10-02T16:03:40.000","Cleared by Arrest","2019-10-03T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","5300 PALOMINO RANCH PT","COLORADO SPRINGS","80922","POINT (-104.714002 38.907659)","Stetson Hills"
"2022-00002760","2022-01-14T23:00:00.000","2022-01-14T23:55:00.000","2022-01-14T23:58:39.000","Open","2022-01-15T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","100 W CHEYENNE RD","COLORADO SPRINGS","80906","POINT (-104.828942 38.806526)","Gold Hill"
"2020-00009015","2020-02-07T00:00:00.000","2020-02-07T23:59:00.000","2020-03-02T11:07:14.000","Open","2020-03-02T11:07:14.000","Crimes Against Property","18-6.5-103(5.5) F4","Crimes Against At Risk Elder (Age 70+) - Theft from the Person No Force/Threat/Intimidation","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","1600 S 21ST ST","COLORADO SPRINGS","80905","POINT (-104.859182 38.830494)","Gold Hill"
"2021-00029146","2021-08-06T04:35:00.000","2021-08-06T04:46:00.000","2021-08-06T04:35:52.000","Cleared by Arrest","2021-08-06T00:00:00.000","Crimes Against Society","18-18-405(2)(c)(I) DF3","Unlawful Distribution/Dispense/Sale 14 g or less-Schedule I or II","35A","Drug/Narcotic Violations","3572","Amphetemine - Possess","No",,"COLORADO SPRINGS",,,
"2021-00027773","2021-07-27T03:00:00.000","2021-07-27T04:00:00.000","2021-07-27T03:54:34.000","Warrant","2021-07-27T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","Yes",,,,,
"2022-00030440","2022-08-12T21:00:00.000","2022-08-13T11:00:00.000","2022-08-13T13:41:19.000","Open","2022-08-13T00:00:00.000","Crimes Against Property","18-4-409(4)  F6","Agg MVT - 2nd Degree - $2K or more but < $20K","240","Motor Vehicle Theft","2404","Vehicle Theft","No","4400 CROW CREEK DR","COLORADO SPRINGS","80922","POINT (-104.69428 38.895139)","Stetson Hills"
"2021-00084708","2021-05-31T00:30:00.000","2021-05-31T00:40:00.000","2021-06-01T13:35:08.000","Open","2021-06-01T00:00:00.000","Crimes Against Property","18-4-401(2)(g) F5 (06)","Theft - $5000 to $19999, Parts from Vehicle","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"7100 COMPASS BEND DR","COLORADO SPRINGS","80927",,
"2021-00033744","2021-08-23T12:00:00.000","2021-09-08T12:00:00.000","2021-09-08T18:57:01.000","Cleared by Arrest","2021-09-09T00:00:00.000","Crimes Against Persons","18-3-602(1)(c) F5","Stalking - Repeatedly Follows AND Communication Causes Emotional Distress","13C","Intimidation","1316","Intimidation (Includes Stalking)","No","7300 THORN BRUSH WAY","COLORADO SPRINGS","80923","POINT (-104.693369 38.935024)","Stetson Hills"
"2020-00085156","2020-12-19T19:00:00.000","2020-12-19T21:05:00.000","2020-12-19T21:23:18.000","Open","2020-12-19T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"1600 CHAPEL HILLS DR","COLORADO SPRINGS","80920",,
"2022-00020299","2022-05-29T14:00:00.000","2022-05-29T16:00:00.000","2022-05-29T16:01:36.000","Unfounded","2022-05-29T00:00:00.000","Crimes Against Property","18-4-401(2)(e)  M1 (02)","Theft - Value $1K or more but < $2K, From Building","23D","Theft From Building","2308","Larceny-From Building","Yes","2700 N NEVADA AVE","COLORADO SPRINGS","80907","POINT (-104.81986 38.87075)","Falcon"
"2021-00036940","2021-09-30T20:00:00.000","2021-10-01T12:00:00.000","2021-10-01T12:56:02.000","Open","2021-10-01T00:00:00.000","Crimes Against Property","18-4-401(2)(g) F5 (01)","Theft - $5000 to $19999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No",,"COLORADO SPRINGS",,,
"2020-00018053","2020-05-19T17:30:00.000","2020-05-20T10:00:00.000","2020-05-20T12:25:41.000","Open","2020-05-20T12:25:41.000","Crimes Against Society","18-4-503(1)(a) M3","2nd Degree Criminal Trespass - Enclosed/Fenced Area","90J","Trespass of Real Property","5707","Trespassing (describe offense)","No","3800 AIRPORT RD","COLORADO SPRINGS","80910","POINT (-104.757365 38.8254)","Sand Creek"
"2021-00016513","2021-04-29T22:40:00.000","2021-04-30T22:40:00.000","2021-04-29T22:40:58.000","Cleared by Arrest","2021-04-30T00:00:00.000","Crimes Against Society","18-2-101 (1) F","Criminal Attempt - Felony","90Z","All Other Offenses","7399","Public Order Crimes","Yes","3800 STRAWBERRY FIELD GRV","COLORADO SPRINGS","80906","POINT (-104.806508 38.777398)","Gold Hill"
"2021-00011300","2021-03-20T04:11:00.000","2021-03-20T04:48:00.000","2021-03-20T11:13:29.000","Open","2021-03-20T11:13:29.000","Crimes Against Society","18-4-503(1)(a) M3","2nd Degree Criminal Trespass - Enclosed/Fenced Area","90J","Trespass of Real Property","5707","Trespassing (describe offense)","No","1300 KELLY JOHNSON BLVD","COLORADO SPRINGS","80920","POINT (-104.806492 38.945406)","Falcon"
"2022-00009816","2022-02-17T12:30:00.000","2022-02-17T12:30:00.000","2022-03-10T10:24:01.000","Cleared by Arrest","2022-03-14T00:00:00.000","Crimes Against Society","8.4.106","PENALTIES, FIRE CODE","90Z","All Other Offenses","7399","Public Order Crimes","No",,"COLORADO SPRINGS",,,
"2022-00024338","2022-06-30T03:00:00.000","2022-06-30T03:05:00.000","2022-06-30T03:03:17.000","Open","2022-06-30T00:00:00.000","Crimes Against Property","18-4-501(1)  M1 (1)","Criminal Mischief $1K or more but < $2K - Business","290","Destruction/Damage/Vandalism of Property","2901","Damage Property-Business","No","5900 DUBLIN BLVD","COLORADO SPRINGS","80923","POINT (-104.713258 38.925912)","Stetson Hills"
"2021-00025451","2021-07-10T02:34:00.000","2021-07-10T02:34:00.000","2021-07-10T02:34:17.000","Cleared by Arrest","2021-07-10T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"GLENWOOD & SUSSEX","COLORADO SPRINGS","80909","POINT (-104.759547798064 38.8642709824062)","Stetson Hills"
"2022-00026352","2022-07-12T08:45:00.000","2022-07-12T09:30:00.000","2022-07-12T10:44:56.000","Open","2022-07-14T00:00:00.000","Crimes Against Property","18-4-501(1)  F6 (2)","Criminal Mischief $2K or more but < $5K - Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","2200 S CHEYENNE CANYON RD","COLORADO SPRINGS","80906",,
"2020-00044042","2020-12-19T15:38:00.000","2020-12-19T15:38:00.000","2020-12-19T15:39:15.000","Open","2020-12-19T15:39:15.000","Crimes Against Society","42-3-121(1)(d) MT2","Violation of Registration Provisions-Failed to Surrender Title/Registration Card/Number Plate as Required","99","Not Reportable",,,"No","8400 WONDERLAND TRL","COLORADO SPRINGS","80927",,
"2020-00028372","2020-08-16T17:30:00.000","2020-08-16T17:39:00.000","2020-08-16T17:39:51.000","Cleared by Arrest","2020-08-16T17:39:51.000","Crimes Against Society","18-9-111(1)(a) M3","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes","3600 E LA SALLE ST","COLORADO SPRINGS","80909","POINT (-104.761174 38.858283)","Stetson Hills"
"2022-00001256","2021-12-17T16:00:00.000","2021-12-17T16:00:00.000","2022-01-03T10:40:31.000","Open","2022-01-03T00:00:00.000","Crimes Against Property","18-4-203(2)(a) F3 (2)","2nd Degree Burglary - No Forced Entry - Residence","220","Burglary/Breaking & Entering","2204","Burglary-No Forced Entry-Residence","No","7600 SANDY ROCK PT","COLORADO SPRINGS","80924",,
"2022-00001508","2022-01-05T05:21:00.000","2022-01-05T05:28:00.000","2022-01-05T11:43:31.000","Warrant","2022-01-20T00:00:00.000","Crimes Against Society","18-4-205(1) F5 1","Possession of Burglary Tools","90Z","All Other Offenses","2206","Burglary Tools-Possession","No","700 SEEDLING CT","COLORADO SPRINGS","80915",,
"2020-00029773","2020-08-27T13:40:00.000","2020-08-27T13:40:00.000","2020-08-27T13:52:14.000","Cleared by Arrest","2020-08-27T13:52:14.000","Crimes Against Society","18-6-401(1)(7)(b)(I) M2","Child Abuse - Knowingly/Recklessly  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","Yes",,,,,"Stetson Hills"
"2022-00008405","2022-02-27T07:45:00.000","2022-02-27T08:50:00.000","2022-02-27T08:51:49.000","Cleared by Arrest","2022-02-27T00:00:00.000","Crimes Against Society","18-9-111(1)(a),(2) M1","Harassment - Strike, Shove, or Kick - Protected class","90Z","All Other Offenses","5309","Harassing Communication","Yes","2800 ZEPPELIN RD","COLORADO SPRINGS","80916","POINT (-104.725445 38.790854)","Sand Creek"
"2021-00048392","2021-12-26T22:00:00.000","2021-12-27T10:00:00.000","2021-12-27T15:39:13.000","Open","2021-12-27T00:00:00.000","Crimes Against Property","18-4-409(2)(a) F4 REP","Agg MVT 1st Degree-Possession over 24 hours $20,000-$99,999","240","Motor Vehicle Theft","2404","Vehicle Theft","No",,"COLORADO SPRINGS",,,
"2020-00025174","2020-07-20T19:00:00.000","2020-07-21T05:00:00.000","2020-07-21T07:00:40.000","Open","2020-07-21T07:00:40.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","5700 CEDAR CREEK VW","COLORADO SPRINGS","80915","POINT (-104.720706 38.851626)","Stetson Hills"
"2022-00081993","2022-05-03T08:45:00.000","2022-05-03T08:45:00.000","2022-05-03T08:59:10.000","Open","2022-05-03T00:00:00.000","Crimes Against Property","42-5-104(4) M2","Theft of a License Plate","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"6400 MCNICHOLS CT","COLORADO SPRINGS","80918","POINT (-104.780016 38.924991)","Falcon"
"2021-00032712","2021-08-28T19:00:00.000","2021-08-29T06:00:00.000","2021-09-01T10:42:53.000","Warrant","2021-12-07T00:00:00.000","Crimes Against Property","18-4-501(1) M2 (2) REPEAL","Criminal Mischief $300-$749-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","3100 N CASCADE AVE","COLORADO SPRINGS","80907","POINT (-104.822967 38.877201)","Falcon"
"2022-00022629","2022-06-17T09:00:00.000","2022-06-17T09:14:00.000","2022-06-17T09:14:25.000","Open","2022-06-17T00:00:00.000","Crimes Against Society","18-9-111(1)(a) M1","Harassment - Strike, Shove, or Kick","90Z","All Other Offenses","5309","Harassing Communication","Yes",,,,,
"2022-00004561","2022-01-27T23:10:00.000","2022-01-28T01:29:00.000","2022-01-28T11:38:11.000","Unfounded","2022-03-09T00:00:00.000","Crimes Against Society","18-6.5-103(7)(a) F2 (1)","Crimes Against At Risk Adults/Juveniles - Sexual Assault 1st Degree","90Z","All Other Offenses","7099","Crimes Against Person","No",,,,,"Falcon"
"2021-00017477","2021-05-07T04:09:00.000","2021-05-07T04:12:00.000","2021-05-08T09:47:11.000","Open","2021-12-02T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No","6400 TEMPLETON GAP RD","COLORADO SPRINGS","80923","POINT (-104.723173 38.925169)","Stetson Hills"
"2020-00006256","2020-02-09T20:00:00.000","2020-02-10T07:30:00.000","2020-02-10T07:42:11.000","Cleared by Arrest","2020-02-10T07:42:11.000","Crimes Against Society","18-8-104(1) M2","Obstructing a Peace Officer, Firefighter, EMS, K9","90Z","All Other Offenses","4899","Obstruct Police (Describe Offense)","No","1600 GRAND OVERLOOK ST","COLORADO SPRINGS","80910","POINT (-104.792125 38.808833)","Gold Hill"
"2021-00028475","2021-08-01T14:27:00.000","2021-08-01T14:27:00.000","2021-08-01T14:27:34.000","Cleared by Arrest","2021-08-01T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"NORFOLK & AUSTRIAN","COLORADO SPRINGS","80919","POINT (-104.862257000832 38.9320178974518)","Falcon"
"2022-00031296","2022-08-20T04:40:00.000","2022-08-20T04:45:00.000","2022-08-20T04:47:26.000","Open","2022-08-20T00:00:00.000","Crimes Against Society","18-12-107.5(1) F5","Illegal Discharge - Discharges a Firearm into Dwelling/Conveyance/Cccupied Structure","520","Weapons Law Violations","5213","Firing Weapon (specify weapon)","No","300 N UNION BLVD","COLORADO SPRINGS","80909","POINT (-104.794471 38.837271)","Gold Hill"
"2021-00008131","2021-01-25T12:00:00.000","2021-01-25T12:30:00.000","2021-02-22T11:12:20.000","Open","2021-02-23T00:00:00.000","Crimes Against Property","18-4-401(2)(f) F6 (01)","Theft - $2000 to $4999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","2500 HIMALAYA CT","COLORADO SPRINGS","80919","POINT (-104.866224 38.950396)","Falcon"
"2021-00019747","2021-05-20T21:00:00.000","2021-05-20T21:30:00.000","2021-05-26T08:27:57.000","Cleared by Arrest","2021-09-04T00:00:00.000","Crimes Against Property","18-4-401(2)(h) F4 (01)","Theft - $20000 to $99999, Not Otherwise Classified","23H","All Other Larceny","2399","Larceny (Describe Offense)","No","30 OLYMPIAN DR","COLORADO SPRINGS","80905",,
"2021-00022920","2021-06-20T15:20:00.000","2021-06-20T15:40:00.000","2021-06-20T15:40:32.000","Open","2021-06-20T00:00:00.000","Crimes Against Persons","18-3-204(1)(a) M1","3rd Degree Assault - BI to Another - Simple Assault","13B","Simple Assault","1313","Simple Assault","Yes","2400 WOODSIDE LN","COLORADO SPRINGS","80906","POINT (-104.817957 38.796761)","Gold Hill"
"2020-00018690","2020-05-23T17:30:00.000","2020-05-24T12:00:00.000","2020-05-26T08:52:38.000","Open","2020-05-26T08:52:38.000","Crimes Against Property","18-4-401(2)(b) PO1(06)","Theft - Less than $50, Parts from Vehicle","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle","No","4300 MONTEBELLO DR","COLORADO SPRINGS","80918","POINT (-104.758056 38.894229)","Stetson Hills"
"2020-00003356","2020-01-18T23:30:00.000","2020-01-18T23:30:00.000","2020-01-18T23:30:32.000","Cleared by Arrest","2020-01-19T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"NEVADA & EXIT 148A I 25 ON RAMP NB","COLORADO SPRINGS","80918","POINT (-104.816719133471 38.9151517134985)","Falcon"
"2020-00037017","2020-10-25T01:07:00.000","2020-10-25T01:07:00.000","2020-10-25T01:07:42.000","Cleared by Arrest","2020-10-25T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"INDIANPIPE & MEADOWLAND","COLORADO SPRINGS","80918","POINT (-104.766634663 38.891643629)","Stetson Hills"
"2021-00016514","2021-04-29T22:44:00.000","2021-04-29T22:44:00.000","2021-04-29T22:44:27.000","Cleared by Arrest","2021-04-30T00:00:00.000","Crimes Against Society","42-4-1301(1)(a) M(1)","Driving under the influence - alcohol (DUI)","90D","Driving Under the Influence","5404","Driving Under Influence Liquor",,"DOMINION & LEHMAN",,"80918","POINT (-104.789288581729 38.9216785479089)","Falcon"
"2021-00009248","2021-03-03T15:00:00.000","2021-03-03T16:00:00.000","2021-03-03T15:45:36.000","Cleared by Arrest","2021-08-07T00:00:00.000","Crimes Against Persons","18-3-206(1) M3","Menacing Threat/Physical Action/Fear of SBI","13C","Intimidation","1316","Intimidation (Includes Stalking)","No","700 CITADEL DR","COLORADO SPRINGS","80909","POINT (-104.758856 38.841456)","Sand Creek"
"2022-00009371","2022-01-01T00:00:00.000","2022-01-01T00:00:00.000","2022-03-06T17:42:08.000","Open","2022-03-06T00:00:00.000","Crimes Against Persons","18-3-402(1)(a) F4 (03) REP","Sexual Assault Overcome Victim's Will - Strong-Arm","11A","Forcible Rape","1103","Rape-Strong Arm","Yes",,,,,
"2021-00038807","2021-07-04T12:00:00.000","2021-09-23T12:00:00.000","2021-10-14T13:23:56.000","Open","2021-10-14T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","4200 QUARTZITE PL","COLORADO SPRINGS","80938","POINT (-104.679754 38.89376)","Stetson Hills"
"2020-00033995","2020-09-30T10:40:00.000","2020-09-30T14:00:00.000","2020-09-30T17:25:28.000","Open","2020-09-30T17:25:28.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","No","1000 MAZATLAN CIR","COLORADO SPRINGS","80910","POINT (-104.769657 38.818249)","Sand Creek"
"2019-00084568","2019-11-22T03:25:00.000","2019-11-22T09:25:00.000","2019-11-22T15:38:06.000","Open","2019-11-22T00:00:00.000","Crimes Against Property","18-4-401(2)(d) M2 (01)","Theft - $300 to $749, Not Otherwise Classified","23H","All Other Larceny",,,,"3000 MALLARD DR","COLORADO SPRINGS","80910","POINT (-104.772944 38.818201)","Sand Creek"
"2020-00024517","2020-07-15T10:00:00.000","2020-07-15T10:23:00.000","2020-07-15T10:23:26.000","Cleared by Arrest","2021-02-02T00:00:00.000","Crimes Against Property","18-4-501(1) M3(2)","Criminal Mischief under $300-Private","290","Destruction/Damage/Vandalism of Property","2902","Damage Property-Private","Yes","2800 WOODLAND HILLS DR","COLORADO SPRINGS","80918","POINT (-104.775117 38.930573)","Stetson Hills"
"2022-00025124","2022-07-04T08:15:00.000","2022-07-04T10:00:00.000","2022-07-04T17:40:19.000","Open","2022-07-05T00:00:00.000","Crimes Against Property","18-4-502(1)(b) M1","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","2100 S CHEYENNE CANYON RD","COLORADO SPRINGS","80906",,
"2022-00018978","2017-11-01T08:00:00.000","2017-11-01T08:00:00.000","2022-05-19T11:11:11.000","Warrant","2022-05-27T00:00:00.000","Crimes Against Society","18-8-503(1) M2","Perjury in the second degree","90Z","All Other Offenses","5003","Perjury","No",,,,,
"2020-00031721","2020-09-12T11:00:00.000","2020-09-12T12:00:00.000","2020-09-12T12:00:19.000","Cleared by Arrest","2020-09-12T12:00:19.000","Crimes Against Society","18-3-208 M3","Reckless Endangerment Engage in Reckless Conduct/Risk of SBI","90Z","All Other Offenses","7099","Crimes Against Person","No",,"COLORADO SPRINGS",,,
"2022-00030753","2022-08-16T08:00:00.000","2022-08-16T10:00:00.000","2022-08-16T10:25:40.000","Cleared by Arrest","2022-08-16T00:00:00.000","Crimes Against Society","18-9-306.5 M1","Obstruction of Telephone Service - Misdemeanor","90Z","All Other Offenses","7399","Public Order Crimes","Yes","8100 N ACADEMY BLVD","COLORADO SPRINGS","80920","POINT (-104.803733 38.948584)","Falcon"
"2021-00086232","2021-08-23T07:00:00.000","2021-08-23T07:00:00.000","2021-08-26T17:25:24.000","Open","2021-08-26T00:00:00.000","Crimes Against Property","42-5-104(1) M1","Theft of motor vehicle parts - Value less than $1,000","23G","Theft Of Motor Vehicle Parts","2304","Larceny-Parts From Vehicle",,"700 SEEDLING CT","COLORADO SPRINGS","80915",,
"2021-00010531","2021-03-13T20:00:00.000","2021-03-13T20:00:00.000","2021-03-13T20:05:00.000","Cleared by Arrest","2021-03-13T20:05:00.000","Crimes Against Society","18-6-401(1)(7)(b)(II) M3","Child Abuse - Criminal Negligence  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","Yes",,,,,
"2022-00024471","2022-06-27T12:00:00.000","2022-06-30T20:50:00.000","2022-06-30T20:53:17.000","Cleared by Arrest","2022-07-01T00:00:00.000","Crimes Against Society","18-6-401(1)(7)(b)(I) M2","Child Abuse - Knowingly/Recklessly  - NO Injury","90F","Family Offenses/Nonviolent","3802","Cruelty Toward Child","No",,,,,
"2022-00025970","2022-07-12T00:00:00.000","2022-07-12T00:00:00.000","2022-07-12T05:46:19.000","Open","2022-07-12T00:00:00.000","Crimes Against Persons","18-3-302(1) F2","2nd Degree Kidnapping - Seizes/Carries Adult","100","Kidnapping/Abduction","1006","Kidnap Adult","No","1000 KELLY JOHNSON BLVD","COLORADO SPRINGS","80920","POINT (-104.80363 38.948477)","Falcon"
"2020-00044844","2020-12-26T04:50:00.000","2020-12-26T05:27:00.000","2020-12-26T04:53:15.000","Cleared by Arrest","2021-04-02T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (2)","2nd Degree Burglary - Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2203","Burglary-Forced Entry-Nonresidence","No","2400 EXECUTIVE CIR","COLORADO SPRINGS","80906","POINT (-104.790423 38.78986)","Sand Creek"
"2020-00042218","2020-11-29T19:30:00.000","2020-11-30T16:30:00.000","2020-12-05T16:45:20.000","Open","2020-12-06T00:00:00.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","5200 EDISON AVE","COLORADO SPRINGS","80915","POINT (-104.731684 38.839771)","Sand Creek"
"2021-00001302","2021-01-03T15:35:00.000","2021-01-03T15:41:00.000","2021-01-03T15:41:26.000","Cleared by Arrest","2021-01-03T15:41:26.000","Crimes Against Society","18-8-104(1) M2","Obstructing a Peace Officer, Firefighter, EMS, K9","90Z","All Other Offenses","4899","Obstruct Police (Describe Offense)","No","1300 MICHELLE CT","COLORADO SPRINGS","80916","POINT (-104.748171 38.813796)","Sand Creek"
"2020-00028836","2019-09-30T12:00:00.000","2020-03-15T12:00:00.000","2020-08-20T09:41:32.000","Unfounded","2020-11-03T00:00:00.000","Crimes Against Persons","18-3-404(1)(a)(2)(b) F4","Unlawful Sexual Contact No Consent Aggravated","11D","Forcible Fondling","3601","Sex Offense - Against Child-Fondling","No",,,,,"Sand Creek"
"2020-00029730","2020-08-24T19:00:00.000","2020-08-25T07:00:00.000","2020-08-27T08:57:32.000","Open","2020-08-27T08:57:32.000","Crimes Against Property","18-4-502 F5 (1)","1st Degree Criminal Trespass - Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","100 WILD GRASS WAY","COLORADO SPRINGS","80919",,
"2019-00047531","2019-07-25T00:00:00.000","2019-12-17T23:59:00.000","2019-12-21T13:48:20.000","Cleared by Arrest","2019-12-21T13:48:20.000","Crimes Against Society","18-2-201 (1) F","Conspiracy to Commit Crime - Felony","90Z","All Other Offenses","7399","Public Order Crimes","No","11500 RIDGELINE DR","COLORADO SPRINGS","80921","POINT (-104.78702 39.00871)","Falcon"
"2022-00081942","2022-04-28T10:30:00.000","2022-04-28T19:30:00.000","2022-04-29T14:47:43.000","Open","2022-04-29T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M2 (01)","Theft - Value $300 or more but < $1K, Not Otherwise Classified","23H","All Other Larceny","2309","Larceny-From Yards",,"4400 ASHER HTS","COLORADO SPRINGS","80917",,
"2022-00003181","2021-12-28T12:00:00.000","2022-01-17T13:00:00.000","2022-01-18T10:13:32.000","Open","2022-01-18T00:00:00.000","Crimes Against Property","18-4-203(1) F4 (3)","2nd Degree Burglary - No Forced Entry - Non-Residence","220","Burglary/Breaking & Entering","2205","Burglary-No Forced Entry-Nonresidence","No","4000 LEE VANCE DR","COLORADO SPRINGS","80923","POINT (-104.756068 38.936401)","Stetson Hills"
"2021-00085967","2021-08-07T19:20:00.000","2021-08-09T07:20:00.000","2021-08-10T16:11:06.000","Open","2021-08-10T00:00:00.000","Crimes Against Property","18-4-401(2)(c) M3(01)","Theft - $50 to $299, Not Otherwise Classified","23H","All Other Larceny",,,,,"Colorado Springs","80927","POINT (-104.676597 38.92899)","Stetson Hills"
"2020-00022387","2020-06-21T00:00:00.000","2020-06-21T18:30:00.000","2020-06-27T18:03:08.000","Open","2020-06-27T18:03:08.000","Crimes Against Property","18-4-401(2)(d) M2 (04)","Theft - $300 to $749, From Automobile","23F","Theft From Motor Vehicle","2305","Larceny From Auto","No","1400 CYCLE HTS","COLORADO SPRINGS","80921",,
