"contract_name","county","city","status","program","primary_funding_agreement","award_date","total_project_cost","capital_investment","direct_assistance_awarded","tax_benefits_awarded","projected_jobs_created","projected_jobs_retained","projected_jobs_other","projected_jobs_total","projected_qualifying_wage","contracted_jobs_created","contracted_jobs_retained","contracted_jobs_other_created","contracted_jobs_total","contracted_qualifying_wage","project_completion_jobs_created","project_completion_jobs_retained","project_completion_jobs_other_created","project_completion_jobs_total","total_project_cost_project_completion","project_completion_date","reported_jobs_created","reported_jobs_retained","reported_jobs_other_created","reported_jobs_total","date_reported","project_maintenance_date","city_location"
"Zip's Truck Equipment Inc.","Chickasaw","New Hampton","Under contract - In Maintenance","Enterprise Zone","07-EZ-042","2007-05-17T00:00:00.000","4571269","2982622","0","349078","14","3","0","17","11.54","14","3","0","17","11.54","14","3","0","17","4571269","2012-05-30T00:00:00.000","14","3","0","17","2012-05-30T00:00:00.000","2022-05-30T00:00:00.000","POINT (-92.308658 43.059392)"
"T.C. and B. Corporate Wearables, Inc.","Dallas","Perry","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-030","2019-06-21T00:00:00.000","2100000","2075000","0","56250","4","0","10","14","25.19","4","0","10","14","25.19","0","0","0","0","2100000","2022-06-30T00:00:00.000","0","0","0","0","2022-06-30T00:00:00.000","2024-06-30T00:00:00.000","POINT (-94.099735 41.838506)"
"Express Logistics, Inc.","Dallas","Waukee","Under contract - In Performance","High Quality Jobs Program","15-HQJDF-004","2014-08-22T00:00:00.000","1158300","1128300","130000","58000","19","0","0","19","25.52","19","0","0","19","25.52","0","0","0","0","1158300","2019-11-30T00:00:00.000","0","0","0","0","2019-11-30T00:00:00.000","2021-11-30T00:00:00.000","POINT (-93.885632 41.611984)"
"TPI Iowa, LLC","Jasper","Newton","Under contract - In Maintenance","Enterprise Zone","08-EZ-042","2007-07-19T00:00:00.000","36491381","23691381","2002500","3401922","259","0","245","504","12.06","259","0","245","504","12.06","259","0","245","504","36491381","2011-02-17T00:00:00.000","259","0","245","504","2011-02-17T00:00:00.000","2021-02-17T00:00:00.000","POINT (-93.043472 41.69558)"
"Martin Brothers Distributing Company, Inc. and Martin Realty Company","Black Hawk","Cedar Falls","Under contract - In Maintenance","High Quality Jobs Program","16-HQJTC-005","2015-07-17T00:00:00.000","16148000","16148000","0","1267680","16","0","19","35","19.13","16","0","19","35","19.13","16","0","19","35","16148000","2018-07-31T00:00:00.000","16","0","19","35","2018-07-31T00:00:00.000","2020-07-31T00:00:00.000","POINT (-92.4534 42.537809)"
"Cargill, Incorporated","Monroe","Eddyville","Under contract - In Performance","High Quality Jobs Program","20-HQJTC-005","2019-09-20T00:00:00.000","128300000","125000000","0","3809500","17","0","0","17","17.46","17","0","0","17","17.46","0","0","0","0","128300000","2022-09-30T00:00:00.000","0","0","0","0","2022-09-30T00:00:00.000","2024-09-30T00:00:00.000","POINT (-92.630188 41.158178)"
"Nor-Am Cold Storage Inc.","Plymouth","Le Mars","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-040","2016-03-29T00:00:00.000","17875000","17875000","0","185000","1","0","12","13","20.84","1","0","12","13","20.84","0","0","0","0","17875000","2021-03-31T00:00:00.000","0","0","0","0","2021-03-31T00:00:00.000","2023-03-31T00:00:00.000","POINT (-96.173749 42.788178)"
"Link MFG., Ltd.","Sioux","Sioux Center","Under contract - In Performance","High Quality Jobs Program","21-HQJTC-017","2021-01-22T00:00:00.000","6000000","6000000","0","329500","14","0","40","54","22.32","14","0","40","54","22.32","0","0","0","0","6000000","2024-01-31T00:00:00.000","0","0","0","0","2024-01-31T00:00:00.000","2026-01-31T00:00:00.000","POINT (-96.175468 43.075969)"
"Cambrex Charles City, Inc.","Floyd","Charles City","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-009","2017-08-18T00:00:00.000","27000000","27000000","125000","175898","29","0","0","29","16.85","29","0","0","29","16.85","0","0","0","0","27000000","2021-08-31T00:00:00.000","0","0","0","0","2021-08-31T00:00:00.000","2023-08-31T00:00:00.000","POINT (-92.672524 43.066415)"
"Continental Carbonic Products, Inc.","Crawford","Denison","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-047","2018-05-18T00:00:00.000","19080000","19080000","125000","1054630","40","0","0","40","16.54","40","0","0","40","16.54","0","0","0","0","19080000","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-95.348108 42.012394)"
"Sammons Financial Group","Dallas","West Des Moines","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-016","2019-01-25T00:00:00.000","95000000","95000000","0","5206000","125","0","0","125","30.32","135","0","0","135","30.32","0","0","0","0","95000000","2022-01-31T00:00:00.000","0","0","0","0","2022-01-31T00:00:00.000","2024-01-31T00:00:00.000","POINT (-93.713031 41.575505)"
"ReadiFuels-Iowa, LLC","Sioux","Hull","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-021","2019-02-22T00:00:00.000","58700000","58700000","0","2806500","27","0","4","31","20.47","27","0","4","31","20.47","0","0","0","0","58700000","2022-02-28T00:00:00.000","0","0","0","0","2022-02-28T00:00:00.000","2024-02-28T00:00:00.000","POINT (-96.133661 43.185786)"
"Beck's Superior Hybrids, Inc.","Henry","Mt. Pleasant","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-017","2017-09-22T00:00:00.000","10946000","10946000","0","268287","10","0","0","10","16.56","10","0","0","10","16.56","0","0","0","0","10946000","2021-09-30T00:00:00.000","0","0","0","0","2021-09-30T00:00:00.000","2023-09-30T00:00:00.000","POINT (-91.554839 40.965605)"
"The Printer, Inc.","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-042","2018-04-20T00:00:00.000","13100000","13100000","0","672000","10","0","5","15","29.12","10","0","5","15","29.12","0","0","0","0","13100000","2021-04-30T00:00:00.000","0","0","0","0","2021-04-30T00:00:00.000","2023-04-30T00:00:00.000","POINT (-93.620309 41.588822)"
"HMA Group Holdings, LLC","Dallas","Waukee","Under contract - In Maintenance","High Quality Jobs Program","17-HQJTC-004","2016-07-22T00:00:00.000","8160257","1877621","0","987132","17","0","0","17","26.72","17","0","0","17","26.72","17","0","0","17","8160257","2019-07-31T00:00:00.000","17","0","0","17","2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","POINT (-93.885632 41.611984)"
"Wells Enterprises, Inc.","Plymouth","Le Mars","Under contract - In Performance","High Quality Jobs Program","17-HQJTC-022","2016-10-21T00:00:00.000","40446395","40446395","0","3024221","81","0","0","81","19.31","81","0","0","81","19.31","0","0","0","0","40446395","2020-06-30T00:00:00.000","0","0","0","0","2020-06-30T00:00:00.000","2022-06-30T00:00:00.000","POINT (-96.173749 42.788178)"
"Winger Contracting Company","Wapello","Ottumwa","Under contract - In Maintenance","Enterprise Zone","08-EZ-032","2008-04-17T00:00:00.000","1147000","937000","0","112700","24","0","0","24","12.40","21","0","0","21","12.40","21","0","0","21","1147000","2011-04-30T00:00:00.000","21","0","0","21","2011-04-30T00:00:00.000","2021-04-30T00:00:00.000","POINT (-92.413173 41.023246)"
"Agri-Industrial Plastics Company","Jefferson","Fairfield","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-061","2016-06-17T00:00:00.000","4700000","4700000","0","94000","3","0","0","3","15.93","3","0","0","3","15.93","0","0","0","0","4700000","2019-06-30T00:00:00.000","0","0","0","0","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-91.965049 41.006634)"
"IP Pathways, LLC","Polk","Urbandale","Under contract - In Maintenance","High Quality Jobs Program","14-HQJDF-034","2014-04-18T00:00:00.000","1680146","825000","240000","37500","44","0","9","53","24.32","14","0","0","14","24.32","14","0","0","14","1680146","2018-04-30T00:00:00.000","14","0","0","14","2018-04-30T00:00:00.000","2020-04-30T00:00:00.000","POINT (-93.736522 41.630343)"
"Krause Group, Ltd.","Polk","Des Moines","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-012","2015-08-21T00:00:00.000","151000000","151000000","0","18590000","90","11","0","101","25.52","90","11","0","101","25.52","0","0","0","0","151000000","2021-08-31T00:00:00.000","90","0","0","0","2021-08-31T00:00:00.000","2023-08-31T00:00:00.000","POINT (-93.620309 41.588822)"
"Energy Control Technologies, Inc.","Polk","Urbandale","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-019","2016-10-21T00:00:00.000","506000","15000","37500","0","10","0","0","10","27.92","8","0","0","8","27.92","8","0","0","8","506000","2019-10-31T00:00:00.000","8","0","0","8","2019-10-31T00:00:00.000","2021-10-31T00:00:00.000","POINT (-93.736522 41.630343)"
"Shine Bros. Corp.","Clay","Spencer","Under contract - In Maintenance","High Quality Jobs Program","14-HQJTC-013","2013-11-22T00:00:00.000","3400000","1900000","0","78500","4","0","0","4","18.24","4","0","0","4","18.24","4","0","0","4","3400000","2018-11-30T00:00:00.000","4","0","0","4","2018-11-30T00:00:00.000","2020-11-30T00:00:00.000","POINT (-95.144697 43.141367)"
"Geater Machining and Manufacturing, Co.","Buchanan","Independence","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-002","2017-07-21T00:00:00.000","7800000","1000000","0","125000","1","0","5","6","16.53","1","0","5","6","16.53","0","0","0","0","7800000","2022-01-31T00:00:00.000","0","0","0","0","2022-01-31T00:00:00.000","2024-01-31T00:00:00.000","POINT (-91.891754 42.467626)"
"Keokuk Mills LLC and Mills Carbon LLC","Lee","Koekuk","Under contract - In Performance","High Quality Jobs Program","16-HQJDF-064","2016-07-22T00:00:00.000","6000000","4500000","1000000","230000","200","0","0","200","14.30","200","0","0","200","14.39","0","0","0","0","6000000","2022-08-31T00:00:00.000","0","0","0","0","2022-08-31T00:00:00.000","2024-08-31T00:00:00.000","POINT (-91.401855 40.413521)"
"Clow Valve Company","Mahaska","Oskaloosa","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-001","2017-07-21T00:00:00.000","13850000","13500000","0","305250","6","0","0","6","19.63","6","0","0","6","19.63","0","0","0","0","13850000","2020-12-31T00:00:00.000","0","0","0","0","2020-12-31T00:00:00.000","2022-12-31T00:00:00.000","POINT (-92.645022 41.296244)"
"Atlantic Bottling Company","Scott","Walcott","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-045","2018-05-18T00:00:00.000","1915000","235000","0","240900","106","0","37","143","18.30","106","0","37","143","18.30","0","0","0","0","1915000","2021-05-31T00:00:00.000","0","0","0","0","2021-05-31T00:00:00.000","2023-05-31T00:00:00.000","POINT (-90.774638 41.585841)"
"Mobile Track Solutions, LLC","Clayton","Elkader","Under contract - In Maintenance","Enterprise Zone","09-EZ-014","2009-04-16T00:00:00.000","8458700","5847000","0","727168","20","0","0","20","16.26","20","0","0","20","11.99","20","0","0","20","8458700","2012-04-30T00:00:00.000","20","0","0","20","2012-04-30T00:00:00.000","2022-04-30T00:00:00.000","POINT (-91.404448 42.854572)"
"Simmons Pet Food, Inc.","Dubuque","Dubuque","Under contract - In Performance","High Quality Jobs Program","21-HQJDF-004","2020-12-18T00:00:00.000","79500000","79500000","800000","3300000","206","0","65","271","20.49","206","0","65","271","20.49","0","0","0","0","79500000","2023-12-31T00:00:00.000","0","0","0","0","2023-12-31T00:00:00.000","2025-12-31T00:00:00.000","POINT (-90.667314 42.505512)"
"E.I. DuPont de Nemours and Company/Pioneer Hi-Bred International., Inc.","Polk","Johnston","Under contract - In Performance","High Quality Jobs Program","16-HQJTC-039","2016-02-19T00:00:00.000","500500000","500000","2000000","14000000","0","500","0","500","26.72","0","500","0","500","26.72","0","0","0","0","500500000","2021-02-28T00:00:00.000","0","0","0","0","2021-02-28T00:00:00.000","2023-02-28T00:00:00.000","POINT (-93.697646 41.669319)"
"Deere & Company","Polk","Urbandale","Under contract - In Performance","High Quality Jobs Program","18-HQJTC-028","2017-11-17T00:00:00.000","32600000","32600000","0","2900000","31","20","0","51","29.12","31","20","0","51","29.12","0","0","0","0","32600000","2020-11-30T00:00:00.000","0","0","0","0","2020-11-30T00:00:00.000","2022-11-30T00:00:00.000","POINT (-93.736522 41.630343)"
"Precision, Inc.","Kossuth","Algona","Under contract - In Maintenance","High Quality Jobs Program","17-HQJDF-008","2016-08-19T00:00:00.000","5123660","4698660","250000","139801","27","0","5","32","19.15","27","0","5","32","19.15","27","0","0","27","5123660","2019-08-31T00:00:00.000","27","0","0","27","2019-08-31T00:00:00.000","2021-08-31T00:00:00.000","POINT (-94.233015 43.069871)"
"Future Foam, Inc.","Pottawattamie","Council Bluffs","Under contract - In Performance","Targeted Jobs","17-TJ-001","2016-07-22T00:00:00.000","720000","720000","0","72138","3","4","3","10","17.93","3","4","3","10","17.93","0","0","0","0","720000","2019-07-31T00:00:00.000","0","0","0","0","2019-07-31T00:00:00.000","2021-07-31T00:00:00.000","POINT (-95.85436 41.258963)"
"HQAA JSA LLC","Black Hawk","Waterloo","Under contract - In Maintenance","Enterprise Zone","08-EZ-007","2007-08-16T00:00:00.000","2972688","1896000","200000","212650","45","0","2","47","12.86","10","0","0","10","12.86","19","0","0","19","2972688","2011-08-31T00:00:00.000","10","0","0","10","2011-08-31T00:00:00.000","2021-08-31T00:00:00.000","POINT (-92.34364 42.493469)"
"Vermeer Corporation","Marion","Pella","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-026","2019-05-17T00:00:00.000","137300000","118300000","0","5790000","0","240","0","240","21.61","0","240","0","240","21.61","0","0","0","0","137300000","2022-05-31T00:00:00.000","0","0","0","0","2022-05-31T00:00:00.000","2024-05-31T00:00:00.000","POINT (-92.916445 41.408107)"
"Iowa Brewing Company","Linn","Cedar Rapids","Under contract - In Maintenance","High Quality Jobs Program","15-HQJTC-026","2014-12-19T00:00:00.000","2250000","2130000","0","78300","9","0","7","16","19.54","9","0","7","16","19.54","7","0","0","7","2250000","2019-06-30T00:00:00.000","2","0","0","2","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-91.669808 41.978122)"
"Faircast, Inc.","Jefferson","Fairfield","Under contract - In Performance","High Quality Jobs Program","18-HQJDF-007","2017-07-21T00:00:00.000","5200000","3195000","600000","255200","75","0","14","89","19.52","75","0","14","89","19.52","0","0","0","0","5200000","2021-06-30T00:00:00.000","0","0","0","0","2021-06-30T00:00:00.000","2023-06-30T00:00:00.000","POINT (-91.965049 41.006634)"
"Traffix Devices, Inc.; Kulp Fairfield, Iowa Partners, LLC","Jefferson","Fairfield","Under contract - In Performance","High Quality Jobs Program","19-HQJTC-029","2019-06-21T00:00:00.000","4766250","4766250","0","146913","5","0","12","17","20.72","5","0","12","17","20.72","0","0","0","0","4766250","2022-06-30T00:00:00.000","0","0","0","0","2022-06-30T00:00:00.000","2024-06-30T00:00:00.000","POINT (-91.965049 41.006634)"
"United Fire Group","Linn","Cedar Rapids","Under contract - In Maintenance","High Quality Jobs Program","15-HQJTC-046","2015-06-19T00:00:00.000","28380750","28380750","0","1961781","46","0","4","50","23.45","46","0","4","50","23.45","46","0","4","50","28380750","2019-06-30T00:00:00.000","46","0","4","50","2019-06-30T00:00:00.000","2021-06-30T00:00:00.000","POINT (-91.669808 41.978122)"
"Warren Distribution, Inc.","Pottawattamie","Council Bluffs","Under contract - In Performance","Targeted Jobs","18-TJ-007","2018-06-22T00:00:00.000","12800000","12800000","0","212773","13","0","17","30","18.18","13","0","17","30","18.18","0","0","0","0","12800000","2021-06-30T00:00:00.000","0","0","0","0","2021-06-30T00:00:00.000","2028-06-30T00:00:00.000","POINT (-95.85436 41.258963)"
"Grip-Tite Manufacturing Co., LLC","Madison","Winterset","Under contract - In Performance","High Quality Jobs Program","20-HQJDF-002","2019-07-19T00:00:00.000","1950280","1525000","200000","0","22","0","4","26","18.87","22","0","4","26","18.87","0","0","0","0","1950280","2022-07-31T00:00:00.000","0","0","0","0","2022-07-31T00:00:00.000","2024-07-31T00:00:00.000","POINT (-94.013379 41.33449)"
