"organization_name","address","apt_suite","city","zipcode","telephone","email_address","website","youth_family_enrichment","support_services","civic_engagement","early_childhood_education","government_agencies","schools","higher_education","workforce_development","mission","geospatial_data","neighborhood"
"INJURY PREVENTION CENTER (IPC) - CONNECTICUT CHILDREN'S MEDICAL CENTER","12 CHARTER OAK AV",,"Hartford","6106","(860) 837-5318","Unlisted/Unavailable","http://www.connecticutchildrens.org/community-child-health/injury-prevention-center","Youth and Family Enrichment","Support Services",,,,,,,"The Injury Prevention Center (IPC) at Connecticut Children's is leading an effort to reduce unintentional injury and violence among Connecticut's children, adolescents and adults.","12 CHARTER OAK PL
HARTFORD, Connecticut 06106
(41.757244, -72.67351)","SHELDON-CHARTER OAK"
"INROADS - NEW ENGLAND REGION","241 MAIN ST","2nd Floor","Hartford","6106","(888) 520-8691","Unlisted/Unavailable","http://www.inroads.org","Youth and Family Enrichment",,,,,,,,"Develops and places talented underserved youth in buisness and industry, and prepare them for corporate and community leadership.","241 MAIN ST
HARTFORD, Connecticut 06106
(41.758633, -72.675401)","SOUTH GREEN"
"INSTITUTE FOR COMMUNITY RESEARCH","2 HARTFORD SQUARE","Suite 100","Hartford","6106","(860) 278-2044","connie.yan@icrweb.org","https://icrweb.org/",,,"Civic Engagement",,,,,,"Conducts research in collaboration with community partners to promote justice and equity in a diverse, multiethnic, multicultural world.","2 HARTFORD SQUARE WEST
HARTFORD, Connecticut 06106
(41.720624, -72.742822)","FROG HOLLOW"
"INSTITUTE OF LIVING","200 RETREAT AV",,"Hartford","6106","(800) 673-2411","Unlisted/Unavailable","http://www.instituteofliving.org",,"Support Services",,,,,,,"Offers comprehensive services that meet the challenge of complex medical needs.","200 RETREAT AV
HARTFORD, Connecticut 06106
(41.751919, -72.681212)","BARRY SQUARE"
"JESUS LA FUENTE HOUSE OF HARVEST FOOD PANTRY","114 WOOSTER ST",,"Hartford","6105","(860) 560-0447","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Provides food when available to those in the Greater Hartford community","114 WOOSTER ST
HARTFORD, Connecticut 06105
(41.781516, -72.674744)","CLAY-ARSENAL"
"JONIS CHILD CARE & PRESCHOOL","1 STATE ST",,"Hartford","6103","(860) 549-2422","hartford@jonischildcare.com","http://www.jonischildcare.com",,,,"Early Childhood Education",,,,,"Provides families with child care and preschool that features its NAEYC Accreditation, Academic Curriculum, Flexible Scheduling, Friendly Responsive Staff, Open-Door Policy, Affordable Rates, and No Contracts.","1 STATE ST
HARTFORD, Connecticut 06103
(41.765623, -72.669515)","DOWNTOWN"
"JOURNALISM & MEDIA ACADEMY MAGNET SCHOOL (9-12)","150 TOWER AV",,"Hartford","6112","(860) 695-7564","choms001@jma.hartfordschools.org","http://jma.hartfordschools.org/",,,,,,"Schools",,,"Advances the study of journalism and media through the use of technology and self-mastery. Students have the opportunity to develop workplace and college readiness competencies through core and elective classes, job shadowing and internships.","150 TOWER AV
HARTFORD, Connecticut 06112
(41.797635, -72.670349)","NORTH EAST"
"JOURNEY HOME","255 MAIN ST","2nd Floor","Hartford","6106","(860) 808-0336","info@journeyhomect.org","http://www.journeyhomect.org",,"Support Services",,,,,,,"Accelerates progress towards ending chronic homelessness in the Greater Hartford region with housing, employment, and support services, rather than managing it with emergency shelter.","255 MAIN ST
HARTFORD, Connecticut 06106
(41.759173, -72.675341)","SOUTH MEADOWS"
"JUBILEE HOUSE","40 CLIFFORD ST",,"Hartford","6114","(860) 247-3030","info@jubileehouse.org","http://hobread.org/education/jubilee-house",,"Support Services",,,,,,,"Provides a holistic literacy program for underserved adult learners in the greater Hartford area with a particular focus on the literacy and basic human needs of the refugee and immigrant person.","40 CLIFFORD ST
HARTFORD, Connecticut 06114
(41.740091, -72.686256)","BARRY SQUARE"
"JUDAH HOUSE","84 VINE ST",,"Hartford","6112","(860) 241-9440","info@judahhouseinc.org","http://www.judahhouseinc.org",,"Support Services",,,,,,,"Empowers those in our community by providing access to opportunities for healing, education and employment.","84 VINE ST
HARTFORD, Connecticut 06112
(41.781955, -72.688285)","UPPER ALBANY"
"JUDY DWORIN PERFORMANCE PROJECT, INC","75 CHARTER OAK AV","SUITE 206","Hartford","6106","(860) 527-9800","info@judydworin.org","http://www.judydworin.org","Youth and Family Enrichment",,,,,,,,"Serves underserved populations, celebrates diversity and builds bridges in the community.","75 CHARTER OAK AV BUILDING ONE
HARTFORD, Connecticut 06106
(41.758845, -72.670024)","SHELDON-CHARTER OAK"
"JUMOKE ACADEMY HONORS AT THE HARTFORD CONSERVATORY (5-8)","875 ASYLUM AV",,"Hartford","6105","(860) 527-0575","Unlisted/Unavailable","http://www.jumokeacademy.org",,,,,,"Schools",,,"An honors middle school with an arts integrated focus. Our mission is to develop our scholars into mature, young adults who will make valuable contributions to the global society.","875 ASYLUM AV
HARTFORD, Connecticut 06105
(41.770264, -72.693896)","ASYLUM HILL"
"JUMOKE ACADEMY HONORS SMART (5-8)","339 BLUE HILLS AV",,"Hartford","6112","(860) 527-0575","Unlisted/Unavailable","http://www.jumokeacademy.org",,,,,,"Schools",,,"Nicknamed ""JAH-SMART"", this middle school academy is thematically centered on STEM education and promotes classroom and enrichment activities that facilitate scientific exploration.","339 BLUE HILLS AV
HARTFORD, Connecticut 06112
(41.794412, -72.697018)","SOUTH WEST"
"KING'S CHAPEL EARLY CARE & EDUCATION CENTER","400 WOODLAND ST",,"Hartford","6112","(860) 560-0387","e.wilson@kingschapeleducation.org","http://www.kingschapeleducation.com",,,,"Early Childhood Education",,,,,"Provides a full day/full year program to meet the educational needs of children ages 6 weeks through 5 years in impoverished areas and urban communities.","400 WOODLAND ST
HARTFORD, Connecticut 06112
(41.780932, -72.696761)","UPPER ALBANY"
"KING'S CHAPEL FOOD PANTRY","400 WOODLAND ST",,"Hartford","6112","(860) 728-5777","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Operates a food pantry for anyone in need.","400 WOODLAND ST
HARTFORD, Connecticut 06112
(41.780932, -72.696761)","UPPER ALBANY"
"KLINBERG FAMILY CENTERS","157 CHARTER OAK AV",,"Hartford","6106","(860) 515-2366 x-266","judio@klingberg.org","http://www.klingberg.org/",,"Support Services",,,,,,,"Extends hope and healing to children and families whose lives have been traumatized by abuse and/or neglect in its various forms, by severe family problems and by mental health issues","157 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.758317, -72.666736)","SHELDON-CHARTER OAK"
"KNOX INC.","75 LAUREL ST",,"Hartford","6106","(860) 951-7694","info@knoxhartford.org","http://www.knoxhartford.org",,,"Civic Engagement",,,,,,"Using horticulture as a catalyst for community engagement, KNOX forges partnerships between residents, businesses and government, providing leadership to build greener, stronger, healthier and more beautiful neighborhoods in Hartford.","75 LAUREL ST
HARTFORD, Connecticut 06106
(41.761142, -72.69688)","FROG HOLLOW"
"LA CASA ELDERLY HOUSING","180 OAK ST",,"Hartford","6106","(860) 527-6261","Unlisted/Unavailable","#https://www.manta.com/c/mm4m867/la-casa-elderly-housing-inc#",,"Support Services",,,,,,,"Operates La Casa, a 40 unit rental housing complex for older adults ages 62+. La Casa also rents to adults ages 18+ who have disabilities.","180 OAK ST
HARTFORD, Connecticut 06106
(41.758168, -72.684629)","FROG HOLLOW"
"LATINO COMMUNITY SERVICES","184 WETHERSFIELD AV",,"Hartford","6114","(860) 296-6400","info@lcs-ct.org","http://www.lcs-ct.org",,"Support Services",,,,,,,"Our mission is to reduce the spread of HIV/AIDS in the Latino community and other at-risk populations and improve the quality of life and health of people with HIV/AIDS.","184 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.750847, -72.673899)","SHELDON-CHARTER OAK"
"LEADERSHIP GREATER HARTFORD","30 LAUREL ST",,"Hartford","6106","(860) 951-6161","info@leadershipgh.org","http://www.leadershipgh.org",,,"Civic Engagement",,,,,,"Develops, connects and inspires diverse leaders to build strong and vibrant communities. Offer programs providing experiential learning through workshops, tours and hands-on team projects.","30 LAUREL ST
HARTFORD, Connecticut 06106
(41.759879, -72.696833)","FROG HOLLOW"
"LITERACY VOLUNTEERS OF GREATER HARTFORD","30 ARBOR ST",,"Hartford","6106","(860) 233-3853","Unlisted/Unavailable","http://www.lvgh.org/",,"Support Services",,,,,,,"Improves the ability of Greater Hartford adults to read, write, and speak English.","30 ARBOR ST
HARTFORD, Connecticut 06106
(41.760069, -72.703081)","PARKVILLE"
"MALTA HOUSE OF CARE MOBILE MEDICAL CLINIC - HARTFORD","19 WOODLAND ST","Suite 21","Hartford","6105","(860) 725-0171","Unlisted/Unavailable","http://www.maltahouseofcare.org",,"Support Services",,,,,,,"Provides free primary health care to the uninsured. We deliver that health care through operation of a mobile care vehicle that has a fixed schedule in four distinct neighborhoods across the City of Hartford.","19 WOODLAND ST
HARTFORD, Connecticut 06105
(41.768555, -72.702099)","ASYLUM HILL"
"MARIA C. SANCHEZ ELEMENTARY SCHOOL (PK 4-5)","176 BABCOCK ST",,"Hartford","6106","(860) 695-4940","welcomecenter@hartfordschools.org REDZA001@hartfordschools.org","https://www.sanchezschool.com/",,,,,,"Schools",,,"Offer a full academic program that includes music, art, PE, Media and a partnership with Hartford Performs, ING, MI Casa, Girl Scouts, an active PTO and a new School Council.","176 BABCOCK ST
HARTFORD, Connecticut 06106
(41.758918, -72.689238)","FROG HOLLOW"
"MARSHALL HOUSE FAMILY SHELTER","225 SOUTH MARSHALL ST",,"Hartford","6105","(860) 543-8430","Sarah.DiMaio@use.salvationarmy.org","http://ctri.salvationarmy.org/SNE/MarshallHouse",,"Support Services",,,,,,,"A 27-bed Family Shelter and a 23-bed Overflow Shelter that provides comprehensive services to people who are at risk of homelessness, currently experiencing homelessness, or are transitioning from homelessness back into stable homes.","225 SOUTH MARSHALL ST
HARTFORD, Connecticut 06105
(41.765788, -72.698641)","ASYLUM HILL"
"MARTIN LUTHER KING, JR. ELEMENTARY SCHOOL (PK 4-8)","296 GREENFIELD ST",,"Hartford","6112","(860) 695-3980","welcomecenter@hartfordschools.org CRAWD001@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Serves students in grades Pre-K through 8 with an emphasis on high academic expectations for all students, where cultural diversity is celebrated, and the key to student success is parent and community participation.","296 GREENFIELD ST
HARTFORD, Connecticut 06112
(41.78451, -72.695147)","UPPER ALBANY"
"MCDONOUGH EXPEDITIONARY LEARNING SCHOOL (MELS) (6-12)","111 HILLSIDE AV",,"Hartford","6106","(860) 695-4260","welcomecenter@hartfordschools.org SULLB001@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Serves students grades 6-8 in an Expeditionary Learning School that requires students to engage in research, use the community in authentic ways, and communicate what they have learned through a presentation to outside audiences.","111 HILLSIDE AV
HARTFORD, Connecticut 06106
(41.750387, -72.697814)","BEHIND THE ROCKS"
"MCKINNEY SHELTER","34 HUYSHOPE AV",,"Hartford","6106","(860) 757-0660","Unlisted/Unavailable","http://www.crtct.org/en/need-help/housing-a-shelters/mens-shelter",,"Support Services",,,,,,,"Since 1983, Mercy Housing and Shelter has been working to empower homeless persons to become independent, so they may live and work with dignity and respect.","34 HUYSHOPE AV
HARTFORD, Connecticut 06106
(41.757498, -72.66637)","SHELDON-CHARTER OAK"
"MERCY HOUSING AND SHELTER CORPORATION","211 WETHERSFIELD AV",,"Hartford","6114","(860) 808-2040","Unlisted/Unavailable","http://www.mercyhousingct.org/index.htm",,"Support Services",,,,,,,"Provides housing assistance and supportive services to persons who are homeless or at risk of becoming homeless.","211 WETHERSFIELD AV
HARTFORD, Connecticut 06114
(41.750025, -72.673781)","BARRY SQUARE"
"METZNER CENTER, DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD","680 FRANKLIN AV",,"Hartford","6114","(860) 757-4881","tstewart@hartford.gov","http://www.hartford.gov","Youth and Family Enrichment",,,,,,,,"Provides life-long recreational opportunities that promote healthy and active living.","680 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.729232, -72.673928)","SOUTH END"
"METZNER EARLY LEARNING CENTER, DEPARTMENT OF FAMILIES CHILDREN YOUTH AND RECREATION: CITY OF HARTFORD","680 FRANKLIN AV",,"Hartford","6114","(860) 757-0871","matim001@hartford.gov","http://www.dfcyr.hartford.gov",,,,"Early Childhood Education",,,,,"Promotes the safety, permanency and well-being of Hartford's children, youth and families.","680 FRANKLIN AV
HARTFORD, Connecticut 06114
(41.729232, -72.673928)","SOUTH END"
"MI CASA (HISPANIC HEALTH COUNCIL)","590 PARK ST",,"Hartford","6106","(860) 522-5222","richardg@hispanichealth.org","Unlisted/Unavailable","Youth and Family Enrichment",,,,,,,,"Provide a year-round program that operates from 7:00 am to 5:00 pm, Monday through Friday with breakfast, a hot lunch and an afternoon snack to the children enrolled in the program.","590 PARK ST
HARTFORD, Connecticut 06106
(41.758048, -72.686708)","FROG HOLLOW"
"MONTESSORI MAGNET AT BACHELDER","757 NEW BRITAIN AV",,"Hartford","6106","(860) 695-2720","welcomecenter@hartfordschools.org Paul.Casey@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Creates a community of active learners, where we all interact collaboratively with parents and community organizations to develop and implement educational programs ensuring academic and social excellence for all.","757 NEW BRITAIN AV
HARTFORD, Connecticut 06106
(41.733029, -72.707841)","BARRY SQUARE"
"MONTESSORI MAGNET (MOYLAN/MCDOUGH CAMPUSES) (PK3-6)","101 CATHERINE ST",,"Hartford","6106","(860) 695-2600","info@montessorimagnethartford.org","http://www.montessorimagnethartford.org",,,,,,"Schools",,,"Provides classrooms that are mixed age groups serving specific developmental stages: Primary (3-6 years); Lower Elementary (6-9 years); and Upper Elementary (9-12 years).","101 CATHERINE ST
HARTFORD, Connecticut 06106
(41.746325, -72.69866)","BEHIND THE ROCKS"
"MONTESSORI MAGNET SCHOOL AT ANNIE FISHER (PK 3-6)","280 PLAINFIELD ST",,"Hartford","6112","(860) 695-3560","info@anniefishermontessori.org","http://www.anniefishermontessori.org",,,,,,"Schools",,,"Fosters each child's natural desire to learn through hands-on exploration and discovery.","280 PLAINFIELD ST
HARTFORD, Connecticut 06112
(41.791455, -72.70817)","BLUE HILLS"
"MONTESSORI MAGNET SCHOOL (PK-6)","1460 BROAD ST",,"Hartford","6106","(860) 757-6100","anapoleone@crec.org","http://www.crecschools.org",,,,,,"Schools",,,"Offers a traditional Montessori education for students ages 3-12, extended child care for students participating in the full-day program and a diverse environment in our custom-built school facility.","1460 BROAD ST
HARTFORD, Connecticut 06106
(41.749562, -72.687108)","BARRY SQUARE"
"MOUNT CALVARY BAPTIST CHURCH SOUP KITCHEN","2 F.D. OATES AV",,"Hartford","6120","(860) 278-6671","office@mt-calvarybaptist.com","http://www.mt-calvarybaptist.com/",,"Support Services",,,,,,,"Serves lunch Sat: 11am-1pm to anyone in need.","2 F.D. OATES AV
HARTFORD, Connecticut 06120
(41.782006, -72.679179)","NORTH EAST"
"MOUNT OLIVE CHILD DEVELOPMENT CENTER AT WARBURTON CENTER","420 BROOKFIELD ST",,"Hartford","6106","(860) 549-4380","Unlisted/Unavailable","Unlisted/Unavailable",,,,"Early Childhood Education",,,,,"Provides learning and play experiences for young children ranging anywhere from 2-5 years old.","420 BROOKFIELD ST
HARTFORD, Connecticut 06106
(41.742372, -72.708456)","BEHIND THE ROCKS"
"MOUNT OLIVE CHURCH MINISTRIES EMERGENCY FOOD PANTRY","20 BATTLES ST",,"Hartford","6120","(860) 549-3935","mtolive@snet.net","http://www.mocm.org",,"Support Services",,,,,,,"Provides a food pantry for residents of the Northend of Hartford including low-income families with children under age 18; older adults ages 55+; single adults with referral from DSS worker or case manager.","20 BATTLES ST
HARTFORD, Connecticut 06120
(41.783534, -72.674421)","CLAY-ARSENAL"
"MUSEUM ACADEMY AT WISH  (PK 4-8)","350 BARBOUR ST",,"Hartford","6120","(860) 695-5601","welcomecenter@hartfordschools.org RYANK001@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provides a comprehensive and challenging museums-based learning environment to students in preschool through grade 5.","350 BARBOUR ST
HARTFORD, Connecticut 06120
(41.795041, -72.676727)","NORTH EAST"
"MUTUAL HOUSING ASSOCIATION OF GREATER HARTFORD, INC.","95 NILES ST",,"Hartford","6105","(860) 296-1797","info@mutualhousing.org","http://www.mutualhousing.org",,"Support Services",,,,,,,"Develops and manages affordable housing in Greater Hartford while engaging residents in leadership and educational opportunities.","95 NILES ST
HARTFORD, Connecticut 06105
(41.770522, -72.700411)","ASYLUM HILL"
"MY PEOPLE CLINICAL SERVICES","111 GILLETT ST",,"Hartford","6105","(860) 656-0450","info@mypeople-ct.com","http://www.mypeople-ct.com",,"Support Services",,,,,,,"Mission driven, community based social service organization established in the city of Hartford, CT in 2005 to “Support, Empower, and Rebuild” the lives of individuals and families in the Greater Hartford area.","111 GILLETT ST
HARTFORD, Connecticut 06105
(41.771582, -72.698892)","ASYLUM HILL"
"MY SISTERS' PLACE","237 HAMILTON ST","Suite 3","Hartford","6106","(860) 895-6629","Unlisted/Unavailable","http://www.sistersplacect.org",,"Support Services",,,,,,,"Provides a safe and nurturing environment for those who find themselves without a home through a unique combination of services and support, guidance and empowerment, encouragement and outreach.","237 HAMILTON ST
HARTFORD, Connecticut 06106
(41.754228, -72.704047)","BEHIND THE ROCKS"
"NAMI CONNECTICUT","576 FARMINGTON AV",,"Hartford","6105","(860) 882-0236","membership@namict.org","http://www.namict.org",,"Support Services","Civic Engagement",,,,,,"Improves the quality of life for all those affected by mental health conditions through engaging in support, education and advocacy.","576 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.766115, -72.711796)","WEST END"
"NATIONAL MULTIPLE SCLEROSIS SOCIETY - CONNECTICUT CHAPTER","659 TOWER AV","1st Floor","Hartford","6112","(860) 913-2550","info@ctfightsMS.org","http://www.nationalmssociety.org/Chapters/CTN",,"Support Services",,,,,,,"Provides knowledge and assistance to help people with MS and their families maintain the highest possible quality of life. These goals are achieved through vital national and local programs.","659 TOWER AV
HARTFORD, Connecticut 06112
(41.800859, -72.692532)","BLUE HILLS"
"NEW BEGINNINGS FAMILY CENTER, LLC","645 FARMINGTON AV",,"Hartford","6105","(860) 244-2181","Unlisted/Unavailable","http://www.getfave.com/19094382-new-beginnings-family-center",,"Support Services",,,,,,,"Marriage & Family counseling services.","645 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.765663, -72.715459)","WEST END"
"NEW ENGLAND FARM WORKERS' COUNCIL","56 ARBOR ST","Suite 307","Hartford","6103","(860) 293-2552","Unlisted/Unavailable","http://www.partnersforcommunity.org/default/index.cfm/about-pfc/affiliates-programs/nefwc/",,,,,,,,"Workforce Development","Improve the quality of life for thousands of low-income people throughout the Northeast including migrant and seasonal farm workers and their families, inner-city, low-income groups, particularly Hispanic in western and north-central Massachusetts.","56 ARBOR ST
HARTFORD, Connecticut 06103
(41.759575, -72.703467)","PARKVILLE"
"NOAH WEBSTER MICROSOCIETY MAGNET SCHOOL (PK 3-8)","5 CONE ST",,"Hartford","6105","(860) 695-5380","welcomecenter@hartfordschools.org  
MIHAJ001@hartfordschools.org","https://nwmms.org/",,,,,,"Schools",,,"Supports students in developing the values of self-discipline, work habits, academic and life skills needed to achieve success in a global society by creating their own ventures such as museums, travel agencies and quiz shows.","5 CONE ST
HARTFORD, Connecticut 06105
(41.768894, -72.712253)","WEST END"
"NORTHEND CHURCH OF CHRIST FOOD PANTRY","687 ALBANY AV",,"Hartford","6112","(860) 525-5463","Unlisted/Unavailable","Unlisted/Unavailable",,"Support Services",,,,,,,"Food pantry in Hartford's North end is open to Hartford residents in need on the second and fourth Fridays of the month, 10am-12noon. Food pantry is also open at other times for emergencies only.","687 ALBANY AV
HARTFORD, Connecticut 06112
(41.778816, -72.688239)","UPPER ALBANY"
"NORTH UNITED METHODIST CHURCH FOOD PANTRY","1205 ALBANY AV",,"Hartford","6112","(860) 525-0573","staff@umcofhartford.org","http://www.umcofhartford.org/",,"Support Services",,,,,,,"Church based food pantry is open to people in need every other Saturday, 11am-1pm.","1205 ALBANY AV
HARTFORD, Connecticut 06112
(41.782299, -72.696538)","UPPER ALBANY"
"NORTH UNITED METHODIST CHURCH GIFTS FOR GOD CHILDREN'S CLOTHING BANK","1229 ALBANY AV",,"Hartford","6112","(860) 523-5132","staff@umcofhartford.org","http://www.umcofhartford.org/",,"Support Services",,,,,,,"Church run clothing bank distributing free clothing for children ages 0 through 12 every Wednesday starting at 9am. Clothing distributed at other times for emergencies.","1229 ALBANY AV
HARTFORD, Connecticut 06112
(41.782485, -72.697041)","UPPER ALBANY"
"NUTMEG BIG BROTHERS/BIG SISTERS","30 LAUREL ST",,"Hartford","6106","(860) 525-5437","program@nbbbs.org","https://nbbbs.org","Youth and Family Enrichment","Support Services",,,,,,,"Matches children in need with professionally supported adult volunteers in community-based and school-based programs for one-to-one mentoring relationships in 132 Connecticut cities and towns.","30 LAUREL ST
HARTFORD, Connecticut 06106
(41.759879, -72.696833)","FROG HOLLOW"
"OFFICE OF EARLY CHILDHOOD FAMILY SUPPORT SERVICES DIVISION:  STATE OF CONNECTICUT","450 COLUMBUS BLVD",,"Hartford","6103","(860) 500-4412","maggie.adair@ct.gov","http://www.ct.gov/oec",,,,,"Government Agency",,,,"Supports all young children in their development by ensuring that early childhood policy, funding and services strengthen the critical role families, providers, educators and communities play in a child’s life.","450 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.767017, -72.6694)","DOWNTOWN"
"OFFICE OF HIGHER EDUCATION: STATE OF CONNECTICUT","450 COLUMBUS BLVD","Suite 510","Hartford","6103","(860) 947-1800","edinfo@ctohe.org","http://www.ctohe.org",,,,,"Government Agency",,"Higher Education",,"Advances the promise of postsecondary education for all state residents, and to advocate on behalf of students, taxpayers, and the postsecondary schools and colleges which fall under its purview.","450 COLUMBUS BLVD
HARTFORD, Connecticut 06103
(41.767017, -72.6694)","DOWNTOWN"
"OFFICE OF PROTECTION AND ADVOCACY FOR PERSONS WITH DISABILITIES: STATE OF CONNECTICUT (P&A)","60 WESTON ST","B","Hartford","6120","(800) 297-4300","Unlisted/Unavailable","http://www.ct.gov/opapd",,,"Civic Engagement",,"Government Agency",,,,"Safeguards and advances the civil and human rights of people with disabilities in Connecticut.","60 WESTON ST
HARTFORD, Connecticut 06120
(41.785324, -72.664181)","NORTH MEADOWS"
"OFFICE OF THE HEALTHCARE ADVOCATE: STATE OF CONNECTICUT","450 CAPITOL AV","2nd Floor","Hartford","6106","(866) 466-4446","healthcare.advocate@ct.gov","http://www.ct.gov/oha",,"Support Services","Civic Engagement",,,,,,"Promote and protect the interests of Connecticut consumers whose health care insurance is provided by a traditional or managed care health organization.","450 CAPITOL AV
HARTFORD, Connecticut 06106
(41.763644, -72.690524)","FROG HOLLOW"
"OPEN HEARTH ASSOCIATION","437 SHELDON ST",,"Hartford","6106","(860) 525-3447","Unlisted/Unavailable","http://www.theopenhearth.org/",,"Support Services",,,,,,,"Provides emergency shelter, transitional housing, and support services while  also offering residents substance abuse recovery services and vocational and life skills training in a work-based therapy program.","437 SHELDON ST
HARTFORD, Connecticut 06106
(41.758543, -72.665994)","SHELDON-CHARTER OAK"
"OPERATION FUEL - 2014 SUMMER SEASON UTILITY ASSISTANCE PROGRAM - GAS AND ELECTRIC UTILITIES","75 CHARTER OAK AV","SUITE 2-240","Hartford","6106","(860) 243-2345","Unlisted/Unavailable","http://www.operationfuel.org",,"Support Services",,,,,,,"Provides a cash grant paid directly to a gas or electric utility to help income eligible households in a crisis situation meet home energy expenses.","75 CHARTER OAK AV
HARTFORD, Connecticut 06106
(41.758845, -72.670024)","SHELDON-CHARTER OAK"
"OPPORTUNITY HIGH SCHOOL (9-12)","28 SARGEANT ST",,"Hartford","6105","(860) 761-7360","Gerald.Dawes@ opp.org","http://www.opp.org",,,,,,"Schools",,,"Helps urban youth become successful adults by offering a relationship-centered approach to help young people access and attain a mix of the educational, employment, and personal skills that contribute to their success.","28 SARGEANT ST
HARTFORD, Connecticut 06105
(41.774538, -72.68774)","NORTH EAST"
"ORGANIZED PARENTS MAKE A DIFFERENCE","350 FARMINGTON AV",,"Hartford","6105","(860) 548-0301","opmad@opmad.org","http://www.opmad.org","Youth and Family Enrichment",,"Civic Engagement",,,,,,"Empowers and unites parents city-wide to meet the academic, social, cultural, creative, and physical needs of children through parent-driven extended-day programs that nurture and encourage responsible citizens.","350 FARMINGTON AV
HARTFORD, Connecticut 06105
(41.767532, -72.701053)","ASYLUM HILL"
"OUR LADY OF FATIMA DAY CARE CENTER","20 MADISON AV",,"Hartford","6106","(860) 233-8037","Olfdaycare2000@yahooo.com","http://www.ourladyoffatimachurch.org",,,,"Early Childhood Education",,,,,"Strives to be faithful to the Lord's teachings and to the Catholic tradition through liturgy, education and service.","20 MADISON AV
HARTFORD, Connecticut 06106
(41.752359, -72.711445)","PARKVILLE"
"OUR PIECE OF THE PIE, INC.","20 SARGEANT ST",,"Hartford","6105","(860) 761-7300","enid.rey@opp.org","http://www.opp.org","Youth and Family Enrichment",,,,,,,"Workforce Development","Helping urban youth become economically independent adults.","20 SARGENT ST
HARTFORD, Connecticut 06105
(41.774592, -72.688016)","ASYLUM HILL"
"PARENTS OPENING DOORS (PADRES ABRIENDO PUERTAS)","60 WESTON ST",,"Hartford","6120","(860) 297-4391","padresabriendopuertasinc@aol.com","http://www.parentsopeningdoors.org",,"Support Services","Civic Engagement",,,,,,"Supports Hispanic parents of children with disabilities.","60 WESTON ST
HARTFORD, Connecticut 06120
(41.785324, -72.664181)","NORTH MEADOWS"
"PARKER MEMORIAL COMMUNITY CENTER, DEPARTMENT OF FAMILIES, CHILDREN, YOUTH, AND RECREATION: CITY OF HARTFORD","2621 MAIN ST",,"Hartford","6120","(860) 757 - 0820","tstewart@hartford.gov","http://dfcyr.hartford.gov","Youth and Family Enrichment",,,,,,,,"Provides life-long recreational opportunities that promote healthy and active living.","2621 MAIN ST
HARTFORD, Connecticut 06120
(41.789326, -72.671631)","NORTH EAST"
"PARKVILLE COMMUNITY SCHOOL (PK 4-5)","47 NEW PARK AV",,"Hartford","6106","(860) 695-4720","welcomecenter@hartfordschools.org OLMSD001@hartfordschools.org","http://www.hartfordschools.org",,,,,,"Schools",,,"Provides a learning environment wherein all students are prepared for middle school. The multicultural and multilingual educational setting ensures sensitivity to and knowledge of a variety of cultures.","47 NEW PARK AV
HARTFORD, Connecticut 06106
(41.755667, -72.706943)","BEHIND THE ROCKS"
"PARTNERSHIP FOR STRONG COMMUNITIES","227 LAWRENCE ST",,"Hartford","6106","(860) 244-0066","Amanda@psc.housing.org","http://www.pschousing.org",,"Support Services","Civic Engagement",,,,,,"Coordinates advocacy and housing policy development to advance solutions to homelessness, affordable housing and foster creation of better neighborhoods.","227 LAWRENCE ST
HARTFORD, Connecticut 06106
(41.762333, -72.687904)","FROG HOLLOW"
"PEQUEÑIN CHILDREN'S MULTICULTURAL - READINESS ACADEMY","1400 PARK ST",,"Hartford","6106","(860) 951-0400","pequenin2008@yahoo.com","http://www.healthy.hartford.gov/dfcyr/",,,,"Early Childhood Education",,,,,"Provides students with an educational program of the highest quality that helps children develop, grow, and learn in a multicultural environment that is nurturing, inclusive, safe, and supportive.","1400 PARK ST
HARTFORD, Connecticut 06106
(41.758101, -72.701655)","PARKVILLE"
"PERMANENT COMMISSION ON THE STATUS OF WOMEN: STATE OF CONNECTICUT","20 TRINITY ST",,"Hartford","6106","(860) 240-8300","info@ctpcsw.org","https://www.ctpcsw.org/",,,"Civic Engagement",,"Government Agency",,,,"Eliminates gender discrimination and sexual harassment, and serves as a liaison between government and private interest groups who are concerned about services for women.","20 TRINITY ST
HARTFORD, Connecticut 06106
(41.76347, -72.680761)","DOWNTOWN"
