"fiscal_year","department_name","revenue_source_name","revenue_budget","revenue_collected","revenue_collected_pct","fund_name","revenue_class_name","fund","revenue_source_code","revenue_class_code"
"2013","NON-DEPARTMENTAL - LIABILITY CLAIMS","MISCELLANEOUS REVENUE-OTHERS",,"6983.4",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER FUNDS",,"355892",,"ALTERNATIVE FUEL PROGRAM","REIMB FROM OTHER FUNDS","45T","5301","530"
"2015","BUILDING AND SAFETY","CODE ENFORCE MISC FEES",,"124600",,"BLDG & SAFETY PERMIT ENTERPRIS","OTHER CURRENT SERVICE CHARGES","48R","4671","465"
"2012","ANIMAL SERVICES","COMM & IND GUARD DOG LICENSES","15000","12040","80.27","GENERAL FUND (GENERAL BUDGET)","ANIMAL LICENSES","100","3209","320"
"2016","BUILDING AND SAFETY","GENERAL APPROVAL",,"1019403.09",,"BLDG & SAFETY PERMIT ENTERPRIS","ENGR INSPECTION & OTHER CHARGES","48R","4206","420"
"2015","BUILDING AND SAFETY","EARTHQUAKE INSTRUMENTATION FEE",,"67802.43",,"BLDG & SAFETY PERMIT ENTERPRIS","SP BLDG & SAFETY SERVICES","48R","4004","400"
"2015","BUILDING AND SAFETY","NON-CONTINUING PERMITS",,"0",,"BLDG & SAFETY PERMIT ENTERPRIS","FIRE DEPT SERVICES","48R","4112","411"
"2016","ANIMAL SERVICES","EQUINE LICENSES",,"1684.5",,"GENERAL FUND (GENERAL BUDGET)","ANIMAL LICENSES","100","3206","320"
"2013","AGING","INTEREST INCOME-OTHER",,"5176.99",,"SENIOR CITYRIDE PROGRAM FUND","INVESTMENT EARNINGS","599","4903","490"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","DONATIONS & CONTRIBUTIONS",,"125000",,"ENGINEERING SPECIAL SERVICE FD","DONATIONS & CONTRIBUTIONS","682","5102","510"
"2016","PUBLIC WORKS - BOARD OF PUBLIC WORKS","MISCELLANEOUS REVENUE-OTHERS","1500","0.73","0.05","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2018","PUBLIC WORKS - CONTRACT ADMINISTRATION","REIMB OF PRIOR YEAR SALARY",,"26513.3",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2017","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"644718.75",,"EP REV BD 2NDISS93 RESERV FUND","MISCELLANEOUS REVENUES","J10","5166","516"
"2015","CITY CLERK","DONATIONS & CONTRIBUTIONS",,"250000",,"COUNC DIST10 PUB BENEFIT TR FD","DONATIONS & CONTRIBUTIONS","50R","5102","510"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"75108.06",,"BRENTWOOD WILLAGE BID FUND","ASSESSMENTS","46J","3182","317"
"2018","TRANSPORTATION","OTHER FEDERAL GRANTS",,"6564397",,"PROPOSITION A LOCAL TRANSIT","OTHER INTERGOVTL-FEDERAL","385","3684","368"
"2020","TRANSPORTATION","TRANSPORTATION IMPACT ASSMT FEE",,"284500",,"ATSAC TRUST","ASSESSMENTS","484","3178","317"
"2016","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-REDEMP PRIOR SUPPL","1600000","1522480.65","95.16","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3020","301"
"2018","BUILDING AND SAFETY","REIMB OF PRIOR YEAR SALARY",,"541",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"421889.25",,"SOUTH PARK II BUSINESS IMPROVEMENT DISTRICT FUND","ASSESSMENTS","57X","3182","317"
"2015","PUBLIC WORKS - BOARD OF PUBLIC WORKS","INTERFD OPER TRANS-PRIOR YEARS",,"89166.66",,"GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5629","561"
"2018","CITY PLANNING","OTHER FEDERAL GRANTS",,"72000",,"CITY PLANNING GRANTS TRUST FD","OTHER INTERGOVTL-FEDERAL","46Y","3684","368"
"2016","COUNCIL","PHONE CALLS REIMBURSEMENT","250","1123.76","449.5","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5172","516"
"2018","PUBLIC WORKS - STREET SERVICES","SERVICE TO AIRPORTS",,"4764.7",,"GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4595","459"
"2016","MAYOR","OTHER FEDERAL GRANTS",,"575240",,"FY10 LPDM GRANT FUND","OTHER INTERGOVTL-FEDERAL","54V","3684","368"
"2016","TRANSPORTATION","MISCELLANEOUS REVENUE-OTHERS",,"224356.89",,"TRANSPORTATION GRANTS FUND","MISCELLANEOUS REVENUES","655","5188","516"
"2016","CITY ADMINISTRATIVE OFFICER","LANDSCAPING/LIGHTING ASSMNT-PROP K",,"20449607.82",,"PROPOSITION K PROJECTS FUND","ASSESSMENTS","43K","3179","317"
"2018","CITY CLERK","INTERFD OPER TRANS-GENERAL  FUND",,"1627767",,"BUSINESS IMPROVEMENT TRUST FND","INTERFUND OPERATING TRANSFER","659","5624","561"
"2018","INFORMATION TECHNOLOGY AGENCY","MISCELLANEOUS REVENUE-OTHERS",,"7920.34",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2017","PUBLIC WORKS - CONTRACT ADMINISTRATION","STATE GRANTS - OTHERS",,"66882",,"GENERAL FUND (GENERAL BUDGET)","STATE GRANTS/AGREEMENTS","100","3361","336"
"2016","TRANSPORTATION","REVENUE FROM OTHER AGENCIES",,"109582.26",,"PROPOSITION C ANTIGRIDLOCK IMP","REVENUE FROM OTHER AGENCIES","540","3857","385"
"2019","PUBLIC WORKS - STREET SERVICES","INTERFD OPER TRANS-PRIOR YEARS",,"233540.26",,"GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5629","561"
"2019","ANIMAL SERVICES","ADDL INTERFD TRANS-OTHER FUNDS","1983.4","1983.4","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2019","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"36560560",,"PWR SYST RB 2010 A BD SER FUND","INTERFUND OPERATING TRANSFER","J5B","5654","561"
"2022","PUBLIC WORKS - ENGINEERING","OTHER FEDERAL GRANTS",,"17396",,"GENERAL FUND (GENERAL BUDGET)","OTHER INTERGOVTL-FEDERAL","100","3684","368"
"2014","BUILDING AND SAFETY","FABRICATOR TRAVEL REIMBURSMENT",,"80578.69",,"BLDG & SAFETY PERMIT ENTERPRIS","SP BLDG & SAFETY SERVICES","48R","4005","400"
"2017","NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM","REIMB FROM OTHER FUNDS",,"100000",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5301","530"
"2016","NON-DEPARTMENTAL - GENERAL","INTEREST PENALTY ON DELINQ TAX",,"4207383.28",,"GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3024","301"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"2120958.4",,"LA DOWNTOWN INDUSTR BUS IMPROV","ASSESSMENTS","41T","3182","317"
"2016","DISABILITY","INTRFD OPER TRANS-COM DEV TRUST","374305","374305","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5626","561"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SOLID WASTE",,"526431",,"LANDFILL MAINTENANCE SPEC TRUS","INTERFUND OPERATING TRANSFER","558","5634","561"
"2015","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","ADDL INTERFD TRANS-OTHER FUNDS",,"50000",,"EWDD SUMMER YOUTH PROGRAM-OTHER SOURCES FUND","ADDL INTERFD OPERATING TRANSFER","56L","5693","569"
"2017","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR UNSEC",,"39306.32",,"GOB SER 2008A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A67","3034","303"
"2016","CITY CLERK","DONATIONS & CONTRIBUTIONS",,"500000",,"CD 13 PUBLIC BENEFIT TRUST FD","DONATIONS & CONTRIBUTIONS","904","5102","510"
"2016","OFFICE OF FINANCE","INTEREST PENALTY ON DELINQ TAX",,"166930.61",,"GOB REFUNDNG SER2012A DEBT SER","PROPERTY TAXES-SECURED & UNSEC","A71","3024","301"
"2018","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE GRANTS - OTHERS",,"2175980",,"USED OIL COLLECTION TRUST FUND","STATE GRANTS/AGREEMENTS","586","3361","336"
"2012","PUBLIC WORKS - CONTRACT ADMINISTRATION","MISCELLANEOUS REVENUE-OTHERS","5000",,,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","MISCELLANEOUS REVENUE-OTHERS",,"392.74",,"SEISMIC BOND REIMB FUND","MISCELLANEOUS REVENUES","608","5188","516"
"2014","CITY ADMINISTRATIVE OFFICER","ADDL INTERFD TRANS-RES FD NON REIM","958000","454000","47.39","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5692","569"
"2016","HARBOR","INTEREST INCOME-SCM",,"96526.11",,"HARBOR EMERGENCY FUND","INVESTMENT EARNINGS","751","4905","490"
"2016","CITY ADMINISTRATIVE OFFICER","REIMB FROM OTHER FUNDS",,"53632.43",,"INSURANCE PREMIUMS SPECIAL FD","REIMB FROM OTHER FUNDS","46S","5301","530"
"2018","OFFICE OF FINANCE","W&P REIM UTILITY USER TX EXEMP","572611","14627.34","2.55","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5165","516"
"2018","EMERGENCY OPERATIONS BOARD","REIMB FROM OTHER FUNDS",,"3521.21",,"EMERGENCY OPERATIONS FUND","REIMB FROM OTHER FUNDS","392","5301","530"
"2016","NON-DEPARTMENTAL - GENERAL","FRANCHISE INCOME-GAS","17930000","15438661.51","86.11","GENERAL FUND (GENERAL BUDGET)","FRANCHISES INCOME","100","3062","306"
"2016","GENERAL SERVICES","FILMING PERMITS",,"11827.89",,"MOTION PICTURE COORDINATION","OTHER LICENSES & PERMITS","417","3282","328"
"2015","WATER AND POWER","DEPOSIT RECEIPTS-AGENCY FUNDS",,"473972.5",,"ELEC PL REVBDS ISS94,RESERVE","MISCELLANEOUS REVENUES","J15","5166","516"
"2015","NON-DEPARTMENTAL - GENERAL","VEHICLE LICENSE FEE","1700000","1678065.69","98.71","GENERAL FUND (GENERAL BUDGET)","VEHICLE LICENSE FEE","100","3321","332"
"2017","INFORMATION TECHNOLOGY AGENCY","RELATED COST REIMB-OTHERS",,"6100.93",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5361","530"
"2013","BUILDING AND SAFETY","OVER-UNDER DEPOSITS",,"60.75",,"BLDG & SAFETY PERMIT ENTERPRIS","ENGR INSPECTION & OTHER CHARGES","48R","4226","420"
"2016","BUILDING AND SAFETY","BUILDING PERMITS- REGULAR",,"22342952.87",,"BLDG & SAFETY PERMIT ENTERPRIS","CONSTRUCTION PERMITS","48R","3225","322"
"2014","BUILDING AND SAFETY","GRADING PRE-INSPECTION",,"787845.45",,"BLDG & SAFETY PERMIT ENTERPRIS","ENGR INSPECTION & OTHER CHARGES","48R","4210","420"
"2016","BUILDING AND SAFETY","OFF-HOUR INSPECTION FEE",,"1793762.36",,"BLDG & SAFETY PERMIT ENTERPRIS","SP BLDG & SAFETY SERVICES","48R","4003","400"
"2017","PUBLIC WORKS - CONTRACT ADMINISTRATION","PUBLIC RIGHT OF WAY CONST ENF",,"114",,"GENERAL FUND (GENERAL BUDGET)","OTHER LICENSES & PERMITS","100","3293","328"
"2016","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR SEC",,"233747.54",,"GOB SER 2011A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A69","3033","303"
"2012","MAYOR","STATE GRANTS - OTHERS",,"713310",,"2010 CALGRIP GRANT FUND","STATE GRANTS/AGREEMENTS","53K","3361","336"
"2016","OFFICE OF FINANCE","INTEREST PENALTY ON DELINQ TAX",,"38350.69",,"GOB SER 2008A DEBT SERVICE","PROPERTY TAXES-SECURED & UNSEC","A67","3024","301"
"2015","WATER AND POWER","MISCELLANEOUS-FIRE SERVICE",,"524.32",,"WATER REVENUE","FIRE DEPT SERVICES","705","4117","411"
"2016","NON-DEPARTMENTAL - GENERAL","DISASTER COST REIMB FEDERAL GV","500000","1889111","377.82","GENERAL FUND (GENERAL BUDGET)","REIMB FROM GRANTS","100","5425","542"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"945143.18",,"CENTURY CORRIDOR BUS IMPROVE","ASSESSMENTS","40R","3182","317"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER FUNDS",,"283528.22",,"STORMWATER POLLUTION ABATE FND","REIMB FROM OTHER FUNDS","511","5301","530"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","CNTY HOUSEHOLD HAZARDOUS WASTE",,"2832183.71",,"HOUSEHOLD HAZARDOUS WASTE SP","COUNTY GRANTS/AGREEMENTS","567","3511","351"
"2019","EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY","ADDL INTERFD TRANS-OTHER FUNDS","285000","285000","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2018","LIBRARY","OTHER REV FR USE OF MONEY& PROP",,"62000",,"LIBRARY TRUST","PROGRAM INCOME","831","4972","497"
"2013","CITY ADMINISTRATIVE OFFICER","INTERFD OPER TRANS-GENERAL  FUND",,"2536914.44",,"JUDGMT OBLI BD 2009A DEBT SERV","INTERFUND OPERATING TRANSFER","B06","5624","561"
"2015","PUBLIC WORKS - STREET SERVICES","HOUSE MOVING,FILING,PMT INSPEC","500","50","10","GENERAL FUND (GENERAL BUDGET)","STREETS AND CURB PERMITS","100","3250","324"
"2016","POLICE","SPL POLICE COMMUNIC/911 SYS",,"125055.6",,"SP POLICE COMMUNIC/911 SYST TX","ASSESSMENTS","554","3173","317"
"2015","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,"2256883.74",,"SEWER CONSTRUCTION&MAINTENANCE","INTERFUND OPERATING TRANSFER","208","5615","561"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","B PERMITS",,"1108349.69",,"ST LIGHTING MAINTENANCE ASSESS","STREETS AND CURB PERMITS","347","3242","324"
"2012","CITY ATTORNEY","INTERFD OPER TRANS-PROP C","179847","144234","80.2","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5638","561"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIMB FROM OTHER AGENCIES",,"26000",,"ENVIRONMENTAL AFFAIRS TRUST","REIMB FROM OTHER AGENGIES","537","3811","381"
"2022","WATER AND POWER","INTERFD OPER TRANS-OTHER FUNDS",,"57714.09",,"D17-02079 UPPER STONE CANYON RESERVOIR WATER QUALITY IMPR RS","INTERFUND OPERATING TRANSFER","M2E","5654","561"
"2018","PUBLIC WORKS - ENGINEERING","REIMB OF PRIOR YEAR SALARY",,"110689.85",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2016","OFFICE OF FINANCE","VOTER APRVD DEBT- PROP TAX PR SEC",,"119008.56",,"GOB SER 2006A DEBT SERVICE","VOTER APRVD DEBT-PROPERTY TAX","A66","3033","303"
"2019","FIRE","FIRE SFTY CLEAR INSP-CARE FACIL","151000","97239.08","64.4","GENERAL FUND (GENERAL BUDGET)","FIRE DEPT SERVICES","100","4122","411"
"2015","INFORMATION TECHNOLOGY AGENCY","SERVICE TO HARBOR","11273","30000","266.12","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4597","459"
"2016","NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION","MISCELLANEOUS REVENUE-OTHERS","225000","1720051.95","764.47","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2015","OFFICE OF FINANCE","REIMB FROM OTHER FUNDS","100000",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5301","530"
"2021","PENSION","INVESTMENT INCOME",,"1015.57",,"FIRE & POLICE TIER 3 SERVICE P","INVESTMENT EARNINGS","805","4906","490"
"2015","PERSONNEL","WORK INVEST ACT REL COST","141237",,,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5355","530"
"2016","PUBLIC WORKS - SANITATION","REIM-CLARTS(CTRL LA RCYCLG TR)","170018","85009","50","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5326","530"
"2016","CITY ATTORNEY","SERVICE TO HARBOR","3524006","4879528","138.47","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4597","459"
"2016","CITY ADMINISTRATIVE OFFICER","SERVICE TO HARBOR","282489","104397","36.96","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4597","459"
"2018","BUILDING AND SAFETY","BLDG AND  SAFETY SERVICE FEES",,"34385.27",,"BLDG & SAFETY PERMIT ENTERPRIS","SP BLDG & SAFETY SERVICES","48R","4006","400"
"2018","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS REVENUE-OTHERS",,"87.58",,"WIA 25% NEW DIRECTION FOR THE WORKFORCE FUND","MISCELLANEOUS REVENUES","57A","5188","516"
"2017","CITY CLERK","TELECOM LIQ DAMAGES REL COST","358619","358619","100","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5339","530"
"2012","POLICE","INTEREST INCOME-OTHER",,"8844",,"POLICE DEPARTMENT TRUST FUND","INVESTMENT EARNINGS","885","4903","490"
"2016","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","REIM FR US TREAS-INT RZ ECO BD",,"4357127.18",,"WSRB DEBT SERVICE FD 2010-B","REIMB FROM OTHER AGENGIES","W61","3812","381"
"2018","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS REVENUE-OTHERS",,"1.73",,"B2W 25% WIA DISLOCATED WORKER ADDITIONAL ASSISTANCE FUND","MISCELLANEOUS REVENUES","55M","5188","516"
"2015","CITY EMPLOYEES RETIREMENT SYSTEM","RETIREMENT CONTRIBUTION-EMPLOYER",,"410808207",,"CITY EMPLOYEES RETIREMENT","RETIREMENT CONTRIBUTIONS","800","5502","550"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"517087.03",,"MELROSE BUSINESS IMPROVEMENT DISTRICT FUND","ASSESSMENTS","55W","3182","317"
"2015","CITY PLANNING","REIMB OF PRIOR YEAR SALARY",,"5337.1",,"GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5168","516"
"2017","PUBLIC WORKS - ENGINEERING","MISCELLANEOUS SERVICE CHARGES",,"559.04",,"GENERAL FUND (GENERAL BUDGET)","OTHER CURRENT SERVICE CHARGES","100","4651","465"
"2018","RECREATION AND PARKS","REIMB OF PRIOR YEAR SALARY",,"931.2",,"RECREATION AND PARKS","MISCELLANEOUS REVENUES","302","5168","516"
"2016","TRANSPORTATION","ADDL INTERFD TRANS-OTHER FUNDS",,"1727490",,"TRANSPORTATION GRANTS FUND","ADDL INTERFD OPERATING TRANSFER","655","5693","569"
"2018","TRANSPORTATION","SERVICE TO AIRPORTS",,"38085.12",,"COASTAL TRANSP CORRIDOR TRUST","QUASI-EXTERNAL TRANSACTION","447","4595","459"
"2017","CITY PLANNING","MISCELLANEOUS GOV'T SERVICES","2000","153.78","7.69","GENERAL FUND (GENERAL BUDGET)","OTHER GEN GOVT SERVICES","100","4339","432"
"2016","CITY ADMINISTRATIVE OFFICER","SPL FIRE SAF & PARAMED COMM",,"2151.38",,"SP FIRE SAF & PARA COMMU EQUIP","ASSESSMENTS","492","3172","317"
"2016","TRANSPORTATION","OTHER FEDERAL GRANTS",,"218417.09",,"MOBILE SOURCE AIR POLLUT REDUC","OTHER INTERGOVTL-FEDERAL","528","3684","368"
"2018","AGING","OLDER AMERICAN ACTS GRANT",,"89747",,"TITLE VII OLDER AMERICANS ACT","OLDER AMERICAN ACT","564","3621","362"
"2016","MAYOR","STATE GRANTS - OTHERS",,"887813",,"2015 CALGRIP GRANT FUND","STATE GRANTS/AGREEMENTS","57M","3361","336"
"2016","INFORMATION TECHNOLOGY AGENCY","REIMB FROM OTHER AGENCIES","500","47502.68","9500.54","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER AGENGIES","100","3811","381"
"2016","CITY ATTORNEY","REIMBURSEMENT OF EXPENDITURES","75000","7842.56","10.46","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5161","516"
"2017","BUILDING AND SAFETY","STATE GRANTS - OTHERS",,"63447.4",,"LOCAL ENFORCE AGENCY LANDFILL","STATE GRANTS/AGREEMENTS","527","3361","336"
"2016","NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION","COST REIMBURSEMENT FROM LIBRARY","5698875","5723875","100.44","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5370","530"
"2016","NON-DEPARTMENTAL - GENERAL","PROPERTY TAX-ADJUSTMENT","563000","190106.63","33.77","GENERAL FUND (GENERAL BUDGET)","PROPERTY TAXES-SECURED & UNSEC","100","3022","301"
"2016","CITY ADMINISTRATIVE OFFICER","LANDSCAPING/LIGHTING ASSMNT-PROP K",,"740668.88",,"PROPOSITION K ADMINISTRATION F","ASSESSMENTS","43M","3179","317"
"2016","CITY ADMINISTRATIVE OFFICER","SPECIAL ASSESSEMENTS -OTHERS",,"346392.95",,"COMM FAC DIST8 SPECIAL TAX FD","ASSESSMENTS","51F","3171","317"
"2012","PENSION","RETIREMENT CONTRIBUTION-EMPLOYEES",,"8180067.44",,"FIRE & POLICE TIER 3 SERVICE P","RETIREMENT CONTRIBUTIONS","805","5503","550"
"2016","CITY PLANNING","SERVICE TO AIRPORTS","183975","86432.14","46.98","GENERAL FUND (GENERAL BUDGET)","QUASI-EXTERNAL TRANSACTION","100","4595","459"
"2013","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTEREST ON POOLED INVEST-BOND FDS",,"15986.69",,"GOB 2005A CLEAN WATER CLEANUP","INVESTMENT EARNINGS","16F","4904","490"
"2016","NON-DEPARTMENTAL - GENERAL","MISCELLANEOUS REVENUE-OTHERS","2200000","1676779.62","76.22","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5188","516"
"2016","OFFICE OF FINANCE","INTEREST PENALTY ON DELINQ TAX",,"153951",,"GOB REFUNDNG SER2011B DEBT SER","PROPERTY TAXES-SECURED & UNSEC","A70","3024","301"
"2016","CITY ATTORNEY","FORFEITURES & PENALTIES","20000","44483.31","222.42","GENERAL FUND (GENERAL BUDGET)","FORFEITURES & PENALTIES","100","4831","483"
"2016","RECREATION AND PARKS","FACILITY USE FEES",,,,"MUNICIPAL SPORTS ACCOUNT","RECREATION & PARKS REVENUES","301","4512","451"
"2018","POLICE","REIM EMP REL-POLICE PROTECTN","850000","850000","100","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5164","516"
"2016","CITY CLERK","BUSINESS IMPROV DIST ASSMNT",,"118347.9",,"SHERMAN OAKS BUS IMPR DISTR","ASSESSMENTS","43J","3182","317"
"2016","CITY ADMINISTRATIVE OFFICER","INTERFD OPER TRANS- CODE ENFORCE","104579","104579","100","GENERAL FUND (GENERAL BUDGET)","INTERFUND OPERATING TRANSFER","100","5648","561"
"2019","PUBLIC WORKS - STREET SERVICES","MISC ST MAINTENANCE","1000","1760.8","176.08","GENERAL FUND (GENERAL BUDGET)","STREET SIDEWALK & CURB REPAIRS","100","4288","428"
"2019","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","INTERFD OPER TRANS-SEWER CONS",,"2706219.26",,"WSRB DEBT SERVICE FD 2010-B","INTERFUND OPERATING TRANSFER","W61","5615","561"
"2019","GENERAL SERVICES","SALE OF SURPLUS PROPERTY","5961000","5672744.21","95.16","GENERAL FUND (GENERAL BUDGET)","SALE OF FIXED ASSETS","100","5141","514"
"2013","LOS ANGELES HOUSING","CODE ENFORCE MISC FEES",,"2544.16",,"RENT STABILIZATION TRUST","OTHER CURRENT SERVICE CHARGES","440","4671","465"
"2019","CITY CLERK","ADDL INTERFD TRANS-OTHER FUNDS","104485.6","104485.6","100","GENERAL FUND (GENERAL BUDGET)","ADDL INTERFD OPERATING TRANSFER","100","5693","569"
"2019","COUNCIL","REIMBURSEMENT OF EXPENDITURES","1718","76513.61","4453.64","GENERAL FUND (GENERAL BUDGET)","MISCELLANEOUS REVENUES","100","5161","516"
"2019","NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND","STATE LOAN REPAYMENT",,"4572165.39",,"SPECIAL GAS TAX ST IMPROV","STATE GRANTS/AGREEMENTS","206","3375","336"
"2019","MAYOR","REIMB FROM OTHER FUNDS",,"35251.8",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5301","530"
"2019","MAYOR","INTEREST INCOME-OTHER",,"561297.88",,"SUPP LAW ENFORCEMENT SERVICES","INVESTMENT EARNINGS","667","4903","490"
"2022","PUBLIC WORKS - STREET LIGHTING","SEWER CONS & MAIN RELATED COST","226782","151192","66.67","GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5328","530"
"2021","CITY ATTORNEY","STATE GRANTS - OTHERS",,"7199728.03",,"CITY ATTORNEY GRANTS","STATE GRANTS/AGREEMENTS","368","3361","336"
"2017","LOS ANGELES HOUSING","OTHER FEDERAL GRANTS",,"353101.8",,"TRAFFIC SAFETY EDUCATION PROGM","OTHER INTERGOVTL-FEDERAL","45C","3684","368"
"2020","ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT","MISCELLANEOUS REVENUE-OTHERS",,"1.16",,"ENTERPRISE ZONE TAX CREDIT VOU","MISCELLANEOUS REVENUES","48L","5188","516"
"2019","MAYOR","GRANT FR PRIVATE ORGANIZATION",,"50000",,"SAFEST DRIVER GRANT FUND","MISCELLANEOUS REVENUES","62D","5179","516"
"2019","CULTURAL AFFAIRS","APPROVAL FOR APPLICATN DESIGN","20000","17320","86.6","GENERAL FUND (GENERAL BUDGET)","CULTURAL AFFAIRS REVENUES","100","4471","447"
"2015","GENERAL SERVICES","INTERFUND BILLINGS - OTHERS",,"5421189.17",,"PRINTING REVOLVING","QUASI-EXTERNAL TRANSACTION","706","4591","459"
"2020","CITY PLANNING","REIMB OF RELATED COST-PR YR",,"129409.85",,"GENERAL FUND (GENERAL BUDGET)","REIMB FROM OTHER FUNDS","100","5331","530"
