"fiscal_year","department_name","vendor_name","dollar_amount","expenditure_type","authority_name"
"2014","WATER AND POWER","DAVEY TREE SURGERY COMPANY","3953281.71","193","193"
"2019","WATER AND POWER","THE OKONITE COMPANY","3932579.98","46","46"
"2020","WATER AND POWER","ARCADIS U.S. INC","3919806.81","128","128"
"2017","WATER AND POWER","TRENCH PLATE RENTAL COMPANY","3916302.56","2630","2630"
"2014","WATER AND POWER","SCHWEITZER ENGINEERING LABORATORIES, INC.","3911966.40","15","15"
"2015","WATER AND POWER","SHIHLIN ELECTRIC USA","3905479.29","22","22"
"2016","WATER AND POWER","UTILITY TREE SERVICE INC","3905446.31","564","564"
"2012","WATER AND POWER","HEWLETT-PACKARD CO","3901420.26","103","103"
"2020","WATER AND POWER","GENERAL ELECTRIC PACKAGED POWER, LLC","3899858.43","45","45"
"2019","WATER AND POWER","SANTA FE WIN WATER","3897126.80","34","34"
"2014","WATER AND POWER","NAVAJO TRIBE - TREASUER C/O OFFICE OF THE TREASURER","3892822.8","2","2"
"2020","WATER AND POWER","MARSH USA INC.","3884580","2","2"
"2019","WATER AND POWER","CDM SMITH INC","3878957.07","121","121"
"2013","WATER AND POWER","USC - SPONSORED PROJECTS ACCOUNTING","3877878.70","95","95"
"2020","WATER AND POWER","BEACON SOLAR 4, LLC","3869702.70","8","8"
"2012","WATER AND POWER","AIR SCIENCES INC","3856626.29","127","127"
"2018","WATER AND POWER","UNITED CONCORDIA DENTAL PLAN OF CA","3855155.14","72","72"
"2022","WATER AND POWER","POWEREX C/O OFFICE OF THE TREASURER","3852816.96","24","24"
"2015","WATER AND POWER","TENASKA POWER SERVICES CO.","3847595.39","11","11"
"2019","WATER AND POWER","DOOSAN GRIDTECH CA, LLC","3846804.55","15","15"
"2016","WATER AND POWER","NORTHWEST EXCAVATING, INC.","3844866.45","9","9"
"2014","WATER AND POWER","MPA-C CONSULTING, A JOINT VENTURE OF MALCOLM PIRNIE/","3841484.58","46","46"
"2013","WATER AND POWER","HOWARD INDUSTRIES, INC","3830847.29","170","170"
"2018","WATER AND POWER","AECOM TECHNICAL SERVICES, INC","3819684.57","158","158"
"2016","WATER AND POWER","POWER ENGINEERS, INC.","3818470.30","109","109"
"2013","WATER AND POWER","FIVE POINT PARTNERS","3818247.58","40","40"
"2013","WATER AND POWER","NEPTUNE TECHNOLOGY GROUP INC.","3816737.88","29","29"
"2012","WATER AND POWER","ECOLECTRICS, LLC","3811877.01","38","38"
"2019","WATER AND POWER","UNITED STATES PIPE AND FOUNDRY COMPANY","3810351.80","152","152"
"2014","WATER AND POWER","THE OKONITE COMPANY","3804691.34","48","48"
"2015","WATER AND POWER","INTERNATIONAL BUSINESS MACHINES","3794988.91","6","6"
"2015","WATER AND POWER","TITLE365 COMPANY","3780498.0","257","257"
"2014","WATER AND POWER","GE PACKAGED POWER INC","3778224.09","14","14"
"2017","WATER AND POWER","PACIFICORP WHOLESALE C/O OFFICE OF THE TREASURER","3767554.01","11","11"
"2015","WATER AND POWER","SO CAL GAS CO","3759909.78","32","32"
"2017","WATER AND POWER","UNITED CONCORDIA DENTAL PLAN OF CA","3757803.88","72","72"
"2022","WATER AND POWER","SUNE BEACON SITE 2 LLC","3756860.90","5","5"
"2012","WATER AND POWER","WESCO DISTRIBUTION INC.","3741516.68","92","92"
"2016","WATER AND POWER","BLACK & VEATCH","3741069.38","80","80"
"2016","WATER AND POWER","UNITED CONCORDIA DENTAL PLAN OF CA","3730292.85","72","72"
"2020","WATER AND POWER","THE OKONITE COMPANY","3729200.23","46","46"
"2022","WATER AND POWER","BEACON SOLAR 4, LLC","3727292.52","6","6"
"2018","WATER AND POWER","FERGUSON ENTERPRISES, INC","3725359.62","18","18"
"2014","WATER AND POWER","JENSEN PRECAST","3723974.94","97","97"
"2019","WATER AND POWER","POWEREX C/O OFFICE OF THE TREASURER","3722256.69","19","19"
"2018","WATER AND POWER","ARCADIS U.S. INC","3720346.95","154","154"
"2016","WATER AND POWER","WOOD, SMITH, HENNING & BERMAN","3708813.07","58","58"
"2021","WATER AND POWER","HARTREE PARTNERS, LP","3699765.72","5","5"
"2017","WATER AND POWER","PARADIS LAW GROUP PLLC","3695247.5","15","15"
"2022","WATER AND POWER","W. W. GRAINGER, INC.","3691995.27","3883","3883"
"2015","WATER AND POWER","WELLS FARGO BANK, NA","3691990.14","17","17"
"2019","WATER AND POWER","MM LOPEZ ENERGY, LLC C/O FORTISTAR, LLC","3675010.54","15","15"
"2019","WATER AND POWER","TAIHAN ELECTRIC USA LTD","3670279.25","7","7"
"2022","WATER AND POWER","HAZEN AND SAWYER, PC","3669972.78","97","97"
"2018","WATER AND POWER","GOTHIC LANDSCAPING, INC","3654580.78","44","44"
"2019","WATER AND POWER","UNITED CONCORDIA DENTAL PLAN OF CA","3648050.18","74","74"
"2017","WATER AND POWER","ABB INC","3647556.81","51","51"
"2016","WATER AND POWER","WELLS FARGO BANK, NA","3644182.21","26","26"
"2020","WATER AND POWER","PCS ENERGY, LLC","3635000","43","43"
"2015","WATER AND POWER","TRENCH PLATE RENTAL COMPANY","3634256.02","1478","1478"
"2016","WATER AND POWER","DHHS, HCFA PART B MEDICARE C/O OFFICE OF THE TREASURER","3618863.30","24","24"
"2020","WATER AND POWER","LOS ANGELES TRUCK CENTERS LLC LOS ANGELES FREIGHTLINER","3611879.52","9","9"
"2015","WATER AND POWER","USC - SPONSORED PROJECTS ACCOUNTING","3605911.22","67","67"
"2019","WATER AND POWER","RED8, LLC INSIGHT INVESTMENTS, LLC","3604413.39","14","14"
"2019","WATER AND POWER","MONO COUNTY TAX COLLECTOR, CA","3594232.18","4","4"
"2019","WATER AND POWER","STATE WATER RESOURCES CONTROL BOARD","3588570.02","94","94"
"2012","WATER AND POWER","CORPINFO SERVICES","3571226.96","50","50"
"2021","WATER AND POWER","WELLS FARGO MERCHANT SERVICES LLC","3548121.31","15","15"
"2018","WATER AND POWER","TRIDENT SUPPLY INC","3546792.84","338","338"
"2015","WATER AND POWER","JENSEN PRECAST","3544359.15","95","95"
"2015","WATER AND POWER","AIR SCIENCES, INC","3541740.79","123","123"
"2017","WATER AND POWER","STEVE BUBALO CONSTRUCTION CO. INC.","3539070.18","6","6"
"2017","WATER AND POWER","R.J. LALONDE","3530788.49","960","960"
"2020","WATER AND POWER","IMPERIAL PIPE SERVICES, LLC","3526431.74","31","31"
"2016","WATER AND POWER","MORRIS POLICH & PURDY, LLP","3519815.86","21","21"
"2020","WATER AND POWER","SUNE BEACON SITE 5 LLC","3508787.70","8","8"
"2015","WATER AND POWER","PCMG, INC DBA PCM GOV, INC","3508453.03","69","69"
"2021","WATER AND POWER","DEFINITI HEALTHCARE MANAGEMENT","3506780.95","71","71"
"2016","WATER AND POWER","EN POINTE TECHNOLOGIES, INC.","3504694.13","142","142"
"2022","WATER AND POWER","POSTMASTER, LOS ANGELES","3504120","40","40"
"2022","WATER AND POWER","DHHS, HCFA PART B MEDICARE C/O OFFICE OF THE TREASURER","3503987.40","12","12"
"2022","WATER AND POWER","POWER ENGINEERS, INC.","3479242.94","77","77"
"2017","WATER AND POWER","BLACK & VEATCH","3470982.12","62","62"
"2019","WATER AND POWER","MCFARLAND CASCADE","3468792.01","194","194"
"2012","WATER AND POWER","METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA","3467465.13","17","17"
"2016","WATER AND POWER","VETERAN SUPPLY SERVICES, LLC","3459341.96","7","7"
"2018","WATER AND POWER","TAIHAN ELECTRIC USA LTD","3430260.74","13","13"
"2018","WATER AND POWER","ARMORCAST PRODUCTS COMPANY","3424484.87","128","128"
"2015","WATER AND POWER","SOUTHERN CALIFORNIA MATERIAL HANDLING","3419010.80","25","25"
"2015","WATER AND POWER","ECOLECTRICS, LLC","3414143.89","12","12"
"2019","WATER AND POWER","TYNDALE COMPANY, INC.","3412538.76","460","460"
"2019","WATER AND POWER","AIR SCIENCES, INC","3406758.47","142","142"
"2019","WATER AND POWER","ARDENT CYBER SOLUTIONS, LLC","3397325","8","8"
"2021","WATER AND POWER","W. W. GRAINGER, INC.","3395380.21","3531","3531"
"2012","WATER AND POWER","OCCIDENTAL ENERGY MRKTG,INC.","3386863.78","4","4"
"2017","WATER AND POWER","ASPEN ENVIRONMENTAL GROUP","3384219.90","38","38"
"2014","WATER AND POWER","PRICEWATERHOUSECOOPERS LLP","3382520","36","36"
"2013","WATER AND POWER","NEXUS IS, INC","3372068.70","81","81"
"2014","WATER AND POWER","MORGAN STANLEY","3370142.02","13","13"
"2017","WATER AND POWER","HERC RENTALS INC.","3360040.82","1562","1562"
"2013","WATER AND POWER","VOITH HYDRO INC","3357096.84","10","10"
"2014","WATER AND POWER","VULCAN MATERIALS COMPANY CALMAT DIVISION","3353412.60","2750","2750"
"2017","WATER AND POWER","EXCEL PAVING COMPANY","3348550.62","9","9"
