"study_id","study_class","treatment_focus_study_level","total_n_randomized","intervention_group","treatment_focus_arm_level","treatment_focus_subclass_arm_level","n_completed_outcome_measure","n_completed_outcome_measure_detail","publication_treatment_name","ncptsd_treatment_name","psychotherapy","psychotherapy_subclass","pharmacotherapy","pharmacotherapy_subclass","cih","cih_subclass","nonpharm_biologic","nonpharm_cognitive_therapy","control","other","collaborative_care","format","delivery_method","arm_n_randomized","outcome_assessment_type","ptsd_outcome_measure_simple","ptsd_outcome_measure_detail","analysis_type","method_for_handling_missing","statistical_analysis_method","assessment_point_category","assessment_point","measure_score_detail","measure_score_mean","measure_score_sd","measure_score_type_of_variance_measure","measure_score_variance_value_or_lower_bound","measure_score_variance_upper_bound","score_difference_from_baseline_detail","score_difference_baseline","score_difference_baseline_sd","score_difference_from_baseline_95_ci_lower_bound","score_difference_from_baseline_95_ci_upper_bound","effect_size_1_detail","effect_size_1_type","effect_size_1_value","effect_size_1_type_of_variance_measure","effect_size_1_variance_value_or_lower_bound","effect_size_1_variance_upper_bound","effect_size_1_p_value","effect_size_2_detail","effect_size_2_type","effect_size_2_value","effect_size_2_type_of_variance_measure","effect_size_2_variance_value_or_lower_bound","effect_size_2_variance_upper_bound","effect_size_2_p_value","def_dc_1","per_dc_change_1","additional_definitions_diag_change","def_cm_1","per_cm_response_1","additional_definitions_clinic_resp","military_status","percent_active_duty_military","percent_veteran","percent_community","female_percent","female_percent_qual","male_percent","trauma_type","trauma_detail","risk_of_bias_rating_study_level","citation","ptsdpubs_id","year_added_to_ptsd_repository"
"davidson2003_SPRINT_B_Baseline_ITT","Pharmacotherapy","PTSD","29","B","Control",,,,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","9","Self report","SPRINT","SPRINT","ITT",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"25.0","4.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community",,,"1",,"65.00% of 8-week completers",,"Mixed","child sexual abuse, community/school violence, combat-related, accidents, other (non-specified)","Medium","Davidson JR, Weisler RH, Butterfield MI, et al. Mirtazapine vs. placebo in posttraumatic stress disorder: a pilot trial. Biol Psychiatry. 2003 Jan 15;53(2):188-91. PMID: 12547477.","25290","2019"
"davidson2006a_CAPS_A_0_Comp","Pharmacotherapy","PTSD","329","A","PTSD",,"112",,"Venlafaxine extended release","Venlafaxine","No","Not Applicable","Yes","Antidepressant: SNRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","161","Structured Clinical Interview","CAPS","CAPS-SX17","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,,,,,,,"-59.2","23.76",,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20","0.447",,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_A_0_ITT","Pharmacotherapy","PTSD","329","A","PTSD",,"161",,"Venlafaxine extended release","Venlafaxine","No","Not Applicable","Yes","Antidepressant: SNRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","161","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"29.2","26.09",,,,,"-51.7","27.16",,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20","0.509",,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_A_Baseline_Comp","Pharmacotherapy","PTSD","329","A","PTSD",,"112",,"Venlafaxine extended release","Venlafaxine","No","Not Applicable","Yes","Antidepressant: SNRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","161","Structured Clinical Interview","CAPS","CAPS-SX17","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_A_Baseline_ITT","Pharmacotherapy","PTSD","329","A","PTSD",,"161",,"Venlafaxine extended release","Venlafaxine","No","Not Applicable","Yes","Antidepressant: SNRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","161","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"81.0","14.62",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_B_0_Comp","Pharmacotherapy","PTSD","329","B","Control",,"112",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","168","Structured Clinical Interview","CAPS","CAPS-SX17","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,,,,,,,"-54.0","23.63",,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20","0.333",,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_B_0_ITT","Pharmacotherapy","PTSD","329","B","Control",,"168",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","168","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"38.1","29.11",,,,,"-43.9","28.93",,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20","0.375",,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_B_Baseline_Comp","Pharmacotherapy","PTSD","329","B","Control",,"112",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","168","Structured Clinical Interview","CAPS","CAPS-SX17","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006a_CAPS_B_Baseline_ITT","Pharmacotherapy","PTSD","329","B","Control",,"168",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","168","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"82.9","15.50",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1","0.541",,"0.459","Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, natural or manmade disasters, other (nonsexual abuse, witnessing unexpected death)","Medium","Davidson JRT, Baldwin DV, Stein DJ, et al. Treatment of posttraumatic stress disorder with venlafaxine extended release: a 6-month randomized controlled trial. Arch Gen Psychiatry. 2006 Oct;63(10):1158-65. doi: 10.1001/archpsyc.63.10.1158. PMID: 17015818.","28838","2019"
"davidson2006b_CAPS_A_0_ITT","Pharmacotherapy","PTSD","538","A","PTSD",,"179",,"Venlafaxine extended release","Venlafaxine","No","Not Applicable","Yes","Antidepressant: SNRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","179","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"42.49",,,,,,"-41.51",,"-45.66","-37.36",,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1",,,,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","Medium","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2006b_CAPS_A_Baseline_ITT","Pharmacotherapy","PTSD","538","A","PTSD",,"179",,"Venlafaxine extended release","Venlafaxine","No","Not Applicable","Yes","Antidepressant: SNRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","179","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"84.0","14.97",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1",,,,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","Medium","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2006b_CAPS_B_0_ITT","Pharmacotherapy","PTSD","538","B","PTSD",,"173",,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","173","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"42.56",,,,,,"-39.44",,"-43.67","-35.21",,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1",,,,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","Medium","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2006b_CAPS_B_Baseline_ITT","Pharmacotherapy","PTSD","538","B","PTSD",,"173",,"Sertraline","Sertraline","No","Not Applicable","Yes","Antidepressant: SSRI","No","Not Applicable","No","No","No","No","No","Individual","In Person","173","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"82.0","15.49",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1",,,,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","Medium","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2006b_CAPS_C_0_ITT","Pharmacotherapy","PTSD","538","C","Control",,"179",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","179","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"47.43",,,,,,"-34.17",,"-38.33","-30.01",,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1",,,,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","Medium","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2006b_CAPS_C_Baseline_ITT","Pharmacotherapy","PTSD","538","C","Control",,"179",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","179","Structured Clinical Interview","CAPS","CAPS-SX17","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"81.6","14.66",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS-SX17 score ≤20",,,"Community",,,"1",,,,"Mixed","combat-related, child sexual abuse, rape/sexual assault, accidents, community/school violence, other (""unexpected death"")","Medium","Davidson JRT, Rothbaum BO, Tucker PM, et al. Venlafaxine extended release in posttraumatic stress disorder: a sertraline- and placebo-controlled study. J Clin Psychopharmacol. 2006 Jun 1;26(3):259-67. doi: 10.1097/01.jcp.0000222514.71390.c1. PMID: 16702890.","28788","2019"
"davidson2007_CAPS_A_0_Comp","Pharmacotherapy","PTSD","232","A","PTSD",,"105",,"Tiagabine","Tiagabine","No","Not Applicable","Yes","Mood Stabilizer","No","Not Applicable","No","No","No","No","No","Individual","In Person","116","Structured Clinical Interview","CAPS","CAPS","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"51.7",,,,,,"-30.7","25.1",,,,,,,,,,,,,,,,,,,,"CAPS total score <20","0.16","Additional definitions of Clinically Meaningful Response reported in the study","Community",,,"1","0.66",,"0.34","Mixed","rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)","Medium","Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.","29658","2019"
"davidson2007_CAPS_A_Baseline_Comp","Pharmacotherapy","PTSD","232","A","PTSD",,"116",,"Tiagabine","Tiagabine","No","Not Applicable","Yes","Mood Stabilizer","No","Not Applicable","No","No","No","No","No","Individual","In Person","116","Structured Clinical Interview","CAPS","CAPS","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"82.4","15.8",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS total score <20",,"Additional definitions of Clinically Meaningful Response reported in the study","Community",,,"1","0.66",,"0.34","Mixed","rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)","Medium","Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.","29658","2019"
"davidson2007_CAPS_B_0_Comp","Pharmacotherapy","PTSD","232","B","Control",,"97",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","116","Structured Clinical Interview","CAPS","CAPS","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"52.5",,,,,,"-30.2","26.3",,,,,,,,,,,,,,,,,,,,"CAPS total score <20","0.14","Additional definitions of Clinically Meaningful Response reported in the study","Community",,,"1","0.66",,"0.34","Mixed","rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)","Medium","Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.","29658","2019"
"davidson2007_CAPS_B_Baseline_Comp","Pharmacotherapy","PTSD","232","B","Control",,"116",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","116","Structured Clinical Interview","CAPS","CAPS","Completer",,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"82.7","14.4",,,,,,,,,,,,,,,,,,,,,,,,,,"CAPS total score <20",,"Additional definitions of Clinically Meaningful Response reported in the study","Community",,,"1","0.66",,"0.34","Mixed","rape/sexual assault, community/school violence, accidents, combat-related, natural or manmade disasters, other (non-specified)","Medium","Davidson JR, Brady K, Mellman TA, et al. The efficacy and tolerability of tiagabine in adult patients with post-traumatic stress disorder. J Clin Psychopharmacol. 2007 Feb;27(1):85-8. doi: 10.1097/JCP.0b013e31802e5115. PMID: 17224720.","29658","2019"
"davis2004_CAPS_A_0_ITT","Pharmacotherapy","PTSD","42","A","PTSD",,"26",,"Nefazodone","Nefazodone","No","Not Applicable","Yes","Antidepressant: Other","No","Not Applicable","No","No","No","No","No","Individual","In Person","27","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"61.9",,,,,,"-19.1","24",,,,,,,,,,,,,,,,,,,,"≥30% improvement in CAPS Total Score for patients who completed at least 4 weeks of treatment","0.4737",,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_CAPS_A_Baseline_ITT","Pharmacotherapy","PTSD","42","A","PTSD",,"26",,"Nefazodone","Nefazodone","No","Not Applicable","Yes","Antidepressant: Other","No","Not Applicable","No","No","No","No","No","Individual","In Person","27","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"81.0","20",,,,,,,,,,,,,,,,,,,,,,,,,,"≥30% improvement in CAPS Total Score for patients who completed at least 4 weeks of treatment",,,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_CAPS_B_0_ITT","Pharmacotherapy","PTSD","42","B","Control",,"15",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","15","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"69.7",,,,,,"-13.5","25",,,,,,,,,,,,,,,,,,,,"≥30% improvement in CAPS Total Score for patients who completed at least 4 weeks of treatment","0.4166",,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_CAPS_B_Baseline_ITT","Pharmacotherapy","PTSD","42","B","Control",,"15",,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","15","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"83.2","17",,,,,,,,,,,,,,,,,,,,,,,,,,"≥30% improvement in CAPS Total Score for patients who completed at least 4 weeks of treatment",,,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_PCL_A_0_NA","Pharmacotherapy","PTSD","42","A","PTSD",,,,"Nefazodone","Nefazodone","No","Not Applicable","Yes","Antidepressant: Other","No","Not Applicable","No","No","No","No","No","Individual","In Person","27","Self report","PCL","PCL",,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_PCL_A_Baseline_NA","Pharmacotherapy","PTSD","42","A","PTSD",,,,"Nefazodone","Nefazodone","No","Not Applicable","Yes","Antidepressant: Other","No","Not Applicable","No","No","No","No","No","Individual","In Person","27","Self report","PCL","PCL",,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"64.1","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_PCL_B_0_NA","Pharmacotherapy","PTSD","42","B","Control",,,,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","15","Self report","PCL","PCL",,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2004_PCL_B_Baseline_NA","Pharmacotherapy","PTSD","42","B","Control",,,,"Placebo","Placebo","No","Not Applicable","No","Not Applicable","No","Not Applicable","No","No","Yes","No","No","Individual","In Person","15","Self report","PCL","PCL",,,"Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","Baseline",,,"61.5","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed","0","0.9762","0.0238","0.0238",,"0.9762","Mixed","combat-related, rape/sexual assault","High","Davis LL, Jewell ME, Ambrose S, et al. A placebo-controlled study of nefazodone for the treatment of chronic posttraumatic stress disorder: a preliminary study. J Clin Psychopharmacol. 2004;24(3):291-7.  PMID: 15118483.","26401","2019"
"davis2008a_CAPS_A_0_ITT","Pharmacotherapy","PTSD","36","A","PTSD",,"18",,"Guanfacine","Guanfacine","No","Not Applicable","Yes","Antiadrenergic","No","Not Applicable","No","No","No","No","No","Individual","In Person","18","Structured Clinical Interview","CAPS","CAPS","ITT","LOCF","Continuous outcomes: longitudinal mixed-effects models, Cohen's d effect sizes; Categorical outcomes: logistic regression and likelihood ratio tests","End of Treatment","0",,"66.94","29.87",,,,,"-15.12",,,,,,,,,,,,,,,,,,,,,,,,"Veteran","0","1","0","0.0571",,"0.9429","Combat-related",,"Medium","Davis LL, Ward C, Rasmusson A, et al. A placebo-controlled trial of guanfacine for the treatment of posttraumatic stress disorder in veterans. Psychopharmacol Bull. 2008;41(1):8-18.  PMID: 18362867.","34102","2019"
